Tm,R/G,R,H,2B,HR,RBI,BA,OBP,SLG,OPS,OPS+,RA/G,W-L%,ERA,SV,HA,RA,HR,SO,ERA+,FIP,WHIP,H9,HR9,BB9,SO9
Arizona Diamondbacks,4.19,679,1297,308,144,644,0.236,0.309,0.382,0.692,87,5.51,0.321,5.11,22,1480,893,232,1238,83,4.88,1.436,9.4,1.5,3.5,7.9
Atlanta Braves,4.91,790,1307,269,239,762,0.244,0.319,0.435,0.754,98,4.07,0.547,3.88,40,1237,656,183,1417,112,4.09,1.243,7.9,1.2,3.3,9
Baltimore Orioles,4.07,659,1296,266,195,632,0.239,0.304,0.402,0.705,92,5.9,0.321,5.84,26,1518,956,258,1234,77,5.15,1.484,9.7,1.7,3.6,7.9
Boston Red Sox,5.12,829,1434,330,219,783,0.261,0.328,0.449,0.777,106,4.62,0.568,4.26,49,1409,749,176,1527,110,3.95,1.378,8.9,1.1,3.5,9.7
Chicago Cubs,4.35,705,1255,225,210,672,0.237,0.312,0.407,0.719,93,5.18,0.438,4.87,40,1386,839,235,1358,87,4.88,1.403,8.8,1.5,3.8,8.7
Chicago White Sox,4.91,796,1373,275,190,757,0.256,0.336,0.422,0.758,106,3.93,0.574,3.73,43,1205,636,182,1588,118,3.74,1.204,7.7,1.2,3.1,10.2
Cincinnati Reds,4.85,786,1352,295,222,756,0.249,0.328,0.431,0.759,95,4.69,0.512,4.4,41,1330,760,206,1524,107,4.34,1.357,8.3,1.3,3.9,9.6
Cleveland Indians,4.43,717,1269,248,203,686,0.238,0.303,0.407,0.71,94,4.49,0.494,4.34,39,1281,727,216,1391,99,4.43,1.281,8.2,1.4,3.3,8.9
Colorado Rockies,4.59,739,1338,275,182,709,0.249,0.317,0.414,0.731,86,4.94,0.46,4.82,33,1397,796,196,1269,100,4.47,1.386,9,1.3,3.5,8.2
Detroit Tigers,4.3,697,1299,236,179,675,0.242,0.308,0.399,0.707,96,4.67,0.475,4.32,42,1370,756,199,1259,99,4.6,1.367,8.7,1.3,3.6,8
Houston Astros,5.33,863,1496,299,221,834,0.267,0.339,0.444,0.783,113,4.06,0.586,3.78,34,1231,658,187,1456,114,4.12,1.232,7.7,1.2,3.4,9.1
Kansas City Royals,4.23,686,1349,251,163,647,0.249,0.306,0.396,0.702,90,4.86,0.457,4.64,37,1375,788,189,1344,99,4.39,1.387,8.7,1.2,3.8,8.5
Los Angeles Angels,4.46,723,1331,265,190,691,0.245,0.31,0.407,0.717,93,4.96,0.475,4.69,39,1373,804,188,1453,96,4.25,1.382,8.7,1.2,3.7,9.2
Los Angeles Dodgers,5.12,830,1330,247,237,799,0.244,0.33,0.429,0.759,101,3.46,0.654,3.01,56,1107,561,161,1599,140,3.54,1.097,6.9,1,3,9.9
Miami Marlins,3.85,623,1244,226,158,594,0.233,0.298,0.372,0.671,81,4.33,0.414,3.96,33,1282,701,162,1381,107,4.01,1.28,8.2,1,3.4,8.8
Milwaukee Brewers,4.56,738,1251,255,194,700,0.233,0.317,0.396,0.713,92,3.85,0.586,3.5,44,1156,623,168,1618,119,3.72,1.179,7.2,1.1,3.4,10.1
Minnesota Twins,4.5,729,1311,271,228,690,0.241,0.314,0.423,0.738,103,5.15,0.451,4.83,42,1392,834,239,1317,89,4.66,1.322,8.8,1.5,3.1,8.4
New York Mets,3.93,636,1243,228,176,604,0.239,0.315,0.391,0.705,93,4.12,0.475,3.9,41,1221,668,190,1453,104,4.03,1.23,8,1.2,3.1,9.5
New York Yankees,4.39,711,1266,213,222,666,0.237,0.322,0.407,0.729,100,4.13,0.568,3.74,47,1243,669,196,1569,115,3.9,1.209,7.8,1.2,3.1,9.8
Oakland Athletics,4.59,743,1284,271,199,698,0.238,0.317,0.406,0.723,102,4.24,0.531,4.02,39,1362,687,191,1332,103,4.1,1.257,8.6,1.2,2.8,8.4
Philadelphia Phillies,4.53,734,1288,262,198,700,0.24,0.318,0.408,0.726,95,4.6,0.506,4.39,36,1321,745,200,1480,96,4.15,1.29,8.4,1.3,3.2,9.4
Pittsburgh Pirates,3.76,609,1261,240,124,570,0.236,0.309,0.364,0.673,82,5.14,0.377,5.08,25,1400,833,213,1312,84,4.74,1.437,9,1.4,3.9,8.5
San Diego Padres,4.5,729,1305,273,180,695,0.242,0.321,0.401,0.722,101,4.37,0.488,4.1,43,1277,708,205,1517,95,4.18,1.254,8,1.3,3.2,9.5
Seattle Mariners,4.3,697,1209,233,199,673,0.226,0.303,0.385,0.688,92,4.62,0.556,4.3,51,1356,748,197,1328,97,4.26,1.278,8.5,1.2,3,8.3
San Francisco Giants,4.96,804,1360,271,241,768,0.249,0.329,0.44,0.769,107,3.67,0.66,3.24,56,1254,594,151,1425,128,3.55,1.148,7.8,0.9,2.6,8.8
St. Louis Cardinals,4.36,706,1303,261,198,678,0.244,0.313,0.412,0.725,99,4.15,0.556,3.98,50,1234,672,152,1225,99,4.3,1.3,7.8,1,3.9,7.8
Tampa Bay Rays,5.29,857,1336,288,222,810,0.243,0.321,0.429,0.75,110,4.02,0.617,3.67,42,1264,651,184,1478,111,3.79,1.168,7.8,1.1,2.7,9.1
Texas Rangers,3.86,625,1254,225,167,598,0.232,0.294,0.375,0.67,83,5.03,0.37,4.79,31,1402,815,232,1239,93,4.76,1.344,8.9,1.5,3.2,7.8
Toronto Blue Jays,5.22,846,1455,285,262,816,0.266,0.33,0.466,0.797,113,4.09,0.562,3.91,34,1257,663,209,1468,115,4.18,1.231,8.1,1.3,3,9.4
Washington Nationals,4.47,724,1388,272,182,686,0.258,0.337,0.417,0.754,107,5.06,0.401,4.8,36,1364,820,247,1346,84,4.87,1.371,8.8,1.6,3.5,8.7
League Average,4.53,734,1316,262,198,700,0.244,0.317,0.411,0.728,97,4.53,0.5,4.26,40,1316,734,198,1405,101,4.27,1.297,8.3,1.3,3.3,8.9
,4.53,22010,39484,7863,5944,20993,0.244,0.317,0.411,0.728,97,4.53,0.5,4.26,1191,39484,22010,5944,42145,101,4.27,1.297,8.3,1.3,3.3,8.9
