"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Andres Munoz",20373,"2024-09-24","@HOU",11,2024,"SEA","A",25,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0.5,0,2,0,1,0,1,0,0,0.25,0,0.25,0.992229084014893,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,28.1728704898465,27.173712862954,2,0.333333333,0.666666666,0,0,0,0,0,4,13,17,0.0289099961519241,-0.0068639968521893,0.0357739925384521,0.476999998092651,0.0505564361810684,0.414000004529953,0.50900000333786,0.50900000333786,NA,0,1,0.0521811917424202,0.0176497160730228,0,0,0.58823529,100.5,0.41176471,89.14285714,NA,0.0961377620697021,0.209746092557907,0.961377620697021,2.99637275082724,0.45454545,0.66666667,0.52941176,0.6,0.5,0.55555556,0.35294118,0.75,0.23529412,2,0,1,2,1,0,3,0.66666667,0,0.33333333,0.66666667,0.33333333,0,2.96549621991594,80,73.21235,80,80,80,61.22241,26.25586,60.06902,21.79969,79.84813,71.18345,65.95493,-1.72894,1.48368,138.08,138.28,171.54,159.6,101.04,147.08,121.22,54.48,77.5,133.669411764706,99.3929411764706,129.94,0.47058824,0.11764706,0.41176471,100.474998474121,99.6499938964844,89,-5.83662271499634,-10.4114694595337,2.58034597124372,10.1119213104248,5.61374950408936,0.846321991511754,0.401730295270681,-0.305385231971741,0.211380321532488,5.02162869088352,-15.269261598587,3.01971887903554,0.5,0.55555556,0.52941176,0.5,0.6,0.55555556,0.52941176,16.38461538,0.47058824,0.11764706,0.41176471,100.46435546875,99.6379013061523,88.9769461495536,-5.26752519607544,-9.81428527832031,3.50147138323103,9.0278902053833,4.25309467315674,-0.569632291793823,0.401730295270681,-0.305385231971741,0.211380321532488,5.02162869088352,-15.269261598587,3.01971887903554,0.5,0.55555556,0.52941176,0.5,0.6,0.55555556,0.52941176,3,85.2676010131836,-38.7791646321615,0,0,86.7754,0,0,"2024-09-24",0
"Andres Munoz",20373,"2024-09-22","@TEX",11,2024,"SEA","A",25,0,1,13.500014081612,1,0,0,0,0,0,0,0,0.2,4,2,1,1,0,0,0,0,0,0,1,13.500014081612,0,27.000028163224,1,0,0,1,0,2,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0.5,3.00000312924711,0.666666666666667,0.5,0.166476649042681,13.3335374325693,0.166476649042681,357.238135434255,2.38049007656254,2.29606542354053,1,0.666666666,0.333333333,0,0,0,0,0,3,8,11,-0.364508002996445,-0.465376019477844,0.100868009030819,-0.734000027179718,-0.0762201473116875,2.29992008209229,2.25040006637573,2.25040006637573,NA,0,1,-0.093023382127285,-0.0654638652490865,0,1,0.54545455,98.5,0.45454545,88.2,NA,-0.0840802565217018,-0.286074012517929,-1.40133760869503,-5.72148025035858,0.5,0.66666667,0.54545455,0.25,1,0.5,0.27272727,0.5,0.27272727,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,7.05731575141847,80,79.12043,80,20,76.3799,20,56.60364,55.66009,57.27687,62.47165,70.21186,54.6123,-0.64941,3.10298,110.98,126,143.28,98.18,51.58,58.96,120.8,107.08,114.58,111.952727272727,97.1036363636364,107.238181818182,0.27272727,0.27272727,0.45454545,98.5,98.4333292643229,87.9400024414062,-5.14935048421224,-10.3121827443441,2.80086116790771,9.8207639058431,3.62802378336589,0.257120656967163,-0.141185164451599,0.0544858016073704,-0.291524820029736,-4.70617214838664,1.81619338691235,-5.83049640059471,0.4,0.66666667,0.54545455,0,0.75,0.5,0.54545455,18,0.27272727,0.27272727,0.45454545,98.9784647623698,98.9148661295573,88.4052978515625,-4.45651340484619,-9.7566401163737,3.35890197753906,8.716796875,2.2689266204834,-1.03981504440308,-0.141185164451599,0.0544858016073704,-0.291524820029736,-4.70617214838664,1.81619338691235,-5.83049640059471,0.4,0.66666667,0.54545455,0,0.75,0.5,0.54545455,3,96.0733133951823,7.9171454111735,0,0,103.079,2,0.66666667,"2024-09-22",0
"Andres Munoz",20373,"2024-09-19","NYY",11,2024,"SEA","H",25,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-74.9963283213715,-72.3365655024484,0,0,0,0,0,0,0,0,4,10,14,0.14545601606369,0,0.14545601606369,0.430000007152557,0.048835888504982,2.00300002098083,2.75139999389648,2.75139999389648,NA,0,1,0.0726854503154755,-6.63716634129174e-05,1,0,0.71428571,99,0.28571429,87.5,NA,0.68412846326828,0.114809304475784,6.8412846326828,2.87023261189461,0.33333333,0.625,0.5,0.5,0.4,0.42857143,0.57142857,0.66666667,0.28571429,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.63884810413122,80,61.38584,75.47795,NA,NA,NA,74.82744,62.72737,77.91225,80,61.13078,80,-2.29332,0.63711,108.9,148.3,159.02,NA,NA,NA,133.08,82.92,105.7,115.808571428571,129.62,143.785714285714,0.71428571,NA,0.28571429,98.9200012207031,NA,87.5999984741211,-6.40579528808594,NA,2.93363428115845,8.67566833496094,NA,-0.254828542470932,0.693043615669012,NA,0.114615067839622,6.93043615669012,NA,2.86537669599056,0.2,0.66666667,0.5,0,0.5,0.42857143,0.64285714,15.54545455,0.71428571,NA,0.28571429,98.9748901367188,NA,87.63232421875,-6.01892318725586,NA,3.52641749382019,7.78109817504883,NA,-1.63586902618408,0.693043615669012,NA,0.114615067839622,6.93043615669012,NA,2.86537669599056,0.2,0.66666667,0.5,0,0.5,0.42857143,0.64285714,0,NA,NA,0,NA,NA,0,NA,"2024-09-19",0
"Andres Munoz",20373,"2024-09-18","NYY",11,2024,"SEA","H",25,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,105.54976959826,139.421515985497,1,0,0.5,0.5,0,0,1,9,10,14,24,0.0428759977221489,-0.010735996067524,0.0536119937896729,0.430000007152557,0.048835888504982,0.63604998588562,0.796599984169006,0.796599984169006,2.21659994125366,1,1,0.0480728298425674,0.0193369628995068,0,0,0.58333333,99.78571429,0.41666667,88.5,NA,-0.177622437477112,0.591917395591736,-1.26873169626508,5.91917395591736,0.21428571,0.7,0.41666667,0.66666667,0.71428571,0.7,0.41666667,0.75,0.125,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,2.72831429353976,44.3286,71.45083,25.75434,41.05705,55.42464,41.88678,52.07072,64.95418,49.91976,47.51058,68.52045,37.58664,0.28007,4.4972,139.36,45.6,77.08,110.76,119.2,111,125.64,79.42,109.22,128.876666666667,71.9583333333333,96.125,0.41666667,0.16666667,0.41666667,99.9599975585938,98.8499984741211,88.3200012207031,-5.16276359558105,-10.2489395141602,2.8156888961792,9.56354904174805,3.98982095718384,-0.452821016311646,-0.148196838796139,-0.0362303406000137,0.599155612289906,-1.48196838796139,-0.905758515000343,5.99155612289906,0.27272727,0.53846154,0.41666667,0.66666667,0.71428571,0.7,0.54166667,16,0.41666667,0.16666667,0.41666667,100.065618896484,98.9773025512695,88.3865966796875,-4.82860984802246,-9.69672012329102,3.40346412658691,8.47354888916016,2.56566500663757,-1.98764896392822,-0.148196838796139,-0.0362303406000137,0.599155612289906,-1.48196838796139,-0.905758515000343,5.99155612289906,0.2,0.57142857,0.41666667,0.5,0.75,0.7,0.58333333,2,83.3090972900391,3.9381046295166,0,0,92.9784,0,0,"2024-09-18",0
"Andres Munoz",20373,"2024-09-14","TEX",11,2024,"SEA","H",25,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.7574698954555,114.543946394147,2,0,0.666666666,0.333333333,0,0,1,9,4,7,11,0.122697994112968,0,0.122697994112968,0.430000007152557,0.048835888504982,1.69226670265198,2.21659994125366,2.21659994125366,NA,0,1,0.0725233778357506,-1.82615200501612e-05,1,0,0.72727273,98.25,0.27272727,86.66666667,NA,0.415373831987381,0.258619874715805,5.19217289984226,8.62066249052684,0.42857143,0.75,0.54545455,0.33333333,0.66666667,0.5,0.36363636,0.33333333,0.27272727,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,1.10610615527212,45.38172,59.62522,20.19867,25.34172,80,20,46.36399,52.32567,37.16833,41.01979,62.06122,20,0.68332,5.10207,135.52,142.06,164.46,139.8,10.82,40.18,114.84,105.44,116.12,131.436363636364,84.3490909090909,106.083636363636,0.36363636,0.36363636,0.27272727,98.75,97.5250015258789,86.5666707356771,-6.98147583007812,-10.1347885131836,3.01429557800293,9.36155986785889,4.84704923629761,-0.628318786621094,0.522287044674158,-0.101923398673534,0.261880218982697,13.057176116854,-2.54808496683836,8.72934063275655,0.33333333,0.8,0.54545455,0,0.75,0.5,0.45454545,15.625,0.36363636,0.36363636,0.27272727,98.9510269165039,97.7196273803711,86.7826334635417,-6.56234741210938,-9.43828010559082,3.78881994883219,8.46564769744873,3.55448007583618,-2.13258330027262,0.522287044674158,-0.101923398673534,0.261880218982697,13.057176116854,-2.54808496683836,8.72934063275655,0.42857143,0.75,0.54545455,0.33333333,0.66666667,0.5,0.36363636,3,74.1275736490885,-5.7015495300293,0,0,87.0273,0,0,"2024-09-14",0
"Andres Munoz",20373,"2024-09-13","TEX",11,2024,"SEA","H",25,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,28.1728704898465,102.403901559937,0,0,0,1,0,0,0,0,3,5,8,0.14545601606369,0,0.14545601606369,0.430000007152557,0.048835888504982,2.00300002098083,2.75139999389648,2.75139999389648,NA,0,1,0.0726854503154755,-6.63716634129174e-05,1,0,0.5,98.5,0.5,87.75,NA,0.429834514856339,0.353651970624924,10.7458628714085,8.84129926562309,0.57142857,1,0.625,0.75,0,0.6,0.125,0.33333333,0.25,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,-0.486112462779717,46.63409,77.83963,40.1165,80,79.87109,52.85821,80,54.41588,80,80,69.56914,74.51288,-1.83585,1.32332,101.58,90.42,98.56,145.2,156.74,182.6,114.54,118.56,135,118.965,121.07,137.79,0.25,0.25,0.5,98.5,98.6999969482422,87.4000015258789,-5.52722549438477,-10.931432723999,2.91300535202026,8.71842384338379,4.84917736053467,-0.775977671146393,0.217715758830309,0.199157793074846,0.357874944806099,10.8857879415154,9.95788965374231,8.94687362015247,0,1,0.625,NA,0.6,0.6,0.625,23.4,0.25,0.25,0.5,98.8361053466797,98.9929504394531,87.6913223266602,-4.88541507720947,-10.3658504486084,3.8506498336792,7.8369197845459,3.52843475341797,-2.17193984985352,0.217715758830309,0.199157793074846,0.357874944806099,10.8857879415154,9.95788965374231,8.94687362015247,0,1,0.625,NA,0.6,0.6,0.625,2,74.8736572265625,43.236701965332,0,0,74.9564,0,0,"2024-09-13",0
"Andres Munoz",20373,"2024-09-11","SDP",11,2024,"SEA","H",25,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.4117289157625,-22.5814263197472,1,0,1,0,0,0,0,0,5,9,14,0.0269820131361485,0,0.0269820131361485,0.430000007152557,0.048835888504982,0.36873334646225,0.651800036430359,0.651800036430359,NA,0,1,0.0735637322068214,-0.000388866426379142,0,0,0.78571429,98.81818182,0.21428571,88,NA,0.486983150243759,0.246409565210342,4.42711954767054,8.21365217367808,0,0.375,0.21428571,NA,1,1,0.57142857,0.66666667,0,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.50363544136067,80,68.31731,80,36.82993,62.94468,21.6176,80,72.46644,80,80,67.39584,80,-1.85511,1.29443,112.94,124.32,142.88,121.02,94.96,99.16,119.52,135.42,150.06,116.081428571429,120.407142857143,135.05,0.57142857,0.21428571,0.21428571,98.9499969482422,98.3333333333333,88.0333353678385,-6.7006049156189,-11.0854619344076,2.91711489359538,8.80634689331055,4.52965513865153,0.368409792582194,0.356044851243496,0.13644939661026,0.249327931553125,4.4505606405437,4.548313220342,8.31093105177085,0.2,0.22222222,0.21428571,1,1,1,0.64285714,16.72727273,0.57142857,0.21428571,0.21428571,99.1187362670898,98.5030721028646,88.1716003417969,-6.13360643386841,-10.310099919637,3.68033981323242,7.81491613388062,3.13774331410726,-1.11592396100362,0.356044851243496,0.13644939661026,0.249327931553125,4.4505606405437,4.548313220342,8.31093105177085,0.2,0.22222222,0.21428571,1,1,1,0.64285714,1,90.9961853027344,-34.6650276184082,0,0,90.9962,0,0,"2024-09-11",0
"Andres Munoz",20373,"2024-09-05","@OAK",11,2024,"SEA","A",25,0,0,18,1,0,0,0,0,0,0,0,1,5,1,2,2,1,1,0,0,0,0,2,18,9,9,2,0,0,0,1,1,0,0,0,0,0.4,0.2,0.2,3.77064908401489,9,0.25,2,0,0,15.1664797782898,2.83352022171021,3.67848818451166,476.317017074456,389.265066329109,89.6663768027962,0,0.5,0,0.5,0,1,0,0,5,9,14,0.0151439998298883,-0.0117039997130632,0.0268479995429516,-1.54699993133545,-0.169627204537392,0.252400010824203,0.381200015544891,0.381200015544891,NA,0,1,-0.0458497926592827,0.105849789412199,0,0,0.57142857,97.875,0.42857143,87.33333333,NA,-1.32474052906036,0.382856607437134,-16.5592566132545,6.38094345728556,0.44444444,0.6,0.5,0,1,0.42857143,0.35714286,0.8,0.28571429,0,2,0,0,0,2,2,0,1,0,0,0,1,19.5197622624328,20,64.01062,20,28.55761,80,28.46935,72.92347,59.25521,73.94424,37.6011,68.9175,30.30277,0.89571,5.42066,103.16,-1.94000000000001,6.53999999999999,105.2,45.3,54.08,125.92,133.84,145.56,113.497142857143,69.7485714285714,79.7028571428571,0.28571429,0.28571429,0.42857143,97.9749984741211,98.0749969482422,87.4166666666667,-7.68608522415161,-12.6340913772583,2.74502245585124,7.99309968948364,6.56477403640747,0.781774679819743,-1.50168369337916,0.214870728552341,0.386564470827579,-37.5420923344791,5.37176821380854,6.44274118045966,0.5,0.5,0.5,0,1,0.42857143,0.42857143,14.55555556,0.35714286,0.21428571,0.42857143,97.9874572753906,97.9021301269531,87.3160502115885,-7.61985168457031,-11.8331336975098,4.16194343566895,6.88567428588867,4.35612328847249,-0.978928168614705,-1.53673239797354,0.249919433146715,0.386564470827579,-30.7346479594708,8.33064777155717,6.44274118045966,0.5,0.5,0.5,0,1,0.42857143,0.42857143,2,102.943069458008,25.4006843566895,1,0.5,107.378,2,1,"2024-09-05",0
"Andres Munoz",20373,"2024-08-31","@LAA",11,2024,"SEA","A",25,0,1,13.500014081612,1,0,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,13.500014081612,0.333333333333333,1.50000156462356,0,1,19.6664969891489,-6.16648290753691,4.70250659915622,357.238135434255,505.330858899366,115.141466175941,0,0,0,1,0,0.5,0,0,1,11,12,-0.361159980297089,-0.464267998933792,0.103108018636703,-0.597000002861023,-0.0605783835053444,1.82453334331512,2.26699995994568,2.26699995994568,NA,0,1,-0.282572835683823,0.0846263406963036,0,1,0.33333333,99,0.66666667,88,NA,0.24982325732708,-1.14409363269806,6.24558143317699,-14.3011704087257,0.71428571,0.8,0.75,0.8,0.75,0.77777778,0.41666667,0.66666667,0.16666667,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,16.4014819467252,80,63.41761,80,NA,NA,NA,67.79087,60.84967,59.39121,80,67.12751,75.22702,-1.9385,1.16934,134.22,152.36,177.92,NA,NA,NA,125.6,122.26,139.64,128.473333333333,132.293333333333,152.4,0.33333333,NA,0.66666667,98.8499984741211,NA,87.875,-7.18359088897705,NA,2.19970631599426,7.63005924224854,NA,0.16514065861702,0.294975999742746,NA,-1.15380538254976,7.37439999356866,NA,-14.422567281872,0.83333333,0.66666667,0.75,0.8,0.75,0.77777778,0.5,18.33333333,0.33333333,NA,0.66666667,98.6596755981445,NA,87.6529006958008,-6.69530963897705,NA,2.92539238929749,7.14907264709473,NA,-0.870459139347076,0.294975999742746,NA,-1.15380538254976,7.37439999356866,NA,-14.422567281872,0.75,0.75,0.75,0.66666667,1,0.77777778,0.33333333,2,97.5309982299805,30.4949913024902,1,0.5,107.086,1,0.5,"2024-08-31",0
"Andres Munoz",20373,"2024-08-28","TBR",11,2024,"SEA","H",25,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.4117289157625,15.0336680287444,0,0,0,1,0,0,0,0,5,8,13,0.011406003497541,0,0.011406003497541,0.430000007152557,0.048835888504982,0.152333334088326,0.289600014686584,0.289600014686584,NA,0,1,0.0776135176420212,-0.00273822153035364,0,0,0.53846154,99,0.46153846,87.5,NA,0.227542445063591,0.554905951023102,3.2506063580513,9.2484325170517,0.28571429,0.33333333,0.30769231,0,0.5,0.25,0.46153846,0.33333333,0.23076923,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.61157757185752,64.28119,73.56626,50.58342,45.96374,80,36.25958,64.39671,63.74145,68.54805,65.86162,74.27436,60.26001,-0.86001,2.78708,104.5,123.86,136.92,136.44,72.84,104.24,139.5,94.38,118.56,128.024615384615,98.48,120.904615384615,0.38461538,0.15384615,0.46153846,99.1,99.1000061035156,87.3833312988281,-8.70015869140625,-10.7023258209229,3.07569662729899,7.77544784545898,3.37782716751099,0.279951532681783,0.313178453594446,-0.0833708606660366,0.561396006494761,6.26356907188892,-4.16854303330183,9.35660010824601,0.33333333,0.28571429,0.30769231,0,0.5,0.25,0.53846154,16.9,0.38461538,0.15384615,0.46153846,99.4200988769531,99.4356536865234,87.6565653483073,-8.08784637451172,-10.1188507080078,3.53934319814046,6.87030181884766,2.23213505744934,-0.869438012440999,0.313178453594446,-0.0833708606660366,0.561396006494761,6.26356907188892,-4.16854303330183,9.35660010824601,0.33333333,0.28571429,0.30769231,0,0.5,0.25,0.53846154,1,87.136116027832,62.0133857727051,0,0,87.1361,0,0,"2024-08-28",0
