"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Beau Brieske",26079,"2024-09-28","CHW",6,2024,"DET","H",26,0,1,4.5,1,1,0,0,0,0,0,0,2,7,1,1,1,1,0,0,0,0,0,1,4.5,0,4.5,1,0,0,0,6,0,1,0,0,0,0.14285714,0,0.14285714,9.3247086892723,4.5,0.142857142857143,0.5,0,1,8.66647977828979,-4.16647977828979,6.70250499695539,112.980011856929,216.347938568358,164.896565499779,0,0,0,1,0.166666666,0.166666666,0,0,7,24,31,-0.01669598557055,-0.112875990569592,0.0961800068616867,-0.0400000065565109,-0.00421940721571445,0.608342826366425,0.899999976158142,0.870000004768372,0.862800002098083,1,1,-0.120646633207798,0.0932016057546536,0,0,0.70967742,95.95454545,0.09677419,87.33333333,0.19354839,88.16666667,NA,1.22192895412445,0.194109916687012,-1.31101632118225,5.5542225187475,6.47033055623372,-21.8502720197042,0.46666667,1,0.74193548,0.71428571,1,0.91304348,0.51612903,0.57142857,0.06451613,1,3,2,1,4,1,6,0.16666667,0.5,0.33333333,0.16666667,0.66666667,0.16666667,5.94614624074953,41,64.04463,61.74968,73.18632,67.03395,58.88751,59.01831,48.3169,37.05053,41.93493,20.25785,59.78793,20,62.19102,55.62519,58.74364,-0.63197,3.12914,105.62,98.96,102.76,106.98,120.36,128.68,92.44,116.84,113.5,152.96,51.12,60.28,109.290322580645,109.063225806452,115.085161290323,0.58064516,0.12903226,0.09677419,0.19354839,96.2555541992188,94.4499969482422,87.1333312988281,87.9500020345052,-3.53150049845378,-7.47411727905273,1.54345607757568,-9.2757142384847,11.1642939249674,9.41220378875732,1.92818435033162,4.49895413716634,1.19568882882595,0.0833352096378803,0.196704462170601,-1.31214337050915,6.64271571569973,2.08338024094701,6.5568154056867,-21.8690561751525,0.46666667,1,0.74193548,0.71428571,1,0.91304348,0.51612903,20.95833333,0.19354839,0.58064516,0.12903226,0.09677419,87.9469807942708,96.2742852105035,94.4555969238281,87.140869140625,-8.59042994181315,-2.75165176391602,-7.02585506439209,2.52172009150187,3.03613662719727,9.94554477267795,8.3647575378418,0.230435967445374,-1.31214337050915,1.19568882882595,0.0833352096378803,0.196704462170601,-21.8690561751525,6.64271571569973,2.08338024094701,6.5568154056867,0.42857143,1,0.74193548,0.66666667,1,0.91304348,0.5483871,6,91.1101684570312,45.0477803548177,1,0.16666667,99.5958,2,0.33333333,"2024-09-28",0
"Beau Brieske",26079,"2024-09-26","TBR",6,2024,"DET","H",26,1,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,5.4344923876226,0,77.8618549705486,133.351493568393,1,0,0.5,0.5,0.333333333,0,2,9,8,15,23,0.102348014712334,0,0.102348014712334,0.959999978542328,0.101265825331211,0.684933304786682,0.912999987602234,0.954800009727478,2.83759999275208,1,1,0.149620860815048,-0.000193151581067724,1,0,0.56521739,96,0.17391304,86.75,0.26086957,89.33333333,NA,0.606839776039124,0.0976123809814453,0.681273281574249,4.66799827722403,2.44030952453613,11.3545546929042,0.41666667,0.72727273,0.56521739,1,0.75,0.84615385,0.47826087,0.5,0.08695652,0,3,3,4,2,0,6,0,0.5,0.5,0.66666667,0.33333333,0,0.492942819052363,NA,77.86698,52.85467,74.17309,27.2424,65.20488,20,65.75439,55.13568,68.85588,20,40.49983,20.3987,41.69732,57.01974,40.74487,0.64123,5.03894,96.36,121.7,122.6,106.86,65.74,73.66,114.4,102.5,122.8,99.66,43.78,53.42,103.852173913043,81.3139130434783,89.3165217391304,0.43478261,0.13043478,0.17391304,0.26086957,95.8599975585937,96.5666707356771,86.5999984741211,89.0999959309896,-3.31479110717773,-8.34227752685547,1.26849746704102,-8.55539321899414,11.2274749755859,10.0306091308594,1.67505717277527,3.65568923950195,0.112169854342937,0.543424800038338,0.0984539911150932,0.690675381571054,1.12169854342937,18.1141600012779,2.46134977787733,11.5112563595176,0.38461538,0.8,0.56521739,1,0.75,0.84615385,0.43478261,19,0.26086957,0.43478261,0.13043478,0.17391304,89.190684000651,95.9628601074219,96.6764322916667,86.6775741577148,-7.91497357686361,-2.65953102111816,-7.85375340779622,2.00083756446838,2.36275498072306,10.0278923034668,8.52507019042969,0.680377960205078,0.690675381571054,0.112169854342937,0.543424800038338,0.0984539911150932,11.5112563595176,1.12169854342937,18.1141600012779,2.46134977787733,0.3,0.76923077,0.56521739,1,0.8,0.84615385,0.56521739,6,76.6180623372396,18.4115435282389,0,0,98.6259,1,0.16666667,"2024-09-26",0
"Beau Brieske",26079,"2024-09-24","TBR",6,2024,"DET","H",26,0,0,4.5,1,0,0,0,0,1,0,0,2,7,1,1,1,1,0,0,0,0,0,3,13.5,0,4.5,3,0,0,0,4,0,1,0,0,0,0.42857143,0,0.42857143,2.72125969988299,4.5,0.142857142857143,0.5,0,1,6.6664797782898,-2.1664797782898,3.19049659073353,112.980011856929,165.989362714609,77.5263319685865,0,0,0,1,0.25,0.25,0,0,3,20,23,0.142103984951973,-0.0241520032286644,0.166255995631218,-0.0400000065565109,-0.00421940721571445,1.00508570671082,1.44079995155334,1.42120003700256,NA,0,1,0.0938904210925102,0.0474945215080707,1,0,0.69565217,95.6875,0.08695652,88,0.2173913,88.8,NA,1.15612018108368,0.00152462720870972,-1.01343381404877,7.22575113177299,0.0762313604354858,-20.2686762809753,0.42857143,0.875,0.73913043,0.33333333,0.64285714,0.58823529,0.69565217,0.85714286,0.30434783,3,0,1,2,1,1,4,0.75,0,0.25,0.5,0.25,0.25,4.46208343953234,NA,67.58527,49.868,80,66.31821,51.07894,66.85621,59.3315,46.40587,69.12051,80,47.44934,80,72.88623,47.39415,80,-1.29643,2.13245,106.8,127.62,121.38,107.1,99.7,97.26,97.84,94.16,94.82,112.84,145.86,145.56,106.728695652174,109.301739130435,106.491304347826,0.60869565,0.08695652,0.08695652,0.2173913,95.6428571428571,94.8999938964844,87.8000030517578,88.7,-4.53925568716867,-7.74873733520508,0.842633128166199,-9.06391296386719,10.777581351144,8.9871654510498,0.667936682701111,3.94395370483398,0.91666741669178,0.252764478325844,0.00128604471683502,-1.02779078483582,6.54762440494129,12.6382239162922,0.0643022358417511,-20.5558156967163,0.4,0.83333333,0.73913043,0,0.66666667,0.58823529,0.7826087,19.73333333,0.2173913,0.60869565,0.08695652,0.08695652,88.7268005371094,95.7086966378348,94.9523010253906,87.7914505004883,-8.33370819091797,-3.78498704092843,-7.09321022033691,1.97768497467041,2.44458599090576,9.47083500453404,7.80366039276123,-0.543620109558105,-1.02779078483582,0.91666741669178,0.252764478325844,0.00128604471683502,-20.5558156967163,6.54762440494129,12.6382239162922,0.0643022358417511,0.5,0.82352941,0.73913043,0,0.71428571,0.58823529,0.73913043,4,88.8660736083984,59.1406936645508,0,0,97.5199,1,0.25,"2024-09-24",0
"Beau Brieske",26079,"2024-09-21","@BAL",6,2024,"DET","A",26,1,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,1,4.5,4.5,0,1,0,0,3,2,0,0,0,0,0,0.14285714,0.14285714,0,5.4426270424455,0,0,0.5,0,1,3.6664797782898,-3.6664797782898,5.17848818451166,0,90.4514989339858,126.982731189822,1.5,0,0.6,0.4,0,0,2,9,11,12,23,0.610459983348846,-0.0912399962544441,0.70169997215271,2.99699997901917,0.322258055210114,3.53885722160339,2.78066658973694,2.17000007629395,NA,0,1,0.157184645533562,0.0153173643305881,1,0,0.43478261,95,0.08695652,84,0.47826087,86.90909091,NA,-0.38744705915451,-0.0688154324889183,1.5445511341095,-3.87447059154511,-3.44077162444592,14.04137394645,0.4,0.66666667,0.43478261,0.625,1,0.7,0.13043478,0.42857143,0.13043478,1,3,1,1,3,1,5,0.2,0.6,0.2,0.2,0.6,0.2,2.05448307926101,NA,77.49821,53.08162,73.77956,20,60.51814,20,NA,NA,NA,20,39.33262,20,20,57.20008,20,2.20645,7.38677,89.36,137.58,138.64,92.6,-16.7,-12.5,NA,NA,NA,88.68,19.22,21.42,90.7095652173913,60.2095652173913,62.7339130434783,0.43478261,NA,0.08695652,0.47826087,94.85,NA,84.0500030517578,86.9090909090909,-2.7605712890625,NA,1.58163177967072,-8.74558535489169,10.9593658447266,NA,0.0987113118171692,3.47983724420721,-0.397827789187431,NA,-0.0700974091887474,1.56489751860499,-3.97827789187431,NA,-3.50487045943737,14.2263410782272,0.42105263,0.5,0.43478261,0.625,1,0.7,0.17391304,21.25,0.47826087,0.43478261,NA,0.08695652,86.9064719460227,94.8585205078125,NA,84.0090484619141,-8.48617553710938,-2.58638801574707,NA,1.65068006515503,1.86831300908869,9.91520919799805,NA,-0.888272523880005,1.56489751860499,-0.397827789187431,NA,-0.0700974091887474,14.2263410782272,-3.97827789187431,NA,-3.50487045943737,0.42105263,0.5,0.43478261,0.625,1,0.7,0.17391304,5,82.2265380859375,6.44447326660156,0,0,100.253,1,0.2,"2024-09-21",0
"Beau Brieske",26079,"2024-09-17","@KCR",6,2024,"DET","A",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-73.2138725906976,-72.3365655024484,0,0,0,0,0,0,0,0,6,13,19,0.0904899910092354,0,0.0904899910092354,0.533999979496002,0.0522760637104511,1.16906666755676,1.5161999464035,1.5161999464035,1.81620001792908,1,1,0.0774461850523949,-4.2565977059511e-05,1,0,0.68421053,96.46153846,0.15789474,88,0.15789474,89.33333333,NA,0.523070812225342,-0.120182275772095,0.373413860797882,4.02362163250263,-4.00607585906982,12.4471286932627,0.45454545,0.75,0.57894737,0.8,0.66666667,0.72727273,0.42105263,0.33333333,0.15789474,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.78130670375586,NA,80,72.92347,80,80,60.45916,80,66.42767,39.11705,60.84057,52.64498,52.01003,49.65764,80,55.20015,80,-2.99616,-0.41715,109,228.92,261.18,114,149.12,160.1,118.86,152.32,161.44,128.76,118.06,125.1,116.82,157.657894736842,170.886315789474,0.42105263,0.26315789,0.15789474,0.15789474,96.5,96.0599975585938,88.1666666666667,88.9333292643229,-2.59815788269043,-8.26356964111328,1.23601587613424,-8.33266067504883,10.8964290618896,8.51715316772461,2.19271119435628,3.59237098693848,0.344157844781876,0.184510141611099,-0.122498951852322,0.378776405006647,4.30197305977345,3.69020283222199,-4.08329839507739,12.6258801668882,0.45454545,0.75,0.57894737,0.6,0.83333333,0.72727273,0.42105263,21.5625,0.15789474,0.42105263,0.26315789,0.15789474,88.7561340332031,96.3777160644531,95.9231201171875,88.0303344726562,-8.33649317423503,-2.44680261611938,-8.17795181274414,1.81224330266317,2.29000329971313,9.88724994659424,7.25619354248047,0.796580632527669,0.378776405006647,0.344157844781876,0.184510141611099,-0.122498951852322,12.6258801668882,4.30197305977345,3.69020283222199,-4.08329839507739,0.4,0.77777778,0.57894737,0.75,0.71428571,0.72727273,0.47368421,0,NA,NA,0,NA,NA,0,NA,"2024-09-17",0
"Beau Brieske",26079,"2024-09-16","@KCR",6,2024,"DET","A",26,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,1,0,1,0,0,0,0,0.25,0.25,0,5.94041658401489,0,0.333333333333333,2,0.5,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,103.041142897423,101.806421637006,1,0.5,0.5,0,0,0,0,0,6,7,13,0.146794021129608,-0.233303993940353,0.380097985267639,0.534000039100647,0.0522760674357414,4.00299978256226,2.49860000610352,2.49860000610352,3.55060005187988,1,1,0.00371717079542577,0.0329538332273743,1,0,0.69230769,96.77777778,0.07692308,85,0.23076923,87.66666667,NA,0.753176271915436,-0.0344077162444592,-0.445574522018433,8.36862524350484,-3.44077162444592,-14.8524840672811,0.14285714,0.83333333,0.46153846,1,0.6,0.66666667,0.46153846,0.5,0.15384615,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,7.93582808768639,NA,66.5385,56.93092,54.40656,59.38546,59.07087,55.68286,20,36.09391,20,20,31.77016,20,40.43823,51.49187,32.7267,0.71945,5.15627,99.36,107.98,113.3,102.96,97.16,99.42,96.3,27.4,34.76,98.3,3.36,16.28,100.746153846154,81.7092307692308,86.28,0.53846154,0.15384615,0.07692308,0.23076923,96.6857125418527,96.4499969482422,84.8000030517578,87.3333333333333,-3.1891781943185,-7.42333602905273,2.49247121810913,-8.92298380533854,11.0660978044782,8.91430568695068,1.08404672145844,4.36141808827718,0.0270410664379597,0.735337741672993,-0.0350487045943737,-0.452604304999113,0.38630094911371,36.7668870836496,-3.50487045943737,-15.0868101666371,0.16666667,0.71428571,0.46153846,1,0.6,0.66666667,0.53846154,18.88888889,0.23076923,0.53846154,0.15384615,0.07692308,87.1522318522135,96.5401000976562,96.2859039306641,84.6006011962891,-8.80908966064453,-2.96115847996303,-7.38332986831665,2.56932997703552,2.89458020528158,9.80853162493024,7.59272003173828,0.513445973396301,-0.452604304999113,0.0270410664379597,0.735337741672993,-0.0350487045943737,-15.0868101666371,0.38630094911371,36.7668870836496,-3.50487045943737,0.16666667,0.71428571,0.46153846,1,0.6,0.66666667,0.53846154,2,82.921142578125,7.25164747238159,0,0,91.1415,0,0,"2024-09-16",0
"Beau Brieske",26079,"2024-09-14","BAL",6,2024,"DET","H",26,0,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,1,0,0,0,0,0,0,0.25,0.5,-0.25,13.2397915840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,178.579006678046,176.439130411058,1,0,1,0,0,0,0,0,11,12,23,0.0470440089702606,-0.0912159904837608,0.138260006904602,0.479999959468842,0.0506329163908958,1.36015999317169,0.870000004768372,0.870000004768372,0.930000007152557,1,1,-0.00203117239288986,0.0366182865606584,0,0,0.73913043,95.29411765,NA,NA,0.26086957,88.66666667,NA,0.535987794399261,NA,-0.124084666371346,3.15286937881918,NA,-2.06807777285576,0.26666667,0.5,0.34782609,0.5,1,0.75,0.34782609,0.5,0.08695652,1,0,0,0,0,1,1,1,0,0,0,0,1,8.57359897536239,42,52.33191,61.44619,45.91527,31.72835,66.14387,33.62825,NA,NA,NA,NA,NA,NA,30.27957,64.44112,33.08344,1.35057,6.10295,107.7,98.72,97.58,108.44,42.28,54.34,NA,NA,NA,NA,NA,NA,108.246956521739,57.0034782608696,65.62,0.73913043,NA,NA,0.26086957,95.288236730239,NA,NA,88.6333312988281,-3.03327986773323,NA,NA,-10.0530649820964,11.8777519674862,NA,NA,4.43754704793294,0.539434004575014,NA,NA,-0.126850266009569,3.17314120338244,NA,NA,-2.11417110015949,0.30769231,0.4,0.34782609,0.5,1,0.75,0.43478261,20.31578947,0.26086957,0.73913043,NA,NA,88.8034464518229,95.4628762637868,NA,NA,-9.27057329813639,-2.20673482558307,NA,NA,2.62466335296631,10.5343672808479,NA,NA,-0.126850266009569,0.539434004575014,NA,NA,-2.11417110015949,3.17314120338244,NA,NA,0.30769231,0.4,0.34782609,0.5,1,0.75,0.43478261,1,100.314590454102,5.33698797225952,0,0,100.315,1,1,"2024-09-14",0
"Beau Brieske",26079,"2024-09-13","BAL",6,2024,"DET","H",26,0,0,0,1,1,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,1,2,0,0,0,0,0,0.25,0,0.25,3.65366658401489,0,0,0,0,1,1.66647942066184,-1.66647942066184,3.93449257073111,0,40.0929140754198,96.0351437366616,0.5,0,0.333333333,0.666666666,0,0,1,6.75000160932579,5,11,16,0.0711559951305389,0,0.0711559951305389,0.707000017166138,0.0745780616998672,0.713200032711029,0.920000016689301,0.870000004768372,0.676400005817413,1,1,0.0998682752251625,-9.82361520297376e-05,0,0,0.6875,96.45454545,0.0625,87,0.25,88.25,NA,0.62745589017868,0.139680862426758,0.210907563567162,5.70414445616982,13.9680862426758,5.27268908917904,0.54545455,0.6,0.5625,0.66666667,0.66666667,0.66666667,0.3125,0.5,0.1875,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,-0.0832157536165354,48,73.45502,74.69418,57.75658,80,67.0984,80,NA,NA,NA,20,58.17065,20,80,69.70381,78.4249,-2.0915,0.93984,120.46,142.96,156.64,114.38,137.58,149.78,NA,NA,NA,152.06,-25.56,-19.16,118.255,128.72875,140.93625,0.6875,NA,0.0625,0.25,96.4090909090909,NA,87.4000015258789,88.3000030517578,-3.91413151134144,NA,0.643398344516754,-10.1707172393799,11.621357310902,NA,-0.715997993946075,3.07598423957825,0.634439792484045,NA,0.141648322343826,0.213400099426508,5.76763447712768,NA,14.1648322343826,5.3350024856627,0.55555556,0.57142857,0.5625,0.6,0.75,0.66666667,0.4375,17.16666667,0.25,0.6875,NA,0.0625,88.4933776855469,96.6090864701705,NA,87.5935974121094,-9.40779781341553,-3.17502559315075,NA,1.6391099691391,1.22903275489807,10.3901408802379,NA,-2.24941992759705,0.213400099426508,0.634439792484045,NA,0.141648322343826,5.3350024856627,5.76763447712768,NA,14.1648322343826,0.55555556,0.57142857,0.5625,0.6,0.75,0.66666667,0.4375,3,92.4909261067708,14.7762616475423,0,0,97.1118,1,0.33333333,"2024-09-13",0
"Beau Brieske",26079,"2024-09-08","@OAK",6,2024,"DET","A",26,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,2,18,18,0,1,0,0,1,0,0,0,0,0,0,0.4,0.4,0,8.63452908401489,0,0,2,0,1,5.1664797782898,-5.1664797782898,5.1664797782898,0,128.220430824297,126.683991228356,1,0,1,0,0,0,0,0,12,19,31,0.0460360124707222,-0.0601399913430214,0.106176003813744,0.453000009059906,0.0496710538864136,1.25448000431061,0.870000004768372,0.870000004768372,0.920000016689301,1,1,0.00126364384777844,0.0354336429264504,0,0,0.61290323,95.57894737,0.09677419,85.66666667,0.29032258,88,NA,-0.082637295126915,-0.0688154324889183,0.25699320435524,-0.434933132246921,-2.29384774963061,2.85548004839155,0.27777778,0.53846154,0.38709677,0.8,1,0.91666667,0.41935484,0.2,0.03225806,1,0,0,1,0,0,1,1,0,0,1,0,0,4.57971289751482,43,64.31561,59.34769,62.28794,48.05665,58.65419,49.83023,26.28156,34.21688,32.80733,20,43.42605,20,41.39533,50.28109,42.87239,0.65999,5.06708,113.98,112.72,122.92,96.06,75.68,79.34,121.14,55.52,61.4,116.02,62.46,72.7,110.475483870968,79.3012903225807,86.1412903225806,0.32258065,0.29032258,0.09677419,0.29032258,95.3,95.7444458007812,85.8000081380208,87.8555569118924,-4.41023292541504,-8.42701890733507,1.37890752156576,-9.23976135253906,11.1286979675293,9.12523735894097,0.291082104047139,3.18810356987847,-0.100311402231455,0.00899467244744301,-0.0700974091887474,0.24788911268115,-1.00311402231455,0.099940804971589,-2.33658030629158,2.754323474235,0.3125,0.46666667,0.38709677,0.8,1,0.91666667,0.48387097,22.80769231,0.29032258,0.32258065,0.29032258,0.09677419,87.9849107530382,95.4544616699219,95.8781195746528,85.9723714192708,-8.27581024169922,-3.60674095153809,-7.65764363606771,2.3603998819987,1.50798818800184,9.50896377563476,7.41729905870226,-1.30694739023844,0.24788911268115,-0.100311402231455,0.00899467244744301,-0.0700974091887474,2.754323474235,-1.00311402231455,0.099940804971589,-2.33658030629158,0.3125,0.46666667,0.38709677,0.8,1,0.91666667,0.48387097,1,75.5415725708008,-37.7254409790039,0,0,75.5416,0,0,"2024-09-08",0
"Beau Brieske",26079,"2024-09-06","@OAK",6,2024,"DET","A",26,0,1,0,1,0,0,0,0,0,0,1,1.1,7,2,2,0,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,13.5000032186516,1,0,1,1,3,0,0,0,1,1,0.14285714,0.14285714,0,6.33558622503618,0,0.333333333333333,2.25000053644193,0.4,0.33333333,3.91647995710377,-3.91647995710377,7.31849968220768,0,96.746325418113,180.221016150045,0.333333333,0,0.25,0.75,0,0,0,0,10,12,22,-0.27046400308609,-0.614639937877655,0.344175964593887,-0.359999895095825,-0.0394736751914024,4.18245697021484,3.51959991455078,4.38359975814819,NA,0,1,-0.0717900171875954,0.00712372055569076,0,1,0.63636364,94.28571429,NA,NA,0.36363636,87.75,NA,-0.906831741333008,NA,0.508963167667389,-6.47736958095006,NA,6.36203959584236,0.3125,0.83333333,0.45454545,0.6,0.8,0.7,0.27272727,0.42857143,0.13636364,4,0,1,1,3,1,5,0.8,0,0.2,0.2,0.6,0.2,1.87657315378007,NA,32.53476,56.76165,29.70228,35.59713,66.04451,26.41356,72.34074,32.3872,67.1555,NA,NA,NA,25.5629,61.98487,20,1.6436,6.54249,102.76,87.24,88.48,106.24,47.74,58.32,77.48,93.36,77.54,NA,NA,NA,102.175238095238,67.132380952381,71.64,0.5,0.13636364,NA,0.36363636,94.9090909090909,92.0333353678385,NA,87.7624969482422,-4.12794494628906,-7.32884979248047,NA,-10.5002822875977,11.966137972745,8.79758008321126,NA,5.45169067382812,-0.465175043791533,-0.47120987996459,NA,0.496688663959503,-4.22886403446848,-15.7069959988197,NA,6.20860829949379,0.21428571,0.875,0.45454545,0.66666667,0.71428571,0.7,0.36363636,22.46666667,0.36363636,0.5,0.13636364,NA,87.6862106323242,94.8450372869318,91.9524332682292,NA,-9.57022285461426,-3.20320545543324,-6.57548650105794,NA,3.45468735694885,10.1207747025923,7.40845680236816,NA,0.496688663959503,-0.465175043791533,-0.47120987996459,NA,6.20860829949379,-4.22886403446848,-15.7069959988197,NA,0.21428571,0.875,0.45454545,0.66666667,0.71428571,0.7,0.36363636,5,94.9223937988281,45.9527320861816,0,0,107.37,2,0.4,"2024-09-06",0
