"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piSI%","piSL%","pivCU","pivFA","pivFC","pivSI","pivSL","piCU-X","piFA-X","piFC-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFC","piwSI","piwSL","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Caleb Ferguson",19349,"2024-09-25","SEA",21,2024,"HOU","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.4284869896923,64.7888072114456,1,0,0.5,0.5,0,0,0,0,2,10,12,0.00690200040116906,0,0.00690200040116906,0.476999998092651,0.0505564361810684,0.0916000008583069,0.121599994599819,0.121599994599819,0.0557999983429909,1,1,0.0755505487322807,-0.000201200080575531,0,0,0.25,93,0.75,83.44444444,NA,0.200806200504303,0.533624589443207,6.6935400168101,5.92916210492452,0.25,0.5,0.41666667,1,1,1,0.66666667,0.66666667,0,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,-0.366050639128842,61.67032,50.1915,75.51229,20,24.91869,21.25304,80,76.04763,80,NA,NA,NA,76.39983,72.20694,53.27201,59.91264,48.21524,67.65511,-0.49042,3.34146,100.9,111.2,105.04,102.82,35.34,-2.75999999999999,123.78,150.8,169.9,NA,NA,NA,111.92,34.84,23.94,105.332727272727,87.1236363636364,76.5909090909091,0.16666667,0.25,0.08333333,NA,0.5,93.0500030517578,88.2999979654948,93,NA,80.8166656494141,5.66469383239746,0.288456201553345,10.6659030914307,NA,-2.1848529179891,7.93753862380981,2.34707816441854,5.10678482055664,NA,-5.19879722595215,0.16372461616993,0.254392225295305,0.039364367723465,NA,0.267885912209749,8.18623080849648,8.47974084317684,3.9364367723465,NA,4.46476520349582,0,0.5,0.41666667,NA,1,1,0.83333333,17.77777778,0.5,0.16666667,0.25,0.08333333,NA,80.8765818277995,93.1288986206055,88.3427327473958,93.0358963012695,NA,-2.51269658406576,5.20520973205566,-0.214831471443176,10.2067003250122,NA,-6.57705688476562,6.90501976013184,1.04795130093892,3.60825991630554,NA,0.267885912209749,0.16372461616993,0.254392225295305,0.039364367723465,NA,4.46476520349582,8.18623080849648,8.47974084317684,3.9364367723465,NA,0,0.5,0.41666667,NA,1,1,0.83333333,2,96.8951110839844,28.3169555664062,0,0,99.0935,1,0.5,"2024-09-25",0
"Caleb Ferguson",19349,"2024-09-23","SEA",21,2024,"HOU","H",27,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,2,1,1,0,0,0,0,0,0,1,27.000028163224,0,54.0000563264481,1,0,0,0,0,2,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0.666666666666667,6.00000625849423,1,0.5,-2.83352648020443,29.8335546434285,-2.83352648020443,680.260690946258,-73.0149327137772,-72.3367211985741,0,1,0,0,0,0,0,0,0,8,8,-0.0378380045294762,-0.072272002696991,0.0344339944422245,-0.402999997138977,-0.0427132993936539,1.23673331737518,0.950600028038025,0.950600028038025,2.01219987869263,1,1,-0.0439430624246597,0.0133479422011804,0,0,0.5,94.75,0.5,86.25,NA,-0.966821491718292,0.305228263139725,-24.1705372929573,7.63070657849312,1,0.75,0.875,0.75,0.66666667,0.71428571,0.5,1,0.25,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,10.5756766885219,80,61.96222,79.97116,63.91326,61.25476,59.39059,80,80,55.26695,NA,NA,NA,79.50445,46.12967,80,80,60.64387,77.66071,-2.00172,1.07451,121.3,138.94,136.44,111.62,51.3,47.16,116.8,134.16,148.08,NA,NA,NA,90.08,113.22,113,109.95,109.405,111.17,0.25,0.25,0.25,NA,0.25,94.8000030517578,90.1999969482422,94.6499938964844,NA,82.25,6.71964263916016,0.878573298454285,10.158899307251,NA,-4.56955146789551,9.596435546875,5.67160320281982,6.17557144165039,NA,-5.72626113891602,-0.510574247688055,0.0787287354469299,-0.471209853887558,NA,0.218498561531305,-25.5287123844028,3.9364367723465,-23.5604926943779,NA,10.9249280765653,1,0.8,0.875,0.66666667,0.75,0.71428571,0.625,22,0.25,0.25,0.25,0.25,NA,82.3718490600586,94.9453430175781,90.3419952392578,94.7988510131836,NA,-5.03623485565186,6.15522003173828,0.174464002251625,9.98668003082275,NA,-7.45450496673584,8.04781532287598,4.2717752456665,4.83454036712646,NA,0.218498561531305,-0.510574247688055,0.0787287354469299,-0.471209853887558,NA,10.9249280765653,-25.5287123844028,3.9364367723465,-23.5604926943779,NA,1,0.8,0.875,0.66666667,0.75,0.71428571,0.625,2,82.5431976318359,15.8216695785522,0,0,83.4323,0,0,"2024-09-23",0
"Caleb Ferguson",19349,"2024-09-21","LAA",21,2024,"HOU","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-73.0147755578824,-72.3365655024484,0,0,0,0,0,0,0,0,5,10,15,0.00113199953921139,0,0.00113199953921139,0.476999998092651,0.0505564361810684,0.0157999992370605,0.0257999990135431,0.0257999990135431,0.00999999977648258,1,1,0.0604105815291405,0.0112349623868472,0,0,0.4,93.83333333,0.6,84.77777778,NA,0.5237175822258,0.25258481502533,8.72862637042999,2.80649794472588,0.18181818,0.25,0.2,0.5,1,0.66666667,0.26666667,1,0.06666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.77157621764898,58.03507,58.64617,64.80564,52.75036,63.72058,65.34343,79.89958,61.99135,62.61896,NA,NA,NA,80,58.58032,75.27963,76.69197,57.83761,74.81124,-1.53286,1.7778,112.76,101.2,101.76,91.5,133.94,129.3,130.3,129.06,165.7,NA,NA,NA,110.92,104.82,106.14,116.698666666667,113.634666666667,126.077333333333,0.06666667,0.26666667,0.33333333,NA,0.33333333,94.0999984741211,88.6750030517578,93.6599975585937,NA,81.7200012207031,4.94786977767944,-0.62343430519104,10.3052803039551,NA,-2.60324535369873,8.93914413452148,3.70926403999329,5.26504898071289,NA,-4.80710945129394,0.054773960262537,0.0177822113037109,0.475573290139437,NA,0.236815992742777,5.4773960262537,0.444555282592773,9.51146580278873,NA,4.73631985485554,0.14285714,0.25,0.2,0,1,0.66666667,0.53333333,17.58333333,0.33333333,0.06666667,NA,0.33333333,0.26666667,81.8176025390625,94.2285003662109,NA,93.7821044921875,88.7798767089844,-3.25455627441406,4.54072999954224,NA,9.91638412475586,-1.38795745372772,-6.20726013183594,7.92781019210815,NA,3.89276809692383,2.39181232452393,0.236815992742777,0.054773960262537,NA,0.475573290139437,0.0177822113037109,4.73631985485554,5.4773960262537,NA,9.51146580278873,0.444555282592773,0.14285714,0.25,0.2,0,1,0.66666667,0.53333333,0,NA,NA,0,NA,NA,0,NA,"2024-09-21",0
"Caleb Ferguson",19349,"2024-09-16","@SDP",21,2024,"HOU","A",27,0,0,0,1,0,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.6501182634796,76.9288520456552,2,0,1,0,0,0,0,0,2,7,9,0.00574197294190526,-0.00465401774272323,0.0103959906846285,0.211999997496605,0.0231314785778522,0.309900015592575,0.103300005197525,0.20660001039505,NA,0,1,0.00263299886137247,0.0158954704932539,0,0,0.44444444,94.25,0.55555556,83.8,NA,-0.022280789911747,-0.113074660301208,-0.557019747793674,-2.26149320602417,0.8,0.5,0.66666667,0.75,1,0.83333333,0.44444444,1,0.11111111,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,1.36082251936522,57.84325,73.59908,53.37726,NA,NA,NA,80,61.61676,80,NA,NA,NA,56.19511,66.67563,46.09352,80,65.74056,80,-2.36675,0.52697,108.14,87.46,78.06,NA,NA,NA,133.1,158.88,177.76,NA,NA,NA,94.34,112.82,110.28,116.166666666667,124.837777777778,129.531111111111,NA,0.22222222,0.44444444,NA,0.33333333,NA,87.5500030517578,94.1500015258789,NA,80.9000040690104,NA,-1.52254164218903,9.89640617370605,NA,-5.7333869934082,NA,2.98326587677002,4.21209335327148,NA,-7.29544385274251,NA,0.094138327986002,-0.0229568891227245,NA,-0.209514066576958,NA,4.7069163993001,-0.573922228068113,NA,-6.98380221923192,0.8,0.5,0.66666667,0.75,1,0.83333333,0.44444444,26.85714286,0.33333333,NA,0.22222222,0.44444444,NA,80.7389322916667,NA,87.3828506469727,93.9983978271484,NA,-6.39332326253255,NA,-2.4322350025177,9.57377052307129,NA,-8.81717046101888,NA,1.61654007434845,3.13064742088318,NA,-0.209514066576958,NA,0.094138327986002,-0.0229568891227245,NA,-6.98380221923192,NA,4.7069163993001,-0.573922228068113,NA,0.75,0.6,0.66666667,0.66666667,1,0.83333333,0.55555556,2,95.5795593261719,0.890127539634705,0,0,96.873,1,0.5,"2024-09-16",0
"Caleb Ferguson",19349,"2024-09-15","@LAA",21,2024,"HOU","A",27,0,0,81.0000844896721,1,0,0,0,0,0,0,0,0.1,4,1,3,3,0,1,0,1,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,0,0,1,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0.5,6.00000625849423,1,0,15.1664922952783,65.8335921943938,15.1664922952783,2040.78207283877,378.980220217993,375.459998534114,0,1,0,0,0,0,0,0,9,8,17,-0.0358199998736382,-0.0567120015621185,0.0208919998258352,-1.07299995422363,-0.108878739178181,0.537699997425079,0.204199999570847,0.204199999570847,1.31400001049042,1,1,-0.11886028945446,0.0522432166533223,0,0,0.52941176,94,0.47058824,84.375,NA,-0.237788438796997,-0.628548979759216,-2.64209376441108,-7.8568622469902,0.25,0.2,0.23529412,0.66666667,1,0.75,0.29411765,0.5,0.05882353,0,0,1,0,1,0,1,0,0,1,0,1,0,18.5298525795357,57.74627,54.06573,62.50886,20,49.27573,20,20.12668,72.13075,20,NA,NA,NA,47.82709,53.8841,42.2486,24.69791,52.65077,20,1.69734,6.6231,94.4,106.8,95.96,89.88,-4.16,-12.48,124.08,32.04,56.1,NA,NA,NA,112.76,124.16,112.04,103.294117647059,59.6376470588235,57.5247058823529,0.29411765,0.17647059,0.23529412,NA,0.29411765,94.2599975585938,89.3666687011719,93.6500015258789,NA,81,6.67050018310547,-0.384037812550863,10.414532661438,NA,-5.22129364013672,8.13108367919922,3.97073491414388,5.42739295959473,NA,-5.51889038085938,0.0143983848392963,-0.105467580258846,-0.261938612908125,NA,-0.533533804118633,0.287967696785927,-3.51558600862821,-6.54846532270312,NA,-10.6706760823727,0.25,0.2,0.23529412,0.66666667,1,0.75,0.29411765,20.30769231,0.29411765,0.29411765,0.11764706,0.23529412,0.05882353,81.3001220703125,94.5573791503906,90.3190994262695,93.9584274291992,88.2573013305664,-6.00501022338867,5.82935409545898,-0.945939481258392,10.071231842041,-2.50076007843018,-7.0514762878418,6.86312026977539,3.78470993041992,4.43285989761353,0.507282018661499,-0.533533804118633,0.0143983848392963,-0.0844206288456917,-0.261938612908125,-0.0210469514131546,-10.6706760823727,0.287967696785927,-4.22103144228458,-6.54846532270312,-2.10469514131546,0.25,0.2,0.23529412,0.66666667,1,0.75,0.29411765,1,99.7829895019531,13.1614933013916,0,0,99.783,1,1,"2024-09-15",0
"Caleb Ferguson",19349,"2024-09-11","OAK",21,2024,"HOU","H",27,0,0,0,1,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,0,3,13.5,0,4.5,3,0,0,3,1,0,0,0,0,0,0.42857143,0,0.42857143,0.63705562024479,0,0.142857142857143,0.5,0.25,1,0.166479778289795,-0.166479778289795,0.922483981400728,0,2.31767135279859,21.1036904458492,3,0,0.75,0.25,0,0,0,0,4,18,22,0.0136200077831745,-0.113044008612633,0.126664012670517,0.559999942779541,0.0593534596264362,0.872600018978119,0.805133283138275,1.27419996261597,0.460599988698959,1,1,0.0908838734030724,-0.0752753385796093,0,0,0.40909091,94.22222222,0.59090909,84.69230769,NA,0.115210056304932,0.893768489360809,1.28011173672146,6.87514222585238,0.69230769,0.66666667,0.68181818,0.22222222,0.83333333,0.46666667,0.40909091,0.85714286,0.36363636,1,2,1,2,1,1,4,0.25,0.5,0.25,0.5,0.25,0.25,-0.684950117359481,80,57.77604,80,80,57.66379,80,64.93939,66.15299,59.02867,NA,NA,NA,69.62472,46.87345,67.72383,80,54.54081,80,-1.76293,1.4327,102.92,131.58,128.52,106,139,132.62,111.3,113.8,137.16,NA,NA,NA,104.24,118.4,117.34,105.383636363636,127.637272727273,128.99,0.22727273,0.18181818,0.18181818,NA,0.40909091,94.5,90.4250030517578,93.8000030517578,NA,81.9444444444444,7.14046783447266,0.364422798156738,10.29478931427,NA,-2.87672763400608,9.28408355712891,4.43307447433472,6.58985233306885,NA,-5.28961859809028,-0.268882423639297,0.491452991962433,0.383915726095438,NA,0.412206321954727,-5.37764847278595,12.2863247990608,9.59789315238595,NA,4.58007024394141,0.63636364,0.72727273,0.68181818,0,0.875,0.46666667,0.5,20.53333333,0.40909091,0.22727273,0.18181818,0.18181818,NA,82.0206366644965,94.6114807128906,90.5067520141602,93.8997039794922,NA,-3.47703213161892,6.51199798583984,-0.394553482532501,9.68857765197754,NA,-6.97766791449653,8.13896636962891,2.96926498413086,5.11811256408691,NA,0.412206321954727,-0.268882423639297,0.491452991962433,0.383915726095438,NA,4.58007024394141,-5.37764847278595,12.2863247990608,9.59789315238595,NA,0.54545455,0.72727273,0.63636364,0,0.875,0.5,0.5,4,90.1404113769531,-20.2861938476562,0,0,100.568,2,0.5,"2024-09-11",0
"Caleb Ferguson",19349,"2024-09-08","ARI",21,2024,"HOU","H",27,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,2,0,1,0,0,0,0,0.2,0.2,0,4.94568908401489,0,0.25,2,0.333333333333333,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,102.760933900373,101.806421637006,2,0.333333333,0.666666666,0,0,0,2,18,7,10,17,0.00266400026157498,-0.00433799950405955,0.00700199976563454,0.476999998092651,0.0505564361810684,0.0807600021362305,0.0515999980270863,0.0515999980270863,0.101599998772144,1,1,0.00537750450894237,0.027609124900517,0,0,0.47058824,93.875,0.52941176,83,NA,-0.211919456720352,0.162261486053467,-2.6489932090044,1.80290540059408,0.22222222,0.375,0.29411765,0.5,1,0.8,0.47058824,0.8,0.05882353,2,1,0,1,0,2,3,0.66666667,0.33333333,0,0.33333333,0,0.66666667,6.08567919993191,54.73799,53.30613,49.57471,80,67.27284,80,28.63327,80,20,NA,NA,NA,20.52713,58.40141,23.46001,52.32832,60.00069,44.07576,-0.01924,4.04823,90.78,111.54,106.56,87.74,121,119.5,125.76,41.74,82.86,NA,NA,NA,92.36,68.14,67.48,98.4811764705882,92.2364705882353,99.4305882352941,0.23529412,0.11764706,0.23529412,NA,0.41176471,93.5,89.0500030517578,93.6750030517578,NA,81.028573172433,5.70442819595337,-0.458976984024048,10.4576787948608,NA,-3.12654113769531,9.60030746459961,4.47156429290771,5.39353179931641,NA,-6.06288964407785,-0.0640162490308285,-0.00895778834819794,-0.112732101231813,NA,0.160079590976238,-1.60040622577071,-0.447889417409897,-2.81830253079534,NA,2.28685129966055,0.2,0.42857143,0.29411765,0.5,1,0.8,0.41176471,18.91666667,0.41176471,0.23529412,0.11764706,0.23529412,NA,81.3057686941964,93.8153228759766,89.3440017700195,93.97265625,NA,-3.62991714477539,5.08275270462036,-1.13199245929718,10.0778179168701,NA,-7.65219116210938,8.15221977233887,2.93026494979858,3.908287525177,NA,0.160079590976238,-0.0640162490308285,-0.00895778834819794,-0.112732101231813,NA,2.28685129966055,-1.60040622577071,-0.447889417409897,-2.81830253079534,NA,0.22222222,0.375,0.29411765,0.5,1,0.8,0.47058824,3,96.0817565917969,-15.5458526611328,0,0,106.298,2,0.66666667,"2024-09-08",0
"Caleb Ferguson",19349,"2024-09-07","ARI",21,2024,"HOU","H",27,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,5,2,1,1,0,0,0,1,0,0,0,0,0,27.000028163224,0,0.5,0,2,1,1,0,1,0,0,0,0,0,5.37832908401489,0,0.5,3.00000312924711,0.5,0.66666667,7.66648447216047,5.83352960945155,9.93449944721724,340.130345473129,190.648906496422,245.300732355027,2,0.25,0.5,0.25,0,0,0,0,5,10,15,-0.0126279899850488,-0.0371899902820587,0.0245620012283325,-1.00300002098083,-0.106306307017803,0.411639988422394,0.187399998307228,0.187399998307228,0.520600020885468,1,1,-0.0801534578204155,0.0494761904503395,0,0,0.46666667,94.85714286,0.53333333,88.625,NA,-0.749309241771698,-0.0601413510739803,-10.7044177395957,-0.751766888424754,0.44444444,0.66666667,0.53333333,0.75,1,0.875,0.4,1,0.06666667,1,3,0,0,4,0,4,0.25,0.75,0,0,1,0,7.61450065345278,49.21525,62.54528,32.19418,66.22351,51.64149,78.44236,80,65.45965,80,NA,NA,NA,57.77048,59.88898,34.06119,69.43696,56.11973,59.52934,-1.08214,2.45388,95.74,82.46,82.98,89.96,116.02,104.44,115.44,148.02,162.48,NA,NA,NA,94.32,88.2,90.38,95.872,104.684,103.693333333333,0.33333333,0.4,0.13333333,NA,0.13333333,94.9400024414062,90.5,95.0500030517578,NA,82.4499969482422,5.66193542480469,0.0311681230862935,9.69145107269287,NA,-3.66144514083862,8.50091934204102,4.7183084487915,6.53499317169189,NA,-5.25452709197998,-0.976146783679724,0.00785722211003304,0.214739695191383,NA,-0.0725650899112225,-19.5229356735945,0.130953701833884,10.7369847595692,NA,-3.62825449556112,0.28571429,0.75,0.53333333,0.5,1,0.875,0.53333333,20.6,0.13333333,0.33333333,0.4,0.13333333,NA,82.7088470458984,95.2480590820312,90.8061319986979,95.3451538085938,NA,-4.31216526031494,5.14668579101563,-0.657494346300761,9.32683944702148,NA,-6.99633502960205,7.24959564208984,3.31715488433838,5.12568473815918,NA,-0.0725650899112225,-0.976146783679724,0.00785722211003304,0.214739695191383,NA,-3.62825449556112,-19.5229356735945,0.130953701833884,10.7369847595692,NA,0.16666667,0.77777778,0.53333333,0,1,0.875,0.6,4,79.8810348510742,18.2959308624268,0,0,105.332,1,0.25,"2024-09-07",0
"Caleb Ferguson",19349,"2024-09-05","@CIN",21,2024,"HOU","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,1,0,0.25,0.25,0,5.94041658401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,102.760933900373,101.806421637006,1,0,1,0,0,0,0,0,11,8,19,0.0358899720013142,-0.0165299847722054,0.0524199530482292,0.560999989509583,0.0530496425926685,0.561200022697449,0.584999978542328,0.584999978542328,NA,0,1,0.0414755120873451,0.0224766806242774,0,0,0.42105263,94.25,0.57894737,85.36363636,NA,0.104528062045574,0.272028863430023,1.30660077556968,2.47298966754567,0.28571429,0.8,0.42105263,1,0.5,0.75,0.26315789,0.25,0.10526316,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,3.08665413669296,38.95155,55.54116,43.22299,20,37.93055,20,20,53.54732,20,NA,NA,NA,34.39189,57.57738,20.12515,20,47.53875,20,3.19728,8.87301,88.56,90.76,87.02,71.74,-12.9,-24.08,108.44,-42.24,-1.98,NA,NA,NA,89.34,72.96,77.36,89.4133333333333,34.2133333333333,40.4066666666667,0.21052632,0.26315789,0.21052632,NA,0.31578947,93.8000030517578,89.7799987792969,94.4000015258789,NA,81.3500010172526,5.92088985443115,-0.00193445682525635,8.77563285827637,NA,-4.54891554514567,8.14014053344727,3.90883140563965,5.19909477233887,NA,-4.63578955332438,0.186151716858149,0.184531088918447,-0.0819847099483013,NA,-0.235996887087822,4.65379292145371,3.69062177836895,-2.04961774870753,NA,-3.9332814514637,0.25,0.71428571,0.42105263,1,0.6,0.75,0.36842105,21.33333333,0.31578947,0.21052632,0.26315789,0.21052632,NA,81.463368733724,93.9270477294922,89.8979370117188,94.5212020874023,NA,-5.38413174947103,5.12775993347168,-0.943978977203369,8.31286716461182,NA,-5.87160174051921,7.38482284545898,2.94892997741699,4.36453771591187,NA,-0.235996887087822,0.498797539621592,0.508533533662558,-0.0819847099483013,NA,-3.9332814514637,12.4699384905398,10.1706706732512,-2.04961774870753,NA,0.21428571,1,0.42105263,1,0.6,0.75,0.26315789,2,56.9201126098633,-27.3053722381592,0,0,56.9201,0,0,"2024-09-05",0
"Caleb Ferguson",19349,"2024-09-02","@CIN",21,2024,"HOU","A",27,0,0,0,1,0,0,0,0,0,0,0,2,10,3,0,0,0,1,0,0,1,0,4,18,4.5,13.5,4,0,0,2,1,2,0,0,0,0,0.4,0.1,0.3,2.21962908401489,0,0.333333333333333,2,0.6,1,0.666479778289795,-0.666479778289795,1.42248398140073,0,14.8730791712454,33.5424752415245,2,0.4,0.4,0.2,0,0,1,4.5,11,24,35,0.0484399944543839,-0.0723899602890015,0.120829954743385,1.12199997901917,0.106099292635918,0.644090890884399,0.398999989032745,0.34400001168251,0.273000001907349,1,1,0.052898395806551,0.0223083725858277,0,0,0.29411765,94.3,0.70588235,84.04166667,0.02857143,0.507339119911194,-0.583521366119385,5.07339119911194,-2.43133902549744,0.35,0.57142857,0.44117647,0.57142857,0.875,0.73333333,0.41176471,0.6,0.11428571,0,4,1,0,4,1,5,0,0.8,0.2,0,0.8,0.2,2.79017584253741,80,64.98804,80,26.34447,47.61474,20,20,40.39629,20,NA,NA,NA,66.31879,57.80931,44.14047,63.27496,55.75325,59.06006,-0.69931,3.02813,90.12,148.02,145.16,95.88,89.82,76.84,98.52,6.16,12.72,NA,NA,NA,102.92,122.96,123.26,95.5129411764706,114.426470588235,111.725294117647,0.17647059,0.26470588,0.11764706,NA,0.44117647,93.9333292643229,88.4333360460069,94.5500030517578,NA,81.1799967447917,4.49247264862061,-1.50508488549127,9.20639610290527,NA,-5.89330698649089,8.49095090230306,2.30332395765516,5.40611600875854,NA,-5.9717274983724,0.617696888744831,-0.56707027554512,-0.107852432876825,NA,-0.0300883129239082,10.2949481457472,-6.30078083939022,-2.69631082192063,NA,-0.200588752826055,0.33333333,0.52631579,0.44117647,0.4,0.9,0.73333333,0.55882353,19.48,0.44117647,0.14705882,0.26470588,0.14705882,NA,81.173583984375,93.9290771484375,88.434814453125,94.4331420898438,NA,-6.67310536702474,3.28535995483398,-2.28710556030273,8.23015594482422,NA,-7.33156382242839,8.01092376708984,1.45633400811089,5.01157608032227,NA,-0.0408940836787224,0.322720892727375,-0.56707027554512,0.187123563140631,NA,-0.272627224524816,6.4544178545475,-6.30078083939022,3.74247126281261,NA,0.375,0.5,0.44117647,0.5,0.88888889,0.73333333,0.52941176,5,87.9109619140625,14.8318099975586,0,0,96.2388,1,0.2,"2024-09-02",0
