"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Chris Roycroft",31261,"2024-09-28","@SFG",28,2024,"STL","A",27,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,6,2,1,1,0,2,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,2,1,0,0,0,0,0,0.33333333,-0.33333333,11.9925068519314,0,0.5,6.00000625849423,0.5,0.75,12.1664891660311,1.33352491558088,16.7025191161447,333.334256844208,300.808166971205,405.417943604044,0.5,0.25,0.25,0.5,0,0,0,0,11,16,27,-0.0707420036196709,-0.0740979909896851,0.00335598341189325,-1.26699995994568,-0.13471557199955,0.485833346843719,0.476999998092651,0.476999998092651,0.869400024414062,1,1,-0.156390279531479,0.0107806706414024,0,1,0.62962963,95.58823529,0.37037037,82.3,-1.08124256134033,-0.513651192188263,-6.36025036082548,-5.13651192188263,0.25,0.63636364,0.40740741,0.75,1,0.90909091,0.40740741,0.66666667,0.03703704,0,3,1,0,2,2,4,0,0.75,0.25,0,0.5,0.5,10.2278437885762,50.49041,54.97064,52.82278,27.26254,55.49061,34.12164,62.85999,49.09152,63.04674,48.70494,52.32626,52.51316,0.20587,4.3859,90.62,101.14,87.98,107.1,55.32,63.58,98.85,109.89,105.89,99.0772972972973,94.7243243243243,91.7259459459459,0.2962963,0.33333333,0.37037037,94.5625,95.9888916015625,82.3200012207031,-2.66233348846436,-11.2712707519531,5.42151107788086,4.98888301849365,3.4950082567003,-0.916137409210205,-0.190096121281385,-0.902511056512594,-0.523416671901941,-2.37620151601732,-10.0279006279177,-5.23416671901941,0.21428571,0.61538462,0.40740741,1,0.875,0.90909091,0.48148148,21.04761905,0.2962963,0.33333333,0.37037037,94.7080383300781,96.1646660698785,82.4520690917969,-1.94980943202972,-10.8627887301975,6.06352615356445,4.35733985900879,2.42989201015896,-1.96711864471436,-0.190096121281385,-0.902511056512594,-0.523416671901941,-2.37620151601732,-10.0279006279177,-5.23416671901941,0.25,0.53333333,0.40740741,1,0.875,0.90909091,0.55555556,4,98.9776306152344,14.8052997589111,0,0,104.832,3,0.75,"2024-09-28",0
"Chris Roycroft",31261,"2024-09-10","CIN",28,2024,"STL","H",27,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,10.8000041198746,0,0,2,0,0,2,1,0,0,0,0,0,0.4,0,0.4,1.04688908401489,0,0,0,0,1,0.766478862762102,-0.766478862762102,1.67368425256661,0,20.655795950107,42.2352743249048,2,0,0.666666666,0.333333333,0,0,0,0,5,11,16,0.0150040006265044,0,0.0150040006265044,0.732999980449677,0.0773206725716591,0.119359999895096,0.141599997878075,0.179199993610382,NA,0,1,0.12616178393364,-0.000458025223089326,0,0,0.75,95.75,0.25,82.75,1.07512903213501,0.131489828228951,8.95940860112508,3.28724570572376,0.28571429,0.66666667,0.5,0,0.83333333,0.625,0.5625,0.4,0.1875,0,2,1,0,3,0,3,0,0.66666667,0.33333333,0,1,0,-0.584601689755864,53.26152,53.63616,49.4057,80,69.31351,80,20,51.14041,20,79.23968,58.65236,65.13738,-1.69114,1.54038,94.8,144.3,123.18,115.3,155.6,170.64,92.16,24.04,25.91,101.944,100.716,103.256,0.25,0.5,0.25,94.4749984741211,96.25,82.8499984741211,-2.39177584648132,-11.7347326278687,7.2628345489502,5.57250595092773,1.82437002658844,0.584174633026123,0.518975287675858,0.569210771471262,0.132496919482946,12.9743821918964,7.11513464339077,3.31242298707366,0,0.66666667,0.5,NA,0.625,0.625,0.75,19.09090909,0.25,0.5,0.25,94.6718444824219,96.4733505249023,83.041374206543,-1.84399747848511,-11.3681373596191,7.7873101234436,4.84196758270264,0.77087527513504,-0.350859969854355,0.518975287675858,0.569210771471262,0.132496919482946,12.9743821918964,7.11513464339077,3.31242298707366,0.2,0.63636364,0.5,0,0.71428571,0.625,0.6875,3,88.2871297200521,2.17744509379069,0,0,90.8796,0,0,"2024-09-10",0
"Chris Roycroft",31261,"2024-09-08","SEA",28,2024,"STL","H",27,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,9,2,1,1,0,1,0,1,0,0,4,21.6000082397492,5.40000205993731,10.8000041198746,4,0,0,0,1,2,1,0,0,0,0.44444444,0.11111111,0.33333333,2.02342044438153,0,0.285714285714286,1.80000068664577,0.666666666666667,0.75,1.96647932052595,3.43352273941136,2.87368471033046,133.333614522531,50.1455038122606,71.2341537019787,0,0.666666666,0,0.333333333,1,0,2,10.8000041198746,12,23,35,-0.00113599991891533,-0.00506799947470427,0.00393199967220426,0.631999909877777,0.0666666701436043,0.0294222217053175,0.0221333336085081,0.0263999998569489,NA,0,1,-0.000721814052667469,-0.037888455773082,0,0,0.88571429,93.74193548,0.11428571,82,-0.252227663993835,-0.573401093482971,-0.813637625786566,-14.3350273370743,0.27272727,0.69230769,0.42857143,0.33333333,0.88888889,0.66666667,0.37142857,0.66666667,0.14285714,1,0,2,1,2,0,3,0.33333333,0,0.66666667,0.33333333,0.66666667,0,4.16636488782981,36.13857,47.50427,22.51279,80,70.7205,80,43.75195,42.67391,47.67494,62.80906,51.72682,58.24417,-0.67037,3.07154,85.6,87.74,69.96,103.02,121.14,128.32,95.25,81.48,82.44,94.2794871794872,99.3020512820513,94.9661538461539,0.45714286,0.42857143,0.11428571,93.0062484741211,94.4466634114583,81.9499969482422,-2.52040934562683,-11.7447102864583,5.40828657150269,5.10951900482178,1.90849990844727,0.191766008734703,-1.02429435774684,0.723863821476698,-0.596901349723339,-6.40183973591775,4.82575880984465,-14.9225337430835,0.17647059,0.66666667,0.42857143,0.33333333,0.75,0.66666667,0.51428571,20.61538462,0.45714286,0.42857143,0.11428571,93.0945205688477,94.5454264322917,82.0127716064453,-2.00488233566284,-11.5405395507813,6.00004243850708,4.54973697662354,0.992000643412272,-0.795303463935852,-1.02429435774684,0.723863821476698,-0.596901349723339,-6.40183973591775,4.82575880984465,-14.9225337430835,0.2,0.6,0.42857143,0.33333333,0.75,0.66666667,0.57142857,3,85.9171346028646,37.4200134277344,0,0,88.1429,0,0,"2024-09-08",0
"Chris Roycroft",31261,"2024-07-30","TEX",28,2024,"STL","H",27,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0.333333333,0,3,1,1,0,1,0,0,0.28571429,0,0.28571429,1.71023929699326,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.92248398140073,0,30.4857173198762,48.2476998026033,3,0.2,0.6,0.2,0,0,0,0,5,20,25,0.00717998761683702,-0.00477602239698172,0.0119560100138187,0.959999978542328,0.101265825331211,0.0824000015854836,0.0777999982237816,0.0991999953985214,0.0299999993294477,1,1,0.11151409894228,-0.0243783285698927,0,0,0.92,94.60869565,0.08,84.5,0.79364812374115,0.214809954166412,3.45064401626587,10.7404977083206,0.36363636,0.64285714,0.52,0.25,0.77777778,0.61538462,0.56,0.71428571,0.2,0,4,1,0,3,2,5,0,0.8,0.2,0,0.6,0.4,1.4295246902258,62.20735,55.1801,61.06436,80,65.50165,80,50.23919,55.29993,52.51685,75.17765,53.14495,74.81532,-1.43878,1.91892,95.3,114.98,106.52,120.2,140.34,149.58,144.32,73.7,85.85,109.017777777778,115.439259259259,114.621481481481,0.64,0.28,0.08,94.1937484741211,95.2285679408482,84.1999969482422,-2.70056486129761,-10.104866027832,5.46789264678955,5.20521926879883,0.482405866895403,0.869722485542297,0.843363918364048,-0.00144989788532257,0.217751413583755,5.2710244897753,-0.0207128269331796,10.8875706791878,0.33333333,0.625,0.52,0.33333333,0.7,0.61538462,0.64,19.44444444,0.64,0.28,0.08,94.5148468017578,95.572501046317,84.5071487426758,-2.4726254940033,-9.97251565115792,5.56471490859985,4.7999439239502,-0.306126867021833,0.248616009950638,0.843363918364048,-0.00144989788532257,0.217751413583755,5.2710244897753,-0.0207128269331796,10.8875706791878,0.33333333,0.625,0.52,0.66666667,0.6,0.61538462,0.64,5,93.9645202636719,-4.47806205749512,0,0,101.135,3,0.6,"2024-07-30",0
"Chris Roycroft",31261,"2024-07-29","TEX",28,2024,"STL","H",27,0,0,18,1,0,0,0,0,0,0,0,1,8,3,3,2,1,0,0,1,0,0,0,0,0,27,0,0.5,0,4,2,0,0,2,1,0,0,0,0,5.15272908401489,9,0.428571428571429,3,0.333333333333333,0.38461538,19.1664797782898,-1.16647977828979,9.19049659073353,444.445212199312,472.831166510718,223.88448361004,2,0,0.666666666,0.333333333,0,0.5,1,9,10,15,25,-0.244008019566536,-0.30034002661705,0.0563320033252239,-2.88800001144409,-0.304641366004944,0.632049977779388,0.598399996757507,0.954800009727478,0.381999999284744,1,1,-0.266410619020462,-0.119647490535717,0,1,0.84,95.42857143,0.16,83.25,-1.84952640533447,-0.926819920539856,-8.80726859683082,-23.1704980134964,0.375,0.88888889,0.56,0.83333333,1,0.92857143,0.36,0.625,0.04,2,1,4,4,1,2,7,0.28571429,0.14285714,0.57142857,0.57142857,0.14285714,0.28571429,11.2737664124374,20,65.05572,20,80,60.84895,43.68499,20,57.94421,24.51399,24.80107,59.25537,20,1.69093,6.61349,93.96,-37.56,-45.88,108.12,152.02,171.1,99.77,56.03,57.18,101.422068965517,66.7048275862069,72.3351724137931,0.36,0.48,0.16,94.4222208658854,96.1166687011719,83.0250015258789,-2.78702672322591,-10.8779296875,6.19892978668213,5.09897486368815,0.766959269841512,0.794504046440125,-0.236499421298504,-1.62575939670205,-0.937769953161478,-2.62777134776115,-13.5479949725171,-23.444248829037,0.35714286,0.81818182,0.56,1,0.88888889,0.92857143,0.44,19.94117647,0.36,0.48,0.16,94.6616414388021,96.3660278320312,83.2372283935547,-2.33097182379829,-10.8741823832194,6.19561767578125,4.85563532511393,0.00834010355174541,0.199785590171814,-0.236499421298504,-1.62575939670205,-0.937769953161478,-2.62777134776115,-13.5479949725171,-23.444248829037,0.35714286,0.81818182,0.56,1,0.88888889,0.92857143,0.44,7,79.2063344319661,-28.8522338867188,1,0.14285714,101.057,2,0.28571429,"2024-07-29",0
"Chris Roycroft",31261,"2024-07-27","WSN",28,2024,"STL","H",27,0,0,81.0000844896721,1,0,0,0,0,0,0,0,0.1,4,0,3,3,0,3,0,0,0,0,1,27.000028163224,81.0000844896721,0,0.33333333,0,0,0,0,0,0,0,0,0,0.25,0.75,-0.5,22.6716040840149,0,0,9.00000938774135,0,0,24.1665016830196,56.8335828066525,24.1665016830196,2000.00554106525,595.70544070026,585.790483238511,0,0,0,0,0,0,0,0,12,13,25,-0.0664120018482208,-0.102039992809296,0.0356279984116554,-1.05599999427795,-0.11139240860939,1.05499994754791,0.638400018215179,0.638400018215179,1.75199997425079,1,1,-0.0754819288849831,0.0125321609702271,0,1,0.76,96.05263158,0.24,84,-0.405457735061646,-0.270008027553558,-2.13398807927182,-4.50013379255931,0.07142857,0.54545455,0.28,1,0.66666667,0.71428571,0.44,0.25,0.08,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,22.084182835153,40.75038,69.21254,48.7285,59.98389,59.48628,38.10419,32.05775,77.42832,20,47.57442,67.00258,32.21025,0.2761,4.49124,92.08,102.44,85.36,146.3,87.64,116.68,91.56,74.15,79.98,109.945333333333,86.1906666666667,93.648,0.36,0.4,0.24,94.9888916015625,96.8900024414063,84.0166676839193,-2.24479887220595,-10.2116249084473,7.24453926086426,5.39342541164822,1.1591760635376,1.84961652755737,0.143053218722343,-0.562751539051533,-0.27706802636385,1.58948020802604,-5.62751539051533,-4.61780043939749,0.08333333,0.46153846,0.28,1,0.66666667,0.71428571,0.52,20.66666667,0.36,0.4,0.24,95.0956217447917,97.0231079101563,84.110850016276,-2.05480639139811,-10.3348205566406,7.69690132141113,5.09783342149523,0.32473030090332,1.16107495625814,0.143053218722343,-0.562751539051533,-0.27706802636385,1.58948020802604,-5.62751539051533,-4.61780043939749,0.08333333,0.46153846,0.28,1,0.66666667,0.71428571,0.52,0,NA,NA,0,NA,NA,0,NA,"2024-07-27",0
"Chris Roycroft",31261,"2024-07-24","@PIT",28,2024,"STL","A",27,0,0,0,1,0,0,0,0,0,0,0,3,11,1,0,0,0,1,0,0,0,0,2,6,3,3,2,0,0,4,4,0,1,0,0,0,0.18181818,0.09090909,0.09090909,4.44395222341448,0,0.1,0.666666666666667,0.125,1,2.83314644495646,-2.83314644495646,4.84915765325228,0,71.4436292819912,118.972886811476,1,0,0.5,0.5,0.25,0,0,0,18,24,42,0.0241900533437729,-0.00608000997453928,0.0302700623869896,1.56400001049042,0.155854508280754,0.11556363850832,0.131050005555153,0.171399995684624,0.0538000017404556,1,1,0.159752115607262,0.0495702426709554,0,0,0.73809524,96.51612903,0.26190476,84.27272727,0.893139719963074,0.182774156332016,2.88109587084862,1.66158323938196,0.22727273,0.5,0.35714286,0.8,0.9,0.86666667,0.47619048,0.63636364,0.04761905,2,4,2,3,4,1,8,0.25,0.5,0.25,0.375,0.5,0.125,0.838871979958244,58.94813,71.09474,49.38477,80,65.40461,59.00549,61.22981,59.16953,60.82255,78.95326,64.31843,63.8365,-1.67335,1.56707,103.94,109.82,112.86,121.7,164.48,189.88,100.3,97.58,101.55,109.466037735849,126.396981132075,138.682641509434,0.23809524,0.5,0.26190476,95.25,97.2095249720982,84.1909068714489,-2.31931915283203,-10.269521077474,5.37108195911754,5.60942840576172,0.847628820510138,2.09927281466397,0.915168728679419,-0.0304067470133305,0.183400679379702,9.15168728679419,-0.144794033396812,1.66727890345183,0.2,0.5,0.35714286,0.75,0.90909091,0.86666667,0.52380952,17.35483871,0.23809524,0.5,0.26190476,95.1612609863281,97.138427734375,84.1083374023438,-1.49486751556396,-9.98278009323847,6.12070881236683,5.24976501464844,-0.0535592919304257,1.4232026013461,0.915168728679419,-0.0304067470133305,0.183400679379702,9.15168728679419,-0.144794033396812,1.66727890345183,0.19047619,0.52380952,0.35714286,0.75,0.90909091,0.86666667,0.5,8,83.3471984863281,18.9277858734131,0,0,101.206,1,0.125,"2024-07-24",0
"Chris Roycroft",31261,"2024-07-22","@PIT",28,2024,"STL","A",27,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0,0,2,0,2,0,0,0,0,0.2,0,0.2,2.00296908401489,0,0.4,2,0.5,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.4857173198762,29.9783111930123,2,0.5,0.5,0,0,0,0,0,7,11,18,0.0894099920988083,-0.154348000884056,0.243757992982864,0.521000027656555,0.0519182831048965,2.15452003479004,1.51380002498627,1.51380002498627,1.81379997730255,1,1,0.000661031052004546,0.04083776712813,1,0,0.66666667,95.75,0.33333333,84.16666667,0.243528306484222,-0.259244292974472,2.02940255403519,-4.3207382162412,0.22222222,0.66666667,0.44444444,1,1,1,0.5,0.6,0,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,5.8140949463742,80,59.41675,80,58.20511,67.83627,57.57585,74.44513,65.11889,80,80,64.67206,80,-1.78421,1.40078,96.92,125.16,115.76,127.06,107.14,127.86,134.55,120.96,133.77,124.525833333333,117.804166666667,128.294166666667,0.27777778,0.38888889,0.33333333,94.8199951171875,96.2428588867188,84.0333353678385,-3.53211059570312,-10.6911403111049,6.32107480367025,5.60979080200195,0.448062658309937,1.3595012029012,-0.416435904800892,0.661403149366379,-0.263769567012787,-8.32871809601784,9.4486164195197,-4.39615945021311,0.28571429,0.54545455,0.44444444,1,1,1,0.61111111,20.38461538,0.27777778,0.38888889,0.33333333,94.6943420410156,96.1172310965402,83.9114837646484,-2.70161590576172,-10.3056389944894,7.19089508056641,5.04493408203125,-0.446790865489415,0.484879493713379,-0.416435904800892,0.661403149366379,-0.263769567012787,-8.32871809601784,9.4486164195197,-4.39615945021311,0.4,0.46153846,0.44444444,1,1,1,0.72222222,4,85.9647216796875,-4.45730686187744,0,0,91.7485,0,0,"2024-07-22",0
"Chris Roycroft",31261,"2024-07-20","@ATL",28,2024,"STL","A",27,0,1,0,1,0,0,0,0,0,0,0,0.2,3,0,1,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,0,1,0,0,0,1,0,0,0.33333333,-0.33333333,12.5329512968893,0,0,1.50000156462356,0,0,7.66648447216047,-7.66648447216047,9.93449944721724,0,190.22168932281,241.863850994261,0,0,0,1,0,0,0,0,6,7,13,-0.188491970300674,-0.192311987280846,0.00382001628167927,-0.194999992847443,-0.0198170728981495,4.1419997215271,2.57039999961853,2.57039999961853,NA,0,1,-0.0475007370114326,0.0019932568150844,0,1,1,95.53846154,NA,NA,-0.127301096916199,NA,-0.979239207047683,NA,0.3,0.66666667,0.38461538,0.66666667,1,0.8,0.23076923,0.33333333,0.07692308,0,2,0,0,2,0,2,0,1,0,0,1,0,5.69579721614371,20,50.89703,20,70.24057,69.72167,45.88818,NA,NA,NA,25.14431,53.09866,20,1.6696,6.58149,84.9,28.98,14.64,91.12,121.72,125.14,NA,NA,NA,87.1618181818182,62.7036363636364,54.8218181818182,0.53846154,0.46153846,NA,95.0857107979911,95.9166666666667,NA,-3.77411324637277,-10.1514263153076,NA,5.76307623726981,0.978370269139608,NA,-0.188036892563105,0.0629965364933014,NA,-2.68624132233007,1.04994227488836,NA,0.33333333,0.5,0.38461538,0.66666667,1,0.8,0.30769231,19.7,0.53846154,0.46153846,NA,95.6314435686384,96.5015970865885,NA,-3.18527276175363,-9.7650883992513,NA,5.24964414324079,0.128182152907054,NA,-0.188036892563105,0.0629965364933014,NA,-2.68624132233007,1.04994227488836,NA,0.33333333,0.5,0.38461538,0.66666667,1,0.8,0.30769231,2,87.6825942993164,39.6959915161133,0,0,87.6826,0,0,"2024-07-20",1
"Chris Roycroft",31261,"2024-07-14","CHC",28,2024,"STL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.4857173198762,66.5170884121943,1,0,0.5,0.5,0,0,0,0,4,8,12,0.00135600019712001,0,0.00135600019712001,0.479999989271164,0.0506329126656055,0.0187999997287989,0.0199999995529652,0.0199999995529652,NA,0,1,0.0717951357364655,0.000332535363593955,0,0,0.91666667,95.27272727,0.08333333,85,0.660920917987823,0.0673001259565353,6.00837198170749,6.73001259565353,0.28571429,0.6,0.41666667,0.5,1,0.8,0.41666667,0.33333333,0.08333333,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,-0.362826045311425,74.64493,57.51302,72.88748,35.08645,68.07979,23.60056,80,52.9573,80,68.89829,56.0889,63.30841,-1.04867,2.50409,86.46,142.2,128.26,110.2,79.6,91.96,86.56,121.37,141.36,93.78,119.733846153846,119.106153846154,0.58333333,0.33333333,0.08333333,94.7428588867188,95.9000015258789,85.3000030517578,-3.78105245317732,-10.1597414016724,3.40328121185303,5.00874328613281,0.290235042572021,4.04520511627197,0.387640967965126,0.280868973582983,0.0682137757539749,5.53772811378751,7.02172433957458,6.82137757539749,0.2,0.57142857,0.41666667,1,0.75,0.8,0.58333333,18.44444444,0.58333333,0.33333333,0.08333333,94.6809692382812,95.8435974121094,85.2452011108398,-3.33539145333426,-9.84200763702393,3.51824998855591,4.52300289699009,-0.686044096946716,3.60440993309021,0.387640967965126,0.280868973582983,0.0682137757539749,5.53772811378751,7.02172433957458,6.82137757539749,0.2,0.57142857,0.41666667,1,0.75,0.8,0.58333333,2,101.098358154297,4.30340957641602,0,0,107.98,1,0.5,"2024-07-14",0
