"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cionel Perez",19614,"2024-09-28","@MIN",2,2024,"BAL","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.6143182700941,27.173712862954,2,0,1,0,0,0,0,0,1,5,6,0.000744000019039959,0,0.000744000019039959,0.483999997377396,0.0507337525486946,0.00573333306238055,0.00999999977648258,0.00999999977648258,0.00999999977648258,1,1,0.0810888931155205,0.0486785581985744,0,0,0.33333333,96.5,0.66666667,81.25,NA,NA,NA,0.269379317760468,0.421103715896606,NA,13.4689658880234,10.5275928974152,NA,0.5,0.75,0.66666667,0,1,0.75,0.66666667,1,0.16666667,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-0.21283949158737,68.1601,54.01738,73.66131,75.76359,63.23296,66.81133,80,42.56706,80,80,50.81155,80,-2.27006,0.672,88.82,141.08,135.32,94.72,130.6,131.1,106.92,158.68,157.3,101.87,151.066666666667,149.27,0.16666667,0.16666667,0.66666667,96.9000015258789,96.3000030517578,81.25,3.41991710662842,8.31518363952637,-7.89584684371948,8.41471099853516,2.55227375030518,-4.55480289459229,0.057969942688942,0.214739695191383,0.414632696658373,5.7969942688942,21.4739695191383,10.3658174164593,0.5,0.75,0.66666667,0,1,0.75,0.66666667,26.33333333,0.16666667,0.16666667,0.66666667,96.6025009155273,95.9688034057617,80.9487228393555,3.11252999305725,8.15217971801758,-8.73424243927002,7.6255898475647,1.68731999397278,-5.96646022796631,0.057969942688942,0.214739695191383,0.414632696658373,5.7969942688942,21.4739695191383,10.3658174164593,0.5,0.75,0.66666667,0,1,0.75,0.66666667,2,68.0984954833984,-27.1281566619873,0,0,82.8764,0,0,"2024-09-28",0
"Cionel Perez",19614,"2024-09-26","@NYY",2,2024,"BAL","A",28,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,1,2,2,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0.33333333,-0.33333333,10.9178401874764,0,0.5,6.00000625849423,0.5,0,12.1664891660311,41.8335671604169,12.1664891660311,1375.22207884764,305.704944184059,300.827211911999,1,0.5,0.5,0,0,0,0,0,4,4,8,-0.147143974900246,-0.150047987699509,0.00290401466190815,-2.79700016975403,-0.290446519851685,1.22346663475037,1.10160005092621,2.20320010185242,0.155199989676476,1,1,-0.0677173286676407,-0.0525507446258077,0,1,0.75,95.83333333,0.25,81.5,NA,NA,NA,-1.1393495798111,0.279385358095169,NA,-18.9891596635183,13.9692679047585,NA,0,1,0.5,NA,1,1,0.5,1,0,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,17.4037061204795,20,73.66449,20,20,62.8936,20,78.94039,42.38124,74.55877,20,57.19469,20,4.27705,10.49267,99.78,3.32000000000001,9.3,128.28,-67.46,-40.66,78.68,162.8,154.74,112.3175,-1.04749999999999,14.435,0.125,0.625,0.25,96.3000030517578,95.6599975585937,81.3500061035156,4.09274816513062,9.62748718261719,-5.31282711029053,9.1943826675415,4.85066108703613,-1.53081154823303,-0.0483221560716629,-1.10742030665278,0.282953470945358,-4.83221560716629,-22.1484061330557,14.1476735472679,0,1,0.5,NA,1,1,0.5,21,0.125,0.625,0.25,96.011100769043,95.4315795898438,81.093505859375,3.99847006797791,9.02623596191406,-6.20786476135254,8.29592990875244,3.65374984741211,-2.64468479156494,-0.0483221560716629,-1.10742030665278,0.282953470945358,-4.83221560716629,-22.1484061330557,14.1476735472679,0,1,0.5,NA,1,1,0.5,2,96.8555603027344,-0.946568012237549,1,0.5,116.441,1,0.5,"2024-09-26",0
"Cionel Perez",19614,"2024-09-24","@NYY",2,2024,"BAL","A",28,0,0,27.000028163224,1,0,0,0,0,0,1,0,0.2,4,2,2,2,0,0,0,0,0,0,0,0,0,27.000028163224,0,0.5,0,2,2,0,1,1,0,0,0,0,0,6.03472908401489,0,0.5,3.00000312924711,0.5,0,3.1664797782898,23.8335483849342,7.70250972840334,687.611039423818,78.1762071033664,189.774252798055,1,0,0.5,0.5,0.5,0,0,0,1,11,12,-0.00156799890100956,-0.0687799975275993,0.0672120004892349,-0.00100001692771912,-0.000103844329714775,1.06430006027222,1.05560004711151,1.05560004711151,1.98239994049072,1,1,-0.0343966335058212,0.0329233658066646,0,0,0.66666667,95.875,0.33333333,82.75,NA,NA,NA,-0.933043718338013,0.210907563567162,NA,-11.6630464792252,5.27268908917904,NA,0.6,0.71428571,0.66666667,1,0.8,0.875,0.58333333,1,0.08333333,0,2,2,2,1,1,4,0,0.5,0.5,0.5,0.25,0.25,0.210224239730062,80,72.03894,80,70.42988,66.12797,74.26108,80,55.2681,74.38784,80,64.15399,80,-2.8251,-0.16056,125.02,152.86,173.52,107.1,121.14,135.22,129.76,141.22,138.84,119.133333333333,135.763333333333,146.001666666667,0.25,0.41666667,0.33333333,96.5333353678385,95.2799987792969,82.6750030517578,4.42826398213704,8.67073135375977,-8.03258419036865,9.9196236928304,4.0152946472168,-3.66844463348389,-0.76553338393569,-0.217105831950903,0.213400099426508,-25.517779464523,-4.34211663901806,5.3350024856627,0.5,0.75,0.66666667,1,0.83333333,0.875,0.66666667,20.375,0.25,0.41666667,0.33333333,96.3134358723958,95.0284423828125,82.4600524902344,3.5920664469401,7.95558013916016,-9.27436542510986,8.92179361979167,2.72066593170166,-5.22105264663696,-0.76553338393569,-0.217105831950903,0.213400099426508,-25.517779464523,-4.34211663901806,5.3350024856627,0.5,0.75,0.66666667,1,0.83333333,0.875,0.66666667,4,81.8633270263672,9.98869132995605,0,0,96.9838,1,0.25,"2024-09-24",0
"Cionel Perez",19614,"2024-09-22","DET",2,2024,"BAL","H",28,0,0,0,1,0,0,0,0,0,0,0,1.1,5,0,0,0,0,0,0,1,0,0,1,6.75000160932579,0,0,1,0,0,2,1,0,0,0,0,0,0.2,0,0.2,2.84676908401489,0,0,0,0,1,3.91647995710377,-3.91647995710377,5.05048653213841,0,97.1369199364297,123.798361175099,2,0,0.666666666,0.333333333,0,0,0,0,7,11,18,0.0721400231122971,-0.0324800051748753,0.104620024561882,0.683000028133392,0.0734408646821976,1.09679996967316,0.864000022411346,0.888000011444092,0.611999988555908,1,1,0.052653755992651,0.0131194251771065,1,0,0.5,95.55555556,0.5,82.77777778,NA,NA,NA,0.465499401092529,0.120035961270332,NA,5.17221556769477,1.33373290300369,NA,0.11111111,0.44444444,0.27777778,1,1,1,0.5,0.4,0,2,0,1,0,3,0,3,0.66666667,0,0.33333333,0,1,0,2.49065727286529,NA,NA,NA,59.17493,63.82338,65.26295,67.28705,47.80887,63.12352,69.46997,57.23299,72.72441,-1.08419,2.45081,NA,NA,NA,124.58,108.32,130.4,101.42,132.94,133.16,113,120.63,131.78,NA,0.5,0.5,NA,95.5555555555556,82.6333346896701,NA,8.33439721001519,-6.32055536905925,NA,3.86618508232964,-3.9329342312283,NA,0.470692690461874,0.11821473389864,NA,5.22991878290971,1.31349704331822,0,0.5,0.27777778,NA,1,1,0.55555556,21.38461538,NA,0.5,0.5,NA,95.5088568793403,82.5794813368056,NA,7.84464603000217,-7.23613993326823,NA,2.88324568006727,-5.35508431328668,NA,0.470692690461874,0.11821473389864,NA,5.22991878290971,1.31349704331822,0,0.45454545,0.27777778,NA,1,1,0.61111111,3,78.9680531819661,1.84413623809814,0,0,90.3526,0,0,"2024-09-22",0
"Cionel Perez",19614,"2024-09-21","DET",2,2024,"BAL","H",28,0,0,18,1,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,27,0,0.333333333,0,3,0,0,0,1,0,0,0,0,0,NA,0,1,3,1,0.33333333,3.1664797782898,14.8335202217102,3.1664797782898,458.406881459742,78.1762071033664,76.9288520456552,3,0,1,0,0,0,0,0,5,6,11,-0.385240018367767,-0.385240018367767,0,-2.45700001716614,-0.264193534851074,2.66533327102661,1.83200001716614,1.83200001716614,1.12399995326996,1,1,-0.138052552938461,-0.00648472596602021,0,1,0.72727273,97.375,0.27272727,82.66666667,NA,NA,NA,-1.34798312187195,-0.043875515460968,NA,-16.8497890233994,-1.46251718203227,NA,0.28571429,1,0.54545455,0.5,1,0.83333333,0.36363636,0.66666667,0.09090909,0,1,2,1,1,1,3,0,0.33333333,0.66666667,0.33333333,0.33333333,0.33333333,1.34627574922926,46.33719,61.58513,22.04714,63.18572,71.28328,61.88353,32.26031,47.65507,35.68377,55.3137,61.44637,52.0156,-0.20471,3.77003,82.68,144.62,141.36,137.94,116.6,151.76,113.14,90.56,93.92,121.129090909091,114.592727272727,134.094545454545,0.18181818,0.54545455,0.27272727,97.5500030517578,97.3499959309896,82.4666646321615,3.61603593826294,8.97416432698568,-6.89579010009766,8.42831039428711,3.84878412882487,-3.65258185068766,-0.407836180180311,-0.960737135261297,-0.0450562611222267,-20.3918090090156,-16.0122855876883,-1.50187537074089,0.16666667,1,0.54545455,0,1,0.83333333,0.45454545,20.125,0.18181818,0.54545455,0.27272727,97.5802001953125,97.3798624674479,82.4762980143229,3.0783748626709,8.60248819986979,-7.67343012491862,7.55189514160156,2.87348333994548,-5.02532005310059,-0.407836180180311,-0.960737135261297,-0.0450562611222267,-20.3918090090156,-16.0122855876883,-1.50187537074089,0.33333333,0.8,0.54545455,0.5,1,0.83333333,0.45454545,3,100.621317545573,-12.8345540364583,0,0,103.177,3,1,"2024-09-21",0
"Cionel Perez",19614,"2024-09-19","SFG",2,2024,"BAL","H",28,0,0,0,1,0,0,0,0,0,1,0,1,5,1,0,0,0,1,0,0,0,0,2,18,9,9,2,0,0,0,0,2,0,0,0,0,0.4,0.2,0.2,3.70848908401489,0,0.25,2,0.5,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,52.8952626867303,52.0512824543046,0,1,0,0,0,0,0,0,5,12,17,0.092960000038147,-0.17916002869606,0.272120028734207,0.467000007629395,0.0502150505781174,3.10319995880127,1.73000001907349,1.73000001907349,2.14200019836426,1,1,-0.00328302034176886,0.0332391950234856,1,0,0.52941176,97.33333333,0.47058824,83.25,NA,NA,NA,-0.0919207856059074,0.0964901745319366,NA,-1.02134206228786,1.20612718164921,NA,0.25,0.66666667,0.47058824,0,0.5,0.375,0.52941176,0.8,0.29411765,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,8.60954195747765,48.84111,57.28252,37.36165,80,75.21001,80,71.44441,62.8295,65.6379,80,68.37801,79.03472,-1.95862,1.13916,97.7,9.33999999999999,-7.57999999999998,113.4,139.26,157.68,99.04,140.34,140.18,103.648,122.513333333333,126.312,0.17647059,0.35294118,0.47058824,97.2333374023438,97.2000020345052,83.1125030517578,2.90869267781576,7.84236653645833,-7.47849416732788,7.76355107625325,3.15481090545654,-4.37281084060669,-0.0527668297290802,-0.00307866185903549,0.0960554108023643,-1.75889432430267,-0.0513110309839249,1.20069263502955,0.14285714,0.7,0.47058824,0,0.42857143,0.375,0.58823529,22.83333333,0.17647059,0.35294118,0.47058824,97.2624003092448,97.2382303873698,83.1540985107422,2.36871337890625,7.6007932027181,-8.24090671539307,6.87779680887858,1.98953501383464,-5.83168745040894,-0.0527668297290802,-0.00307866185903549,0.0960554108023643,-1.75889432430267,-0.0513110309839249,1.20069263502955,0.14285714,0.7,0.47058824,0,0.42857143,0.375,0.58823529,2,97.7908782958984,16.1176433563232,0,0,109.031,1,0.5,"2024-09-19",0
"Cionel Perez",19614,"2024-09-14","@DET",2,2024,"BAL","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,1,0,0,0,0,0,0,0,1.54372908401489,0,0.5,2,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.1762071033664,76.9288520456552,3,0.25,0.75,0,0,0,0,0,4,6,10,0.0260280016809702,-0.0337239988148212,0.0597519986331463,0.480000019073486,0.0506329126656055,0.544799983501434,0.567600011825562,0.567600011825562,0.414799988269806,1,1,-0.0209748707711697,0.0687502056999411,0,0,0.9,96.22222222,0.1,82,NA,NA,NA,0.103347674012184,-0.0344077162444592,NA,1.14830748902427,-3.44077162444592,NA,0,0.83333333,0.5,NA,1,1,0.6,0.25,0,2,1,1,1,0,3,4,0.5,0.25,0.25,0.25,0,0.75,4.71149722369787,80,63.65069,80,46.97678,48.43082,46.26179,20,44.87946,20,46.05705,45.40564,43.37451,0.37037,4.63265,83.66,160.42,160.48,98.8,118.96,127.28,75,33.6,23.52,94.906,114.57,120.224,0.1,0.8,0.1,97.1999969482422,96.2750015258789,82.4000015258789,4.18807363510132,8.13335037231445,-5.00362539291382,9.26280403137207,3.37968826293945,-1.97487831115723,0.0501701384782791,0.0559099763631821,-0.0350487045943737,5.01701384782791,0.698874704539776,-3.50487045943737,0,0.71428571,0.5,NA,1,1,0.7,17.33333333,0.1,0.8,0.1,97.3293991088867,96.4213256835938,82.5570983886719,4.39366006851196,8.37806034088135,-4.94573020935059,7.99318981170654,2.1362144947052,-4.06472015380859,0.0501701384782791,0.0559099763631821,-0.0350487045943737,5.01701384782791,0.698874704539776,-3.50487045943737,0,0.71428571,0.5,NA,1,1,0.7,4,87.0508422851562,-6.01230621337891,0,0,91.7329,0,0,"2024-09-14",0
"Cionel Perez",19614,"2024-09-11","@BOS",2,2024,"BAL","A",28,0,0,0,1,0,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,1,0,0,0,13.500014081612,13.500014081612,0,0,0,1,2,0,0,0,0,0,0,0.25,-0.25,10.3741040840149,0,0.333333333333333,3.00000312924711,0.333333333333333,1,7.66648447216047,-7.66648447216047,12.202514422274,0,191.940575643713,301.723432731227,0.5,0,0.333333333,0.666666666,0,0,0,0,5,9,14,0.0209079887717962,-0.108863994479179,0.12977197766304,0.085999995470047,0.00828516483306885,2.33360004425049,1.81840002536774,1.81840002536774,3.46160006523132,1,1,-0.00903278589248657,0.0179923283913433,0,0,0.64285714,95.88888889,0.35714286,81.4,NA,NA,NA,-0.442139476537704,0.163906961679459,NA,-4.91266085041894,3.27813923358917,NA,0.14285714,0.85714286,0.5,1,0.83333333,0.85714286,0.5,0.75,0.07142857,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,4.31323240253216,35.7533,44.96384,34.19099,80,71.70954,80,64.67835,40.78153,72.74114,69.46569,49.01849,78.27889,-1.08392,2.45121,87.12,105.04,85.08,110.44,128.04,141.98,78.54,133.14,115.42,90.7185714285714,121.647142857143,112.172857142857,0.35714286,0.28571429,0.35714286,96.0200012207031,95.8249969482422,81.2,4.10040664672852,8.50956916809082,-6.70117645263672,7.7889045715332,3.33483099937439,-4.33731536865234,-0.0733884535729885,-0.377071525901556,0.16278376057744,-1.46776907145977,-9.4267881475389,3.25567521154881,0,0.77777778,0.5,NA,0.85714286,0.85714286,0.64285714,19.8,0.35714286,0.28571429,0.35714286,96.217041015625,96.0319747924805,81.3923217773438,3.60555000305176,8.12240982055664,-7.39893035888672,7.04219589233398,2.37220740318298,-5.52165985107422,-0.0733884535729885,-0.377071525901556,0.16278376057744,-1.46776907145977,-9.4267881475389,3.25567521154881,0,0.7,0.5,NA,0.85714286,0.85714286,0.71428571,3,97.0265401204427,18.219228108724,0,0,106.209,1,0.33333333,"2024-09-11",0
"Cionel Perez",19614,"2024-09-10","@BOS",2,2024,"BAL","A",28,0,0,6.75000160932579,1,0,0,0,0,0,0,0,1.1,5,1,1,1,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,2,2,0,1,0,0,0,0.2,0,0.2,3.29696908401489,0,0.2,0.750000178813977,0.25,0,1.66647942066184,5.08352218866395,3.93449257073111,171.902621532182,40.2547814372398,96.0351437366616,1,0,0.5,0.5,0.5,0,0,0,5,15,20,0.0373240001499653,-0.0308360010385513,0.0681599974632263,0.532000005245209,0.0512524098157883,0.680800020694733,0.712200045585632,0.757200002670288,0.82559996843338,1,1,0.0555144883692265,-0.000690753035203627,0,0,0.55,96.45454545,0.45,81.88888889,NA,NA,NA,0.326655924320221,0.20496292412281,NA,2.96959931200201,2.27736582358678,NA,0.64285714,0.66666667,0.65,0.88888889,0.5,0.76923077,0.3,0.8,0.15,1,1,2,2,1,1,4,0.25,0.25,0.5,0.5,0.25,0.25,-0.451292186137466,65.26029,54.12899,80,80,66.38966,75.09734,38.89981,46.49156,39.09017,67.45832,54.00696,68.72118,-0.95921,2.63828,112.3,113.9,116.16,131.12,166.78,183.68,110.36,112.04,117.76,116.132,126.283,133.76,0.3,0.25,0.45,96.4333292643229,96.4200012207031,81.7555541992188,4.75605074564616,9.38853454589844,-7.66744825575087,8.72985458374023,2.70991363525391,-5.53814061482747,0.0821772255003452,0.247584372758865,0.188516713678837,1.36962042500575,4.95168745517731,2.09463015198708,0.58333333,0.75,0.65,0.85714286,0.66666667,0.76923077,0.4,19.2,0.3,0.25,0.45,96.71728515625,96.6838806152344,82.0053100585938,4.22215334574382,9.03370590209961,-8.4818835788303,7.89080301920573,1.71508522033691,-6.79527197943793,0.0821772255003452,0.247584372758865,0.188516713678837,1.36962042500575,4.95168745517731,2.09463015198708,0.58333333,0.75,0.65,0.85714286,0.66666667,0.76923077,0.4,4,93.229133605957,20.4034595489502,0,0,108.007,1,0.25,"2024-09-10",0
"Cionel Perez",19614,"2024-09-06","TBR",2,2024,"BAL","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,3,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0.5,0,2,0,0,0,1,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.33329474313559,2.29606542354053,2,0,1,0,0,0,0,0,4,7,11,0.0365399718284607,-0.0207800380885601,0.0573200136423111,0.250999987125397,0.0269892476499081,0.936666667461395,1.40200006961823,1.40200006961823,1.18400001525879,1,1,0.00645988201722503,0.032550764029883,0,0,0.72727273,96.5,0.27272727,82.66666667,NA,NA,NA,-0.000171121209859848,0.0305849052965641,NA,-0.0021390151232481,1.0194968432188,NA,0.2,0.83333333,0.54545455,1,1,1,0.54545455,0.33333333,0,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,-0.21283949158737,78.60349,56.53023,80,31.90994,78.53825,23.39649,20,45.20976,20,52.1998,57.29687,45.4287,-0.01125,4.06022,87.28,133.1,128.36,125.06,85.12,129.5,93.9,53.02,37.18,99.3890909090909,98.1745454545455,103.803636363636,0.45454545,0.27272727,0.27272727,97.2,95.6666666666667,82.6000010172526,4.66258354187012,7.94925498962402,-5.67253875732422,8.10838088989258,3.53188069661458,-1.39357805252075,0.308878012001514,-0.310478717088699,0.0295663587749004,6.17756024003029,-10.3492905696233,0.985545292496681,0.25,0.71428571,0.54545455,1,1,1,0.63636364,20,0.45454545,0.27272727,0.27272727,97.3176025390625,95.7704264322917,82.6932322184245,4.0183837890625,7.57014338175456,-6.91053644816081,7.26869583129883,2.57102330525716,-2.83344014485677,0.308878012001514,-0.310478717088699,0.0295663587749004,6.17756024003029,-10.3492905696233,0.985545292496681,0.25,0.71428571,0.54545455,1,1,1,0.63636364,2,78.3749237060547,-0.840440988540649,0,0,80.9217,0,0,"2024-09-06",0
