"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","piXX%","pivCH","pivFA","pivFC","pivSI","pivSL","pivXX","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piXX-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwXX","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Dennis Santana",17878,"2024-09-28","@NYY",27,2024,"PIT","A",28,0,0,9,1,0,0,0,0,0,1,0,1,5,1,1,1,0,1,0,0,0,0,2,18,9,9,2,0,0,1,0,1,0,0,0,0,0.4,0.2,0.2,3.64632908401489,0,0.25,2,0.5,0.5,2.1664797782898,6.8335202217102,2.1664797782898,213.193937782926,54.0650892380557,54.144034788745,1,0.5,0.5,0,0,0,3,27,10,11,21,0.00987600162625313,-0.100739993155003,0.110615998506546,-0.508999943733215,-0.0528556555509567,1.11232006549835,1.0324000120163,1.0324000120163,0.193599998950958,1,1,-0.0662968903779984,0.0751756312481708,0,0,0.33333333,94,0.19047619,86.5,0.28571429,88.83333333,0.19047619,86.5,NA,0.202182367444038,0.227396890521049,0.00979036465287209,-0.778026282787323,2.88831953491483,5.68492226302624,0.163172744214535,-19.4506570696831,0.28571429,0.57142857,0.38095238,0.75,1,0.875,0.33333333,0.6,0.04761905,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,4.61431246481845,39.21047,61.94215,48.5157,20,64.59918,20,44.40542,33.32043,42.70067,20,20,50.53192,20,51.21949,20,20,46.32924,20,2.04469,7.14413,64.14,76.52,58.38,107.2,17.7,28.3,98,98.86,84.88,119.54,103.52,93.32,94.26,34.08,42.54,96.3371428571429,61.5247619047619,58.5657142857143,0.19047619,0.28571429,0.14285714,0.19047619,0.19047619,94.375,88.7999979654948,93.4666646321615,86.5500030517578,86.4499969482422,-9.08285808563232,-0.235256830851237,-11.061466217041,0.169527918100357,-12.2168426513672,10.2406768798828,7.06158892313639,6.82880465189616,2.68965625762939,5.76119136810303,-0.0905773304402828,0.00752900168299675,0.292911648750305,0.229855183511972,-0.785425018519163,-2.26443326100707,0.125483361383279,9.76372162501017,5.74637958779931,-19.6356254629791,0.23076923,0.625,0.38095238,0.66666667,1,0.875,0.38095238,20.25,0.19047619,0.19047619,0.28571429,0.14285714,0.19047619,NA,86.34375,94.2816467285156,88.6616516113281,93.3855387369792,86.4074478149414,NA,-11.8959999084473,-8.55795764923096,0.528665502866109,-10.7786064147949,0.977797985076904,NA,4.46004486083984,9.0422945022583,6.04575157165527,5.64050992329915,1.44675517082214,NA,-0.785425018519163,-0.0905773304402828,0.00752900168299675,0.292911648750305,0.229855183511972,NA,-19.6356254629791,-2.26443326100707,0.125483361383279,9.76372162501017,5.74637958779931,NA,0.23076923,0.625,0.38095238,0.66666667,1,0.875,0.38095238,2,93.2050704956055,-0.0218081474304199,0,0,96.1663,1,0.5,"2024-09-28",0
"Dennis Santana",17878,"2024-09-27","@NYY",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.9346008508647,103.055865631376,0,0,0,1,0.5,0,0,0,7,10,17,0.0870160013437271,0,0.0870160013437271,0.49099999666214,0.0509864985942841,1.14893329143524,1.6923999786377,1.6923999786377,1.80440008640289,1,1,0.0761514902114868,-0.000415151128625738,1,0,0.41176471,94.85714286,0.41176471,86.28571429,0.11764706,89.5,0.05882353,88,NA,0.420630514621735,0.200444683432579,0.133566230535507,0,6.00900735173907,2.86349547760827,6.67831152677536,0,0,0.66666667,0.35294118,NA,1,1,0.52941176,0.33333333,0,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.54332111051159,80,66.32829,80,80,54.8497,80,NA,NA,NA,20,50.60674,20,80,52.33258,80,60.7561,55.55432,64.70288,-0.54283,3.26285,97.94,101.92,74.46,81.52,149.38,153.6,NA,NA,NA,99.76,56.88,63.3,83.42,121.7,139.3,89.2588235294118,109.056470588235,114.550588235294,0.41176471,0.11764706,NA,0.41176471,0.05882353,94.7714320591518,89.4499969482422,NA,86.2714320591518,87.8000030517578,-6.54298945835659,-0.0680771172046661,NA,1.30383954729353,-11.1156549453735,9.36037772042411,6.651038646698,NA,2.20092391967773,3.8740553855896,0.426543634384871,0.135497324168682,NA,0.201350949704647,0,6.09348049121244,6.7748662084341,NA,2.87644213863782,0,0,0.54545455,0.35294118,NA,1,1,0.64705882,20.07142857,0.05882353,0.41176471,0.17647059,NA,0.35294118,NA,87.5572967529297,94.580557686942,88.7916666666667,NA,85.7352803548177,NA,-10.9884996414185,-6.21925027029855,1.09848300615946,NA,1.68847910563151,NA,2.60997009277344,8.23012542724609,4.968079884847,NA,0.719865163167318,NA,0,0.426543634384871,0.0356668010354042,NA,0.301181472837925,NA,0,6.09348049121244,1.18889336784681,NA,5.01969121396542,NA,0,0.54545455,0.35294118,NA,1,1,0.64705882,2,90.532844543457,53.6761627197266,0,0,91.9231,0,0,"2024-09-27",0
"Dennis Santana",17878,"2024-09-25","MIL",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.1955776252467,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,0,5,5,0.122932001948357,0,0.122932001948357,0.521000027656555,0.0519182868301868,1.59679996967316,2.16380000114441,2.16380000114441,2.89660000801086,1,1,0.0771335661411285,-0.00014709051292626,1,0,0.4,93.5,0.4,86,0.2,89,NA,NA,NA,0.424170464277267,0.210907563567162,0.0389156937599182,NA,21.2085232138634,10.5453781783581,3.89156937599182,NA,1,0.75,0.8,1,0.66666667,0.75,0.8,1,0.2,3,0,0,0,3,0,3,1,0,0,0,1,0,1.20027265978185,NA,NA,NA,NA,NA,NA,46.63962,44.91959,42.69791,80,50.17557,80,77.81452,53.67507,80,77.52955,50.79462,80,-1.5849,1.69974,NA,NA,NA,NA,NA,NA,78.54,105.8,94.84,105.32,123.62,107.78,87.4,109.52,109.36,91.024,113.672,102.92,NA,0.2,0.4,0.4,NA,NA,89.1999969482422,93.1500015258789,86.1499938964844,NA,NA,0.46748349070549,-9.48365211486816,0.59146523475647,NA,NA,4.93853235244751,5.79438352584839,0.870484590530396,NA,NA,0.039364367723465,0.429479390382767,0.213400099426508,NA,NA,3.9364367723465,21.4739695191383,10.6700049713254,NA,1,0.75,0.8,1,0.66666667,0.75,0.8,15,NA,NA,0.2,0.4,0.4,NA,NA,NA,88.8812026977539,92.8765563964844,85.8992462158203,NA,NA,NA,1.22335004806519,-9.24641513824463,1.23827505111694,NA,NA,NA,3.86879992485046,4.68471002578735,-0.505033433437347,NA,NA,NA,0.039364367723465,0.429479390382767,0.213400099426508,NA,NA,NA,3.9364367723465,21.4739695191383,10.6700049713254,NA,1,0.75,0.8,1,0.66666667,0.75,0.8,3,87.4005533854167,-2.86233488718669,0,0,92.4675,0,0,"2024-09-25",0
"Dennis Santana",17878,"2024-09-22","@CIN",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.9346008508647,103.055865631376,0,0,0,1,0,0,0,0,7,9,16,0.099030002951622,0,0.099030002951622,0.560999989509583,0.0530496463179588,1.25099992752075,1.80799996852875,1.80799996852875,1.99399995803833,1,1,0.0795069262385368,-0.000346247829960927,1,0,0.375,95,0.375,86,0.0625,89,0.1875,88,NA,0.30573382973671,0.614815235137939,-0.0344077162444592,-0.120182275772095,5.09556382894516,10.2469205856323,-3.44077162444592,-4.00607585906982,0.11111111,0.57142857,0.3125,0,1,0.8,0.4375,0.33333333,0.0625,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,-0.52749683732677,51.40132,40.1187,49.06006,52.9037,47.54819,57.13476,NA,NA,NA,66.61108,52.01609,72.45613,60.75275,63.92425,64.23066,59.12531,50.21631,64.94189,-0.44151,3.41483,83.3,92.96,61.98,84.98,98.96,100.82,NA,NA,NA,90.38,151.3,159.14,95.66,74.84,82.62,87.3575,115.955,114.27,0.375,0.0625,NA,0.375,0.1875,94.9000040690104,88.5999984741211,NA,86.2166646321615,88.0333353678385,-6.47440592447917,1.21028053760529,NA,1.42487716674805,-9.3138542175293,8.51553599039713,3.9553530216217,NA,1.69285138448079,4.42162799835205,0.308699268847704,-0.0350487045943737,NA,0.623596902936697,-0.122498951852322,5.1449878141284,-3.50487045943737,NA,10.3932817156116,-4.08329839507739,0,0.55555556,0.3125,NA,0.8,0.8,0.5625,18.15384615,0.1875,0.375,NA,NA,0.4375,NA,88.4268391927083,95.3218790690104,NA,NA,86.9323468889509,NA,-9.19217999776204,-5.948179880778,NA,NA,1.99287142072405,NA,3.38646984100342,7.49892997741699,NA,NA,1.05369452067784,NA,-0.122498951852322,0.308699268847704,NA,NA,0.588548198342323,NA,-4.08329839507739,5.1449878141284,NA,NA,8.40783140489033,NA,0,0.55555556,0.3125,NA,0.8,0.8,0.5625,2,84.1960144042969,45.0471458435059,0,0,85.9349,0,0,"2024-09-22",0
"Dennis Santana",17878,"2024-09-19","@STL",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,29.9346008508647,103.055865631376,0,0,0,1,0.5,0,0,0,4,10,14,0.137979999184608,0,0.137979999184608,0.479999989271164,0.0506329126656055,1.83959996700287,2.46560001373291,2.46560001373291,3.41240000724792,1,1,0.0750760734081268,-7.06365416489468e-05,1,0,0.42857143,94.66666667,0.21428571,85.66666667,0.21428571,90.33333333,0.14285714,87,NA,0.464936167001724,0.262934684753418,0.0687200278043747,-0.0306317918002605,7.7489361166954,8.7644894917806,2.29066759347916,-1.53158959001303,0.5,0.75,0.57142857,0.6,1,0.75,0.28571429,0.66666667,0.14285714,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.54332111051159,80,44.38817,80,36.17392,38.32294,36.51746,NA,NA,NA,69.84985,47.69503,61.7276,20,45.41005,20,44.12768,42.15781,50.06275,0.49024,4.81245,83.2,144.84,123.12,103.24,88.28,79.62,NA,NA,NA,96.92,94.08,93.56,87.14,81.4,86.56,95.5728571428571,96.1285714285714,90.3085714285714,0.42857143,0.21428571,NA,0.21428571,0.14285714,94.683339436849,90.1666666666667,NA,85.9000040690104,87.0500030517578,-6.66727256774902,-0.253970980644226,NA,1.99898958206177,-9.26295280456543,8.52345975240072,6.79400825500488,NA,1.36157703399658,4.93252754211426,0.470832899212837,0.0695373229682446,NA,0.266204282641411,-0.031825989484787,7.84721498688062,2.31791076560815,NA,8.87347608804703,-1.59129947423935,0.42857143,0.71428571,0.57142857,0.33333333,1,0.75,0.5,20.36363636,0.14285714,0.42857143,0.21428571,NA,0.21428571,NA,87.364501953125,94.9679361979167,90.4338684082031,NA,86.2075602213542,NA,-8.95148468017578,-6.27259190877279,0.289723336696625,NA,2.4977134068807,NA,3.80111980438232,7.70794868469238,5.84648323059082,NA,0.320634384950002,NA,-0.031825989484787,0.470832899212837,0.0695373229682446,NA,0.266204282641411,NA,-1.59129947423935,7.84721498688062,2.31791076560815,NA,8.87347608804703,NA,0.42857143,0.71428571,0.57142857,0.33333333,1,0.75,0.5,2,77.3923950195312,49.4188385009766,0,0,79.4309,0,0,"2024-09-19",0
"Dennis Santana",17878,"2024-09-17","@STL",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,1,9,9,0,1,1,0,1,2,0,0,1,0,0,0.2,0.2,0,6.14436908401489,0,0,1,0,0,4.1664797782898,-4.1664797782898,7.19049659073353,0,102.326066012438,175.553036418574,0.5,0,0.333333333,0.666666666,0,0,0,0,10,13,23,-0.0578720048069954,-0.0697640180587769,0.0118920160457492,-0.519999980926514,-0.0548523217439651,0.70959997177124,0.51199996471405,0.51199996471405,NA,0,1,-0.0578573867678642,-0.0236984293386957,0,0,0.39130435,93.66666667,0.43478261,86,0.08695652,88.5,0.08695652,86.5,NA,-0.270458817481995,-0.0388064049184322,0.0418644286692142,0.0758936107158661,-3.00509797202216,-0.388064049184322,2.09322143346071,3.7946805357933,0.23076923,0.7,0.43478261,1,0.57142857,0.7,0.43478261,0.2,0.13043478,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,2.4378876291945,20,40.48741,20,20,49.74511,20,80,41.22583,80,40.90492,43.44188,42.93623,80,44.93628,80,46.84449,46.09376,48.21492,0.32145,4.55927,79.94,-29.94,-49.44,89,76.88,80.86,100.06,122.44,127.8,98.84,111.9,118.28,62.38,193.74,195.7,91.6182608695652,98.9217391304348,101.907826086957,0.26086957,0.08695652,0.13043478,0.43478261,0.08695652,93.3499959309896,88.5999984741211,93.9000040690104,85.8700012207031,86.0500030517578,-7.03346951802572,-0.560514330863953,-9.88653945922852,0.707304191589355,-8.84761428833008,9.07661692301432,7.42880535125732,5.68681462605794,2.40049457550049,5.30936527252197,-0.402703639119864,0.0424786768853664,0.133341170847416,-0.0430448539555073,0.0752507001161575,-6.71172731866439,2.12393384426832,4.44470569491386,-0.430448539555073,3.76253500580788,0.3,0.53846154,0.43478261,1,0.57142857,0.7,0.56521739,22.88888889,0.08695652,0.26086957,0.08695652,0.13043478,0.43478261,NA,86.4212493896484,93.7542317708333,88.9661483764648,94.2794698079427,86.2363098144531,NA,-8.5739803314209,-6.59451802571615,-0.166889995336533,-9.46673011779785,1.31834621429443,NA,4.17582511901855,7.89737701416016,6.37883472442627,4.71866671244303,1.22925958633423,NA,0.0752507001161575,-0.402703639119864,0.0424786768853664,0.133341170847416,-0.0430448539555073,NA,3.76253500580788,-6.71172731866439,2.12393384426832,4.44470569491386,-0.430448539555073,NA,0.2,0.61538462,0.43478261,1,0.625,0.7,0.56521739,3,94.6478271484375,26.8362299601237,0,0,96.6944,1,0.33333333,"2024-09-17",0
"Dennis Santana",17878,"2024-09-15","KCR",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,0,0,0,6.75000160932579,0,0,0,1,3,1,0,0,0,0,0,0,0,7.74112908401489,0,0.2,0.750000178813977,0.2,1,3.1664797782898,-3.1664797782898,6.5684995033937,0,78.1955776252467,160.522026728569,0.333333333,0.2,0.2,0.6,0,0,0,0,5,15,20,0.216778010129929,-0.115586005151272,0.332364022731781,1.30900001525879,0.130443453788757,2.742760181427,2.70546674728394,4.66400003433228,2.16380000114441,1,1,0.0460344254970551,0.0330020180089694,1,0,0.4,96.5,0.4,87.5,NA,NA,0.2,88.25,NA,0.173030957579613,0.827439725399017,NA,-0.797038972377777,2.16288696974516,10.3429965674877,NA,-19.9259743094444,0.25,0.66666667,0.5,0.5,0.75,0.7,0.6,1,0.15,4,0,1,0,3,2,5,0.8,0,0.2,0,0.6,0.4,3.56695993424738,27.90742,46.81619,21.68976,37.29484,45.95019,44.98405,80,62.7224,80,76.43156,49.49303,78.99195,NA,NA,NA,53.77821,49.86631,58.80038,-0.10932,3.91311,95.94,22.14,5.31999999999999,90.06,81.58,65.28,90.2,155.06,141.82,111.88,122.06,132.58,NA,NA,NA,99.971,89.558,84.035,0.35,NA,0.05,0.4,0.2,96.7571411132812,NA,96,87.4749984741211,88.25,-7.02155194963728,NA,-10.663031578064,0.658156394958496,-8.35680294036865,7.99308776855469,NA,5.82566022872925,1.53085446357727,4.05424928665161,-0.0391262397170067,NA,0.213400110602379,0.838123608380556,-0.804897766560316,-0.558946281671524,NA,21.3400110602379,10.476545104757,-20.1224441640079,0.22222222,0.72727273,0.5,0.5,0.75,0.7,0.55,19.33333333,0.2,0.35,NA,0.05,0.4,NA,88.1890029907227,96.6915021623884,NA,95.9529037475586,87.3838882446289,NA,-7.77902746200562,-6.52313995361328,NA,-10.1387996673584,1.46408808231354,NA,3.03133511543274,6.86823599679129,NA,4.93492984771729,0.331098347902298,NA,-0.804897766560316,-0.0391262397170067,NA,0.213400110602379,0.838123608380556,NA,-20.1224441640079,-0.558946281671524,NA,21.3400110602379,10.476545104757,NA,0.22222222,0.72727273,0.5,0.5,0.75,0.7,0.55,5,91.3768737792969,28.2502349853516,0,0,102.94,2,0.4,"2024-09-15",0
"Dennis Santana",17878,"2024-09-10","MIA",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,1,5,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,1,0,2,0,0,0,0,0.2,0.2,0,5.60764908401489,0,0.25,2,0.333333333333333,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,102.326066012438,102.47548198021,1,0.666666666,0.333333333,0,0,0,0,0,8,10,18,0.0447039976716042,-0.0529299974441528,0.097633995115757,0.521000027656555,0.0519182868301868,0.970320045948029,0.906599998474121,0.906599998474121,0.776600003242493,1,1,-0.0111044133082032,0.0571758078530074,0,0,0.27777778,95,0.38888889,87.57142857,0.16666667,90.66666667,0.16666667,86.66666667,NA,-0.474890053272247,0.00330542027950287,-0.00110478326678276,0.42303141951561,-9.49780106544495,0.0472202897071838,-0.0368261088927587,14.101047317187,0.30769231,0.8,0.44444444,1,0.5,0.75,0.27777778,0.8,0.11111111,0,2,1,0,2,1,3,0,0.66666667,0.33333333,0,0.66666667,0.33333333,11.3886163114825,53.96773,47.51613,55.68759,80,54.62776,80,NA,NA,NA,40.42814,50.82089,44.18882,77.36019,45.73654,80,62.754,54.03719,70.47599,-0.66695,3.07667,84.44,105.38,74.52,130.5,136.66,131.78,NA,NA,NA,103.04,84.46,81.06,88.06,102.3,105.18,108.993684210526,101.795789473684,95.3578947368421,0.27777778,0.16666667,NA,0.38888889,0.16666667,94.9400024414062,90.8333333333333,NA,87.4142892020089,86.5999959309896,-7.06473236083984,-0.535729964574178,NA,0.444977964673723,-8.81728299458822,9.58248672485352,6.99290593465169,NA,2.38878549848284,4.22275892893473,-0.484001379460096,-0.00249621272087097,NA,0.00217040255665779,0.470057234168053,-9.68002758920193,-0.0832070906956991,NA,0.031005750809397,15.6685744722684,0.2,0.75,0.44444444,1,0.66666667,0.75,0.44444444,19.76923077,0.16666667,0.27777778,0.16666667,NA,0.38888889,NA,86.5310974121094,94.9096801757812,90.7408040364583,NA,87.3497663225446,NA,-8.41225306193034,-6.46222381591797,0.209755738576253,NA,1.22272886548724,NA,3.01042683919271,8.43971405029297,5.75204658508301,NA,0.908871650695801,NA,0.470057234168053,-0.484001379460096,-0.00249621272087097,NA,0.00217040255665779,NA,15.6685744722684,-9.68002758920193,-0.0832070906956991,NA,0.031005750809397,NA,0.22222222,0.66666667,0.44444444,1,0.66666667,0.75,0.5,3,90.6226094563802,8.47571182250977,0,0,97.509,1,0.33333333,"2024-09-10",0
"Dennis Santana",17878,"2024-09-09","MIA",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.3263759235173,-18.3531359984531,1,0,1,0,0,0,0,0,2,9,11,0.077036015689373,0,0.077036015689373,0.521000027656555,0.0519182868301868,0.998199999332428,1.4728000164032,1.4728000164032,1.53799998760223,1,1,0.0776324272155762,-0.000457496599574531,1,0,0.54545455,95.5,0.36363636,88,NA,NA,0.09090909,89,NA,0.387600034475327,0.357110351324081,NA,0,6.46000057458878,8.92775878310204,NA,0,0.6,0.83333333,0.72727273,0.66666667,1,0.875,0.54545455,1,0.09090909,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.63164493926916,49.27096,50.93228,42.80071,80,57.46249,80,80,48.65926,80,35.28606,59.11833,33.33408,NA,NA,NA,76.77448,57.05281,79.24416,-1.53799,1.77011,81.24,74.68,38.64,89.94,145.14,146.24,88.54,149.1,143.44,119.1,63.8,59.58,NA,NA,NA,99.4981818181818,109.876363636364,104.436363636364,0.36363636,NA,0.18181818,0.36363636,0.09090909,95.5749969482422,NA,94.9499969482422,88.0749969482422,88.5999984741211,-7.8301739692688,NA,-9.6138744354248,0.413913607597351,-10.2104568481445,9.00810527801514,NA,6.27309036254883,1.85943198204041,5.48904514312744,0.298074904829264,NA,0.094138327986002,0.360965564846992,0,7.45187262073159,NA,4.7069163993001,9.02413912117481,0,0.75,0.71428571,0.72727273,0.66666667,0.8,0.75,0.63636364,20.25,0.09090909,0.36363636,NA,0.18181818,0.36363636,NA,88.5998992919922,95.5403442382812,NA,94.9209442138672,87.9875030517578,NA,-9.85124969482422,-7.36397504806519,NA,-9.25905513763428,1.02098798751831,NA,4.26915979385376,7.97453498840332,NA,5.21308994293213,0.741517782211304,NA,0,0.298074904829264,NA,0.094138327986002,0.360965564846992,NA,0,7.45187262073159,NA,4.7069163993001,9.02413912117481,NA,1,0.625,0.72727273,0.33333333,0.8,0.625,0.72727273,1,78.3259658813477,-12.8200235366821,0,0,78.326,0,0,"2024-09-09",0
"Dennis Santana",17878,"2024-09-07","WSN",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.1955776252467,114.84853560366,1,0.333333333,0.333333333,0.333333333,0,0,2,18,3,6,9,0.109170004725456,0,0.109170004725456,0.521000027656555,0.0519182868301868,1.42059993743896,1.85759997367859,1.85759997367859,1.53799998760223,1,1,0.0769484043121338,-0.000100586817318046,1,0,0.33333333,95.33333333,0.22222222,87,0.44444444,90.75,NA,NA,NA,0.118311062455177,0.0673001259565353,0.543647944927216,NA,3.94370208183924,3.36500629782677,13.5911986231804,NA,0.4,0.75,0.55555556,1,1,1,0.44444444,0.33333333,0,1,0,2,1,1,1,3,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,6.01137072284982,NA,NA,NA,20,43.42572,20,NA,NA,NA,80,30.25633,80,73.41365,37.93576,70.29543,44.14036,39.13196,55.05015,0.48945,4.81127,NA,NA,NA,89.78,21.04,8.52000000000001,NA,NA,NA,108.14,163.8,170.74,87.04,135.72,140.9,92.6422222222222,103.733333333333,103.404444444444,0.33333333,0.44444444,NA,0.22222222,NA,95.2999979654948,90.8000030517578,NA,86.75,NA,-7.33812395731608,-0.710787892341614,NA,1.54550278186798,NA,8.99925867716471,6.49642848968506,NA,2.22094106674194,NA,0.161540564149618,0.53272582218051,NA,0.0682137757539749,NA,5.38468547165394,13.3181455545127,NA,3.41068878769875,NA,0.25,0.8,0.55555556,1,1,1,0.55555556,20.33333333,NA,0.33333333,0.44444444,NA,0.22222222,NA,NA,95.2527974446615,90.7744293212891,NA,86.6925048828125,NA,NA,-6.94023640950521,0.0393334925174713,NA,2.14621996879578,NA,NA,7.46721649169922,5.50069236755371,NA,0.695621490478516,NA,NA,0.161540564149618,0.53272582218051,NA,0.0682137757539749,NA,NA,5.38468547165394,13.3181455545127,NA,3.41068878769875,NA,0.25,0.8,0.55555556,1,1,1,0.55555556,3,86.1936848958333,13.9385350545247,0,0,98.4932,1,0.33333333,"2024-09-07",2
