"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","piXX%","pivFA","pivFC","pivSI","pivSL","pivXX","piFA-X","piFC-X","piSI-X","piSL-X","piXX-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piXX-Z","piwFA","piwFC","piwSI","piwSL","piwXX","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Garrett Cleavinger",17897,"2024-09-26","@DET",12,2024,"TBR","A",30,0,1,18,1,0,0,0,0,0,0,1,1,6,2,2,2,0,1,0,0,1,0,0,0,9,18,0,0,0,2,2,1,1,0,0,0,0,0.16666667,-0.16666667,8.17806240596689,0,0.4,3,0.4,0.33333333,6.1664797782898,11.8335202217102,9.19049659073353,465.046635717358,155.935439203298,226.79174951669,1,0.2,0.4,0.4,0.5,0,0,0,10,9,19,-0.546980023384094,-0.630692005157471,0.0837120115756989,-1.51999998092651,-0.160337552428246,3.04702854156494,2.46560001373291,2.46560001373291,NA,0,1,-0.107166528701782,-0.0723460737969024,0,1,0.57894737,97.09090909,0.15789474,86.33333333,0.26315789,91.2,NA,-1.02641642093658,0.204911112785339,0.0845312848687172,-9.33105837215077,6.83037042617798,1.69062569737434,0.08333333,0.85714286,0.36842105,1,0.83333333,0.85714286,0.36842105,0.33333333,0.05263158,1,3,1,2,3,0,5,0.2,0.6,0.2,0.4,0.6,0,4.94360500281191,20,67.41422,20,75.57797,74.62042,69.78879,20,74.56366,20,41.51798,69.23772,35.05354,38.29128,70.99806,25.76867,0.85283,5.35634,84.66,37.98,27.82,113.42,129.82,145.46,133.153333333333,38.7,80.6066666666667,98.82,90.44,101.76,105.125263157895,80.9010526315789,92.7621052631579,0.26315789,0.26315789,0.31578947,0.15789474,96.8400024414063,91.2200012207031,97.2999979654948,86.0999959309896,3.80222511291504,-2.37561798095703,8.95857302347819,-5.23242123921712,9.03128662109375,3.16000080108643,7.10852750142415,-1.12068279584249,-0.357044011354446,0.0851831920444965,-0.689655281603336,0.214575506746769,-7.14088022708893,1.70366384088993,-11.4942546933889,7.15251689155896,0.09090909,0.75,0.36842105,1,0.83333333,0.85714286,0.42105263,20.38461538,0.26315789,0.15789474,0.31578947,0.26315789,NA,96.9858764648438,92.0070393880208,97.4051818847656,87.8356811523438,NA,4.10746383666992,-2.08236344655355,9.28991317749023,-4.36034774780273,NA,8.09570007324219,3.06766668955485,6.15786679585775,-1.27480583190918,NA,-0.357044011354446,0.0803430937230587,-0.689655281603336,0.219415605068207,NA,-7.14088022708893,2.67810312410196,-11.4942546933889,4.38831210136414,NA,0.09090909,0.75,0.36842105,1,0.83333333,0.85714286,0.42105263,5,92.9829284667969,25.190251159668,0,0,103.004,2,0.4,"2024-09-26",0
"Garrett Cleavinger",17897,"2024-09-21","TOR",12,2024,"TBR","H",30,0,0,9,1,0,0,0,0,0,1,0,1,5,1,1,1,0,1,0,0,0,0,1,9,9,9,1,0,0,0,3,0,1,0,0,0,0.2,0.2,0,7.86188908401489,0,0.25,2,0.333333333333333,0.5,4.1664797782898,4.8335202217102,8.70250499695539,232.523317858679,104.744428506957,214.65170468248,0,0,0,1,0.333333333,0,0,0,6,10,16,-0.0328159853816032,-0.157443970441818,0.124627992510796,-0.547999978065491,-0.0601867064833641,1.29136002063751,1.29699993133545,1.29699993133545,2.13420009613037,1,1,-0.0871590822935104,0.0617471252426775,0,0,0.75,96.83333333,0.25,83.75,NA,NA,NA,-0.584729373455048,-0.015521515160799,NA,-4.87274477879206,-0.388037879019976,NA,0.33333333,0.57142857,0.4375,0.66666667,0.75,0.71428571,0.4375,0.4,0.125,0,1,2,1,2,0,3,0,0.33333333,0.66666667,0.33333333,0.66666667,0,1.34816988361886,78.03243,65.74832,80,25.96621,73.17304,20,34.29673,56.4017,25.25951,NA,NA,NA,53.93301,64.60035,45.92629,-0.11893,3.8987,118.56,99.56,106.6,119.86,62.28,89.76,108.48,87.92,91.66,NA,NA,NA,116.44625,85,97.6025,0.4375,NA,0.3125,0.25,97.3142874581473,NA,96.2599975585938,83.9000015258789,4.31117575509208,NA,9.81885375976563,-7.77694320678711,9.5072522844587,NA,6.67456817626953,-1.04798269271851,-0.359042536467314,NA,-0.229169748723507,-0.0167045556008816,-5.1291790923902,NA,-4.58339497447014,-0.417613890022039,0.25,0.625,0.4375,0.5,0.8,0.71428571,0.5,18.90909091,0.4375,NA,0.3125,0.25,NA,97.0596575055804,NA,96.0137390136719,83.6585235595703,NA,4.40965570722307,NA,10.1011856079102,-7.72644758224487,NA,8.37324033464704,NA,5.47389183044434,-2.59558463096619,NA,-0.359042536467314,NA,-0.229169748723507,-0.0167045556008816,NA,-5.1291790923902,NA,-4.58339497447014,-0.417613890022039,NA,0.25,0.625,0.4375,0.5,0.8,0.71428571,0.5,3,83.3824717203776,46.702402750651,0,0,91.8306,0,0,"2024-09-21",0
"Garrett Cleavinger",17897,"2024-09-19","BOS",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.233098233895,15.0336680287444,0,0,0,1,0,0,0,0,4,15,19,0.0661179795861244,0,0.0661179795861244,0.451999992132187,0.0496430546045303,0.888800024986267,1.4054000377655,1.4054000377655,NA,0,1,0.0749469548463821,-0.000556790886670266,1,0,0.78947368,97.06666667,0.15789474,83.66666667,0.05263158,91,NA,0.618342220783234,0.114588178694248,0.0495179928839207,4.12228147188822,3.81960595647494,4.95179928839207,0.58333333,0.71428571,0.63157895,0.57142857,0.6,0.58333333,0.36842105,0.66666667,0.26315789,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.65063407162848,61.07087,55.28089,53.97861,NA,NA,NA,76.87719,67.85716,49.27398,80,67.21163,80,70.00217,54.71213,60.37039,-1.11725,2.40122,117.92,113.58,116,NA,NA,NA,125.866666666667,115.506666666667,141.933333333333,104.8,93.22,113.94,118.484210526316,112.812631578947,119.986315789474,0.78947368,0.05263158,NA,0.15789474,97.1333333333333,90.5,NA,83.6666666666667,4.91535847981771,-2.53321599960327,NA,-8.96086120605469,9.63377685546875,1.64004933834076,NA,-2.43087418874105,0.625093575567007,0.0501701384782791,NA,0.115939885377884,4.16729050378005,5.01701384782791,NA,3.86466284592946,0.55555556,0.7,0.63157895,0.4,0.71428571,0.58333333,0.52631579,21.1875,0.78947368,0.05263158,NA,0.15789474,NA,96.965966796875,90.341796875,NA,83.4789021809896,NA,5.15380350748698,-2.65990996360779,NA,-9.07357343037923,NA,8.3476308186849,0.0232011992484331,NA,-4.17009003957113,NA,0.625093575567007,0.0501701384782791,NA,0.115939885377884,NA,4.16729050378005,5.01701384782791,NA,3.86466284592946,NA,0.55555556,0.7,0.63157895,0.4,0.71428571,0.58333333,0.52631579,1,96.8023376464844,49.4697074890137,0,0,96.8023,1,1,"2024-09-19",0
"Garrett Cleavinger",17897,"2024-09-17","BOS",12,2024,"TBR","H",30,0,0,9,1,0,0,0,0,0,1,0,1,5,1,1,1,1,0,0,0,0,0,2,18,0,9,2,0,0,0,3,0,0,0,0,0,0.4,0,0.4,3.20368908401489,9,0.2,1,0,1,12.1664797782898,-3.16647977828979,3.70250499695539,232.523317858679,309.508471292321,90.2638567257275,0,0,0,1,0,0.333333333,3,27,7,13,20,0.00666201487183571,-0.0817420333623886,0.088404044508934,-0.547999978065491,-0.0601867139339447,0.945800006389618,0.802600026130676,0.802600026130676,0.134199991822243,1,1,-0.0426849499344826,0.0497287380787293,0,0,0.65,96.69230769,0.25,85,0.1,89.5,NA,0.53548789024353,-1.36033427715302,0.0328924097120762,4.11913761725793,-27.2066855430603,1.64462048560381,0.36363636,0.88888889,0.6,0.25,0.75,0.58333333,0.45,0.6,0.25,1,2,0,0,0,3,3,0.33333333,0.66666667,0,0,0,1,7.8937426179646,59.28936,64.92546,58.21735,54.86131,80,54.83743,75.45401,48.62983,80,31.66523,66.56801,34.41774,63.69757,63.39465,67.14961,-0.72557,2.98874,120.28,109.92,119.58,120.48,80.58,104.52,118.76,161.012,171.676,98.88,91.16,104.64,117.8,114.949,128.098,0.45,0.1,0.2,0.25,96.9444444444444,89.3499984741211,96.375,84.8599975585937,4.71128251817491,-1.71509444713593,9.7420597076416,-4.52763977050781,9.91196017795139,3.25044584274292,6.09568881988525,-1.91969661712646,0.487026635557413,0.0331650711596012,0.0959863103926182,-0.899455245584249,5.41140706174903,1.65825355798006,2.39965775981545,-17.989104911685,0.41666667,0.875,0.6,0.2,0.85714286,0.58333333,0.4,21,0.45,0.05,0.2,0.3,NA,96.6439412434896,89.625,96.0602264404297,85.1498514811198,NA,4.78969319661458,-1.18917000293732,9.82011795043945,-4.25515174865723,NA,8.48091125488281,2.79329991340637,4.70438480377197,-3.08280976613363,NA,0.487026635557413,-0.0350487045943737,0.0959863103926182,-0.831241469830275,NA,5.41140706174903,-3.50487045943737,2.39965775981545,-13.8540244971712,NA,0.41666667,0.875,0.6,0.2,0.85714286,0.58333333,0.4,3,100.984944661458,21.385612487793,2,0.66666667,104.483,2,0.66666667,"2024-09-17",0
"Garrett Cleavinger",17897,"2024-09-12","@CLE",12,2024,"TBR","A",30,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0.25,-0.25,13.4148540840149,0,0,1,0,1,6.1664797782898,-6.1664797782898,10.7025049969554,0,155.935439203298,264.406843865182,0,0,0,1,0,0,1,9,7,9,16,0.106020011007786,-0.0275200083851814,0.133540019392967,0.479999989271164,0.0506329126656055,1.5161999464035,1.9099999666214,1.9099999666214,1.67040002346039,1,1,0.0480891428887844,0.0218356788731937,1,0,0.5,95.875,0.5,84.5,NA,NA,NA,0.325245171785355,0.110298439860344,NA,4.06556464731693,1.3787304982543,NA,0.125,0.75,0.4375,1,1,1,0.5,0.5,0,0,1,2,0,3,0,3,0,0.33333333,0.66666667,0,1,0,4.00256316467776,30.25947,56.05848,21.04551,20,62.95821,20,54.06766,43.4584,54.59283,NA,NA,NA,36.87811,51.81867,34.05351,0.94063,5.48804,86.48,86.34,73.44,109.12,55.24,69.26,97.88,96.5375,98.705,NA,NA,NA,96.425,85.6075,85.28875,0.3125,NA,0.1875,0.5,96.1400024414063,NA,94.9666646321615,84.4875030517578,3.60754776000977,NA,8.98085530598958,-3.91264152526855,8.60485534667969,NA,6.7368901570638,-1.72515189647675,0.372093509882689,NA,-0.0440064929425716,0.150422636419535,7.44187019765377,NA,-1.46688309808572,1.88028295524418,0.125,0.75,0.4375,1,1,1,0.5,18.58333333,0.3125,NA,0.1875,0.5,NA,96.2871826171875,NA,95.133799235026,84.6425247192383,NA,3.38322792053223,NA,8.61820348103841,-4.33609628677368,NA,7.79861221313477,NA,5.7397034962972,-2.68981504440308,NA,0.372093509882689,NA,-0.0440064929425716,0.150422636419535,NA,7.44187019765377,NA,-1.46688309808572,1.88028295524418,NA,0.125,0.75,0.4375,1,1,1,0.5,3,84.8788350423177,29.4029083251953,0,0,91.208,0,0,"2024-09-12",0
"Garrett Cleavinger",17897,"2024-09-09","@PHI",12,2024,"TBR","A",30,0,1,27.000028163224,1,0,0,0,0,0,0,0,0.1,5,3,1,1,0,1,0,0,0,0,1,27.000028163224,27.000028163224,81.0000844896721,1,0.5,0,2,0,1,0,1,0,0,0.2,0.2,0,4.94568908401489,0,0.75,12.0000125169885,1,0.75,6.16648290753691,20.8335452556871,6.16648290753691,697.570681198958,155.935519297959,151.56163866777,2,0.333333333,0.666666666,0,0,0,0,0,8,9,17,-0.420046001672745,-0.490721970796585,0.0706759765744209,-1.50700008869171,-0.154326677322388,3.55715990066528,0.90090000629425,1.8018000125885,NA,0,1,-0.091070756316185,-0.0270138992524851,0,1,0.64705882,97.45454545,0.23529412,87.25,0.11764706,89.5,NA,-1.08446955680847,-0.461814790964127,0.106812082231045,-9.85881415280429,-11.5453697741032,5.34060411155224,0.1,0.71428571,0.35294118,1,0.6,0.66666667,0.41176471,0.2,0.11764706,2,1,0,1,0,2,3,0.66666667,0.33333333,0,0.33333333,0,0.66666667,5.93466504398886,20,66.80164,20,20,80,20,80,48.53464,80,80,72.98829,80,26.4603,67.57728,20,1.58785,6.45887,98.46,1.22,0.519999999999996,129.08,42.02,74.46,97.34,131.38,141.34,113.64,168.82,188.28,106.228235294118,58.9611764705882,70.38,0.41176471,0.05882353,0.23529412,0.29411765,97.5142822265625,90,96.8499984741211,87.6599975585937,4.03081703186035,-2.38854122161865,10.4205894470215,-3.41843338012695,9.47635650634766,1.96373951435089,5.9761266708374,-0.21133496761322,-0.111976429820061,0.057969942688942,-0.992589883506298,-0.419809006154537,-1.59966328314372,5.7969942688942,-24.8147470876575,-8.39618012309074,0.11111111,0.625,0.35294118,1,0.6,0.66666667,0.47058824,20.41666667,0.41176471,NA,0.23529412,0.35294118,NA,97.1196463448661,NA,96.4737243652344,87.6477864583333,NA,4.00809696742466,NA,10.258768081665,-3.6300417582194,NA,8.55718721662249,NA,4.72180271148682,-0.991122961044312,NA,-0.111976429820061,NA,-0.992589883506298,-0.361839063465595,NA,-1.59966328314372,NA,-24.8147470876575,-6.03065105775992,NA,0.11111111,0.625,0.35294118,1,0.6,0.66666667,0.47058824,3,91.531483968099,-11.3158620198568,1,0.33333333,108.608,2,0.66666667,"2024-09-09",0
"Garrett Cleavinger",17897,"2024-09-08","@BAL",12,2024,"TBR","A",30,0,0,0,1,0,0,0,0,0,1,0,0.1,3,1,0,0,0,1,0,0,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,1,0,1,0,0,0,1,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0.5,6.00000625849423,1,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,155.935519297959,151.56163866777,1,0,1,0,0,0,0,0,9,7,16,-0.0884200111031532,-0.199059993028641,0.110639974474907,-0.402999997138977,-0.0433333367109299,3.01066660881042,1.64400005340576,1.64400005340576,4.06799983978271,1,1,-0.0619300715625286,0.0325611567699041,0,1,0.625,96.7,0.0625,80,0.3125,88.8,NA,-0.579974234104156,-0.04739710688591,0.115804933011532,-5.79974234104156,-4.739710688591,2.31609866023064,0.16666667,0,0.125,0.5,NA,0.5,0.25,0.66666667,0.0625,1,0,0,1,0,0,1,1,0,0,1,0,0,3.75717802680739,20,65.17369,20,20,57.74138,20,38.54307,47.14247,38.68535,20,64.93717,20,20,57.31021,20,2.67534,8.0901,77.42,29.84,28.32,110.14,30.58,62.04,112.324,82.164,96.276,83.3,-41.36,-33.9,96.875,41.92625,54.0975,0.375,0.0625,0.25,0.3125,96.4833374023438,89.8000030517578,96.9000015258789,86.5799987792969,4.78426392873128,-3.77550530433655,8.24293994903564,-4.13005294799805,9.39681879679362,1.54491353034973,6.23307752609253,-1.37268161773682,-0.267579417675734,-0.0991095378994942,-0.323778171092272,0.166481506079435,-4.45965696126223,-9.91095378994942,-8.0944542773068,3.32963012158871,0.11111111,0.14285714,0.125,1,0,0.5,0.4375,19,0.4375,NA,0.1875,0.375,NA,96.6819022042411,NA,96.9391682942708,87.1955973307292,NA,5.01498740059989,NA,8.1962833404541,-4.45554828643799,NA,8.22947420392718,NA,4.4366766611735,-1.66337426503499,NA,-0.228215049952269,NA,-0.363142538815737,0.0673719681799412,NA,-3.26021499931812,NA,-12.1047512938579,1.12286613633235,NA,0.1,0.16666667,0.125,1,0,0.5,0.375,1,38.3568496704102,-33.714427947998,0,0,38.3568,0,0,"2024-09-08",0
"Garrett Cleavinger",17897,"2024-09-03","MIN",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,1,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,1,0,1,0,0,0,0,0,0,2,2,0.13493800163269,0,0.13493800163269,0.407999992370605,0.0448105409741402,5.39979982376099,2.69989991188049,5.39979982376099,NA,0,1,0.0249894447624683,4.08983492905524e-10,1,0,NA,NA,NA,NA,1,90,NA,NA,NA,0.212085232138634,NA,NA,10.6042616069317,0,1,0.5,NA,1,1,0.5,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1.3270541498211,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,42.45885,80,80,48.23698,80,-4.20811,-2.23507,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.1,106.22,109.02,100.1,106.22,109.02,NA,1,NA,NA,NA,90.0999984741211,NA,NA,NA,-1.88262033462524,NA,NA,NA,2.58396553993225,NA,NA,NA,0.214739695191383,NA,NA,NA,10.7369847595692,NA,NA,0,1,0.5,NA,1,1,0.5,18,NA,NA,NA,1,NA,NA,NA,NA,90.1795043945312,NA,NA,NA,NA,-2.05093502998352,NA,NA,NA,NA,1.19392716884613,NA,NA,NA,NA,0.214739695191383,NA,NA,NA,NA,10.7369847595692,NA,NA,0.5,0.5,NA,1,1,1,1,82.3606185913086,-2.48503351211548,0,0,82.3606,0,0,"2024-09-03",0
"Garrett Cleavinger",17897,"2024-09-02","MIN",12,2024,"TBR","H",30,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,1,9,0,9,1,0,0,0,2,1,0,0,0,0,0.25,0,0.25,4.46147908401489,9,0.25,1,0,1,14.1664797782898,-5.16647977828979,4.19049659073353,232.523317858679,360.699481988662,102.403901559937,0,0.333333333,0,0.666666666,0,0.5,1,9,6,12,18,-0.0922800004482269,-0.116280004382133,0.0240000002086163,-0.547999978065491,-0.0601867102086544,0.453750014305115,0.831200003623962,0.831200003623962,0.591199994087219,1,1,-0.0667692124843597,-0.136602682918326,0,1,0.44444444,97.125,0.27777778,88.2,0.27777778,90,NA,0.0587962493300438,0.300720304250717,-0.96234804391861,0.734953116625547,6.01440608501434,-19.2469608783722,0.30769231,1,0.5,0.5,0.6,0.55555556,0.27777778,0.5,0.22222222,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,18.982971272387,30.71527,63.93162,20,NA,NA,NA,80,58.46833,80,41.61404,73.68262,44.51247,57.82796,66.0743,59.30102,-0.36091,3.53573,122.66,59.68,73.52,NA,NA,NA,112.52,148.3,165.48,113.76,72.96,93.52,117.371111111111,87.9855555555555,104.62,0.44444444,0.27777778,NA,0.27777778,96.9499969482422,89.8599975585937,NA,88.1200012207031,5.41203022003174,-2.07559108734131,NA,-2.84355754852295,10.0443105697632,2.25517864227295,NA,0.437439775466919,0.0579888001084328,-0.956965278834105,NA,0.304268255829811,0.72486000135541,-19.1393055766821,NA,6.08536511659622,0.36363636,0.71428571,0.5,0.5,0.6,0.55555556,0.38888889,18.35714286,0.44444444,NA,NA,0.55555556,NA,97.1146011352539,NA,NA,89.1545471191406,NA,5.62596368789673,NA,NA,-2.58360805511475,NA,8.70200347900391,NA,NA,-0.194483542442322,NA,0.0579888001084328,NA,NA,-0.652697023004293,NA,0.72486000135541,NA,NA,-6.52697023004293,NA,0.4,0.625,0.5,0.5,0.6,0.55555556,0.44444444,3,99.3015340169271,24.978266398112,1,0.33333333,101.37,3,1,"2024-09-02",0
"Garrett Cleavinger",17897,"2024-08-30","SDP",12,2024,"TBR","H",30,0,0,27,1,0,0,0,0,0,0,0,1,8,3,3,3,1,1,0,1,0,0,1,9,9,27,1,0,0,3,2,0,0,0,0,0,0.125,0.125,0,5.43815095901489,9,0.5,4,0.5,0.55555556,20.1664797782898,6.83352022171021,10.1904965907335,697.569953576036,514.272514077684,251.669319108041,1.5,0,0.6,0.4,0,0.5,0,0,12,17,29,-0.0046399999409914,-0.00546800019219518,0.000828000192996114,-2.5479998588562,-0.279846251010895,0.0158750005066395,0.0199999995529652,0.0199999995529652,NA,0,1,-0.23528029024601,-0.0570031612758211,0,0,0.48275862,96.57142857,0.48275862,86.57142857,0.03448276,88,NA,0.406728833913803,-1.10291433334351,-1.37599861621857,2.90520595652717,-7.87795952388218,-137.599861621857,0.25,0.61538462,0.4137931,0.5,0.875,0.75,0.44827586,0.5,0.10344828,2,2,1,0,3,2,5,0.4,0.4,0.2,0,0.6,0.4,11.9253598189151,35.56354,60.15136,20,80,80,80,50.87836,48.47902,49.05219,70.41154,68.4533,61.73377,57.18107,61.94217,46.0314,-0.32072,3.59601,99.7,70.06,74.7,136.58,165.58,203.4,108.602857142857,104.257142857143,114.625714285714,104.16,108.38,127.68,109.238620689655,101.065517241379,113.553103448276,0.34482759,0.03448276,0.13793103,0.48275862,96.7099975585938,88,96.6500015258789,86.5142822265625,4.24872169494629,-2.37402987480164,10.8888378143311,-3.69679124014718,9.43100357055664,3.45756196975708,5.73706817626953,-0.662837437220982,0.0271459445357323,-1.37661957740784,0.383047357201576,-1.1372390165925,0.271459445357323,-137.661957740784,9.57618393003941,-8.12313583280359,0.21428571,0.6,0.4137931,0.33333333,0.88888889,0.75,0.51724138,18.28571429,0.34482759,NA,0.13793103,0.51724138,NA,97.0601684570313,NA,96.9935760498047,86.9271728515625,NA,4.11260108947754,NA,10.8353004455566,-3.93264007568359,NA,8.29978408813477,NA,4.31028985977173,-2.01267153422038,NA,0.0271459445357323,NA,0.383047357201576,-2.51385859400034,NA,0.271459445357323,NA,9.57618393003941,-16.7590572933356,NA,0.23076923,0.5625,0.4137931,0.33333333,0.88888889,0.75,0.55172414,5,83.6447692871094,5.09085502624512,1,0.2,103.102,2,0.4,"2024-08-30",0
