"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","piSL%","pivCH","pivCU","pivFA","pivFC","pivSL","piCH-X","piCU-X","piFA-X","piFC-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwCU","piwFA","piwFC","piwSL","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Grant Holmes",16944,"2024-09-30","NYM",16,2024,"ATL","H",28,0,0,0,1,1,0,0,0,0,0,0,4,14,1,0,0,0,1,0,0,0,0,7,15.75,2.25,2.25,7,0,0,1,4,1,1,0,0,0,0.5,0.07142857,0.42857143,1.62818316124653,0,0.0769230769230769,0.5,0.166666666666667,1,0.416479778289795,-0.416479778289795,1.92848818451166,0,12.1067052813723,48.3927957153947,0.25,0.166666666,0.166666666,0.666666666,0.25,0,1,2.25,18,35,53,0.0873280167579651,-0.131275951862335,0.2186039686203,1.0327000617981,0.104949191212654,0.852685689926147,1.04752004146576,0.870000004768372,2.7195999622345,1,1,0.227501690387726,-0.125086441967726,0,0,0.30188679,94.75,0.41509434,85.72727273,0.0754717,92.75,0.20754717,84.45454545,NA,NA,NA,1.41847264766693,-0.209683015942574,0.0722477212548256,1.01664996147156,NA,8.86545404791832,-0.953104617920789,1.80619303137064,9.24227237701416,NA,0.53846154,0.57142857,0.54716981,0.33333333,0.75,0.44827586,0.26415094,0.71428571,0.30188679,0,1,5,2,4,0,6,0,0.16666667,0.83333333,0.33333333,0.66666667,0,-0.00855588405513582,67,NA,NA,NA,80,20,20,79.19368,20,20,80,20,20,80,20,20,80,20,20,-3.17262,-0.68184,NA,NA,NA,99,60.84,55.04,75.94,105.96,90.66,99.04,110.66,110.66,76.44,123.18,117.46,90.3547169811321,102.666037735849,96.74,0.30188679,0.0754717,0.43396226,0.18867925,NA,94.6875,92.9499969482422,85.7869554602582,83.9599975585938,NA,-3.58683109283447,-0.980412244796753,0.623632265173871,1.81042938232422,NA,8.65109062194824,6.30276775360107,-1.03812010391899,-4.64165458679199,NA,1.43587281927466,0.0730097033083439,0.286553848534822,0.487623050808907,NA,8.97420512046665,1.8252425827086,1.24588629797749,4.87623050808907,NA,0.48571429,0.66666667,0.54716981,0.17647059,0.83333333,0.44827586,0.33962264,16.82051282,NA,0.18867925,0.30188679,0.0754717,0.43396226,NA,84.0458374023438,94.6329956054688,92.858528137207,85.6349036175272,NA,2.78888301849365,-3.04990386962891,-0.262364059686661,1.08628364231275,NA,-6.30886383056641,7.93748378753662,5.71976518630981,-2.1073984892472,NA,0.829734712839127,1.43587281927466,0.0730097033083439,-0.0555578134953976,NA,8.29734712839127,8.97420512046665,1.8252425827086,-0.241555710849555,0.48571429,0.66666667,0.54716981,0.17647059,0.83333333,0.44827586,0.33962264,6,86.4500020345052,35,0,0,91.1,0,0,"2024-09-30",2
"Grant Holmes",16944,"2024-09-29","KCR",16,2024,"ATL","H",28,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,2,10.8000041198746,0,0,2,0,0,1,2,0,0,0,0,0,0.4,0,0.4,1.53488908401489,0,0,0,0,1,0.766478862762102,-0.766478862762102,2.58088964237113,0,20.74498139836,64.1585490194796,0.5,0,0.333333333,0.666666666,0,0,0,0,6,15,21,0.0789919942617416,0,0.0789919942617416,1.03600001335144,0.105284549295902,0.617520034313202,0.752666652202606,0.925999999046326,0.607200026512146,1,1,0.128713443875313,-0.000795336166312638,1,0,0.19047619,93.75,0.52380952,85.90909091,0.04761905,93,0.23809524,84,NA,NA,NA,0.0976123809814453,0.556716561317444,0.210907548666,0.345612823963165,NA,2.44030952453613,5.0610596483404,21.0907548666,6.91225647926331,NA,0.46153846,0.75,0.57142857,0.16666667,0.83333333,0.5,0.38095238,0.6,0.28571429,1,1,1,0,3,0,3,0.33333333,0.33333333,0.33333333,0,1,0,-0.686551607281246,NA,NA,NA,NA,27.37525,49.47518,24.16849,73.15421,45.5497,80,61.07668,48.48759,47.81533,80,39.84233,80,58.05401,49.28228,51.14439,-0.37495,3.51467,NA,NA,NA,101.98,61.2,43.74,74.62,117.66,103.42,95.86,137.34,135.82,88.26,125.58,112.2,92.9095238095238,114.902857142857,106.6,0.19047619,0.04761905,0.52380952,0.23809524,NA,93.8499984741211,92.5,85.7545443448153,83.8400024414063,NA,-3.99534869194031,-0.502302348613739,-0.131350777365945,0.83178186416626,NA,9.21851348876953,6.95312356948853,-0.336186387322166,-3.51167335510254,NA,0.0984539911150932,0.213400110602379,0.563869811594486,0.371627233922482,NA,2.46134977787733,21.3400110602379,5.12608919631351,7.43254467844963,NA,0.5,0.66666667,0.57142857,0.16666667,0.83333333,0.5,0.42857143,17.125,NA,0.14285714,0.19047619,0.04761905,0.61904762,NA,83.3845672607422,93.7673263549805,92.4254989624023,85.4559232271635,NA,1.18155368169149,-3.39231252670288,0.294158011674881,0.811529159545898,NA,-5.41108703613281,8.31020450592041,6.2379298210144,-1.95164328355056,NA,0.0856620296835899,0.0984539911150932,0.213400110602379,0.849835015833378,NA,2.855400989453,2.46134977787733,21.3400110602379,6.53719242948752,0.5,0.66666667,0.57142857,0.16666667,0.83333333,0.5,0.42857143,3,85.7418009440104,27.3423131306966,0,0,95.4204,1,0.33333333,"2024-09-29",0
"Grant Holmes",16944,"2024-09-22","@MIA",16,2024,"ATL","A",28,0,0,4.5,1,1,0,0,0,0,0,0,4,16,3,2,2,2,1,0,0,0,0,5,11.25,2.25,6.75,5,0,0,4,5,1,0,0,0,0,0.3125,0.0625,0.25,3.05031111526489,4.5,0.2,1,0.125,1,7.9164797782898,-3.4164797782898,3.30649028606713,108.106917412428,197.213106274069,81.6932136159229,0.8,0.1,0.4,0.5,0,0.4,3,6.75,20,42,62,-0.231279984116554,-0.451499968767166,0.220219984650612,-1.40700006484985,-0.140000000596046,0.818625032901764,1.06439995765686,0.920000016689301,2.06800007820129,1,1,-0.298454999923706,0.0159325081587759,0,0,0.37096774,94.73913043,0.48387097,86.5,NA,NA,0.14516129,83.66666667,NA,NA,NA,1.49238073825836,-1.5940043926239,NA,-0.861864805221558,NA,6.48861190547114,-5.313347975413,NA,-9.57627561357286,NA,0.46808511,0.86666667,0.56451613,0.36363636,0.92307692,0.57142857,0.24193548,0.875,0.24193548,7,1,2,2,4,4,10,0.7,0.1,0.2,0.2,0.4,0.4,7.2956259060476,43,20,20,20,63.85008,46.0865,62.05637,53.90168,50.46858,57.20572,34.66703,57.35915,23.50872,NA,NA,NA,43.53193,53.53911,36.46321,0.52725,4.86797,70.18,-46.86,-73.54,84.8,98.6,90.7,85.24,107.62,94.62,99.92,85.12,85.72,NA,NA,NA,92.0364516129032,92.931935483871,87.0322580645161,0.35483871,NA,0.48387097,0.14516129,0.01612903,94.9954501065341,NA,86.436669921875,83.4444444444444,91.8000030517578,-4.97982892123136,NA,0.373176288604736,2.46841155158149,-6.37556743621826,9.19191187078303,NA,-0.823504765828451,-5.0864741007487,10.2392311096191,1.57631123438478,NA,-1.61277201026678,-0.855956725776196,-0.0242429338395596,7.16505106538534,NA,-5.37590670088927,-9.51063028640217,-2.42429338395596,0.47727273,0.77777778,0.56451613,0.38095238,0.85714286,0.57142857,0.29032258,19.33333333,NA,0.17741935,0.35483871,0.01612903,0.4516129,NA,83.7488347833807,94.8226429332386,93.7922973632812,86.4112548828125,NA,3.45056533813477,-3.96504766290838,-2.35321998596191,1.63837950570243,NA,-6.7298715764826,8.13081151788885,2.83336997032166,-2.47167369297573,NA,-1.16124746948481,1.57631123438478,-0.0242429338395596,-1.30748126655817,NA,-10.5567951771346,7.16505106538534,-2.42429338395596,-4.66957595199347,0.43902439,0.80952381,0.56451613,0.33333333,0.82352941,0.57142857,0.33870968,10,85.8239868164062,11.4878356933594,3,0.3,108.479,3,0.3,"2024-09-22",0
"Grant Holmes",16944,"2024-09-17","@CIN",16,2024,"ATL","A",28,0,0,4.5,1,1,0,0,0,0,0,0,4,19,5,2,2,0,2,0,0,0,0,2,4.5,4.5,11.25,1,0,0,6,7,2,0,0,0,0,0.10526316,0.10526316,0,6.09604487266905,0,0.294117647058824,1.75,0.333333333333333,0.71428571,3.6664797782898,0.833520221710205,6.31249448917806,108.106917412428,92.3194790448744,154.335480315913,0.857142857,0.133333333,0.4,0.466666666,0,0,5,11.25,28,50,78,0.0550299994647503,-0.266660004854202,0.321689993143082,0.243999928236008,0.0230732895433903,1.0577894449234,0.874499976634979,0.851000010967255,1.06399989128113,1,1,-0.0245472230017185,0.0765708083464704,0,0,0.47435897,94.67567568,0.25641026,86.65,NA,NA,0.25641026,83.85,0.01282051,91,NA,-0.208757847547531,-0.469536006450653,NA,0.0518514849245548,-0.0344077162444592,-0.564210398777111,-2.34768003225327,NA,0.259257424622774,-3.44077162444592,0.37777778,0.72727273,0.52564103,0.70588235,0.875,0.80487805,0.42307692,0.52631579,0.1025641,4,6,5,2,10,3,15,0.26666667,0.4,0.33333333,0.13333333,0.66666667,0.2,3.19768728665578,46,NA,NA,NA,74.31068,49.70624,75.48163,51.08826,41.91322,62.43482,42.09877,53.5887,39.99517,NA,NA,NA,55.292,41.63755,64.10228,-0.20336,3.77205,57.8,79.42,56.26,103.4,127.7,119.84,79.24,109.56,88.54,105.1,105.22,109.3,NA,NA,NA,91.7907692307692,112.712051282051,101.474871794872,0.47435897,NA,0.25641026,0.25641026,0.01282051,94.708106788429,NA,86.5950012207031,83.8200012207031,91,-4.35873330605997,NA,0.0371732294559479,1.94468994140625,-4.66130495071411,9.19056660420186,NA,-0.0781340479850769,-4.44267539978027,9.51448535919189,-0.231164500117302,NA,-0.48053339868784,0.0562674067914486,-0.0350487045943737,-0.624768919235951,NA,-2.4026669934392,0.281337033957243,-3.50487045943737,0.34883721,0.74285714,0.52564103,0.73333333,0.84615385,0.80487805,0.44871795,19.55932203,NA,0.25641026,0.48717949,NA,0.25641026,NA,83.7733825683594,94.5521818462171,NA,86.5312927246094,NA,2.65425605773926,-3.69688776919716,NA,0.902101707458496,NA,-5.95360794067383,8.18951496325041,NA,-1.58418216705322,NA,0.0562674067914486,-0.266213204711676,NA,-0.48053339868784,NA,0.281337033957243,-0.700561065030725,NA,-2.4026669934392,0.37209302,0.71428571,0.52564103,0.75,0.84,0.80487805,0.44871795,15,86.540771484375,16.1547963460286,1,0.06666667,104.006,3,0.2,"2024-09-17",0
"Grant Holmes",16944,"2024-09-14","LAD",16,2024,"ATL","H",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,1,0,0,0,0,0,0,0,5.15272908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.9790523120279,114.84853560366,2,0.25,0.5,0.25,0,0,0,0,3,7,10,0.00144799472764134,-0.000823957903776318,0.00227195257321,0.506999969482422,0.0515243895351887,0.0211999993771315,0.031199999153614,0.031199999153614,0.0199999995529652,1,1,0.0292433202266693,0.0390583198763631,0,0,0.5,93.8,0.3,87,0.1,92,0.1,85,NA,NA,NA,-0.00418716296553612,0.446798205375671,-0.429545164108276,0.196974962949753,NA,-0.0837432593107224,14.8932735125224,-42.9545164108276,19.6974962949753,NA,0,0.71428571,0.5,NA,1,1,0.7,0.75,0,3,1,0,0,2,2,4,0.75,0.25,0,0,0.5,0.5,4.59633330851626,NA,70.82953,24.63999,80,42.63009,47.65822,46.64834,51.69841,45.52434,71.85538,80,39.91432,80,23.55566,41.93227,39.49479,60.88102,40.20129,80,-0.55059,3.25121,63.18,147.46,111.6,94.74,83.42,86.56,72.76,110.74,96.52,90.94,118.52,114.92,87.58,99.62,97.8,80.936,112.902,102.68,0.4,0.1,0.3,0.1,0.1,94.3499984741211,92.3000030517578,86.8666687011719,84.5999984741211,91.5999984741211,-4.28144836425781,0.161289721727371,-0.479384104410807,1.15156126022339,-3.86288690567017,9.04418563842773,3.84124183654785,1.42819627126058,-5.31383514404297,7.87822532653809,0.0194370970129967,-0.436161160469055,0.494594261050224,0.199618250131607,-0.0242429338395596,0.485927425324917,-43.6161160469055,16.4864753683408,19.9618250131607,-2.42429338395596,0.25,0.66666667,0.5,1,1,1,0.6,16.83333333,NA,0.1,0.5,0.1,0.3,NA,84.6171035766602,93.8110595703125,92.3373031616211,86.8515625,NA,2.1160900592804,-3.40037994384766,1.18125998973846,0.544949968655904,NA,-6.93965005874634,7.49356002807617,2.39884996414185,-0.252783993879954,NA,0.199618250131607,-0.00480583682656288,-0.436161160469055,0.494594261050224,NA,19.9618250131607,-0.0961167365312576,-43.6161160469055,16.4864753683408,0,0.71428571,0.5,NA,1,1,0.7,4,96.4028625488281,2.09853005409241,0,0,101.467,3,0.75,"2024-09-14",0
"Grant Holmes",16944,"2024-09-09","CIN",16,2024,"ATL","H",28,0,0,0,1,0,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,3,20.2500048279774,0,13.5000032186516,3,0,0,2,0,1,0,0,0,0,0.5,0,0.5,0.108729085015059,0,0.333333333333333,1.50000035762795,0.666666666666667,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-31.0848147632797,-30.4360237233343,2,0.333333333,0.666666666,0,0,0,0,0,7,17,24,0.0635280013084412,-0.0678879991173744,0.131415992975235,0.738999962806702,0.0751016288995743,0.957933366298676,0.741733372211456,0.888400018215179,NA,0,1,0.0245830491185188,0.041734717381154,1,0,0.25,94.33333333,0.75,86,NA,NA,NA,NA,NA,NA,NA,0.126430332660675,-0.0433131977915764,NA,NA,NA,2.10717221101125,-0.240628876619869,NA,NA,NA,0.5,0.875,0.625,0.125,0.85714286,0.46666667,0.33333333,0.5,0.33333333,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,0.724414410370066,NA,NA,NA,NA,NA,NA,NA,35.81522,44.97181,33.87942,40.05024,46.86538,32.69526,NA,NA,NA,38.1134,50.33428,28.96052,0.86388,5.37291,NA,NA,NA,NA,NA,NA,73.58,97.86,83.64,101.32,94.86,95.58,NA,NA,NA,94.385,95.61,92.595,0.25,NA,0.75,NA,NA,94.3333333333333,NA,85.977776421441,NA,NA,-3.25553512573242,NA,0.195238643222385,NA,NA,8.23870277404785,NA,-0.557863447401259,NA,NA,0.127577178180218,NA,-0.0589551627635956,NA,NA,2.12628630300363,NA,-0.327528682019975,NA,NA,0.46666667,0.88888889,0.625,0,0.875,0.46666667,0.375,17.11111111,NA,NA,0.25,NA,0.75,NA,NA,94.5587972005208,NA,86.2021145290799,NA,NA,-2.30699173609416,NA,1.11685678693983,NA,NA,7.24255688985189,NA,-2.02603827582465,NA,NA,0.127577178180218,NA,-0.0589551627635956,NA,NA,2.12628630300363,NA,-0.327528682019975,0.46666667,0.88888889,0.625,0,0.875,0.46666667,0.375,3,79.7684733072917,-12.553539276123,0,0,93.8665,0,0,"2024-09-09",0
"Grant Holmes",16944,"2024-09-07","TOR",16,2024,"ATL","H",28,0,0,40.5000422448361,1,0,0,0,0,0,0,0,0.2,7,5,3,3,0,0,0,0,0,0,0,0,0,67.5000704080601,0,0,0,2,2,3,0,0,0,0,0,0,0,6.03472908401489,0,0.714285714285714,7.50000782311779,0.714285714285714,0.4,3.1664797782898,37.3335624665463,7.70250972840334,972.963271591631,79.9790523120279,187.926204380887,1,0.428571428,0.285714285,0.285714285,0,0,0,0,11,16,27,-0.00573199987411499,-0.00583199970424175,9.99999610939994e-05,-2.93300008773804,-0.29806911945343,0.0219428576529026,0.0211999993771315,0.0211999993771315,0.00999999977648258,1,1,-0.244023978710175,-0.0171999678142546,0,0,0.66666667,94.66666667,0.22222222,86.16666667,NA,NA,0.11111111,84.66666667,NA,NA,NA,-1.30092489719391,-0.335039615631104,NA,-0.105379298329353,NA,-7.22736053996616,-5.58399359385172,NA,-3.51264327764511,NA,0.1875,0.90909091,0.48148148,1,1,1,0.40740741,0.42857143,0,1,6,0,1,2,4,7,0.14285714,0.85714286,0,0.14285714,0.28571429,0.57142857,7.87003663698174,NA,NA,NA,NA,58.58427,52.04354,51.19148,44.82411,51.1019,43.95656,20,56.3794,20,NA,NA,NA,35.43421,49.02757,34.16845,1.03033,5.62259,NA,NA,NA,80.7,87.96,87.04,78.7,110.26,103.96,107.02,39.28,36.5,NA,NA,NA,85.2155555555556,92.0088888888889,87.0888888888889,0.66666667,NA,0.22222222,0.11111111,NA,94.6222195095486,NA,86.1166687011719,84.8999989827474,NA,-3.89269638061523,NA,0.504873355229696,0.945924361546834,NA,9.15756056043837,NA,-1.26962963740031,-5.06335067749023,NA,-1.32093657925725,NA,-0.341403748840094,-0.108067326247692,NA,-7.33853655142917,NA,-5.69006248066823,-3.6022442082564,NA,0.15384615,0.78571429,0.48148148,1,1,1,0.51851852,21.95,NA,0.25925926,0.66666667,NA,0.07407407,NA,85.2999441964286,94.8234185112847,NA,88.0379028320312,NA,1.82674176352365,-3.17227999369303,NA,0.4617820084095,NA,-4.65133993966239,8.19877539740668,NA,-2.03059506416321,NA,-0.359675142914057,-1.32093657925725,NA,-0.0897959321737289,NA,-5.13821632734367,-7.33853655142917,NA,-4.48979660868645,0.28571429,0.69230769,0.48148148,1,1,1,0.48148148,7,92.5347726004464,15.859623500279,0,0,104.993,4,0.57142857,"2024-09-07",0
"Grant Holmes",16944,"2024-09-01","@PHI",16,2024,"ATL","A",28,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,1,1,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.9790523120279,78.3097583844777,1,0,1,0,0,0,0,0,1,4,5,-0.362668007612228,-0.36488202214241,0.00221400731243193,-1,-0.102406553924084,4.79600048065186,2.48060011863708,4.96120023727417,NA,0,1,-0.0783483311533928,0.0027294881037908,0,1,0.4,95,0.6,86.66666667,NA,NA,NA,NA,NA,NA,NA,-0.497441589832306,0.0334886722266674,NA,NA,NA,-24.8720794916153,1.11628907422225,NA,NA,NA,0.5,0.66666667,0.6,1,1,1,0.6,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1.38632013190355,NA,NA,NA,NA,NA,NA,NA,32.55722,31.19084,45.94723,61.88199,54.47159,61.20607,NA,NA,NA,50.38591,46.2283,57.7265,0.10144,4.22925,NA,NA,NA,NA,NA,NA,72.26,62.12,17.28,120.82,113.7,110.8,NA,NA,NA,101.396,93.068,73.392,0.4,NA,0.6,NA,NA,94.8500061035156,NA,86.7999979654948,NA,NA,-4.98266696929932,NA,0.724565188090006,NA,NA,7.24481964111328,NA,-0.51637077331543,NA,NA,-0.504936903715134,NA,0.0337270088493824,NA,NA,-25.2468451857567,NA,1.12423362831275,NA,NA,0.5,0.66666667,0.6,1,1,1,0.6,18.75,NA,NA,0.4,NA,0.6,NA,NA,94.7069473266602,NA,86.7037353515625,NA,NA,-4.48032999038696,NA,1.28657666842143,NA,NA,6.45913028717041,NA,-2.03749863306681,NA,NA,-0.504936903715134,NA,0.0337270088493824,NA,NA,-25.2468451857567,NA,1.12423362831275,0.5,0.66666667,0.6,1,1,1,0.6,1,101.769584655762,6.31444215774536,0,0,101.77,1,1,"2024-09-01",0
"Grant Holmes",16944,"2024-08-29","@PHI",16,2024,"ATL","A",28,0,1,5.40000205993731,1,0,0,0,0,0,0,1,1.2,7,2,1,1,1,1,0,0,0,0,1,5.40000205993731,5.40000205993731,10.8000041198746,1,0,0,2,3,0,0,0,0,0,0.14285714,0.14285714,0,5.90405561227636,5.40000205993731,0.333333333333333,1.80000068664577,0.25,1,11.5664829826367,-6.16648092269941,6.48809617658525,129.728350382352,287.298300509866,158.579022156739,0.666666666,0,0.4,0.6,0,0.333333333,0,0,10,14,24,-0.314727991819382,-0.470109969377518,0.155381977558136,-0.818999946117401,-0.0838709622621536,1.19148564338684,1.25339996814728,2.6981999874115,NA,0,1,-0.0619513019919395,-0.202196229760735,0,1,0.29166667,95,0.54166667,87,NA,NA,0.16666667,84.75,NA,NA,NA,-2.56698703765869,0.761630415916443,NA,0.263207197189331,NA,-36.6712433951242,5.85869550704956,NA,6.58017992973328,NA,0.21428571,0.7,0.41666667,0.33333333,1,0.8,0.41666667,0.42857143,0.08333333,2,1,2,0,2,3,5,0.4,0.2,0.4,0,0.4,0.6,10.22248823061,NA,NA,NA,NA,80,49.50866,80,20,46.13684,20,32.37922,43.76567,26.67211,NA,NA,NA,24.43361,46.0009,20,1.71376,6.64773,NA,NA,NA,99.34,138.76,129.82,71.68,25.42,8.58000000000001,95.6,80.26,86.48,NA,NA,NA,89.2466666666667,74.015,70.9825,0.29166667,NA,0.54166667,0.16666667,NA,94.9857177734375,NA,87.1000037560096,84.5749969482422,NA,-4.03166171482631,NA,0.494816596691425,1.34781813621521,NA,8.48862511771066,NA,-0.874268018282377,-3.43821668624878,NA,-2.58438012376428,NA,0.808647833764553,0.266023583710194,NA,-36.9197160537754,NA,6.22036795203502,6.65058959275484,NA,0.21428571,0.7,0.41666667,0.33333333,1,0.8,0.41666667,16.64705882,NA,0.375,0.29166667,NA,0.33333333,NA,85.2195909288194,94.8538295200893,NA,87.6085357666016,NA,1.36665079328749,-3.79522241864886,NA,0.921732246875763,NA,-4.19344329833984,7.54631696428571,NA,-1.49485743045807,NA,0.251140277832747,-2.58438012376428,NA,0.823531139642,NA,2.79044753147496,-36.9197160537754,NA,10.294139245525,0.21428571,0.7,0.41666667,0.33333333,1,0.8,0.41666667,5,92.794091796875,19.9279296875,1,0.2,107.402,3,0.6,"2024-08-29",0
"Grant Holmes",16944,"2024-08-26","@MIN",16,2024,"ATL","A",28,0,0,4.5,1,0,0,0,0,0,0,0,2,10,3,1,1,0,0,0,1,0,0,1,4.5,0,13.5,1,0.25,0,4,3,1,0,1,0,0,0.1,0,0.1,4.34693908401489,0,0.333333333333333,1.5,0.375,0.75,3.6664797782898,0.833520221710205,5.9344923876226,108.106917412428,92.3194790448744,145.200786011117,1.333333333,0.125,0.5,0.375,0,0,0,0,11,22,33,0.00951600074768066,-0.034851998090744,0.0443679988384247,-0.0319999903440475,-0.00335430027917027,0.2742800116539,0.145199999213219,0.168800011277199,0.151600003242493,1,1,-0.0363350100815296,0.0710294841348865,0,0,0.33333333,94,0.45454545,86.6,NA,NA,0.21212121,84.14285714,NA,NA,NA,-0.91459721326828,0.0593936145305634,NA,0.507220923900604,NA,-8.31452012062073,0.395957430203756,NA,7.24601319858006,NA,0.42105263,0.78571429,0.57575758,0.375,1,0.73684211,0.42424242,0.6,0.15151515,2,5,1,1,1,6,8,0.25,0.625,0.125,0.125,0.125,0.75,3.13758124615228,NA,NA,NA,NA,70.81194,48.52304,79.87999,20,43.09152,20,40.22575,45.21937,37.77266,NA,NA,NA,30.21418,44.3105,31.26576,1.35463,6.10904,NA,NA,NA,100.48,129.04,118.1,75.9,43.26,24.34,104.26,62.28,58.68,NA,NA,NA,94.0048484848485,70.1012121212121,59.8375757575758,0.33333333,NA,0.45454545,0.21212121,NA,93.9636341441761,NA,86.5666666666667,84.0714285714286,NA,-4.99830454046076,NA,0.203065840403239,0.954827921731131,NA,9.38727985728871,NA,-0.585532760620117,-4.24754442487444,NA,-0.889374427497387,NA,0.106576569378376,0.543607376515865,NA,-8.08522206815806,NA,0.710510462522507,7.76581966451236,NA,0.35294118,0.8125,0.57575758,0.5,0.84615385,0.73684211,0.48484848,20.04347826,NA,0.21212121,0.33333333,NA,0.45454545,NA,84.1339372907366,94.0464089133523,NA,86.6326009114583,NA,1.12452513831002,-4.88158278031783,NA,0.487126604715983,NA,-5.62760870797293,8.39926702325994,NA,-1.87499071756999,NA,0.543607376515865,-0.889374427497387,NA,0.106576569378376,NA,7.76581966451236,-8.08522206815806,NA,0.710510462522507,0.375,0.76470588,0.57575758,0.5,0.84615385,0.73684211,0.51515152,8,91.9871597290039,2.83317685127258,0,0,103.113,5,0.625,"2024-08-26",0
