"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Griffin Jax",20253,"2024-09-26","MIA",8,2024,"MIN","H",29,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.6331485432166,15.0336680287444,1,0,0.5,0.5,0,0,1,9,2,11,13,0.0193079952150583,-0.00474800262600183,0.0240559987723827,0.483999997377396,0.0507337525486946,0.27240002155304,0.335999995470047,0.335999995470047,0.470400005578995,1,1,0.0506325773894787,0.0202484567050756,0,0,0.30769231,96.75,0.69230769,88,NA,NA,NA,NA,NA,NA,NA,0.186208814382553,0.132286712527275,NA,NA,NA,4.65522035956383,1.46985236141417,NA,NA,NA,0.7,0.66666667,0.69230769,0.28571429,1,0.44444444,0.23076923,1,0.38461538,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,-1.02847088453958,NA,NA,NA,NA,NA,NA,80,56.82926,80,80,79.45118,80,64.12273,80,38.33136,80,80,61.93561,-1.91797,1.20014,NA,NA,NA,NA,NA,NA,78.68,157.76,140.68,113.86,164.52,176.38,144.36,102.84,133.16,126.856923076923,120.258461538462,138.22,0.23076923,0.07692308,0.69230769,NA,NA,97,96.0999984741211,87.8666653103299,NA,NA,-3.39164479573568,-8.77555751800537,9.18406677246094,NA,NA,8.27888170878092,4.13938903808594,-2.25439601474338,NA,NA,0.148912288248539,0.039364367723465,0.131717059761286,NA,NA,4.96374294161797,3.9364367723465,1.46352288623651,NA,NA,0.66666667,0.75,0.69230769,0.16666667,1,0.44444444,0.30769231,15.88888889,NA,NA,0.23076923,0.07692308,0.69230769,NA,NA,97.0336303710938,96.0932006835938,87.8665568033854,NA,NA,-3.37406349182129,-9.04846000671387,9.69091457790799,NA,NA,7.52191352844238,3.31825995445251,-3.47428554958767,NA,NA,0.148912288248539,0.039364367723465,0.131717059761286,NA,NA,4.96374294161797,3.9364367723465,1.46352288623651,0.625,0.8,0.69230769,0.2,0.75,0.44444444,0.38461538,2,106.800857543945,21.3984203338623,1,0.5,108.813,2,1,"2024-09-26",0
"Griffin Jax",20253,"2024-09-25","MIA",8,2024,"MIN","H",29,1,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,13.5000032186516,0,6.75000160932579,2,0,0,2,1,0,0,0,0,0,0.4,0,0.4,1.04688908401489,0,0.2,0.750000178813977,0.333333333333333,1,0.166479063033887,-0.166479063033887,1.30048563806852,0,2.30138469893262,30.5074529652481,2,0,0.666666666,0.333333333,0,0,5,33.750008046629,5,15,20,0.092692032456398,-0.0745759904384613,0.167268022894859,0.712999999523163,0.0747379437088966,1.46200001239777,0.896600008010864,1.53719997406006,0.134399995207787,1,1,0.0402624905109406,0.0231383519448523,1,0,0.5,97,0.4,87.75,NA,NA,0.05,82,0.05,92,NA,0.810584962368011,0.239315062761307,NA,-0.0207000374794006,-0.830527663230896,8.10584962368011,2.99143828451633,NA,-2.07000374794006,-83.0527663230896,0.54545455,0.55555556,0.55,0.66666667,0.8,0.72727273,0.45,1,0.15,2,1,0,1,0,2,3,0.66666667,0.33333333,0,0.33333333,0,0.66666667,-0.594875920445585,66.61318,75.71903,78.89602,20,80,20,75.80219,59.48683,74.48409,80,67.57327,78.06823,80,80,53.78489,80,80,69.74058,-2.21776,0.75045,173.34,84.28,135.64,158.92,4.90000000000001,47.66,79.26,124.5,109,128.24,162.66,196.06,164.34,106.94,140.3,134.224,119.025,141.55,0.25,0.25,0.4,0.05,0.05,96.9199951171875,96.9400024414062,87.5250015258789,81.6999969482422,92.3000030517578,-4.49420547485352,-9.11112976074219,8.42309379577637,7.28253364562988,-6.85006237030029,8.85580444335938,4.75684967041016,-1.58800983428955,-10.6437692642212,0.100573271512985,0.418425943702459,0.403025273233652,0.240605622529984,-0.0210469514131546,-0.838624775409698,8.36851887404919,8.06050546467304,3.00757028162479,-2.10469514131546,-83.8624775409698,0.5,0.6,0.55,0.6,0.83333333,0.72727273,0.5,21.66666667,0.05,0.05,0.25,0.25,0.4,92.1812973022461,81.6037979125977,96.8026611328125,96.8653625488281,87.4216613769531,-7.08116006851196,6.54084014892578,-4.41721992492676,-9.32522811889648,8.97294521331787,-0.927514970302582,-11.3774003982544,8.28842239379883,3.78155212402344,-2.75795888900757,-0.838624775409698,-0.0210469514131546,0.418425943702459,0.403025273233652,0.240605622529984,-83.8624775409698,-2.10469514131546,8.36851887404919,8.06050546467304,3.00757028162479,0.45454545,0.66666667,0.55,0.6,0.83333333,0.72727273,0.45,3,102.754455566406,-5.23212464650472,0,0,107.728,3,1,"2024-09-25",0
"Griffin Jax",20253,"2024-09-20","@BOS",8,2024,"MIN","A",29,0,0,0,1,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.2359536102518,27.173712862954,2,0,1,0,0,0,0,0,1,7,8,0.103556007146835,0,0.103556007146835,0.177000045776367,0.0170520283281803,1.30066657066345,1.89079999923706,1.89079999923706,NA,0,1,0.0800967365503311,-0.000479093195345198,1,0,0.75,96.5,0.125,88,NA,NA,NA,NA,0.125,92,NA,0.478359192609787,0.0389156937599182,NA,NA,0.173208177089691,7.97265321016312,3.89156937599182,NA,NA,17.3208177089691,0.75,0.5,0.625,1,0.5,0.8,0.5,0.66666667,0.125,1,1,0,1,0,1,2,0.5,0.5,0,0.5,0,0.5,-0.216991782152027,67.84227,58.97857,80,NA,NA,NA,80,61.66635,80,66.91448,80,45.90514,80,64.59641,80,80,71.4881,80,-2.7425,-0.03666,138.2,215,233.42,NA,NA,NA,85.6,115.94,87.62,121,79.7,101.68,90.06,170.62,168.88,106.0075,121.5675,121.275,0.375,0.375,0.125,NA,0.125,96.1333312988281,96.5333353678385,87.5999984741211,NA,92.3000030517578,-2.84291076660156,-10.218807220459,6.14127826690674,NA,-8.97476673126221,8.9334774017334,4.32857735951742,-0.946645736694336,NA,3.40781331062317,0.214739691466093,0.269513659179211,0.039364367723465,NA,0.175081223249435,7.15798971553644,8.98378863930702,3.9364367723465,NA,17.5081223249435,0.66666667,0.6,0.625,1,0.66666667,0.8,0.625,14.8,0.125,NA,0.375,0.375,0.125,92.5588989257812,NA,96.3240356445312,96.7530008951823,87.747200012207,-9.28227996826172,NA,-2.74486668904622,-10.6051400502523,6.55992984771729,1.93596005439758,NA,8.08732668558756,3.371506690979,-1.89954996109009,0.175081223249435,NA,0.214739691466093,0.269513659179211,0.039364367723465,17.5081223249435,NA,7.15798971553644,8.98378863930702,3.9364367723465,0.5,0.66666667,0.625,1,0.75,0.8,0.75,2,77.7323532104492,-6.44024658203125,0,0,103.066,1,0.5,"2024-09-20",0
"Griffin Jax",20253,"2024-09-19","@CLE",8,2024,"MIN","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.6331485432166,-22.5814263197472,1,0,1,0,0,0,0,0,4,11,15,0.13323201239109,0,0.13323201239109,0.479999989271164,0.0506329126656055,1.78213334083557,2.23839998245239,2.23839998245239,2.61240005493164,1,1,0.0747645199298859,-4.67489571844004e-06,1,0,0.2,96.66666667,0.46666667,87.85714286,NA,NA,NA,NA,0.33333333,93,NA,0.0646282732486725,0.688808262348175,NA,NA,-0.0200438015162945,2.15427577495575,9.84011803354536,NA,NA,-0.40087603032589,0.54545455,0.75,0.6,0.66666667,0.33333333,0.55555556,0.26666667,0.33333333,0.26666667,1,0,0,1,0,0,1,1,0,0,1,0,0,-1.5928636317418,64.25246,76.51096,45.70992,NA,NA,NA,64.60879,63.90033,72.62774,NA,NA,NA,80,80,80,80,80,77.60599,-2.55001,0.25208,144.28,149.68,178.62,NA,NA,NA,83.52,101.2,92.22,NA,NA,NA,132.9,157.42,193.14,126.817333333333,143.596,168.116,0.2,NA,0.46666667,NA,0.33333333,96.5666707356771,NA,87.9142892020089,NA,92.7400024414062,-2.07479445139567,NA,7.36002949305943,NA,-7.87175903320312,6.91256014506022,NA,-1.76881626674107,NA,0.0404119729995728,0.0652915723621845,NA,0.697805259376764,NA,-0.0212746374309063,2.17638574540615,NA,9.9686465625252,NA,-0.425492748618126,0.54545455,0.75,0.6,0.66666667,0.33333333,0.55555556,0.26666667,18.5,0.33333333,NA,0.2,NA,0.46666667,92.5521789550781,NA,96.347401936849,NA,87.7227870396205,-7.82630767822266,NA,-1.90308666229248,NA,7.94063568115234,-1.34097385406494,NA,6.5389035542806,NA,-2.81262152535575,-0.0212746374309063,NA,0.0652915723621845,NA,0.697805259376764,-0.425492748618126,NA,2.17638574540615,NA,9.9686465625252,0.54545455,0.75,0.6,0.66666667,0.33333333,0.55555556,0.26666667,1,60.4400482177734,-42.7397689819336,0,0,60.44,0,0,"2024-09-19",0
"Griffin Jax",20253,"2024-09-17","@CLE",8,2024,"MIN","A",29,0,0,0,1,0,0,0,0,1,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0.5,0,2,0,0,0,1,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.30132450714558,2.29606542354053,2,0,1,0,0,0,0,0,2,6,8,0.0975840017199516,-0.0531559996306896,0.150739997625351,0.879999995231628,0.0928270071744919,2.65026664733887,1.31400001049042,2.62800002098083,NA,0,1,0.0136727467179298,0.0231476999408755,1,0,0.375,97.33333333,0.375,89,NA,NA,NA,NA,0.25,92.5,NA,-0.0192974396049976,-0.235636979341507,NA,NA,0.269379317760468,-0.643247986833255,-7.85456597805023,NA,NA,13.4689658880234,0.5,1,0.75,0,0.5,0.33333333,0.5,0.66666667,0.5,1,1,0,2,0,0,2,0.5,0.5,0,1,0,0,-0.216991782152027,80,54.17438,79.65931,NA,NA,NA,20,67.22695,20,54.63648,62.57288,53.01059,80,80,80,80,80,80,-2.49838,0.32952,106.5,126.34,140.98,NA,NA,NA,89.64,53.18,50.22,114.42,100.66,114.8,127.72,168,197.2,114.33,126.3975,144.1725,0.125,0.25,0.375,NA,0.25,98.1999969482422,96.8499984741211,89.0999959309896,NA,92.5500030517578,-4.64879083633423,-8.44102478027344,8.64339510599772,NA,-7.3281397819519,9.28167629241943,6.47569847106934,-0.824518203735352,NA,0.592991173267365,-0.0350487045943737,0.0151214338839054,-0.240032985806465,NA,0.272709637880325,-3.50487045943737,0.756071694195271,-8.00109952688217,NA,13.6354818940163,0.5,1,0.75,0,0.5,0.33333333,0.5,16.8,0.25,NA,0.125,0.25,0.375,92.4115524291992,NA,98.0439987182617,96.7232971191406,88.9826354980469,-7.29874515533447,NA,-4.70641994476318,-8.63516521453857,9.25842348734538,-0.409254491329193,NA,9.0030403137207,5.5809497833252,-1.78058624267578,0.272709637880325,NA,-0.0350487045943737,0.0151214338839054,-0.240032985806465,13.6354818940163,NA,-3.50487045943737,0.756071694195271,-8.00109952688217,0.5,1,0.75,0,0.5,0.33333333,0.5,2,74.9651565551758,-44.9736442565918,0,0,76.0865,0,0,"2024-09-17",0
"Griffin Jax",20253,"2024-09-16","@CLE",8,2024,"MIN","A",29,0,1,13.5000032186516,1,0,0,0,0,0,0,1,1.1,6,2,2,2,1,0,0,0,0,0,3,20.2500048279774,0,13.5000032186516,3,0,0,1,2,0,0,0,0,0,0.5,0,0.5,0.652312416441226,6.75000160932579,0.333333333333333,1.50000035762795,0.5,0,8.41648102998763,5.08352218866395,0.934491855475206,337.226287618688,208.011480127099,21.4024171687812,0.5,0,0.333333333,0.666666666,0,0.5,0,0,7,14,21,-0.243783965706825,-0.680371940135956,0.436587989330292,-0.0830000042915344,-0.00875526666641235,3.52793335914612,3.41026663780212,5.29960012435913,0.275599986314774,1,1,-0.0996882393956184,0.0305871706141408,0,1,0.0952381,97,0.42857143,88.11111111,NA,NA,0.14285714,84.66666667,0.33333333,92.71428571,NA,-1.35311210155487,0.623782992362976,NA,-0.0191754102706909,-0.43163737654686,-67.6556050777435,6.9309221373664,NA,-0.639180342356364,-6.16624823638371,0.2,0.63636364,0.42857143,0,0.85714286,0.66666667,0.52380952,0.83333333,0.14285714,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,6.02104174438715,75.76257,56.30923,75.70115,68.85373,80,53.7679,80,51.49377,80,NA,NA,NA,80,80,74.94263,80,80,80,-2.79401,-0.11392,103.84,145.08,151.48,151.66,98.44,119.02,85.72,151.58,142.64,NA,NA,NA,143.26,151.14,180.98,125.84,141.633333333333,158.64380952381,0.0952381,NA,0.42857143,0.14285714,0.33333333,97.4000015258789,NA,88.0111083984375,84.5999959309896,92.5857107979911,-4.40064525604248,NA,7.99486796061198,3.12400086720785,-6.44972011021205,8.37537384033203,NA,-2.0012026892768,-9.47769419352213,0.939479759761265,-1.35369835793972,NA,0.630989171564579,-0.0197609066963196,-0.435046441853046,-67.684917896986,NA,7.01099079516199,-0.658696889877319,-6.21494916932923,0.1,0.72727273,0.42857143,0,0.75,0.66666667,0.52380952,21,0.33333333,0.14285714,0.0952381,NA,0.42857143,92.6531023297991,84.668467203776,97.4654998779297,NA,88.0732760959201,-6.48527581351144,3.14081001281738,-4.16486501693726,NA,8.54831271701389,-0.0282710173300334,-10.815066019694,7.76271533966064,NA,-3.03094079759386,-0.435046441853046,-0.0197609066963196,-1.35369835793972,NA,0.630989171564579,-6.21494916932923,-0.658696889877319,-67.684917896986,NA,7.01099079516199,0.1,0.72727273,0.42857143,0,0.75,0.66666667,0.52380952,3,98.1356201171875,20.1045061747233,1,0.33333333,108.268,2,0.66666667,"2024-09-16",0
"Griffin Jax",20253,"2024-09-11","LAA",8,2024,"MIN","H",29,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,1,0,0,0,0,3,13.5,4.5,0,3,0,0,2,0,0,0,0,0,0,0.5,0.16666667,0.33333333,2.16828462927184,0,0,0.5,0,1,1.6664797782898,-1.6664797782898,1.6664797782898,0,39.7032291486189,39.6124976586293,2,0,1,0,0,0,2,9,7,13,20,0.135188013315201,-0.0709040015935898,0.206092014908791,0.967999994754791,0.101467505097389,1.167933344841,1.29240000247955,1.73000001907349,0.72759997844696,1,1,0.111351817846298,0.0043979498201131,1,0,0.5,97.2,0.25,88.2,NA,NA,NA,NA,0.25,91.4,NA,0.291212409734726,0.433184623718262,NA,NA,0.746142625808716,2.91212409734726,8.66369247436523,NA,NA,14.9228525161743,0.41666667,0.75,0.55,0.4,0.66666667,0.54545455,0.4,0.83333333,0.25,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,0.565371124299783,58.49301,59.08223,53.18036,NA,NA,NA,72.28787,53.82734,77.15948,20,51.9437,20,80,80,78.99464,76.65734,67.57913,70.61546,-1.53071,1.78103,93.18,93.8,91.6,NA,NA,NA,70.36,128.12,101.12,105.28,-30.34,-16.1,157.1,160.32,186.76,99.496,119.667,114.289,0.45,0.05,0.25,NA,0.25,97.3555569118924,96.3000030517578,88.4800048828125,NA,91.6,-3.64696799384223,-7.00637674331665,7.89496002197266,NA,-6.53795547485352,8.83119964599609,6.51250076293945,-1.07834587097168,NA,1.098521900177,0.356133125722408,-0.0633736774325371,0.437027886509895,NA,0.75797051936388,3.95703473024898,-6.33736774325371,8.74055773019791,NA,15.1594103872776,0.4,0.7,0.55,0.25,0.71428571,0.54545455,0.5,18.07142857,0.25,NA,0.45,0.05,0.25,91.432958984375,NA,97.1895209418403,96.1453018188477,88.3017211914062,-6.67199783325195,NA,-3.63064108954536,-6.99475002288818,8.46574630737305,0.0855394005775452,NA,8.28355153401693,6.22741985321045,-2.13926658630371,0.75797051936388,NA,0.356133125722408,-0.0633736774325371,0.437027886509895,15.1594103872776,NA,3.95703473024898,-6.33736774325371,8.74055773019791,0.36363636,0.77777778,0.55,0.25,0.71428571,0.54545455,0.45,2,86.24560546875,-11.2697706222534,0,0,99.4804,1,0.5,"2024-09-11",0
"Griffin Jax",20253,"2024-09-07","@KCR",8,2024,"MIN","A",29,0,0,13.500014081612,1,0,0,0,0,0,0,1,0.2,4,3,1,1,0,0,0,0,0,0,0,0,0,40.5000422448361,0,0.5,0,2,0,2,0,1,0,0,0,0,0,3.65572908401489,0,0.75,4.50000469387067,0.75,0.66666667,3.1664797782898,10.3335343033222,3.1664797782898,337.226558972388,77.1050557637202,76.9288520456552,2,0.5,0.5,0,0,0,0,0,0,8,8,-0.506789982318878,-0.532739996910095,0.0259499941021204,-2.05299997329712,-0.200978949666023,2.80745005607605,2.58279991149902,5.16559982299805,NA,0,1,-0.13593801856041,-0.0445780982702544,0,1,0.375,97.66666667,0.625,87.2,NA,NA,NA,NA,NA,NA,NA,-0.268318384885788,-0.873717069625854,NA,NA,NA,-8.9439461628596,-17.4743413925171,NA,NA,NA,1,0.5,0.75,0.75,1,0.83333333,0.5,1,0.125,1,3,0,2,1,1,4,0.25,0.75,0,0.5,0.25,0.25,9.92406660762198,NA,NA,NA,NA,NA,NA,80,55.65035,80,NA,NA,NA,80,65.72887,76.1196,80,66.65247,80,-3.18872,-0.70599,NA,NA,NA,NA,NA,NA,82.98,150.68,125.08,NA,NA,NA,118.8,106.62,130.32,105.3675,123.1425,128.355,0.375,NA,0.625,NA,NA,97.4666646321615,NA,87.1400024414063,NA,NA,-4.01414108276367,NA,8.63061370849609,NA,NA,9.42803064982096,NA,-2.88335418701172,NA,NA,-0.231007844209671,NA,-0.887645747512579,NA,NA,-7.7002614736557,NA,-17.7529149502516,NA,NA,1,0.66666667,0.75,0.5,1,0.83333333,0.75,21.5,NA,NA,0.375,NA,0.625,NA,NA,97.3668619791667,NA,87.0515014648438,NA,NA,-3.99877993265788,NA,9.00872039794922,NA,NA,8.40441004435221,NA,-4.36079406738281,NA,NA,-0.231007844209671,NA,-0.887645747512579,NA,NA,-7.7002614736557,NA,-17.7529149502516,1,0.66666667,0.75,0.5,1,0.83333333,0.75,4,85.4499359130859,-1.02949130535126,1,0.25,111.326,2,0.5,"2024-09-07",0
"Griffin Jax",20253,"2024-09-05","@TBR",8,2024,"MIN","A",29,0,0,0,1,0,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,2,13.5000032186516,0,6.75000160932579,2,0,0,2,1,0,0,0,0,0,0.4,0,0.4,1.04688908401489,0,0.2,0.750000178813977,0.333333333333333,1,0.166479063033887,-0.166479063033887,1.30048563806852,0,2.30138469893262,30.5074529652481,2,0,0.666666666,0.333333333,0,0,0,0,2,11,13,0.206770002841949,-0.0791400000452995,0.28591001033783,0.753000020980835,0.0827018171548843,2.43907999992371,2.521399974823,2.67300009727478,3.33239984512329,1,1,0.0368243455886841,0.0479494227372491,1,0,0.61538462,97.875,0.30769231,88,NA,NA,NA,NA,0.07692308,92,NA,-0.582379817962646,0.274806350469589,NA,NA,0.212085232138634,-7.27974772453308,6.87015876173973,NA,NA,21.2085232138634,0.5,0.66666667,0.61538462,0.5,0.5,0.5,0.69230769,0.8,0.30769231,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,-0.594875920445585,80,64.2634,80,NA,NA,NA,72.37914,61.15116,64.52853,NA,NA,NA,80,75.37239,80,80,67.36763,80,-2.37306,0.5175,99.16,149.52,154.06,NA,NA,NA,101.96,108.98,106.48,NA,NA,NA,123.32,120.24,139.16,108.316923076923,115.563076923077,120.195384615385,0.61538462,NA,0.30769231,NA,0.07692308,97.75,NA,88.0500030517578,NA,92.3000030517578,-5.00483751296997,NA,8.65943336486816,NA,-10.1204090118408,10.2994422912598,NA,-0.453084051609039,NA,1.56680643558502,-0.582838296890259,NA,0.278346985578537,NA,0.214739695191383,-7.28547871112823,NA,6.95867463946342,NA,21.4739695191383,0.66666667,0.6,0.61538462,0.5,0.5,0.5,0.76923077,17.75,0.07692308,NA,0.61538462,NA,0.30769231,92.0093002319336,NA,97.4374237060547,NA,87.7175979614258,-9.90357971191406,NA,-4.59917736053467,NA,9.49796962738037,-0.160056993365288,NA,8.97616577148438,NA,-1.99925494194031,0.214739695191383,NA,-0.582838296890259,NA,0.278346985578537,21.4739695191383,NA,-7.28547871112823,NA,6.95867463946342,0.66666667,0.6,0.61538462,0.5,0.5,0.5,0.76923077,3,79.9446512858073,-2.84577655792236,1,0.33333333,102.858,1,0.33333333,"2024-09-05",0
"Griffin Jax",20253,"2024-09-02","@TBR",8,2024,"MIN","A",29,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.6331485432166,-22.5814263197472,2,0,1,0,0,0,1,9,7,11,18,0.103270009160042,-0.0272700116038322,0.130540013313293,0.451999992132187,0.0496430546045303,1.50744998455048,1.9099999666214,1.9099999666214,1.61540007591248,1,1,0.0464167669415474,0.0220896579603953,1,0,0.5,97.33333333,0.16666667,88.66666667,NA,NA,NA,NA,0.33333333,92.5,NA,0.440163433551788,0.261134058237076,NA,NA,-0.420539975166321,4.89070481724209,8.70446860790253,NA,NA,-7.00899958610535,0.5,0.5,0.5,0.57142857,0.5,0.55555556,0.22222222,0.75,0.22222222,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,-0.928849150431359,53.71781,75.06449,51.07515,NA,NA,NA,52.69703,60.56461,30.9029,20,80,20,80,80,80,58.42287,80,34.25247,-0.39787,3.48029,93.16,100.86,101.6,NA,NA,NA,115.22,100.16,105.98,113.72,-35.76,4.60000000000001,165.6,163.66,228.12,116.013333333333,88.3233333333333,107.98,0.27777778,0.22222222,0.16666667,NA,0.33333333,97.6599975585937,97.1999969482422,88.3333333333333,NA,92.4500020345052,-5.04641723632812,-9.07122230529785,8.49369366963704,NA,-10.2044124603271,10.3366607666016,7.82705974578857,-1.53081512451172,NA,1.47294537226359,0.29846453294158,0.147064704447985,0.264877170324326,NA,-0.428437501192093,5.9692906588316,3.67661761119962,8.82923901081085,NA,-7.14062501986821,0.41666667,0.66666667,0.5,0.4,0.75,0.55555556,0.33333333,17.85714286,0.33333333,NA,0.33333333,0.16666667,0.16666667,92.6474812825521,NA,97.8136189778646,97.3173624674479,88.5076700846354,-9.79728190104167,NA,-5.017759958903,-9.96744346618652,9.13074620564779,-0.332528988520304,NA,9.18901507059733,6.00362650553385,-3.12693659464518,-0.428437501192093,NA,0.337828900665045,0.10770033672452,0.264877170324326,-7.14062501986821,NA,5.63048167775075,3.59001122415066,8.82923901081085,0.38461538,0.8,0.5,0.4,0.75,0.55555556,0.27777778,2,91.5623931884766,-18.1139850616455,0,0,99.3502,1,0.5,"2024-09-02",0
