"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Hector Neris",11804,"2024-09-28","@CLE",21,2024,"HOU","A",35,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,1,0,1,1,0,0,1,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.7931442840951,15.0336680287444,1,0,0.5,0.5,0,0,0,0,4,9,13,0.106020011007786,-0.0275200083851814,0.133540019392967,0.479999989271164,0.0506329126656055,1.5161999464035,1.9099999666214,1.9099999666214,2.46560001373291,1,1,0.0480891428887844,0.0218356788731937,1,0,0.76923077,93.4,NA,NA,0.23076923,83,NA,0.483848989009857,NA,-0.165353491902351,4.83848989009857,NA,-5.51178306341171,0.42857143,0.66666667,0.53846154,0.66666667,0.5,0.57142857,0.46153846,0.5,0.23076923,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,-1.01969054514711,45.75663,45.60599,58.39998,20,41.60451,20,NA,NA,NA,71.0185,49.62311,25.65521,31.87973,41.59334,25.96366,1.25116,5.95383,82.6,91.6,79.16,95.04,9.86000000000001,11.76,NA,NA,NA,101.14,105.02,107.08,88.7923076923077,82.1215384615384,75.2338461538461,0.53846154,0.23076923,0.23076923,NA,93.2857142857143,82.8333333333333,93.4333292643229,NA,-5.76361846923828,-4.48399289449056,-9.12389628092448,NA,9.49785940987723,-0.858548800150553,8.30065663655599,NA,0.521984033286572,-0.168789610266685,-0.0332007221877575,NA,7.45691476123674,-5.62632034222285,-1.10669073959192,NA,0.42857143,0.66666667,0.53846154,0.66666667,0.5,0.57142857,0.46153846,17,0.61538462,0.23076923,0.15384615,NA,93.3994140625,82.9408976236979,93.7348480224609,NA,-5.76230382919312,-4.10772323608398,-9.45356559753418,NA,8.31758785247803,-2.619513352712,7.25911998748779,NA,0.587205693125725,-0.168789610266685,-0.0984223820269108,NA,7.34007116407156,-5.62632034222285,-4.92111910134554,NA,0.5,0.57142857,0.53846154,0.66666667,0.5,0.57142857,0.53846154,2,53.6621742248535,46.7394485473633,0,0,93.5405,0,0,"2024-09-28",0
"Hector Neris",11804,"2024-09-25","SEA",21,2024,"HOU","H",35,0,0,18,1,0,0,0,0,0,0,0,1,6,2,3,2,1,0,0,0,0,0,2,18,0,18,2,0.5,0,2,2,0,0,1,0,0,0.33333333,0,0.33333333,1.87828464271067,9,0.333333333333333,2,0.333333333333333,-1.66666667,12.1664797782898,5.83352022171021,2.19049659073353,453.506654252709,303.647458995523,52.648762377236,1,0,0.5,0.5,0,0.5,0,0,5,14,19,-0.0122180003672838,-0.0124340001493692,0.000215999985812232,-2.52300000190735,-0.267408579587936,0.0255333315581083,0.0557999983429909,0.0557999983429909,NA,0,1,-0.259496331214905,-0.219015465785745,0,0,0.68421053,93.07692308,NA,NA,0.31578947,82.66666667,NA,-0.573590517044067,NA,-1.24915707111359,-4.41223474649283,NA,-20.8192845185598,0.28571429,0.91666667,0.68421053,0.5,0.54545455,0.53846154,0.63157895,0.83333333,0.31578947,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,7.07965203059956,36.94533,40.42089,33.28723,74.68344,43.01977,80,NA,NA,NA,80,62.55312,80,65.48803,46.31357,71.4522,-0.8368,2.82189,109.44,91.4,81.74,82.9,119.28,105.56,NA,NA,NA,106.3,156.44,165.1,104.257894736842,116.341052631579,111.825263157895,0.47368421,0.31578947,0.21052632,NA,93.2111138237847,82.7833353678385,92.8499984741211,NA,-6.87130482991536,-6.62303352355957,-9.52387142181396,NA,9.66205257839627,0.565853834152222,8.33624744415283,NA,-0.407758347690105,-1.24745930731297,-0.175417419523001,NA,-4.53064830766784,-20.7909884552161,-4.38543548807502,NA,0.28571429,0.91666667,0.68421053,0.5,0.54545455,0.53846154,0.63157895,19.76923077,0.52631579,0.31578947,0.15789474,NA,93.2279296875,82.7893473307292,92.8397623697917,NA,-6.26887397766113,-5.71072324117025,-9.23018328348796,NA,8.62936325073242,-1.24900587399801,6.13432693481445,NA,-0.23267712444067,-1.24745930731297,-0.350498642772436,NA,-2.3267712444067,-20.7909884552161,-11.6832880924145,NA,0.28571429,0.91666667,0.68421053,0.5,0.54545455,0.53846154,0.63157895,4,96.4077529907227,12.6091232299805,1,0.25,105.638,1,0.25,"2024-09-25",0
"Hector Neris",11804,"2024-09-22","LAA",21,2024,"HOU","H",35,0,0,54.0000563264481,1,0,0,0,0,0,1,0,0.1,4,3,2,2,0,0,0,0,0,1,1,27.000028163224,0,81.0000844896721,1,1,0,1,0,2,0,1,0,0,0.25,0,0.25,2.16704158401489,0,0.75,9.00000938774135,1,0.33333333,-2.83352648020443,56.8335828066525,-2.83352648020443,1360.52138189252,-73.0149327137772,-72.3367211985741,1,0.666666666,0.333333333,0,0,0,0,0,5,9,14,-0.256174027919769,-0.357766032218933,0.101591996848583,-1.67499995231628,-0.177530467510223,2.42056012153625,1.31900000572205,1.31900000572205,3.68759989738464,1,1,-0.148876965045929,0.0430444242052646,0,1,0.57142857,92.75,NA,NA,0.42857143,81.5,NA,-0.307341873645782,NA,-1.11237466335297,-3.84177342057228,NA,-18.5395777225494,0.5,0.75,0.57142857,0.6,0.66666667,0.625,0.28571429,0.75,0.21428571,1,1,1,2,1,0,3,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,7.41228283145559,27.76829,45.16996,20,80,37.46989,80,NA,NA,NA,72.69146,51.4585,64.58876,48.68421,46.38615,37.02564,0.20716,4.38783,99.1,79.64,72.96,73.6,136.14,107.44,NA,NA,NA,86.88,110.78,105.86,92.0414285714286,97.0214285714286,89.5228571428571,0.5,0.42857143,0.07142857,NA,92.8428606305804,81.3833312988281,91.5999984741211,NA,-6.15629850115095,-5.95334879557292,-9.38589191436768,NA,10.2480152675084,1.32525602976481,7.53020286560059,NA,0.197375446557999,-1.12553478777409,-0.510574221611023,NA,2.81964923654284,-18.7589131295681,-51.0574221611023,NA,0.44444444,0.8,0.57142857,0.5,0.75,0.625,0.35714286,20.22222222,0.5,0.42857143,0.07142857,NA,92.9534563337054,81.4737701416016,91.6401977539062,NA,-5.56575720650809,-5.28805828094482,-8.98871994018555,NA,9.09649004255022,-0.50514829158783,5.95034980773926,NA,0.197375446557999,-1.12553478777409,-0.510574221611023,NA,2.81964923654284,-18.7589131295681,-51.0574221611023,NA,0.44444444,0.8,0.57142857,0.5,0.75,0.625,0.35714286,3,68.2608083089193,8.55924224853516,0,0,92.5014,0,0,"2024-09-22",0
"Hector Neris",11804,"2024-09-20","LAA",21,2024,"HOU","H",35,1,0,6.75000160932579,1,0,0,0,0,0,0,0,1.1,7,3,1,1,1,0,0,0,0,0,3,20.2500048279774,0,20.2500048279774,3,0,0,0,2,2,0,0,0,0,0.42857143,0,0.42857143,1.49101480145846,6.75000160932579,0.428571428571429,2.25000053644193,0.666666666666667,1,8.41648102998763,-1.66647942066184,0.934491855475206,170.06503589143,209.481931788325,21.4024171687812,0,0.5,0,0.5,0,0.5,1,6.75000160932579,7,17,24,0.0209840182214975,-0.230869993567467,0.251854002475739,-0.302999943494797,-0.0321144759654999,2.09631419181824,0.944266676902771,1.05159997940063,1.4164000749588,1,1,-0.0691815540194511,0.0791915125950295,0,0,0.39130435,92.88888889,0.04347826,87,0.56521739,82.38461538,0.04166667,-0.122765362262726,-1.41040623188019,0.267425984144211,-1.36405958069695,-141.040623188019,2.05712295495547,0.46153846,0.9,0.65217391,0.5,0.66666667,0.6,0.43478261,0.85714286,0.25,3,0,1,0,3,1,4,0.75,0,0.25,0,0.75,0.25,10.3931722915377,61.07853,43.20574,71.12782,80,67.33166,80,80,32.62334,80,55.54523,52.18052,53.41743,64.03999,53.29157,65.8263,-0.74684,2.95683,93.2,135.64,128.48,90.9,123.56,114.16,81.94,136.86,134.28,95.68,111.34,111.76,93.9121739130435,120.907826086957,118.03652173913,0.26086957,0.56521739,0.13043478,0.04347826,92.7666625976562,82.3769249549279,92.9666646321615,87.0999984741211,-6.82780456542969,-5.96314885066106,-9.89947382609049,1.13354468345642,10.2564194997152,0.0868444442749023,9.27301788330078,5.24305438995361,0.830865044146776,0.25756586715579,-0.957541167736053,-1.41166830062866,13.8477507357796,1.98127590119839,-31.9180389245351,-141.166830062866,0.46153846,0.9,0.65217391,0.5,0.66666667,0.6,0.43478261,19.41176471,0.30434783,0.56521739,0.08695652,0.04347826,92.8428170340402,82.3947002704327,92.9031066894531,87.0463027954102,-6.49505724225725,-5.34886169433594,-9.89139556884766,1.69975996017456,9.15170724051339,-1.7690922663762,7.13170003890991,3.7005500793457,0.320290807634592,0.25756586715579,-0.471209853887558,-1.41166830062866,4.57558296620846,1.98127590119839,-23.5604926943779,-141.166830062866,0.46153846,0.9,0.65217391,0.5,0.66666667,0.6,0.43478261,4,91.7386169433594,30.0816059112549,0,0,99.0795,2,0.5,"2024-09-20",0
"Hector Neris",11804,"2024-09-19","LAA",21,2024,"HOU","H",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.4284869896923,27.173712862954,2,0,1,0,0,0,0,0,1,8,9,0.0856840014457703,0,0.0856840014457703,0.476999998092651,0.0505564361810684,1.1454666852951,1.53579998016357,1.53579998016357,1.8374000787735,1,1,0.0749578550457954,-0.000155154499602239,1,0,0.33333333,92.66666667,NA,NA,0.66666667,81.5,NA,0.13512547314167,NA,0.555357575416565,4.50418243805567,NA,9.25595959027608,0.66666667,0.66666667,0.66666667,1,0.5,0.83333333,0.33333333,1,0.11111111,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,-0.215139263503894,80,39.72069,80,77.24139,56.83189,74.4318,NA,NA,NA,73.8546,50.33839,65.76417,78.2289,53.89234,73.32929,-1.62835,1.63457,79.38,159.72,140.68,87.56,122.56,115.82,NA,NA,NA,103,92.74,85.1,96.9444444444444,106.808888888889,98.1022222222222,0.11111111,0.66666667,0.22222222,NA,92.9000015258789,81.5499979654948,92.5,NA,-7.05718517303467,-4.8452730178833,-9.74456691741943,NA,9.35457897186279,1.5715061823527,8.04109001159668,NA,0.057969942688942,0.562000274658203,0.0787287354469299,NA,5.7969942688942,9.36667124430339,3.9364367723465,NA,0.75,0.6,0.66666667,1,0.66666667,0.83333333,0.55555556,18,0.11111111,0.66666667,0.22222222,NA,93.0251998901367,81.6714019775391,92.6385498046875,NA,-6.11293983459473,-4.12773831685384,-9.2833251953125,NA,8.01749038696289,-0.365633010864258,6.81558513641357,NA,0.057969942688942,0.562000274658203,0.0787287354469299,NA,5.7969942688942,9.36667124430339,3.9364367723465,NA,0.66666667,0.66666667,0.66666667,1,0.75,0.83333333,0.66666667,2,86.3019332885742,-10.8296394348145,0,0,91.5085,0,0,"2024-09-19",0
"Hector Neris",11804,"2024-09-17","@SDP",21,2024,"HOU","A",35,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,1,1,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.2,0.2,0,4.94568908401489,0,0,1,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,178.093380811054,176.439130411058,2,0,1,0,0,0,0,0,8,10,18,0.427987992763519,-0.294806003570557,0.722793996334076,1.06200003623962,0.115875616669655,6.32286643981934,4.38119983673096,4.38119983673096,NA,0,1,0.0383604280650616,0.0293284906930813,1,0,0.66666667,93.83333333,NA,NA,0.33333333,83.66666667,NA,0.328926146030426,NA,-0.0627980977296829,2.74105121692022,NA,-1.04663496216138,0.4,0.66666667,0.44444444,0.66666667,0.5,0.625,0.16666667,0.2,0.16666667,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,6.34863907699779,20.04228,55.45741,20,80,51.19305,80,NA,NA,NA,20,69.7052,20,20,60.53497,20,2.66211,8.07026,103.8,37.32,41.6,76.44,206.66,211.04,NA,NA,NA,111.42,-24.56,-1.02000000000001,103.3,35.5088888888889,46.22,0.55555556,0.33333333,0.11111111,NA,93.6799987792969,83.5333353678385,93.5,NA,-7.73582153320312,-6.07725016276042,-10.6773166656494,NA,10.2350852966309,-1.00175142288208,7.36877059936523,NA,-0.105150390416384,-0.0787185989320278,0.434291735291481,NA,-1.05150390416384,-1.31197664886713,21.7145867645741,NA,0.25,0.83333333,0.44444444,0.33333333,0.8,0.625,0.33333333,20.61538462,0.5,0.33333333,0.16666667,NA,93.6389973958333,83.4574330647786,93.4708353678385,NA,-7.00931209988064,-5.03265317281087,-9.57095019022624,NA,9.51159328884549,-2.93122831980387,6.60308329264323,NA,-0.170372050255537,-0.0787185989320278,0.499513395130634,NA,-1.89302278061708,-1.31197664886713,16.6504465043545,NA,0.18181818,0.85714286,0.44444444,0,0.83333333,0.625,0.38888889,2,99.1840972900391,-16.4797649383545,0,0,103.159,2,1,"2024-09-17",0
"Hector Neris",11804,"2024-09-15","@LAA",21,2024,"HOU","A",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.4284869896923,102.403901559937,0,0,0,1,0.5,0,1,9,3,8,11,0.0204880014061928,0,0.0204880014061928,0.508000016212463,0.0515474379062653,0.263199985027313,0.419799983501434,0.419799983501434,0.165600001811981,1,1,0.0778875425457954,-4.55874861602229e-05,0,0,0.45454545,92.4,0.09090909,85,0.45454545,82,NA,0.263956189155579,-0.0207000374794006,0.540230333805084,5.27912378311157,-2.07000374794006,10.8046066761017,0.42857143,1,0.63636364,0.33333333,0.75,0.57142857,0.36363636,0.66666667,0.27272727,1,0,1,1,0,1,2,0.5,0,0.5,0.5,0,0.5,-1.49377651054231,20,59.52658,20,66.55183,21.60811,80,55.76043,29.06439,80,56.45734,59.72943,41.97237,31.56631,53.22126,20.57346,1.27063,5.98304,78.66,54.66,45.16,70.22,96.18,75.94,119.3,160.04,143.8,104.54,89.22,81.06,90.4415384615385,82.4461538461539,71.2907692307692,0.27272727,0.45454545,0.18181818,0.09090909,92.0666707356771,82,93.0500030517578,85.1999969482422,-7.75737190246582,-5.93944091796875,-8.40749549865723,-1.37621474266052,10.6767730712891,-0.253258419036865,8.5704460144043,3.04429078102112,0.154342081397772,0.547315038740635,0.094138327986002,-0.0210469514131546,5.14473604659239,10.9463007748127,4.7069163993001,-2.10469514131546,0.4,0.83333333,0.63636364,0,0.8,0.57142857,0.54545455,14.5,0.45454545,0.45454545,NA,0.09090909,92.7393798828125,82.2764221191406,NA,85.5085983276367,-7.78850402832031,-5.52929992675781,NA,-0.501411974430084,8.55704803466797,-1.82392654418945,NA,1.45635998249054,0.248480409383774,0.547315038740635,NA,-0.0210469514131546,4.96960818767548,10.9463007748127,NA,-2.10469514131546,0.4,0.83333333,0.63636364,0,0.8,0.57142857,0.54545455,2,86.3421478271484,55.085319519043,0,0,92.9746,0,0,"2024-09-15",0
"Hector Neris",11804,"2024-09-14","@LAA",21,2024,"HOU","A",35,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.4284869896923,64.7888072114456,1,0,0.5,0.5,0,0,0,0,0,5,5,0.0744419991970062,0,0.0744419991970062,0.508000016212463,0.0515474379062653,0.977999985218048,1.38419997692108,1.38419997692108,1.54699993133545,1,1,0.0761838778853416,-6.73131387592119e-05,1,0,0.4,93,NA,NA,0.6,81.33333333,NA,0.288738936185837,NA,0.439482122659683,14.4369468092918,NA,14.6494040886561,0.66666667,0.5,0.6,0.5,1,0.66666667,0.4,1,0.2,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,-0.366050639128842,62.01148,38.30312,75.53473,80,53.64691,80,NA,NA,NA,80,51.35347,80,80,51.35266,80,-3.04898,-0.49638,70.68,99.76,86.18,92.22,145.02,140.74,NA,NA,NA,105.72,176.58,174.96,96.012,154.904,150.36,0.2,0.6,0.2,NA,92.0999984741211,81.5,93.5,NA,-6.08613204956055,-5.32087834676107,-9.16931343078613,NA,9.78240776062012,0.74517830212911,6.99716424942017,NA,0.252764463424683,0.444594878703356,0.039364367723465,NA,25.2764463424683,14.8198292901119,3.9364367723465,NA,0.5,0.66666667,0.6,0,1,0.66666667,0.6,28,0.2,0.6,0.2,NA,92.2970962524414,81.7302652994792,93.7824020385742,NA,-5.88928985595703,-4.94534333546956,-8.9171199798584,NA,8.48476028442383,-0.699276288350423,5.72646999359131,NA,0.252764463424683,0.444594878703356,0.039364367723465,NA,25.2764463424683,14.8198292901119,3.9364367723465,NA,0.5,0.66666667,0.6,0,1,0.66666667,0.6,2,79.2616577148438,26.610725402832,0,0,82.289,0,0,"2024-09-14",0
"Hector Neris",11804,"2024-09-10","OAK",21,2024,"HOU","H",35,0,1,0,1,0,0,0,0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0.666666666,1,0,0,0,0,3,2,0,0,0,5.15272908401489,0,0.25,1,0.25,-1,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.6501182634796,76.9288520456552,1,0,1,0,0,0,1,9,2,5,7,-0.309695988893509,-0.316801339387894,0.00710533373057842,-0.91700005531311,-0.0971913114190102,1.56194996833801,2.66939997673035,2.66939997673035,NA,0,1,-0.106517665088177,-0.0917575647023394,0,1,0.71428571,92.2,NA,NA,0.28571429,81,NA,0.172390356659889,NA,-0.463952869176865,3.44780713319778,NA,-23.1976434588432,0.25,1,0.57142857,1,1,1,0.42857143,0.5,0,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,1.36082251936522,20,41.03563,20,67.91781,63.41295,68.99218,NA,NA,NA,20,54.74717,20,42.31064,56.13399,37.93866,0.60312,4.98177,72.5,91.14,85.38,96.06,140.64,136.88,NA,NA,NA,86.02,73,70.04,84.86,101.593333333333,97.4333333333333,0.28571429,0.28571429,0.42857143,NA,91.9499969482422,80.5500030517578,92.3333333333333,NA,-8.15596199035645,-6.41827487945557,-10.6450856526693,NA,9.58025360107422,-0.44628494977951,7.13256581624349,NA,0.00431566312909126,-0.471209865063429,1.27425765991211,NA,0.215783156454563,-23.5604932531714,42.4752553304036,NA,0.25,1,0.57142857,1,1,1,0.42857143,23.66666667,0.28571429,0.28571429,0.42857143,NA,92.1643524169922,80.779052734375,92.5741678873698,NA,-7.20799016952515,-5.36608982086182,-10.0561294555664,NA,8.14498043060303,-2.60417461395264,5.67699686686198,NA,0.00431566312909126,-0.471209865063429,1.27425765991211,NA,0.215783156454563,-23.5604932531714,42.4752553304036,NA,0.25,1,0.57142857,1,1,1,0.42857143,4,91.9037475585938,0.463800609111786,0,0,91.9037,0,0,"2024-09-10",0
"Hector Neris",11804,"2024-09-08","ARI",21,2024,"HOU","H",35,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,1,9,0,18,1,0,0,2,1,1,0,0,0,0,0.2,0,0.2,2.84676908401489,0,0.4,2,0.5,0.5,1.1664797782898,7.8335202217102,2.67848818451166,226.753327126354,27.4284869896923,64.7888072114456,2,0.25,0.5,0.25,0,0,0,0,10,15,25,-0.0195279978215694,-0.0289880000054836,0.00946000218391418,-0.523000001907349,-0.0554319024085999,0.245519995689392,0.188999995589256,0.188999995589256,0.0557999983429909,1,1,-0.0632166191935539,-0.016320681899732,0,0,0.52,92.61538462,NA,NA,0.48,81.83333333,NA,-0.260664373636246,NA,-0.145894199609756,-2.00511056643266,NA,-1.21578499674797,0.25,0.55555556,0.36,0.75,1,0.88888889,0.36,0.6,0.04,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,2.57835322866976,44.47152,36.8053,49.99719,33.49959,33.8769,48.73856,NA,NA,NA,75.82059,58.83873,56.77638,55.95972,48.02065,50.32725,-0.24484,3.70983,83.28,90.38,74.02,81.64,95.18,83.18,NA,NA,NA,102.3,117.86,115.36,90.05375,101.735,91.52625,0.24,0.48,0.28,NA,92.5999959309896,81.8416646321615,92.3142874581473,NA,-6.47043482462565,-6.09828186035156,-8.59594345092773,NA,10.2474422454834,-0.668691873550415,10.0290222167969,NA,0.172905009239912,-0.14957644417882,-0.431818772107363,NA,2.88175015399853,-1.24647036815683,-6.16883960153375,NA,0.28571429,0.45454545,0.36,0.75,1,0.88888889,0.44,18.05,0.52,0.48,NA,NA,92.7257080078125,82.1022084554036,NA,NA,-6.83589759239784,-5.23555088043213,NA,NA,8.6604250394381,-2.72981643676758,NA,NA,-0.258913762867451,-0.14957644417882,NA,NA,-1.99164432974962,-1.24647036815683,NA,NA,0.28571429,0.45454545,0.36,0.75,1,0.88888889,0.44,4,88.7572937011719,11.465184211731,0,0,97.8744,1,0.25,"2024-09-08",0
