"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","piXX%","pivFA","pivSI","pivSL","pivXX","piFA-X","piSI-X","piSL-X","piXX-X","piFA-Z","piSI-Z","piSL-Z","piXX-Z","piwFA","piwSI","piwSL","piwXX","piwFA/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Ian Hamilton",19261,"2024-09-29","PIT",9,2024,"NYY","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0.5,0,2,0,0,0,1,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,26.4129717639571,27.173712862954,2,0,1,0,0,0,0,0,5,7,12,0.0745079964399338,-0.0367520190775394,0.111260019242764,0.49099999666214,0.0509865023195744,1.36280000209808,1.3400000333786,1.3400000333786,1.53839993476868,1,1,0.0313025303184986,0.0233701995943469,1,0,0.58333333,96.42857143,0.41666667,89.4,NA,0.838786423206329,-0.257887333631516,11.9826631886618,-5.15774667263031,0.16666667,0.66666667,0.41666667,0,0.75,0.6,0.5,0.33333333,0.16666667,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,-0.218445774099409,20,60.3209,20,57.50512,73.65174,49.53347,31.6454,34.56929,43.02568,32.71493,53.38925,29.59833,1.19927,5.876,76.7,36.28,31.94,107.56,137.06,139.12,138.92,71.36,93.6,112.911666666667,84.49,93.3583333333333,0.25,0.33333333,0.41666667,96.7000020345052,96.0250015258789,89.3199951171875,-5.70634460449219,-11.2202482223511,-0.817202758789062,8.56915791829427,4.1756796836853,1.68333740234375,-0.0847090892493725,0.937906321138144,-0.241259809583426,-2.82363630831242,23.4476580284536,-4.82519619166851,0.2,0.57142857,0.41666667,0,0.75,0.6,0.58333333,17.55555556,0.25,0.33333333,0.41666667,NA,96.604736328125,95.9620971679688,89.2468017578125,NA,-4.91433652242025,-10.6467876434326,0.211137413978577,NA,7.70385678609212,2.97037243843079,-0.0903588712215424,NA,-0.0847090892493725,0.937906321138144,-0.241259809583426,NA,-2.82363630831242,23.4476580284536,-4.82519619166851,NA,0.2,0.57142857,0.41666667,0,0.75,0.6,0.58333333,2,70.2907562255859,-15.5562505722046,0,0,76.047,0,0,"2024-09-29",0
"Ian Hamilton",19261,"2024-09-27","PIT",9,2024,"NYY","H",29,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.23178597293757,2.29606542354053,1,0,1,0,0,0,0,0,4,4,8,0.0408159866929054,0,0.0408159866929054,0.257999986410141,0.0267912745475769,0.816799998283386,0.488400012254715,0.97680002450943,1.53839993476868,1,1,0.0501350238919258,-0.000164423036532024,0,0,0.5,96,0.5,88,NA,0.443384528160095,0.0350132919847965,11.0846132040024,0.875332299619913,0.16666667,1,0.375,0,1,0.66666667,0.25,NA,0.125,0,1,0,0,1,0,1,0,1,0,0,1,0,-0.93507306901328,20,43.29562,20,20,65.64699,20,29.69422,35.69378,38.5084,20,41.34476,20,4.01191,10.09496,79.54,78,47.66,108.46,20.68,41.56,98.06,82.08,97.32,96.03,65.71,70.965,0.375,0.125,0.5,96.2666625976562,95.3000030517578,88.0250015258789,-5.8670597076416,-9.38124370574951,-0.0245616734027863,7.5210641225179,6.24642658233643,2.32312607765198,0.512319881469011,-0.0633736774325371,0.0350130535662174,17.0773293823004,-6.33736774325371,0.875326339155436,0.2,0.66666667,0.375,0,1,0.66666667,0.375,17.5,0.25,0.25,0.5,NA,96.4178009033203,95.2832489013672,87.7903289794922,NA,-3.58658003807068,-8.96948051452637,0.626670718193054,NA,6.45744037628174,6.17991495132446,1.03117501735687,NA,0.199157793074846,0.249788410961628,0.0350130535662174,NA,9.95788965374231,12.4894205480814,0.875326339155436,NA,0.2,0.66666667,0.375,0,1,0.66666667,0.375,1,89.3199691772461,8.23949432373047,0,0,89.32,0,0,"2024-09-27",0
"Ian Hamilton",19261,"2024-09-24","BAL",9,2024,"NYY","H",29,0,0,6.75000160932579,1,0,0,0,0,0,0,0,1.1,5,1,1,1,1,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,1,3,0,0,0,0,0,0.2,0,0.2,4.59096908401489,6.75000160932579,0.2,0.750000178813977,0,1,11.4164817452435,-4.66648013591775,5.06849914576575,167.490841698753,274.269398081174,124.246471224135,0.333333333,0,0.25,0.75,0,0.333333333,0,0,3,9,12,-0.08280398696661,-0.117679990828037,0.0348760038614273,-0.275999963283539,-0.0286604389548302,0.454719990491867,0.585399985313416,0.887199997901917,0.223600000143051,1,1,-0.031856544315815,-0.150242304861767,0,1,0.41666667,97,0.58333333,89.71428571,NA,0.520605146884918,-0.952967166900635,10.4121029376984,-13.6138166700091,0.4,0.85714286,0.66666667,0.5,0.66666667,0.625,0.58333333,0.6,0.25,2,1,1,0,3,1,4,0.5,0.25,0.25,0,0.75,0.25,9.75818996373295,34.1507,52.37598,43.42449,76.28766,58.3825,78.57303,51.16207,39.04563,63.2914,62.78707,48.13172,75.48687,-0.669,3.07359,76.84,43.94,21.22,92.48,138.2,138.94,105.24,104,117.34,98.62,110.395,116.53,0.08333333,0.33333333,0.58333333,97,97.1750030517578,89.7714320591518,-6.96717596054077,-9.70003795623779,0.0736296006611415,8.07393074035645,5.54767560958862,2.60685648236956,0.054773960262537,0.471819821745157,-0.948773887008429,5.4773960262537,11.7954955436289,-13.553912671549,0.4,0.85714286,0.66666667,0.5,0.66666667,0.625,0.58333333,17.14285714,0.08333333,0.33333333,0.58333333,NA,96.7815017700195,96.9465484619141,89.5294276646205,NA,-6.56934976577759,-9.62910747528076,0.411941187722342,NA,6.57697010040283,4.31223249435425,1.36802359989711,NA,0.054773960262537,0.471819821745157,-0.948773887008429,NA,5.4773960262537,11.7954955436289,-13.553912671549,NA,0.4,0.85714286,0.66666667,0.5,0.66666667,0.625,0.58333333,4,96.0156478881836,18.2751522064209,1,0.25,113.566,2,0.5,"2024-09-24",0
"Ian Hamilton",19261,"2024-09-22","@OAK",9,2024,"NYY","A",29,0,0,0,1,0,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,0,1,2,0,0,0,0,0,0,0,7.34739574882223,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,5.43449475334657,0,74.7751920086579,133.351552421855,0,0.666666666,0,0.333333333,0,0,1,13.500014081612,4,8,12,-0.0978800058364868,-0.212424010038376,0.114544004201889,-1.13999998569489,-0.124999992549419,2.17546677589417,1.24899995326996,2.49799990653992,1.4811999797821,1,1,-0.0647593215107918,0.0197666758307602,0,1,0.33333333,96.75,0.66666667,89.125,NA,-0.129184722900391,-0.0876763537526131,-3.22961807250977,-1.09595442190766,0.33333333,0.66666667,0.5,1,0.75,0.83333333,0.5,0.66666667,0.08333333,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,14.1991093613868,31.20841,53.12482,21.47805,20,69.32219,33.2618,60.20596,34.68895,68.30376,48.95255,45.50132,57.25734,0.19049,4.36283,79.5,106.34,96.04,113.2,19.7,46.72,116.28,113.2,123.1,109.636666666667,96.4733333333333,105.86,0.16666667,0.16666667,0.66666667,97.0500030517578,96.4499969482422,89,-5.70031642913818,-10.4710531234741,-1.10584247112274,8.55646324157715,4.00050640106201,2.30652332305908,-0.0984223820269108,-0.0338878780603409,-0.0432711020112038,-4.92111910134554,-1.69439390301704,-0.540888775140047,0.2,0.71428571,0.5,1,0.8,0.83333333,0.58333333,18.55555556,0.16666667,0.16666667,0.66666667,NA,97.3462982177734,96.720703125,89.2514724731445,NA,-4.58722496032715,-9.13183975219727,0.208288505673409,NA,7.45641994476318,2.58712482452393,0.583480656147003,NA,-0.0984223820269108,-0.0338878780603409,-0.0432711020112038,NA,-4.92111910134554,-1.69439390301704,-0.540888775140047,NA,0.2,0.71428571,0.5,1,0.8,0.83333333,0.58333333,3,98.4104614257812,18.9908091227214,0,0,110.183,2,0.66666667,"2024-09-22",0
"Ian Hamilton",19261,"2024-09-18","@SEA",9,2024,"NYY","A",29,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,0,1,0,0,0,0,0.66666667,0,0.66666667,-0.245715358213996,0,0.333333333333333,1,1,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-21.9492484807437,-22.5814263197472,0,1,0,0,0,0,0,0,2,8,10,0.418430030345917,-0.225409999489784,0.64384001493454,1.0349999666214,0.11754684150219,4.98320007324219,4.41079998016357,4.41079998016357,NA,0,1,0.0655099749565125,0.0184581628256168,1,0,0.3,98,0.7,89.42857143,NA,0.269417971372604,-0.200745701789856,8.98059904575348,-2.86779573985509,0.5,0.66666667,0.6,0,0.75,0.5,0.6,1,0.3,0,0,1,0,1,0,1,0,0,1,0,1,0,1.80562178810359,80,56.55121,80,80,79.50897,80,44.33907,56.20144,45.99049,66.85707,63.64278,70.35565,-0.92186,2.6943,122.88,102.4,109.88,116.3,172.14,194.96,123.18,94.04,112.22,122.432,103.522,120.026,0.2,0.1,0.7,98.25,97.3000030517578,89.2000034877232,-7.54584217071533,-10.1520481109619,-0.594996792929513,9.60849189758301,5.31758499145508,2.05842249734061,0.2144455909729,0.057969942688942,-0.439392782747746,10.722279548645,5.7969942688942,-6.27703975353922,0.33333333,0.71428571,0.6,0,0.6,0.5,0.7,23.42857143,0.2,0.1,0.7,NA,98.359001159668,97.4205017089844,89.2817993164062,NA,-6.92702484130859,-9.6522798538208,0.527389049530029,NA,8.34069061279297,4.1145601272583,0.354017462049212,NA,0.2144455909729,0.057969942688942,-0.439392782747746,NA,10.722279548645,5.7969942688942,-6.27703975353922,NA,0.33333333,0.71428571,0.6,0,0.6,0.5,0.7,1,78.3574447631836,19.9752445220947,0,0,78.3574,0,0,"2024-09-18",0
"Ian Hamilton",19261,"2024-09-15","BOS",9,2024,"NYY","H",29,0,0,0,1,0,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,2,27.000028163224,0,13.500014081612,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0.333333333333333,1.50000156462356,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-70.3116200627827,-72.3367211985741,1,0,1,0,0,0,0,0,2,8,10,0.0561800226569176,-0.0592680014669895,0.115448027849197,0.555000007152557,0.0576323978602886,1.55226671695709,1.45733332633972,1.70800006389618,2.35319995880127,1,1,0.0245626997202635,0.0116295487143659,0,0,0.4,97.5,0.6,88.66666667,NA,0.0066288635134697,0.0620433948934078,0.165721587836742,1.0340565815568,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,0.66666667,0.2,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.6035368972031,51.24037,52.26124,70.38954,80,80,80,68.01245,40.38452,78.49756,73.1966,49.76385,80,-1.31571,2.10353,86.26,85.56,78.34,116.48,158.78,174.5,127.68,129.8,149.36,114.134,119.426,130.568,0.3,0.1,0.6,97.5666707356771,97.1999969482422,88.4833374023438,-6.35197257995605,-11.1492757797241,0.189481298128764,8.30820592244466,5.27979755401611,1.96453094482422,-0.0332007221877575,0.039364367723465,0.0610656030476093,-1.10669073959192,3.9364367723465,1.01776005079349,0.6,0.4,0.5,0.66666667,0.5,0.6,0.5,18.57142857,0.3,0.1,0.6,NA,97.4069010416667,97.056999206543,88.3182983398438,NA,-5.89685694376628,-10.9118003845215,0.899915218353271,NA,7.14419301350911,4.31199979782104,0.410936037699382,NA,-0.0332007221877575,0.039364367723465,0.0610656030476093,NA,-1.10669073959192,3.9364367723465,1.01776005079349,NA,0.6,0.4,0.5,0.66666667,0.5,0.6,0.5,1,73.3558197021484,-15.1258010864258,0,0,73.3558,0,0,"2024-09-15",0
"Ian Hamilton",19261,"2024-09-12","BOS",9,2024,"NYY","H",29,0,0,0,1,0,0,0,0,0,0,0,1.2,5,0,0,0,0,0,0,0,0,0,3,16.2000061798119,0,0,3,0,0,1,1,0,0,0,0,0,0.6,0,0.6,0.0164890840148928,0,0,0,0,1,-0.433521595001745,0.433521595001745,0.473683794802767,0,-12.2768376395175,9.93863257114728,1,0,0.5,0.5,0,0,0,0,5,16,21,0.141548007726669,0,0.141548007726669,0.880999982357025,0.0914849415421486,1.13111996650696,1.43919992446899,1.3400000333786,0.775199949741364,1,1,0.125187009572983,-4.73144761067856e-05,1,0,0.28571429,97,0.71428571,88.26666667,NA,0.405519872903824,0.832691013813019,6.75866454839706,5.55127342542013,0.5625,0.4,0.52380952,0.22222222,0.5,0.27272727,0.23809524,0.8,0.38095238,1,0,1,2,0,0,2,0.5,0,0.5,1,0,0,-1.41543384823584,20.65888,61.59099,20,80,61.1523,80,44.66985,41.73499,42.3152,56.13955,50.96487,51.68623,-0.25602,3.69306,110.56,49.18,50.4,101.98,187.48,202.08,129.8,82.7,98.2,122.668571428571,99.4657142857143,113.434285714286,0.0952381,0.19047619,0.71428571,97.3499984741211,96.6999969482422,88.2199951171875,-6.07105350494385,-9.84478187561035,0.398120880126953,9.52162742614746,4.60347604751587,2.26323216756185,-0.0350487045943737,0.44614851847291,0.841349799185991,-1.75243522971869,11.1537129618227,5.60899866123994,0.61538462,0.375,0.52380952,0.125,0.66666667,0.27272727,0.38095238,16,0.0952381,0.19047619,0.71428571,NA,97.3297500610352,96.6603469848633,88.1915690104167,NA,-5.58491516113281,-9.45905685424805,1.11095021565755,NA,8.37436485290527,3.42399001121521,0.925160217285156,NA,-0.0350487045943737,0.44614851847291,0.841349799185991,NA,-1.75243522971869,11.1537129618227,5.60899866123994,NA,0.61538462,0.375,0.52380952,0.125,0.66666667,0.27272727,0.38095238,2,61.8883514404297,17.725959777832,0,0,79.4043,0,0,"2024-09-12",0
"Ian Hamilton",19261,"2024-09-09","KCR",9,2024,"NYY","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,26.4129717639571,64.7888072114456,1,0,0.5,0.5,0,0,0,0,6,9,15,0.00240400084294379,0,0.00240400084294379,0.49099999666214,0.0509864985942841,0.0322666689753532,0.068400003015995,0.068400003015995,NA,0,1,0.0474388524889946,0.027065300535914,0,0,0.4,97.83333333,0.6,88.77777778,NA,-0.0261831842362881,0.754404246807098,-0.436386403938134,8.38226940896776,0.4,0.4,0.4,0.5,1,0.66666667,0.33333333,0.66666667,0.13333333,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,-0.37167653138608,46.26253,53.63804,41.7429,20,56.82609,20,77.22069,44.89011,79.9889,57.25706,50.92909,56.11289,-0.32544,3.58893,93.84,102.08,87.68,109.92,33.08,15.66,121.44,125.58,149.4,112.544,106.98,115.109333333333,0.26666667,0.13333333,0.6,97.5999984741211,97.75,88.9000040690104,-6.94017362594604,-11.0978240966797,-0.308482090632121,8.99950790405273,4.84501934051514,2.66339323255751,0.0318170711398125,-0.0591252744197845,0.764031905680895,0.795426778495312,-2.95626372098923,8.48924339645439,0.4,0.4,0.4,0.5,1,0.66666667,0.33333333,17.75,0.26666667,0.13333333,0.6,NA,97.52587890625,97.6828002929688,88.8193359375,NA,-6.3015251159668,-10.4990005493164,0.550507545471191,NA,7.86054515838623,4.08384037017822,1.22841421763102,NA,0.0318170711398125,-0.0591252744197845,0.764031905680895,NA,0.795426778495312,-2.95626372098923,8.48924339645439,NA,0.4,0.4,0.4,0.5,1,0.66666667,0.33333333,2,91.2913818359375,17.9908390045166,0,0,107.598,1,0.5,"2024-09-09",0
"Ian Hamilton",19261,"2024-06-16","@BOS",9,2024,"NYY","A",29,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,4,3,2,2,0,1,0,0,0,0,0,0,27.000028163224,81.0000844896721,0,0,0,1,1,1,0,0,0,0,0,0.25,-0.25,9.77622908401489,0,1,12.0000125169885,1,0.5,12.1664891660311,41.8335671604169,16.7025191161447,1339.92781178021,292.405410115819,413.672612664399,1,0.333333333,0.333333333,0.333333333,0,0,0,0,8,12,20,-0.0084239961579442,-0.00870799273252487,0.000283997069345787,-1.41100001335144,-0.135934486985207,0.0519999973475933,0.058399997651577,0.058399997651577,0.0483999997377396,1,1,-0.1358772367239,-0.0261226976536754,0,0,0.55,95.63636364,0.45,87.66666667,NA,-0.820339322090149,-0.885445535182953,-7.45763020081954,-9.83828372425503,0.16666667,0.875,0.45,0.5,0.85714286,0.77777778,0.4,0.25,0.1,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,10.3431930109486,20,67.92064,20,20,64.46239,20,43.47781,43.82833,47.35541,24.41286,57.61341,20.62728,1.71505,6.64967,95.86,33.7,33.74,95.02,81,90.26,106.3,87.5,98.84,100.432,65.005,71.513,0.4,0.15,0.45,95.9124984741211,95.2999979654948,87.4666680230035,-8.05735683441162,-10.419402440389,-0.528646469116211,10.4375152587891,5.36165936787923,3.16631359524197,-0.215421959757805,-0.621210541576147,-0.898992422968149,-2.69277449697256,-20.7070180525382,-9.9888046996461,0.2,0.7,0.45,0.5,0.85714286,0.77777778,0.5,21.3125,0.4,0.15,0.45,NA,95.8711395263672,95.2487589518229,87.4046969943576,NA,-7.15985774993896,-10.0504760742188,0.323567178514269,NA,8.99990272521973,3.97004000345866,1.72502930959066,NA,-0.215421959757805,-0.621210541576147,-0.898992422968149,NA,-2.69277449697256,-20.7070180525382,-9.9888046996461,NA,0.2,0.7,0.45,0.5,0.85714286,0.77777778,0.5,3,80.8211466471354,15.4478454589844,0,0,91.5162,0,0,"2024-06-16",0
"Ian Hamilton",19261,"2024-06-12","@KCR",9,2024,"NYY","A",29,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,8,3,3,3,0,1,0,0,0,0,2,13.5000032186516,6.75000160932579,20.2500048279774,2,0,0,2,1,2,0,0,0,0,0.25,0.125,0.125,3.94460408401489,0,0.428571428571429,3.00000071525591,0.6,0.25,2.41647959947582,17.8335252285016,3.55048617451045,502.472525096258,56.6393550929746,86.4819978911584,2,0.4,0.4,0.2,0,0,3,20.2500048279774,10,19,29,0.00915399938821793,-0.0223220009356737,0.0314759984612465,-0.974000036716461,-0.0953499674797058,0.25670000910759,0.195266664028168,0.493399977684021,0.102399997413158,1,1,-0.0752377063035965,0.110898006511772,0,0,0.65517241,96.42105263,0.34482759,89,NA,-1.08150112628937,0.152058482170105,-5.69211119099667,1.52058482170105,0.21428571,0.66666667,0.44827586,0.33333333,0.8,0.69230769,0.51724138,0.625,0.13793103,1,2,2,0,3,2,5,0.2,0.4,0.4,0,0.6,0.4,5.06568472699472,43.8293,46.93436,44.53121,42.50719,39.46158,50.10438,40.87213,40.2927,43.38935,42.289,40.47152,46.94123,0.60447,4.9838,87.08,79.52,56.3,91.04,95.86,96.42,128.94,70.2,82.64,102.333793103448,79.6868965517241,73.6834482758621,0.44827586,0.20689655,0.34482759,96.7846116286058,95.6500040690104,88.9200012207031,-6.67029336782602,-9.23310279846191,0.93626070022583,8.6596914438101,5.80456924438477,2.73671722412109,-0.864873945713043,-0.230021193623543,0.151062708348036,-6.65287650548495,-3.83368656039238,1.51062708348036,0,0.68421053,0.44827586,NA,0.61538462,0.61538462,0.65517241,17.38095238,0.44827586,0.20689655,0.34482759,NA,96.6260986328125,95.4783935546875,88.7552734375,NA,-6.16284825251653,-8.78932189941406,1.92366733551025,NA,7.74840369591346,4.82774353027344,1.5144359588623,NA,-0.864873945713043,-0.230021193623543,0.151062708348036,NA,-6.65287650548495,-3.83368656039238,1.51062708348036,NA,0,0.68421053,0.44827586,NA,0.61538462,0.61538462,0.65517241,5,97.3514038085937,10.5583351135254,0,0,106.038,4,0.8,"2024-06-12",0
