"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jason Adam",11861,"2024-09-27","@ARI",29,2024,"SDP","A",32,0,0,0,1,0,0,0,0,0,1,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,4,0,0,0,0,0,0,0.2,0,0.2,-0.865430915985108,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,1.66647942066184,0,42.3262899696752,42.0611643485404,4,0,1,0,0,0,0,0,5,12,17,0.141259998083115,-0.0263199992477894,0.167580008506775,0.837999999523163,0.084646463394165,1.36400008201599,1.74133336544037,1.76800000667572,1.86000001430511,1,1,0.0669868737459183,0.0365761684749681,1,0,0.23529412,95.75,0.58823529,79.1,0.17647059,88.66666667,NA,0.0350132994353771,-0.146804377436638,0.550406455993652,0.875332485884428,-1.46804377436638,18.3468818664551,0.5,0.8,0.58823529,0.5,0.5,0.5,0.29411765,0.8,0.29411765,3,1,0,0,3,1,4,0.75,0.25,0,0,0.75,0.25,0.37491937423801,61.01014,70.58825,52.94877,43.91005,47.51686,41.41083,41.86582,49.38723,49.63949,45.16077,58.04755,47.28303,0.42605,4.71617,82.2,129.38,136.02,95.86,118.94,96.7,118.724,101.144,107.032,106.898823529412,110.314117647059,109.716470588235,0.23529412,0.58823529,0.17647059,95.625,78.9,88.6333312988281,-3.83351016044617,7.15623016357422,-7.01008605957031,10.5370512008667,-2.30655326843262,2.5611473719279,0.0350130535662174,-0.162816230207682,0.558675348758698,0.875326339155436,-1.62816230207682,18.6225116252899,0.55555556,0.625,0.58823529,0.4,0.6,0.5,0.47058824,19.75,0.17647059,0.23529412,0.58823529,88.3082682291667,95.3476257324219,78.5947021484375,-7.07417678833008,-3.93705749511719,7.59936218261719,1.09080235163371,9.58462238311768,-4.26845092773438,0.558675348758698,0.0350130535662174,-0.162816230207682,18.6225116252899,0.875326339155436,-1.62816230207682,0.55555556,0.625,0.58823529,0.4,0.6,0.5,0.47058824,4,83.1511611938477,-4.34705305099487,0,0,96.8824,1,0.25,"2024-09-27",0
"Jason Adam",11861,"2024-09-24","@LAD",29,2024,"SDP","A",32,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,2,0,0,0,0,0,0,0,8.41372908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,78.8033710472314,151.387312822842,0,0.5,0,0.5,0,0,0,0,5,10,15,0.048020001500845,-0.0175000000745058,0.0655200034379959,0.477999985218048,0.0505820102989674,0.696999967098236,1.00599992275238,1.00599992275238,0.86599999666214,1,1,0.0180237498134375,0.0508715210152869,0,0,0.26666667,95.75,0.46666667,79,0.26666667,89,NA,0.29143875837326,-0.708904623985291,0.408812314271927,7.28596895933151,-10.1272089140756,10.2203078567982,0.44444444,0.83333333,0.6,0.75,1,0.88888889,0.4,0.5,0.06666667,3,0,1,0,2,2,4,0.75,0,0.25,0,0.5,0.5,8.69186308677057,63.67836,71.29431,52.94466,66.27188,59.25712,61.53628,36.37505,49.41268,28.20065,52.41215,63.77356,40.60662,-0.02445,4.04042,107.76,140.96,171.96,93.8,110.64,114.7,114.722857142857,83.4685714285714,86.7542857142857,107.286666666667,106.045333333333,116.928,0.26666667,0.46666667,0.26666667,95.4749984741211,79.028573172433,88.9749984741211,-4.2922043800354,6.53744288853237,-8.24033164978027,10.9030494689941,-2.47006743294852,2.84473133087158,0.294334884732962,-0.674611020833254,0.415247689932585,7.35837211832404,-9.63730029761791,10.3811922483146,0.375,0.85714286,0.6,0.66666667,1,0.88888889,0.46666667,22,0.26666667,0.26666667,0.46666667,88.8296051025391,95.3541030883789,78.9049246651786,-7.99500274658203,-3.75165247917175,7.41733006068638,1.37749099731445,9.7322473526001,-4.50706999642508,0.415247689932585,0.294334884732962,-0.674611020833254,10.3811922483146,7.35837211832404,-9.63730029761791,0.44444444,0.83333333,0.6,0.75,1,0.88888889,0.4,4,91.9452896118164,29.1262283325195,0,0,103.973,2,0.5,"2024-09-24",0
"Jason Adam",11861,"2024-09-21","CHW",29,2024,"SDP","H",32,0,0,27.000028163224,1,0,0,0,0,0,1,0,0.1,5,1,1,1,0,2,0,1,0,0,0,0,54.0000563264481,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0.4,-0.4,13.2447290840149,0,0.5,9.00000938774135,0.5,0.75,30.1665079415138,-3.16647977828979,30.1665079415138,682.413619741727,735.391358775235,730.784976053949,1,0.5,0.5,0,0,0,0,0,12,12,24,-0.246750012040138,-0.275002002716064,0.0282519869506359,-2.05700016021729,-0.224440827965736,2.24476003646851,0.809800028800964,0.809800028800964,5.41580009460449,1,1,-0.135647669434547,0.0257250015184126,0,1,0.25,95.5,0.54166667,80.84615385,0.20833333,88.4,NA,-0.427358835935593,-0.571589291095734,-0.224225029349327,-7.12264726559321,-4.39684070073641,-4.48450058698654,0.33333333,0.5,0.375,0.5,1,0.66666667,0.25,0.8,0.125,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,31.4131090600638,20,80,20,58.63771,65.68512,66.68335,22.28855,47.79593,40.18579,20,67.36769,25.21352,2.11575,7.25072,128.78,-42.9,-13.8,132.32,81.18,103.5,127.598461538462,79.2323076923077,91.6276923076923,129.025,54.275,72.6316666666667,0.25,0.54166667,0.20833333,95.5166625976562,80.8846153846154,88.1799987792969,-2.97583961486816,5.40816791240986,-7.01295623779297,11.8016306559245,-2.19088348975548,1.73216991424561,-0.434286862611771,-0.587822549045086,-0.229550685733557,-7.23811437686284,-4.52171191573143,-4.59101371467113,0.3125,0.5,0.375,0.6,0.75,0.66666667,0.33333333,21.61111111,0.20833333,0.25,0.54166667,88.2216613769531,95.569834391276,80.8998647836538,-6.79547805786133,-2.40477498372396,6.45326056847206,0.333519792556763,10.7013994852702,-3.74422396146334,-0.229550685733557,-0.434286862611771,-0.587822549045086,-4.59101371467113,-7.23811437686284,-4.52171191573143,0.29411765,0.57142857,0.375,0.6,0.75,0.66666667,0.29166667,2,77.172721862793,-23.973804473877,0,0,97.6725,1,0.5,"2024-09-21",0
"Jason Adam",11861,"2024-09-20","CHW",29,2024,"SDP","H",32,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,30.1672745395749,103.055865631376,0,0,0,1,0,0,0,0,4,8,12,0.0655639842152596,0,0.0655639842152596,0.457000017166138,0.0498636141419411,0.88506668806076,1.30099999904633,1.30099999904633,1.38760006427765,1,1,0.0743369683623314,-0.000258952434611229,1,0,0.5,94.5,0.41666667,79.2,0.08333333,89,NA,0.253696948289871,0.286134511232376,0.214809954166412,4.22828247149785,5.72269022464752,21.4809954166412,0.33333333,0.33333333,0.33333333,1,1,1,0.5,0.66666667,0,0,2,0,0,2,0,2,0,1,0,0,1,0,-0.494388924701253,34.27155,39.05443,49.77742,39.10737,56.32167,20,80,40.87712,80,59.80446,48.62742,54.08703,-0.4837,3.35154,112.92,75.28,80.9,96.78,92.06,89.82,114.82,132.864,140,105.641666666667,107.663333333333,109.985,0.5,0.41666667,0.08333333,94.4666646321615,79.1200012207031,89.4000015258789,-3.96083482106527,6.68406600952148,-7.83041000366211,10.2214476267497,-2.32509174346924,3.30211853981018,0.256212957203388,0.289427507668734,0.217751413583755,4.2702159533898,5.78855015337467,21.7751413583755,0.4,0.28571429,0.33333333,1,1,1,0.58333333,18.22222222,0.08333333,0.5,0.41666667,89.2899017333984,94.3840535481771,79.0118774414063,-7.36239004135132,-3.43918323516846,7.31613616943359,1.95173001289368,9.48966153462728,-3.48926582336426,0.217751413583755,0.256212957203388,0.289427507668734,21.7751413583755,4.2702159533898,5.78855015337467,0.25,0.375,0.33333333,1,1,1,0.66666667,2,89.461181640625,37.7973480224609,0,0,92.2947,0,0,"2024-09-20",0
"Jason Adam",11861,"2024-09-17","HOU",29,2024,"SDP","H",32,0,0,9,1,0,0,0,0,0,0,0,1,6,1,1,1,0,2,1,0,1,1,2,18,18,9,1,0,0,0,1,1,0,0,0,0,0.33333333,0.33333333,0,7.10122907962273,0,0.25,3,0.5,0.66666667,5.1664797782898,3.8335202217102,6.67848818451166,227.470969309617,127.439467554888,163.179982795125,0,0.5,0,0.5,0,0,1,9,9,13,22,-0.213949978351593,-0.45280796289444,0.238857984542847,-0.542999982833862,-0.0592471398413181,3.21442222595215,1.82660007476807,1.82660007476807,2.25760006904602,1,1,-0.0667602643370628,0.000200875646854726,0,1,0.18181818,96,0.54545455,82.83333333,0.27272727,89.16666667,0.09090909,0.00218633562326431,0.166831970214844,-0.423606008291245,0.0546583905816078,1.39026641845703,-7.06010013818741,0.4,0.71428571,0.5,0.16666667,0.8,0.45454545,0.31818182,0.83333333,0.27272727,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,6.75074316599809,51.26372,71.36703,42.16555,67.38307,61.07954,63.26115,20,55.96894,20,29.12274,68.92245,26.22532,1.42244,6.21075,114.98,40.38,50.62,115.08,105.32,109.04,128.035,46.035,63.645,122.119090909091,55.2718181818182,68.3463636363636,0.18181818,0.54545455,0.27272727,96.125,82.7250010172526,88.8666687011719,-4.32815933227539,2.57044569651286,-9.28603871663412,11.2152643203735,-2.16696389516195,2.39119911193848,0.00187428668141365,0.141398005187511,-0.427297554910183,0.0468571670353413,1.17831670989593,-7.12162591516972,0.35714286,0.75,0.5,0.2,0.66666667,0.45454545,0.36363636,21.93333333,0.27272727,0.18181818,0.54545455,88.7954508463542,96.0934753417969,82.6664276123047,-8.91578483581543,-3.8099799156189,3.52985795338949,0.954532305399577,10.194522857666,-3.80040995279948,-0.427297554910183,0.00187428668141365,0.141398005187511,-7.12162591516972,0.0468571670353413,1.17831670989593,0.35714286,0.75,0.5,0.2,0.66666667,0.45454545,0.36363636,2,103.368392944336,30.0935726165771,0,0,112.725,1,0.5,"2024-09-17",0
"Jason Adam",11861,"2024-09-16","HOU",29,2024,"SDP","H",32,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,78.8033710472314,151.387312822842,1,0,0.5,0.5,0,0,0,0,5,6,11,0.0655639842152596,-0.0186759736388922,0.0842399597167969,0.457000017166138,0.0498636141419411,0.94350004196167,1.30099999904633,1.30099999904633,1.38760006427765,1,1,0.0387876629829407,0.0307025132749668,1,0,0.45454545,94.6,0.09090909,84,0.45454545,88.4,NA,0.463433116674423,-0.0344077162444592,-0.218984559178352,9.26866233348846,-3.44077162444592,-4.37969118356705,0.28571429,1,0.54545455,0.5,1,0.83333333,0.36363636,0.5,0.09090909,1,1,2,0,3,1,4,0.25,0.25,0.5,0,0.75,0.25,1.03188145224671,80,80,80,31.68628,57.38967,32.48294,75.56756,46.36747,69.85236,79.23522,80,71.6081,-1.69086,1.5408,94.12,156.28,176.1,92.38,72.28,66.3,84.78,112.12,109.16,92.48,114.083636363636,120.105454545455,0.45454545,0.09090909,0.45454545,94.4,83.5,88.4200012207031,-4.42509994506836,0.146944999694824,-10.8671432495117,11.0504196166992,-1.73132050037384,2.00814933776855,0.468790207058191,-0.0350487045943737,-0.222707506269217,9.37580414116383,-3.50487045943737,-4.45415012538433,0.16666667,1,0.54545455,1,0.8,0.83333333,0.45454545,22.28571429,0.45454545,0.45454545,0.09090909,88.3077575683594,94.2845581054687,83.3455963134766,-10.5937316894531,-3.79084205627441,0.860189974308014,0.368469166755676,10.017822265625,-3.63404989242554,-0.222707506269217,0.468790207058191,-0.0350487045943737,-4.45415012538433,9.37580414116383,-3.50487045943737,0.16666667,1,0.54545455,1,0.8,0.83333333,0.45454545,4,80.5861129760742,13.6594638824463,0,0,98.7831,1,0.25,"2024-09-16",0
"Jason Adam",11861,"2024-09-15","@SFG",29,2024,"SDP","A",32,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1672745395749,66.5170884121943,1,0,0.5,0.5,0,0,0,0,4,7,11,0.137030005455017,0,0.137030005455017,0.474000006914139,0.0503987222909927,1.83393335342407,2.46160006523132,2.46160006523132,3.396399974823,1,1,0.074788510799408,-6.9325830568609e-05,1,0,0.45454545,95.6,0.09090909,77,0.45454545,89,NA,0.548422634601593,-0.0344077162444592,0.214206129312515,10.9684526920319,-3.44077162444592,4.28412258625031,0.42857143,1,0.63636364,0.66666667,0.75,0.71428571,0.36363636,0.33333333,0.18181818,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.354454678742725,34.2788,57.39467,23.45178,70.82949,57.38339,53.94679,20,58.88987,20,36.27355,59.85963,20,0.97818,5.54436,106.46,79.86,85.16,87.08,115.48,107.3,102.36,7.02,17.08,97.2781818181818,89.4290909090909,89.0345454545455,0.45454545,0.09090909,0.45454545,95.5,76.8000030517578,88.8400024414063,-3.28786430358887,10.6919002532959,-8.62671051025391,10.1744613647461,-0.494527995586395,2.1682825088501,0.55518477037549,-0.0350487045943737,0.21658768132329,11.1036954075098,-3.50487045943737,4.3317536264658,0.42857143,1,0.63636364,0.66666667,0.75,0.71428571,0.36363636,20,0.45454545,0.45454545,0.09090909,88.9305786132813,95.5967590332031,76.8628005981445,-8.56932983398437,-3.27862205505371,10.5571002960205,0.490790605545044,9.29375610351562,-1.59609997272491,0.21658768132329,0.55518477037549,-0.0350487045943737,4.3317536264658,11.1036954075098,-3.50487045943737,0.42857143,1,0.63636364,0.66666667,0.75,0.71428571,0.36363636,2,82.2461700439453,9.57185173034668,0,0,97.1238,1,0.5,"2024-09-15",0
"Jason Adam",11861,"2024-09-13","@SFG",29,2024,"SDP","A",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.8033710472314,114.84853560366,0,0.666666666,0,0.333333333,1,0,1,9,3,7,10,0.0255080014467239,0,0.0255080014467239,0.474000006914139,0.0503987222909927,0.339066684246063,0.558600008487701,0.558600008487701,0.181600004434586,1,1,0.075658492743969,-0.000428449121598243,0,0,0.7,95.14285714,0.3,83.33333333,NA,NA,NA,0.578456163406372,0.212629243731499,NA,8.26365947723389,7.08764145771662,NA,0.42857143,1,0.6,0.66666667,1,0.83333333,0.3,0.66666667,0.1,1,2,0,1,0,2,3,0.33333333,0.66666667,0,0.33333333,0,0.66666667,10.8223837653212,NA,NA,NA,57.69468,63.79171,31.33483,29.79379,44.9278,23.60148,50.02806,57.15448,25.39881,0.12367,4.2626,NA,NA,NA,94.9,118.24,121.98,112.22,78.52,95.82,100.096,106.324,114.132,0.7,0.3,NA,95.2857142857143,83.2666625976562,NA,-3.00201552254813,1.29820688565572,NA,11.1321476527623,-1.82591613133748,NA,0.62783682346344,0.214879665523767,NA,8.96909747804914,7.16265551745892,NA,0.42857143,1,0.6,0.66666667,1,0.83333333,0.3,19.57142857,NA,0.7,0.3,NA,95.3512747628348,83.3147989908854,NA,-2.91755867004395,1.30977233250936,NA,10.1115286690848,-3.25374317169189,NA,0.62783682346344,0.214879665523767,NA,8.96909747804914,7.16265551745892,0.42857143,1,0.6,0.66666667,1,0.83333333,0.3,3,94.8591105143229,32.5658086140951,0,0,102.327,1,0.33333333,"2024-09-13",0
"Jason Adam",11861,"2024-09-10","@SEA",29,2024,"SDP","A",32,0,0,0,1,0,0,0,0,0,1,0,1.1,5,0,0,0,0,2,0,0,0,0,1,6.75000160932579,13.5000032186516,0,0.5,0,0,1,0,1,0,0,0,0,0.2,0.4,-0.2,10.3902890840149,0,0,1.50000035762795,0,1,6.1664804935457,-6.1664804935457,6.1664804935457,0,151.757533202344,150.806946456352,1,0.5,0.5,0,0,0,0,0,13,15,28,0.122602000832558,-0.017705999314785,0.140308007597923,1.51699995994568,0.172288462519646,0.805720031261444,1.27633333206177,2.84540009498596,0.821799993515015,1,1,0.00193544337525964,0.150229075410019,1,0,0.35714286,95.3,0.32142857,81.66666667,0.32142857,89,NA,-0.261409878730774,0.149530440568924,0.826539158821106,-2.61409878730774,1.66144933965471,9.18376843134562,0.17647059,0.63636364,0.35714286,0.66666667,0.42857143,0.5,0.39285714,0.8,0.17857143,2,0,0,0,0,2,2,1,0,0,0,0,1,11.5789304466911,43.80878,74.63089,31.10179,36.48816,62.1738,20,75.64035,48.65891,80,48.13072,67.13104,33.96949,0.24154,4.4394,115.82,40.78,56.2,120.26,62.62,81.48,112.324444444444,125.92,137.084444444444,116.282142857143,75.9464285714286,91.2271428571429,0.35714286,0.32142857,0.32142857,95.1299987792969,81.7444458007812,88.8555569118924,-4.42343940734863,4.8256098429362,-8.83103603786892,11.6305419921875,-1.29530588785807,2.45276811387804,-0.269128624349833,0.150662127882242,0.837382916361094,-2.69128624349833,1.67402364313602,9.30425462623437,0.25,0.5,0.35714286,0.5,0.5,0.5,0.42857143,20.2173913,0.32142857,0.35714286,0.32142857,89.1297336154514,95.4144714355469,82.0191989474826,-8.67928314208984,-3.90763778686523,5.30178112453885,0.769387827979194,10.4759521484375,-2.8060237036811,0.837382916361094,-0.269128624349833,0.150662127882242,9.30425462623437,-2.69128624349833,1.67402364313602,0.15384615,0.53333333,0.35714286,0.5,0.5,0.5,0.53571429,2,101.857894897461,-4.29791212081909,0,0,103.476,2,1,"2024-09-10",0
"Jason Adam",11861,"2024-09-08","SFG",29,2024,"SDP","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.4688219680816,18.1856412207288,0,0,0,1,0,0,2,18,3,9,12,0.0125820031389594,0,0.0125820031389594,0.457000017166138,0.0498636141419411,0.168066665530205,0.220999985933304,0.220999985933304,0.597599983215332,1,1,0.0749288499355316,-6.56812086065051e-05,0,0,0.33333333,96,0.5,83.33333333,0.16666667,89,NA,0.256614834070206,0.458533436059952,0.0673001259565353,6.41537085175514,7.64222393433253,3.36500629782677,0.625,0.75,0.66666667,0.6,0.66666667,0.625,0.33333333,0.66666667,0.25,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.63901599697176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.7,125.24,213,147.32,29.3,102.3,158.346666666667,98.7366666666667,138.023333333333,155.063333333333,80.0083333333333,138.611666666667,0.33333333,0.5,0.16666667,96.2249984741211,83.3833312988281,89.1499938964844,-3.68920826911926,1.95144605636597,-9.85058212280273,10.8805751800537,-2.35505549112956,2.10902690887451,0.259216267615557,0.463773537427187,0.0682137757539749,6.48040669038892,7.72955895711978,3.41068878769875,0.5,0.83333333,0.66666667,0.66666667,0.6,0.625,0.5,21.22222222,0.16666667,0.33333333,0.5,88.9988479614258,96.0903015136719,83.2013651529948,-9.78891944885254,-3.00395488739014,2.66249656677246,0.817005515098572,9.72786712646484,-3.84226322174072,0.0682137757539749,0.259216267615557,0.463773537427187,3.41068878769875,6.48040669038892,7.72955895711978,0.5,0.83333333,0.66666667,0.66666667,0.6,0.625,0.5,1,90.4708557128906,43.8204917907715,0,0,90.4709,0,0,"2024-09-08",0
