"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jesus Tinoco",16300,"2024-09-26","@MIN",20,2024,"MIA","A",29,0,0,5.40000205993731,1,0,0,0,0,0,0,1,1.2,9,3,1,1,0,1,1,0,0,0,1,5.40000205993731,5.40000205993731,16.2000061798119,1,0.2,0,5,1,1,0,1,0,0,0.11111111,0.11111111,0,4.1323587156646,0,0.375,2.40000091552769,0.428571428571429,0.75,3.76648000717172,1.63352205276559,4.67368539697623,127.871241094188,92.7787164790939,114.732472767589,5,0.142857142,0.714285714,0.142857142,0,0,1,5.40000205993731,15,24,39,-0.19896399974823,-0.611699998378754,0.412735998630524,-1.00699996948242,-0.105555564165115,3.325040102005,2.26426672935486,2.30640006065369,4.36119985580444,1,1,-0.0918757915496826,0.03203771632519,0,1,0.38461538,96.73333333,0.53846154,86.95238095,NA,NA,0.07692308,90,0.1025641,-0.651650309562683,0.0565005578100681,NA,0.140286445617676,-4.34433539708455,0.269050275286039,NA,4.67621485392253,0.25,0.78947368,0.51282051,0.6,0.93333333,0.85,0.48717949,0.33333333,0.07692308,3,2,2,2,2,3,7,0.42857143,0.28571429,0.28571429,0.28571429,0.28571429,0.42857143,3.613072785529,47.04854,41.44231,43.9937,30.949,71.56544,20,53.75064,41.26357,39.76762,54.91572,57.76955,53.57276,NA,NA,NA,55.23572,55.43691,46.09411,-0.19986,3.7773,98.14,73.52,73.68,143.86,58.7,71.62,108.68,133.26,147.64,117.04,116.36,138.52,NA,NA,NA,114.174871794872,115.741025641026,133.141538461538,0.05128205,NA,0.33333333,0.53846154,0.07692308,97.5,NA,96.5,86.8619035993304,90.2000020345052,-5.38504219055176,NA,-9.51971259483924,3.43140702020554,-8.91950480143229,7.91600942611694,NA,3.92733119084285,1.80710710797991,2.54753176371256,-0.179591864347458,NA,-0.483674924820662,0.0600169263780117,0.14161266759038,-8.97959321737289,NA,-3.72057634477432,0.285794887514341,4.72042225301266,0.27777778,0.71428571,0.51282051,0.6,0.93333333,0.85,0.53846154,18.25806452,0.07692308,0.05128205,NA,0.33333333,0.53846154,90.1930643717448,97.4601516723633,NA,96.5162729116587,86.8511904761905,-8.17662620544434,-5.00446510314941,NA,-9.46236713115985,3.89031764439174,1.16885431607564,7.1052303314209,NA,2.92663310124324,0.8106872013637,0.14161266759038,-0.179591864347458,NA,-0.483674924820662,0.0600169263780117,4.72042225301266,-8.97959321737289,NA,-3.72057634477432,0.285794887514341,0.23529412,0.72727273,0.51282051,0.5,0.9375,0.85,0.56410256,7,75.6432407924107,-14.4812371390206,1,0.14285714,103.562,3,0.42857143,"2024-09-26",0
"Jesus Tinoco",16300,"2024-09-24","@MIN",20,2024,"MIA","A",29,0,0,0,1,0,0,0,0,1,0,0,1.2,5,0,0,0,0,0,0,0,0,0,1,5.40000205993731,0,0,1,0,0,0,4,0,1,0,0,0,0.2,0,0.2,7.45936908401489,0,0,0,0,1,1.96647932052595,-1.96647932052595,5.595300879744,0,49.2946836924891,137.003977785703,0,0,0,1,0.25,0,0,0,8,11,19,0.146696001291275,0,0.146696001291275,1.37699997425079,0.144339621067047,1.21912002563477,1.48880004882812,2.70799994468689,NA,0,1,0.124164551496506,-0.00383513502670897,1,0,0.36842105,96,0.42105263,85.625,NA,NA,0.21052632,89.75,NA,0.982078433036804,0.345696419477463,NA,-0.038432139903307,14.0296919005258,4.32120524346828,NA,-0.960803497582674,0.1,0.77777778,0.42105263,0,0.85714286,0.75,0.47368421,0.4,0.10526316,0,1,3,2,2,0,4,0,0.25,0.75,0.5,0.5,0,-0.647742025911013,20,52.16203,20,30.31891,46.04521,23.72044,80,49.95166,80,45.73864,52.02025,42.33989,NA,NA,NA,38.86076,53.24865,32.93158,0.81745,5.30327,81.32,79.28,65.38,85.8,101.3,84.28,71.26,206.12,203.66,108.38,73.48,90.06,NA,NA,NA,92.0684210526316,101.501052631579,101.584210526316,0.21052632,NA,0.15789474,0.42105263,0.21052632,96.5,NA,95.3333333333333,85.7249984741211,89.9000015258789,-6.87094831466675,NA,-9.79999669392904,2.88787221908569,-10.1014547348022,7.2730598449707,NA,4.01784006754557,2.51220273971558,2.90438222885132,-0.0440064929425716,NA,1.02222681045532,0.330266907811165,-0.03956638276577,-1.10016232356429,NA,34.0742270151774,4.12833634763956,-0.989159569144249,0.1,0.77777778,0.42105263,0,0.85714286,0.75,0.47368421,17.07142857,0.21052632,0.21052632,NA,0.15789474,0.42105263,89.8236770629883,96.460075378418,NA,95.2437337239583,85.6526107788086,-9.90310001373291,-6.48027515411377,NA,-9.7126096089681,3.38628745079041,1.66129004955292,6.5394549369812,NA,3.17153676350911,1.55490279197693,-0.03956638276577,-0.0440064929425716,NA,1.02222681045532,0.330266907811165,-0.989159569144249,-1.10016232356429,NA,34.0742270151774,4.12833634763956,0.1,0.77777778,0.42105263,0,0.85714286,0.75,0.47368421,4,86.1954116821289,57.9060287475586,0,0,92.3055,0,0,"2024-09-24",0
"Jesus Tinoco",16300,"2024-09-22","ATL",20,2024,"MIA","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.9684653293782,66.5170884121943,1,0,0.5,0.5,0,0,0,0,6,10,16,0.0403599999845028,0,0.0403599999845028,0.522000014781952,0.0519402995705605,0.52866667509079,0.688000023365021,0.688000023365021,NA,0,1,0.0765603333711624,-0.000217333355941804,0,0,0.4375,97,0.375,86.83333333,NA,NA,0.1875,91.33333333,NA,0.378551661968231,0.356677174568176,NA,-0.00700777396559715,5.40788088526045,5.94461957613627,NA,-0.233592465519905,0.125,0.875,0.5,1,0.71428571,0.75,0.5,0.66666667,0.125,0,2,0,1,0,1,2,0,1,0,0.5,0,0.5,-0.378325162486335,20,50.68521,20,80,51.43609,80,62.81396,66.48193,48.40111,44.96136,52.61627,36.36777,NA,NA,NA,58.62379,57.58162,51.83973,-0.41035,3.46157,100.38,32.62,26.12,102.92,172.1,164.64,125.86,91.84,119.54,125.9,102.86,107.48,NA,NA,NA,116.79625,99.9175,105.9575,0.1875,NA,0.25,0.375,0.1875,97.1333312988281,NA,96.6749954223633,86.6666666666667,91.2999979654948,-7.64384587605794,NA,-11.067850112915,4.13866710662842,-10.5088322957357,8.27541732788086,NA,4.7449254989624,2.68893305460612,3.07870356241862,0.31293523311615,NA,0.0700617581605911,0.361274022608995,-0.0075472965836525,10.431174437205,NA,1.75154395401478,6.02123371014992,-0.251576552788417,0.14285714,0.77777778,0.5,1,0.71428571,0.75,0.5625,18.23076923,0.1875,0.1875,NA,0.25,0.375,91.2244364420573,97.0736287434896,NA,96.6186218261719,86.5959676106771,-9.53614298502604,-6.78514989217122,NA,-10.2839975357056,5.36492983500163,1.15642563501994,7.04426002502441,NA,3.29939746856689,1.05071036020915,-0.0075472965836525,0.31293523311615,NA,0.0700617581605911,0.361274022608995,-0.251576552788417,10.431174437205,NA,1.75154395401478,6.02123371014992,0.14285714,0.77777778,0.5,1,0.71428571,0.75,0.5625,2,85.4263458251953,10.2942991256714,1,0.5,106.378,1,0.5,"2024-09-22",0
"Jesus Tinoco",16300,"2024-09-20","ATL",20,2024,"MIA","H",29,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.284038883559,114.84853560366,1,0.333333333,0.333333333,0.333333333,0,0,0,0,2,6,8,0.167119979858398,0,0.167119979858398,0.522000014781952,0.0519402995705605,2.16666650772095,2.89800000190735,2.89800000190735,NA,0,1,0.0772349983453751,-0.000102694290799066,1,0,0.25,97,0.75,86.16666667,NA,NA,NA,NA,NA,0.176499828696251,0.53523188829422,NA,NA,8.82499143481255,8.92053147157033,NA,NA,0.33333333,0.8,0.625,1,1,1,0.625,0.33333333,0,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,6.01349423278288,NA,NA,NA,NA,NA,NA,53.41862,69.30349,62.81233,64.97515,56.94254,61.87005,NA,NA,NA,67.38521,66.0827,67.72357,-0.95467,2.64509,NA,NA,NA,NA,NA,NA,95.22,89.44,85.14,108.9,113.78,126.66,NA,NA,NA,105.48,107.695,116.28,NA,NA,0.25,0.75,NA,NA,NA,96.5,86.1666666666667,NA,NA,NA,-11.9251155853271,3.54314963022868,NA,NA,NA,3.44926309585571,2.02622667948405,NA,NA,NA,0.220562923699617,0.541917253285646,NA,NA,NA,11.0281461849809,9.03195422142744,NA,0.5,0.66666667,0.625,1,1,1,0.75,16.4,NA,NA,NA,0.25,0.75,NA,NA,NA,96.4736022949219,86.0830485026042,NA,NA,NA,-11.1510000228882,4.49271011352539,NA,NA,NA,1.96445488929749,0.506793340047201,NA,NA,NA,0.220562923699617,0.541917253285646,NA,NA,NA,11.0281461849809,9.03195422142744,0.5,0.66666667,0.625,1,1,1,0.75,3,96.8301391601562,12.0660578409831,1,0.33333333,102.459,2,0.66666667,"2024-09-20",0
"Jesus Tinoco",16300,"2024-09-17","LAD",20,2024,"MIA","H",29,0,0,18,1,0,0,0,0,0,0,0,1,6,3,2,2,0,0,0,0,0,0,1,9,0,27,1,0.333333333,0,3,1,1,0,1,0,0,0.16666667,0,0.16666667,2.67617353719961,0,0.5,3,0.6,0.33333333,1.1664797782898,16.8335202217102,2.67848818451166,426.237307717268,29.9684653293782,66.5170884121943,3,0.2,0.6,0.2,0,0,0,0,9,15,24,0.0154400113970041,-0.0440199747681618,0.0594599843025208,-1.47800004482269,-0.147064670920372,0.474999994039536,0.359999984502792,0.359999984502792,NA,0,1,-0.0910004302859306,0.123505717845406,0,0,0.41666667,96.1,0.33333333,85.875,NA,NA,0.25,89.16666667,NA,-1.64774763584137,0.319026917219162,NA,0.359595060348511,-16.4774763584137,3.98783646523952,NA,5.99325100580851,0.16666667,0.83333333,0.5,1,0.7,0.75,0.5,0.5,0.125,3,0,2,2,2,1,5,0.6,0,0.4,0.4,0.4,0.2,2.44187741901764,57.40103,60.60979,50.19186,80,70.1891,80,37.69998,68.26343,31.58319,58.78162,49.46883,43.75418,NA,NA,NA,53.57492,62.82949,40.35829,-0.09669,3.93206,78.52,97.98,91.3,92.46,137.56,136.72,98.1,96.86,103.16,116.98,114.94,127.7,NA,NA,NA,99.2633333333333,104.8625,109.773333333333,0.04166667,NA,0.375,0.375,0.20833333,96.3000030517578,NA,95.9888916015625,86.1111111111111,89.2,-6.21185350418091,NA,-11.3966352674696,2.63421630859375,-10.0891906738281,9.24761867523193,NA,2.94288063049316,3.15619214375814,0.96048526763916,-0.76553338766098,NA,-0.90392255038023,0.274270422756672,0.412599492818117,-76.553338766098,NA,-10.0435838931137,3.0474491417408,8.25198985636234,0.25,0.75,0.5,0.66666667,0.77777778,0.75,0.5,14.55555556,0.25,0.04166667,NA,0.375,0.33333333,89.1329040527344,96.3013000488281,NA,96.0293104383681,85.8216247558594,-9.08677164713542,-5.45721006393433,NA,-10.7416203816732,4.655677318573,-0.169980486234029,7.8711199760437,NA,1.53226746453179,1.66695690155029,0.364277336746454,-0.76553338766098,NA,-0.90392255038023,0.322592578828335,6.07128894577424,-76.553338766098,NA,-10.0435838931137,4.03240723535419,0.25,0.75,0.5,0.66666667,0.77777778,0.75,0.5,5,87.2732162475586,2.48068428039551,0,0,93.1968,0,0,"2024-09-17",0
"Jesus Tinoco",16300,"2024-09-12","@WSN",20,2024,"MIA","A",29,0,0,0,1,0,0,0,0,1,0,0,2,6,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,1,2,1,0,0,0,0,0.33333333,0,0.33333333,2.11156241929506,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.9684653293782,66.5170884121943,0.5,0.25,0.25,0.5,0,0,1,4.5,7,15,22,0.126844003796577,0,0.126844003796577,0.98199999332428,0.101972997188568,0.833866655826569,1.29240000247955,1.6923999786377,NA,0,1,0.15283228456974,-0.000716831924804401,1,0,0.40909091,94.77777778,0.5,86,NA,NA,0.09090909,89.5,NA,0.542422890663147,0.47172138094902,NA,0.499016225337982,6.0269210073683,4.28837619044564,NA,24.9508112668991,0.27272727,0.72727273,0.5,0.66666667,0.75,0.72727273,0.5,0.5,0.13636364,0,2,2,1,2,1,4,0,0.5,0.5,0.25,0.5,0.25,1.39748578598167,80,32.26114,80,58.17726,41.57281,63.62851,72.7153,37.89042,77.39877,32.69551,42.22433,31.72709,NA,NA,NA,56.39,41.11376,61.73309,-0.27158,3.66972,70.52,163.5,144.6,129.48,93.06,77.38,63.4,178.52,164.94,108.64,52.96,73.58,NA,NA,NA,92.6745454545455,106.605454545455,109.450909090909,0.09090909,NA,0.31818182,0.5,0.09090909,95.9499969482422,NA,94.3999982561384,85.9545454545455,89.5999984741211,-7.58351945877075,NA,-10.7718375069754,2.34757596796209,-9.29202365875244,7.0508975982666,NA,2.81215694972447,2.3843260678378,3.44616746902466,0.200837671756744,NA,0.432849287986755,0.476306587457657,0.5054000467062,10.0418835878372,NA,6.18356125695365,4.3300598859787,25.27000233531,0.14285714,0.66666667,0.5,1,0.7,0.72727273,0.68181818,14.625,0.09090909,0.09090909,NA,0.31818182,0.5,89.8321533203125,96.1405029296875,NA,94.6267613002232,86.1526711203835,-8.8239049911499,-7.01191997528076,NA,-10.3323146275112,2.90394002741033,2.45916509628296,6.37814998626709,NA,1.82883712223598,1.43268429149281,0.5054000467062,0.200837671756744,NA,0.432849287986755,0.476306587457657,25.27000233531,10.0418835878372,NA,6.18356125695365,4.3300598859787,0.14285714,0.66666667,0.5,1,0.7,0.72727273,0.68181818,4,83.7597885131836,5.51529026031494,0,0,96.5359,1,0.25,"2024-09-12",0
"Jesus Tinoco",16300,"2024-09-07","PHI",20,2024,"MIA","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.284038883559,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,3,10,13,0.0154400104656816,0,0.0154400104656816,0.522000014781952,0.0519402995705605,0.193999990820885,0.359999984502792,0.359999984502792,NA,0,1,0.0822306871414185,-0.00264300056293339,0,0,0.38461538,97,0.61538462,86.625,NA,NA,NA,NA,NA,0.0439282320439816,0.630065500736237,NA,NA,0.878564640879631,7.87581875920296,NA,NA,0.33333333,0.85714286,0.61538462,1,0.83333333,0.875,0.53846154,0.66666667,0.07692308,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,1.20069665474622,NA,NA,NA,57.66722,65.19885,45.35959,20,55.79213,20,67.31873,55.53953,51.39188,NA,NA,NA,55.94672,61.04504,35.47143,-0.24404,3.71103,NA,NA,NA,139.84,96.98,103.52,76.08,94.46,78.14,126.72,96.8,110.32,NA,NA,NA,117.052307692308,96.2876923076923,101.847692307692,0.15384615,NA,0.23076923,0.61538462,NA,97.25,NA,97.0666707356771,86.5999984741211,NA,-6.62839460372925,NA,-10.604819615682,4.96243619918823,NA,8.24980163574219,NA,2.76419544219971,1.70136332511902,NA,-0.0210469514131546,NA,0.0652915723621845,0.63799924403429,NA,-1.05234757065773,NA,2.17638574540615,7.97499055042863,NA,0.2,0.875,0.61538462,1,0.85714286,0.875,0.61538462,19.5,NA,0.15384615,NA,0.23076923,0.61538462,NA,97.5706939697266,NA,97.3258972167969,86.8640747070312,NA,-6.03701972961426,NA,-10.2804997762044,5.61297988891602,NA,7.23917484283447,NA,1.44163004557292,0.301969408988953,NA,-0.0210469514131546,NA,0.0652915723621845,0.63799924403429,NA,-1.05234757065773,NA,2.17638574540615,7.97499055042863,0.2,0.875,0.61538462,1,0.85714286,0.875,0.61538462,3,95.9278157552083,5.34862200419108,0,0,96.4982,3,1,"2024-09-07",0
"Jesus Tinoco",16300,"2024-09-04","WSN",20,2024,"MIA","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.3471082248025,-18.3531359984531,1,0,1,0,0,0,1,9,3,8,11,0.212760001420975,0,0.212760001420975,1.15100002288818,0.114527367055416,2.51600003242493,1.1710000038147,2.34200000762939,1.47399997711182,1,1,0.0829399451613426,0.0016228524058403,1,0,0.18181818,97,0.81818182,86,NA,NA,NA,NA,NA,0.0642120540142059,0.680498361587524,NA,NA,3.2106027007103,7.56109290652805,NA,NA,0.625,1,0.72727273,0.4,0.33333333,0.375,0.27272727,0.33333333,0.45454545,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.6322213160051,NA,NA,NA,80,55.98879,80,NA,NA,NA,61.64498,56.62837,65.7344,NA,NA,NA,73.23895,64.76304,79.9178,-1.31834,2.09958,NA,NA,NA,88.6,213,196.48,NA,NA,NA,107.34,102.18,112.04,NA,NA,NA,103.932727272727,122.329090909091,127.392727272727,0.18181818,NA,NA,0.81818182,NA,96.8000030517578,NA,NA,85.9222208658854,NA,-7.46508550643921,NA,NA,3.83600234985352,NA,7.90829515457153,NA,NA,1.6560967763265,NA,0.0652216598391533,NA,NA,0.687957152724266,NA,3.26108299195766,NA,NA,7.64396836360296,NA,0.5,0.85714286,0.72727273,0,0.5,0.375,0.63636364,18.625,NA,0.18181818,NA,NA,0.81818182,NA,97.2655944824219,NA,NA,86.3723008897569,NA,-6.88651466369629,NA,NA,4.39313210381402,NA,6.65653991699219,NA,NA,0.141567773289151,NA,0.0652216598391533,NA,NA,0.687957152724266,NA,3.26108299195766,NA,NA,7.64396836360296,0.5,0.85714286,0.72727273,0,0.5,0.375,0.63636364,1,72.0383529663086,-15.1327323913574,0,0,72.0384,0,0,"2024-09-04",0
"Jesus Tinoco",16300,"2024-08-31","@SFG",20,2024,"MIA","A",29,0,0,9,1,0,0,0,0,0,1,0,1,4,1,1,1,1,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,9,0.25,1,0,1,12.1664797782898,-3.16647977828979,0.678488184511662,213.118653858634,295.704119877372,18.1856412207288,1,0,0.5,0.5,0,1,0,0,4,10,14,-0.00257600098848343,-0.102037996053696,0.0994619950652122,-0.526000022888184,-0.0559277012944221,1.14705002307892,1.65939998626709,1.65939998626709,3.396399974823,1,1,-0.094581313431263,0.0923355517498596,0,0,0.5,95.85714286,0.5,86.57142857,NA,NA,NA,NA,NA,-1.06020653247833,0.394510746002197,NA,NA,-15.1458076068333,5.63586780003139,NA,NA,0.16666667,0.625,0.42857143,0,0.6,0.5,0.57142857,0.5,0.21428571,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,11.0111819223962,NA,NA,NA,67.33009,55.21139,80,55.75371,51.07178,53.1945,57.60599,53.32799,60.44371,NA,NA,NA,62.35097,54.25757,64.51429,-0.64191,3.11423,NA,NA,NA,85.96,112.68,108.66,117.32,113.36,118.7,125.8,109.74,122.36,NA,NA,NA,119.32,111.501428571429,119.812857142857,0.07142857,NA,0.42857143,0.5,NA,96.1999969482422,NA,95.8166707356771,86.6142839704241,NA,-5.78626346588135,NA,-9.49323590596517,2.22590827941895,NA,8.42645645141602,NA,3.73115253448486,3.47957256862095,NA,-1.41166830062866,NA,0.354732487350702,0.398446299135685,NA,-141.166830062866,NA,5.91220812251171,5.69208998765264,NA,0.2,0.55555556,0.42857143,0,0.6,0.5,0.64285714,14.5,NA,0.07142857,NA,0.42857143,0.5,NA,96.3972015380859,NA,96.010498046875,86.7860194614955,NA,-5.47255992889404,NA,-9.2067133585612,2.90899957929339,NA,7.46937990188599,NA,2.54595820109049,2.16540786198207,NA,-1.41166830062866,NA,0.354732487350702,0.398446299135685,NA,-141.166830062866,NA,5.91220812251171,5.69208998765264,0.2,0.55555556,0.42857143,0,0.6,0.5,0.64285714,2,109.216178894043,12.5668678283691,1,0.5,112.849,2,1,"2024-08-31",0
"Jesus Tinoco",16300,"2024-08-29","@COL",20,2024,"MIA","A",29,1,0,0,1,0,0,0,0,0,0,0,2.1,9,2,0,0,0,0,0,0,0,0,3,11.5714301479108,0,7.71428676527388,3,0,0,2,3,1,0,0,0,0,0.33333333,0,0.33333333,2.00343279086386,0,0.222222222222222,0.85714297391932,0.333333333333333,1,0.595050856531835,-0.595050856531835,2.53906192938187,0,16.1640072792868,63.1477520687396,0.666666666,0.166666666,0.333333333,0.5,0,0,1,3.85714338263694,3,18,21,0.0832680016756058,-0.11157999932766,0.194848001003265,-0.167999982833862,-0.0146214067935944,1.06768894195557,1.19480001926422,1.01240003108978,0.579200029373169,1,1,0.102415360510349,-0.0244263522856382,1,0,0.47619048,97.2,0.52380952,87.54545455,NA,NA,NA,NA,NA,0.293987095355988,0.482456922531128,NA,NA,2.93987095355988,4.38597202301025,NA,NA,0.5,0.61538462,0.57142857,0.75,0.625,0.66666667,0.61904762,0.77777778,0.19047619,0,4,2,0,4,2,6,0,0.66666667,0.33333333,0,0.66666667,0.33333333,0.763330454786042,NA,NA,NA,80,51.29064,80,50.85047,48.83174,53.13482,80,50.52929,80,NA,NA,NA,80,51.71033,80,-1.74252,1.46331,NA,NA,NA,75.56,138.88,114.22,94.14,103.78,107.68,113.02,113.02,120,NA,NA,NA,99.6057142857143,116.977142857143,115.690476190476,0.0952381,NA,0.38095238,0.52380952,NA,97.9000015258789,NA,96.8499984741211,87.5090886896307,NA,-6.41798877716064,NA,-7.45089197158813,3.07134212147106,NA,6.32045698165894,NA,4.02718687057495,0.934318889271129,NA,0.094138327986002,NA,0.201231244951487,0.508832585066557,NA,4.7069163993001,NA,2.51539056189358,4.62575077333234,NA,0.66666667,0.53333333,0.57142857,0.5,0.75,0.66666667,0.71428571,15.75,NA,0.23809524,NA,0.23809524,0.52380952,NA,97.1509765625,NA,96.7104614257812,87.3580932617188,NA,-6.67659225463867,NA,-7.63486404418945,3.43466533314098,NA,5.46304626464844,NA,2.73311614990234,0.424872571771795,NA,0.549991760402918,NA,-0.254622187465429,0.508832585066557,NA,10.9998352080584,NA,-5.09244374930859,4.62575077333234,0.66666667,0.53333333,0.57142857,0.5,0.75,0.66666667,0.71428571,6,90.2878011067708,23.7145385742188,0,0,105.915,2,0.33333333,"2024-08-29",0
