"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wCT","wCB","wCH","wFB/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Josh Fleming",20418,"2024-07-21","PHI",27,2024,"PIT","H",28,0,0,4.5,1,0,0,0,0,0,0,0,2,11,3,1,1,1,1,0,0,0,0,0,0,4.5,13.5,0,0.2,0,5,3,2,0,1,0,0,0,0.09090909,-0.09090909,6.52444808249479,4.5,0.3,2,0.222222222222222,1,11.1664797782898,-6.66647977828979,6.9344923876226,106.596968891463,271.239484722775,169.36650960685,1.666666666,0.2,0.5,0.3,0,0.333333333,0,0,17,24,41,0.00106600136496127,-0.0104979993775487,0.0115640005096793,0.0419999957084656,0.00418535806238651,0.0740545466542244,0.0456999987363815,0.0675999969244003,NA,0,1,-0.157516047358513,0.171910860548561,0,0,0.26829268,90.18181818,0.14634146,87.16666667,0.12195122,76.8,0.46341463,83.31578947,-0.625025689601898,0.0182656869292259,-1.21918797492981,0.201543062925339,-5.68205172365362,0.304428115487099,-24.3837594985962,1.06075296276494,0.38709677,0.9,0.51219512,1,0.88888889,0.95238095,0.24390244,0.45454545,0.02439024,6,4,0,2,3,5,10,0.6,0.4,0,0.2,0.3,0.5,11.2335494885305,NA,60.54678,27.60315,68.91083,53.67869,57.49431,49.09708,NA,NA,NA,25.95475,59.21934,20,20,29.53288,35.06691,41.43736,39.9048,43.16916,0.65738,5.06316,88.5,127.96,112.2,98.28,107.36,79.96,NA,NA,NA,127.36,45.48,70.82,88.04,79.72,67.74,100.051219512195,96.259512195122,90.66,NA,0.14634146,0.26829268,0.12195122,0.46341463,NA,87.2666625976562,90.1909068714489,76.6400024414063,83.2789499383224,NA,2.0760293006897,9.50822240656072,-5.58491897583008,6.8428417005037,NA,3.54423300425212,0.99194015156139,-1.2298378944397,0.0604805883608366,NA,0.0178416222333908,-0.638022344559431,-1.21799612045288,0.200081765651703,NA,0.297360370556513,-5.80020313235846,-24.3599224090576,1.05306192448265,0.4137931,0.75,0.51219512,1,0.88888889,0.95238095,0.29268293,20.4,0.46341463,NA,0.14634146,0.26829268,0.12195122,83.0367752878289,NA,87.0542500813802,89.9712025035511,76.4096801757812,6.22989373458059,NA,0.952219247817993,9.0652250810103,-6.84981994628906,-0.852529224596525,NA,2.57828744252523,0.138536323200573,-2.37195987701416,0.200081765651703,NA,0.0178416222333908,-0.638022344559431,-1.21799612045288,1.05306192448265,NA,0.297360370556513,-5.80020313235846,-24.3599224090576,0.4137931,0.75,0.51219512,1,0.88888889,0.95238095,0.29268293,10,88.6131103515625,9.10497741699219,1,0.1,104.29,5,0.5,"2024-07-21",0
"Josh Fleming",20418,"2024-07-09","@MIL",27,2024,"PIT","A",28,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,1,1,0,1,0,0,0,0,0.6,-0.6,20.6884490840149,0,0,3,0,1,12.1664797782898,-12.1664797782898,13.6784881845117,0,295.369973109966,332.340047965254,1,0,0.5,0.5,1,0,0,0,15,9,24,0.0477580055594444,-0.0822259932756424,0.129983991384506,0.498999983072281,0.051258347928524,1.17560005187988,0.870000004768372,0.870000004768372,0.920000016689301,1,1,-0.0240736249834299,0.0646979899475819,0,0,0.5,89.66666667,0.33333333,87.375,0.08333333,78.5,0.08333333,83.5,-0.354816496372223,0.776304006576538,-0.193713411688805,-0.117441281676292,-2.95680413643519,9.70380008220673,-9.68567058444023,-5.87206408381462,0.2,0.25,0.20833333,0.5,1,0.6,0.16666667,NA,0.08333333,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,14.1478900143019,40,20,42.80991,20,45.66664,77.77119,37.99583,NA,NA,NA,20,45.2239,20,20,27.042,29.84058,20,42.42531,20,3.25123,8.95394,61.44,-8.94,-13.6,44.44,72.48,68.24,NA,NA,NA,120.9,13.76,44.08,88.84,83.42,76.16,98.8866666666667,39.9816666666667,51.98,NA,0.33333333,0.5,0.08333333,0.08333333,NA,87.2624969482422,89.5416666666667,78.9000015258789,83.5500030517578,NA,2.89190030097961,9.3955872853597,-5.69289016723633,8.7919807434082,NA,4.35800695419312,-0.0347832441329956,-0.690243005752563,-1.42457890510559,NA,0.77060879021883,-0.3646488673985,-0.198998644948006,-0.121471270918846,NA,9.63260987773538,-3.03874056165417,-9.94993224740028,-6.07356354594231,0.16666667,0.33333333,0.20833333,0.33333333,1,0.6,0.25,18,0.08333333,NA,0.33333333,0.5,0.08333333,83.4739532470703,NA,87.2177505493164,89.5162455240885,78.8805999755859,7.67737007141113,NA,1.64619374275208,8.56202189127604,-7.70026016235352,-2.50729513168335,NA,3.60041379928589,-1.13685957590739,-2.27947521209717,-0.121471270918846,NA,0.77060879021883,-0.3646488673985,-0.198998644948006,-6.07356354594231,NA,9.63260987773538,-3.03874056165417,-9.94993224740028,0.16666667,0.33333333,0.20833333,0.33333333,1,0.6,0.25,2,76.5039978027344,27.1949787139893,0,0,78.0804,0,0,"2024-07-09",0
"Josh Fleming",20418,"2024-07-06","NYM",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1,4.5,0,0,1,0,0,3,1,1,0,0,0,0,0.16666667,0,0.16666667,2.67617353719961,0,0,0,0,1,2.1664797782898,-2.1664797782898,2.92248398140073,0,54.0650892380557,72.413423398336,3,0.2,0.6,0.2,0,0,0,0,10,17,27,0.0249900035560131,0,0.0249900035560131,1.04200005531311,0.103836573660374,0.160766661167145,0.208299994468689,0.275200009346008,NA,0,1,0.155747279524803,-0.000304581551299365,0,0,0.14814815,90.5,0.07407407,88,NA,NA,0.77777778,83.23809524,0.125368744134903,0.00989698246121407,NA,1.28447639942169,3.13421860337257,0.494849123060703,NA,6.11655428296044,0.35,0.71428571,0.44444444,1,1,1,0.25925926,0.33333333,0,2,3,0,1,2,2,5,0.4,0.6,0,0.2,0.4,0.4,2.44101513317286,NA,58.61809,32.20616,65.74335,NA,NA,NA,NA,NA,NA,20,32.83862,20,27.9295,32.31769,48.35165,33.01154,33.93504,36.55126,1.18084,5.84835,82.78,117.2,103.92,NA,NA,NA,NA,NA,NA,94.24,11.2,2.24000000000001,86.38,77.78,66.82,84.7444444444444,98.5762962962963,86.1081481481481,NA,0.07407407,0.14814815,NA,0.77777778,NA,87.9000015258789,90.3000030517578,NA,83.1380964006696,NA,2.836838722229,9.58882904052734,NA,7.56669326055618,NA,3.94295072555542,1.76501619815826,NA,0.533905892145066,NA,0.00964778661727905,0.168283395469189,NA,1.28324792906642,NA,0.482389330863953,4.20708488672972,NA,6.11070442412581,0.35294118,0.6,0.44444444,1,1,1,0.37037037,20,0.77777778,NA,0.07407407,0.14814815,NA,83.0587565104167,NA,87.8334503173828,90.2164764404297,NA,6.49213663736979,NA,1.4054000377655,8.68308734893799,NA,-0.390412239801316,NA,3.11503005027771,0.893651485443115,NA,1.28324792906642,NA,0.00964778661727905,0.168283395469189,NA,6.11070442412581,NA,0.482389330863953,4.20708488672972,NA,0.36842105,0.625,0.44444444,1,1,1,0.2962963,5,86.0855895996094,8.88168106079102,0,0,100.463,1,0.2,"2024-07-06",0
"Josh Fleming",20418,"2024-07-02","STL",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0,1,0,0,0,0,5.15272908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.1955776252467,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,1,9,10,0.039537999778986,-0.0260699987411499,0.0656079947948456,0.521000027656555,0.0519182831048965,0.898400008678436,0.679000020027161,0.679000020027161,0.622800052165985,1,1,0.0285012237727642,0.0155081255115787,0,0,0.4,90,0.2,87,0.1,78,0.3,82.33333333,-0.448842614889145,0.367513120174408,0.210907548666,0.196974948048592,-11.2210653722286,18.3756560087204,21.0907548666,6.56583160161972,0.71428571,0.66666667,0.7,0.8,1,0.85714286,0.3,0.75,0.1,1,3,0,1,3,0,4,0.25,0.75,0,0.25,0.75,0,1.20027265978185,NA,24.36967,28.12554,44.99555,80,58.42972,71.62445,NA,NA,NA,40.72476,44.6674,34.68298,20,23.05412,30.00691,29.43069,36.41995,34.77725,1.40331,6.18206,93.7,96.8,61.38,92.46,131.7,124.04,NA,NA,NA,113.64,109.24,113.88,90.48,75.72,74.38,100.908,101.05,91.246,NA,0.2,0.4,0.1,0.3,NA,86.6999969482422,89.8000030517578,78.1999969482422,82.2999979654948,NA,1.81402790546417,9.97299575805664,-2.49062967300415,6.71635437011719,NA,2.1420578956604,0.503804564476013,1.47677934169769,-0.246283451716105,NA,0.372241586446762,-0.456088449805975,0.255611628293991,0.199618265032768,NA,18.6120793223381,-11.4022112451494,25.5611628293991,6.65394216775894,0.83333333,0.5,0.7,0.8,1,0.85714286,0.4,20.5,0.3,NA,0.2,0.4,0.1,82.0311686197917,NA,86.4265975952148,89.5418472290039,77.9672012329102,5.8925298055013,NA,0.58161199092865,9.06732940673828,-4.41278982162476,-0.834616343180339,NA,1.62793493270874,-0.55113422870636,0.521462976932526,0.199618265032768,NA,0.372241586446762,-0.456088449805975,0.255611628293991,6.65394216775894,NA,18.6120793223381,-11.4022112451494,25.5611628293991,0.83333333,0.5,0.7,0.8,1,0.85714286,0.4,4,73.665761311849,-22.0014190673828,0,0,95.0513,1,0.25,"2024-07-02",0
"Josh Fleming",20418,"2024-06-25","@CIN",27,2024,"PIT","A",28,0,0,9,1,0,0,0,0,0,0,0,1,5,3,1,1,0,0,0,0,0,0,1,9,0,27,1,0.25,0,4,0,0,0,1,0,0,0.2,0,0.2,-0.865430915985108,0,0.6,3,0.75,0.66666667,1.1664797782898,7.8335202217102,1.1664797782898,213.193937782926,29.9346008508647,29.9783111930123,4,0,1,0,0,0,0,0,4,11,15,0.00946999900043011,-0.0447399988770485,0.0542099997401237,-0.43900004029274,-0.0415130034089088,0.406399995088577,0.233000010251999,0.233000010251999,NA,0,1,-0.0928470343351364,0.116149197511507,0,0,0.26666667,90.25,0.06666667,87,0.2,76.66666667,0.46666667,83.14285714,0.430925786495209,0.0389156937599182,-0.781714916229248,-0.323082566261292,10.7731446623802,3.89156937599182,-26.0571638743083,-4.61546523230416,0.45454545,0.75,0.53333333,0.8,0.66666667,0.75,0.26666667,1,0.13333333,1,2,1,0,3,1,4,0.25,0.5,0.25,0,0.75,0.25,0.4000267285166,NA,50.2502,29.93089,64.65232,39.12571,50.09665,31.31835,NA,NA,NA,52.71053,38.45487,49.04227,80,36.94502,80,49.76571,35.29176,59.79427,0.13997,4.28705,90.82,112.42,90.7,87.1,64.78,63.28,NA,NA,NA,99.42,133.52,147.9,81.24,163.56,158.18,91.7306666666667,111.928,104.968,NA,0.06666667,0.26666667,0.2,0.46666667,NA,87.3000030517578,90.0749969482422,76.9333343505859,83.0857107979911,NA,3.45078158378601,9.24395561218262,-6.97350947062175,6.88051986694336,NA,3.75389504432678,0.768463492393494,-0.118185480435689,-0.72068418775286,NA,0.039364367723465,0.439431011676788,-0.789612576365471,-0.329204946756363,NA,3.9364367723465,10.9857752919197,-26.3204192121824,-4.70292781080518,0.5,0.57142857,0.53333333,0.75,0.75,0.75,0.46666667,19.5,0.46666667,NA,0.06666667,0.26666667,0.2,83.0588553292411,NA,87.2951965332031,90.0450286865234,76.8922017415365,5.84777014596122,NA,1.92954003810883,8.24551200866699,-8.59088389078776,-1.76655006408691,NA,3.02219009399414,-0.256847262382507,-1.09425799051921,-0.329204946756363,NA,0.039364367723465,0.439431011676788,-0.789612576365471,-4.70292781080518,NA,3.9364367723465,10.9857752919197,-26.3204192121824,0.5,0.57142857,0.53333333,0.75,0.75,0.75,0.46666667,4,93.6522521972656,-15.0014905929565,0,0,101.958,2,0.5,"2024-06-25",0
"Josh Fleming",20418,"2024-06-24","@CIN",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,2,1,0,0,0,0,0,0,0.25,-0.25,9.17835408401489,0,0,1,0,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,150.58704278682,187.345706390858,2,0,0.666666666,0.333333333,0,0,0,0,8,8,16,0.000630038965027779,-0.000190031525562517,0.000820070505142212,0.560999989509583,0.0530496463179588,0.010499999858439,0.00999999977648258,0.00999999977648258,NA,0,1,0.0661710947751999,-0.00616738301120306,0,0,0.25,92,0.3125,88.2,0.1875,78.33333333,0.25,84.75,0.128767371177673,0.110538601875305,-0.109702005982399,0.230463638901711,3.21918427944183,2.2107720375061,-3.65673353274663,5.76159097254276,0.27272727,0.6,0.375,0.66666667,0.66666667,0.66666667,0.3125,0.75,0.125,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,4.78055967096113,NA,77.72551,42.82923,80,20,53.32547,20,NA,NA,NA,20,36.46861,20,44.04461,48.75784,37.41789,33.224,45.52243,31.46423,1.16764,5.82855,94.78,157.94,143.2,93.86,69.84,64.22,NA,NA,NA,102.3,9.52,25.24,92.36,59.26,53.1,95.73125,73.47875,70.745,NA,0.3125,0.25,0.1875,0.25,NA,87.9400024414062,91.6999969482422,78.2666676839193,84.5999984741211,NA,2.04726943969727,8.53157424926758,-5.26804860432943,7.31045913696289,NA,3.56348876953125,2.02190494537354,0.763422091801961,-0.466838777065277,NA,0.110249161720276,0.128513682633638,-0.111859545111656,0.233345258980989,NA,2.20498323440552,3.21284206584096,-3.72865150372187,5.83363147452474,0.27272727,0.6,0.375,0.66666667,0.66666667,0.66666667,0.3125,18.33333333,0.25,NA,0.3125,0.25,0.1875,84.7067489624023,NA,88.0413452148437,91.876953125,78.3810017903646,6.21708488464355,NA,0.642311811447144,7.64743757247925,-7.0486634572347,-1.705646276474,NA,2.80756187438965,1.14931631088257,-0.620419303576151,0.233345258980989,NA,0.110249161720276,0.128513682633638,-0.111859545111656,5.83363147452474,NA,2.20498323440552,3.21284206584096,-3.72865150372187,0.27272727,0.6,0.375,0.66666667,0.66666667,0.66666667,0.3125,3,87.8716227213542,10.981938680013,0,0,96.0732,1,0.33333333,"2024-06-24",0
"Josh Fleming",20418,"2024-06-21","TBR",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.1955776252467,187.926204380887,0,0,0,1,0,0,0,0,0,2,2,0.00693199923262,0,0.00693199923262,0.331999987363815,0.0330842025578022,0.235200002789497,0.117600001394749,0.235200002789497,0.111400000751019,1,1,0.0294727850705385,4.32887257290071e-10,0,0,0.5,92,NA,NA,0.5,78,NA,NA,0.0389156937599182,NA,0.210907548666,NA,3.89156937599182,NA,21.0907548666,NA,1,0,0.5,1,NA,1,0.5,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0.816381854728152,NA,NA,NA,NA,80,56.29773,80,NA,NA,NA,67.48891,22.85456,80,NA,NA,NA,80,34.73611,80,-2.44864,0.40413,NA,NA,NA,92.14,154.12,141.12,NA,NA,NA,80.96,95.16,92.38,NA,NA,NA,86.55,124.64,116.75,NA,NA,0.5,0.5,NA,NA,NA,91.5999984741211,78.3000030517578,NA,NA,NA,8.8433256149292,-7.50564861297607,NA,NA,NA,1.64659345149994,-0.501923143863678,NA,NA,NA,0.039364367723465,0.213400110602379,NA,NA,NA,3.9364367723465,21.3400110602379,NA,1,0,0.5,1,NA,1,0.5,16,NA,NA,NA,0.5,0.5,NA,NA,NA,91.2462997436523,77.8593978881836,NA,NA,NA,8.16207027435303,-9.21453952789307,NA,NA,NA,1.05579996109009,-1.46496999263763,NA,NA,NA,0.039364367723465,0.213400110602379,NA,NA,NA,3.9364367723465,21.3400110602379,1,0,0.5,1,NA,1,0.5,1,101.782974243164,44.1966400146484,0,0,101.783,1,1,"2024-06-21",0
"Josh Fleming",20418,"2024-06-16","@COL",27,2024,"PIT","A",28,0,0,0,1,1,0,0,0,0,0,0,4,16,4,0,0,0,0,0,0,0,0,2,4.5,0,9,2,0,0,4,6,4,1,0,0,0,0.125,0,0.125,4.88846345901489,0,0.25,1,0.285714285714286,1,2.1664797782898,-2.1664797782898,4.4344923876226,0,54.0650892380557,108.952200617518,0.666666666,0.285714285,0.285714285,0.428571428,0.166666666,0,1,2.25,20,32,52,0.12372001260519,-0.161444008350372,0.285164028406143,1.48900008201599,0.129590943455696,0.906899988651276,1.08071994781494,0.870000004768372,2.43840003013611,1,1,0.179693549871445,-0.0432727601996041,0,0,0.38461538,90.1,0.38461538,86.9,0.17307692,78.66666667,0.05769231,83.33333333,0.407349973917007,0.0283322967588902,-0.218055665493011,0.518506765365601,2.03674986958504,0.141661483794451,-2.42284072770013,17.28355884552,0.26666667,0.77272727,0.48076923,0.75,0.94117647,0.88,0.42307692,0.5625,0.05769231,4,6,4,2,10,2,14,0.28571429,0.42857143,0.28571429,0.14285714,0.71428571,0.14285714,3.41077229049163,58,29.80547,26.94417,27.08667,44.87373,55.75551,49.05218,76.72906,35.01259,80,31.90346,38.86682,28.32158,62.8826,35.42367,74.48205,45.86632,38.9112,53.61364,0.38222,4.65042,75.82,123.28,84.48,105.26,101.34,88.84,99.44,129.84,106.38,98.76,82.72,92.12,85.98,130.6,131.16,94.4916981132075,105.31358490566,104.190943396226,0.03846154,0.34615385,0.38461538,0.17307692,0.05769231,89.8000030517578,86.5777791341146,90,78.5333319769965,83.2333323160807,3.79904842376709,1.34065469106038,7.92127380371094,-3.81634012858073,6.55550765991211,8.17743301391602,3.34959157307943,1.87053623199463,-0.418841547436184,4.61908785502116,0.039364367723465,-0.0276922211050987,0.450652681291103,-0.222453512251377,0.525805369019508,1.96821838617325,-0.153845672806104,2.25326340645552,-2.47170569168197,17.5268456339836,0.23076923,0.73076923,0.48076923,0.83333333,0.89473684,0.88,0.5,17.86111111,0.05769231,0.03846154,0.34615385,0.38461538,0.17307692,83.3639322916667,89.9615020751953,86.7227851019965,90.1482543945312,78.6941257052951,5.39232317606608,2.69510006904602,0.152612341774835,7.08280029296875,-5.61731126573351,4.36518096923828,8.27505970001221,3.28500175476074,1.55055046081543,-1.11846213870578,0.525805369019508,0.039364367723465,-0.0276922211050987,0.450652681291103,-0.222453512251377,17.5268456339836,1.96821838617325,-0.153845672806104,2.25326340645552,-2.47170569168197,0.28571429,0.70833333,0.48076923,0.75,0.94117647,0.88,0.46153846,14,87.0391060965402,26.3515232631138,0,0,105.794,4,0.28571429,"2024-06-16",0
"Josh Fleming",20418,"2024-05-13","@MIL",27,2024,"PIT","A",28,0,0,45,1,0,0,0,0,0,0,0,1,9,5,6,5,1,1,0,0,0,0,1,9,9,45,1,0.666666666,0,3,2,2,0,2,0,0,0.11111111,0.11111111,0,5.45017352860978,9,0.625,6,0.666666666666667,0,17.1664797782898,27.8335202217102,7.19049659073353,1065.96968891463,416.022415045921,175.553036418574,1.5,0.285714285,0.428571428,0.285714285,0,0.5,2,18,19,21,40,-0.315192013978958,-0.349886000156403,0.0346940010786057,-5.5019998550415,-0.565177202224731,0.822844445705414,0.368800014257431,0.408800005912781,2.4792001247406,1,1,-0.311295568943024,-0.071756192084236,0,1,0.45,91.22222222,0.4,88.625,NA,NA,0.15,84,-2.08088278770447,-0.697638094425201,NA,-1.36331617832184,-11.5604599316915,-4.36023809015751,NA,-22.721936305364,0.16,0.66666667,0.35,1,0.9,0.92857143,0.375,0.44444444,0.025,3,3,1,0,4,3,7,0.42857143,0.42857143,0.14285714,0,0.57142857,0.42857143,13.4641680631489,NA,20,28.46918,20,NA,NA,NA,NA,NA,NA,59.98655,51.26098,47.73571,20,37.41672,26.73227,32.37391,42.90829,23.29291,1.22046,5.90778,78.04,19.36,15.6,NA,NA,NA,NA,NA,NA,122.36,129.78,168.46,86.72,80.88,72.48,101.456,93.657,107.139,NA,0.4,0.45,NA,0.15,NA,88.5062484741211,91.2388916015625,NA,83.9500020345052,NA,2.70036697387695,10.7011455959744,NA,6.004700978597,NA,3.83604693412781,1.25534237755669,NA,-0.896747907002767,NA,-0.710150916129351,-1.0143632851541,NA,-1.38283253088593,NA,-4.43844322580844,-5.63535158418947,NA,-23.0472088480989,0.0952381,0.63157895,0.35,1,0.91666667,0.92857143,0.475,19.4,0.15,NA,0.4,0.45,NA,83.9080810546875,NA,88.4854583740234,91.2110256618924,NA,5.09925842285156,NA,1.4571088552475,9.93993716769748,NA,-1.81047995885213,NA,2.97730755805969,0.104256908098857,NA,-1.38283253088593,NA,-0.710150916129351,-1.0143632851541,NA,-23.0472088480989,NA,-4.43844322580844,-5.63535158418947,NA,0.09090909,0.66666667,0.35,1,0.91666667,0.92857143,0.45,7,97.4820731026786,7.31333487374442,2,0.28571429,106.963,5,0.71428571,"2024-05-13",0
"Josh Fleming",20418,"2024-05-11","CHC",27,2024,"PIT","H",28,0,0,9,1,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,1,0,0,0,0,0,0,0,0.5,-0.5,NA,0,1,2,1,0.5,6.1664797782898,2.8335202217102,6.1664797782898,213.193937782926,150.58704278682,150.806929171676,1,0,1,0,0,0,0,0,5,6,11,-0.243283987045288,-0.243283987045288,0,-2,-0.199302434921265,3.91919994354248,1.8753000497818,3.7506000995636,3.75440001487732,1,1,-0.0619733184576035,-0.000101592378762019,0,1,0.72727273,91.25,NA,NA,0.09090909,78,0.18181818,82.5,-0.660680115222931,NA,-0.0207000374794006,-0.096498891711235,-8.25850144028664,NA,-2.07000374794006,-4.82494458556175,0.16666667,0.6,0.36363636,1,1,1,0.45454545,0.5,0,0,0,1,0,1,0,1,0,0,1,0,1,0,12.2556324105859,NA,20,39.15502,20,44.79384,57.40344,44.93614,NA,NA,NA,54.23665,62.9945,44.3092,NA,NA,NA,33.95506,54.66256,20,1.12222,5.76042,87.98,0.439999999999998,3.52000000000001,130.24,134.12,126.54,NA,NA,NA,128,55.68,82.22,NA,NA,NA,120.927272727273,52.7672727272727,71.94,NA,NA,0.72727273,0.09090909,0.18181818,NA,NA,91.3000030517578,78,82.4499969482422,NA,NA,10.3509397506714,-2.7961699962616,8.20495796203613,NA,NA,1.35996782779694,1.06507444381714,1.66473281383514,NA,NA,-0.673735868185759,-0.0210469514131546,-0.0984223820269108,NA,NA,-8.42169835232198,-2.10469514131546,-4.92111910134554,0.16666667,0.6,0.36363636,1,1,1,0.45454545,20.22222222,0.18181818,NA,NA,0.72727273,0.09090909,82.6118011474609,NA,NA,91.4653015136719,78.1500015258789,7.63593482971191,NA,NA,9.58772468566895,-4.55455017089844,0.612281501293182,NA,NA,0.18663378059864,-0.235357001423836,-0.0984223820269108,NA,NA,-0.673735868185759,-0.0210469514131546,-4.92111910134554,NA,NA,-8.42169835232198,-2.10469514131546,0.16666667,0.6,0.36363636,1,1,1,0.45454545,1,73.1078720092773,0.0168726984411478,0,0,73.1079,0,0,"2024-05-11",0
