"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Kevin Kelly",25679,"2024-09-28","@BOS",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,3,0,1,0,0,0,0,0,4,8,12,0.0234280005097389,0,0.0234280005097389,0.546999990940094,0.0526974946260452,0.295866668224335,0.468799978494644,0.468799978494644,0.372000008821487,1,1,0.0794888213276863,-0.000304502761678968,0,0,0.75,91.22222222,0.16666667,78,0.08333333,87,NA,0.70146119594574,-0.0414000749588013,-0.0238054171204567,7.794013288286,-2.07000374794006,-2.38054171204567,0.2,0.42857143,0.33333333,1,1,1,0.58333333,1,0,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,1.3270541498211,NA,NA,NA,80,55.43854,80,68.30797,71.58202,57.87221,20,57.84371,24.84588,80,56.5115,80,-3.05022,-0.49824,NA,NA,NA,122.9,142.32,149.02,159.62,142.86,136.34,93.58,89.42,78.26,126.576666666667,138.001666666667,141.01,NA,0.08333333,0.75,0.16666667,NA,87.1999969482422,91.0444471571181,77.6999969482422,NA,-0.745035946369171,-10.3007007175022,9.1238956451416,NA,2.49633431434631,-1.30160405900743,2.90011596679688,NA,-0.0242429338395596,0.710555903613567,-0.0420939028263092,NA,-2.42429338395596,7.8950655957063,-2.10469514131546,0,0.5,0.33333333,NA,1,1,0.66666667,16.88888889,NA,0.08333333,0.75,0.16666667,NA,87.4785003662109,91.3689100477431,78.0130462646484,NA,-0.343279004096985,-9.77915954589844,10.2302150726318,NA,2.29210996627808,-2.07010926140679,1.96309995651245,NA,-0.0242429338395596,0.710555903613567,-0.0420939028263092,NA,-2.42429338395596,7.8950655957063,-2.10469514131546,0,0.5,0.33333333,NA,1,1,0.66666667,3,82.2592468261719,-22.6018524169922,0,0,99.9803,1,0.33333333,"2024-09-28",0
"Kevin Kelly",25679,"2024-09-26","@DET",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,0,1,0,0,0,0,0.66666667,0,0.66666667,-0.245715358213996,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.233098233895,-22.5814263197472,0,1,0,0,0,0,0,0,5,10,15,0.106020011007786,0,0.106020011007786,0.479999989271164,0.0506329126656055,1.41159999370575,1.9099999666214,1.9099999666214,2.46560001373291,1,1,0.0751485973596573,-4.23268293912871e-05,1,0,0.8,91.83333333,0.2,77,NA,NA,NA,0.646631300449371,0.135817110538483,NA,5.38859417041143,4.52723701794942,NA,0.42857143,0.75,0.6,0,0.66666667,0.44444444,0.53333333,0.66666667,0.33333333,1,0,0,0,0,1,1,1,0,0,0,0,1,1.73416323008153,80,60.542,80,61.80138,49.42881,60.51903,40.29224,58.50863,45.3651,NA,NA,NA,72.23884,50.29372,72.24132,-1.25621,2.19278,121.82,176.54,155.48,103.66,119.04,120.08,150.54,109.5,86.44,NA,NA,NA,115.457333333333,124.798666666667,118.072,0.13333333,NA,0.66666667,0.2,92.5999984741211,NA,91.4799987792969,76.9666646321615,-6.58845901489258,NA,-10.8230079650879,10.4437739054362,5.71263885498047,NA,-0.183765125274658,1.94188149770101,0.23420649766922,NA,0.462205704301596,0.137002915143967,11.710324883461,NA,4.62205704301596,4.56676383813222,0.16666667,0.88888889,0.6,0,0.5,0.44444444,0.6,16.5,0.13333333,NA,0.66666667,0.2,92.6593933105469,NA,91.585400390625,77.0528666178385,-5.99375009536743,NA,-10.1824501037598,11.5599670410156,5.33211994171143,NA,-0.827966785430908,1.21987597147624,0.23420649766922,NA,0.462205704301596,0.137002915143967,11.710324883461,NA,4.62205704301596,4.56676383813222,0.2,0.8,0.6,0,0.5,0.44444444,0.66666667,1,98.968864440918,17.1057319641113,0,0,98.9689,1,1,"2024-09-26",0
"Kevin Kelly",25679,"2024-09-22","TOR",12,2024,"TBR","H",26,1,0,0,1,0,0,0,0,0,0,1,0.1,2,1,0,0,0,0,0,0,0,0,1,27.000028163224,0,27.000028163224,1,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-74.4242691195584,-72.3367211985741,0,1,0,0,0,0,1,27.000028163224,2,5,7,-0.133445978164673,-0.206997990608215,0.0735520049929619,-0.592000007629395,-0.0650192201137543,3.14230012893677,1.66439998149872,3.32879996299744,2.13420009613037,1,1,-0.0373000092804432,-0.00516760128794188,0,1,0.57142857,91.25,0.42857143,78.33333333,NA,NA,NA,0.352001696825027,-0.560959696769714,NA,8.80004242062569,-18.6986565589905,NA,0,0.4,0.28571429,NA,1,1,0.71428571,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,5.21201800710102,NA,NA,NA,80,74.63087,80,54.11546,76.52442,32.95074,NA,NA,NA,80,78.05474,80,-2.46975,0.37247,NA,NA,NA,120.22,149.66,161.18,144.58,93.7,96.12,NA,NA,NA,130.66,125.677142857143,133.297142857143,NA,NA,0.57142857,0.42857143,NA,NA,91.3249969482422,78,NA,NA,-12.0327253341675,10.4752737681071,NA,NA,-1.44128823280334,4.01285807291667,NA,NA,0.35635257139802,-0.569699496030807,NA,NA,8.90881428495049,-18.9899832010269,0,0.4,0.28571429,NA,1,1,0.71428571,20.6,NA,NA,0.57142857,0.42857143,NA,NA,91.2937469482422,77.9119974772135,NA,NA,-11.3772001266479,12.0558331807454,NA,NA,-2.43422198295593,2.84418678283691,NA,NA,0.35635257139802,-0.569699496030807,NA,NA,8.90881428495049,-18.9899832010269,0,0.5,0.28571429,NA,1,1,0.57142857,1,69.4076232910156,23.6516075134277,0,0,69.4076,0,0,"2024-09-22",0
"Kevin Kelly",25679,"2024-09-20","TOR",12,2024,"TBR","H",26,1,0,0,1,0,0,0,0,0,0,0,1.2,6,1,0,0,0,0,0,0,0,0,2,10.8000041198746,0,5.40000205993731,2,0,0,2,1,1,0,0,0,0,0.33333333,0,0.33333333,1.64500686612628,0,0.166666666666667,0.600000228881923,0.25,1,0.766478862762102,-0.766478862762102,1.67368425256661,0,17.7196868897838,39.7917274688199,2,0.25,0.5,0.25,0,0,1,5.40000205993731,4,18,22,0.186985984444618,-0.0182559806853533,0.205241963267326,1.307000041008,0.143547505140305,1.55290007591248,1.77340006828308,2.64020013809204,1.73000001907349,1,1,0.0925646275281906,0.0278462007955483,1,0,0.72727273,91.3125,0.18181818,77.75,0.09090909,87.5,NA,0.647694885730743,0.285729050636292,0,4.04809303581715,7.14322626590729,0,0.3,0.75,0.54545455,0.66666667,1,0.91666667,0.54545455,0.83333333,0.04545455,1,2,1,2,0,2,4,0.25,0.5,0.25,0.5,0,0.5,1.41994803445943,20,68.23087,20,72.13965,59.93387,63.16224,69.7053,71.52507,37.76636,80,52.72884,80,73.83554,60.91897,66.13403,-1.3554,2.04399,136.2,45.1,32.64,120.9,115.04,127.58,143.02,86.38,103.1,126.02,193.2,164.76,126.778181818182,110.576363636364,117.878181818182,0.09090909,0.09090909,0.63636364,0.18181818,91.75,87.3500061035156,91.1142839704241,77.8499984741211,-5.11895561218262,0.269805163145065,-11.03112248012,11.5132713317871,6.17186260223389,3.42673110961914,-1.47685704912458,3.40755224227905,-0.0591252744197845,0,0.712888907641172,0.27137004211545,-2.95626372098923,0,5.09206362600837,6.78425105288625,0.25,0.71428571,0.54545455,0.5,1,0.91666667,0.63636364,19.25,0.09090909,0.09090909,0.63636364,0.18181818,91.5580444335938,87.1046524047852,90.9045846121652,77.6569976806641,-4.36828517913818,1.31368553638458,-10.2446692330497,12.9876499176025,5.8375449180603,2.86318492889404,-2.62959970746722,2.17439031600952,-0.0591252744197845,0,0.712888907641172,0.27137004211545,-2.95626372098923,0,5.09206362600837,6.78425105288625,0.25,0.71428571,0.54545455,0.5,1,0.91666667,0.63636364,4,91.9749298095703,15.6962556838989,0,0,110.19,2,0.5,"2024-09-20",0
"Kevin Kelly",25679,"2024-09-17","BOS",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,79.1489231587868,152.159040742638,0.5,0,0.333333333,0.666666666,0,0,0,0,3,7,10,0.00506798131391406,0,0.00506798131391406,0.451999992132187,0.0496430546045303,0.0689999982714653,0.134199991822243,0.134199991822243,NA,0,1,0.0757079795002937,-0.00225897311082682,0,0,0.8,91.375,0.2,77.5,NA,NA,NA,0.514409840106964,0.197321906685829,NA,6.43012300133705,9.86609533429146,NA,0.25,0.5,0.4,1,1,1,0.6,0.66666667,0,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,0.947613408387539,NA,NA,NA,80,75.02945,63.57515,66.0986,74.75316,58.37914,NA,NA,NA,80,73.27816,73.02476,-2.26897,0.67364,NA,NA,NA,124.42,110.36,130.4,135.56,124.42,126.88,NA,NA,NA,126.648,113.172,129.696,NA,NA,0.8,0.2,NA,NA,91.4375,77.6999969482422,NA,NA,-11.8897886276245,11.7159461975098,NA,NA,-1.81951570510864,4.72715711593628,NA,NA,0.520703919231892,0.199564710259438,NA,NA,6.50879899039865,9.97823551297188,0,0.57142857,0.4,NA,1,1,0.7,13.85714286,NA,NA,0.8,0.2,NA,NA,91.1403274536133,77.3800048828125,NA,NA,-11.2028589248657,13.1490001678467,NA,NA,-3.1252338886261,3.55870485305786,NA,NA,0.520703919231892,0.199564710259438,NA,NA,6.50879899039865,9.97823551297188,0,0.57142857,0.4,NA,1,1,0.7,3,88.4417826334635,22.2085596720378,1,0.33333333,104.157,1,0.33333333,"2024-09-17",0
"Kevin Kelly",25679,"2024-09-13","@CLE",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,104.744428506957,101.806421637006,2,0,1,0,0,0,0,0,6,8,14,0.0519079975783825,-0.0306640043854713,0.0825719982385635,0.480000019073486,0.0506329089403152,1.03349995613098,1.03760004043579,1.03760004043579,1.0103999376297,1,1,0.0273436475545168,0.0228817997427484,0,0,0.64285714,91.22222222,0.35714286,77.2,NA,NA,NA,0.189001604914665,0.292749881744385,NA,2.10001783238517,5.8549976348877,NA,0,0.28571429,0.14285714,NA,1,1,0.5,0.5,0,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,3.01005981520029,NA,NA,NA,43.73871,56.62372,51.34072,41.56292,61.01703,31.65691,NA,NA,NA,45.35419,58.40889,46.92514,0.41404,4.69815,NA,NA,NA,110.2,67.04,98.1,111.2,68.5,71.74,NA,NA,NA,110.557142857143,67.5614285714286,88.6857142857143,NA,NA,0.64285714,0.35714286,NA,NA,91.2888861762153,77.3799987792969,NA,NA,-9.06205240885417,10.0105987548828,NA,NA,-1.67566829257541,1.88747177124023,NA,NA,0.188033062964678,0.295451506972313,NA,NA,2.08925625516309,5.90903013944626,0,0.22222222,0.14285714,NA,1,1,0.64285714,16.8,NA,NA,0.64285714,0.35714286,NA,NA,91.3495008680556,77.4304626464844,NA,NA,-8.73824903700087,10.5556564331055,NA,NA,-2.02369011773003,1.41958379745483,NA,NA,0.188033062964678,0.295451506972313,NA,NA,2.08925625516309,5.90903013944626,0,0.22222222,0.14285714,NA,1,1,0.64285714,2,88.3304901123047,-30.4778900146484,0,0,98.9905,1,0.5,"2024-09-13",0
"Kevin Kelly",25679,"2024-09-11","@PHI",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1.54372908401489,0,0,0,0,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,155.935439203298,151.561560819707,3,0,1,0,0,0,0,0,3,8,11,0.0308919847011566,-0.00721800187602639,0.0381099879741669,0.500999987125397,0.0513056851923466,0.435899972915649,0.530999958515167,0.530999958515167,NA,0,1,0.0535249412059784,0.0173444935740382,0,0,0.63636364,90.85714286,0.36363636,77.75,NA,NA,NA,0.00375745818018913,0.289044976234436,NA,0.0536779740027019,7.2261244058609,NA,0.25,0.71428571,0.54545455,1,0.8,0.83333333,0.63636364,0.5,0.09090909,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,4.78524889477389,NA,NA,NA,57.62852,58.31995,52.75521,80,67.83964,78.60977,NA,NA,NA,75.93156,62.53992,70.00224,-1.48562,1.84866,NA,NA,NA,103.3,45.34,59.74,135.56,114.52,115.68,NA,NA,NA,115.030909090909,70.4963636363636,80.0818181818182,NA,NA,0.63636364,0.36363636,NA,NA,90.8999982561384,77.6999969482422,NA,NA,-9.56244005475726,10.7102203369141,NA,NA,-1.42019694192069,2.52218270301819,NA,NA,0.000239003449678421,0.292780712246895,NA,NA,0.00341433499540601,7.31951780617237,0.25,0.71428571,0.54545455,1,0.8,0.83333333,0.63636364,16.85714286,NA,NA,0.63636364,0.36363636,NA,NA,90.6658150809152,77.4403228759766,NA,NA,-9.22186279296875,11.6411752700806,NA,NA,-2.04274572644915,1.76121425628662,NA,NA,0.000239003449678421,0.292780712246895,NA,NA,0.00341433499540601,7.31951780617237,0.25,0.71428571,0.54545455,1,0.8,0.83333333,0.63636364,3,90.4547526041667,-1.12789758046468,0,0,97.7512,1,0.33333333,"2024-09-11",0
"Kevin Kelly",25679,"2024-09-09","@PHI",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,0,0,0.2,2,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0.5,1.50000156462356,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.1489231587868,76.9288520456552,2,0,1,0,0,0,0,0,4,6,10,0.0261599812656641,-0.0225239787250757,0.0486839599907398,0.263999998569489,0.0270353313535452,0.855900049209595,0.310400009155273,0.620800018310547,0.750999987125397,1,1,0.00834106002002954,0.0222232345957054,0,0,0.4,90.75,0.5,76.6,0.1,88,NA,-0.426561832427979,0.784760475158691,-0.0373910665512085,-10.6640458106995,15.6952095031738,-3.73910665512085,0.42857143,0.66666667,0.5,0.66666667,1,0.8,0.3,1,0.1,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,1.3270541498211,20,68.02324,20,80,56.65132,80,31.6467,67.05168,37.22091,78.51864,43.68486,75.88655,58.08927,66.00767,53.5318,-0.37715,3.51137,144.7,56.88,47.76,124.2,131.48,139.28,138.92,78.36,82.62,125.98,296.62,262.7,133.788,113.974,114.14,0.1,0.1,0.3,0.5,91.0999984741211,87.8000030517578,90.7666625976562,76.4400024414062,-4.80361318588257,0.0589116290211678,-9.29876073201497,10.2336975097656,6.97739124298096,4.01799869537354,-2.00011126200358,2.80270118713379,-0.0210469514131546,-0.0380783230066299,-0.412084575742483,0.798711452633142,-2.10469514131546,-3.80783230066299,-13.7361525247494,15.9742290526628,0.33333333,0.75,0.5,0.5,1,0.8,0.4,21.375,0.1,0.1,0.3,0.5,90.6779022216797,87.442497253418,90.4102986653646,76.0231018066406,-5.12045001983643,0.501824021339417,-9.10788663228353,11.329515838623,6.71885013580322,3.85400009155273,-2.78625011444092,1.83792037963867,-0.0210469514131546,-0.0380783230066299,-0.412084575742483,0.798711452633142,-2.10469514131546,-3.80783230066299,-13.7361525247494,15.9742290526628,0.28571429,1,0.5,0.5,1,0.8,0.3,2,90.9765167236328,-10.0482158660889,0,0,104.119,1,0.5,"2024-09-09",0
"Kevin Kelly",25679,"2024-09-08","@BAL",12,2024,"TBR","A",26,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,2.36232701961423,58.7187657997406,0,0,0,1,0,0,0,0,2,6,8,0.0396399945020676,0,0.0396399945020676,0.24600000679493,0.026451613754034,0.797999978065491,0.505999982357025,1.01199996471405,1.64400005340576,1,1,0.0500037856400013,-0.00032960570059487,0,0,1,91.625,NA,NA,NA,NA,NA,0.516135811805725,NA,NA,6.45169764757156,NA,NA,0.25,0.25,0.25,1,1,1,0.5,0.5,0,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.08771576180401,20,80,20,69.78586,65.85293,68.48492,NA,NA,NA,NA,NA,NA,64.52267,63.73276,67.88128,-0.77683,2.91185,118.72,49.64,24.62,121.6,113.74,122.86,NA,NA,NA,NA,NA,NA,121.24,105.7275,110.58,0.125,NA,0.875,NA,94.0999984741211,NA,91.2142857142857,NA,-7.36154508590698,NA,-11.0871854509626,NA,6.11604976654053,NA,-1.61544118608747,NA,-0.0380783230066299,NA,0.602273873984814,NA,-3.80783230066299,NA,8.60391248549734,NA,0,0.33333333,0.25,NA,1,1,0.75,16,0.125,NA,0.875,NA,94.1884002685547,NA,91.3421020507812,NA,-6.60623979568481,NA,-10.66576058524,NA,5.64938020706177,NA,-2.24253872462681,NA,-0.0380783230066299,NA,0.602273873984814,NA,-3.80783230066299,NA,8.60391248549734,NA,0.25,0.25,0.25,1,1,1,0.5,1,99.5871124267578,20.9038619995117,0,0,99.5871,1,1,"2024-09-08",0
"Kevin Kelly",25679,"2024-09-05","MIN",12,2024,"TBR","H",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,79.1489231587868,152.159040742638,1,0,0.5,0.5,0,0,0,0,4,11,15,0.0326399877667427,-0.0169799998402596,0.0496199876070023,0.452000021934509,0.0496430546045303,0.560150027275085,0.591199994087219,0.591199994087219,NA,0,1,0.0203238353133202,0.0379462462316611,0,0,0.66666667,91.5,0.2,78,0.13333333,89,NA,-0.508703112602234,0.272104054689407,0.152469500899315,-5.08703112602234,9.07013515631358,7.62347504496574,0.5,0.57142857,0.53333333,1,0.75,0.875,0.46666667,0.75,0.06666667,1,3,0,1,2,1,4,0.25,0.75,0,0.25,0.5,0.25,1.03919588710961,80,43.28575,80,67.07997,66.88319,61.75724,80,69.14619,80,20,54.77055,20,80,63.19192,80,-1.95696,1.14165,118.56,190,165.04,116.46,100.76,111.66,141.18,201.58,201.56,108.06,75.64,56.2,120.424,123.524,125.804,0.06666667,0.13333333,0.6,0.2,92,88.8000030517578,91.3999972873264,78,-7.1345477104187,-1.13441014289856,-11.7688200208876,9.5431162516276,5.63277959823608,4.47385692596436,-1.69401698642307,4.8448969523112,-0.0380783230066299,0.154328376054764,-0.475260946899652,0.275721356272697,-3.80783230066299,7.71641880273819,-5.28067718777392,9.19071187575658,0.6,0.5,0.53333333,1,0.8,0.875,0.66666667,19.81818182,0.06666667,0.13333333,0.6,0.2,91.6689987182617,88.5250015258789,91.0991550021701,77.6747639973958,-6.14660978317261,0.0145009905099869,-11.0056330362956,10.7938893636068,4.78043985366821,3.97951984405518,-2.94813262091743,3.66213003794352,-0.0380783230066299,0.154328376054764,-0.475260946899652,0.275721356272697,-3.80783230066299,7.71641880273819,-5.28067718777392,9.19071187575658,0.6,0.5,0.53333333,1,0.8,0.875,0.66666667,4,89.2611897786458,9.73552640279134,0,0,103.578,1,0.25,"2024-09-05",0
