"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Landon Knack",27487,"2024-09-29","@COL",22,2024,"LAD","A",26,0,0,2.25,1,0,0,0,0,0,0,0,4,17,5,1,1,1,0,0,0,0,0,4,9,0,11.25,4,0,0,3,8,2,0,0,0,0,0.23529412,0,0.23529412,3.63452839997647,2.25,0.294117647058824,1.25,0.333333333333333,1,4.4164797782898,-2.1664797782898,4.19049659073353,55.6897713696825,106.876538081028,103.055865631376,0.375,0.153846153,0.23076923,0.615384615,0,0.125,0,0,20,41,61,0.121839992702007,-0.223088026046753,0.344928026199341,1.51600003242493,0.131940826773643,0.85948234796524,0.884799957275391,0.920000016689301,0.912799954414368,1,1,-0.0109948432072997,0.152754581485176,1,0,0.44262295,94.14814815,0.18032787,85.72727273,0.2295082,79.92857143,0.14754098,83.88888889,0.495783418416977,0.463703751564026,-1.43990755081177,-0.102925226092339,1.83623488302584,4.21548865058205,-10.2850539343698,-1.14361362324821,0.375,0.82758621,0.59016393,0.66666667,0.875,0.80555556,0.47540984,0.70588235,0.1147541,6,4,3,0,10,3,13,0.46153846,0.30769231,0.23076923,0,0.76923077,0.23076923,3.83677427506881,NA,42.27904,45.22608,38.64596,20.60793,38.43737,20,67.2819,42.1519,79.89601,20,47.15004,20,40.02144,38.43369,44.66772,0.74534,5.1951,111.68,94.66,91.68,81.5,86.64,67.6,69.7,136.38,110.08,108.021666666667,76,88.3416666666667,85.9942105263158,102.316842105263,88.4092105263158,0.44262295,0.18032787,0.2295082,0.14754098,94.0703667534722,85.5909090909091,79.8714250837054,83.7888861762153,-3.95754015887225,1.02932262420654,3.61485372270857,-6.20330217149523,8.83068508572049,0.380825042724609,-5.88331113542829,2.61797841389974,0.518152255564928,0.468907743692398,-1.46007739752531,-0.106226023286581,1.91908242801825,4.26279766993089,-10.4291242680379,-1.18028914762868,0.36666667,0.80645161,0.59016393,0.54545455,0.88,0.77777778,0.50819672,16.86046512,0.14754098,0.2295082,0.44262295,0.18032787,83.8178032769097,79.9032679966518,94.1185257523148,85.6176646839489,-6.63437991672092,3.50390134538923,-4.09836663140191,1.13095595619895,2.70908334520128,-6.12918635777065,8.85534611454716,0.329027826135809,-0.106226023286581,-1.46007739752531,0.518152255564928,0.468907743692398,-1.18028914762868,-10.4291242680379,1.91908242801825,4.26279766993089,0.40625,0.79310345,0.59016393,0.53846154,0.91304348,0.77777778,0.47540984,13,94.0680401141827,26.7091487004207,1,0.07692308,111.279,6,0.46153846,"2024-09-29",0
"Landon Knack",27487,"2024-09-24","SDP",22,2024,"LAD","H",26,0,1,9,1,1,0,0,0,0,0,0,4,18,5,4,4,1,1,0,0,1,1,4,9,2.25,11.25,4,0,0,4,8,1,1,0,0,0,0.22222222,0.05555556,0.16666667,4.35649451297235,2.25,0.294117647058824,1.5,0.333333333333333,0.43478261,5.1664797782898,3.8335202217102,4.94049659073353,222.75908547873,124.726858433935,121.180158328176,0.5,0.076923076,0.307692307,0.615384615,0.125,0.125,1,2.25,29,48,77,-0.247359976172447,-0.509879946708679,0.262519985437393,-2.08820009231567,-0.220973551273346,0.852095246315002,0.897500038146973,0.870000004768372,0.449999988079071,1,1,-0.236762136220932,-0.0535340216818234,0,0,0.46753247,94,0.23376623,86.05555556,0.22077922,80.47058824,0.07792208,85.33333333,0.227622047066689,0.921469271183014,-0.684063196182251,-1.63894283771515,0.632283464074135,5.11927372879452,-4.02390115401324,-27.3157139619191,0.23684211,0.69230769,0.46753247,0.55555556,0.85185185,0.77777778,0.50649351,0.55555556,0.1038961,4,5,4,1,6,6,13,0.30769231,0.38461538,0.30769231,0.07692308,0.46153846,0.46153846,3.46534044949527,38,35.14559,42.0082,58.1518,43.94427,37.0003,48.39081,60.34342,52.45567,60.09748,60.59758,45.42239,71.47567,54.00883,42.98839,61.73566,-0.12364,3.89163,83.3,100.82,89.66,75.68,114.38,84.66,97.26,94.96,88.9,101.32,113.96,126.78,90.8527659574468,103.898723404255,94.5057446808511,0.46753247,0.23376623,0.22077922,0.07792208,93.8666653103299,85.9888916015625,80.5176499310662,85.2833353678385,-4.48046323988173,1.58724647098117,3.76581214455997,-6.3122984568278,11.2493650648329,1.21345625983344,-8.01986245548024,9.26423263549805,0.230431668460369,0.929899830371141,-0.710551857948303,-1.64534189924598,0.64008796794547,5.16611016872856,-4.17971681146061,-27.422364987433,0.18181818,0.68181818,0.46753247,0.5,0.83333333,0.77777778,0.57142857,17.06779661,0.07792208,0.22077922,0.46753247,0.23376623,85.1431528727214,80.3896484375,93.7433539496528,85.838134765625,-5.77945327758789,4.30258178710938,-4.19700537787543,2.21803241305881,7.92822647094727,-9.71784434599035,10.253785027398,-0.0219794313112895,-1.64534189924598,-0.710551857948303,0.230431668460369,0.929899830371141,-27.422364987433,-4.17971681146061,0.64008796794547,5.16611016872856,0.18181818,0.68181818,0.46753247,0.5,0.83333333,0.77777778,0.57142857,13,95.5085918719952,26.800534761869,1,0.07692308,107.236,8,0.61538462,"2024-09-24",0
"Landon Knack",27487,"2024-09-18","@MIA",22,2024,"LAD","A",26,1,0,0,1,1,0,0,0,0,0,0,5,19,2,0,0,0,2,0,0,0,0,7,12.6,3.6,3.6,3.5,0,0,4,5,1,0,0,0,0,0.36842105,0.10526316,0.2631579,2.96924431408751,0,0.117647058823529,0.8,0.2,1,1.5664797782898,-1.5664797782898,3.07848818451166,0,39.0453207399821,76.1833778504874,0.8,0.1,0.4,0.5,0,0,6,10.8,31,56,87,0.204000011086464,-0.141879960894585,0.345879971981049,2.6100001335144,0.259701490402222,0.821200013160706,0.745200037956238,0.870000004768372,0.319999992847443,1,1,0.208457216620445,0.0399597437024011,0,0,0.59770115,94.53846154,0.14942529,86.07692308,0.17241379,81,0.08045977,86.14285714,2.35026884078979,0.797749400138855,-0.358446776866913,-0.422538936138153,4.51974777074961,6.13653384722196,-2.38964517911275,-6.03627051625933,0.27272727,0.55813953,0.4137931,0.66666667,0.875,0.80555556,0.49425287,0.63157895,0.08045977,3,3,4,0,8,2,10,0.3,0.3,0.4,0,0.8,0.2,1.02560394855062,69,20,45.30556,20,42.85733,38.69558,51.11018,73.95162,67.87324,62.65254,60.74979,45.98231,74.51568,61.25925,55.24569,56.20377,-0.57408,3.21597,85.24,28.16,29.42,92.42,113.94,93.96,107.74,120.36,133.02,122.12,123.84,121.56,105.222745098039,110.473137254902,112.276078431373,0.59770115,0.14942529,0.17241379,0.08045977,94.5480769230769,85.9615384615385,81.0200032552083,85.9857177734375,-5.22045252873347,1.39196703984187,4.19713999430339,-7.15240805489676,12.2692249004657,-0.464449552389292,-7.8444814046224,8.83991350446429,2.37279450520873,0.805921051651239,-0.366523146629333,-0.430363819003105,4.56306635617064,6.19939270500953,-2.44348764419556,-6.14805455718722,0.23076923,0.5625,0.4137931,0.77777778,0.81481481,0.80555556,0.55172414,17.1641791,0.08045977,0.17241379,0.59770115,0.14942529,85.8171909877232,80.8632731119792,94.4061654897837,85.7954571063702,-6.7811655317034,4.8787099202474,-4.78290293766902,2.12695693969727,7.24916839599609,-9.89381612141927,10.83251953125,-2.05362525353065,-0.430363819003105,-0.366523146629333,2.37279450520873,0.805921051651239,-6.14805455718722,-2.44348764419556,4.56306635617064,6.19939270500953,0.23076923,0.5625,0.4137931,0.77777778,0.81481481,0.80555556,0.55172414,10,86.5619812011719,19.2229751586914,0,0,100.205,2,0.2,"2024-09-18",0
"Landon Knack",27487,"2024-09-13","@ATL",22,2024,"LAD","A",26,0,1,22.5,1,1,0,0,0,0,0,0,2,15,7,5,5,2,2,0,0,0,0,2,9,9,31.5,1,0.666666666,0,3,4,4,0,2,0,0,0.13333333,0.13333333,0,6.11468908271283,9,0.538461538461538,4.5,0.555555555555556,0.64516129,17.1664797782898,5.33352022171021,7.19049659073353,556.897713696825,410.331984080444,175.553036418574,0.75,0.363636363,0.272727272,0.363636363,0,0.5,1,4.5,25,39,64,-0.306983947753906,-0.48024794459343,0.173263996839523,-3.98600006103516,-0.405081301927567,0.832480013370514,0.821200013160706,0.870000004768372,0.303600013256073,1,1,-0.355013251304626,-0.0137450886235613,0,0,0.46875,93.66666667,0.3125,86.05,0.15625,80,0.0625,85.75,-1.98825871944427,-1.18669378757477,-1.70855951309204,0.473220229148865,-6.62752906481425,-5.93346893787384,-17.0855951309204,11.8305057287216,0.25,0.83333333,0.46875,0.8,0.85,0.83333333,0.375,0.53333333,0.078125,8,3,0,1,4,6,11,0.72727273,0.27272727,0,0.09090909,0.36363636,0.54545455,16.7124313719114,9,51.32418,38.5866,78.98219,46.20166,30.7153,65.6491,50.00173,47.97461,54.62004,32.91387,45.57249,42.87847,41.90736,40.74365,55.51577,0.62818,5.01936,74.36,107.94,97.22,69.22,114.86,83.96,87.98,114.84,101.62,117.78,69.04,70.02,92.2140540540541,101.880540540541,89.0578378378378,0.46875,0.3125,0.15625,0.0625,93.5799967447917,85.9049987792969,80.1400024414063,85.8499984741211,-4.79046834309896,0.735482835769653,3.95763053894043,-5.29609107971191,11.1125396728516,1.02750043869019,-7.42032089233398,8.83406829833984,-2.0035691447556,-1.20576362684369,-1.71555828303099,0.479012373834848,-6.67856381585201,-6.02881813421845,-17.1555828303099,11.9753093458712,0.21875,0.71875,0.46875,0.71428571,0.86956522,0.83333333,0.5,17.36734694,0.0625,0.15625,0.46875,0.3125,85.8963012695312,80.2537414550781,93.6840576171875,85.9972900390625,-4.88889980316162,4.49251899719238,-4.42728881835937,1.35712175369263,7.37867498397827,-8.93116073608399,10.0171875,-0.284995245933533,0.479012373834848,-1.71555828303099,-2.0035691447556,-1.20576362684369,11.9753093458712,-17.1555828303099,-6.67856381585201,-6.02881813421845,0.25806452,0.66666667,0.46875,0.75,0.86363636,0.83333333,0.515625,11,95.6457852450284,10.3576507568359,5,0.45454545,107.302,8,0.72727273,"2024-09-13",0
"Landon Knack",27487,"2024-09-06","CLE",22,2024,"LAD","H",26,0,1,3,1,1,1,0,0,0,0,0,6,22,3,2,2,1,1,0,0,0,0,8,12,1.5,4.5,8,0,0,2,7,4,0,0,0,0,0.36363636,0.04545455,0.31818182,2.65021255708629,1.5,0.142857142857143,0.666666666666667,0.166666666666667,0.76923077,3.1664797782898,-0.166479778289796,2.76382291888197,74.25302849291,77.1260041595167,68.5792640161025,0.285714285,0.307692307,0.153846153,0.538461538,0,0.142857142,1,1.5,29,62,91,0.0206999685615301,-0.378619998693466,0.399319976568222,0.867799937725067,0.0918306857347488,0.926434814929962,1.06666672229767,0.870000004768372,0.952000021934509,1,1,0.177964553236961,-0.155620867283088,0,0,0.42857143,94.1025641,0.23076923,86.0952381,0.1978022,80.61111111,0.14285714,85.84615385,0.0774435102939606,1.19916331768036,0.262111246585846,0.419019222259521,0.198573103317848,5.71030151276361,1.45617359214359,3.2232247866117,0.38983051,0.6875,0.49450549,0.73913043,0.77272727,0.75555556,0.35164835,0.72727273,0.12087912,6,6,1,1,9,3,13,0.46153846,0.46153846,0.07692308,0.07692308,0.69230769,0.23076923,4.07246643910673,64,59.46191,39.80952,76.47057,35.17989,37.01862,39.5823,53.05812,49.04825,55.27729,58.54251,47.01858,65.93985,50.29276,41.81268,59.30788,0.10722,4.23792,84.46,132.86,101.96,81.82,104.56,83.34,90.56,103.98,91.1,124.04,116.3,110.76,95.1565137614679,107.657798165138,93.2071559633027,0.42857143,0.23076923,0.1978022,0.14285714,94.035894931891,85.9571416945684,80.4944458007812,85.7846116286058,-3.98033768091446,1.09847804478237,4.49179712931315,-5.44077887901893,10.5899274777143,0.528250512622652,-7.75773620605469,8.60339883657602,0.130260836333036,1.21355132758617,0.304494366049767,0.422907885164022,0.334002144443683,5.77881584564845,1.69163536694315,3.25313757818479,0.39215686,0.625,0.49450549,0.7,0.8,0.75555556,0.43956044,16.8115942,0.14285714,0.18681319,0.42857143,0.24175824,85.6615178034856,80.2324362362132,93.9322666266026,85.6827059659091,-5.19770636925331,5.01398423138787,-3.72203142215044,1.98368662053889,7.50423607459435,-9.38126866957721,9.89948527018229,-0.702744180505926,0.422907885164022,0.328737299889326,0.130260836333036,1.18930839374661,3.25313757818479,1.93374882287839,0.334002144443683,5.40594724430279,0.3877551,0.61904762,0.49450549,0.73684211,0.76923077,0.75555556,0.46153846,13,88.1228590745192,27.5001924954928,0,0,104.33,3,0.23076923,"2024-09-06",0
"Landon Knack",27487,"2024-08-13","@MIL",22,2024,"LAD","A",26,0,0,2.25,1,0,0,0,0,1,0,0,4,16,3,1,1,0,0,0,1,0,0,2,4.5,0,6.75,2,0.2,0,5,7,1,3,1,0,0,0.125,0,0.125,4.52146345901489,0,0.2,0.75,0.230769230769231,0.75,2.9164797782898,-0.666479778289795,5.56249448917806,55.6897713696825,71.1758973752144,136.211187619113,0.714285714,0.076923076,0.384615384,0.538461538,0.428571428,0,0,0,18,46,64,0.0387200005352497,-0.0407680012285709,0.0794880017638206,0.995999991893768,0.102311246097088,0.269125014543533,0.266550004482269,0.299000024795532,NA,0,1,0.133477181196213,0.0103964776716678,0,0,0.546875,94.74285714,0.1875,86.83333333,0.21875,81.07142857,0.046875,87.33333333,1.01482164859772,0.737210154533386,-0.558106422424316,0.0739697068929672,2.89949042456491,6.14341795444489,-3.98647444588797,2.46565689643224,0.38235294,0.6,0.484375,0.84615385,0.94444444,0.90322581,0.46875,0.5,0.046875,6,3,4,6,4,3,13,0.46153846,0.23076923,0.30769231,0.46153846,0.30769231,0.23076923,1.12904320031492,NA,20,35.60265,20,52.13948,42.89771,58.76205,63.77258,52.52004,58.99603,56.16125,50.44022,63.6295,57.34247,45.17262,58.14916,-0.33075,3.58097,71.78,58.64,34.38,80.64,108.52,82.8,98.12,109.38,111.4,122.32,97.68,103.98,96.3320512820513,104.594615384615,98.5120512820513,0.546875,0.1875,0.21875,0.046875,94.7085728236607,86.7583312988281,80.9571446010045,87.3333333333333,-4.46029357910156,0.697746833165487,4.30845505850656,-6.41801198323568,10.760791015625,0.503080606460571,-8.74014227730887,9.05608304341634,1.02122144773602,0.728324312716722,-0.567984815686941,0.0744992159307003,2.91777556496007,6.06936927263935,-4.05703439776387,2.48330719769001,0.37931034,0.57142857,0.484375,0.81818182,0.95,0.90322581,0.546875,16.95833333,0.046875,0.21875,0.546875,0.1875,87.1842346191406,80.8344552176339,94.5877859933036,86.6181437174479,-6.30136680603027,4.600280216762,-4.3879887172154,1.01877586046855,7.66650644938151,-10.4910888671875,9.80152064732143,-0.810883283615112,0.0744992159307003,-0.567984815686941,1.02122144773602,0.728324312716722,2.48330719769001,-4.05703439776387,2.91777556496007,6.06936927263935,0.39285714,0.55555556,0.484375,0.81818182,0.95,0.90322581,0.5625,13,79.8250544621394,30.1135699932392,0,0,104.258,3,0.23076923,"2024-08-13",0
"Landon Knack",27487,"2024-07-23","SFG",22,2024,"LAD","H",26,1,0,1.8,1,1,0,0,0,0,0,0,5,20,2,1,1,1,2,0,0,0,0,6,10.8,3.6,3.6,3,0.25,0,4,7,1,1,1,0,0,0.3,0.1,0.2,3.72114408401489,1.8,0.111111111111111,0.8,0.0909090909090909,1,4.56647977828979,-2.76647977828979,4.08329154700041,44.551817095746,110.446602151609,100.465178176453,0.571428571,0.083333333,0.333333333,0.583333333,0.142857142,0.142857142,4,7.2,46,50,96,0.162180006504059,-0.21048004925251,0.372660040855408,1.38979995250702,0.147068783640862,0.962999999523163,0.969599962234497,0.870000004768372,0.896000027656555,1,1,-0.0113712828606367,0.179782504651253,0,0,0.45833333,93.61363636,0.1875,85.55555556,0.1875,79.66666667,0.16666667,83.5625,1.15568840503693,-0.854736566543579,0.0554536953568459,0.426469683647156,2.62656455690211,-4.74853648079766,0.30807608531581,2.66543552279472,0.20689655,0.63157895,0.375,0.66666667,0.75,0.72222222,0.39583333,0.45,0.10416667,6,3,3,3,6,3,12,0.5,0.25,0.25,0.25,0.5,0.25,3.36290368404707,59,32.00303,52.53986,20,32.9174,39.68224,44.40257,37.47448,53.01051,26.66299,60.48474,46.5029,57.09231,33.75315,46.89879,27.10268,1.13477,5.77925,98.2,64.64,76.64,76.4,104.98,79.24,95.52,77.06,75.26,125.405555555556,100.566666666667,121.66,97.9852083333333,84.6325,84.93625,0.45833333,0.1875,0.1875,0.16666667,93.497725053267,85.5388861762153,79.5555555555556,83.5062484741211,-4.43067515980114,3.98874325222439,3.74449327256944,-7.40386056900024,11.293418190696,2.52067014906141,-9.32136535644531,8.84574604034424,1.16193914040923,-0.850852876901627,0.0960969105362892,0.428289242088795,2.64077077365734,-4.72696042723126,0.533871725201607,2.67680776305497,0.16981132,0.62790698,0.375,0.66666667,0.74074074,0.72222222,0.44791667,16.34210526,0.16666667,0.1875,0.45833333,0.1875,83.5976791381836,79.6544664171007,93.6061012961648,85.6325344509549,-7.07568550109863,4.53436957465278,-4.16889745538885,4.75944391886393,7.86524152755737,-10.9138802422418,10.6289763017134,1.44686773088243,0.428289242088795,0.0960969105362892,1.16193914040923,-0.850852876901627,2.67680776305497,0.533871725201607,2.64077077365734,-4.72696042723126,0.17307692,0.61363636,0.375,0.66666667,0.74074074,0.72222222,0.45833333,12,82.4339345296224,14.357349395752,1,0.08333333,104.038,3,0.25,"2024-07-23",0
"Landon Knack",27487,"2024-07-11","@PHI",22,2024,"LAD","A",26,0,0,6.23076968785577,1,0,0,0,0,0,0,0,4.1,20,6,3,3,1,1,0,0,0,0,5,10.3846161464263,2.07692322928526,12.4615393757115,5,0.285714285,0,7,6,1,1,2,0,0,0.25,0.05,0.2,3.12058658401489,2.07692322928526,0.315789473684211,1.61538473388853,0.384615384615385,0.71428571,4.55109526447997,1.6796744233758,3.64464529890578,154.217839721705,110.080444151637,89.8649741886932,1.166666666,0.071428571,0.5,0.428571428,0.166666666,0.166666666,1,2.07692322928526,31,47,78,-0.112997867166996,-0.327053964138031,0.214056119322777,-1.01900005340576,-0.10435226559639,0.693570017814636,0.730599999427795,0.770399987697601,0.390999972820282,1,1,-0.0604988820850849,-0.10242319393406,0,1,0.32051282,93.56,0.24358974,83.84210526,0.32051282,78.4,0.11538462,83.55555556,-0.111626416444778,-1.52456474304199,0.248570427298546,-0.0769279897212982,-0.446505665779114,-8.02402496337891,0.994281709194183,-0.854755441347758,0.30612245,0.62068966,0.42307692,0.53333333,0.88888889,0.72727273,0.37179487,0.65,0.11538462,9,3,2,3,7,4,14,0.64285714,0.21428571,0.14285714,0.21428571,0.5,0.28571429,3.03132948963164,NA,28.14834,49.39068,20,20,48.2972,20,60.33071,59.91535,53.01592,48.77642,41.56034,52.92451,34.58043,49.06925,29.41148,1.08337,5.70215,91.62,52.68,64.32,87.3,75.4,62.62,99.78,121.62,130.88,103.88,105.94,117.98,95.0029126213592,88.6502912621359,89.2815533980583,0.32051282,0.24358974,0.32051282,0.11538462,93.57599609375,83.7789499383224,78.332001953125,83.4666680230035,-5.20799743652344,2.63425204628392,5.08184539794922,-7.07949023776584,12.0050610351563,0.899703778718647,-10.1379034423828,8.60365888807509,-0.0984254889190197,-1.54039211571217,0.288077060133219,-0.0784632749855518,-0.393701955676079,-8.10732692480087,1.15230824053288,-0.871814166506132,0.28888889,0.60606061,0.42307692,0.53846154,0.85,0.72727273,0.42307692,16.79310345,0.11538462,0.32051282,0.32051282,0.24358974,83.0709431966146,77.95044921875,93.195537109375,83.3810199938322,-7.3069568210178,5.25708862304687,-5.27777587890625,2.93610803704513,7.74750094943576,-11.9415844726563,11.0448986816406,-0.436458286486174,-0.0784632749855518,0.288077060133219,-0.0984254889190197,-1.54039211571217,-0.871814166506132,1.15230824053288,-0.393701955676079,-8.10732692480087,0.30434783,0.59375,0.42307692,0.5,0.89473684,0.72727273,0.41025641,14,90.8853498186384,17.1655099051339,1,0.07142857,109.082,6,0.42857143,"2024-07-11",0
"Landon Knack",27487,"2024-07-04","ARI",22,2024,"LAD","H",26,0,1,8.30769291714103,1,1,0,0,0,0,0,0,4.1,18,4,4,4,3,1,0,0,0,0,6,12.4615393757115,2.07692322928526,8.30769291714103,6,0,0,0,8,3,1,0,0,0,0.33333333,0.05555556,0.27777778,3.8462229085704,6.23076968785577,0.235294117647059,1.15384623849181,0.125,1,10.0895572092407,-1.78186429209963,3.88095688834389,205.623786295606,241.898204120119,95.5756147415229,0,0.272727272,0,0.727272727,0.125,0.375,3,6.23076968785577,34,51,85,-0.207879990339279,-0.385159969329834,0.177279978990555,-1.86319994926453,-0.19716402888298,0.523473680019379,0.693199992179871,0.870000004768372,0.673999965190887,1,1,-0.534610867500305,0.137494454060792,0,0,0.49411765,92.57142857,0.21176471,84.83333333,0.07058824,77.83333333,0.22352941,83.57894737,-0.736080348491669,-0.135463088750839,-0.0283751115202904,-0.778966784477234,-1.7525722583135,-0.75257271528244,-0.472918525338173,-4.09982518145913,0.2,0.6,0.38823529,0.66666667,0.79166667,0.75757576,0.47058824,0.61111111,0.09411765,5,3,3,1,3,7,11,0.45454545,0.27272727,0.27272727,0.09090909,0.27272727,0.63636364,10.9100666505794,32,34.18284,45.42245,41.33342,67.34775,43.33436,68.1248,50.00104,49.60115,44.34065,56.68359,37.41533,63.19878,45.50282,43.9443,47.65643,0.4048,4.68429,93.82,96.94,84.92,84.66,144.92,123.8,83.12,109.76,101.76,105.8,109.54,113,90.670989010989,110.579120879121,102.976703296703,0.49411765,0.21176471,0.07058824,0.22352941,92.5023832775298,84.7833319769965,77.7999979654948,83.6000012849507,-4.62390572684152,1.8150028652615,4.33794657389323,-5.90443781802529,11.0883040655227,2.21641985575358,-9.2871576944987,8.55811912135074,-0.689014609903097,-0.141761988401413,-0.0294469967484474,-0.732964605093002,-1.64051097595976,-0.787566602230072,-0.49078327914079,-3.85770844785791,0.13953488,0.64285714,0.38823529,0.5,0.81481481,0.75757576,0.49411765,14.92537313,0.22352941,0.07058824,0.49411765,0.21176471,83.6178107010691,77.8319346110026,92.5486769903274,84.8023003472222,-5.68592473080284,4.8221066792806,-4.5424808320545,2.32493485344781,7.43371662340666,-11.0592549641927,10.1963740757533,0.970903502570258,-0.732964605093002,-0.0294469967484474,-0.689014609903097,-0.141761988401413,-3.85770844785791,-0.49078327914079,-1.64051097595976,-0.787566602230072,0.1,0.64444444,0.38823529,0.5,0.79310345,0.75757576,0.52941176,11,96.6159556995739,31.3831981312145,4,0.36363636,109.65,7,0.63636364,"2024-07-04",0
"Landon Knack",27487,"2024-06-28","@SFG",22,2024,"LAD","A",26,0,0,1.92857169131847,1,1,0,0,0,0,0,0,4.2,19,5,1,1,1,0,0,0,0,0,7,13.5000018392293,0,9.64285845659235,7,0,0,2,5,5,0,0,0,0,0.36842105,0,0.36842105,2.11162105518831,1.92857169131847,0.263157894736842,1.07142871739915,0.363636363636364,1,2.95219403480997,-1.0236223434915,1.7864885969472,47.7340962486967,72.0259119352823,44.961272931604,0.4,0.416666666,0.166666666,0.416666666,0,0.2,2,3.85714338263694,27,49,76,0.0766419768333435,-0.262152016162872,0.338793992996216,0.89300000667572,0.0949494987726212,0.919557869434357,1.01724004745483,0.870000004768372,2.771399974823,1,1,0.0106613002717495,0.0726852506968023,0,0,0.48684211,93.10810811,0.26315789,84.75,0.10526316,77.875,0.14473684,83.18181818,-1.93926537036896,1.49944961071014,0.237480163574219,-0.352190345525742,-5.24125775775394,7.49724805355072,2.96850204467773,-3.20173041387038,0.2826087,0.7,0.44736842,0.53846154,0.85714286,0.73529412,0.39473684,0.57894737,0.11842105,6,3,3,1,6,5,12,0.5,0.25,0.25,0.08333333,0.5,0.41666667,4.98764684125117,56,20.92201,48.97256,20,23.85914,38.93177,31.00553,64.09809,55.06433,63.2323,41.06645,40.39523,46.73921,44.81003,47.16697,46.46437,0.44784,4.74885,100.38,58.18,54.06,95.7,84.06,73.72,88.96,133.18,127.94,114.72,100.7,101.82,98.1013157894737,108.606842105263,104.665789473684,0.48684211,0.26315789,0.10526316,0.14473684,93.0513487119932,84.7,77.8625030517578,83.0636374733665,-5.02597582018053,2.32658767700195,4.64087581634521,-6.23618455366655,11.5156406711888,2.61968536376953,-9.03635787963867,8.35609782825817,-1.93996742740273,1.55774775519967,0.239577159285545,-0.314864210784435,-5.24315520919658,7.78873877599835,2.99471449106932,-2.86240191622214,0.24390244,0.68571429,0.44736842,0.4,0.875,0.73529412,0.46052632,15.31578947,0.14473684,0.10526316,0.48684211,0.26315789,83.4089910333807,78.2239837646484,93.4276881862331,85.048291015625,-6.17285017533736,4.92145490646362,-4.90173092403927,2.77399711608887,7.21590701016513,-10.7609834671021,10.3799397236592,1.39459924697876,-0.314864210784435,0.239577159285545,-1.93996742740273,1.55774775519967,-2.86240191622214,2.99471449106932,-5.24315520919658,7.78873877599835,0.27027027,0.61538462,0.44736842,0.4,0.875,0.73529412,0.51315789,12,89.7716674804688,23.6104990641276,3,0.25,109.252,5,0.41666667,"2024-06-28",0
