"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Luis Gil",21052,"2024-09-28","PIT",9,2024,"NYY","H",26,0,1,9.52941283387721,1,1,0,0,0,0,0,0,5.2,24,6,6,6,4,1,0,0,0,0,5,7.94117736156434,1.58823547231287,9.52941283387721,5,0,0,2,13,3,0,0,0,0,0.20833333,0.04166667,0.16666667,5.44269262335964,6.35294188925147,0.260869565217391,1.23529425624334,0.142857142857143,0.71428571,11.1076571398541,-1.57824430597693,5.39991107844185,236.45762902276,266.801676289761,132.491194642689,0.153846153,0.166666666,0.111111111,0.722222222,0,0.307692307,1,1.58823547231287,31,58,89,-0.244403973221779,-0.509679973125458,0.265275985002518,-3.15490007400513,-0.32761162519455,0.604700028896332,0.777133345603943,0.870000004768372,0.0767999961972237,1,1,-0.495498448610306,0.0913245416438174,0,0,0.39325843,95.77142857,0.34831461,86.19354839,NA,NA,0.25842697,91.43478261,NA,-1.09252643585205,0.170923635363579,NA,-1.71920585632324,-3.12150410243443,0.551366565688964,NA,-7.47480807097062,0.33928571,0.78787879,0.50561798,0.57894737,0.84615385,0.73333333,0.37078652,0.58333333,0.13483146,8,3,7,3,9,6,18,0.44444444,0.16666667,0.38888889,0.16666667,0.5,0.33333333,11.2600435715273,22,53.57107,77.36868,50.10722,79.12743,63.94108,79.76869,55.10581,55.199,49.08431,66.93049,69.56661,63.23819,-0.92642,2.68746,89.14,103.88,95.64,112.82,121.06,131.54,117.34,92.02,116.1,108.171818181818,106.669772727273,116.893409090909,0.39325843,0.34831461,0.25842697,95.8028599330357,86.1548402847782,91.3173934273098,-4.83711896623884,2.99386178293536,-11.0146491009256,10.9341151646205,4.1584723687941,3.32857911483101,-1.07561256736517,0.227856926620007,-1.68704424053431,-3.07317876390048,0.735022343935505,-7.33497495884481,0.36585366,0.625,0.50561798,0.6,0.8,0.73333333,0.53932584,16.92307692,0.25842697,0.39325843,0.34831461,91.2088994565217,95.7048967633929,86.0398973034274,-10.4362806237262,-3.93852321079799,3.99756400815902,2.11519257918648,9.9910888671875,2.99850340812437,-1.68704424053431,-1.07561256736517,0.227856926620007,-7.33497495884481,-3.07317876390048,0.735022343935505,0.35714286,0.63829787,0.50561798,0.6,0.8,0.73333333,0.52808989,18,91.203118218316,24.5700514051649,3,0.16666667,110.202,9,0.5,"2024-09-28",0
"Luis Gil",21052,"2024-09-22","@OAK",9,2024,"NYY","A",26,1,0,6.75000040233138,1,1,0,0,0,0,0,0,5.1,24,5,4,4,0,3,0,0,0,0,5,8.43750050291422,5.06250030174853,8.43750050291422,1.66666667,0,0,5,8,3,1,0,0,0,0.20833333,0.125,0.08333333,5.0953940188558,0,0.238095238095238,1.50000008940697,0.3125,0.5,2.97897976711392,3.77102063521745,5.24699251163082,167.490811749054,70.2412335904722,128.686952355037,0.625,0.1875,0.3125,0.5,0.125,0,5,8.43750050291422,37,55,92,-0.00080800149589777,-0.373875945806503,0.373067945241928,-0.142000094056129,-0.0155701786279678,0.918333351612091,1.0062667131424,0.870000004768372,2.49799990653992,1,1,0.0476329289376736,-0.0485127853585248,0,0,0.34782609,95.53125,0.45652174,87.30952381,NA,NA,0.19565217,90.38888889,NA,-1.19831609725952,1.69435143470764,NA,-0.04641143232584,-3.744737803936,4.03417008263724,NA,-0.257841290699111,0.29824561,0.82857143,0.5,0.58823529,0.82758621,0.73913043,0.38043478,0.54166667,0.13043478,7,3,6,2,8,6,16,0.4375,0.1875,0.375,0.125,0.5,0.375,2.9411077443051,48,20,54.33928,20,35.9713,62.4699,25.21349,54.03779,48.1619,51.47782,34.11314,58.05533,25.79108,1.1124,5.74569,74.14,46.46,26.82,95.8,87.78,93.94,118.32,94.04,116.42,101.843043478261,82.5534782608696,91.0704347826087,0.34782609,0.45652174,0.19565217,95.5437469482422,87.2547607421875,90.3444417317708,-4.42922353744507,2.38934743972052,-9.9105478922526,10.1988077163696,4.42699105398996,3.58236270480686,-1.17718742415309,1.67282839119434,-0.053168747574091,-3.6787107004784,3.98292474093891,-0.295381930967172,0.25531915,0.75555556,0.5,0.5,0.82352941,0.73913043,0.48913043,17.6119403,0.19565217,0.34782609,0.45652174,90.6264851888021,95.8251495361328,87.5312674386161,-8.68528408474392,-3.16737031936646,3.76690855480376,2.18522580464681,8.84594249725342,2.98828106834775,-0.053168747574091,-1.17718742415309,1.67282839119434,-0.295381930967172,-3.6787107004784,3.98292474093891,0.25531915,0.75555556,0.5,0.5,0.82352941,0.73913043,0.48913043,16,89.6636352539062,23.5541038513184,1,0.0625,102.839,4,0.25,"2024-09-22",0
"Luis Gil",21052,"2024-09-17","@SEA",9,2024,"NYY","A",26,1,0,1.8,1,1,0,0,0,0,0,0,5,22,4,1,1,1,3,0,1,0,0,5,9,5.4,7.2,1.66666667,0,0,6,6,1,1,0,0,0,0.22727273,0.13636364,0.09090909,4.87145222244175,1.8,0.222222222222222,1.4,0.25,1,6.1664797782898,-4.3664797782898,5.38088986575604,44.6642138042198,147.318522375709,132.017993100385,1,0.076923076,0.461538461,0.461538461,0.166666666,0.166666666,10,18,36,55,91,0.0958279967308044,-0.321738004684448,0.417566001415253,1.14999997615814,0.130607604980469,1.05673038959503,0.645079970359802,0.907400012016296,0.0373999997973442,1,1,-0.0938475653529167,0.184531052526526,0,0,0.50549451,95.52173913,0.28571429,86.03846154,NA,NA,0.20879121,90.73684211,NA,-0.369596064090729,-1.93924725055695,NA,1.08102631568909,-0.803469704545063,-7.45864327137287,NA,5.6896121878373,0.25925926,0.67567568,0.42857143,0.5,0.92,0.76923077,0.40659341,0.59090909,0.0989011,4,3,6,1,5,7,13,0.30769231,0.23076923,0.46153846,0.07692308,0.38461538,0.53846154,5.0062388072977,51,34.37833,50.71645,36.03253,47.23585,59.01948,43.77281,68.5292,53.29206,63.71268,47.94226,56.94166,46.10402,0.25325,4.45697,80.3,88.82,73.64,107.62,84.22,91.52,121.5,101.46,136.14,105.881538461538,90.1061538461538,100.535384615385,0.50549451,0.28571429,0.20879121,95.4673913043478,85.969228891226,90.6684184827303,-3.84692880381709,3.02110583965595,-9.38538400750411,10.1679110319718,3.38642002986028,3.95583504124692,-0.402226086705923,-1.95175720751286,1.13394094631076,-0.874404536317224,-7.50675849043406,5.96811024374083,0.19047619,0.63265306,0.42857143,0.375,0.87096774,0.76923077,0.53846154,18.6875,0.20879121,0.50549451,0.28571429,90.9165810032895,95.7172639266304,86.1957726111779,-8.60400872481497,-2.92405136771824,4.15607745830829,2.51745766087582,8.9359422766644,1.92285288297213,1.13394094631076,-0.402226086705923,-1.95175720751286,5.96811024374083,-0.874404536317224,-7.50675849043406,0.19512195,0.62,0.42857143,0.375,0.87096774,0.76923077,0.54945055,13,93.0719839242788,16.0894047663762,1,0.07692308,104.894,9,0.69230769,"2024-09-17",0
"Luis Gil",21052,"2024-09-11","KCR",9,2024,"NYY","H",26,0,0,1.8,1,1,0,0,0,0,0,0,5,22,5,1,1,1,2,0,0,1,0,5,9,3.6,9,2.5,0,0,2,6,6,0,0,1,0,0.22727273,0.09090909,0.13636364,4.55128692620763,1.8,0.25,1.4,0.285714285714286,1,4.96647977828979,-3.1664797782898,4.18088986575603,44.6642138042198,118.301190228889,102.164909590765,0.333333333,0.428571428,0.142857142,0.428571428,0,0.166666666,0,0,39,58,97,0.127504020929337,-0.356743961572647,0.484247982501984,1.45509994029999,0.151100724935532,1.18201744556427,0.960720002651215,0.870000004768372,0.962000012397766,1,1,-0.0132755786180496,0.121145408634365,0,0,0.45360825,96.22727273,0.34020619,86.33333333,NA,NA,0.20618557,90.8,NA,-0.66056215763092,0.0676857382059097,NA,0.268606930971146,-1.50127763097936,0.205108297593666,NA,1.34303465485573,0.30357143,0.63414634,0.44329897,0.82352941,0.73076923,0.76744186,0.42268041,0.45454545,0.10309278,8,4,3,1,10,4,15,0.53333333,0.26666667,0.2,0.06666667,0.66666667,0.26666667,8.31891119796967,51,50.60152,67.41957,51.10962,55.18914,60.0972,48.7854,75.94544,60.80153,69.39076,62.4455,65.36288,57.75337,-0.64778,3.10542,88.56,100.96,94.74,107.4,104.02,109.34,126.76,117.88,149.36,110.101855670103,108.104329896907,119.944742268041,0.45360825,0.34020619,0.20618557,96.2068204012784,86.2454575047348,90.7200012207031,-3.02829638394442,4.83337957208807,-9.29546127319336,9.86251553622159,2.84887672193123,3.37990798950195,-0.617805041372776,0.107852417975664,0.268337983638048,-1.40410236675631,0.326825509017164,1.34168991819024,0.22916667,0.65306122,0.44329897,0.63636364,0.8125,0.76744186,0.50515464,17.65333333,0.20618557,0.45360825,0.34020619,90.7639526367188,96.2500221946023,86.272978811553,-8.87209014892578,-2.37797511707653,5.60132252086293,2.16279468536377,8.90827664462003,1.65959179040157,0.268337983638048,-0.617805041372776,0.107852417975664,1.34168991819024,-1.40410236675631,0.326825509017164,0.19148936,0.68,0.44329897,0.77777778,0.76470588,0.76744186,0.51546392,15,93.07080078125,20.768306187221,3,0.2,110.691,6,0.4,"2024-09-11",0
"Luis Gil",21052,"2024-09-06","@CHC",9,2024,"NYY","A",26,1,0,0,1,1,1,0,0,0,0,0,6,21,1,0,0,0,2,0,0,0,0,7,10.5,3,1.5,3.5,0,0,6,6,0,3,0,0,0,0.33333333,0.0952381,0.23809524,3.17000119324193,0,0.0526315789473684,0.5,0.0833333333333333,1,1.83314644495646,-1.83314644495646,3.34515485117833,0,42.533711845524,81.3738536056793,1,0,0.5,0.5,0.5,0,3,4.5,35,54,89,0.292255997657776,-0.0664839893579483,0.358739972114563,2.81399989128113,0.301607698202133,0.735333323478699,0.938933372497559,0.870000004768372,1.01960003376007,1,1,0.331956416368484,0.0654905486013303,0,0,0.47191011,95,0.40449438,86.05555556,NA,NA,0.12359551,90.54545455,NA,1.78639030456543,0.849723100662231,NA,0.442729353904724,4.25331024896531,2.36034194628398,NA,4.02481230822476,0.2962963,0.71428571,0.46067416,0.625,0.72,0.68292683,0.39325843,0.28571429,0.14606742,3,5,4,3,7,2,12,0.25,0.41666667,0.33333333,0.25,0.58333333,0.16666667,0.0128665313518159,76,27.23011,53.78131,30.90782,49.19426,58.57842,42.10299,39.69525,55.48748,37.69791,39.79329,58.8948,35.42732,0.75952,5.21637,77.56,87.94,77.48,101.42,103.6,108,113.18,78.94,100.84,103.227865168539,91.6896629213483,101.331685393258,0.47191011,0.40449438,0.12359551,94.9523809523809,85.9166666666667,90.3818192915483,-2.81738898867653,4.19553587171766,-8.24116446755149,9.72876485188802,3.08668412102593,3.8309624411843,1.78456384316087,0.822197284549475,0.447180524468422,4.2489615313354,2.28388134597076,4.06527749516747,0.23913043,0.69767442,0.46067416,0.54545455,0.73333333,0.68292683,0.48314607,17,0.11235955,0.48314607,0.40449438,90.4142211914063,95.3608739098837,86.3335164388021,-8.62142639160156,-2.23227886820948,4.80327987670898,2.6278450012207,8.57153817110283,1.81161371866862,0.482229229062796,1.74951513856649,0.822197284549475,4.82229229062796,4.06863985713138,2.28388134597076,0.25531915,0.69047619,0.46067416,0.58333333,0.72413793,0.68292683,0.47191011,12,87.6659240722656,26.8110834757487,1,0.08333333,98.9762,2,0.16666667,"2024-09-06",0
"Luis Gil",21052,"2024-08-20","CLE",9,2024,"NYY","H",26,0,0,9,1,1,0,0,0,0,0,0,3,19,3,3,3,1,6,0,0,0,0,3,9,18,9,0.5,0.2,0,5,4,1,0,1,0,0,0.15789474,0.31578947,-0.15789474,9.21326093542195,3,0.230769230769231,3,0.222222222222222,0.78947368,11.4998131116231,-2.49981311162313,9.18249098658562,223.321069021099,276.284443028245,226.59258954238,1.25,0.1,0.5,0.4,0,0.25,2,6,41,37,78,-0.247827976942062,-0.595375955104828,0.347548007965088,-2.14489984512329,-0.222731038928032,1.43198001384735,0.975000023841858,0.870000004768372,1.21480000019073,1,1,-0.274986445903778,0.101919800737262,0,0,0.46153846,96.75,0.20512821,87.9375,NA,NA,0.33333333,92.53846154,NA,-2.8161928653717,0.214399814605713,NA,0.906292140483856,-7.82275795936584,1.33999884128571,NA,3.48573900186099,0.21428571,0.72727273,0.35897436,0.66666667,0.75,0.71428571,0.28205128,0.31578947,0.1025641,6,2,2,1,6,3,10,0.6,0.2,0.2,0.1,0.6,0.3,9.66381100379511,27,40.78709,65.62893,30.47438,20,66.18965,20,56.95293,59.80834,51.20057,25.45912,68.41465,20,1.65005,6.55217,86.18,93.66,87.02,93.56,31.34,32.96,109.26,72.34,97.4,94.3205128205128,60.5235897435897,64.1984615384615,0.47368421,0.21052632,0.31578947,96.727776421441,87.90625,92.7249959309896,-5.68734614054362,3.01937818527222,-10.8531684875488,9.54414537217882,4.31478404998779,2.92402013142904,-2.86860633268952,0.210853938013315,0.898904085159302,-7.96835092413757,1.31783711258322,3.74543368816376,0.2,0.69230769,0.36842105,0.6,0.77777778,0.71428571,0.34210526,17.375,0.31578947,0.47368421,0.21052632,92.5562235514323,96.573486328125,87.7319717407227,-10.1592063903809,-4.79446241590712,4.32126188278198,1.7883399327596,8.68272484673394,3.29243898391724,0.898904085159302,-2.86860633268952,0.210853938013315,3.74543368816376,-7.96835092413757,1.31783711258322,0.20408163,0.66666667,0.36842105,0.6,0.77777778,0.71428571,0.35526316,10,87.1361206054687,17.0830001831055,2,0.2,108.901,2,0.2,"2024-08-20",0
"Luis Gil",21052,"2024-08-12","@CHW",9,2024,"NYY","A",26,0,1,9,1,1,0,0,0,0,0,0,4,20,7,4,4,1,2,0,0,0,0,3,6.75,4.5,15.75,1.5,0,0,5,7,3,3,0,0,0,0.15,0.1,0.05,5.49300908401489,2.25,0.388888888888889,2.25,0.428571428571429,0.65789474,6.4164797782898,2.5835202217102,5.81249448917806,223.321069021099,153.363799906297,142.755267155515,0.714285714,0.2,0.333333333,0.466666666,0.428571428,0.142857142,2,4.5,33,65,98,-0.226015999913216,-0.496483981609344,0.270467966794968,-2.01200008392334,-0.207315817475319,0.883552372455597,0.829100012779236,0.92059999704361,0.566999971866608,1,1,-0.218233779072762,-0.0375699592897588,0,0,0.42857143,96.76190476,0.47959184,88.12765957,NA,NA,0.09183673,92.66666667,NA,-2.47446489334106,-0.32641339302063,NA,-0.221982255578041,-5.89158307938349,-0.694496580894957,NA,-2.46646950642268,0.37931034,0.725,0.52040816,0.72727273,0.75862069,0.74509804,0.40816327,0.7,0.13265306,3,6,6,4,7,4,15,0.2,0.4,0.4,0.26666667,0.46666667,0.26666667,5.55011703841571,30,69.36472,80,80,56.46052,64.20776,46.01119,64.37675,59.48374,56.44721,64.57945,68.75937,57.39693,-0.78036,2.90655,109.06,110.28,112.96,103,98.08,102.36,126.6,102.04,128.12,114.874897959184,101.099591836735,115.687755102041,0.42857143,0.46938776,0.10204082,96.7833310081845,87.9826076341712,92.4700012207031,-4.14819989885603,3.36892866051715,-9.33932342529297,9.64727201915923,3.90486012334409,2.05137691497803,-2.50770497322083,-0.35451678186655,-0.225991573184729,-5.97072612671625,-0.770688656231631,-2.25991573184729,0.34,0.70833333,0.52040816,0.76470588,0.73529412,0.74509804,0.48979592,18.25641026,0.09183673,0.42857143,0.47959184,92.9436984592014,96.9713890438988,88.1914893617021,-9.07906002468533,-3.40600040980748,4.13120545732214,0.362680753072103,8.80801972888765,3.01467863042304,-0.225991573184729,-2.50770497322083,-0.35451678186655,-2.51101747983032,-5.97072612671625,-0.75429102524798,0.28888889,0.71698113,0.52040816,0.61538462,0.78947368,0.74509804,0.54081633,15,82.4386555989583,21.079931640625,1,0.06666667,108.431,7,0.46666667,"2024-08-12",0
"Luis Gil",21052,"2024-08-07","LAA",9,2024,"NYY","H",26,1,0,0,1,1,0,0,0,0,0,0,5,22,2,0,0,0,5,0,0,2,0,6,10.8,9,3.6,1.2,0,0,1,6,4,0,0,0,0,0.27272727,0.22727273,0.04545455,6.09255553399181,0,0.117647058823529,1.4,0.181818181818182,1,3.7664797782898,-3.7664797782898,5.58088986575603,0,89.2838580820681,136.993507018655,0.166666666,0.363636363,0.09090909,0.545454545,0,0,5,9,44,63,107,0.207008078694344,-0.182983949780464,0.389992028474808,2.45510005950928,0.254942893981934,0.944316685199738,0.789519965648651,0.870000004768372,0.40039998292923,1,1,0.135417729616165,0.0837969490385471,0,0,0.54205607,96.27586207,0.36448598,87.17948718,NA,NA,0.09345794,90.9,NA,1.70633327960968,-0.249129593372345,NA,-0.127213060855865,2.94195393036152,-0.638793829159859,NA,-1.27213060855865,0.26470588,0.69230769,0.42056075,0.77777778,0.77777778,0.77777778,0.36448598,0.54545455,0.09345794,4,4,3,0,9,2,11,0.36363636,0.36363636,0.27272727,0,0.81818182,0.18181818,5.41864896768142,61,20,69.95133,20,47.12995,62.37329,33.3436,62.28319,54.79321,52.57503,47.13906,62.21565,33.64649,0.30315,4.53182,84.92,48.98,36.44,114.2,80.78,93.94,113.38,88.44,126.06,111.164672897196,80.6,100.273457943925,0.54205607,0.36448598,0.09345794,96.198275862069,87.1538461538462,90.8900024414063,-4.88741118332435,1.37949263743865,-10.7987075805664,10.4348302380792,5.09294793544671,3.87653160095215,1.76010533049703,-0.267775569111109,-0.130843307822943,3.03466436292591,-0.686604023361817,-1.30843307822943,0.23333333,0.65957447,0.42056075,0.71428571,0.80645161,0.77777778,0.43925234,18.02352941,0.09345794,0.54205607,0.36448598,90.6946716308594,96.0224693561422,86.965569911859,-10.091870880127,-3.99344450851967,2.50288841051933,2.62832889556885,9.48246922986261,3.97324977776943,-0.130843307822943,1.76010533049703,-0.267775569111109,-1.30843307822943,3.03466436292591,-0.686604023361817,0.23214286,0.62745098,0.42056075,0.69230769,0.8125,0.77777778,0.47663551,11,92.237959428267,27.4109497070312,0,0,105.353,6,0.54545455,"2024-08-07",1
"Luis Gil",21052,"2024-07-29","@PHI",9,2024,"NYY","A",26,1,0,5.06250030174853,1,1,0,0,0,0,0,0,5.1,23,5,3,3,1,3,0,0,0,0,8,13.5000008046628,5.06250030174853,8.43750050291422,2.66666667,0.2,0,5,5,2,0,1,0,0,0.34782609,0.13043478,0.2173913,3.48552492606332,1.68750010058284,0.25,1.50000008940697,0.363636363636364,0.75757576,4.29147984534502,0.771020456403507,3.27148766538175,125.618108811791,101.978942517772,79.541193064426,1,0.166666666,0.416666666,0.416666666,0,0.2,7,11.8125007040799,33,59,92,-0.0585559643805027,-0.440251976251602,0.38169601559639,-1.17999994754791,-0.120839737355709,1.05579996109009,0.808933317661285,0.920000016689301,1.73080003261566,1,1,-0.0528120771050453,-0.00264915280449653,0,0,0.32608696,98.36666667,0.4673913,90.20930233,NA,NA,0.20652174,91.47368421,NA,-0.737380146980286,1.18488776683807,NA,-0.211584746837616,-2.45793382326762,2.75555294613505,NA,-1.11360393072429,0.36363636,0.62162162,0.4673913,0.5,0.86956522,0.69767442,0.40217391,0.56521739,0.14130435,6,4,2,2,6,4,12,0.5,0.33333333,0.16666667,0.16666667,0.5,0.33333333,4.14724704361653,48,44.52248,62.73752,38.39935,56.90904,72.91737,43.05567,57.99841,51.24003,59.25629,54.78801,66.08948,48.11262,-0.17205,3.81902,85.2,90.14,81.8,117.06,83.2,101.16,115.14,112.1,130.06,109.582826086957,98.1408695652174,110.669347826087,0.32608696,0.4673913,0.20652174,98.2700032552083,90.0883732285611,91.3631591796875,-4.8030766805013,1.62477324729742,-9.73368755139803,10.171571858724,5.16978915902071,3.65658569335938,-0.737767588347197,1.19346767291427,-0.218407675623894,-2.45922529449066,2.77550621607969,-1.14951408223102,0.27272727,0.64583333,0.4673913,0.33333333,0.83870968,0.69767442,0.52173913,18.39130435,0.20652174,0.32608696,0.4673913,91.3890830592105,98.3188313802083,90.1146382176599,-9.06633075914885,-3.89849268595378,2.64461144735647,2.43673806441458,9.07830403645833,3.98580222906068,-0.218407675623894,-0.737767588347197,1.19346767291427,-1.14951408223102,-2.45922529449066,2.77550621607969,0.27272727,0.64583333,0.4673913,0.33333333,0.83870968,0.69767442,0.52173913,12,87.9024658203125,13.7983080546061,1,0.08333333,108.623,5,0.41666667,"2024-07-29",0
"Luis Gil",21052,"2024-07-23","NYM",9,2024,"NYY","H",26,0,0,1.8,1,1,0,0,0,0,0,0,5,21,4,1,1,0,1,0,1,0,0,6,10.8,1.8,7.2,6,0.25,0,4,6,3,1,1,0,0,0.28571429,0.04761905,0.23809524,3.23142523074913,0,0.210526315789474,1,0.307692307692308,0.83333333,1.9664797782898,-0.166479778289795,3.78088986575604,44.6642138042198,45.7578598618374,92.2138817542243,0.666666666,0.23076923,0.307692307,0.461538461,0.166666666,0,1,1.8,37,54,91,0.139259964227676,-0.452196061611176,0.59145599603653,1.45509994029999,0.151100724935532,1.61891424655914,1.04895997047424,0.870000004768372,1.3400000333786,1,1,0.149246275424957,-0.0632256819786639,0,0,0.34065934,97.48387097,0.43956044,88.675,NA,NA,0.21978022,91.45,NA,0.262100785970688,0.614813208580017,NA,0.0989528000354767,0.845486406357058,1.53703302145004,NA,0.494764000177383,0.26923077,0.61538462,0.41758242,0.64285714,0.83333333,0.76315789,0.42857143,0.52380952,0.0989011,4,4,5,3,6,4,13,0.30769231,0.30769231,0.38461538,0.23076923,0.46153846,0.30769231,2.32072919772115,62,24.83405,69.58959,24.33722,61.2025,64.00597,55.01752,56.29198,58.05976,48.6785,48.77839,68.15793,41.44687,0.20131,4.37906,89.04,55.58,54.8,99.22,101.8,107.56,113.3,95.92,125.6,103.171648351648,89.0571428571428,103.894065934066,0.34065934,0.43956044,0.21978022,97.4225837953629,88.675,91.4200012207031,-5.00376990533644,2.18513774871826,-9.455419921875,9.45325002362651,4.040673828125,3.50256729125977,0.241003040224314,0.703737374395132,0.0787598341703415,0.777429162013915,1.75934343598783,0.393799170851708,0.25,0.60465116,0.41758242,0.66666667,0.80769231,0.76315789,0.47252747,16.33333333,0.21978022,0.34065934,0.43956044,91.182421875,97.2051490045363,88.4365173339844,-9.09466018676758,-4.37349331763483,3.01754741668701,2.54126224517822,8.75648843088458,3.08445243835449,0.0787598341703415,0.241003040224314,0.703737374395132,0.393799170851708,0.777429162013915,1.75934343598783,0.25,0.60465116,0.41758242,0.58333333,0.84615385,0.76315789,0.47252747,13,84.4253305288462,22.5618074857272,1,0.07692308,104.404,4,0.30769231,"2024-07-23",0
