"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","SF%","SFv","XX%","wFB","wSL","wCH","wSF","wFB/C","wSL/C","wCH/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSL%","pfxCH%","pfxvFA","pfxvFS","pfxvSL","pfxvCH","pfxFA-X","pfxFS-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFS-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFS","pfxwSL","pfxwCH","pfxwFA/C","pfxwFS/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Mason Miller",31757,"2024-09-28","@SEA",10,2024,"OAK","A",25,0,0,18,1,0,0,0,0,0,0,1,1,5,2,2,2,1,0,0,0,0,0,3,27,0,18,3,0,0,0,1,1,0,0,0,0,0.6,0,0.6,0.0542890840148928,9,0.4,2,1,0,10.1664797782898,7.83352022171021,-1.32151181548834,464.669317495394,260.070580869741,-34.7214711539568,0,0.5,0,0.5,0,1,0,0,4,13,17,-0.424293994903564,-0.564257979393005,0.139963984489441,-1.57000005245209,-0.1783077865839,2.03907990455627,1.62839996814728,1.62839996814728,2.69340014457703,1,1,-0.186934992671013,-0.0211461099652741,0,1,0.41176471,101,0.52941176,87.66666667,0.05882353,94,NA,NA,NA,-1.75303304195404,0.725008726119995,-0.04739710688591,NA,-25.043329170772,8.05565251244439,-4.739710688591,NA,0.625,0.77777778,0.70588235,0.2,0.57142857,0.41666667,0.52941176,0.6,0.41176471,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,10.624487532421,80,48.17218,80,80,80,80,23.08251,80,20,NA,NA,NA,61.81873,80,56.78792,-0.60884,3.16383,76.2,161.84,141.24,118.7,119.56,140.38,165.1,74.26,122.68,NA,NA,NA,140.764705882353,98.064705882353,131.06,0.41176471,NA,0.52941176,0.05882353,100.885716029576,NA,87.6666666666667,94.0999984741211,-6.67860957554409,NA,4.19417656792535,-8.8443603515625,10.1051886422294,NA,-0.200937628746033,4.1071662902832,-1.76017857715487,NA,0.710567988455296,-0.0483221560716629,-25.1454082450696,NA,7.89519987172551,-4.83221560716629,0.625,0.77777778,0.70588235,0.2,0.57142857,0.41666667,0.52941176,16.33333333,0.05882353,0.41176471,NA,0.52941176,94.2815017700195,101.046160016741,NA,87.7959120008681,-8.22062015533447,-6.10732160295759,NA,5.21992874145508,2.49085998535156,8.77157156808036,NA,-1.68939865960015,-0.0483221560716629,-1.76017857715487,NA,0.710567988455296,-4.83221560716629,-25.1454082450696,NA,7.89519987172551,0.625,0.77777778,0.70588235,0.2,0.57142857,0.41666667,0.52941176,2,103.39762878418,15.2092590332031,1,0.5,109.812,2,1,"2024-09-28",0
"Mason Miller",31757,"2024-09-26","TEX",10,2024,"OAK","H",25,0,0,0,1,0,0,0,0,1,0,0,1.1,4,0,0,0,0,0,0,0,0,0,2,13.5000032186516,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166479063033887,-0.166479063033887,0.166479063033887,0,2.37842160511848,2.29612547777477,2,0,1,0,0,0,0,0,7,12,19,0.206927999854088,-0.0249239914119244,0.231851994991302,0.664999961853027,0.0729166641831398,2.21896004676819,2.53786659240723,2.02480006217957,NA,0,1,0.0891654193401337,0.00408907623109971,1,0,0.78947368,102.06666667,0.21052632,87.75,NA,NA,NA,NA,NA,1.02336812019348,-0.066572517156601,NA,NA,6.82245413462321,-1.66431292891502,NA,NA,0.3,0.88888889,0.57894737,0,0.75,0.54545455,0.47368421,0.75,0.26315789,0,1,1,1,0,1,2,0,0.5,0.5,0.5,0,0.5,-0.898796238625999,NA,NA,NA,80,77.77873,57.17651,28.45664,74.88478,26.6342,NA,NA,NA,78.80287,78.44153,52.86781,-1.664,1.58109,NA,NA,NA,145.46,106.52,154.22,150.54,65.34,88.08,NA,NA,NA,146.529473684211,97.8505263157895,140.295789473684,0.78947368,NA,0.21052632,NA,101.946663411458,NA,87.5500030517578,NA,-6.94032999674479,NA,5.09135389328003,NA,9.25581563313802,NA,0.932838141918182,NA,1.0360015630722,NA,-0.0680830627679825,NA,6.90667708714803,NA,-1.70207656919956,NA,0.3,0.88888889,0.57894737,0,0.75,0.54545455,0.47368421,19.15384615,NA,0.78947368,NA,0.21052632,NA,102.368465169271,NA,87.9685211181641,NA,-6.07907307942708,NA,6.03197479248047,NA,8.03345591227214,NA,-0.451524496078491,NA,1.0360015630722,NA,-0.0680830627679825,NA,6.90667708714803,NA,-1.70207656919956,0.3,0.88888889,0.57894737,0,0.75,0.54545455,0.47368421,2,98.2798614501953,-5.83635807037354,0,0,102.244,1,0.5,"2024-09-26",0
"Mason Miller",31757,"2024-09-24","TEX",10,2024,"OAK","H",25,1,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,2,18,0,18,2,0.5,0,2,1,0,0,1,0,0,0.4,0,0.4,1.04688908401489,0,0.4,2,0.666666666666667,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.3907740466029,15.0336680287444,2,0,0.666666666,0.333333333,0,0,1,9,9,16,25,0.12780798971653,-0.253896027803421,0.381704032421112,0.452999949455261,0.0496710538864136,3.69006657600403,2.25279998779297,2.25279998779297,NA,0,1,-0.0111047113314271,0.0457403980010517,1,0,0.76,100.15789474,0.24,86.83333333,NA,NA,NA,NA,NA,0.28500685095787,-0.430464237928391,NA,NA,1.500036057673,-7.17440396547318,NA,NA,0.28571429,0.72727273,0.48,0.5,0.875,0.75,0.44,0.6,0.12,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,-0.575628711613041,NA,NA,NA,77.47537,73.43161,57.38269,64.17442,61.3509,59.73862,NA,NA,NA,80,70.99731,62.06146,-1.82862,1.33416,NA,NA,NA,128.68,128.3,150.02,130.84,122.96,146.26,NA,NA,NA,129.1984,127.0184,149.1176,0.76,NA,0.24,NA,100.100001284951,NA,86.5499979654948,NA,-8.4050437525699,NA,3.16739304860433,NA,9.76264311137952,NA,-0.534861405690511,NA,0.286266725510359,NA,-0.437482886016369,NA,1.50666697637031,NA,-7.29138143360615,NA,0.18181818,0.71428571,0.48,0.5,0.8,0.75,0.56,18.9,NA,0.76,NA,0.24,NA,100.447214226974,NA,86.902333577474,NA,-7.44655890213816,NA,4.54075845082601,NA,8.33602262798109,NA,-2.21961243947347,NA,0.286266725510359,NA,-0.437482886016369,NA,1.50666697637031,NA,-7.29138143360615,0.18181818,0.71428571,0.48,0.5,0.8,0.75,0.56,3,84.6546020507812,-3.88284269968669,0,0,100.844,1,0.33333333,"2024-09-24",0
"Mason Miller",31757,"2024-09-20","NYY",10,2024,"OAK","H",25,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,0,2,0,1,0,0,0,0.25,0.25,0,7.38247908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,7.19049659073353,0,105.455296369917,177.036610333989,0,0,0,1,0.5,0,0,0,5,9,14,0.12780798971653,-0.029572032392025,0.157380014657974,0.453000009059906,0.0496710538864136,1.86020004749298,2.25279998779297,2.25279998779297,2.6988000869751,1,1,0.0521302670240402,0.0165763163828243,1,0,0.85714286,101,0.14285714,88,NA,NA,NA,NA,NA,0.782509088516235,-0.295421242713928,NA,NA,6.52090907096863,-14.7710621356964,NA,NA,0.44444444,0.8,0.57142857,0.75,0.75,0.75,0.35714286,0.5,0.14285714,0,0,2,1,1,0,2,0,0,1,0.5,0.5,0,1.52514530513735,NA,NA,NA,50.71646,78.34246,31.29726,20,80,20,NA,NA,NA,42.65039,80,22.71156,0.58202,4.95012,NA,NA,NA,121.72,73.04,98.1,114.26,113.98,146.06,NA,NA,NA,120.654285714286,78.8885714285714,104.951428571429,0.85714286,NA,0.14285714,NA,100.883331298828,NA,88.0500030517578,NA,-7.48353068033854,NA,1.90394711494446,NA,10.2125199635824,NA,-1.45436406135559,NA,0.755014337599277,NA,-0.302261125296354,NA,6.29178614666065,NA,-15.1130562648177,NA,0.33333333,1,0.57142857,1,0.6,0.75,0.35714286,17.3,NA,0.85714286,NA,0.14285714,NA,101.125325520833,NA,88.2558975219727,NA,-6.5812873840332,NA,3.43406009674072,NA,8.75893211364746,NA,-3.15776014328003,NA,0.755014337599277,NA,-0.302261125296354,NA,6.29178614666065,NA,-15.1130562648177,0.44444444,0.8,0.57142857,0.75,0.75,0.75,0.35714286,2,90.9040069580078,71.256103515625,0,0,101.285,1,0.5,"2024-09-20",0
"Mason Miller",31757,"2024-09-18","@CHC",10,2024,"OAK","A",25,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,105.455296369917,101.806421637006,1,0,1,0,0,0,0,0,4,6,10,0.0841680020093918,-0.0584440007805824,0.142611995339394,0.468999981880188,0.0502679497003555,1.77853333950043,1.74039995670319,1.74039995670319,NA,0,1,0.0123181883245707,0.0350061997766014,1,0,0.7,100.42857143,0.2,87,0.1,93,NA,NA,NA,-0.147498309612274,0.138800457119942,0.745844781398773,NA,-2.10711870874677,6.94002285599709,74.5844781398773,NA,0.33333333,0.5,0.4,0.5,1,0.75,0.4,0.66666667,0.1,1,0,0,0,0,1,1,1,0,0,0,0,1,3.76022890983173,80,55.56645,53.28123,61.37645,64.66958,55.92498,80,60.74458,80,NA,NA,NA,74.21043,62.75586,66.55541,-1.37869,2.00906,98.06,137.96,140.82,88.7,59.96,54.12,142.6,131.48,149.22,NA,NA,NA,100.416,82.064,81.81,0.7,NA,0.2,0.1,100.285714285714,NA,87.4000015258789,93,-5.97082029070173,NA,2.43923664093018,-7.77379083633423,8.33730043683733,NA,-0.359090030193329,1.48729467391968,-0.153443906456232,NA,0.140032518655062,0.759347081184387,-2.1920558065176,NA,7.00162593275309,75.9347081184387,0.28571429,0.66666667,0.4,0.5,1,0.75,0.3,15.71428571,0.1,0.7,NA,0.2,93.168098449707,100.451398577009,NA,87.5905456542969,-7.30742979049683,-5.60026441301618,NA,3.03303003311157,0.00458448007702827,7.23419570922852,NA,-1.90187501907349,0.759347081184387,-0.153443906456232,NA,0.140032518655062,75.9347081184387,-2.1920558065176,NA,7.00162593275309,0.28571429,0.66666667,0.4,0.5,1,0.75,0.3,1,99.9493103027344,5.13585090637207,0,0,99.9493,1,1,"2024-09-18",0
"Mason Miller",31757,"2024-09-17","@CHC",10,2024,"OAK","A",25,0,0,9,1,0,0,0,0,1,0,0,1,4,1,1,1,1,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,9,0.25,1,0,1,12.1664797782898,-3.16647977828979,0.678488184511662,232.334658747697,311.609009036349,15.0336680287444,1,0,0.5,0.5,0,1,0,0,7,14,21,0.0841680020093918,-0.0642200037837029,0.148387998342514,-0.531000018119812,-0.0569131895899773,1.77540004253387,1.74039995670319,1.74039995670319,NA,0,1,0.0167677737772465,0.0306401342958355,1,0,0.57142857,102.08333333,0.33333333,88.71428571,0.0952381,93.5,NA,NA,NA,-0.912076711654663,0.212892189621925,0.0334886722266674,NA,-7.60063926378886,3.04131699459893,1.67443361133337,NA,0.46153846,0.75,0.57142857,0.16666667,1,0.58333333,0.38095238,0.75,0.23809524,0,0,2,0,1,1,2,0,0,1,0,0.5,0.5,10.3979936372046,58.11708,51.57857,50.14902,74.19675,69.5498,59.36007,20.94026,76.98644,20,NA,NA,NA,57.42124,73.45648,43.20501,-0.33564,3.57363,84.9,132.52,120.22,120.48,99.72,125.8,150.52,65.34,95.36,NA,NA,NA,127.104761904762,91.3838095238095,115.121904761905,0.57142857,NA,0.33333333,0.0952381,102.091664632161,NA,88.6285749162946,93.6500015258789,-5.90018653869629,NA,2.32906178065709,-8.16676807403564,9.4588368733724,NA,-0.636883735656738,4.11300802230835,-0.906914625316858,NA,0.214698113501072,0.0337270088493824,-7.55762187764049,NA,3.06711590715817,1.68635044246912,0.36363636,0.8,0.57142857,0,0.875,0.58333333,0.47619048,17.82352941,0.0952381,0.57142857,NA,0.33333333,93.8732452392578,102.354085286458,NA,88.8654610770089,-7.73124027252197,-5.35449663798014,NA,3.2191287449428,2.53152513504028,8.19804509480794,NA,-2.15424074445452,0.0337270088493824,-0.906914625316858,NA,0.214698113501072,1.68635044246912,-7.55762187764049,NA,3.06711590715817,0.36363636,0.8,0.57142857,0,0.875,0.58333333,0.47619048,2,85.7817840576172,10.9122619628906,1,0.5,100.258,1,0.5,"2024-09-17",0
"Mason Miller",31757,"2024-09-13","@CHW",10,2024,"OAK","A",25,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,1,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.3907740466029,15.0336680287444,0,0.5,0,0.5,0,0,0,0,8,13,21,0.09026800096035,-0.0734060034155846,0.163673996925354,0.496999979019165,0.0512107163667679,1.95887994766235,1.82039999961853,1.82039999961853,NA,0,1,0.0249974764883518,0.0210839595220949,1,0,0.76190476,101,0.19047619,88.5,0.04761905,92,NA,NA,NA,0.450211465358734,-0.143033638596535,0,NA,2.81382165849209,-3.57584096491337,0,NA,0.25,0.88888889,0.52380952,0.66666667,0.875,0.81818182,0.42857143,0.25,0.0952381,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,1.46905469641291,63.94362,72.04239,43.12593,47.17617,69.16179,24.73796,20,80,20,NA,NA,NA,33.20137,72.92873,20,1.16905,5.83067,90.38,45.5,19.34,123.94,59.08,81.18,160.12,3.2,45.76,NA,NA,NA,129.233333333333,47.7895238095238,71.4885714285714,0.76190476,NA,0.19047619,0.04761905,100.881248474121,NA,88.5250015258789,92.1999969482422,-6.83073711395264,NA,3.03872585296631,-8.16371631622314,9.39116668701172,NA,-0.54663610458374,2.93229079246521,0.454528708010912,NA,-0.145891588181257,0,2.8408044250682,NA,-3.64728970453143,0,0.27272727,0.8,0.52380952,0.66666667,0.875,0.81818182,0.47619048,18.64705882,0.04761905,0.76190476,NA,0.19047619,92.1545028686523,100.901908874512,NA,88.4891738891602,-7.58439016342163,-6.19776916503906,NA,4.2954626083374,1.70327997207642,8.33756065368652,NA,-1.88336253166199,0,0.454528708010912,NA,-0.145891588181257,0,2.8408044250682,NA,-3.64728970453143,0.27272727,0.8,0.52380952,0.66666667,0.875,0.81818182,0.47619048,2,94.6289215087891,32.6175498962402,0,0,102.563,1,0.5,"2024-09-13",0
"Mason Miller",31757,"2024-09-11","@HOU",10,2024,"OAK","A",25,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.6860822866131,114.543946394147,2,0,0.666666666,0.333333333,0,0,0,0,2,7,9,0.192019999027252,0,0.192019999027252,0.476999998092651,0.0505564361810684,2.56666660308838,3.4028000831604,3.4028000831604,NA,0,1,0.0749051794409752,-9.21909538061372e-05,1,0,0.44444444,100.5,0.55555556,87.6,NA,NA,NA,NA,NA,0.568100690841675,0.105893038213253,NA,NA,14.2025172710419,2.11786076426506,NA,NA,0.66666667,0.66666667,0.66666667,0.75,1,0.83333333,0.33333333,1,0.11111111,3,0,0,0,3,0,3,1,0,0,0,1,0,1.13383252263505,NA,NA,NA,77.11215,65.0531,60.16291,48.46154,60.84221,41.10847,NA,NA,NA,65.83439,66.57865,50.48905,-0.85832,2.78961,NA,NA,NA,115.82,128.34,135.16,118.64,116.28,128.68,NA,NA,NA,117.386666666667,121.64,131.56,0.44444444,NA,0.55555556,NA,100.25,NA,87.4799987792969,NA,-6.13928604125977,NA,2.88931999206543,NA,10.0807361602783,NA,-0.660386085510254,NA,0.575425490736961,NA,0.10681838542223,NA,14.385637268424,NA,2.1363677084446,NA,0.66666667,0.66666667,0.66666667,0.75,1,0.83333333,0.33333333,16.66666667,NA,0.44444444,NA,0.55555556,NA,100.316551208496,NA,87.5483215332031,NA,-5.37576770782471,NA,3.96331596374512,NA,8.86275482177734,NA,-2.43788547515869,NA,0.575425490736961,NA,0.10681838542223,NA,14.385637268424,NA,2.1363677084446,0.66666667,0.66666667,0.66666667,0.75,1,0.83333333,0.33333333,3,84.623057047526,6.1182238260905,0,0,96.8108,1,0.33333333,"2024-09-11",0
"Mason Miller",31757,"2024-09-10","@HOU",10,2024,"OAK","A",25,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.6860822866131,76.9288520456552,2,0.333333333,0.666666666,0,0,0,0,0,1,3,4,0.30663600564003,-0.0180759970098734,0.324712008237839,1.08299994468689,0.114785365760326,4.0085334777832,2.61779999732971,2.61779999732971,2.61779999732971,1,1,0.0618359223008156,0.0146598852905446,1,0,0.75,101,0.25,88,NA,NA,NA,NA,NA,0.461908489465714,0.212085232138634,NA,NA,15.3969496488571,21.2085232138634,NA,NA,0.66666667,1,0.75,1,1,1,0.25,0.66666667,0,1,0,2,0,3,0,3,0.33333333,0,0.66666667,0,1,0,6.06673776984173,NA,NA,NA,63.15231,70.97622,44.22968,80,54.88203,80,NA,NA,NA,75.42193,66.89177,63.82192,-1.45396,1.89615,NA,NA,NA,107.56,95.78,103.76,100.3,122.62,130.9,NA,NA,NA,105.745,102.49,110.545,0.75,NA,0.25,NA,100.700002034505,NA,88.0999984741211,NA,-6.34487152099609,NA,2.05371356010437,NA,10.3885955810547,NA,-1.41256952285767,NA,0.50971569493413,NA,0.214739695191383,NA,16.990523164471,NA,21.4739695191383,NA,0,1,0.75,NA,1,1,0.75,18,NA,0.75,NA,0.25,NA,100.946004231771,NA,88.3181991577148,NA,-5.56296348571777,NA,3.18640995025635,NA,9.15629005432129,NA,-2.90895009040833,NA,0.50971569493413,NA,0.214739695191383,NA,16.990523164471,NA,21.4739695191383,0,1,0.75,NA,1,1,0.75,3,72.3355204264323,0.505158424377441,0,0,85.3267,0,0,"2024-09-10",0
"Mason Miller",31757,"2024-09-06","DET",10,2024,"OAK","H",25,0,0,0,1,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,0,0,4,18,0,4.5,4,0,0,2,1,0,0,0,0,0,0.57142857,0,0.57142857,0.14587194366275,0,0.142857142857143,0.5,0.333333333333333,0,-0.833520221710205,0.833520221710205,-0.0775160185992716,0,-23.3907740466029,-3.77387914550141,2,0,0.666666666,0.333333333,0,0,1,4.5,9,21,30,0.0545719936490059,-0.305948585271835,0.360520571470261,0.51500004529953,0.056469302624464,2.29942846298218,2.47580003738403,2.25279998779297,2.6988000869751,1,1,0.152657106518745,-0.128924255278733,0,0,0.66666667,101.95,0.33333333,88.2,NA,NA,NA,NA,NA,0.489680767059326,0.573525130748749,NA,NA,2.44840383529663,5.73525130748749,NA,NA,0.55,0.6,0.56666667,0.36363636,0.83333333,0.52941176,0.33333333,0.42857143,0.26666667,0,2,1,2,0,1,3,0,0.66666667,0.33333333,0.66666667,0,0.33333333,-1.23169933964665,NA,NA,NA,78.73151,78.01962,54.85159,41.65514,70.54264,30.27795,NA,NA,NA,72.16206,78.40124,47.37732,-1.25144,2.19993,NA,NA,NA,133.8,102.36,132.2,121.34,79.94,108.48,NA,NA,NA,129.646666666667,94.8866666666667,124.293333333333,0.66666667,NA,0.33333333,NA,101.9,NA,88.1900024414062,NA,-6.80033874511719,NA,3.16951160430908,NA,10.1740737915039,NA,-0.577809429168701,NA,0.494692232459784,NA,0.578480333089828,NA,2.47346116229892,NA,5.78480333089828,NA,0.5625,0.57142857,0.56666667,0.33333333,0.75,0.52941176,0.46666667,20.13043478,NA,0.66666667,NA,0.33333333,NA,101.83642578125,NA,88.1166687011719,NA,-5.84073257446289,NA,4.47336196899414,NA,8.80947265625,NA,-2.09499683380127,NA,0.494692232459784,NA,0.578480333089828,NA,2.47346116229892,NA,5.78480333089828,0.5625,0.57142857,0.56666667,0.33333333,0.75,0.52941176,0.46666667,3,86.0527954101562,-2.49348719914754,0,0,95.1863,1,0.33333333,"2024-09-06",0
