"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","CH%","CHv","XX%","wFB","wCT","wCB","wCH","wFB/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_KC","pb_s_KC","pb_c_KC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxKC%","pfxCH%","pfxvFA","pfxvFC","pfxvKC","pfxvCH","pfxFA-X","pfxFC-X","pfxKC-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxKC-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwKC","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwKC/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piFC%","pivCH","pivCU","pivFA","pivFC","piCH-X","piCU-X","piFA-X","piFC-X","piCH-Z","piCU-Z","piFA-Z","piFC-Z","piwCH","piwCU","piwFA","piwFC","piwCH/C","piwCU/C","piwFA/C","piwFC/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Matt Moore",1890,"2024-08-25","@TOR",1,2024,"LAA","A",35,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,1,2,2,1,1,1,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,27.000028163224,0.5,6.00000625849423,0,0,51.1665298462436,2.83352648020443,16.7025191161447,1317.23717076096,1239.82577904516,413.672612664399,1,0,0.5,0.5,0,1,0,0,8,10,18,-0.0401040092110634,-0.0452240109443665,0.0051200008019805,-1.77400004863739,-0.187427371740341,0.201933324337006,0.198599994182587,0.198599994182587,0.0361999981105328,1,1,-0.164545714855194,-0.0340545376921962,0,0,0.33333333,93.66666667,NA,NA,0.16666667,81,0.5,83.44444444,0.05555556,0.00111349299550056,NA,0.118980824947357,-1.41258680820465,0.0185582165916761,NA,3.96602749824524,-15.6954089800517,0.27272727,0.85714286,0.5,1,1,1,0.38888889,0.66666667,0,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,54.3580260711508,45.82961,54.85996,37.97863,20,51.33724,20,20,30.67265,20,20,46.69966,20,2.26028,7.46751,106.42,72.6,86.46,78.66,77.34,69.04,156.36,38.44,36,NA,NA,NA,105.49,68.4866666666667,72.2433333333333,0.35714286,NA,0.21428571,0.42857143,93.6799987792969,NA,80.8333333333333,83.5333302815755,4.61130447387695,NA,-6.21392567952474,8.33305104573568,9.22279357910156,NA,-7.07375780741374,5.03004169464111,-0.0393327586352825,NA,0.120601370930672,-1.41050745546818,-0.78665517270565,NA,4.02004569768906,-23.5084575911363,0.14285714,0.85714286,0.5,1,1,1,0.5,17.91666667,0.42857143,0.21428571,0.35714286,NA,83.6766153971354,80.9918009440104,93.8667602539062,NA,8.39542516072591,-6.1395263671875,4.27456207275391,NA,3.52449003855387,-8.33491007486979,8.20425415039062,NA,-1.41050745546818,0.120601370930672,-0.0393327586352825,NA,-23.5084575911363,4.02004569768906,-0.78665517270565,NA,0.14285714,0.85714286,0.5,1,1,1,0.5,2,96.6987609863281,3.74661731719971,1,0.5,103.64,1,0.5,"2024-08-25",0
"Matt Moore",1890,"2024-08-19","@KCR",1,2024,"LAA","A",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.0266384101804,15.0336680287444,0,0,0,1,0,0,0,0,4,8,12,0.0157980006188154,0,0.0157980006188154,0.533999979496002,0.0522760637104511,0.197333335876465,0.254800021648407,0.254800021648407,NA,0,1,0.0802202075719833,-0.000162773035401395,0,0,0.5,92,NA,NA,0.08333333,81,0.41666667,82.4,NA,0.513148963451385,NA,0.161890506744385,0.0960912853479385,8.55248272418976,NA,16.1890506744385,1.92182570695877,0.33333333,0.66666667,0.5,0,0.75,0.5,0.5,0.66666667,0.25,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.74825606096572,49.3265,61.15849,39.52431,80,62.69522,80,35.33243,39.81719,42.87192,67.25483,61.24668,65.56424,-0.94657,2.65724,116.24,76.32,84.66,91.48,129.42,136.28,150.12,77.12,74.82,NA,NA,NA,106.683333333333,102.936666666667,109.65,0.5,NA,0.08333333,0.41666667,92.0166625976562,NA,80.6999969482422,82.2599975585938,6.33385848999023,NA,-4.70172262191772,9.54744262695312,11.1635004679362,NA,-8.23553848266602,5.48374938964844,0.520425412803888,NA,0.163724601268768,0.0956969559192657,8.6737568800648,NA,16.3724601268768,1.91393911838531,0.2,0.71428571,0.5,0,0.6,0.5,0.58333333,16.55555556,0.41666667,0.08333333,0.5,NA,82.5120361328125,80.9490966796875,92.2906290690104,NA,9.30625228881836,-5.1794900894165,5.84794680277507,NA,4.02541389465332,-9.54720973968506,10.0059833526611,NA,0.0956969559192657,0.163724601268768,0.520425412803888,NA,1.91393911838531,16.3724601268768,8.6737568800648,NA,0.2,0.71428571,0.5,0,0.6,0.5,0.58333333,1,91.800666809082,48.6499786376953,0,0,91.8007,0,0,"2024-08-19",0
"Matt Moore",1890,"2024-08-16","ATL",1,2024,"LAA","H",35,0,0,0,1,0,0,0,0,0,1,0,0.1,3,1,0,0,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,0,1,1,1,0,0,0,0,0.33333333,-0.33333333,12.5329512968893,0,0.5,6.00000625849423,0.5,1,12.1664891660311,-12.1664891660311,16.7025191161447,0,293.436390018189,413.672612664399,0,0.5,0,0.5,1,0,0,0,6,5,11,-0.0908539816737175,-0.171496003866196,0.0806420221924782,-0.409999996423721,-0.0416032448410988,2.84820008277893,2.16140007972717,2.16140007972717,4.65180015563965,1,1,-0.0462570823729038,0.0143583466685382,0,1,0.54545455,92.16666667,NA,NA,NA,NA,0.45454545,82.4,NA,-0.122798204421997,NA,NA,-0.405257552862167,-2.04663674036662,NA,NA,-8.10515105724335,0.33333333,1,0.45454545,0.66666667,0.5,0.6,0.18181818,0.66666667,0.18181818,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,13.1956200142755,54.06363,58.93356,56.23332,42.06764,39.39963,41.52808,NA,NA,NA,42.79586,47.28446,46.63815,0.57298,4.93656,118.3,91.28,99.26,85.24,72.02,60.44,NA,NA,NA,NA,NA,NA,100.267272727273,80.7745454545454,78.0854545454546,0.54545455,NA,NA,0.45454545,92.3666687011719,NA,NA,82.5,6.28604952494303,NA,NA,9.22579574584961,10.0189819335938,NA,NA,5.4112720489502,-0.128148552030325,NA,NA,-0.412292126566172,-2.13580920050542,NA,NA,-8.24584253132343,0,0.71428571,0.45454545,NA,0.6,0.6,0.63636364,18.5,0.45454545,NA,0.54545455,NA,82.4721618652344,NA,92.3644002278646,NA,8.98492584228516,NA,5.95992024739583,NA,4.21867790222168,NA,8.79534149169922,NA,-0.412292126566172,NA,-0.128148552030325,NA,-8.24584253132343,NA,-2.13580920050542,NA,0,0.71428571,0.45454545,NA,0.6,0.6,0.63636364,2,88.5636596679688,49.4997863769531,0,0,100.59,1,0.5,"2024-08-16",0
"Matt Moore",1890,"2024-08-12","TOR",1,2024,"LAA","H",35,0,0,0,1,0,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,0,1,0,0,0,3,0,0,0,0,0,0.2,0.2,0,7.86188908401489,0,0,0.750000178813977,0,1,3.91647995710377,-3.91647995710377,7.31849968220768,0,93.238620002398,180.221016150045,0,0,0,1,0,0,0,0,7,8,15,0.0365379974246025,-0.00361200049519539,0.0401500016450882,1.0110000371933,0.102587521076202,0.322719991207123,0.42793333530426,0.752600014209747,0.134199991822243,1,1,0.0821757093071938,0.0310431752370621,0,0,0.66666667,91.8,NA,NA,0.13333333,81,0.2,83,NA,0.508867025375366,NA,-0.0582131333649158,0.251202315092087,5.08867025375366,NA,-2.91065666824579,8.37341050306956,0.125,0.85714286,0.46666667,1,0.66666667,0.71428571,0.46666667,0.4,0.13333333,0,2,1,0,2,1,3,0,0.66666667,0.33333333,0,0.66666667,0.33333333,2.27925551587941,60.43304,62.61147,58.72233,36.34242,53.11001,36.61574,52.16214,39.71819,49.98709,38.32159,49.65343,40.68954,0.85095,5.35352,126.28,98.56,108.76,90.68,53.92,57.46,90.28,113.98,110.7,NA,NA,NA,97.7466666666667,70.856,74.8186666666667,0.66666667,NA,0.13333333,0.2,91.7700012207031,NA,80.75,83,5.10338478088379,NA,-3.86353540420532,9.45353571573893,10.7393539428711,NA,-5.45744705200195,4.62565994262695,0.510711178183556,NA,-0.0592916384339333,0.254098132252693,5.10711178183556,NA,-2.96458192169666,8.46993774175644,0,0.875,0.46666667,NA,0.71428571,0.71428571,0.53333333,15.9,0.2,0.13333333,0.66666667,NA,82.957265218099,80.7014999389648,91.715087890625,NA,9.26302019755046,-4.42903995513916,4.51620483398438,NA,3.27447986602783,-7.26921463012695,9.46999893188477,NA,0.254098132252693,-0.0592916384339333,0.510711178183556,NA,8.46993774175644,-2.96458192169666,5.10711178183556,NA,0,0.875,0.46666667,NA,0.71428571,0.71428571,0.53333333,3,94.8076680501302,43.6111653645833,1,0.33333333,97.8696,1,0.33333333,"2024-08-12",0
"Matt Moore",1890,"2024-08-09","@WSN",1,2024,"LAA","A",35,0,1,0,1,0,0,0,0,0,0,0,1.1,5,0,1,0,0,1,0,0,0,0,0,0,6.75000160932579,0,0,0,0,0,2,1,0,0,1,0,0,0.2,-0.2,10.1179290840149,0,0,0.750000178813977,0,0,5.41648031473173,-5.41648031473173,7.684493464801,0,129.63818259865,189.326051946512,0,0.333333333,0,0.666666666,0,0,0,0,7,7,14,0.118144005537033,-0.0719559788703918,0.190099984407425,0.666999936103821,0.0692627131938934,2.36400008201599,2.42239999771118,2.25040006637573,4.7487998008728,1,1,0.0397045947611332,0.0102717171839499,1,0,0.57142857,92.375,NA,NA,0.07142857,80,0.35714286,81.2,NA,0.30191570520401,NA,-0.0344077162444592,0.311711221933365,3.77394631505013,NA,-3.44077162444592,6.2342244386673,0.125,0.83333333,0.42857143,1,0.6,0.66666667,0.42857143,0.8,0.14285714,1,2,1,0,2,2,4,0.25,0.5,0.25,0,0.5,0.5,8.91836527697124,44.92048,58.00726,37.41579,20,45.85545,20,20,33.16822,20,20,46.96947,20,3.65333,9.55709,105.72,29.5,44.2,73.38,25.16,19.56,91.5,38.5,39.54,NA,NA,NA,84.7246153846154,27.5215384615385,28.6784615384615,0.57142857,NA,0.07142857,0.35714286,92.4000015258789,NA,79.6999969482422,81.2799987792969,5.88122272491455,NA,-3.08753442764282,9.53725051879883,9.91975021362305,NA,-4.90041208267212,3.862744140625,0.302570447325706,NA,-0.0350487045943737,0.357972543686628,3.78213059157133,NA,-3.50487045943737,7.15945087373257,0,0.85714286,0.42857143,NA,0.66666667,0.66666667,0.5,17.77777778,0.35714286,0.07142857,0.57142857,NA,81.6644775390625,80.052001953125,92.7838363647461,NA,9.15511779785156,-3.90012001991272,5.43346738815308,NA,2.58368473052978,-6.25430011749268,8.9328556060791,NA,0.357972543686628,-0.0350487045943737,0.302570447325706,NA,7.15945087373257,-3.50487045943737,3.78213059157133,NA,0.125,0.83333333,0.42857143,0,0.8,0.66666667,0.42857143,4,100.191141764323,37.8866577148438,0,0,102.659,3,0.75,"2024-08-09",0
"Matt Moore",1890,"2024-08-07","@NYY",1,2024,"LAA","A",35,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,1,0,0,0,0,0,4.5,0,0,0,0,1,2,3,0,0,0,0,0,0.14285714,-0.14285714,8.12183110916828,0,0,0.5,0,1,4.6664797782898,-4.6664797782898,6.17848818451166,0,111.438392622192,151.860300781173,0.5,0.5,0.166666666,0.333333333,0,0,0,0,10,11,21,0.0181760117411613,-0.00145201210398227,0.0196280255913734,0.98199999332428,0.101972997188568,0.116799995303154,0.156000003218651,0.205200001597404,NA,0,1,0.130535006523132,0.0250815386144387,0,0,0.66666667,91.42857143,NA,NA,0.23809524,80.4,0.0952381,84,0.19047619,1.34502923488617,NA,0.285300195217133,-0.0858965888619423,9.60735167775835,NA,5.70600390434265,-4.29482944309711,0.07142857,1,0.38095238,1,1,1,0.33333333,0.42857143,0,2,2,2,1,2,3,6,0.33333333,0.33333333,0.33333333,0.16666667,0.33333333,0.5,12.1638493825064,21.05905,64.81439,20,51.75319,56.97134,51.04695,20,37.38438,20,25.21018,47.84282,22.60641,1.66551,6.57536,108.8,40.62,57.74,83.16,108.56,109.36,100.56,21.42,24.66,NA,NA,NA,89.7447619047619,81.3419047619048,84.2771428571428,0.66666667,NA,0.23809524,0.0952381,91.4642857142857,NA,80.3799987792969,83.8000030517578,5.53456279209682,NA,-5.12045097351074,10.2860708236694,10.7538593837193,NA,-6.41580963134766,6.6056809425354,1.40490670502186,NA,0.287906568497419,-0.0876166112720966,10.0350478930133,NA,5.75813136994839,-4.38083056360483,0.08333333,0.77777778,0.38095238,1,1,1,0.42857143,17.6,0.0952381,0.23809524,0.66666667,NA,83.589599609375,80.1645385742188,91.2817034040179,NA,10.4167003631592,-5.57071380615234,5.14567620413644,NA,4.60161018371582,-7.91223220825195,9.44135175432478,NA,-0.0876166112720966,0.287906568497419,1.40490670502186,NA,-4.38083056360483,5.75813136994839,10.0350478930133,NA,0.09090909,0.7,0.38095238,1,1,1,0.47619048,6,95.5079345703125,17.7938041687012,0,0,112.813,4,0.66666667,"2024-08-07",1
"Matt Moore",1890,"2024-08-03","NYM",1,2024,"LAA","H",35,1,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,75.0388387042722,76.9288520456552,2,0.333333333,0.666666666,0,0,0,0,0,7,12,19,0.0290140360593796,-0.146685972809792,0.175700008869171,0.14300000667572,0.0145103968679905,2.69780015945435,2.16140007972717,2.16140007972717,3.35019993782043,1,1,-0.00845144689083099,0.0192061486272442,0,0,0.47368421,93,NA,NA,0.10526316,81,0.42105263,82.75,NA,0.230253159999847,NA,-0.04739710688591,-0.478777319192886,2.55836844444275,NA,-2.3698553442955,-5.98471648991108,0.38461538,0.83333333,0.52631579,0.8,1,0.9,0.31578947,0.33333333,0.05263158,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,6.42032407372307,59.33886,68.76749,54.57921,39.95637,44.04689,43.56606,34.6182,29.65514,42.48363,42.86013,52.46037,45.03117,0.56898,4.93056,126.22,97.88,118,87.32,104,92,116.96,83.54,72.7,NA,NA,NA,106.818947368421,99.2694736842105,100.915789473684,0.47368421,NA,0.10526316,0.42105263,93.0111083984375,NA,80.8499984741211,82.7874984741211,5.51570341322157,NA,-2.05640625953674,9.56693553924561,10.1343315972222,NA,-3.80115413665771,4.38589191436768,0.232355546206236,NA,-0.0483221560716629,-0.520087391138077,2.5817282911804,NA,-2.41610780358315,-6.50109238922596,0.22222222,0.8,0.52631579,0.5,1,0.9,0.52631579,18.375,0.42105263,0.10526316,0.47368421,NA,82.7938537597656,80.8742523193359,93.020758734809,NA,9.46029376983643,-2.55113983154297,5.00503879123264,NA,2.94923734664917,-5.34478998184204,8.93566640218099,NA,-0.520087391138077,-0.0483221560716629,0.232355546206236,NA,-6.50109238922596,-2.41610780358315,2.5817282911804,NA,0.3,0.77777778,0.52631579,0.66666667,1,0.9,0.47368421,3,90.4213562011719,8.94864908854167,0,0,99.1936,2,0.66666667,"2024-08-03",0
"Matt Moore",1890,"2024-07-31","COL",1,2024,"LAA","H",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.0266384101804,15.0336680287444,0,0,0,1,0,0,0,0,7,10,17,0.0386959984898567,0,0.0386959984898567,0.508000016212463,0.0515474379062653,0.512199997901917,0.669800043106079,0.669800043106079,NA,0,1,0.0757647827267647,-0.000216171542922403,0,0,0.41176471,92.14285714,NA,NA,0.29411765,80.6,0.29411765,81.8,NA,0.256523132324219,NA,0.337515115737915,0.188410148024559,3.66461617606027,NA,6.7503023147583,3.76820296049118,0.3,0.85714286,0.52941176,0.66666667,0.83333333,0.77777778,0.41176471,0.66666667,0.11764706,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.74825606096572,39.29721,77.36821,31.02542,30.15252,44.71448,41.82704,60.78465,29.2209,74.96512,33.61362,46.40811,44.49963,1.14344,5.79225,117.86,54.18,75.38,99.84,91.5,85.1,110.86,149.48,142,NA,NA,NA,108.381176470588,97.5764705882353,98.9764705882353,0.41176471,NA,0.29411765,0.29411765,92.2000034877232,NA,80.4599975585938,81.9599975585938,5.02869851248605,NA,-3.94120216369629,9.56685485839844,10.4029355730329,NA,-4.87447128295898,3.77467727661133,0.259218946099281,NA,0.34178464114666,0.19020001962781,3.7031278014183,NA,6.8356928229332,3.80400039255619,0.3,0.85714286,0.52941176,0.66666667,0.83333333,0.77777778,0.41176471,21.14285714,0.29411765,0.29411765,0.41176471,NA,82.0664184570312,80.5995849609375,92.3392857142857,NA,9.40643615722656,-4.48677787780762,4.37392289297921,NA,2.53805370330811,-6.3944881439209,9.2327161516462,NA,0.19020001962781,0.34178464114666,0.259218946099281,NA,3.80400039255619,6.8356928229332,3.7031278014183,NA,0.36363636,0.83333333,0.52941176,0.5,1,0.77777778,0.35294118,1,93.5742340087891,39.8647956848145,0,0,93.5742,0,0,"2024-07-31",0
"Matt Moore",1890,"2024-07-27","OAK",1,2024,"LAA","H",35,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,0,0,0,0,0,2,0,0.2,0.4,-0.2,10.4768090840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,172.104315818725,176.439130411058,0,0,0,0,0,0,0,0,10,8,18,0.0179179962724447,-0.0289340019226074,0.0468520000576973,0.508000016212463,0.0515474379062653,0.492400020360947,0.296999990940094,0.296999990940094,NA,0,1,0.00587660958990455,0.030512495876237,0,0,0.66666667,92.5,NA,NA,NA,NA,0.33333333,82.16666667,NA,0.273116141557693,NA,NA,-0.22362956404686,2.27596784631411,NA,NA,-3.727159400781,0.16666667,0.66666667,0.33333333,0,0.75,0.5,0.33333333,0.4,0.16666667,2,0,0,0,2,0,2,1,0,0,0,1,0,5.97149473559474,20,57.32228,20,23.41478,49.08838,22.7671,NA,NA,NA,20,49.68951,20,2.97033,8.53259,110.9,30.98,40.1,88.94,34.26,31.5,NA,NA,NA,NA,NA,NA,96.6905882352941,33.1023529411765,34.5352941176471,0.66666667,NA,NA,0.33333333,92.5583292643229,NA,NA,82.1000010172526,6.10338592529297,NA,NA,9.00275421142578,10.4385115305583,NA,NA,4.46196015675863,0.253648832440376,NA,NA,-0.228670753538609,2.11374027033647,NA,NA,-3.81117922564348,0.16666667,0.66666667,0.33333333,0,0.75,0.5,0.33333333,16.69230769,0.33333333,NA,0.66666667,NA,82.101084391276,NA,92.5688781738281,NA,9.01709683736165,NA,5.78934224446615,NA,3.18888441721598,NA,9.39639790852865,NA,-0.228670753538609,NA,0.253648832440376,NA,-3.81117922564348,NA,2.11374027033647,NA,0.16666667,0.66666667,0.33333333,0,0.75,0.5,0.33333333,2,NA,NA,0,0,NA,0,0,"2024-07-27",0
"Matt Moore",1890,"2024-07-26","OAK",1,2024,"LAA","H",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,0,0,1,0,0,0,0,0.33333333,0.33333333,0,7.12050685733112,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,99.3052079828853,101.806421637006,0,1,0,0,0,0,0,0,7,6,13,0.0526660233736038,-0.0244799926877022,0.077146016061306,0.508000016212463,0.0515474379062653,0.819800019264221,0.909799993038177,0.909799993038177,0.669800043106079,1,1,0.0504876226186752,0.0137549025533443,0,0,0.30769231,92.25,NA,NA,0.07692308,81,0.61538462,82.5,NA,-0.173730880022049,NA,0.0389156937599182,0.337024867534637,-4.34327200055122,NA,3.89156937599182,4.21281084418297,0.27272727,1,0.38461538,0.66666667,1,0.8,0.15384615,0.66666667,0.07692308,0,1,0,0,0,1,1,0,1,0,0,0,1,12.4138437783855,47.36663,71.67428,35.11403,20,28.5841,20,64.58973,37.97308,80,20,59.38497,20,3.39667,9.1721,112.78,52.3,69.72,94.08,-19.92,-41.9,89.08,104.82,107.02,NA,NA,NA,105.203076923077,34.1184615384615,38.2446153846154,0.30769231,NA,0.07692308,0.61538462,92.0749969482422,NA,80.9000015258789,82.3000030517578,4.77789068222046,NA,-2.90943837165833,9.68115329742432,10.0693349838257,NA,-6.67141914367676,5.1090350151062,-0.177743881940842,NA,0.039364367723465,0.380579777061939,-4.44359704852104,NA,3.9364367723465,4.75724721327424,0.3,0.66666667,0.38461538,0.66666667,1,0.8,0.23076923,18.7,0.61538462,0.07692308,0.30769231,NA,82.3986129760742,81.0094985961914,92.1807022094727,NA,9.65517044067383,-3.48104000091553,4.13030481338501,NA,3.69250631332397,-8.10694980621338,9.25129699707031,NA,0.380579777061939,0.039364367723465,-0.177743881940842,NA,4.75724721327424,3.9364367723465,-4.44359704852104,NA,0.3,0.66666667,0.38461538,0.66666667,0.5,0.6,0.23076923,1,108.519416809082,13.7773380279541,0,0,108.519,1,1,"2024-07-26",0
