"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","SF%","SFv","wFB","wSL","wCB","wSF","wFB/C","wSL/C","wCB/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxFS%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvFC","pfxvFS","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxFC-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxFC-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwFC","pfxwFS","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwFC/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFS%","piSI%","piSL%","piXX%","pivCU","pivFA","pivFS","pivSI","pivSL","pivXX","piCU-X","piFA-X","piFS-X","piSI-X","piSL-X","piXX-X","piCU-Z","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piXX-Z","piwCU","piwFA","piwFS","piwSI","piwSL","piwXX","piwCU/C","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Nate Pearson",20160,"2024-09-29","CIN",17,2024,"CHC","H",27,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,3,1,0,0,0,0,0,0.2,0,0.2,2.00296908401489,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,43.0066315793331,69.4652537965709,3,0,0.75,0.25,0,0,0,0,2,10,12,0.21942400932312,-0.0300480276346207,0.249472036957741,0.88400000333786,0.0947481244802475,2.21343994140625,2.69013333320618,3.51999998092651,2.67920017242432,1,1,0.0781089887022972,0.0210235900582157,1,0,0.5,96.5,0.5,88,NA,NA,NA,NA,0.215026766061783,0.188575327396393,NA,NA,3.58377943436305,3.14292212327321,NA,NA,0.5,0.83333333,0.66666667,0.33333333,1,0.75,0.5,0.4,0.16666667,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,0.279353457154311,NA,69.69798,49.10068,56.55633,67.50631,59.28015,71.69201,NA,NA,NA,61.26502,63.07519,58.83676,80,49.0724,80,NA,NA,NA,71.45448,61.62566,73.38563,-1.20748,2.26587,NA,NA,NA,90.56,118.36,117.58,NA,NA,NA,115.46,124.94,128.6,NA,NA,NA,103.01,121.65,123.09,0.42105263,0.10526316,NA,NA,0.42105263,0.05263158,95.9250030517578,91.3000030517578,NA,NA,87.1750030517578,80.5999984741211,-2.66499948501587,2.10693693161011,NA,NA,3.80706572532654,6.63112163543701,8.93056106567383,5.06858205795288,NA,NA,0.758761942386627,-9.59947776794434,0.217399843037128,0.0973343104124069,NA,NA,0.165572911500931,-0.0380783230066299,2.71749803796411,4.86671552062035,NA,NA,2.06966139376163,-3.80783230066299,0.44444444,0.8,0.63157895,0.5,0.875,0.75,0.52631579,20.61538462,NA,0.31578947,NA,NA,0.31578947,0.36842105,NA,97.2381184895833,NA,NA,88.3550211588542,89.6442696707589,NA,-3.2474250793457,NA,NA,2.87148348490397,4.41743196759905,NA,8.85603014628092,NA,NA,-1.52538506189982,1.47676849365234,NA,0.217399843037128,NA,NA,0.18981584534049,0.0350130535662174,NA,3.62333071728547,NA,NA,3.16359742234151,0.500186479517392,0.375,0.81818182,0.63157895,0.66666667,0.77777778,0.75,0.57894737,4,88.8740005493164,4.45731115341187,0,0,98.4449,2,0.5,"2024-09-29",0
"Nate Pearson",20160,"2024-09-25","@PHI",17,2024,"CHC","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.7656849361152,-18.3531359984531,2,0,1,0,0,0,1,9,4,10,14,0.00281598814763129,-0.00150400993879884,0.00431999797001481,0.500999987125397,0.0513056814670563,0.0476999990642071,0.0502000004053116,0.0502000004053116,NA,0,1,0.000852564407978207,0.0581828276858622,0,0,0.42857143,98.16666667,0.5,89.57142857,0.07142857,82,NA,NA,-0.239184677600861,0.313697665929794,-0.0879258811473846,NA,-3.98641129334768,4.48139522756849,-8.79258811473846,NA,0.44444444,0.8,0.57142857,0.5,0.5,0.5,0.35714286,0.5,0.28571429,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-0.902531512586613,NA,20,58.63917,36.40463,39.64026,57.22495,20,80,80,80,71.67067,61.4431,69.02935,NA,NA,NA,NA,NA,NA,56.14972,64.06024,53.58596,-0.25665,3.69212,184.88,-33.6,-18.98,114.62,76.96,95.32,123.84,152,178.12,110.1,125.36,142.18,NA,NA,NA,118.037142857143,98.6228571428571,116.5,0.35714286,NA,NA,0.07142857,0.5,0.07142857,97.9799987792969,NA,NA,98.5999984741211,89.6571393694196,81.5999984741211,-3.85227165222168,NA,NA,-9.21949481964111,3.01619175502232,8.11203479766846,10.3483909606934,NA,NA,7.46683025360107,0.765038422175816,-5.95110034942627,0.564897038042545,NA,NA,-0.804897725582123,0.317442089319229,-0.0897959321737289,11.2979407608509,NA,NA,-80.4897725582123,4.5348869902747,-8.97959321737289,0.42857143,0.71428571,0.57142857,0.33333333,0.6,0.5,0.5,16.8,0.07142857,0.35714286,NA,0.07142857,0.5,NA,81.6007995605469,97.9895629882812,NA,98.6544036865234,89.6492135184152,NA,7.78837013244629,-4.12014389038086,NA,-9.65100002288818,3.05084419250488,NA,-7.14987993240356,9.41177368164062,NA,6.34302997589111,-0.5876829964774,NA,-0.0897959321737289,0.564897038042545,NA,-0.804897725582123,0.317442089319229,NA,-8.97959321737289,11.2979407608509,NA,-80.4897725582123,4.5348869902747,NA,0.42857143,0.71428571,0.57142857,0.33333333,0.6,0.5,0.5,2,81.3629608154297,-12.7075700759888,0,0,95.3898,1,0.5,"2024-09-25",0
"Nate Pearson",20160,"2024-09-23","@PHI",17,2024,"CHC","A",27,0,0,0,1,1,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,2,0,1,0,0,0,0,0,0.25,-0.25,8.33247908401489,0,0.333333333333333,2,0.333333333333333,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,154.196826049632,150.806929171676,2,0.333333333,0.666666666,0,0,0,0,0,5,7,12,0.0478440038859844,-0.0120040234178305,0.05984802916646,0.500999987125397,0.0513056851923466,0.670099973678589,0.870000004768372,0.870000004768372,0.920000016689301,1,1,0.0485425926744938,0.0228557146905094,0,0,0.58333333,99.14285714,0.33333333,88.25,0.08333333,80,NA,NA,0.208540871739388,-0.484652936458588,0.0389156937599182,NA,2.97915531056268,-12.1163234114647,3.89156937599182,NA,0.14285714,0.8,0.41666667,1,1,1,0.41666667,0.75,0,2,0,1,0,1,2,3,0.66666667,0,0.33333333,0,0.33333333,0.66666667,10.4995738953948,42,80,54.87626,80,27.84491,77.28575,20,80,79.42364,80,52.26387,59.78477,53.92933,NA,NA,NA,NA,NA,NA,48.31364,71.43614,30.0055,0.23018,4.42236,97.44,145.96,157.24,117.22,19.42,40.54,112.48,144.72,155.1,143.26,75.42,101.52,NA,NA,NA,123.856666666667,59.0733333333333,80.1383333333333,0.5,NA,NA,0.08333333,0.33333333,0.08333333,99.4500020345052,NA,NA,96.9000015258789,88.4000015258789,79.8000030517578,-3.91868368784587,NA,NA,-9.09158229827881,3.15144562721252,7.42695045471191,10.943775177002,NA,NA,6.24346876144409,-0.837073922157288,-5.18447685241699,-0.125573024153709,NA,NA,0.332877218723297,-0.492256805300713,0.039364367723465,-2.09288373589516,NA,NA,33.2877218723297,-12.3064201325178,3.9364367723465,0.14285714,0.8,0.41666667,1,1,1,0.41666667,16.5,0.08333333,0.5,NA,0.08333333,0.33333333,NA,79.7441024780273,99.4308471679688,NA,96.8336029052734,88.3609237670898,NA,7.74003982543945,-3.71372826894124,NA,-9.08973026275635,3.39859509468079,NA,-6.75234985351562,10.0272299448649,NA,4.94315004348755,-2.11910510063171,NA,0.039364367723465,-0.125573024153709,NA,0.332877218723297,-0.492256805300713,NA,3.9364367723465,-2.09288373589516,NA,33.2877218723297,-12.3064201325178,NA,0.14285714,0.8,0.41666667,1,1,1,0.41666667,3,90.8664347330729,-7.5353946685791,0,0,102.792,2,0.66666667,"2024-09-23",0
"Nate Pearson",20160,"2024-09-20","WSN",17,2024,"CHC","H",27,0,0,0,1,0,0,0,0,0,1,0,0.2,5,2,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,1,1,0,1,0,0,1,1,0.2,0.2,0,5.60764908401489,0,0.5,4.50000469387067,0.666666666666667,1,4.66648134291335,-4.66648134291335,4.66648134291335,0,117.133469498574,114.558381588337,1,0.5,0.5,0,0,0,0,0,9,13,22,-0.048944029957056,-0.187768027186394,0.138823986053467,-0.268999963998795,-0.028831722214818,2.87231993675232,1.73000001907349,1.73000001907349,5.74319982528687,1,1,-0.0429138839244843,0.0258739889842304,0,0,0.40909091,98.22222222,0.13636364,86.66666667,0.45454545,81.5,NA,NA,-0.370334625244141,-0.470091164112091,0.193503886461258,NA,-4.11482916937934,-15.669705470403,1.93503886461258,NA,0.30769231,0.66666667,0.45454545,0.5,0.83333333,0.7,0.40909091,0.8,0.13636364,2,0,1,0,3,0,3,0.66666667,0,0.33333333,0,1,0,8.13884366051053,NA,34.17308,61.20273,24.09432,71.24935,62.93995,59.13126,NA,NA,NA,80,65.42908,80,NA,NA,NA,NA,NA,NA,55.65082,61.17419,43.3926,-0.22565,3.73862,116.12,44.68,51.18,110.28,118.82,130.66,NA,NA,NA,117.88,138.84,159.14,NA,NA,NA,113.970909090909,87.85,98.4163636363637,0.40909091,NA,NA,NA,0.13636364,0.45454545,98.2222222222222,NA,NA,NA,86.9000040690104,81.4,-4.42970403035482,NA,NA,NA,3.3993460337321,5.97291603088379,9.9488288031684,NA,NA,NA,-0.992782274881999,-5.37300071716309,-0.377104554325342,NA,NA,NA,-0.477017678320408,0.191803988069296,-4.19005060361491,NA,NA,NA,-15.9005892773469,1.91803988069296,0.33333333,0.6,0.45454545,0.5,0.83333333,0.7,0.45454545,18.94117647,0.45454545,0.40909091,NA,NA,0.13636364,NA,81.6303527832031,98.4554850260417,NA,NA,87.0891316731771,NA,6.3440128326416,-4.15518018934462,NA,NA,3.54951985677083,NA,-6.78862991333008,9.14351908365885,NA,NA,-1.93306668599447,NA,0.191803988069296,-0.377104554325342,NA,NA,-0.477017678320408,NA,1.91803988069296,-4.19005060361491,NA,NA,-15.9005892773469,NA,0.33333333,0.6,0.45454545,0.5,0.83333333,0.7,0.45454545,3,78.5746765136719,7.43897581100464,0,0,86.9962,0,0,"2024-09-20",0
"Nate Pearson",20160,"2024-09-18","OAK",17,2024,"CHC","H",27,0,1,13.5000032186516,1,0,0,0,0,0,0,1,1.1,8,4,2,2,0,0,0,0,0,0,1,6.75000160932579,0,27.0000064373032,1,0.666666666,0,3,1,3,0,2,0,0,0.125,0,0.125,3.51697908401489,0,0.5,3.00000071525591,0.571428571428571,0.5,1.66647942066184,11.8335237979897,2.80048599569648,337.128982045739,43.0066315793331,69.4652537965709,3,0.428571428,0.428571428,0.142857142,0,0,0,0,12,21,33,-0.48810800909996,-0.644968032836914,0.156859993934631,-2.18600010871887,-0.234297960996628,1.72960007190704,2.11373353004456,2.674800157547,0.267599999904633,1,1,-0.150549292564392,-0.131659304109506,0,1,0.48484848,98.5625,0.39393939,89.15384615,0.12121212,82.75,NA,NA,-0.889907240867615,-0.0726387202739716,-0.095604196190834,NA,-5.56192025542259,-0.558759386722858,-2.39010490477085,NA,0.29411765,0.875,0.57575758,0.4,0.78571429,0.68421053,0.48484848,0.5,0.18181818,4,2,1,1,3,3,7,0.57142857,0.28571429,0.14285714,0.14285714,0.42857143,0.42857143,5.73094232599349,NA,20,60.62312,20,80,67.63244,80,80,78.06713,80,39.05162,64.1924,29.58057,NA,NA,NA,NA,NA,NA,72.74911,68.1889,59.04574,-1.28791,2.14523,141.84,59.48,78.7,112.04,132.98,150.34,123.2,158.58,189.72,119.88,87.98,104.64,NA,NA,NA,119.755151515152,108.670909090909,127.233333333333,0.42424242,NA,NA,0.06060606,0.39393939,0.12121212,98.6285749162946,NA,NA,98.0999984741211,89.0846135066106,82.625,-4.4011789049421,NA,NA,-8.46468162536621,2.70747815645658,5.25570440292358,9.46165139334542,NA,NA,6.32652568817139,1.12790547884428,-6.55493450164795,-1.20528260990977,NA,NA,0.304562363773584,-0.076458752155304,-0.0973699614405632,-8.60916149935552,NA,NA,15.2281181886792,-0.588144247348492,-2.43424903601408,0.28571429,0.78947368,0.57575758,0.5,0.73333333,0.68421053,0.57575758,19.5,0.12121212,0.39393939,NA,0.09090909,0.39393939,NA,82.7608032226562,98.8541823167067,NA,98.2014973958333,89.2213698167067,NA,5.40156984329224,-4.06232217641977,NA,-8.05743281046549,3.0500247661884,NA,-7.85518741607666,8.74630854679988,NA,5.41947364807129,0.0396200739420377,NA,-0.0973699614405632,-0.718951296061277,NA,-0.181768950074911,-0.076458752155304,NA,-2.43424903601408,-5.53039458508675,NA,-6.05896500249704,-0.588144247348492,NA,0.33333333,0.77777778,0.57575758,0.4,0.78571429,0.68421053,0.54545455,7,98.449228922526,8.5792605082194,0,0,107.106,4,0.57142857,"2024-09-18",0
"Nate Pearson",20160,"2024-09-14","@COL",17,2024,"CHC","A",27,0,0,9,1,0,0,0,0,0,1,0,1,4,1,1,1,0,0,0,0,0,0,1,9,0,9,1,0,0,0,2,1,0,0,0,0,0.25,0,0.25,4.46147908401489,0,0.25,1,0.333333333333333,0,1.1664797782898,7.8335202217102,4.19049659073353,224.752601111951,30.6521753455268,103.055865631376,0,0.333333333,0,0.666666666,0,0,1,9,3,8,11,0.0130240097641945,-0.10979600250721,0.122820012271404,-0.370999991893768,-0.032288946211338,2.12440013885498,1.90559995174408,1.90559995174408,2.16479992866516,1,1,0.00207349075935781,0.00405718562593664,0,0,0.63636364,98.57142857,0.27272727,89.66666667,0.09090909,85,NA,NA,-0.623594045639038,0.251347869634628,0.173208177089691,NA,-8.90848636627197,8.37826232115428,17.3208177089691,NA,0.5,0.8,0.63636364,0.33333333,1,0.71428571,0.45454545,0.5,0.18181818,1,1,1,0,0,3,3,0.33333333,0.33333333,0.33333333,0,0,1,2.66371517856417,NA,48.89113,68.10493,29.15979,29.48642,54.02383,20,NA,NA,NA,61.54212,64.57638,65.50186,NA,NA,NA,NA,NA,NA,35.94181,57.00547,28.57438,0.99879,5.57528,160.3,97.8,117.72,95.74,90.34,88.68,NA,NA,NA,118.4,94.22,109.84,NA,NA,NA,107.789090909091,92.0763636363636,97.0909090909091,0.63636364,NA,NA,NA,0.27272727,0.09090909,98.5571463448661,NA,NA,NA,89.7333374023438,84.5999984741211,-3.71942002432687,NA,NA,NA,2.42352517445882,4.03792285919189,8.60069383893694,NA,NA,NA,0.936055024464925,-5.36387920379639,-0.622710775583982,NA,NA,NA,0.254050508141518,0.163724601268768,-8.89586822262832,NA,NA,NA,8.46835027138392,16.3724601268768,0.5,0.8,0.63636364,0.33333333,1,0.71428571,0.45454545,22,0.09090909,0.63636364,NA,NA,0.27272727,NA,85.013298034668,98.9911411830357,NA,NA,90.1714680989583,NA,4.19965982437134,-3.91326413835798,NA,NA,2.67013994852702,NA,-6.42881011962891,8.53303146362305,NA,NA,0.607244690259298,NA,0.163724601268768,-0.622710775583982,NA,NA,0.254050508141518,NA,16.3724601268768,-8.89586822262832,NA,NA,8.46835027138392,NA,0.5,0.8,0.63636364,0.33333333,1,0.71428571,0.45454545,3,99.8572896321615,27.7302652994792,1,0.33333333,106.732,3,1,"2024-09-14",0
"Nate Pearson",20160,"2024-09-13","@COL",17,2024,"CHC","A",27,0,0,13.500014081612,1,0,0,0,0,0,0,0,0.2,4,2,1,1,1,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,1,2,1,0,0,0,0,0,0,0,6.91672908401489,13.500014081612,0.5,3.00000312924711,0.333333333333333,1,22.666500118396,-9.16648603678402,7.70250972840334,337.129253321141,561.894675955442,187.926204380887,0.5,0.25,0.25,0.5,0,0.5,0,0,0,10,10,-0.205363988876343,-0.212083980441093,0.00672000413760543,-2.29999995231628,-0.200174063444138,0.885679960250854,2.06119990348816,4.12239980697632,NA,0,1,-0.0650560930371284,-0.166815461128077,0,1,0.6,97.66666667,0.4,87.5,NA,NA,NA,NA,-0.0937387198209763,-1.96746361255646,NA,NA,-1.56231199701627,-49.1865903139114,NA,NA,1,0.71428571,0.8,0.33333333,1,0.75,0.7,1,0.2,2,1,1,0,1,3,4,0.5,0.25,0.25,0,0.25,0.75,22.8310208380861,NA,NA,NA,NA,75.50722,63.69257,73.54587,NA,NA,NA,52.84485,53.49292,60.41668,NA,NA,NA,NA,NA,NA,71.96064,60.46619,74.61523,-1.23892,2.21871,NA,NA,NA,95.28,117.3,119,NA,NA,NA,123.28,69.6,77.28,NA,NA,NA,106.48,98.22,102.312,0.6,NA,NA,NA,0.4,NA,97.7666625976562,NA,NA,NA,87.5500030517578,NA,-2.81206957499186,NA,NA,NA,2.85938453674316,NA,8.92587534586588,NA,NA,NA,-0.453993916511536,NA,-0.0977341644465923,NA,NA,NA,-1.97701644524932,NA,-1.62890274077654,NA,NA,NA,-49.425411131233,NA,1,0.71428571,0.8,0.33333333,1,0.75,0.7,19.5,NA,0.6,NA,NA,0.4,NA,NA,98.1171162923177,NA,NA,87.8786010742188,NA,NA,-2.73136297861735,NA,NA,3.02358245849609,NA,NA,8.74998346964518,NA,NA,-0.785216510295868,NA,NA,-0.0977341644465923,NA,NA,-1.97701644524932,NA,NA,-1.62890274077654,NA,NA,-49.425411131233,NA,1,0.71428571,0.8,0.33333333,1,0.75,0.7,4,88.0724334716797,17.0562744140625,1,0.25,102.992,2,0.5,"2024-09-13",0
"Nate Pearson",20160,"2024-09-10","@LAD",17,2024,"CHC","A",27,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,0,0,0,0,0,0,0,6.91672908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,80.0700356271687,151.387312822842,0.5,0.25,0.25,0.5,0,0,0,0,5,9,14,0.048020001500845,-0.0128400009125471,0.0608600005507469,0.477999985218048,0.0505820102989674,0.655499994754791,1.00599992275238,1.00599992275238,0.86599999666214,1,1,0.0342174097895622,0.0390396487689328,0,0,0.42857143,100.16666667,0.5,89,0.07142857,83,NA,NA,-0.296067535877228,0.567651808261871,-0.0238054171204567,NA,-4.93445893128713,8.10931154659816,-2.38054171204567,NA,0.28571429,0.57142857,0.42857143,0.5,1,0.83333333,0.5,0.75,0.07142857,0,2,2,0,1,3,4,0,0.5,0.5,0,0.25,0.75,4.18619872239334,NA,20.82308,65.00857,20,55.38181,75.53368,45.48889,NA,NA,NA,58.10811,61.73944,56.31382,NA,NA,NA,NA,NA,NA,55.71472,72.21705,49.13321,-0.22962,3.73266,100.9,60.2,66.7,123.16,117.18,141.64,NA,NA,NA,126.78,72.1,103.2,NA,NA,NA,123.38,90.57,117.067142857143,0.42857143,NA,NA,NA,0.5,0.07142857,100.133331298828,NA,NA,NA,88.7428588867188,82.9000015258789,-4.68672021230062,NA,NA,NA,2.91094616481236,6.30840158462524,10.4914182027181,NA,NA,NA,0.317549126488822,-4.87604713439941,-0.300383072346449,NA,NA,NA,0.61589628085494,-0.0242429338395596,-5.00638453910748,NA,NA,NA,8.79851829792772,-2.42429338395596,0.16666667,0.625,0.42857143,0,1,0.83333333,0.57142857,16.7,0.07142857,0.42857143,NA,NA,0.5,NA,82.6416015625,99.9077453613281,NA,NA,88.4973318917411,NA,7.2586498260498,-4.49072996775309,NA,NA,3.30374581473214,NA,-6.62637996673584,9.66030502319336,NA,NA,-0.741425922938756,NA,-0.0242429338395596,-0.300383072346449,NA,NA,0.61589628085494,NA,-2.42429338395596,-5.00638453910748,NA,NA,8.79851829792772,NA,0.25,0.5,0.42857143,0,1,0.83333333,0.71428571,4,95.8787231445312,16.7305641174316,0,0,101.206,3,0.75,"2024-09-10",0
"Nate Pearson",20160,"2024-09-08","NYY",17,2024,"CHC","H",27,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,2,9,0,0,2,0,0,1,2,1,0,0,0,0,0.33333333,0,0.33333333,2.11156241929506,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.6521753455268,66.5170884121943,0.5,0.25,0.25,0.5,0,0,0,0,7,15,22,0.20966000854969,0,0.20966000854969,0.937999963760376,0.100535899400711,1.40840005874634,1.93660008907318,1.73000001907349,2.81959986686707,1,1,0.149128168821335,-0.000264209857632897,1,0,0.40909091,98.66666667,0.40909091,88.88888889,0.18181818,81.75,NA,NA,1.18887686729431,0.322833180427551,0.0127681419253349,NA,13.2097429699368,3.5870353380839,0.319203548133373,NA,0.1,0.66666667,0.40909091,1,0.875,0.88888889,0.54545455,0.83333333,0.04545455,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,1.32514724199627,NA,47.41878,66.0402,38.66552,80,65.4823,80,80,75.12956,80,49.95575,58.91867,51.28905,NA,NA,NA,NA,NA,NA,77.20714,65.68235,69.22849,-1.56487,1.72979,166.2,78.64,104.86,121.04,145.3,172.06,128.6,179.84,214.8,117.56,94.36,111,NA,NA,NA,128.170909090909,113.910909090909,136.805454545455,0.36363636,NA,NA,0.04545455,0.40909091,0.18181818,98.75,NA,NA,97,88.8888888888889,81.8249969482422,-3.90654563903809,NA,NA,-8.50646495819092,3.55810716417101,6.48972034454346,10.541184425354,NA,NA,6.393967628479,0.158096432685852,-6.69465446472168,0.874874819070101,NA,NA,0.330024719238281,0.325820188969374,0.0116074122488499,10.9359352383763,NA,NA,33.0024719238281,3.62022432188193,0.290185306221247,0.125,0.57142857,0.40909091,1,0.875,0.88888889,0.63636364,18,0.18181818,0.36363636,NA,0.04545455,0.40909091,NA,82.1823272705078,99.1432113647461,NA,97.421501159668,89.2538859049479,NA,6.30727767944336,-3.84769868850708,NA,-8.56352043151855,3.76684867011176,NA,-8.09493446350098,9.51506900787354,NA,5.46857023239136,-0.813451237148709,NA,0.0116074122488499,0.874874819070101,NA,0.330024719238281,0.325820188969374,NA,0.290185306221247,10.9359352383763,NA,33.0024719238281,3.62022432188193,NA,0.11111111,0.61538462,0.40909091,1,0.875,0.88888889,0.59090909,4,95.11767578125,18.2494239807129,1,0.25,101.489,2,0.5,"2024-09-08",0
"Nate Pearson",20160,"2024-09-04","PIT",17,2024,"CHC","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,80.0700356271687,151.387312822842,0.5,0,0.333333333,0.666666666,1,0,1,9,3,7,10,0.000243980888626538,0,0.000243980888626538,0.468999981880188,0.0502679497003555,0.0052000000141561,0.00999999977648258,0.00999999977648258,0,1,1,0.0243980903178453,0.0225213112133743,0,0,0.4,96.5,0.6,88.5,NA,NA,NA,NA,0.441680938005447,0.287578225135803,NA,NA,11.0420234501362,4.79297041893005,NA,NA,0.5,1,0.7,0.66666667,1,0.85714286,0.4,0.66666667,0.1,2,0,1,2,1,0,3,0.66666667,0,0.33333333,0.66666667,0.33333333,0,-1.14339565690393,NA,NA,NA,NA,80,60.3974,78.8942,80,51.88779,80,28.90688,46.75302,24.72782,NA,NA,NA,NA,NA,NA,61.6467,54.03833,57.10595,-0.59816,3.17985,NA,NA,NA,79.7,152.7,145.72,94.88,234.12,253.16,100.64,61.44,63.42,NA,NA,NA,93.782,106.086,107.084,0.3,NA,NA,0.1,0.6,NA,96.9000040690104,NA,NA,95.6999969482422,88.4333292643229,NA,-3.4102840423584,NA,NA,-7.68121099472046,2.4942143758138,NA,9.32539494832357,NA,NA,5.50695562362671,2.24511877695719,NA,0.143950395286083,NA,NA,0.285965204238892,0.290353041142225,NA,4.79834650953611,NA,NA,28.5965204238892,4.83921735237042,NA,0.25,1,0.7,0,1,0.85714286,0.6,18.28571429,NA,0.3,NA,0.1,0.6,NA,NA,97.2848002115885,NA,96.127799987793,88.8299458821615,NA,NA,-3.31265640258789,NA,-7.89903020858765,2.72521654764811,NA,NA,8.41463661193848,NA,4.60359001159668,1.0355449517568,NA,NA,0.143950395286083,NA,0.285965204238892,0.290353041142225,NA,NA,4.79834650953611,NA,28.5965204238892,4.83921735237042,NA,0.25,1,0.7,0,1,0.85714286,0.6,3,72.8315836588542,51.3052368164062,0,0,85.9067,0,0,"2024-09-04",0
