"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","CH%","CHv","XX%","wFB","wCB","wCH","wFB/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Nick Anderson",18337,"2024-07-13","@BOS",7,2024,"KCR","A",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.5648885419948,15.0336680287444,0,0.5,0,0.5,0,0,0,0,4,14,18,0.0015360260149464,-0.000883967848494649,0.00241999374702573,0.546999990940094,0.0526974946260452,0.031300000846386,0.0284000001847744,0.0284000001847744,NA,0,1,0.0448419451713562,0.0042323670781835,0,0,0.55555556,95.4,0.33333333,82.83333333,0.11111111,89,NA,0.640907824039459,-0.398305922746658,0.0645759403705597,6.40907824039459,-6.63843204577764,3.22879701852798,0.25,0.6,0.44444444,1,0.66666667,0.75,0.55555556,0.5,0.11111111,2,0,0,0,0,2,2,1,0,0,0,0,1,1.59488546689185,55.84772,38.88216,43.03013,41.96804,51.34088,45.33607,80,46.82844,80,57.46869,34.05206,73.96872,56.02012,36.022,71.10155,-0.2486,3.70419,82.46,107.06,83.86,113.42,57.16,61.48,70.34,163.92,137.64,83.26,160.04,149.42,87.4822222222222,121.584444444444,107.586666666667,0.11111111,0.44444444,0.33333333,0.11111111,95,95.4375,82.6499989827474,89,-4.77791023254395,-7.06552886962891,-0.407373428344727,-8.9670467376709,9.29319953918457,8.21996974945068,0.337939699490865,5.00761318206787,0.112743902951479,0.53736786544323,-0.363157246261835,0.0638940781354904,5.63719514757395,6.71709831804037,-6.05262077103058,3.19470390677452,0.28571429,0.54545455,0.44444444,1,0.66666667,0.75,0.61111111,19.21428571,0.11111111,0.38888889,0.16666667,0.33333333,89.213249206543,95.4876185825893,95.7530924479167,82.8398640950521,-8.84909534454346,-5.69672175816127,-7.8729731241862,0.0270835061868032,3.4950098991394,7.95400728498186,6.28903961181641,-1.31332484881083,0.0638940781354904,0.529395163059235,0.120716605335474,-0.363157246261835,3.19470390677452,7.56278804370335,4.0238868445158,-6.05262077103058,0.28571429,0.54545455,0.44444444,1,0.66666667,0.75,0.61111111,2,99.1267547607422,16.8323612213135,0,0,100.101,2,1,"2024-07-13",0
"Nick Anderson",18337,"2024-07-12","@BOS",7,2024,"KCR","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.8725122804045,76.9288520456552,3,0,1,0,0,0,0,0,3,8,11,0.00902799982577562,0,0.00902799982577562,0.546999990940094,0.0526974946260452,0.114000000059605,0.225199997425079,0.225199997425079,NA,0,1,0.082622341811657,-0.00342936092520647,0,0,0.27272727,95.66666667,0.45454545,82.4,0.27272727,88.33333333,NA,0.269379317760468,0.225670874118805,0.141205489635468,8.97931059201558,4.5134174823761,4.70684965451558,0.4,0.83333333,0.63636364,0.5,0.8,0.71428571,0.54545455,0.66666667,0.18181818,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,1.44189185785728,66.7004,45.93043,80,56.52264,40.46277,58.26896,80,49.17025,80,80,47.03957,80,76.12232,39.31297,80,-1.49747,1.83089,98.76,149.52,131.74,119.8,119.72,121.46,79.92,161.64,146.64,73.18,164.72,147.46,101.96,139.84,131.28,0.09090909,0.18181818,0.45454545,0.27272727,95.3000030517578,95.6999969482422,82.4599975585938,88.4333292643229,-4.63155937194824,-7.85649967193604,0.279169654846191,-8.19553693135579,9.72860622406006,8.65463733673096,-0.0444051861763001,4.33097267150879,0.057969942688942,0.214739695191383,0.228575073182583,0.142934367060661,5.7969942688942,10.7369847595692,4.57150146365166,4.76447890202204,0.4,0.83333333,0.63636364,0.5,0.8,0.71428571,0.54545455,17.25,0.27272727,0.09090909,0.18181818,0.45454545,88.6580607096354,95.5162963867188,95.901252746582,82.6818969726562,-8.26029713948568,-4.35314989089966,-7.5308051109314,0.565618419647217,2.85639667510986,8.73532009124756,7.49795007705688,-1.76794986724854,0.142934367060661,0.057969942688942,0.214739695191383,0.228575073182583,4.76447890202204,5.7969942688942,10.7369847595692,4.57150146365166,0.4,0.83333333,0.63636364,0.5,0.8,0.71428571,0.54545455,3,88.7711893717448,2.88027000427246,0,0,99.8297,1,0.33333333,"2024-07-12",0
"Nick Anderson",18337,"2024-07-04","TBR",7,2024,"KCR","H",33,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,2,18,0,9,2,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,0,-0.833520221710205,9.83352022171021,-0.833520221710205,214.004283478709,-22.5648885419948,-22.5814263197472,0,1,0,0,0,0,3,27,7,11,18,0.0301380008459091,-0.00901999417692423,0.0391579940915108,0.812000036239624,0.0794909447431564,0.454100012779236,0.543866634368896,0.357199996709824,0.617199957370758,1,1,0.0529834516346455,0.0133851896288837,0,0,0.27777778,95.2,0.66666667,82,0.05555556,89,NA,-0.493567883968353,0.824551105499268,-0.0238054171204567,-9.87135767936707,6.8712592124939,-2.38054171204567,0.18181818,0.28571429,0.22222222,0.5,1,0.75,0.38888889,0.25,0.05555556,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,5.66304421598591,44.72265,37.09864,40.52613,72.28975,37.96584,79.51332,29.67812,38.08318,32.00068,52.4817,20,80,57.10852,25.78087,69.20056,-0.31622,3.60276,74.5,114.3,88.9,105.18,130.82,137.9,83.98,88,51.02,75.88,122.16,87.08,96.2366666666667,123.701111111111,117.054444444444,0.22222222,0.05555556,0.66666667,0.05555556,95.0749969482422,95.9000015258789,81.8250020345052,88.9000015258789,-4.47688579559326,-6.34489774703979,1.17698725064596,-7.92764282226562,9.74584770202637,8.29485607147217,-1.45353110631307,4.03810739517212,0.0428128577768803,-0.544301271438599,0.876579947769642,-0.0242429338395596,1.07032144442201,-54.4301271438599,7.30483289808035,-2.42429338395596,0.2,0.25,0.22222222,0.5,1,0.75,0.44444444,18.42857143,0.05555556,0.11111111,0.16666667,0.66666667,89.0863037109375,95.2761001586914,95.49169921875,81.9792226155599,-7.97821998596191,-3.6730649471283,-5.56083679199219,1.41065851847331,2.37785005569458,8.39843940734863,8.31004651387533,-2.96829160054525,-0.0242429338395596,0.019891619682312,-0.52138003334403,0.876579947769642,-2.42429338395596,0.994580984115601,-17.379334444801,7.30483289808035,0.2,0.25,0.22222222,0.5,1,0.75,0.44444444,2,72.6356582641602,18.9228839874268,0,0,79.3008,0,0,"2024-07-04",0
"Nick Anderson",18337,"2024-07-02","TBR",7,2024,"KCR","H",33,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,1,0,0,0,0,0,0,6.03472908401489,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,6.19049659073353,214.004283478709,400.044064953202,152.159040742638,1,0,0.5,0.5,0.5,0.5,0,0,3,9,12,-0.0157439988106489,-0.0199639983475208,0.00421999953687191,-0.466000020503998,-0.0456191897392273,0.0767999961972237,0.148599997162819,0.148599997162819,NA,0,1,-0.0533826276659966,-0.151617366998301,0,0,0.33333333,95.75,0.5,82.83333333,0.16666667,88,NA,-1.25082242488861,0.572622954845428,-0.0582131333649158,-31.2705606222153,9.54371591409047,-2.91065666824579,0.16666667,0.66666667,0.41666667,1,1,1,0.5,0.75,0,3,0,1,1,2,1,4,0.75,0,0.25,0.25,0.5,0.25,14.0517794017997,20,45.60896,20,80,47.08566,80,NA,NA,NA,42.82041,32.30071,53.1873,60.5131,37.27184,70.17848,-0.52773,3.2855,83.28,40.3,27.62,108.76,151.3,159.3,72.38,36.14,12.06,73.52,125.02,92.38,92.6716666666667,116.633333333333,108.353333333333,0.08333333,0.25,0.5,0.16666667,95.6999969482422,95.7333374023438,82.7166697184245,87.5999984741211,-5.03591775894165,-6.3750680287679,0.397862037022909,-8.76843070983887,9.14954376220703,9.18661371866862,0.69236167271932,5.03516483306885,-1.4267897605896,0.176661372184753,0.579995557665825,-0.0592916384339333,-142.67897605896,5.88871240615845,9.66659262776375,-2.96458192169666,0.25,0.5,0.41666667,1,1,1,0.66666667,17.25,0.16666667,0.08333333,0.25,0.5,87.7221984863281,95.8553009033203,95.8863728841146,82.8781992594401,-8.51799011230469,-4.97371006011963,-6.25864028930664,0.679049173990885,3.11360001564026,7.81550979614258,8.1678835550944,-0.836479187011719,-0.0592916384339333,-1.4267897605896,0.176661372184753,0.579995557665825,-2.96458192169666,-142.67897605896,5.88871240615845,9.66659262776375,0.25,0.5,0.41666667,1,1,1,0.66666667,4,89.3229598999023,25.1956939697266,1,0.25,107.967,1,0.25,"2024-07-02",0
"Nick Anderson",18337,"2024-06-29","CLE",7,2024,"KCR","H",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.1538118692049,64.7888072114456,1,0,0.5,0.5,0,0,0,0,4,8,12,0.00454400107264519,0,0.00454400107264519,0.533999979496002,0.0522760637104511,0.0549333319067955,0.0723999962210655,0.0723999962210655,0.0262000001966953,1,1,0.083527572453022,-0.00080910417669533,0,0,0.5,95.5,0.33333333,82.25,0.16666667,88.5,NA,0.442934453487396,0.397017896175385,-0.111731298267841,7.3822408914566,9.92544740438461,-5.58656491339207,0.33333333,0.66666667,0.5,0,0.75,0.5,0.5,1,0.25,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,-0.387857658594256,20,49.55467,20,61.36434,43.35699,72.2201,45.05392,47.92468,35.64047,55.56584,20,80,32.66827,33.6976,38.47148,1.20217,5.88035,107.42,-7.88,-8.40000000000001,97.42,141.3,140.7,88.12,102.96,85.74,73.82,111.46,55.32,90.8616666666667,99.3916666666667,80.765,0.16666667,0.33333333,0.33333333,0.16666667,95.3000030517578,95.6999969482422,81.9250030517578,88.3000030517578,-3.22459506988525,-5.96841955184937,-0.0556472167372704,-7.87452793121338,9.94836616516113,9.00993824005127,-0.229198262095451,3.19850158691406,0.0183174163103104,0.429419919848442,0.403025273233652,-0.114038866013288,0.915870815515518,10.7354979962111,10.0756318308413,-5.70194330066442,0.33333333,0.66666667,0.5,0,0.75,0.5,0.5,16.33333333,0.16666667,0.25,0.25,0.33333333,88.2799530029297,95.2639363606771,95.8211059570312,81.8987274169922,-7.66155004501343,-3.74826018015544,-6.290953318278,0.153745427727699,1.42782092094421,8.88162994384766,7.88994979858398,-1.76098299026489,-0.114038866013288,0.0762873589992523,0.3714499771595,0.403025273233652,-5.70194330066442,2.54291196664174,12.3816659053167,10.0756318308413,0.33333333,0.66666667,0.5,0,0.75,0.5,0.5,2,90.9082794189453,23.6281127929688,0,0,100.496,1,0.5,"2024-06-29",0
"Nick Anderson",18337,"2024-06-28","CLE",7,2024,"KCR","H",33,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,1,9,0,18,1,0,0,1,3,0,0,0,0,0,0.2,0,0.2,4.59096908401489,0,0.4,2,0.5,0.5,1.1664797782898,7.8335202217102,5.70250499695539,214.004283478709,27.1538118692049,140.018995908429,0.333333333,0,0.25,0.75,0,0,3,27,2,9,11,0.00609199237078428,-0.0252739787101746,0.0313659682869911,-0.466000020503998,-0.0456191897392273,0.346320003271103,0.294800013303757,0.294800013303757,0.0361999981105328,1,1,-0.0465371236205101,0.064127769015646,0,0,0.54545455,96.16666667,0.27272727,83,0.18181818,87.5,NA,-0.264381647109985,-0.708605289459229,0.00450797751545906,-4.40636078516642,-23.6201763153076,0.225398875772953,0.33333333,0.875,0.72727273,0,1,0.875,0.72727273,0.8,0.09090909,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,0.094108539307629,52.98153,47.05129,42.95075,65.96705,43.93303,66.48331,NA,NA,NA,47.59133,46.73068,60.39889,59.98022,44.44289,67.47946,-0.49462,3.33516,90.66,103.6,101.66,99.9,123.8,134.62,NA,NA,NA,76.88,104.26,88.52,88.0272727272727,111.203636363636,103.132727272727,NA,0.54545455,0.27272727,0.18181818,NA,95.9333292643229,83.2999979654948,87.8000030517578,NA,-5.84585762023926,1.02767205238342,-8.0543212890625,NA,9.86206372578939,-0.659286697705587,3.61955380439758,NA,-0.259421486407518,-0.715363219380379,0.00431566312909126,NA,-4.32369144012531,-23.8454406460126,0.215783156454563,0.33333333,0.875,0.72727273,0,1,0.875,0.72727273,19,0.18181818,0.18181818,0.36363636,0.27272727,87.6995544433594,95.3054962158203,96.1286010742188,83.2220357259115,-8.10647010803223,-5.2529501914978,-6.08733463287354,1.33898337682088,2.25780510902405,9.51082038879395,8.38568019866943,-2.23558330535889,0.00431566312909126,-0.542683511972427,0.283262025564909,-0.715363219380379,0.215783156454563,-27.1341755986214,7.08155063912272,-23.8454406460126,0.33333333,0.875,0.72727273,0,1,0.875,0.72727273,4,101.150398254395,17.0758438110352,0,0,105.171,4,1,"2024-06-28",0
"Nick Anderson",18337,"2024-06-25","MIA",7,2024,"KCR","H",33,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,3,1,0,0,0,0,0,0.2,0,0.2,2.00296908401489,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,39.5834780816062,67.8238162491883,3,0,0.75,0.25,0,0,0,0,3,12,15,0.0549840107560158,-0.0261540021747351,0.081138014793396,0.644999980926514,0.063142441213131,0.69844001531601,0.635933339595795,0.500999987125397,NA,0,1,0.0538676604628563,0.0248563667267059,0,0,0.53333333,96,0.46666667,82.71428571,NA,NA,NA,0.209600850939751,-0.0651558563113213,NA,2.62001063674688,-0.930797947304589,NA,0.5,0.55555556,0.53333333,0.66666667,0.8,0.75,0.6,1,0.13333333,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,0.302026087519842,NA,NA,NA,77.04836,39.84377,80,64.81413,46.34782,74.81287,46.96455,34.90569,55.21716,65.16647,30.50598,79.424,-0.81683,2.85185,NA,NA,NA,119.24,130.58,141.24,82.3,135.42,96.08,74.4,94.9,58.1,96.9053333333333,119.654666666667,104.494666666667,0.2,0.33333333,0.46666667,NA,96.1999918619792,95.7,82.6571393694196,NA,-4.15303262074788,-6.14299545288086,0.603413718087333,NA,9.59150314331055,9.50161361694336,0.266509260450091,NA,-0.0452898852527142,0.257300049066544,-0.0641048923134804,NA,-1.50966284175714,5.14600098133087,-0.915784175906863,NA,0.4,0.6,0.53333333,0.5,0.83333333,0.75,0.66666667,16.9,NA,0.13333333,0.4,0.46666667,NA,95.8292999267578,95.739267985026,82.5166538783482,NA,-3.95631504058838,-5.75534693400065,0.8625442641122,NA,8.79782962799072,8.43785985310872,-1.19905308314732,NA,-0.0242429338395596,0.236253097653389,-0.0641048923134804,NA,-1.21214669197798,3.93755162755648,-0.915784175906863,0.4,0.6,0.53333333,0.5,0.83333333,0.75,0.66666667,4,90.4830474853516,-6.80508041381836,1,0.25,109.311,2,0.5,"2024-06-25",0
"Nick Anderson",18337,"2024-06-22","@TEX",7,2024,"KCR","A",33,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,27.000028163224,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-72.2837445352942,-72.3367211985741,0,0,0,0,0,0,0,0,3,6,9,0.000283997040241957,0,0.000283997040241957,0.257999986410141,0.0267912745475769,0.0142000000923872,0.00499999988824129,0.00999999977648258,NA,0,1,0.0200005974620581,-8.06025844547753e-07,0,0,0.66666667,94.33333333,0.33333333,82,NA,NA,NA,0.266312599182129,0.266312569379807,NA,4.43854331970215,8.87708564599355,NA,0.33333333,0.66666667,0.55555556,0,0.25,0.2,0.66666667,0.5,0.44444444,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.9366894835949,NA,NA,NA,69.1146,41.28114,78.07778,45.59612,80,25.37304,53.66746,52.73712,63.86407,59.95343,45.59953,71.36653,-0.49296,3.33765,NA,NA,NA,109.8,108.62,103.82,79,168.44,172.54,74.18,133.88,115.28,87.1244444444444,133.14,124.184444444444,0.22222222,0.44444444,0.33333333,NA,94.1999969482422,94.5500030517578,81.9333343505859,NA,-5.31011390686035,-6.67878484725952,1.07152088483175,NA,12.0554637908936,10.3647680282593,-0.0549274235963821,NA,0.0424786768853664,0.226740889251232,0.269219551235437,NA,2.12393384426832,5.6685222312808,8.97398504118125,NA,0.33333333,0.66666667,0.55555556,0,0.25,0.2,0.66666667,14.28571429,NA,0.22222222,0.44444444,0.33333333,NA,94.447998046875,94.7836761474609,82.1680653889974,NA,-5.09127998352051,-6.47529029846191,1.55213991800944,NA,10.880350112915,9.24980735778809,-1.58061663309733,NA,0.0424786768853664,0.226740889251232,0.269219551235437,NA,2.12393384426832,5.6685222312808,8.97398504118125,0,0.83333333,0.55555556,NA,0.2,0.2,0.66666667,0,NA,NA,0,NA,NA,0,NA,"2024-06-22",0
"Nick Anderson",18337,"2024-06-21","@TEX",7,2024,"KCR","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,101.731862486004,101.806421637006,1,0,1,0,0,0,0,0,7,8,15,0.00270399078726768,-0.00173599959816784,0.00443999050185084,0.49099999666214,0.0509865060448647,0.0456000007688999,0.0483999997377396,0.0483999997377396,NA,0,1,0.0497059151530266,0.00959212742753098,0,0,0.4,93.83333333,0.4,80.66666667,0.2,87,NA,0.896243274211884,-0.0771998167037964,-0.0818965211510658,14.9373879035314,-1.28666361172994,-2.72988403836886,0.11111111,1,0.46666667,1,0.83333333,0.85714286,0.4,1,0.06666667,0,1,0,0,1,0,1,0,1,0,0,1,0,4.08230847709129,20,38.71293,20,20,32.88926,50.491,80,58.07496,80,79.09691,37.65174,80,37.67055,31.99213,59.85445,0.89139,5.41418,89.22,83.76,52.52,117.84,20.58,11.2,82.52,151.1,137.54,84.82,123.18,90,98.2946666666667,81.7013333333333,63.6613333333333,0.2,0.2,0.4,0.2,93.3333333333333,94.2000020345052,80.7833353678385,87.1666666666667,-4.55666732788086,-7.19521649678548,0.237019956111908,-8.09416707356771,9.84094111124674,9.1750971476237,-0.283723811308543,4.70567512512207,0.0698953941464424,0.841559961438179,-0.0821514427661896,-0.0833682082593441,2.32984647154808,28.051998714606,-1.36919071276983,-2.77894027531147,0.125,0.85714286,0.46666667,1,0.83333333,0.85714286,0.46666667,16.5,0.2,0.26666667,0.13333333,0.4,87.451171875,93.7326202392578,94.81884765625,81.0767313639323,-7.99847984313965,-4.55549240112305,-7.31353998184204,0.475284218788147,3.08388010660807,8.92803478240967,7.6871452331543,-1.55703258514404,-0.0833682082593441,0.127865336835384,0.783590018749237,-0.0821514427661896,-2.77894027531147,3.19663342088461,39.1795009374619,-1.36919071276983,0.125,0.85714286,0.46666667,1,0.83333333,0.85714286,0.46666667,1,92.8668746948242,-5.35985803604126,0,0,92.8669,0,0,"2024-06-21",0
"Nick Anderson",18337,"2024-06-15","@LAD",7,2024,"KCR","A",33,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.1538118692049,64.7888072114456,0,0.5,0,0.5,0,0,0,0,5,8,13,0.00696000037714839,0,0.00696000037714839,0.477999985218048,0.0505820102989674,0.0920000001788139,0.184000000357628,0.184000000357628,NA,0,1,0.0795223191380501,-0.0038701412726074,0,0,0.61538462,95.5,0.23076923,82.66666667,0.15384615,89.5,NA,0.266458123922348,0.466012269258499,0.0334886722266674,3.33072654902935,15.5337423086166,1.67443361133337,0.375,0.8,0.53846154,0.33333333,1,0.71428571,0.38461538,0.66666667,0.15384615,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,3.70760238124008,80,28.64026,80,55.79216,43.90412,79.20829,20,56.22237,20,38.52201,42.35187,38.49766,41.99497,36.85801,50.93691,0.62273,5.01119,66.5,119.16,87.6,132.86,99.64,93.5,79.3,99.16,92.2,77.4,113.16,96.04,88.8138461538462,108.809230769231,93.5646153846154,0.07692308,0.53846154,0.23076923,0.15384615,95.6999969482422,95.2857142857143,82.4333292643229,89.1999969482422,-4.03794193267822,-6.85664313180106,-0.493470788002014,-7.17826175689697,9.45586109161377,8.98269762311663,-1.51811504364014,6.22870540618896,-0.0350487045943737,0.304220665246248,0.514061078429222,0.0337270088493824,-3.50487045943737,4.34600950351783,17.1353692809741,1.68635044246912,0.16666667,0.85714286,0.53846154,0,0.83333333,0.71428571,0.53846154,16.9,0.15384615,0.15384615,0.46153846,0.23076923,89.2330017089844,95.595703125,95.3444010416667,82.475331624349,-6.92601490020752,-4.81055498123169,-6.55725161234538,0.0195360084374746,4.51607513427734,8.40961456298828,7.62570317586263,-3.30343341827393,0.0337270088493824,0.00431566312909126,0.264856297522783,0.514061078429222,1.68635044246912,0.215783156454563,4.41427162537972,17.1353692809741,0.16666667,0.85714286,0.53846154,0,0.83333333,0.71428571,0.53846154,2,88.1575698852539,32.6831665039062,0,0,92.7206,0,0,"2024-06-15",0
