"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Paul Sewald",13892,"2024-09-08","@HOU",15,2024,"ARI","A",34,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,2,18,0,18,2,0,0,0,3,0,0,0,0,0,0.4,0,0.4,3.20368908401489,0,0.4,2,0.666666666666667,0.5,-0.833520221710205,9.83352022171021,3.70250499695539,215.247334085636,-18.9588053599737,91.2631956590928,0,0,0,1,0,0,0,0,4,14,18,0.00113200000487268,-0.000874000019393861,0.00200600014068186,-0.523000001907349,-0.0554319024085999,0.0206399988383055,0.0257999990135431,0.0257999990135431,NA,0,1,-0.00486590946093202,0.0597108740241963,0,0,0.61111111,91.09090909,0.38888889,82.71428571,NA,NA,NA,0.0658359974622726,-0.516781449317932,NA,0.598509067838842,-7.38259213311332,NA,0.2,0.61538462,0.5,0,0.875,0.77777778,0.72222222,0.8,0.11111111,1,0,2,1,2,0,3,0.33333333,0,0.66666667,0.33333333,0.66666667,0,-0.773552970214198,NA,NA,NA,42.15572,64.90768,20,80,55.05359,80,61.4687,62.03127,40.58959,-0.5871,3.19644,NA,NA,NA,116.98,46.66,62.76,105.64,131.7,137.22,112.57,79.7311111111111,91.7166666666667,0.61111111,0.38888889,NA,91.0454545454545,82.7571411132812,NA,-8.05336969549006,4.42331913539341,NA,7.12614371559837,4.23005975995745,NA,0.0648303888738155,-0.521726679056883,NA,0.589367171580141,-7.45323827224118,NA,0.2,0.61538462,0.5,0,0.875,0.77777778,0.72222222,16.23076923,NA,0.61111111,0.38888889,NA,91.312461159446,83.0102103097098,NA,-6.80473119562322,5.80619703020368,NA,6.40563548694957,3.12063135419573,NA,0.0648303888738155,-0.521726679056883,NA,0.589367171580141,-7.45323827224118,0.2,0.61538462,0.5,0,0.875,0.77777778,0.72222222,3,84.313232421875,34.3006591796875,0,0,95.5447,1,0.33333333,"2024-09-08",0
"Paul Sewald",13892,"2024-09-02","LAD",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,20.2500048279774,0,0,3,0,0,0,1,0,1,0,0,0,0.75,0,0.75,-0.543708415985107,0,0,0,0,1,-1.33352129459407,1.33352129459407,-0.19951471955943,0,-31.4404388302288,-3.0319342753038,0,0,0,1,1,0,3,20.2500048279774,5,11,16,0.000739999872166663,0,0.000739999872166663,1.01800000667572,0.102828286588192,0.00549999997019768,0.0106666665524244,0.0120000001043081,NA,0,1,0.0466666556894779,0.0878787763426002,0,0,0.4375,90.85714286,0.5625,83.22222222,NA,NA,NA,0.726933658123016,0.328037083148956,NA,10.3847665446145,3.64485647943285,NA,0.3,0.83333333,0.5,0.66666667,0.8,0.75,0.375,0.75,0.125,0,0,1,1,0,0,1,0,0,1,1,0,0,-2.69856801353269,NA,NA,NA,57.01925,72.07648,56.8084,53.54103,48.26909,64.62675,57.40532,62.0739,65.50076,-0.33465,3.57512,NA,NA,NA,124.42,70.62,104.02,114.36,102.96,115.42,118.76125,88.81125,110.4325,0.4375,0.5625,NA,90.8571428571429,83.1888902452257,NA,-7.22389057704381,4.49510277642144,NA,7.13940920148577,4.00234646267361,NA,0.718716036528349,0.33035047352314,NA,10.267371950405,3.67056081692378,NA,0.33333333,0.71428571,0.5,0.66666667,0.8,0.75,0.4375,17.5,NA,0.4375,0.5625,NA,90.8035539899554,83.1679009331597,NA,-6.33227702549526,5.62178209092882,NA,6.68449129377093,3.04778777228461,NA,0.718716036528349,0.33035047352314,NA,10.267371950405,3.67056081692378,0.33333333,0.71428571,0.5,0.66666667,0.8,0.75,0.4375,1,82.3715057373047,70.7259521484375,0,0,82.3715,0,0,"2024-09-02",0
"Paul Sewald",13892,"2024-09-01","LAD",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,80.8940481410376,187.926090042024,0,0,0,1,0,0,2,18,6,13,19,0.00527999410405755,0,0.00527999410405755,0.510999977588654,0.0516161620616913,0.0633333325386047,0.114000000059605,0.114000000059605,0.0199999995529652,1,1,0.0890552550554276,-0.00568692605048947,0,0,0.68421053,91.61538462,0.31578947,83.66666667,NA,NA,NA,0.766481697559357,0.000515509396791458,NA,5.8960130581489,0.00859182327985764,NA,0.45454545,0.75,0.57894737,1,0.83333333,0.90909091,0.42105263,0.33333333,0.05263158,1,0,2,1,1,1,3,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,0.808593811781094,NA,NA,NA,80,73.04952,80,46.41946,66.13723,28.02637,80,72.55117,80,-3.35503,-0.95545,NA,NA,NA,139.24,136.36,173.72,129.56,78.96,106.5,136.183157894737,118.233684210526,152.492631578947,0.68421053,0.31578947,NA,91.6307654747596,83.6000010172526,NA,-6.43161245492789,6.58485476175944,NA,7.06766568697416,3.65531063079834,NA,0.819294020533562,-0.0187890566885471,NA,6.30226169641201,-0.313150944809119,NA,0.28571429,0.75,0.57894737,1,0.88888889,0.90909091,0.63157895,20.0625,NA,0.68421053,0.31578947,NA,91.7831467848558,83.736083984375,NA,-5.47152709960938,7.94495519002279,NA,6.63328376183143,2.87062835693359,NA,0.819294020533562,-0.0187890566885471,NA,6.30226169641201,-0.313150944809119,0.28571429,0.75,0.57894737,1,0.88888889,0.90909091,0.63157895,3,86.3363240559896,42.364616394043,0,0,102.309,1,0.33333333,"2024-09-01",0
"Paul Sewald",13892,"2024-08-30","LAD",15,2024,"ARI","H",34,0,0,10.8000041198746,1,0,0,0,0,0,0,0,1.2,7,2,2,2,2,0,0,0,0,0,1,5.40000205993731,0,10.8000041198746,1,0,0,1,5,0,0,0,0,0,0.14285714,0,0.14285714,6.50338215574655,10.8000041198746,0.285714285714286,1.20000045776385,0,1,17.566485271456,-6.76648115158133,6.50250626954851,258.296899435211,440.364457871757,158.927252480278,0.2,0,0.166666666,0.833333333,0,0.4,0,0,6,18,24,-0.212240010499954,-0.260700017213821,0.0484599992632866,-2.56500005722046,-0.259090900421143,0.842499971389771,0.777333319187164,2.05999994277954,0.0219999998807907,1,1,-0.274441719055176,0.0225247840909555,0,1,0.54166667,92.69230769,0.45833333,84.90909091,NA,NA,NA,-2.22586035728455,0.632915318012238,NA,-17.1220027483427,5.75377561829307,NA,0.44444444,0.8,0.66666667,0.5,0.83333333,0.75,0.625,0.42857143,0.16666667,1,3,2,0,3,3,6,0.16666667,0.5,0.33333333,0,0.5,0.5,15.9827482550709,NA,NA,NA,56.94946,70.94192,51.969,64.95492,49.61168,62.21615,63.73233,63.34537,60.00927,-0.72773,2.9855,NA,NA,NA,119.94,75.08,88.66,102.82,120.86,133.6,112.093333333333,96.0625,109.2575,0.54166667,0.45833333,NA,92.6846172626202,84.8272705078125,NA,-7.8311274601863,5.25687824596058,NA,7.14827904334435,3.7143308466131,NA,-2.22174594178796,0.640662040561438,NA,-17.0903533983689,5.82420036874034,NA,0.16666667,0.83333333,0.66666667,0,0.8,0.75,0.75,19.29411765,NA,0.54166667,0.45833333,NA,92.775155874399,84.9259532581676,NA,-6.89404062124399,6.38857269287109,NA,6.44235053429237,2.83322074196555,NA,-2.22174594178796,0.640662040561438,NA,-17.0903533983689,5.82420036874034,0.14285714,0.88235294,0.66666667,0,0.8,0.75,0.70833333,6,91.6408894856771,32.2713216145833,1,0.16666667,104.423,4,0.66666667,"2024-08-30",0
"Paul Sewald",13892,"2024-08-24","@BOS",15,2024,"ARI","A",34,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,1,9,0,18,1,0,0,2,2,0,0,0,0,0,0.2,0,0.2,3.29696908401489,0,0.4,2,0.5,0.5,1.1664797782898,7.8335202217102,4.19049659073353,215.247334085636,30.967621390532,103.055865631376,1,0,0.5,0.5,0,0,0,0,3,10,13,0.0210239998996258,-0.0825320035219193,0.103556007146835,-0.453000009059906,-0.0436416193842888,1.06488001346588,0.490399986505508,0.490399986505508,NA,0,1,-0.0242944806814194,0.0440375499791505,0,0,0.30769231,90.75,0.69230769,82.77777778,NA,NA,NA,-1.08778369426727,0.593928575515747,NA,-27.1945923566818,6.59920639461941,NA,0.625,0.4,0.53846154,0.6,1,0.71428571,0.38461538,0.6,0.15384615,1,0,3,0,3,1,4,0.25,0,0.75,0,0.75,0.25,0.18995193953952,NA,NA,NA,66.19453,68.53401,57.01131,39.04126,58.65486,32.49725,49.00605,67.57505,37.94208,0.18716,4.35783,NA,NA,NA,106.5,120.92,121.66,101.48,68.78,79.12,103.024615384615,84.8230769230769,92.2092307692308,0.30769231,0.69230769,NA,90.875,82.6444430881076,NA,-7.21026039123535,6.9222649468316,NA,6.61458158493042,4.34985902574327,NA,-1.10102636739612,0.601006858050823,NA,-27.5256591849029,6.67785397834248,NA,0.4,0.625,0.53846154,0,1,0.71428571,0.61538462,18.5,NA,0.30769231,0.69230769,NA,90.8676223754883,82.6106906467014,NA,-6.44836521148682,8.10664791531033,NA,5.95629215240479,3.40143118964301,NA,-1.10102636739612,0.601006858050823,NA,-27.5256591849029,6.67785397834248,0.25,0.66666667,0.53846154,0,0.83333333,0.71428571,0.69230769,4,85.1755447387695,16.562219619751,0,0,98.0918,1,0.25,"2024-08-24",0
"Paul Sewald",13892,"2024-08-19","@MIA",15,2024,"ARI","A",34,0,0,18,1,0,0,0,0,0,0,0,1,6,3,2,2,0,0,0,0,0,0,0,0,0,27,0,0,0,1,3,2,1,0,0,0,0,0,0,7.34739574882223,0,0.5,3,0.5,0.33333333,3.1664797782898,14.8335202217102,7.70250499695539,430.494668171272,80.8940481410376,187.926090042024,0.333333333,0.333333333,0.166666666,0.5,0.333333333,0,0,0,4,9,13,0.00827999692410231,-0.0713400021195412,0.0796200037002563,-1.4779999256134,-0.147064685821533,0.679666638374329,0.211999997496605,0.211999997496605,NA,0,1,-0.0949832201004028,0.107165658455634,0,0,0.46153846,90.83333333,0.53846154,82.57142857,NA,NA,NA,-0.181782513856888,-1.25582098960876,NA,-3.02970856428146,-17.9402998515538,NA,0.42857143,0.66666667,0.53846154,1,1,1,0.46153846,0.66666667,0,2,2,2,1,4,1,6,0.33333333,0.33333333,0.33333333,0.16666667,0.66666667,0.16666667,4.89980497977931,NA,NA,NA,55.84762,79.49496,46.83935,52.69409,55.02188,51.16833,56.19322,70.76695,50.24794,-0.25935,3.68807,NA,NA,NA,109.92,89.78,107.22,101.06,112.84,122.7,105.149230769231,102.196923076923,115.555384615385,0.46153846,0.53846154,NA,90.6666666666667,82.5857107979911,NA,-6.72882016499837,5.72526277814593,NA,7.40191968282064,5.25171116420201,NA,-0.17928085103631,-1.26749647036195,NA,-2.9880141839385,-18.1070924337421,NA,0.28571429,0.83333333,0.53846154,1,1,1,0.46153846,19,NA,0.46153846,0.53846154,NA,90.7041219075521,82.6134381975446,NA,-5.70495669047038,6.80964551653181,NA,6.61109479268392,4.11830302647182,NA,-0.17928085103631,-1.26749647036195,NA,-2.9880141839385,-18.1070924337421,0.33333333,0.71428571,0.53846154,1,1,1,0.53846154,6,89.2765909830729,34.8572184244792,0,0,96.8471,3,0.5,"2024-08-19",0
"Paul Sewald",13892,"2024-08-17","@TBR",15,2024,"ARI","A",34,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,3,27,0,9,3,0,0,1,0,0,0,0,0,0,0.6,0,0.6,-0.0213109159851073,0,0.25,1,1,1,0.166479778289795,-0.166479778289795,0.166479778289795,0,6.00440801527916,5.81258759727958,1,0,1,0,0,0,0,0,6,11,17,0.000941977486945689,-0.00155600311700255,0.00249798060394824,0.452000021934509,0.04964305087924,0.0288399998098612,0.0199999995529652,0.0199999995529652,NA,0,1,-0.00312033016234636,0.0357825178584642,0,0,0.58823529,91.7,0.41176471,84.28571429,NA,NA,NA,0.487903922796249,-0.801860392093658,NA,4.87903922796249,-11.4551484584808,NA,0.25,0.77777778,0.52941176,0,0.42857143,0.33333333,0.52941176,0.8,0.35294118,0,0,1,0,1,0,1,0,0,1,0,1,0,0.400054652646671,NA,NA,NA,47.98298,67.91317,29.75738,41.96379,56.51321,25.71055,45.00895,64.96597,23.86607,0.43549,4.73033,NA,NA,NA,134.36,49.46,79.24,110.84,95.1,109.22,124.675294117647,68.2529411764706,91.5847058823529,0.58823529,0.41176471,NA,91.6799987792969,84,NA,-7.80125961303711,5.51823098318917,NA,8.03687973022461,5.05125590733119,NA,0.490140099078417,-0.810570735484362,NA,4.90140099078417,-11.5795819354909,NA,0.28571429,0.7,0.52941176,0,0.42857143,0.33333333,0.58823529,20.66666667,NA,0.58823529,0.41176471,NA,91.8888671875,84.1920689174107,NA,-6.76624526977539,6.98546600341797,NA,7.1411376953125,3.7459956577846,NA,0.490140099078417,-0.810570735484362,NA,4.90140099078417,-11.5795819354909,0.28571429,0.7,0.52941176,0,0.42857143,0.33333333,0.58823529,1,77.1127090454102,8.4561939239502,0,0,77.1127,0,0,"2024-08-17",0
"Paul Sewald",13892,"2024-08-13","COL",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.9588053599737,18.1856412207288,0,0,0,1,0,0,0,0,4,10,14,0.0530800223350525,0,0.0530800223350525,0.510999977588654,0.0516161620616913,0.695999979972839,0.913999974727631,0.913999974727631,0.674000024795532,1,1,0.0763936117291451,-0.000129209627978494,0,0,0.35714286,92,0.64285714,83.66666667,NA,NA,NA,-0.012416135519743,0.78354686498642,NA,-0.248322710394859,8.70607627762689,NA,0.25,0.83333333,0.5,1,0.8,0.85714286,0.42857143,1,0.07142857,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.73209372896022,NA,NA,NA,51.12965,75.65411,29.09976,62.80978,53.95597,55.05171,61.56133,66.90433,45.84799,-0.59285,3.18782,NA,NA,NA,124.6,74.74,101.3,104.54,128.52,129.08,111.704285714286,109.312857142857,119.158571428571,0.35714286,0.64285714,NA,92.1200012207031,83.5111083984375,NA,-6.95988388061523,5.19073232014974,NA,7.25241012573242,4.22594536675347,NA,-0.0135085731744766,0.79335556179285,NA,-0.270171463489532,8.81506179769834,NA,0.2,0.66666667,0.5,1,0.83333333,0.85714286,0.64285714,17.90909091,NA,0.35714286,0.64285714,NA,91.9775207519531,83.3701307508681,NA,-6.10937194824219,6.11894904242622,NA,6.80460586547852,3.27298227945964,NA,-0.0135085731744766,0.79335556179285,NA,-0.270171463489532,8.81506179769834,0.33333333,0.625,0.5,1,0.8,0.85714286,0.57142857,1,73.6101531982422,38.8205146789551,0,0,73.6102,0,0,"2024-08-13",0
"Paul Sewald",13892,"2024-08-11","PHI",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,105.85726151629,139.014259199392,1,0,0.5,0.5,0,0,0,0,5,9,14,0.00105998513754457,-0.000179970258614048,0.00123995542526245,0.511000037193298,0.0516161620616913,0.0129999993368983,0.0319999977946281,0.0319999977946281,NA,0,1,0.0731211155653,0.00841620686640057,0,0,0.57142857,92.25,0.42857143,84.16666667,NA,NA,NA,0.304714560508728,0.109580375254154,NA,3.8089320063591,1.82633958756924,NA,0.28571429,0.42857143,0.35714286,0.5,1,0.8,0.5,0.75,0.07142857,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,2.9323416762532,NA,NA,NA,80,70.43833,80,73.45684,54.59368,60.99746,80,65.78204,80,-2.5625,0.23334,NA,NA,NA,117.94,103.64,124.94,101.08,127.7,129.7,110.714285714286,113.951428571429,126.98,0.57142857,0.42857143,NA,92.1624984741211,84,NA,-7.32261323928833,7.26693916320801,NA,7.36650466918945,3.38183085123698,NA,0.346618074923754,0.110321879386902,NA,4.33272593654692,1.8386979897817,NA,0,0.5,0.35714286,NA,0.8,0.8,0.71428571,20.2,NA,0.57142857,0.42857143,NA,92.0920257568359,83.9187672932943,NA,-6.59904623031616,8.35588963826497,NA,6.84248876571655,2.36220502853394,NA,0.346618074923754,0.110321879386902,NA,4.33272593654692,1.8386979897817,0,0.55555556,0.35714286,NA,0.8,0.8,0.64285714,2,81.0825805664062,0.973738670349121,0,0,93.3321,0,0,"2024-08-11",0
"Paul Sewald",13892,"2024-08-07","@CLE",15,2024,"ARI","A",34,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,3,1,0,0,0,0,0,0,0.2,-0.2,7.43248908401489,0,0.25,2,0.25,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,155.783688266796,187.345706390858,3,0,0.75,0.25,0,0,0,0,7,12,19,0.0167760010808706,-0.0198999997228384,0.036676000803709,0.480000019073486,0.0506329126656055,0.322133332490921,0.414799988269806,0.414799988269806,NA,0,1,-0.0302712973207235,0.0823491153818006,0,0,0.47368421,91.66666667,0.52631579,83.4,NA,NA,NA,0.22961887717247,-0.333504170179367,NA,2.55132085747189,-3.33504170179367,NA,0.2,0.66666667,0.42105263,1,0.83333333,0.875,0.47368421,0.6,0.05263158,2,2,0,0,2,2,4,0.5,0.5,0,0,0.5,0.5,3.91800041383445,NA,NA,NA,20.54716,77.0869,20,70.83884,59.99551,68.48309,45.50252,72.62133,32.79394,0.40482,4.68432,NA,NA,NA,111.56,48.6,65.24,88.96,109.98,106.88,99.6652631578947,80.9052631578947,87.1557894736842,0.47368421,0.52631579,NA,91.5888875325521,83.3,NA,-6.18425157335069,6.52528915405273,NA,6.93080520629883,3.00108795166016,NA,0.23148837313056,-0.300238158553839,NA,2.572093034784,-3.00238158553839,NA,0.125,0.63636364,0.42105263,1,0.85714286,0.875,0.57894737,19.84615385,NA,0.47368421,0.52631579,NA,91.7397325303819,83.428271484375,NA,-5.03071890936957,7.88047561645508,NA,6.53400887383355,2.20713424682617,NA,0.23148837313056,-0.300238158553839,NA,2.572093034784,-3.00238158553839,0.22222222,0.6,0.42105263,1,0.83333333,0.875,0.52631579,4,97.7052612304688,5.45198774337769,0,0,103.862,2,0.5,"2024-08-07",1
