"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Pete Fairbanks",17998,"2024-08-18","ARI",12,2024,"TBR","H",30,0,0,40.5000422448361,1,0,0,0,0,0,0,1,0.2,6,3,3,3,1,1,0,0,0,0,2,27.000028163224,13.500014081612,40.5000422448361,2,0.5,0,2,1,0,0,1,0,0,0.33333333,0.16666667,0.16666667,3.69039574374473,13.500014081612,0.6,6.00000625849423,1,0.38461538,21.1664985537725,19.3335436910636,3.93449318872301,1046.35602179844,539.868499993822,96.0351591107979,2,0,0.666666666,0.333333333,0,1,0,0,11,19,30,-0.404032021760941,-0.50858199596405,0.104550004005432,-2.75699996948242,-0.302800685167313,1.66616666316986,0.68120002746582,0.68120002746582,2.23399996757507,1,1,-0.258543342351913,0.0160513811982346,0,1,0.5,96.46666667,0.5,84.6,NA,NA,NA,-0.738449454307556,-1.36605334281921,NA,-4.92299636205037,-9.10702228546143,NA,0.31578947,0.72727273,0.46666667,0.66666667,0.875,0.78571429,0.36666667,0.5,0.1,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,10.6562471160813,NA,NA,NA,46.0235,62.48616,48.68808,36.77838,32.25828,41.75537,40.33557,47.67802,45.23582,0.72583,5.16584,NA,NA,NA,93.66,113,114.44,133.38,82.26,106.18,113.52,97.63,110.31,0.5,0.5,NA,96.6071428571429,84.6000017438616,NA,-2.31724085126604,2.53520093645368,NA,11.1245237077985,-3.61297743661063,NA,-0.718825109302998,-1.43017575517297,NA,-5.13446506644998,-10.2155411083783,NA,0.3125,0.75,0.5,0.6,0.88888889,0.78571429,0.42857143,20.04545455,NA,0.5,0.5,NA,96.8772495814732,84.8391636439732,NA,-2.06457029070173,2.84909793308803,NA,9.28795950753348,-5.56884002685547,NA,-0.718825109302998,-1.43017575517297,NA,-5.13446506644998,-10.2155411083783,0.3125,0.75,0.5,0.6,0.88888889,0.78571429,0.42857143,3,90.2145487467448,12.0897038777669,1,0.33333333,103.956,2,0.66666667,"2024-08-18",0
"Pete Fairbanks",17998,"2024-08-16","ARI",12,2024,"TBR","H",30,1,0,18,1,0,0,0,0,0,0,1,1,6,3,2,2,1,0,0,0,0,0,1,9,0,27,1,0,1,0,2,2,0,0,1,1,0.16666667,0,0.16666667,4.72872909190039,9,0.5,3,0.5,0.625,14.1664797782898,3.83352022171021,4.19049659073353,465.046635717358,360.699481988662,102.403901559937,0,0.5,0,0.5,0,0.5,1,9,8,15,23,-0.306300014257431,-0.511662006378174,0.205361977219582,-1.54799997806549,-0.170016467571259,1.95884990692139,1.4054000377655,1.4054000377655,NA,0,1,-0.321956276893616,0.165589005886709,0,1,0.30434783,97.85714286,0.52173913,85.25,0.17391304,94,NA,-0.836366713047028,0.412867844104767,-1.11855602264404,-11.9480959006718,3.44056536753972,-27.9639005661011,0.25,0.54545455,0.39130435,0.66666667,1,0.88888889,0.47826087,0.83333333,0.04347826,3,0,2,2,1,2,5,0.6,0,0.4,0.4,0.2,0.4,22.7628032063552,63.09042,57.4879,80,68.25548,71.19686,68.56254,37.30993,36.32751,57.72097,52.49565,54.54089,72.9921,-0.02963,4.03265,83.3,128.36,112.62,112.36,109.18,123.08,128.62,82.86,99.96,115.789565217391,98.7834782608696,109.198260869565,0.30434783,0.52173913,0.17391304,97.7142857142857,85.2416687011719,93.9749984741211,-1.43109921046666,2.0846422513326,-8.69675827026367,11.652834211077,-3.57586065928141,6.77030324935913,-0.84968925267458,0.416313797235489,-1.11510917544365,-12.1384178953511,3.46928164362907,-27.8777293860912,0.25,0.54545455,0.39130435,0.66666667,1,0.88888889,0.47826087,19,0.17391304,0.30434783,0.52173913,94.0139465332031,97.7404959542411,85.2222340901693,-8.50942993164062,-1.17435250963484,2.45905669530233,4.50311756134033,9.67533220563616,-5.68093236287435,-1.11510917544365,-0.84968925267458,0.416313797235489,-27.8777293860912,-12.1384178953511,3.46928164362907,0.27272727,0.5,0.39130435,0.66666667,1,0.88888889,0.52173913,5,90.9680786132812,26.5165863037109,1,0.2,110.65,2,0.4,"2024-08-16",0
"Pete Fairbanks",17998,"2024-08-14","HOU",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,79.1489231587868,189.77413509113,0,0,0,1,0.333333333,0,0,0,4,5,9,0.127581983804703,0,0.127581983804703,0.451999992132187,0.0496430546045303,1.73306667804718,2.25119996070862,2.25119996070862,2.70020008087158,1,1,0.0736396685242653,-2.33527640071951e-05,1,0,0.66666667,97.33333333,0.11111111,86,0.22222222,93,NA,0.796195924282074,-0.0344077162444592,0.00520895421504974,13.2699320713679,-3.44077162444592,0.260447710752487,0,0.8,0.44444444,NA,1,1,0.55555556,NA,0,0,0,3,1,1,1,3,0,0,1,0.33333333,0.33333333,0.33333333,-0.282462695656658,37.53123,79.45037,20.56849,76.04618,72.82103,73.75894,20,36.11942,20,53.47907,72.32048,43.44428,-0.09073,3.941,84.5,90.7,98.54,108.18,123.4,134.9,109.86,6.95999999999999,19.74,103.104444444444,103.195555555556,114.024444444444,0.66666667,0.11111111,0.22222222,97.3666687011719,86.0999984741211,93,-2.16538063685099,3.23541212081909,-9.94637966156006,12.0368105570475,-3.00287437438965,3.33424520492554,0.788502037525177,-0.0350487045943737,0.00484009832143784,13.1417006254196,-3.50487045943737,0.242004916071892,0,0.66666667,0.44444444,NA,1,1,0.66666667,19.16666667,0.22222222,0.66666667,0.11111111,93.0135955810547,97.3948872884115,86.0837020874023,-9.74435043334961,-1.97247616449992,3.88739991188049,1.19821500778198,10.152951558431,-5.11183023452759,0.00484009832143784,0.788502037525177,-0.0350487045943737,0.242004916071892,13.1417006254196,-3.50487045943737,0,0.8,0.44444444,NA,1,1,0.55555556,3,88.9907938639323,52.8584645589193,0,0,98.8887,1,0.33333333,"2024-08-14",0
"Pete Fairbanks",17998,"2024-08-11","BAL",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-74.4241089302358,-72.3365655024484,0,1,0,0,0,0,0,0,2,12,14,0.151020020246506,-0.0407080203294754,0.191728040575981,0.451999992132187,0.0496430546045303,2.21399998664856,2.79259991645813,2.79259991645813,NA,0,1,0.0458668693900108,0.0223445222799196,1,0,0.64285714,98.66666667,0.21428571,85.33333333,0.14285714,94,NA,-0.024151798337698,-0.0192974396049976,0.367116391658783,-0.268353314863311,-0.643247986833255,18.3558195829391,0.33333333,0.81818182,0.71428571,0,0.77777778,0.7,0.78571429,0.75,0.21428571,0,0,1,1,0,0,1,0,0,1,1,0,0,0.379686089626753,80,80,78.99925,80,80,80,21.20665,33.25493,28.7765,80,79.0269,80,-3.16643,-0.67255,133.18,165.54,191.36,133.86,133.9,169.02,118.84,58.62,82.16,130.544285714286,122.288571428571,153.598571428571,0.64285714,0.21428571,0.14285714,98.4222208658854,85.2333374023438,93.9000015258789,-1.46578682793511,2.4478866259257,-9.5298490524292,12.13464779324,-2.93858750661214,3.52299499511719,-0.026189960539341,-0.0199272707104683,0.371209412813187,-0.290999561548233,-0.66424235701561,18.5604706406593,0.5,0.8,0.71428571,0.5,0.75,0.7,0.71428571,17.7,0.14285714,0.64285714,0.21428571,93.8600997924805,98.3876207139757,85.1781667073568,-9.22566032409668,-1.17610147264269,3.05976009368896,1.37250256538391,10.3541446261936,-4.99057006835938,0.371209412813187,-0.026189960539341,-0.0199272707104683,18.5604706406593,-0.290999561548233,-0.66424235701561,0.5,0.8,0.71428571,0.5,0.75,0.7,0.71428571,1,73.5985107421875,24.0567378997803,0,0,73.5985,0,0,"2024-08-11",0
"Pete Fairbanks",17998,"2024-08-10","BAL",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.9579124624459,64.7888072114456,1,0,0.5,0.5,0,0,0,0,1,8,9,0.0143899973481894,0,0.0143899973481894,0.451999992132187,0.0496430546045303,0.195133328437805,0.25560000538826,0.25560000538826,NA,0,1,0.0736724063754082,7.20301254834577e-05,0,0,0.44444444,97.75,0.44444444,84.75,0.11111111,92,NA,0.28020653128624,0.274806350469589,0.173208177089691,7.00516328215599,6.87015876173973,17.3208177089691,0.33333333,0.66666667,0.55555556,0,0.75,0.6,0.66666667,1,0.22222222,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.356967211218104,80,59.25868,80,66.7095,70.24017,61.99218,80,35.50762,80,80,55.88985,80,-2.76399,-0.06889,116.88,264.32,252.92,108.9,91.68,105.48,130.72,122.8,151.36,119.484444444444,124.693333333333,142.253333333333,0.44444444,0.44444444,0.11111111,97.7999954223633,84.5749969482422,91.9000015258789,-3.10907673835754,2.28012490272522,-8.34790134429932,11.6960611343384,-3.80382037162781,5.51172304153442,0.325507022440434,0.278347000479698,0.175081223249435,8.13767556101084,6.95867501199245,17.5081223249435,0.33333333,0.66666667,0.55555556,0,0.75,0.6,0.66666667,18,0.11111111,0.44444444,0.44444444,91.9087982177734,97.8148193359375,84.5869293212891,-8.1448802947998,-2.75197005271912,2.72649741172791,3.52075004577637,9.71255970001221,-5.60493993759155,0.175081223249435,0.325507022440434,0.278347000479698,17.5081223249435,8.13767556101084,6.95867501199245,0.33333333,0.66666667,0.55555556,0,0.75,0.6,0.66666667,2,80.2315216064453,11.1821594238281,0,0,94.4239,0,0,"2024-08-10",0
"Pete Fairbanks",17998,"2024-08-08","@STL",12,2024,"TBR","A",30,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.1489231587868,114.543946394147,1,0.333333333,0.333333333,0.333333333,0,0,0,0,1,7,8,0.086608000099659,0,0.086608000099659,0.479999989271164,0.0506329126656055,1.15013337135315,1.77240002155304,1.77240002155304,NA,0,1,0.0757564827799797,-0.000453911567944235,1,0,0.75,98.33333333,0.125,86,0.125,95,NA,0.732431769371033,-0.0207000374794006,0,12.2071961561839,-2.07000374794006,0,0,0.85714286,0.75,NA,1,1,0.875,1,0,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,5.67400870680969,62.10085,35.87563,66.36772,80,58.10803,80,20,38.68453,20,80,49.74416,80,-1.99025,1.09172,89.94,130.64,95.66,101.76,107.14,111.26,168.5,63.52,80.98,108.625,104.625,105.525,0.75,0.125,0.125,98.1666666666667,85.8000030517578,94.5,-1.91214672724406,2.53323721885681,-6.23798990249634,10.2268295288086,-2.25858116149902,5.18869113922119,0.783527124673128,-0.0210469514131546,0,13.0587854112188,-2.10469514131546,0,0,0.85714286,0.75,NA,1,1,0.875,19.8,0.125,0.75,0.125,94.700798034668,98.3923136393229,85.9850997924805,-6.29984998703003,-1.99049504597982,2.8500599861145,3.62382006645203,8.82708485921224,-4.39971017837524,0,0.783527124673128,-0.0210469514131546,0,13.0587854112188,-2.10469514131546,0,0.85714286,0.75,NA,1,1,0.875,3,102.247111002604,14.5995648701986,0,0,109.082,2,0.66666667,"2024-08-08",0
"Pete Fairbanks",17998,"2024-08-04","@HOU",12,2024,"TBR","A",30,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.233098233895,-22.5814263197472,1,0,1,0,0,0,0,0,2,9,11,0.192019999027252,0,0.192019999027252,0.476999998092651,0.0505564361810684,2.56666660308838,3.4028000831604,3.4028000831604,NA,0,1,0.0749051794409752,-9.21909538061372e-05,1,0,0.18181818,98,0.72727273,85.375,0.09090909,94,NA,0.178596556186676,0.586813867092133,-0.0207000374794006,8.9298278093338,7.33517333865166,-2.07000374794006,0.75,0.33333333,0.63636364,0.16666667,0,0.14285714,0.27272727,1,0.54545455,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.54007596913708,73.86206,39.47618,70.66787,80,59.67236,80,48.30648,24.05064,58.25682,68.15031,34.38179,78.4877,-1.0022,2.57379,96.72,189.98,171.3,136.84,123.64,148.44,141.84,100.44,125.44,136.829090909091,112.798181818182,133.790909090909,0.18181818,0.72727273,0.09090909,98,85.1500015258789,93.9000015258789,-2.86031103134155,2.77259540557861,-5.13859176635742,12.4239025115967,-3.62182927131653,6.00301551818848,0.181012690067291,0.581856455653906,-0.0210469514131546,9.05063450336456,7.27320569567382,-2.10469514131546,0.71428571,0.5,0.63636364,0,0.5,0.14285714,0.36363636,16.875,0.09090909,0.18181818,0.72727273,93.7516021728516,97.9150543212891,85.0149536132812,-4.95357990264893,-2.91142988204956,3.00381994247437,3.68264007568359,10.4766006469727,-5.81500005722046,-0.0210469514131546,0.181012690067291,0.581856455653906,-2.10469514131546,9.05063450336456,7.27320569567382,0.71428571,0.5,0.63636364,0,0.5,0.14285714,0.36363636,1,99.5393829345703,-4.44284057617188,0,0,99.5394,1,1,"2024-08-04",0
"Pete Fairbanks",17998,"2024-08-03","@HOU",12,2024,"TBR","A",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,79.1489231587868,152.159040742638,0.5,0,0.333333333,0.666666666,0.5,0,0,0,1,5,6,0.0069280001334846,0,0.0069280001334846,0.476999998092651,0.0505564361810684,0.0916000008583069,0.183200001716614,0.183200001716614,NA,0,1,0.0796947926282883,-0.00406160410680229,0,0,0.66666667,99,0.33333333,86,NA,NA,NA,0.28448960185051,0.427242130041122,NA,7.11224004626274,21.3621065020561,NA,0,0.8,0.66666667,NA,1,1,0.83333333,1,0,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,-0.13530327481675,NA,NA,NA,80,80,80,39.0341,23.79251,42.50751,80,64.19055,80,-1.75318,1.44732,NA,NA,NA,133.28,112.44,149.16,149.1,67.14,94.06,138.553333333333,97.34,130.793333333333,0.66666667,0.33333333,NA,99.1500015258789,86.0500030517578,NA,-1.86190676689148,1.93760657310486,NA,12.5416898727417,-2.83927249908447,NA,0.287831071764231,0.432437568902969,NA,7.19577679410577,21.6218784451485,NA,0,0.8,0.66666667,NA,1,1,0.83333333,18,NA,0.66666667,0.33333333,NA,99.1346740722656,85.9946975708008,NA,-1.76889002323151,2.10808491706848,NA,10.6426000595093,-4.72337007522583,NA,0.287831071764231,0.432437568902969,NA,7.19577679410577,21.6218784451485,0,0.8,0.66666667,NA,1,1,0.83333333,3,88.1666056315104,34.5048421223958,0,0,101.408,1,0.33333333,"2024-08-03",0
"Pete Fairbanks",17998,"2024-07-28","CIN",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.9579124624459,64.7888072114456,2,0,0.666666666,0.333333333,0,0,0,0,1,8,9,0.151020020246506,-0.0407080203294754,0.191728040575981,0.451999992132187,0.0496430546045303,2.21399998664856,2.79259991645813,2.79259991645813,NA,0,1,0.0458668693900108,0.0223445222799196,1,0,0.55555556,97.8,0.33333333,85.33333333,0.11111111,93,NA,-0.136298254132271,0.227358251810074,0.161890506744385,-2.72596508264542,7.57860839366913,16.1890506744385,0.66666667,0.5,0.55555556,1,1,1,0.66666667,0.75,0,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,0.0342548330697178,80,73.03065,80,80,72.06997,80,80,37.0124,80,80,62.42959,80,-4.2923,-2.36136,109.58,149.44,140.26,104.74,128.22,140.08,137.92,138.92,158.82,116.337777777778,134.144444444444,146.346666666667,0.55555556,0.33333333,0.11111111,97.9400024414062,85.4333292643229,93.0999984741211,-1.43653345108032,2.98186302185059,-8.28634834289551,11.2600204467773,-3.25606060028076,3.87340426445007,-0.139716666191816,0.230149287730455,0.163724601268768,-2.79433332383633,7.67164292434851,16.3724601268768,NA,0.55555556,0.55555556,NA,1,1,1,20.6,0.11111111,0.55555556,0.33333333,93.3211975097656,98.123095703125,85.5871378580729,-7.5870099067688,-1.14484939575195,3.56734657287598,2.03631997108459,9.38423614501953,-5.1476001739502,0.163724601268768,-0.139716666191816,0.230149287730455,16.3724601268768,-2.79433332383633,7.67164292434851,NA,0.55555556,0.55555556,NA,1,1,1,3,86.6449381510417,6.16894785563151,0,0,95.8727,1,0.33333333,"2024-07-28",0
"Pete Fairbanks",17998,"2024-07-26","CIN",12,2024,"TBR","H",30,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0.5,0,2,0,0,0,1,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.9579124624459,27.173712862954,2,0,1,0,0,0,0,0,5,12,17,0.127581998705864,-0.0814560055732727,0.209038004279137,0.451999992132187,0.04964305087924,2.16624999046326,2.25119996070862,2.25119996070862,2.70020008087158,1,1,0.0522964634001255,0.00659886228598346,1,0,0.58823529,98.7,0.29411765,84,0.11764706,94.5,NA,0.283893346786499,-0.522979199886322,0.280817270278931,2.83893346786499,-10.4595839977264,14.0408635139465,0.375,0.77777778,0.58823529,0.66666667,0.71428571,0.7,0.52941176,0.66666667,0.17647059,2,0,0,1,1,0,2,1,0,0,0.5,0.5,0,-0.209800652443256,60.17858,49.25029,60.09818,43.65604,64.35193,35.72493,34.48665,31.59918,52.29743,40.7151,52.66906,42.96213,0.70225,5.13047,92.02,233.08,218.58,118.68,78.36,87.86,169.68,54.56,93.98,130.543529411765,89.5623529411765,105.038823529412,0.58823529,0.29411765,0.11764706,98.6200012207031,83.9400024414062,94.3499984741211,-2.72168388366699,2.57202129364014,-8.6899299621582,10.9255577087402,-5.83042068481445,4.34848165512085,0.28726913779974,-0.532323475927114,0.284376636147499,2.8726913779974,-10.6464695185423,14.218831807375,0.375,0.77777778,0.58823529,0.66666667,0.71428571,0.7,0.52941176,21.25,0.11764706,0.58823529,0.29411765,94.3621978759766,98.6454833984375,83.948681640625,-8.42142486572266,-2.22149543762207,3.13628406524658,2.26695013046265,8.97015380859375,-7.82826614379883,0.284376636147499,0.28726913779974,-0.532323475927114,14.218831807375,2.8726913779974,-10.6464695185423,0.375,0.77777778,0.58823529,0.66666667,0.71428571,0.7,0.52941176,2,83.2354583740234,-29.0232009887695,0,0,83.6447,0,0,"2024-07-26",0
