"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Robert Garcia",23363,"2024-09-27","PHI",24,2024,"WSN","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.8148850050895,29.9783111930123,2,0,1,0,0,0,0,0,1,8,9,0.00684399157762527,0,0.00684399157762527,0.49099999666214,0.0509864985942841,0.0901333317160606,0.145199999213219,0.145199999213219,0.105200000107288,1,1,0.0754998624324799,0.000431998149189511,0,0,0.55555556,94.8,0.11111111,88,0.33333333,89.33333333,NA,0.323405295610428,0.139680862426758,0.227396890521049,6.46810591220856,13.9680862426758,7.57989635070165,0.75,0.6,0.66666667,0.66666667,0.33333333,0.5,0.55555556,0.66666667,0.33333333,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,-0.215703112487714,48.15453,57.9627,52.09574,80,69.63421,80,80,62.93981,80,80,67.35342,80,-2.00127,1.07519,104.9,51.7,33.52,98.34,120.9,131.44,146.24,124.82,130.14,105.848888888889,98.2688888888889,98.6555555555556,0.55555556,0.11111111,0.33333333,94.8,88.0999984741211,89.0999959309896,8.02080078125,0.0596138872206211,10.9507052103678,8.6738395690918,2.89956545829773,3.27918497721354,0.327195439487696,0.141648322343826,0.229855183511972,6.54390878975391,14.1648322343826,7.66183945039908,0.75,0.6,0.66666667,0.66666667,0.33333333,0.5,0.55555556,16.33333333,0.33333333,0.55555556,0.11111111,89.7271321614583,95.4215209960937,88.6557006835938,9.58772341410319,6.4219596862793,-1.47933995723724,2.20011329650879,7.67870788574219,1.48162996768951,0.229855183511972,0.327195439487696,0.141648322343826,7.66183945039908,6.54390878975391,14.1648322343826,0.66666667,0.66666667,0.66666667,0.5,0.5,0.5,0.66666667,2,85.0348052978516,-1.84227252006531,0,0,99.6612,1,0.5,"2024-09-27",0
"Robert Garcia",23363,"2024-09-25","KCR",24,2024,"WSN","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,1,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.8148850050895,66.5170884121943,1,0,0.5,0.5,1,0,0,0,3,6,9,0.0396400019526482,0,0.0396400019526482,0.869000017642975,0.0902388393878937,0.533733367919922,0.325200021266937,0.650400042533875,0.342000007629395,1,1,0.0753699690103531,-0.00110067213814496,0,0,0.55555556,94.8,0.22222222,86.5,0.22222222,87.5,NA,0.45884171128273,0.096209779381752,0.289681732654572,9.1768342256546,4.8104889690876,14.4840866327286,0,0.83333333,0.55555556,NA,0.8,0.8,0.66666667,0.66666667,0.11111111,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,-1.37869729367403,48.0225,48.26773,42.73804,71.9717,69.83426,73.10354,80,45.138,80,74.92671,60.86221,78.40602,-1.42319,1.94231,82.66,104.58,89.42,104.74,94.8,99.3,100.74,124.78,137.12,98.9444444444444,103.635555555556,105.508888888889,0.55555556,0.22222222,0.22222222,94.6799987792969,86.5,87.5999984741211,7.65926208496094,-0.64607036113739,9.18566513061523,8.80449447631836,2.90259408950806,3.56150031089783,0.464014105498791,0.0973343104124069,0.293512854725122,9.28028210997581,4.86671552062035,14.6756427362561,0,0.83333333,0.55555556,NA,0.8,0.8,0.66666667,22.5,0.22222222,0.55555556,0.22222222,87.9950561523438,95.1173400878906,86.8966979980469,8.23810005187988,6.31470603942871,-1.79846501350403,2.55368518829346,7.74593811035156,1.77118992805481,0.293512854725122,0.464014105498791,0.0973343104124069,14.6756427362561,9.28028210997581,4.86671552062035,0,0.83333333,0.55555556,NA,0.8,0.8,0.66666667,2,72.2950668334961,24.311595916748,0,0,74.7843,0,0,"2024-09-25",0
"Robert Garcia",23363,"2024-09-20","@CHC",24,2024,"WSN","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,77.8828542400936,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,6,10,16,0.0444119945168495,0,0.0444119945168495,0.468999981880188,0.0502679497003555,0.59906667470932,0.801999986171722,0.801999986171722,0.716400027275085,1,1,0.0742576718330383,-0.000122360369753938,0,0,0.5,93.625,0.1875,85.66666667,0.3125,88,NA,0.438629627227783,-0.0728156045079231,0.308179676532745,5.48287034034729,-2.42718681693077,6.16359353065491,0.25,0.875,0.5625,1,0.57142857,0.66666667,0.5,0.66666667,0.1875,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,1.1647855575973,70.91792,48.34512,80,65.74481,51.56534,75.18703,79.6739,38.80999,80,74.32737,47.91906,80,-1.38596,1.99815,99.82,156.6,140.16,98.6,128.52,124.68,115.62,130.16,141.96,102.1725,137.6025,132.7575,0.5,0.1875,0.3125,93.6125030517578,85.5999959309896,87.8599975585937,6.72066736221313,-1.42257340749105,8.32719421386719,7.65374660491943,1.9582192103068,2.00807113647461,0.444498546421528,-0.0746744982898235,0.312419816851616,5.5562318302691,-2.48914994299412,6.24839633703232,0.28571429,0.77777778,0.5625,1,0.57142857,0.66666667,0.5625,19.07692308,0.3125,0.5,0.1875,88.0638793945313,93.8234405517578,85.8125610351562,7.40864791870117,5.6965274810791,-2.50946998596191,0.572440195083618,6.78922510147095,0.62981633345286,0.312419816851616,0.444498546421528,-0.0746744982898235,6.24839633703232,5.5562318302691,-2.48914994299412,0.28571429,0.77777778,0.5625,1,0.57142857,0.66666667,0.5625,3,95.3829447428385,-3.33472760518392,0,0,103.902,2,0.66666667,"2024-09-20",0
"Robert Garcia",23363,"2024-09-19","@CHC",24,2024,"WSN","A",28,0,1,18,1,0,0,0,0,0,0,1,1,6,3,2,2,0,0,0,0,0,0,1,9,0,27,1,0,0,1,2,2,1,0,0,0,0.16666667,0,0.16666667,4.07892353529245,0,0.5,3,0.6,0.33333333,1.1664797782898,16.8335202217102,4.19049659073353,439.378481443274,29.8148850050895,103.055865631376,0.5,0.4,0.2,0.4,0.5,0,0,0,6,12,18,-0.408751964569092,-0.552895963191986,0.144143998622894,-1.53100001811981,-0.164094313979149,2.97253346443176,1.9099999666214,1.9099999666214,0.501999974250793,1,1,-0.111911810934544,-0.0255978149317643,0,1,0.44444444,96.75,0.11111111,86.5,0.44444444,88.75,NA,-0.762831211090088,0.254361301660538,-0.14895798265934,-9.5353901386261,12.7180650830269,-1.86197478324175,0.22222222,0.77777778,0.5,1,0.71428571,0.77777778,0.5,0.66666667,0.11111111,1,3,1,2,3,0,5,0.2,0.6,0.2,0.4,0.6,0,3.82631885097083,63.17475,70.08478,59.81346,70.57795,69.13803,77.39842,68.96691,39.3565,62.69466,69.61198,70.9444,71.69032,-1.09301,2.43758,104.88,107.42,112.86,104.58,121.38,122.82,113.9,105.04,129.44,105.748888888889,113.36,119.128888888889,0.44444444,0.11111111,0.44444444,96.6374969482422,86.6000061035156,88.7750015258789,8.31662178039551,-1.2219603061676,10.5010986328125,8.09828758239746,1.48158597946167,1.08044481277466,-0.775072146207094,0.239491030573845,-0.152681421488523,-9.68840182758868,11.9745515286922,-1.90851776860654,0.28571429,0.63636364,0.5,1,0.71428571,0.77777778,0.61111111,19.33333333,0.44444444,0.44444444,0.11111111,88.8420715332031,96.7299346923828,86.6927947998047,9.3971996307373,7.30537128448486,-2.31349992752075,-0.31385412812233,6.97984981536865,0.0820780098438263,-0.152681421488523,-0.775072146207094,0.239491030573845,-1.90851776860654,-9.68840182758868,11.9745515286922,0.28571429,0.63636364,0.5,1,0.71428571,0.77777778,0.61111111,5,81.4025512695312,22.6650131225586,0,0,102.437,1,0.2,"2024-09-19",0
"Robert Garcia",23363,"2024-09-15","MIA",24,2024,"WSN","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,1,0,1,13.500014081612,0,0,1,0,0,0,1,0,1,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,5.78082517931036,60.6207349749633,0,0,0,1,1,0,0,0,1,4,5,0.100336037576199,-0.0189759619534016,0.11931200325489,0.513999998569489,0.0533748678863049,2.06813335418701,1.1574000120163,2.31480002403259,2.15520000457764,1,1,0.0401853024959564,0.00832996242787675,1,0,0.6,94.66666667,NA,NA,0.4,87,NA,0.471329480409622,NA,0.0334886722266674,15.7109826803207,NA,1.67443361133337,0,0.5,0.4,NA,0.5,0.5,0.8,1,0.2,0,1,0,1,0,0,1,0,1,0,1,0,0,-2.50721930577598,33.72638,69.43367,31.07638,73.72913,63.6703,78.74869,NA,NA,NA,54.89247,68.04179,57.70861,-0.17854,3.80928,120.4,39.94,47.68,101.98,97.84,96.08,NA,NA,NA,109.348,74.68,76.72,0.6,NA,0.4,94.5,NA,87.25,7.80760828653971,NA,12.5266456604004,7.83276494344075,NA,2.22817230224609,0.476900398731232,NA,0.0337270088493824,15.8966799577077,NA,1.68635044246912,0,0.5,0.4,NA,0.5,0.5,0.8,13.66666667,0.4,0.6,NA,87.6699523925781,94.8638712565104,NA,11.2416000366211,6.6834602355957,NA,0.88104248046875,6.83161354064941,NA,0.0337270088493824,0.476900398731232,NA,1.68635044246912,15.8966799577077,NA,0,0.5,0.4,NA,0.5,0.5,0.8,1,87.2189254760742,69.1130065917969,0,0,87.2189,0,0,"2024-09-15",0
"Robert Garcia",23363,"2024-09-14","MIA",24,2024,"WSN","H",28,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.324604084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.2530842299147,-18.3531359984531,1,0.5,0.5,0,0,0,0,0,7,14,21,0.0694079995155334,-0.0578880198299885,0.127296015620232,0.49099999666214,0.0509864985942841,1.4436000585556,1.33200001716614,1.33200001716614,1.43720006942749,1,1,0.013951038941741,0.0341287592711932,1,0,0.47619048,94.8,0.28571429,86.5,0.23809524,87.8,NA,0.500556588172913,0.150927394628525,-0.664896845817566,5.00556588172913,2.51545657714208,-13.2979369163513,0.42857143,0.85714286,0.57142857,0.66666667,1,0.83333333,0.33333333,0.75,0.0952381,2,0,0,0,2,0,2,1,0,0,0,1,0,1.67297390437127,77.76552,52.90133,80,62.42089,65.37019,42.54477,20,48.69657,20,54.23324,59.8517,45.56628,-0.13758,3.87072,79.66,141.78,140.5,135.88,92.08,110,132.6,74.66,82.7,121.557142857143,98.9361904761905,109.461904761905,0.47619048,0.28571429,0.23809524,94.8,86.3833312988281,87.7400024414062,9.62010498046875,-1.17130359013875,11.0212333679199,8.2720573425293,1.72027540206909,2.69395904541016,0.506749775260687,0.152124349027872,-0.671228662133217,5.06749775260687,2.5354058171312,-13.4245732426643,0.41666667,0.77777778,0.57142857,0.6,1,0.83333333,0.42857143,18.82352941,0.23809524,0.47619048,0.28571429,88.0910400390625,95.1453796386719,86.7127380371094,9.85571746826172,8.45716705322266,-2.74657154083252,1.48962364196777,7.32704086303711,0.558371186256409,-0.671228662133217,0.506749775260687,0.152124349027872,-13.4245732426643,5.06749775260687,2.5354058171312,0.41666667,0.77777778,0.57142857,0.6,1,0.83333333,0.42857143,2,94.4451446533203,-5.50685214996338,0,0,102.85,1,0.5,"2024-09-14",0
"Robert Garcia",23363,"2024-09-12","MIA",24,2024,"WSN","H",28,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,5.78082517931036,60.6207349749633,0,0,0,1,0,0,0,0,1,5,6,0.0282480008900166,0,0.0282480008900166,0.513999998569489,0.0533748716115952,0.547999978065491,0.317799985408783,0.635599970817566,0.283600002527237,1,1,0.0522549897432327,-0.000707540800377701,0,0,0.5,95.33333333,NA,NA,0.5,87.33333333,NA,0.249823242425919,NA,0.266312569379807,8.32744141419728,NA,8.87708564599355,0,1,0.83333333,NA,0.6,0.6,0.83333333,0.5,0.33333333,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.1183171862944,76.76703,57.6792,80,80,71.10788,80,NA,NA,NA,80,67.39943,80,-2.94445,-0.33958,101.38,89.42,81.52,102.66,145.62,159.18,NA,NA,NA,102.02,117.52,120.35,0.5,NA,0.5,95.5999959309896,NA,87.0666707356771,9.13747215270996,NA,10.2226963043213,8.35074170430501,NA,2.73294258117676,0.294975999742746,NA,0.269219551235437,9.83253332475821,NA,8.97398504118125,0,1,0.83333333,NA,0.6,0.6,0.83333333,20.75,0.5,0.5,NA,87.2610982259115,95.8430379231771,NA,9.41946347554525,8.13415336608887,NA,1.61275339126587,7.27516682942708,NA,0.269219551235437,0.294975999742746,NA,8.97398504118125,9.83253332475821,NA,0,1,0.83333333,NA,0.6,0.6,0.83333333,1,87.7517776489258,28.386869430542,0,0,87.7518,0,0,"2024-09-12",0
"Robert Garcia",23363,"2024-09-07","@PIT",24,2024,"WSN","A",28,1,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,5.78082517931036,5.81251197675874,2,0,1,0,0,0,4,54.0000563264481,3,7,10,-0.0158640258014202,-0.0325140096247196,0.0166499819606543,0.208999991416931,0.0208271034061909,0.656466662883759,0.580699980258942,1.16139996051788,1.88700008392334,1,1,-0.029155507683754,0.00498973248394115,0,0,0.4,95.25,NA,NA,0.6,88.66666667,NA,-0.293525040149689,NA,0.424482107162476,-7.33812600374222,NA,7.07470178604126,0.42857143,1,0.6,0.66666667,1,0.83333333,0.3,0.66666667,0.1,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,-0.215703112487714,50.29555,66.33443,43.82351,80,61.36766,80,NA,NA,NA,75.47954,69.15254,72.88042,-1.45754,1.89078,97.42,98.82,92.38,82.18,170.4,164.8,NA,NA,NA,91.324,127.452,121.348,0.4,NA,0.6,95.1750030517578,NA,88.5666707356771,7.316969871521,NA,9.55223592122396,7.68764686584473,NA,1.47521797815959,-0.298410080373287,NA,0.429296970367432,-7.46025200933218,NA,7.15494950612386,0.5,0.75,0.6,0.66666667,1,0.83333333,0.4,22.14285714,0.6,0.4,NA,88.5404663085938,95.133674621582,NA,8.6638666788737,6.18561744689941,NA,0.151138663291931,6.65663242340088,NA,0.429296970367432,-0.298410080373287,NA,7.15494950612386,-7.46025200933218,NA,0.5,0.75,0.6,0.66666667,1,0.83333333,0.4,2,100.439010620117,-11.4212255477905,0,0,107.971,1,0.5,"2024-09-07",2
"Robert Garcia",23363,"2024-09-07","@PIT",24,2024,"WSN","A",28,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,6,1,1,1,0,0,0,0,0,0,1,5.40000205993731,0,5.40000205993731,1,0,0,2,1,2,0,0,0,0,0.16666667,0,0.16666667,3.32597909380756,0,0.166666666666667,0.600000228881923,0.2,0,1.96647932052595,3.43352273941136,2.87368471033046,131.813594715878,49.0420616972019,71.2341537019787,2,0.4,0.4,0.2,0,0,0,0,3,12,15,0.0605199970304966,-0.00901800021529198,0.0695379972457886,0.804000020027161,0.0801195800304413,0.488200008869171,0.743499994277954,0.766600012779236,0.502799987792969,1,1,0.0901390686631203,0.0338265108760535,1,0,0.26666667,94.75,0.13333333,86,0.6,87.55555556,NA,0.668224632740021,0.00450797751545906,0.0911820158362389,16.7056158185005,0.225398875772953,1.01313350929154,0.5,0.71428571,0.6,0.75,1,0.88888889,0.46666667,0.83333333,0.06666667,1,4,0,0,3,2,5,0.2,0.8,0,0,0.6,0.4,4.78712772283166,69.89924,57.91782,75.72622,72.79928,49.57117,71.6299,62.26235,42.7449,67.17869,73.20687,58.18941,80,-1.31635,2.10257,96.82,107.14,101.32,95,114.74,103.24,90.84,114.38,118.9,95.5373333333333,110.132,104.176,0.26666667,0.13333333,0.6,94.7249984741211,85.6999969482422,87.6000027126736,7.82958364486694,-1.49046897888184,10.3102162679036,7.23004150390625,3.13683533668518,1.70822525024414,0.718339655548334,0.00431566312909126,0.132810488343239,17.9584913887084,0.215783156454563,1.47567209270265,0.33333333,0.77777778,0.6,0.5,1,0.88888889,0.6,18.77777778,0.6,0.26666667,0.13333333,87.5717027452257,94.7113800048828,85.6427459716797,9.26362779405382,6.84250497817993,-2.7739200592041,0.395962874094645,6.09257745742798,1.92794990539551,0.132810488343239,0.718339655548334,0.00431566312909126,1.47567209270265,17.9584913887084,0.215783156454563,0.4,0.7,0.6,0.5,1,0.88888889,0.66666667,5,93.8414306640625,12.9534271240234,0,0,103.776,1,0.2,"2024-09-07",1
"Robert Garcia",23363,"2024-09-03","@MIA",24,2024,"WSN","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-66.3210534649188,-66.6845831899186,0,0,0,0,0,0,0,0,7,13,20,0.0194399990141392,0,0.0194399990141392,0.522000014781952,0.0519402995705605,0.249999985098839,0.46399998664856,0.46399998664856,NA,0,1,0.0779765695333481,-0.000216568841934162,0,0,0.6,94.33333333,0.2,87.75,0.2,88.25,NA,0.804698348045349,-0.0634092092514038,0.0350132994353771,6.70581956704458,-1.5852302312851,0.875332485884428,0.16666667,0.5,0.3,0.5,0.75,0.66666667,0.4,0.33333333,0.1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.77884011921883,43.94996,56.03194,56.34973,56.04837,72.61293,49.35028,80,41.28987,80,59.6717,64.48041,62.12695,-0.47546,3.3639,90.48,106.38,97.16,101.54,139,136.32,124.66,121.6,136.32,103.952,128.996,128.488,0.6,0.2,0.2,94.2333374023438,87.5500030517578,88.1500015258789,8.24110094706217,-0.840319991111755,10.6634273529053,9.16551717122396,2.94980764389038,2.14654874801636,0.815314929932356,-0.0653825290501118,0.0350130535662174,6.79429108276963,-1.63456322625279,0.875326339155436,0.25,0.375,0.3,0.66666667,0.66666667,0.66666667,0.4,17.94117647,0.2,0.6,0.2,88.596549987793,94.6986694335938,87.9786987304688,9.41403961181641,6.93593215942383,-2.15366244316101,0.435226738452911,7.52605565388997,1.30678498744965,0.0350130535662174,0.815314929932356,-0.0653825290501118,0.875326339155436,6.79429108276963,-1.63456322625279,0.18181818,0.44444444,0.3,0.5,0.75,0.66666667,0.45,0,NA,NA,0,NA,NA,0,NA,"2024-09-03",0
