"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CH%","CHv","XX%","wFB","wCT","wCH","wFB/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","pivCH","pivFA","pivFC","pivSI","piCH-X","piFA-X","piFC-X","piSI-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piwCH","piwFA","piwFC","piwSI","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Robert Suarez",30115,"2024-09-27","@ARI",29,2024,"SDP","A",33,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,0,1,0,0,0,0,0.25,0.25,0,5.94041658401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,103.12141930106,102.47548198021,1,0.5,0.5,0,0,0,0,0,8,14,22,0.0934399962425232,-0.0646599978208542,0.158100008964539,0.511000037193298,0.0516161620616913,1.79119992256165,1.86000001430511,1.86000001430511,NA,0,1,0.0253932904452085,0.026772855313045,1,0,0.54545455,99.25,NA,NA,0.45454545,91.1,NA,0.0629014447331429,NA,0.340075820684433,0.524178706109524,NA,3.40075820684433,0.23076923,0.66666667,0.40909091,1,0.83333333,0.88888889,0.40909091,0.75,0.04545455,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,7.65754819043079,63.70494,69.285,80,22.87388,74.03291,20,72.726,47.60935,74.18201,NA,NA,NA,51.45199,69.33726,61.01149,0.0352,4.12989,96.62,122.14,110.96,126.32,14.24,23.7,114.14,122.76,127.26,NA,NA,NA,110.051818181818,87.9490909090909,86.9,0.31818182,NA,0.22727273,0.45454545,99.5571463448661,NA,98.9200012207031,90.9400024414062,-3.47300229753767,NA,-7.32206573486328,-8.80587844848633,10.9343828473772,NA,9.52712249755859,5.07634811401367,-0.203349959105253,NA,0.305779118090868,0.343154165893793,-2.90499941578933,NA,6.11558236181736,3.43154165893793,0.25,0.6,0.40909091,1,0.83333333,0.88888889,0.45454545,18.58823529,0.45454545,0.31818182,NA,0.22727273,90.6275207519531,99.2654854910714,NA,98.6258178710937,-8.71119995117187,-3.53491864885603,NA,-7.24475021362305,3.48767776489258,9.57773045131138,NA,8.28113784790039,0.343154165893793,-0.203349959105253,NA,0.305779118090868,3.43154165893793,-2.90499941578933,NA,6.11558236181736,0.25,0.6,0.40909091,1,0.66666667,0.77777778,0.45454545,2,89.9900665283203,7.62559127807617,0,0,101.349,1,0.5,"2024-09-27",0
"Robert Suarez",30115,"2024-09-24","@LAD",29,2024,"SDP","A",33,0,0,9,1,0,0,0,0,1,0,0,1,4,3,1,1,0,0,0,0,0,0,0,0,0,27,0,0,0,3,0,1,0,0,0,0,0,0,0,1.54372908401489,0,0.75,3,0.75,0.66666667,3.1664797782898,5.8335202217102,3.1664797782898,227.470969309617,78.8033710472314,78.3097583844777,3,0.25,0.75,0,0,0,0,0,3,9,12,0.0382199995219707,-0.27920001745224,0.31742000579834,-0.522000014781952,-0.0552380867302418,2.90149998664856,0.86599999666214,0.86599999666214,NA,0,1,-0.0871873497962952,0.100359846676475,0,0,0.83333333,99.4,NA,NA,0.16666667,91,NA,0.0899732261896133,NA,-0.0445054545998573,0.899732261896133,NA,-2.22527272999287,0.25,0.75,0.58333333,0,0.66666667,0.57142857,0.66666667,0.75,0.25,2,2,0,1,0,3,4,0.5,0.5,0,0.25,0,0.75,4.61153966124747,20,62.10373,20,80,69.05999,74.58013,37.54937,58.25063,34.54233,NA,NA,NA,61.18538,63.42166,54.86108,-0.5695,3.22284,92.8,75.88,59.72,113.04,111.52,125.26,117.82,72.8,88.84,NA,NA,NA,111.26,92.6733333333333,102.196666666667,0.58333333,NA,0.25,0.16666667,99.5571463448661,NA,98.8333333333333,91,-5.20481382097517,NA,-7.67071278889974,-9.05950164794922,11.2916009085519,NA,9.69331741333008,6.87404155731201,0.530157793313265,NA,-0.431845497339964,-0.0452898852527142,7.57368276161807,NA,-14.3948499113321,-2.26449426263571,0.25,0.75,0.58333333,0,0.66666667,0.57142857,0.66666667,21.75,0.16666667,0.41666667,NA,0.41666667,90.9059982299805,99.7799377441406,NA,98.7260192871094,-8.67569923400879,-4.52654609680176,NA,-6.80967178344727,4.92578983306885,10.1414482116699,NA,8.47047805786133,-0.0452898852527142,1.0350946970284,NA,-0.936782401055098,-2.26449426263571,20.701893940568,NA,-18.735648021102,0.25,0.75,0.58333333,0,0.66666667,0.57142857,0.66666667,4,97.0509414672852,3.84404826164246,0,0,107.635,3,0.75,"2024-09-24",0
"Robert Suarez",30115,"2024-09-22","CHW",29,2024,"SDP","H",33,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.4688219680816,-18.3531359984531,2,0,1,0,0,0,0,0,3,10,13,0.0668139830231667,-0.0242960192263126,0.0911100059747696,0.457000017166138,0.0498636141419411,1.01847994327545,1.41419994831085,1.41419994831085,NA,0,1,0.0200083926320076,0.0455932752892001,1,0,0.69230769,99.44444444,0.07692308,93,0.23076923,91.33333333,NA,0.605909943580627,-0.463952898979187,0.138800457119942,6.73233270645142,-46.3952898979187,4.62668190399806,0.625,0.8,0.69230769,0.6,0.5,0.55555556,0.38461538,0.75,0.30769231,0,2,0,1,0,1,2,0,1,0,0.5,0,0.5,-0.891745903466235,29.92186,80,20,80,80,60.1132,80,64.57647,80,80,63.44664,80,79.3446,80,56.6979,-1.69766,1.5306,123.94,58.78,70.3,121.96,100.3,131.58,129.26,151.02,177.76,80.44,123.36,113.1,121.469230769231,108.098461538462,130.226153846154,0.46153846,0.07692308,0.23076923,0.23076923,99.5499979654948,93.1999969482422,99.1666666666667,91.0666707356771,-4.6230214436849,0.401053637266159,-9.22470347086588,-10.6119893391927,12.0920944213867,5.99081516265869,9.10029729207357,5.18038431803385,0.398406583815813,-0.47120988368988,0.214739695191383,0.140032533556223,6.64010973026355,-47.120988368988,7.15798983971278,4.66775111854076,0.57142857,0.83333333,0.69230769,0.5,0.6,0.55555556,0.46153846,17.33333333,0.23076923,0.46153846,0.07692308,0.23076923,90.9294026692708,99.502685546875,93.1368026733398,99.0818684895833,-10.3784370422363,-4.04522323608398,1.11758995056152,-8.79012298583984,3.64701684315999,10.6293932596842,4.47724008560181,7.8829968770345,0.140032533556223,0.398406583815813,-0.47120988368988,0.214739695191383,4.66775111854076,6.64010973026355,-47.120988368988,7.15798983971278,0.57142857,0.83333333,0.69230769,0.5,0.6,0.55555556,0.46153846,2,102.705581665039,-15.1313400268555,0,0,102.706,1,0.5,"2024-09-22",0
"Robert Suarez",30115,"2024-09-20","CHW",29,2024,"SDP","H",33,0,0,18,1,0,0,0,0,0,0,1,1,5,1,2,2,1,1,0,0,0,0,1,9,9,9,1,0,0,1,1,1,0,0,0,0,0.2,0.2,0,5.87600908401489,9,0.25,2,0,0,17.1664797782898,0.833520221710206,5.67848818451166,454.941938619235,419.256046600827,139.014259199392,1,0.333333333,0.333333333,0.333333333,0,1,0,0,8,19,27,-0.304700046777725,-0.392287999391556,0.0875879675149918,-1.54299998283386,-0.168357878923416,1.05703330039978,1.41419994831085,1.41419994831085,2.69460010528564,1,1,-0.280426204204559,-0.00783344349290177,0,1,0.92592593,99.68,NA,NA,0.07407407,91.5,NA,-0.819172739982605,NA,-0.135322988033295,-3.27669095993042,NA,-6.76614940166473,0.18181818,0.875,0.59259259,1,0.92857143,0.9375,0.59259259,0.8,0.03703704,1,2,0,1,1,1,3,0.33333333,0.66666667,0,0.33333333,0.33333333,0.33333333,23.3932506116707,20,80,20,72.72649,77.31833,54.64393,61.48451,61.04633,59.15705,NA,NA,NA,65.76424,72.00382,56.06721,-0.85396,2.79615,118.06,-27.56,-2.75999999999999,136.36,108.5,140.56,122.9,107.66,118.42,NA,NA,NA,131.016296296296,98.1725925925926,123.383703703704,0.62962963,NA,0.2962963,0.07407407,99.6588206571691,NA,99.7750015258789,91.4000015258789,-3.87630103616153,NA,-7.79564046859741,-11.2780876159668,11.056614595301,NA,10.3499612808228,4.98219299316406,-1.16970002278686,NA,0.35308974608779,-0.138118088245392,-6.88058836933445,NA,4.41362182609737,-6.90590441226959,0.2,0.82352941,0.59259259,1,0.92857143,0.9375,0.62962963,20.09090909,0.07407407,0.62962963,NA,0.2962963,91.2845458984375,99.5954159007353,NA,99.7028961181641,-10.7033004760742,-3.38983715281767,NA,-7.41470003128052,3.38296484947205,9.92347627527574,NA,9.12024021148682,-0.138118088245392,-1.16970002278686,NA,0.35308974608779,-6.90590441226959,-6.88058836933445,NA,4.41362182609737,0.18181818,0.875,0.59259259,1,0.92857143,0.9375,0.59259259,3,84.855463663737,11.9841016133626,1,0.33333333,104.275,1,0.33333333,"2024-09-20",0
"Robert Suarez",30115,"2024-09-17","HOU",29,2024,"SDP","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1672745395749,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,3,9,12,0.12848599255085,-0.173082008957863,0.301568001508713,0.457000017166138,0.0498636178672314,2.95884990692139,2.25760006904602,2.25760006904602,2.69460010528564,1,1,0.0200186688452959,0.023405633364253,1,0,0.91666667,98.72727273,NA,NA,0.08333333,90,NA,-0.0801355987787247,NA,0.0389156937599182,-0.728505443442952,NA,3.89156937599182,0,0.7,0.58333333,NA,0.85714286,0.85714286,0.83333333,0.5,0.08333333,1,0,2,1,1,1,3,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,2.82016253438844,80,51.87423,80,80,62.79142,80,48.33234,56.90168,41.39763,NA,NA,NA,79.22009,55.29066,77.93534,-1.68993,1.5422,85.96,166.54,163.38,113.86,121.94,116.62,107.98,94.8,113.56,NA,NA,NA,108.105,109.825,118.731666666667,0.33333333,NA,0.58333333,0.08333333,98.9250030517578,NA,98.471426827567,89.5999984741211,-4.13951969146729,NA,-7.31094796316964,-8.53428554534912,10.5704364776611,NA,10.0116642543248,5.51524496078491,-0.513834070414305,NA,0.434303425252438,0.039364367723465,-12.8458517603576,NA,6.20433464646339,3.9364367723465,0.33333333,0.66666667,0.58333333,0,1,0.85714286,0.75,20,0.08333333,0.33333333,NA,0.58333333,89.4985961914062,98.9084243774414,NA,98.4554094587054,-8.1121997833252,-3.66654253005981,NA,-7.09638268607003,4.1778302192688,9.3386173248291,NA,8.56770706176758,0.039364367723465,-0.513834070414305,NA,0.434303425252438,3.9364367723465,-12.8458517603576,NA,6.20433464646339,0.33333333,0.66666667,0.58333333,0,1,0.85714286,0.75,3,78.2901255289714,14.8743515014648,0,0,96.9973,1,0.33333333,"2024-09-17",0
"Robert Suarez",30115,"2024-09-16","HOU",29,2024,"SDP","H",33,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,78.8033710472314,151.387312822842,0.5,0,0.333333333,0.666666666,0,0,0,0,4,4,8,0.0668139830231667,0,0.0668139830231667,0.457000017166138,0.0498636141419411,0.89573335647583,1.41419994831085,1.41419994831085,NA,0,1,0.0751416385173798,-0.000550263148665867,1,0,1,99.625,NA,NA,NA,NA,NA,0.711731672286987,NA,NA,8.89664590358734,NA,NA,0.4,0.33333333,0.375,1,1,1,0.375,0.33333333,0,0,0,3,0,3,0,3,0,0,1,0,1,0,0.940943581613945,NA,NA,NA,27.33314,80,20,50.39655,80,56.89419,NA,NA,NA,32.72169,80,20,1.19885,5.87537,NA,NA,NA,109.2,46.42,66.78,109.08,70.34,87.7,NA,NA,NA,109.125,61.37,79.855,0.625,NA,0.375,NA,99.6400024414063,NA,99.2999979654948,NA,-4.83864517211914,NA,-8.57422192891439,NA,12.1026657104492,NA,11.1010360717773,NA,0.60395135357976,NA,0.116317313164473,NA,12.0790270715952,NA,3.87724377214909,NA,0.25,0.5,0.375,1,1,1,0.5,18.8,NA,0.375,NA,0.625,NA,99.5616658528646,NA,99.2965393066406,NA,-2.71085675557454,NA,-7.25403442382813,NA,10.9390004475911,NA,9.67348403930664,NA,0.57377839833498,NA,0.146490268409252,NA,19.125946611166,NA,2.92980536818504,0.2,0.66666667,0.375,1,1,1,0.375,3,88.0897623697917,20.7610397338867,0,0,94.2607,0,0,"2024-09-16",0
"Robert Suarez",30115,"2024-09-15","@SFG",29,2024,"SDP","A",33,1,0,9,1,0,0,0,0,0,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,9,0.25,1,0,1,16.1664797782898,-7.16647977828979,6.19049659073353,227.470969309617,394.937998346998,151.387312822842,1,0,0.5,0.5,0,0.5,2,18,8,11,19,-0.308739989995956,-0.440842002630234,0.132102012634277,-0.526000022888184,-0.0559276975691319,2.17919993400574,3.396399974823,3.396399974823,3.11260008811951,1,1,-0.0553062222898006,-0.0863696217565234,0,1,0.78947368,99.06666667,NA,NA,0.21052632,90.75,NA,-1.01639425754547,NA,0.27998161315918,-6.77596171696981,NA,6.99954032897949,0.2,0.66666667,0.42105263,1,1,1,0.47368421,0.5,0,2,1,1,0,2,2,4,0.5,0.25,0.25,0,0.5,0.5,14.4645695091496,60.56341,66.75329,56.85238,44.92326,64.89937,34.94911,31.21209,80,20,NA,NA,NA,45.06365,65.56895,34.38963,0.43209,4.72523,99.72,101.4,109.14,103.24,96.76,106.98,118.18,105.82,102.6,NA,NA,NA,104.857894736842,99.1673684210526,106.743157894737,0.73684211,NA,0.05263158,0.21052632,99.2142857142857,NA,97.5,90.75,-4.55012539454869,NA,-8.9105396270752,-9.09364700317383,9.81884438650949,NA,7.35985898971558,5.50119018554688,-1.05230422690511,NA,0.039364367723465,0.283515397459269,-7.51645876360791,NA,3.9364367723465,7.08788493648171,0.3,0.55555556,0.42105263,1,1,1,0.47368421,18.93333333,0.21052632,0.52631579,NA,0.26315789,90.8508529663086,99.5198608398437,NA,98.5995971679688,-9.16554260253906,-3.79041900634766,NA,-6.86400833129883,4.20263242721558,8.93212966918945,NA,7.69311218261719,0.283515397459269,-1.22290935739875,NA,0.209969498217106,7.08788493648171,-12.2290935739875,NA,4.19938996434212,0.36363636,0.5,0.42105263,1,1,1,0.42105263,4,93.1336212158203,5.70418071746826,1,0.25,103.84,2,0.5,"2024-09-15",0
"Robert Suarez",30115,"2024-09-10","@SEA",29,2024,"SDP","A",33,0,0,0,1,0,0,0,0,1,0,0,1.1,5,1,0,0,0,0,0,0,0,0,2,13.5000032186516,0,6.75000160932579,2,0,0,0,0,3,0,0,0,0,0.4,0,0.4,1.29088908401489,0,0.2,0.750000178813977,0.333333333333333,1,0.166479063033887,-0.166479063033887,0.166479063033887,0,5.84920889211899,5.81257031260301,0,1,0,0,0,0,0,0,6,12,18,0.0344959981739521,-0.00302199996076524,0.037517998367548,0.827000021934509,0.0939239114522934,0.304639995098114,0.511933326721191,0.821799993515015,NA,0,1,0.0416041016578674,0.071631188287703,0,0,0.88888889,98.625,0.05555556,91,0.05555556,91,NA,0.631769180297852,-0.0344077162444592,0.054188709706068,3.94855737686157,-3.44077162444592,5.4188709706068,0.4,1,0.66666667,0.75,0.5,0.58333333,0.44444444,0.4,0.27777778,1,0,2,0,2,1,3,0.33333333,0,0.66666667,0,0.66666667,0.33333333,7.95502797594445,80,62.11193,80,71.18624,72.82437,59.39262,20,71.75799,20,80,77.79353,80,65.82617,70.14376,56.57508,-0.85781,2.79038,107.2,161.8,170.9,125,107.28,135.82,100.76,87.44,93.94,90.64,142.46,140.4,116.715555555556,107.854444444444,128.716666666667,0.77777778,0.05555556,0.11111111,0.05555556,98.6857125418527,90.5,97.6999969482422,91,-4.53184754507882,1.30278694629669,-7.75740957260132,-8.47900009155273,11.188729422433,2.44100117683411,10.9284257888794,4.06356048583984,0.707553420215845,-0.0350487045943737,-0.0700974091887474,0.054773960262537,5.05395300154175,-3.50487045943737,-3.50487045943737,5.4773960262537,0.25,1,0.66666667,0.5,0.6,0.58333333,0.55555556,18.07692308,0.05555556,0.61111111,0.05555556,0.27777778,91.2733001708984,99.045487837358,90.7755966186523,98.3852783203125,-8.29397964477539,-3.54913122003729,1.63347995281219,-6.52335433959961,2.46246004104614,9.97260839288885,1.29888999462128,9.29912796020508,0.054773960262537,1.06498584523797,-0.0350487045943737,-0.427529834210873,5.4773960262537,9.68168950216337,-3.50487045943737,-8.55059668421745,0.25,1,0.66666667,0.5,0.6,0.58333333,0.55555556,3,82.9882202148438,11.907231648763,0,0,95.3664,1,0.33333333,"2024-09-10",0
"Robert Suarez",30115,"2024-09-05","DET",29,2024,"SDP","H",33,0,1,54.0000563264481,1,0,0,0,0,0,0,1,0.2,6,2,4,4,1,2,0,0,0,0,1,13.500014081612,27.000028163224,27.000028163224,0.5,0,0,0,2,1,0,0,0,0,0.16666667,0.33333333,-0.16666667,9.69006241886639,13.500014081612,0.5,6.00000625849423,0.5,0,28.6665063768903,25.3335499495578,13.7025159868976,1364.82723948345,698.914248345901,332.920697196325,0,0.333333333,0,0.666666666,0,0.5,0,0,14,12,26,-0.793471932411194,-0.940173983573914,0.146701991558075,-3.63700008392334,-0.396835774183273,2.35479998588562,0.687600016593933,0.687600016593933,0.311000019311905,1,1,-0.349445223808289,0.0124858484188005,0,1,0.88461538,100.08695652,NA,NA,0.11538462,90.66666667,NA,-1.96677827835083,NA,-0.0192974396049976,-8.55120990587317,NA,-0.643247986833255,0.11764706,1,0.42307692,0.5,0.77777778,0.72727273,0.34615385,0.5,0.11538462,1,1,1,1,0,2,3,0.33333333,0.33333333,0.33333333,0.33333333,0,0.66666667,26.2639504529938,35.27217,62.88366,32.58063,34.7362,79.64465,20,NA,NA,NA,NA,NA,NA,27.85791,77.64461,20,1.50102,6.32862,79.44,89.68,78.28,121.54,30.94,56.58,NA,NA,NA,NA,NA,NA,115.520769230769,46.4069230769231,67.4546153846154,0.88461538,NA,NA,0.11538462,100.030432659647,NA,NA,90.5333353678385,-4.24026854141899,NA,NA,-9.4302126566569,11.3271378226902,NA,NA,6.80335489908854,-1.98495746776462,NA,NA,-0.0199272707104683,-8.63024985984616,NA,NA,-0.66424235701561,0.07692308,0.76923077,0.42307692,1,0.7,0.72727273,0.5,20.21052632,0.11538462,0.88461538,NA,NA,90.4842732747396,100.005986752717,NA,NA,-9.07054011027018,-3.86953735351562,NA,NA,5.22246297200521,10.0789861264436,NA,NA,-0.0199272707104683,-1.98495746776462,NA,NA,-0.66424235701561,-8.63024985984616,NA,NA,0.07142857,0.83333333,0.42307692,1,0.7,0.72727273,0.46153846,3,90.5660909016927,33.0113372802734,1,0.33333333,100.095,2,0.66666667,"2024-09-05",0
"Robert Suarez",30115,"2024-09-04","DET",29,2024,"SDP","H",33,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,2,0,0,0,0,0,0,0.25,-0.25,10.3741040840149,0,0,1,0,1,6.1664797782898,-6.1664797782898,9.19049659073353,0,151.757515808716,223.88448361004,0.5,0,0.333333333,0.666666666,0,0,0,0,8,11,19,0.0146699966862798,-0.00355399888940156,0.0182239953428507,0.457000017166138,0.0498636141419411,0.211300000548363,0.258799999952316,0.258799999952316,0.326599985361099,1,1,0.0507902503013611,0.0186370883082386,0,0,0.63157895,99.83333333,NA,NA,0.36842105,91.57142857,NA,0.81619131565094,NA,-0.301873475313187,6.80159429709117,NA,-4.31247821875981,0.38461538,0.66666667,0.47368421,0.8,0.75,0.77777778,0.31578947,0.5,0.10526316,0,2,1,0,3,0,3,0,0.66666667,0.33333333,0,1,0,4.22172429443636,36.02631,69.11893,38.18432,53.09465,67.76769,33.66588,NA,NA,NA,NA,NA,NA,41.03304,70.29797,28.85032,0.68249,5.10083,89.46,77.52,66.72,120.84,91.54,105.8,NA,NA,NA,NA,NA,NA,109.278947368421,86.3747368421053,91.4021052631579,0.63157895,NA,NA,0.36842105,99.8166707356771,NA,NA,91.5,-3.88435459136963,NA,NA,-8.96105521065848,10.602378209432,NA,NA,4.84593636648996,0.825779166072607,NA,NA,-0.309368278831244,6.88149305060506,NA,NA,-4.41954684044634,0.33333333,0.71428571,0.47368421,0.75,0.8,0.77777778,0.36842105,18.26666667,0.36842105,0.63157895,NA,NA,91.3411690848214,99.6545715332031,NA,NA,-8.76670564923968,-3.67516485850016,NA,NA,3.43946865626744,9.58210309346517,NA,NA,-0.309368278831244,0.825779166072607,NA,NA,-4.41954684044634,6.88149305060506,NA,NA,0.33333333,0.71428571,0.47368421,0.75,0.8,0.77777778,0.36842105,3,85.3419392903646,37.7067108154297,0,0,87.0833,0,0,"2024-09-04",0
