"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Sam Moll",14874,"2024-09-07","@NYM",18,2024,"CIN","A",32,0,1,27,1,0,0,0,0,0,0,0,0,3,1,3,3,1,1,0,1,0,0,0,0,9,9,0,0,0,0,1,0,0,0,0,0,0,0.33333333,-0.33333333,NA,9,1,2,0,0,22.1664797782898,4.83352022171021,10.6784881845117,615.599788280819,505.46537374043,259.842877178056,0,0,0,1,0,1,0,0,6,6,12,-0.253861993551254,-0.253861993551254,0,-1.96700000762939,-0.21392060816288,1.12446665763855,1.31260001659393,1.31260001659393,1.51259994506836,1,1,-0.210007414221764,-0.0157547209440583,0,1,0.58333333,93.28571429,0.33333333,82,0.08333333,87,NA,-1.80286979675293,-0.319104641675949,0.054188709706068,-25.7552828107561,-7.97761604189873,5.4188709706068,0.125,0.75,0.33333333,1,1,1,0.33333333,0.66666667,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1162.26836557677,26.81904,42.47872,20,20,34.95557,20,20,62.81012,20,46.0847,80,31.69476,20,70.96045,20,2.86945,8.38127,112.58,72.86,90.32,106.1,45.06,32.4,108.54,11.98,23.6,150.5,83.7,59.1,122.253333333333,49.23,43.1933333333333,0.25,0.33333333,0.33333333,0.08333333,93.6666666666667,92.7249984741211,82.0500030517578,86.9000015258789,5.93329747517904,10.7485122680664,-12.8098983764648,7.12910747528076,6.46667544047038,0.480889171361923,1.62508225440979,-4.93584060668945,-1.54082857072353,-0.272470604628325,-0.326337695121765,0.054773960262537,-51.3609523574511,-6.81176511570811,-8.15844237804413,5.4773960262537,0.16666667,0.5,0.33333333,1,1,1,0.5,18.88888889,0.08333333,0.25,0.33333333,0.33333333,86.9332962036133,93.6805013020833,92.7483749389648,82.0853271484375,6.454430103302,5.11607996622721,10.2359552383423,-13.3926248550415,-5.96228981018066,5.72318649291992,-0.252785265445709,0.642419755458832,0.054773960262537,-1.54082857072353,-0.272470604628325,-0.326337695121765,5.4773960262537,-51.3609523574511,-6.81176511570811,-8.15844237804413,0.28571429,0.4,0.33333333,1,1,1,0.41666667,1,102.266403198242,24.0096969604492,1,1,102.266,1,1,"2024-09-07",0
"Sam Moll",14874,"2024-09-02","HOU",18,2024,"CIN","H",32,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,1,6.75000160932579,0,0,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0,0,0,1,1.66647942066184,-1.66647942066184,2.80048599569648,0,39.5574019058654,69.4652537965709,2,0,0.666666666,0.333333333,0,0,0,0,5,14,19,0.1110899746418,0,0.1110899746418,1.03100001811981,0.097494088113308,1.05200004577637,1.3253333568573,1.81599998474121,1.19000005722046,1,1,0.10543891787529,0.000159912740555213,1,0,0.47368421,92.66666667,0.47368421,82.44444444,0.05263158,87,NA,0.448322802782059,0.426477074623108,0.054188709706068,4.98136447535621,4.73863416247898,5.4188709706068,0.5,0.44444444,0.47368421,0.8,1,0.88888889,0.47368421,0.75,0.05263158,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,0.0377053532241812,20,36.13149,20,48.9594,58.20563,53.67998,62.22127,69.09734,71.95889,80,52.95182,80,64.35058,56.89928,68.36656,-0.76614,2.92788,99.94,117.54,117.02,123.8,101.16,117.28,111.42,153.32,204.88,139.18,125.86,141.56,128.622222222222,115.945555555556,132.923333333333,0.42105263,0.05263158,0.47368421,0.05263158,93,89.5999984741211,82.2444458007812,87.1999969482422,4.16581106185913,9.80193424224854,-9.67092047797309,6.73701858520508,6.11318588256836,0.642500579357147,-1.40859402550591,-2.28101563453674,0.167703587561846,0.285965204238892,0.431664042174816,0.054773960262537,2.09629484452307,28.5965204238892,4.79626713527573,5.4773960262537,0.375,0.54545455,0.47368421,1,0.83333333,0.88888889,0.57894737,20.73333333,0.05263158,0.42105263,0.05263158,0.47368421,87.2394027709961,93.018798828125,89.6492004394531,82.2315538194444,5.90652990341187,3.46308469772339,9.21469974517822,-10.532590230306,-3.50126004219055,5.46895122528076,-0.446011990308762,-2.40985213385688,0.054773960262537,0.167703587561846,0.285965204238892,0.431664042174816,5.4773960262537,2.09629484452307,28.5965204238892,4.79626713527573,0.375,0.54545455,0.47368421,1,0.83333333,0.88888889,0.57894737,3,87.3060302734375,-5.30798816680908,1,0.33333333,100.731,1,0.33333333,"2024-09-02",0
"Sam Moll",14874,"2024-08-30","MIL",18,2024,"CIN","H",32,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,1,2,0,0,0,0,0,0,0.4,-0.4,13.8301690840149,0,0,2,0,1,9.16647977828979,-9.16647977828979,12.1904965907335,0,210.011543097172,296.381654397238,0.5,0,0.333333333,0.666666666,0,0,0,0,11,9,20,0.057499997317791,-0.0636399760842323,0.121139973402023,0.560999989509583,0.0530496463179588,1.35483336448669,0.973000049591064,0.973000049591064,1.01399993896484,1,1,0.0116385417059064,0.0308020999442024,0,0,0.75,92.8,0.1,83,0.15,86.33333333,NA,0.0852074027061462,0.0199030227959156,-0.0212309658527374,0.568049351374308,0.99515113979578,-0.707698861757914,0.15384615,0.28571429,0.2,1,1,1,0.35,0.4,0,2,1,0,1,1,1,3,0.66666667,0.33333333,0,0.33333333,0.33333333,0.33333333,8.27169208855376,80,45.33968,80,20,32.89894,20,34.01642,54.3041,35.80692,71.63888,80,75.57015,34.00931,47.01787,38.53784,1.11885,5.75537,89.22,122.24,131.56,104.34,63.38,78.74,100.28,39.14,65.02,162.16,105.38,146.86,102.858947368421,62.1263157894737,83.4442105263158,0.25,0.5,0.1,0.15,93.7599975585938,92.4,83,86.2666625976562,6.96504821777344,10.8619621276855,-9.41604995727539,8.20036951700846,5.6679817199707,-0.81362943649292,0.332924872636795,-3.50954659779867,0.161504909396172,-0.0382998771965504,0.019891619682312,-0.0246070921421051,3.23009818792343,-0.382998771965504,0.994580984115601,-0.820236404736837,0.15384615,0.28571429,0.2,1,1,1,0.35,20.06666667,0.15,0.25,0.5,0.1,86.4661661783854,93.9580810546875,92.6205688476562,83.2075958251953,7.55135981241862,6.27825393676758,10.382926940918,-10.5482501983643,-4.88704999287923,5.01336784362793,-1.63788814544678,-0.767588198184967,-0.0246070921421051,0.161504909396172,-0.0382998771965504,0.019891619682312,-0.820236404736837,3.23009818792343,-0.382998771965504,0.994580984115601,0.08333333,0.375,0.2,1,1,1,0.4,3,90.7501627604167,3.9364325205485,0,0,98.7501,2,0.66666667,"2024-08-30",2
"Sam Moll",14874,"2024-08-28","OAK",18,2024,"CIN","H",32,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,1,0,0,0,0,0,1,9,0,9,1,0,0,1,2,0,0,0,0,0,0.25,0,0.25,3.28666658401489,9,0.25,1,0,1,14.1664797782898,-5.16647977828979,4.19049659073353,205.19992942694,323.647631806117,103.055865631376,0.5,0,0.333333333,0.666666666,0,0.5,0,0,3,8,11,-0.0587699934840202,-0.110829994082451,0.0520600005984306,-0.439000010490417,-0.0415130034089088,0.610000014305115,0.921999990940094,0.921999990940094,0.734000027179718,1,1,-0.166576400399208,0.0702321510454299,0,0,0.54545455,93.5,0.27272727,81.33333333,0.18181818,86,NA,-1.15839672088623,0.232785269618034,0.243426203727722,-19.3066120147705,7.75950898726781,12.1713101863861,0.2,0.83333333,0.54545455,0,1,0.83333333,0.54545455,0.5,0.09090909,1,2,0,1,0,2,3,0.33333333,0.66666667,0,0.33333333,0,0.66666667,13.3680493975449,80,65.26285,80,34.46157,48.79543,20,31.95077,38.07779,59.33133,55.8348,43.68456,39.16532,51.6342,48.66333,50.70307,0.02388,4.11291,107.56,144.62,147.08,111.06,66.72,71.76,99.86,86.58,94,125.82,87.04,96.64,112.412727272727,90.0363636363636,96.2836363636364,0.36363636,0.18181818,0.27272727,0.18181818,93.5500030517578,92.8000030517578,81.1666666666667,86.1999969482422,6.64671754837036,11.9710712432861,-7.04498545328776,7.41004133224487,6.35053014755249,0.269763052463531,-1.08511114120483,-4.66824913024902,-1.40979401394725,0.252764482051134,0.235786650329828,0.24629832804203,-35.2448503486812,12.6382241025567,7.85955501099428,12.3149164021015,0.25,0.71428571,0.54545455,0,1,0.83333333,0.63636364,18.85714286,0.18181818,0.36363636,0.18181818,0.27272727,86.3554992675781,93.6849212646484,92.9879989624023,81.2932332356771,6.92069005966187,6.17626476287842,11.2289505004883,-7.91866683959961,-5.70861005783081,5.62806987762451,-0.785106539726257,-1.92952760060628,0.24629832804203,-1.40979401394725,0.252764482051134,0.235786650329828,12.3149164021015,-35.2448503486812,12.6382241025567,7.85955501099428,0.25,0.71428571,0.54545455,0,1,0.83333333,0.63636364,3,94.3759053548177,0.617304484049479,1,0.33333333,106.191,2,0.66666667,"2024-08-28",0
"Sam Moll",14874,"2024-08-27","OAK",18,2024,"CIN","H",32,0,0,0,1,0,0,0,0,0,1,0,0.1,3,0,0,0,0,2,1,0,0,0,0,0,54.0000563264481,0,0,0,0,1,0,0,0,0,0,0,0,0.66666667,-0.66666667,22.7296179445133,0,0,6.00000625849423,0,1,21.1664985537725,-21.1664985537725,21.1664985537725,0,482.738582713124,513.293236830792,1,0,1,0,0,0,0,0,5,6,11,-0.00890000537037849,-0.0589800290763378,0.0500800237059593,-0.0859999656677246,-0.0081323841586709,2.28566670417786,0.971500039100647,1.94300007820129,4.52099990844727,1,1,0.00225192634388804,-0.00614575975105569,0,0,0.72727273,94.5,0.27272727,81.66666667,NA,NA,0.36363636,-0.123923823237419,0.0220829397439957,NA,-1.54904779046774,0.736097991466522,NA,0.16666667,0.6,0.36363636,1,0.66666667,0.75,0.45454545,0.66666667,0.09090909,1,0,0,0,1,0,1,1,0,0,0,1,0,23.5775667086908,NA,NA,NA,48.30576,57.86585,56.63358,20,75.67033,20,60.58198,50.48673,51.35611,39.80533,55.57633,42.49296,0.75877,5.21525,NA,NA,NA,119.64,38.28,62.76,144.98,-63.74,-8.16000000000001,133.34,117.92,134.78,125.68,50.7254545454545,75.9545454545455,0.63636364,0.09090909,0.27272727,NA,94.3857160295759,95.3000030517578,81.7999979654948,NA,7.11335209437779,11.1844720840454,-8.33801968892415,NA,6.44502585274833,0.539337038993835,-0.443758845329285,NA,-0.0804252773523331,-0.0483221560716629,0.0214918330311775,NA,-1.14893253360476,-4.83221560716629,0.716394434372584,NA,0.16666667,0.6,0.36363636,1,0.66666667,0.75,0.45454545,20,NA,0.63636364,0.09090909,0.27272727,NA,94.5599016462054,95.52490234375,81.9438680013021,NA,6.48833738054548,10.2204999923706,-9.39367294311523,NA,5.6803343636649,-0.342963993549347,-1.38211329778035,NA,-0.0804252773523331,-0.0483221560716629,0.0214918330311775,NA,-1.14893253360476,-4.83221560716629,0.716394434372584,0.28571429,0.5,0.36363636,1,0.5,0.75,0.36363636,1,76.0368804931641,-4.46058940887451,0,0,76.0369,0,0,"2024-08-27",0
"Sam Moll",14874,"2024-08-23","@PIT",18,2024,"CIN","A",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1938011628592,66.5170884121943,1,0,0.5,0.5,0,0,4,36,3,7,10,0.0601360090076923,0,0.0601360090076923,0.521000027656555,0.0519182868301868,0.781266689300537,1.07620000839233,1.07620000839233,0.572800040245056,1,1,0.0771423652768135,-0.000169918055837395,1,0,0.6,92.5,0.4,79.75,NA,NA,NA,0.710735201835632,0.0350132994353771,NA,11.8455866972605,0.875332485884428,NA,0,0.71428571,0.5,NA,0.8,0.8,0.7,0.66666667,0.1,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.392924839570395,NA,NA,NA,80,67.59133,80,20,61.64296,20,51.04342,46.93527,41.70419,71.65855,58.71956,70.27765,-1.22015,2.24687,NA,NA,NA,118.74,152.94,158.7,122.08,57.16,86.02,117.2,108.4,118.88,118.792,115.968,128.236,0.4,0.2,0.4,NA,92.5,92.1500015258789,79.7249984741211,NA,5.58195114135742,10.0558071136475,-9.72600841522217,NA,5.83096981048584,-2.02778387069702,-1.13243067264557,NA,0.678789421916008,0.0229212380945683,0.0350130535662174,NA,16.9697355479002,1.14606190472841,0.875326339155436,NA,0,0.71428571,0.5,NA,0.8,0.8,0.7,18.42857143,NA,0.4,0.2,0.4,NA,92.2987976074219,91.9902038574219,79.549072265625,NA,4.91841506958008,9.69344997406006,-11.1147775650024,NA,5.1950249671936,-2.88016486167908,-2.05490636825562,NA,0.678789421916008,0.0229212380945683,0.0350130535662174,NA,16.9697355479002,1.14606190472841,0.875326339155436,0.25,0.66666667,0.5,0,1,0.8,0.6,2,85.1222839355469,18.7619533538818,0,0,90.4477,0,0,"2024-08-23",0
"Sam Moll",14874,"2024-08-21","@TOR",18,2024,"CIN","A",32,0,0,0,1,0,0,0,0,0,0,0,0.2,4,1,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,13.500014081612,1,0,0,0,0,2,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0.333333333333333,3.00000312924711,0.5,1,4.66648134291335,-4.66648134291335,4.66648134291335,0,107.739098818661,114.558381588337,0,1,0,0,0,0,0,0,7,12,19,0.00280199572443962,-0.051937997341156,0.0547399930655956,0.0590000152587891,0.00623349286615849,0.913300037384033,0.659600019454956,0.659600019454956,1.12199997901917,1,1,-0.0463527552783489,0.0494207456536317,0,0,0.78947368,93.66666667,0.10526316,82,0.10526316,87,NA,-0.813875198364258,0.143373399972916,0.114588178694248,-5.42583465576172,7.16866999864578,5.72940893471241,0.46153846,0.5,0.47368421,0.5,1,0.66666667,0.31578947,0.25,0.15789474,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,17.1986634367333,32.87344,47.77634,27.35203,20,45.95412,20,67.6402,59.22477,55.93264,43.50126,80,20,38.21513,55.35435,30.28406,0.85756,5.36343,104.46,107.52,122.02,120.12,22.06,36.88,114.98,112.28,132.8,120.54,114.62,85.2,116.081052631579,83.5347368421053,96.3642105263158,0.31578947,0.47368421,0.10526316,0.10526316,94.7999979654948,92.9333360460069,81.8000030517578,86.6500015258789,5.91688410441081,11.2046525743273,-11.1549806594849,8.26743602752686,7.15331141153971,-0.00346666450301806,-1.09733009338379,-5.1893253326416,-1.124023899436,0.340340297669172,0.144410565495491,0.115939885377884,-18.7337316572666,3.7815588629908,7.22052827477455,5.7969942688942,0.3,0.66666667,0.47368421,0.66666667,0.66666667,0.66666667,0.47368421,22.28571429,0.10526316,0.31578947,0.47368421,0.10526316,86.9414978027344,95.0697326660156,93.2116021050347,82.0526504516602,7.74629974365234,5.49204635620117,10.8919431898329,-12.020450592041,-6.94759464263916,5.97128295898438,-1.29790698157416,-2.93294501304626,0.115939885377884,-1.124023899436,0.340340297669172,0.144410565495491,5.7969942688942,-18.7337316572666,3.7815588629908,7.22052827477455,0.25,0.63636364,0.47368421,0.5,0.71428571,0.66666667,0.57894737,2,96.0126190185547,16.5331363677979,0,0,96.4822,2,1,"2024-08-21",0
"Sam Moll",14874,"2024-08-19","@TOR",18,2024,"CIN","A",32,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.260634320719,-18.3531359984531,2,0,1,0,0,0,0,0,3,9,12,0.0280479975044727,-0.0262740030884743,0.054322000592947,0.324999958276749,0.0343370251357555,0.630550026893616,0.748333334922791,0.925799965858459,0.889599978923798,1,1,0.012895236723125,0.031586559023757,0,0,0.75,91.77777778,0.16666667,81,0.08333333,84,NA,0.738787889480591,-0.596232771873474,-0.0620911717414856,8.20875432756212,-29.8116385936737,-6.20911717414856,0.375,0.25,0.33333333,0.66666667,1,0.75,0.33333333,0.75,0.08333333,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,-0.988530091632254,20,45.47781,20,25.2386,22.52166,65.80343,42.88511,54.68849,34.63541,68.49347,61.4736,67.84063,30.78251,39.86281,40.84655,1.31932,6.05607,74.42,-16.8,-25.2,77.36,43.84,47.88,81.78,91.56,78.4,112.1,103.74,96.12,84.7466666666667,68.6533333333333,62.5466666666667,0.33333333,0.41666667,0.16666667,0.08333333,91.6999969482422,91.6199951171875,80.75,84.0999984741211,7.84700202941895,10.7343894958496,-10.2930736541748,9.05354785919189,5.82369232177734,-0.803757476806641,-1.69101786613464,-2.77434086799622,0.494759231805801,0.253492936491966,-0.601808786392212,-0.0633736774325371,12.368980795145,5.06985872983932,-30.0904393196106,-6.33736774325371,0,0.57142857,0.33333333,NA,0.75,0.75,0.58333333,18,0.08333333,0.33333333,0.41666667,0.16666667,84.2888031005859,91.9210739135742,91.8482421875,80.9796981811523,8.83127975463867,7.22854232788086,10.2757461547852,-11.3245000839233,-3.99735999107361,4.66791725158691,-1.96032238006592,-3.08493494987488,-0.0633736774325371,0.494759231805801,0.253492936491966,-0.601808786392212,-6.33736774325371,12.368980795145,5.06985872983932,-30.0904393196106,0,0.57142857,0.33333333,NA,0.75,0.75,0.58333333,2,86.4951095581055,-19.5241584777832,0,0,91.4564,0,0,"2024-08-19",0
"Sam Moll",14874,"2024-08-17","KCR",18,2024,"CIN","H",32,0,0,18,1,0,0,0,0,0,0,0,1,6,2,2,2,0,1,0,0,0,0,0,0,9,18,0,0,0,2,1,2,0,0,0,0,0,0.16666667,-0.16666667,7.78467351869311,0,0.4,3,0.4,0.33333333,6.1664797782898,11.8335202217102,7.67848818451166,410.39985885388,141.829889871805,187.345706390858,2,0.4,0.4,0.2,0,0,0,0,8,13,21,0.00103000015951693,-0.00194999948143959,0.00297999964095652,-1.43900001049042,-0.136075645685196,0.0373333320021629,0.0199999995529652,0.0199999995529652,0.0209999997168779,1,1,0.020196083933115,0.00739320703767905,0,0,0.66666667,93.14285714,0.14285714,80.66666667,0.19047619,85.75,NA,-0.90328574180603,-0.0449764393270016,0.211288213729858,-6.45204101290022,-1.49921464423339,5.28220534324646,0.35714286,0.71428571,0.47619048,1,0.8,0.9,0.33333333,0.66666667,0.04761905,3,1,1,0,3,2,5,0.6,0.2,0.2,0,0.6,0.4,10.8020437972676,32.65077,50.84311,29.40319,70.5649,53.49188,70.37538,20,20,20,37.93132,46.02787,52.57397,37.36144,42.97323,35.6952,0.9106,5.44299,105.12,75.14,71.18,96.76,77.76,69.24,91.68,111.18,106.14,104.68,93.04,88.02,98.7580952380952,84.2180952380952,77.5638095238095,0.52380952,0.14285714,0.14285714,0.19047619,93.3090931285511,92.1666666666667,80.6333363850911,85.75,6.45402734929865,9.40610122680664,-9.36001904805501,6.24692058563232,6.34596252441406,0.168120721975962,-1.48125171661377,-3.74593377113342,-0.964379321783781,0.0436800308525562,-0.0398256219923496,0.213584363460541,-8.76708474348892,1.45600102841854,-1.32752073307832,5.33960908651352,0.27272727,0.7,0.47619048,1,0.85714286,0.9,0.47619048,20.93333333,0.19047619,0.52380952,0.14285714,0.14285714,85.7226715087891,93.2962535511364,92.1735331217448,80.6378987630208,5.89396476745605,5.81827753240412,9.09159342447917,-10.3143266042074,-4.99062013626099,5.59962810169567,-0.662652015686035,-2.51063998540243,0.213584363460541,-0.964379321783781,0.0436800308525562,-0.0398256219923496,5.33960908651352,-8.76708474348892,1.45600102841854,-1.32752073307832,0.27272727,0.7,0.47619048,1,0.85714286,0.9,0.47619048,5,99.7570983886719,15.25380859375,0,0,106.469,4,0.8,"2024-08-17",0
"Sam Moll",14874,"2024-08-14","STL",18,2024,"CIN","H",32,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.260634320719,-18.3531359984531,1,0,1,0,0,0,4,36,4,11,15,0.0575499758124352,0,0.0575499758124352,0.560999989509583,0.0530496463179588,0.731000006198883,0.990000009536743,0.990000009536743,0.712999999523163,1,1,0.078815370798111,-8.7634376207929e-05,0,0,0.53333333,92.75,0.33333333,80.4,0.13333333,85.5,NA,0.172248423099518,0.506955564022064,0.054188709706068,2.15310528874397,10.1391112804413,2.7094354853034,0.44444444,0.16666667,0.33333333,0.75,0,0.6,0.4,1,0.13333333,0,1,0,1,0,0,1,0,1,0,1,0,0,-1.69520920712708,80,65.45631,80,39.46667,55.24602,55.83867,75.12503,35.21237,80,80,44.45389,80,71.16273,52.32937,80,-1.18935,2.29307,118.2,144.56,146.46,144.44,104.84,112.24,98.2,123.98,127.14,127.44,126.08,130.5,132.192,118.492,123.882666666667,0.46666667,0.06666667,0.33333333,0.13333333,93.2285679408482,89.5,80.3799987792969,85.4000015258789,4.4890330178397,8.5912914276123,-9.79861907958984,6.67960739135742,6.45296314784459,-0.4168641269207,-1.36971206665039,-6.03258609771729,0.134273380041122,0.039364367723465,0.513410486280918,0.054773960262537,1.91819114344461,3.9364367723465,10.2682097256184,2.73869801312685,0.42857143,0.25,0.33333333,0.66666667,0.5,0.6,0.53333333,19.41666667,0.13333333,0.46666667,0.06666667,0.33333333,85.5405502319336,93.3755841936384,89.6316986083984,80.4955383300781,6.12214517593384,3.93317140851702,8.27974033355713,-10.7753799438477,-7.575439453125,5.61218425205776,-1.14143002033234,-2.58790607452393,0.054773960262537,0.134273380041122,0.039364367723465,0.513410486280918,2.73869801312685,1.91819114344461,3.9364367723465,10.2682097256184,0.28571429,0.375,0.33333333,0.5,0.66666667,0.6,0.53333333,1,90.9719543457031,-15.4820213317871,0,0,90.972,0,0,"2024-08-14",0
