"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxKC%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxvKC","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwKC","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Scott McGough",12056,"2024-09-28","SDP",15,2024,"ARI","H",34,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,2,2,2,1,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,27.000028163224,0.666666666666667,6.00000625849423,0.5,0,42.1665204585023,11.8335358679458,12.2385396785169,1291.48535163802,1054.46038528472,297.542650377296,0.5,0,0.333333333,0.666666666,0,0.5,0,0,0,7,7,-0.0323400013148785,-0.032760001718998,0.000420000229496509,-1.89399993419647,-0.1913131326437,0.0766666680574417,0.0370000004768372,0.0740000009536743,NA,0,1,-0.232080310583115,-0.189745785871841,0,0,0.57142857,92.75,0.28571429,85,0.14285714,86,NA,0.288738936185837,-1.41040635108948,-0.502868592739105,7.21847340464592,-70.5203175544739,-50.2868592739105,1,0.75,0.85714286,1,1,1,0.57142857,1,0,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,21.929426216671,NA,80,42.07725,80,NA,NA,NA,80,30.11082,80,NA,NA,NA,77.54069,26.93736,80,80,32.67213,80,-2.91378,-0.29358,83.1,142.74,123.14,NA,NA,NA,90.08,156.52,155.16,86.86,141.58,127,85.6314285714286,146.511428571429,132.84,0.57142857,0.14285714,NA,0.28571429,NA,93,85.5999984741211,NA,85.1000061035156,NA,-5.21764230728149,-3.11404228210449,NA,1.20327615737915,NA,10.67529296875,4.28533029556274,NA,0.893136382102966,NA,0.292128834873438,-0.510574221611023,NA,-1.41166827082634,NA,7.30322087183595,-51.0574221611023,NA,-70.583413541317,NA,1,0.75,0.85714286,0.66666667,1,0.83333333,0.57142857,18,0.57142857,0.14285714,NA,0.28571429,92.6511001586914,85.2087020874023,NA,84.6961975097656,-5.08343744277954,-3.12920999526978,NA,1.43954992294312,9.55712509155273,2.55819010734558,NA,-0.462682992219925,0.292128834873438,-0.510574221611023,NA,-1.41166827082634,7.30322087183595,-51.0574221611023,NA,-70.583413541317,1,0.75,0.85714286,0.66666667,1,0.83333333,0.57142857,3,98.7620442708333,19.6766484578451,1,0.33333333,105.535,2,0.66666667,"2024-09-28",0
"Scott McGough",12056,"2024-09-23","SFG",15,2024,"ARI","H",34,0,0,3.85714338263694,1,0,0,0,0,0,0,0,2.1,9,2,1,1,0,0,0,0,0,0,4,15.4285735305478,0,7.71428676527388,4,0,0,3,1,1,0,0,0,0,0.44444444,0,0.44444444,0.699963655178103,0,0.222222222222222,0.85714297391932,0.4,0.5,-0.262092117387485,4.11923550002442,0.385911573562526,92.2488700331838,-4.69412366314937,11.1153157099558,3,0.2,0.6,0.2,0,0,1,3.85714338263694,7,25,32,0.0180999971926212,-0.0738600119948387,0.0919600054621696,0.528999984264374,0.0534343495965004,0.491400003433228,0.546499967575073,0.986000001430511,0.26800000667572,1,1,0.0332234390079975,0.00361009185517575,0,0,0.5625,92.83333333,0.1875,86.33333333,0.25,84.875,NA,-0.842166900634766,0.616474688053131,0.11679108440876,-4.67870500352648,10.2745781342189,1.4598885551095,0.47058824,0.6,0.53125,0.625,0.77777778,0.70588235,0.46875,0.77777778,0.15625,3,1,1,1,0,4,5,0.6,0.2,0.2,0.2,0,0.8,0.337827361296828,NA,63.75398,50.18422,70.23452,30.25626,33.32887,31.60155,80,34.40659,80,NA,NA,NA,69.96328,29.19492,80,70.74504,38.04029,80,-1.1634,2.33199,91.92,107.84,96.48,75.66,59.7,40.94,106.86,151.7,138.92,97.62,138.54,124.86,94.846,120.127333333333,107.418666666667,0.5,0.25,0.0625,0.1875,NA,92.7375030517578,84.9875030517578,93.4499969482422,86.1666666666667,NA,-5.28296375274658,-3.33384251594543,-7.6491265296936,2.48995590209961,NA,11.3635339736938,4.57378482818604,9.56487369537354,1.03312055269877,NA,-0.861559331417084,0.119837980717421,0.0151214338839054,0.624493837356567,NA,-5.38474582135677,1.49797475896776,0.756071694195271,10.4082306226095,NA,0.41666667,0.6,0.53125,0.4,0.83333333,0.70588235,0.625,19.86956522,0.5,0.25,0.0625,0.1875,92.5999908447266,84.828971862793,93.3206481933594,86.0251668294271,-5.14296627044678,-3.25486874580383,-7.99735546112061,2.85935815175374,10.0954685211182,2.95600581169128,8.50165557861328,-0.394149820009867,-0.935972403734922,0.194251045584679,0.0151214338839054,0.624493837356567,-5.84982752334327,2.42813806980848,0.756071694195271,10.4082306226095,0.41666667,0.6,0.53125,0.4,0.83333333,0.70588235,0.625,5,87.1308959960938,5.71450881958008,1,0.2,107.543,1,0.2,"2024-09-23",0
"Scott McGough",12056,"2024-09-17","@COL",15,2024,"ARI","A",34,0,0,18,1,0,0,0,0,0,0,0,1,7,2,2,2,0,2,0,0,0,0,1,9,18,18,0.5,0,0,2,2,0,0,0,0,0,0.14285714,0.28571429,-0.14285714,8.3736678554944,0,0.4,4,0.5,0.5,7.1664797782898,10.8335202217102,10.1904965907335,430.494668171272,180.746901642049,248.050207205773,1,0,0.5,0.5,0,0,0,0,13,16,29,-0.0591959841549397,-0.128071993589401,0.0688760131597519,-0.970999956130981,-0.0845082700252533,0.981499969959259,0.871599972248077,1.40919995307922,0.229599997401237,1,1,-0.127623736858368,0.0673119834536309,0,0,0.4137931,93.41666667,0.24137931,86.28571429,0.34482759,85.3,NA,-0.577127575874329,-0.295518279075623,-0.135344579815865,-4.80939646561941,-4.22168970108032,-1.35344579815865,0.17647059,0.83333333,0.44827586,0.33333333,1,0.84615385,0.4137931,0.57142857,0.06896552,1,2,1,0,2,2,4,0.25,0.5,0.25,0,0.5,0.5,4.24563890241252,NA,38.92611,30.52449,50.32126,NA,NA,NA,51.42106,30.90511,53.54057,NA,NA,NA,36.4635,28.59713,50.32153,36.30866,26.54479,47.99881,0.976,5.54109,63.22,106.6,66.94,NA,NA,NA,90.9,102.3,107.18,94.62,79.82,75.8,80.7289655172414,96.3275862068965,79.708275862069,0.4137931,0.34482759,NA,0.24137931,NA,93.3166707356771,85.1700012207031,NA,86.028573172433,NA,-4.58788267771403,-3.40054550170898,NA,1.57841873168945,NA,9.04862721761068,3.49195442199707,NA,0.436819655554635,NA,-0.582826964557171,-0.141239326447248,NA,-0.301746353507042,NA,-4.85689137130976,-1.41239326447248,NA,-4.31066219295774,NA,0.15384615,0.6875,0.44827586,0,1,0.84615385,0.55172414,18.13636364,0.4137931,0.34482759,NA,0.24137931,93.5760701497396,85.4282287597656,NA,86.2703247070312,-4.53943920135498,-3.4168830871582,NA,1.87767137799944,8.86078643798828,2.91328792572021,NA,-0.304494483130319,-0.582826964557171,-0.141239326447248,NA,-0.301746353507042,-4.85689137130976,-1.41239326447248,NA,-4.31066219295774,0.15384615,0.6875,0.44827586,0,1,0.84615385,0.55172414,4,93.800178527832,18.3926944732666,0,0,106.764,1,0.25,"2024-09-17",0
"Scott McGough",12056,"2024-08-10","PHI",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,0,0,4.5,0,0,0,0,2,2,2,0,0,0,0,0,0.14285714,-0.14285714,7.78591274388265,0,0,0.5,0,1,4.6664797782898,-4.6664797782898,6.17848818451166,0,118.338868203917,151.097120997259,1,0.333333333,0.333333333,0.333333333,0,0,0,0,12,18,30,0.000420010095695034,-2.0003319150419e-05,0.000440013420302421,1.02199995517731,0.103232324123383,0.00171428569592535,0.00499999988824129,0.00999999977648258,NA,0,1,0.0299942493438721,0.215011642435629,0,0,0.76666667,93.2173913,NA,NA,0.23333333,84.71428571,NA,1.04911172389984,NA,0.1020412966609,4.56135532130366,NA,1.45773280944143,0.22222222,0.75,0.43333333,0.5,1,0.84615385,0.4,1,0.06666667,2,3,1,1,1,4,6,0.33333333,0.5,0.16666667,0.16666667,0.16666667,0.66666667,8.19816408819916,NA,44.0503,50.09244,53.08259,80,31.54596,80,NA,NA,NA,NA,NA,NA,20,33.449,21.59813,32.51837,40.33269,45.65237,1.21148,5.89431,82.66,92,80.72,70.66,178.86,148.64,NA,NA,NA,103.28,41.76,27.18,87.0713333333333,83.1726666666667,70.4913333333333,0.73333333,0.23333333,0.03333333,NA,NA,93.1136363636364,84.6428571428571,93.3000030517578,NA,NA,-5.12561520663175,-3.65573065621512,-7.59124851226807,NA,NA,10.8688181096857,4.75346483503069,9.28765964508057,NA,NA,0.887289930135012,0.102275036275387,0.255611628293991,NA,NA,4.03313604606824,1.46107194679124,25.5611628293991,NA,NA,0.07692308,0.70588235,0.43333333,0,0.91666667,0.84615385,0.56666667,17.47826087,0.73333333,0.23333333,0.03333333,NA,93.1086092862216,84.6331961495536,93.3112030029297,NA,-5.11100352894176,-3.90882137843541,-7.91580009460449,NA,9.49325422807173,3.31380707877023,8.15384006500244,NA,0.887289930135012,0.102275036275387,0.255611628293991,NA,4.03313604606824,1.46107194679124,25.5611628293991,NA,0.15384615,0.64705882,0.43333333,0,1,0.84615385,0.56666667,6,88.0126342773438,9.11584599812826,0,0,101.084,4,0.66666667,"2024-08-10",0
"Scott McGough",12056,"2024-06-27","MIN",15,2024,"ARI","H",34,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,7,1,3,3,1,2,0,0,0,0,2,13.5000032186516,13.5000032186516,6.75000160932579,1,0,0,0,3,0,0,0,0,0,0.28571429,0.28571429,0,7.25268826102528,6.75000160932579,0.2,2.25000053644193,0,0,14.4164824604994,5.83352236747793,8.06849986102166,484.306617160377,361.730265569204,196.770620764507,0,0,0,1,0,0.333333333,4,27.0000064373032,19,25,44,-0.00849999953061342,-0.0129399988800287,0.00443999981507659,-2.25499987602234,-0.227777779102325,0.0611428581178188,0.06533332914114,0.0719999969005585,0.0740000009536743,1,1,-0.00185456848703325,-0.137164113208127,0,0,0.45454545,92.95,0.11363636,87.2,0.43181818,84.73684211,NA,-0.640669643878937,-0.148492425680161,-0.239460244774818,-3.20334821939468,-2.96984851360321,-1.2603170777622,0.22222222,0.76470588,0.43181818,0.83333333,0.84615385,0.84210526,0.38636364,0.42857143,0.06818182,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,12.9198653659566,NA,38.03993,34.45479,49.15579,20,35.30256,20,41.99463,33.55309,50.03553,NA,NA,NA,41.88871,33.48652,59.91672,28.77657,30.86825,44.97962,1.44394,6.243,78.8,94,65.94,62.66,43.32,17.5,111.08,110.08,108.94,85.5,121.96,109.68,84.9945454545454,106.749090909091,88.6131818181818,0.40909091,0.43181818,0.04545455,0.11363636,NA,92.8500027126736,84.7052644428454,92.75,87.1599975585937,NA,-5.01989110310872,-4.30390890021073,-7.8296537399292,1.63477363586426,NA,10.6473710801866,5.12861552991365,9.59756183624268,2.45845432281494,NA,-0.668831761926413,-0.246853817254305,0.0331650711596012,-0.151883564889431,NA,-3.71573201070229,-1.29923061712792,1.65825355798006,-3.03767129778862,NA,0.18181818,0.68181818,0.43181818,0.75,0.86666667,0.84210526,0.5,20.54054054,0.43181818,0.43181818,0.02272727,0.11363636,92.6907059518914,84.4919497841283,91.5102996826172,86.9474365234375,-4.7424854479338,-4.07822458367599,-8.33963012695312,2.34218196868896,9.47103239360609,3.95212795859889,7.73775005340576,0.942111206054687,-0.600617986172438,-0.246853817254305,-0.0350487045943737,-0.151883564889431,-3.16114729564441,-1.29923061712792,-3.50487045943737,-3.03767129778862,0.17391304,0.71428571,0.43181818,0.75,0.86666667,0.84210526,0.47727273,3,97.4635620117188,29.0471165974935,2,0.66666667,110.282,2,0.66666667,"2024-06-27",0
"Scott McGough",12056,"2024-06-26","MIN",15,2024,"ARI","H",34,0,0,9,1,0,0,0,0,0,0,0,1,4,1,1,1,0,0,0,0,0,0,2,18,0,9,2,0,0,0,2,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0.25,1,0.5,0,-0.833520221710205,9.83352022171021,2.19049659073353,215.247334085636,-18.9588053599737,54.7244184399108,0,0,0,1,0,0,1,9,4,9,13,0.00958000216633081,-0.0097600044682622,0.019340006634593,0.511000037193298,0.0516161620616913,0.209499999880791,0.20666666328907,0.208000004291534,0.287999987602234,1,1,0.0167138185352087,0.0290141154589775,0,0,0.61538462,92.875,NA,NA,0.38461538,85.2,NA,-0.203787133097649,NA,0.216794580221176,-2.54733916372061,NA,4.33589160442352,0.28571429,1,0.61538462,0,0.83333333,0.625,0.46153846,0.75,0.23076923,0,1,1,0,0,2,2,0,0.5,0.5,0,0,1,-1.14139510524775,NA,80,41.51142,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.09216,30.51284,37.17276,79.60857,31.9151,80,-1.71406,1.506,89.54,148.48,130.02,NA,NA,NA,NA,NA,NA,91.52,107.76,101.82,88.5342857142857,129.028571428571,115.291428571429,0.61538462,0.38461538,NA,NA,NA,92.8000030517578,84.9799987792969,NA,NA,NA,-5.51624345779419,-4.90772819519043,NA,NA,NA,10.62708568573,4.29402160644531,NA,NA,NA,-0.162524323910475,0.219049412757158,NA,NA,NA,-2.03155404888093,4.38098825514317,NA,NA,NA,0.4,0.75,0.61538462,0,0.83333333,0.625,0.61538462,21.44444444,0.61538462,0.38461538,NA,NA,92.5636901855469,84.7052368164063,NA,NA,-5.30034399032593,-4.6370418548584,NA,NA,9.59107875823975,2.97996597290039,NA,NA,-0.162524323910475,0.219049412757158,NA,NA,-2.03155404888093,4.38098825514317,NA,NA,0.4,0.75,0.61538462,0,0.83333333,0.625,0.61538462,2,99.3186187744141,22.2378215789795,1,0.5,103.197,2,1,"2024-06-26",0
"Scott McGough",12056,"2024-06-22","@PHI",15,2024,"ARI","A",34,0,0,15.4285735305478,1,0,0,0,0,0,0,0,2.1,14,3,4,4,1,3,0,1,0,0,0,0,11.5714301479108,11.5714301479108,0,0,0,3,4,3,1,0,0,0,0,0.21428571,-0.21428571,9.16798417971451,3.85714338263694,0.3,2.57142892175796,0.222222222222222,0.53571429,13.8807669522813,1.54780657826646,10.9013523856058,368.995480132735,348.357085029122,265.22855186108,0.75,0.3,0.3,0.4,0.25,0.25,1,3.85714338263694,22,24,46,-0.0248520039021969,-0.03771598264575,0.0128639796748757,-2.67599987983704,-0.274039953947067,0.0702857151627541,0.0916249975562096,0.140599995851517,0,1,1,-0.159110128879547,-0.19447528808106,0,0,0.63043478,92.65517241,0.10869565,87.2,0.26086957,84.33333333,NA,-0.698581099510193,-0.112690947949886,-1.12145757675171,-2.4089003431386,-2.25381895899773,-9.34547980626424,0.2,1,0.47826087,1,0.875,0.90909091,0.34782609,0.5,0.04347826,3,4,3,3,4,3,10,0.3,0.4,0.3,0.3,0.4,0.3,17.0292279586805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,32.11322,26.57393,2.13087,7.2734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.696170212766,64.6940425531915,53.7706382978723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63043478,0.26086957,NA,0.10869565,92.5854913119612,84.2913411458333,NA,87.2179809570312,-4.62257911419046,-3.97650750478109,NA,2.70828399658203,9.08838522023168,3.53580220540365,NA,1.78304920196533,-0.697963640093803,-1.0804312415421,NA,-0.115153670310974,-2.40677117273725,-9.00359367951751,NA,-2.30307340621948,0.15384615,0.9,0.47826087,1,0.88888889,0.90909091,0.43478261,10,NA,NA,NA,NA,NA,NA,NA,"2024-06-22",0
"Scott McGough",12056,"2024-06-15","CHW",15,2024,"ARI","H",34,0,0,3.85714338263694,1,1,0,0,0,0,0,0,2.1,9,1,1,1,0,1,0,0,0,0,2,7.71428676527388,3.85714338263694,3.85714338263694,2,0.2,0,5,0,1,0,1,0,0,0.22222222,0.11111111,0.11111111,2.70002538395037,0,0.125,0.85714297391932,0.166666666666667,0.5,2.73790829133014,1.1192350913068,2.73790829133014,92.2488700331838,70.1955266655142,67.9530182895984,5,0.166666666,0.833333333,0,0,0,1,3.85714338263694,10,22,32,0.0805400386452675,-0.0956199690699577,0.176160007715225,0.844099998474121,0.08526261895895,0.821555554866791,0.955999970436096,0.870000004768372,1.43800008296967,1,1,0.0452194288372993,0.0528141589927123,0,0,0.6875,93.5,0.125,87.5,0.1875,85.5,NA,0.599028766155243,0.400105893611908,-0.437696903944016,2.72285802797838,10.0026473402977,-7.29494839906693,0.27777778,0.78571429,0.5,0.8,0.63636364,0.6875,0.4375,0.66666667,0.15625,2,4,0,1,4,1,6,0.33333333,0.66666667,0,0.16666667,0.66666667,0.16666667,2.94601254062695,49,41.82023,49.0288,37.06278,NA,NA,NA,72.72727,30.63492,80,NA,NA,NA,55.68106,37.63427,69.60757,45.69848,40.58721,49.75889,0.39265,4.66607,87.08,89.02,81.36,NA,NA,NA,89.9,145.02,159.62,94.24,106.1,80.68,88.775,99.2225,91.015,0.6875,0.1875,NA,0.125,NA,93.6045476740057,85.2999979654948,NA,87.5250015258789,NA,-5.56340165571733,-4.75649611155192,NA,1.7479362487793,NA,10.8516908125444,5.76010894775391,NA,2.51736545562744,NA,0.608691036701202,-0.447038169950247,NA,0.40568870306015,NA,2.76677743955092,-7.45063616583745,NA,10.1422175765038,NA,0.21428571,0.72222222,0.5,1,0.61538462,0.6875,0.5625,18,0.6875,0.1875,NA,0.125,93.6948131214489,85.3592122395833,NA,87.5932998657227,-5.34189709750089,-4.65545495351156,NA,2.12843203544617,9.74149045077237,4.49973678588867,NA,1.27068567276001,0.608691036701202,-0.447038169950247,NA,0.40568870306015,2.76677743955092,-7.45063616583745,NA,10.1422175765038,0.30769231,0.63157895,0.5,1,0.58333333,0.6875,0.59375,6,93.4989217122396,-6.04653167724609,0,0,106.886,4,0.66666667,"2024-06-15",0
"Scott McGough",12056,"2024-06-12","LAA",15,2024,"ARI","H",34,0,0,0,1,0,0,0,0,0,0,0,2.1,12,3,0,0,0,2,0,0,0,0,2,7.71428676527388,7.71428676527388,11.5714301479108,1,0.166666666,0,6,1,1,0,1,0,0,0.16666667,0.16666667,0,4.59568741566939,0,0.3,2.1428574347983,0.375,1,4.02362275220912,-4.02362275220912,4.67162644315913,0,102.291091092084,114.682716658749,6,0.125,0.75,0.125,0,0,0,0,16,30,46,0.00258000008761883,-0.0188199989497662,0.021399999037385,0.888000011444092,0.0896969735622406,0.142666667699814,0.0957499966025352,0.193999990820885,0.0419999994337559,1,1,0.0254383366554976,-0.00735422402277364,0,0,0.41304348,93.52631579,0.06521739,88.33333333,0.52173913,85.375,NA,-0.878909289836884,0.287757724523544,0.307424545288086,-4.62583836756254,9.59192415078481,1.28093560536702,0.35714286,0.77777778,0.52173913,0.6,0.78571429,0.70833333,0.39130435,0.75,0.15217391,4,4,0,3,3,2,8,0.5,0.5,0,0.375,0.375,0.25,3.66031046968404,NA,56.39111,51.67802,59.86646,NA,NA,NA,51.18929,26.28861,73.40519,NA,NA,NA,34.28885,33.04204,53.10665,39.38659,38.62713,53.64275,0.78478,5.25426,83.84,108.4,99.24,NA,NA,NA,86.98,95.8,89.78,84.98,71,57.7,84.6395652173913,88.0652173913043,76.95,0.41304348,0.52173913,NA,0.06521739,NA,93.347367136102,85.2958323160807,NA,88.4000040690104,NA,-4.73149510433799,-4.21162001291911,NA,1.28677749633789,NA,10.6347551847759,5.77943992614746,NA,3.45267041524251,NA,-0.898300003260374,0.306307874619961,NA,0.291315212845802,NA,-4.72789475400197,1.2762828109165,NA,9.71050709486008,NA,0.34782609,0.69565217,0.52173913,0.375,0.875,0.70833333,0.5,20.09090909,0.41304348,0.52173913,NA,0.06521739,93.3776148745888,85.2985127766927,NA,88.4142049153646,-4.55616800408614,-4.09500408172607,NA,1.79008261362712,9.59849548339844,4.3683115641276,NA,2.14283227920532,-0.898300003260374,0.306307874619961,NA,0.291315212845802,-4.72789475400197,1.2762828109165,NA,9.71050709486008,0.34782609,0.69565217,0.52173913,0.375,0.875,0.70833333,0.5,8,82.3849105834961,-7.50256061553955,0,0,98.9753,1,0.125,"2024-06-12",0
"Scott McGough",12056,"2024-06-09","@SDP",15,2024,"ARI","A",34,0,0,13.500014081612,1,1,0,0,0,0,0,0,0.2,3,1,1,1,1,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.81839575020756,13.500014081612,0.333333333333333,1.50000156462356,0,1,19.6664969891489,-6.16648290753691,4.70250659915622,322.871337909504,492.787498471058,115.428957973168,0,0,0,1,0,0.5,1,13.500014081612,4,9,13,-0.0728999972343445,-0.110629983246326,0.037729986011982,-0.63699996471405,-0.0695035457611084,0.727400004863739,0.927799999713898,0.927799999713898,0.400000005960464,1,1,-0.123391062021255,0.023171104986748,0,0,0.61538462,92.625,0.07692308,87,0.30769231,85,NA,-1.24317348003387,0.0642120540142059,0.284690976142883,-15.5396685004234,6.42120540142059,7.11727440357208,0.5,0.6,0.53846154,0.75,0.66666667,0.71428571,0.38461538,0.66666667,0.15384615,0,1,1,0,1,1,2,0,0.5,0.5,0,0.5,0.5,17.6280090525413,34,58.03198,53.12899,65.07959,NA,NA,NA,80,28.62274,80,NA,NA,NA,67.95296,31.07013,80,64.34691,40.94141,80,-0.76591,2.92823,96.28,113.74,110.3,NA,NA,NA,100.72,165.78,200.72,90.44,141.48,125.22,94.8246153846154,126.278461538462,121.846153846154,0.61538462,0.30769231,NA,0.07692308,NA,92.6125030517578,84.75,NA,87,NA,-5.13417530059814,-3.65259122848511,NA,2.28936886787415,NA,11.2084646224976,5.35555362701416,NA,2.97847580909729,NA,-1.24273103475571,0.287825141102076,NA,0.0652216598391533,NA,-15.5341379344463,7.19562852755189,NA,6.52216598391533,NA,0.375,0.8,0.53846154,0.66666667,0.75,0.71428571,0.38461538,15.7,0.61538462,0.30769231,NA,0.07692308,92.7600250244141,84.8551254272461,NA,87.1483001708984,-4.19798374176025,-2.82309246063232,NA,3.20461010932922,9.96370410919189,3.84209251403809,NA,1.60745000839233,-1.24273103475571,0.287825141102076,NA,0.0652216598391533,-15.5341379344463,7.19562852755189,NA,6.52216598391533,0.42857143,0.66666667,0.53846154,0.66666667,0.75,0.71428571,0.46153846,2,100.985092163086,29.8681869506836,1,0.5,109.868,1,0.5,"2024-06-09",0
