"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Stephen Kolek",21487,"2024-07-30","LAD",29,2024,"SDP","H",27,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,18,0,0,0,0,2,1,0,0,0,0,0,0,0.4,-0.4,13.2447290840149,0,0,2,0,1,9.16647977828979,-9.16647977828979,10.6784881845117,0,224.711660570201,259.842877178056,2,0,0.666666666,0.333333333,0,0,0,0,12,10,22,0.0336220003664494,-0.0219840072095394,0.0556060075759888,0.457000017166138,0.0498636141419411,0.624080002307892,0.613200008869171,0.613200008869171,0.545399963855743,1,1,0.0229749195277691,0.0308995841289942,0,0,0.40909091,95.22222222,0.22727273,87.2,0.36363636,94.625,NA,NA,NA,-0.188824877142906,-0.0505997762084007,0.285566091537476,NA,-2.09805419047674,-1.01199552416801,3.56957614421844,NA,0.07692308,0.77777778,0.36363636,1,0.57142857,0.625,0.40909091,0.4,0.13636364,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,7.79352969910277,NA,NA,NA,54.64865,41.82732,56.81256,20,46.99915,20,29.2864,45.74539,29.18065,54.0057,59.32431,55.21697,21.03161,51.42582,20,1.92511,6.96476,NA,NA,NA,81.78,109.34,104.24,95.64,-6.72,2.12,107.14,93.78,93.74,96.28,111.76,113.66,97.76,61.384347826087,65.2739130434783,0.04545455,0.36363636,0.36363636,0.22727273,NA,95.5999984741211,94.6125030517578,94.9375,87.1799987792969,NA,-7.93203163146973,-1.14439833164215,-8.52335166931152,1.29405174255371,NA,7.34779167175293,6.24022197723389,3.91943740844727,0.683666849136353,NA,0.039364367723465,0.287556484341621,-0.236887600272894,-0.051779992878437,NA,3.9364367723465,3.59445605427027,-2.96109500341117,-1.03559985756874,NA,0.08333333,0.7,0.36363636,1,0.57142857,0.625,0.45454545,17.11764706,NA,0.27272727,0.09090909,0.40909091,0.22727273,NA,95.1994323730469,92.2087478637695,94.8643459743924,87.0068969726562,NA,-0.222818334897359,0.54746001958847,-7.43041568332248,2.3452600479126,NA,5.64523506164551,4.24826002120972,3.21021991305881,-0.562921237945557,NA,-0.179983332753181,0.467539817094803,-0.197523232549429,-0.051779992878437,NA,-2.99972221255302,23.3769908547401,-2.19470258388254,-1.03559985756874,0,0.66666667,0.36363636,NA,0.625,0.625,0.54545455,3,84.4971516927083,8.91464106241862,0,0,97.8761,1,0.33333333,"2024-07-30",0
"Stephen Kolek",21487,"2024-07-27","@BAL",29,2024,"SDP","A",27,0,0,0,1,0,0,0,0,0,0,0,1.2,8,3,0,0,0,0,0,0,0,0,2,10.8000041198746,0,16.2000061798119,2,0,0,2,1,3,0,0,0,0,0.25,0,0.25,2.52382283401489,0,0.375,1.80000068664577,0.5,1,0.766478862762102,-0.766478862762102,1.67368425256661,0,20.440032974197,42.2352743249048,2,0.5,0.333333333,0.166666666,0,0,1,5.40000205993731,6,23,29,0.00656000059098005,-0.0187200009822845,0.025280000641942,-0.662999927997589,-0.0712903216481209,0.171749994158745,0.149999991059303,0.166000008583069,0.0240000002086163,1,1,-0.0569350197911263,0.095130075477223,0,0,0.55172414,95.3125,0.13793103,87.5,0.17241379,95,0.13793103,89.75,NA,-0.41486456990242,0.227234154939651,0.061234250664711,-0.210081472992897,-2.59290356189013,5.68085387349129,1.22468501329422,-5.25203682482243,0.5,0.63636364,0.55172414,0.88888889,0.85714286,0.875,0.37931034,0.875,0.06896552,2,1,3,1,4,1,6,0.33333333,0.16666667,0.5,0.16666667,0.66666667,0.16666667,4.7557630136726,80,46.29227,80,77.7226,45.76804,80,68.14561,57.94371,76.85999,48.43008,43.77604,52.16525,34.58803,63.98025,34.3916,71.43355,51.56647,80,-1.20618,2.26782,101.3,161.14,152.92,102.44,136.12,132.3,111.1,114.4,130.34,103.32,106.32,106.66,105.08,103.16,109.28,105.845517241379,122.288275862069,126.96275862069,0.20689655,0.17241379,0.34482759,0.13793103,0.13793103,95.8166707356771,94.8400024414063,94.9700012207031,87.625,89.5250015258789,-3.57499059041341,-0.751136827468872,-8.88531951904297,1.19728577136993,-8.59706401824951,7.85025596618652,5.9795768737793,2.57925395965576,-0.450123429298401,-0.16629832983017,-0.98497523739934,0.0616585910320282,0.607362069189548,0.229567024856806,-0.213865384459496,-16.4162539566557,1.23317182064056,6.07362069189548,5.73917562142015,-5.34663461148739,0.58333333,0.52941176,0.55172414,0.85714286,0.88888889,0.875,0.5862069,19.9047619,0.13793103,0.34482759,0.03448276,0.34482759,0.13793103,89.5219268798828,95.6159912109375,93.1270980834961,94.9684326171875,87.5989990234375,-8.59671974182129,-2.25642566680908,0.651947021484375,-8.61012878417969,1.52307748794556,-1.17777192592621,6.52270660400391,4.31245994567871,1.71253643035889,-1.39581024646759,-0.213865384459496,-0.962681014090776,0.039364367723465,0.607362069189548,0.229567024856806,-5.34663461148739,-9.62681014090776,3.9364367723465,6.07362069189548,5.73917562142015,0.5,0.57894737,0.55172414,0.8,0.90909091,0.875,0.65517241,6,85.7868245442708,12.2376658121745,0,0,105.98,2,0.33333333,"2024-07-27",0
"Stephen Kolek",21487,"2024-07-19","@CLE",29,2024,"SDP","A",27,0,0,36,1,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,36,0,0,1,1,0,2,0,0,1,1,0,0,0,NA,0,1,4,1,0,3.1664797782898,32.8335202217102,3.1664797782898,909.883877238469,78.8033710472314,78.3097583844777,1,0.666666666,0.333333333,0,0,0,0,0,4,9,13,-0.112332008779049,-0.112332008779049,0,-2.96300005912781,-0.312552750110626,0.743099987506866,0.51199996471405,0.51199996471405,0.172800004482269,1,1,-0.150928676128387,-0.000238072179505555,0,1,0.53846154,95.14285714,0.07692308,87,0.30769231,93.5,0.07692308,89,NA,-1.01420140266418,-0.0344077162444592,-0.846118152141571,0.0389156937599182,-14.4885914666312,-3.44077162444592,-21.1529538035393,3.89156937599182,0.22222222,0.75,0.38461538,1,1,1,0.30769231,0.5,0,0,4,0,0,4,0,4,0,1,0,0,1,0,14.4144276052685,48.75005,53.56617,41.87819,24.88515,44.2141,23.29096,80,46.29097,51.85375,20,52.4811,20,80,47.86481,80,72.80568,46.81153,63.3868,-1.29142,2.13996,94.7,126.32,123.44,81.68,88.6,78.12,91.1,95.14,103.9,89.1,11.54,16.66,88.98,138.72,155.38,88.9566666666667,104.208333333333,111.121666666667,0.15384615,0.30769231,0.38461538,0.07692308,0.07692308,94.5,93.6500015258789,95.2200012207031,86.8000030517578,89.0999984741211,-3.9174222946167,-0.803960919380188,-8.80041580200195,1.26051914691925,-10.0375328063965,6.76711797714233,5.5512809753418,2.51592388153076,-0.968701064586639,0.618386507034302,-0.521380018442869,-0.85843164473772,-0.509343482553959,-0.0350487045943737,0.039364367723465,-26.0690009221435,-21.460791118443,-10.1868696510792,-3.50487045943737,3.9364367723465,0.14285714,0.66666667,0.38461538,1,1,1,0.46153846,20,0.07692308,0.30769231,0.15384615,0.38461538,0.07692308,88.9609985351562,94.4359970092773,92.6450958251953,95.1478210449219,86.6424026489258,-9.55811977386475,-2.24838924407959,0.365536004304886,-8.63528594970703,1.58501994609833,-0.573136985301971,6.13525772094727,4.08024024963379,1.71075401306152,-1.42287003993988,0.039364367723465,-0.492174793034792,-0.887636870145798,-0.509343482553959,-0.0350487045943737,3.9364367723465,-12.3043698258698,-44.3818435072899,-10.1868696510792,-3.50487045943737,0.2,0.5,0.38461538,1,1,1,0.61538462,4,92.4605305989583,2.84086354573568,0,0,101.178,1,0.25,"2024-07-19",0
"Stephen Kolek",21487,"2024-07-14","ATL",29,2024,"SDP","H",27,0,0,27,1,0,0,0,0,0,0,0,1,6,3,3,3,1,0,0,0,0,0,0,0,0,27,0,0,0,2,2,2,0,0,0,0,0,0,0,6.03472908401489,9,0.5,3,0.4,0,16.1664797782898,10.8335202217102,6.19049659073353,682.412907928852,394.937998346998,151.387312822842,1,0.333333333,0.333333333,0.333333333,0,0.5,0,0,8,10,18,-0.244391992688179,-0.299336016178131,0.0549440123140812,-2.54299998283386,-0.277468651533127,0.96563333272934,0.930999994277954,0.930999994277954,0.170999988913536,1,1,-0.122474454343319,-0.130615392915175,0,1,0.66666667,95.5,0.27777778,88,0.05555556,91,NA,NA,NA,0.103865459561348,-1.70118963718414,0.0495179928839207,NA,0.865545496344566,-34.0237927436829,4.95179928839207,NA,0.33333333,0.83333333,0.5,0.5,1,0.77777778,0.33333333,0.33333333,0.11111111,4,2,0,0,5,1,6,0.66666667,0.33333333,0,0,0.83333333,0.16666667,17.9282281691503,NA,NA,NA,49.27967,42.67466,66.42675,48.89632,64.60666,39.62647,20,40.74008,20,80,48.32345,80,47.34094,51.40598,43.21101,0.29061,4.51301,NA,NA,NA,103.8,141.74,118.96,117.26,98.88,120.48,96.18,81.28,89.44,89.16,180.94,183.36,107.6,105.693333333333,115.097777777778,0.16666667,0.05555556,0.5,0.27777778,NA,96,91.3000030517578,95.477776421441,88.1,NA,-3.87786229451497,-0.549781024456024,-10.4229303995768,0.659026861190796,NA,7.68726412455241,5.16570997238159,3.78799268934462,0.609118986129761,NA,0.331591177731752,0.0501701384782791,-0.227965101599693,-1.70750281959772,NA,11.0530392577251,5.01701384782791,-2.53294557332993,-34.1500563919544,NA,0.11111111,0.88888889,0.5,0,0.875,0.77777778,0.5,17.16666667,NA,0.16666667,0.05555556,0.5,0.27777778,NA,95.6213989257812,90.8958969116211,95.1231214735243,87.6964599609375,NA,-2.76651318868001,0.869691014289856,-9.44927554660373,1.93960952758789,NA,6.85205014546712,4.23303985595703,2.64698897467719,-0.60541877746582,NA,0.331591177731752,0.0501701384782791,-0.227965101599693,-1.70750281959772,NA,11.0530392577251,5.01701384782791,-2.53294557332993,-34.1500563919544,0.11111111,0.88888889,0.5,0,0.875,0.77777778,0.5,6,94.7388712565104,15.9649149576823,1,0.16666667,107.56,3,0.5,"2024-07-14",0
"Stephen Kolek",21487,"2024-07-09","SEA",29,2024,"SDP","H",27,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,3,20.2500048279774,0,0,3,0,0,1,0,0,0,0,0,0,0.75,0,0.75,-0.374583415985107,0,0,0,0,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-30.6278721854372,-30.4360237233343,1,0,1,0,0,0,0,0,10,16,26,0.0152020016685128,0,0.0152020016685128,0.866999983787537,0.0945990160107613,0.150749996304512,0.189533337950706,0.315400004386902,0.0843999981880188,1,1,0.100796230137348,4.62377974773526e-05,0,0,0.65384615,94.88235294,0.19230769,87.6,0.07692308,93,0.07692308,88.5,NA,0.870966970920563,0.0166349038481712,0.18390217423439,-0.0717987865209579,5.12333512306213,0.332698076963425,9.19510871171951,-3.5899393260479,0.26666667,0.54545455,0.38461538,0.5,0.66666667,0.6,0.42307692,0.5,0.15384615,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.83217985279017,20,63.611,20,61.06137,54.97286,58.16166,80,60.84171,71.88273,69.13861,42.77484,66.19394,37.27025,80,30.92999,70.61756,56.94893,65.02307,-1.15548,2.34387,114.68,43.28,54.44,120.38,132.2,138.32,134.12,150.16,193.46,109.96,139.14,142.46,119.56,82.64,97.82,123.159230769231,129.79,150.756153846154,0.26923077,0.07692308,0.38461538,0.19230769,0.07692308,95.1571393694196,92.8000030517578,94.55,87.6400024414063,88.75,-4.2475893838065,0.30285632610321,-10.4889183044434,1.12341966629028,-9.71248054504395,8.76121738978795,5.60151481628418,3.23594245910645,1.0956374168396,-0.600882172584534,0.222272127866745,0.185884341597557,0.659604825079441,0.0164074786007404,-0.0731270276010036,3.17531611238207,9.29421707987785,6.59604825079441,0.328149572014809,-3.65635138005018,0.28571429,0.5,0.38461538,0.5,0.66666667,0.6,0.46153846,18.54545455,0.07692308,0.26923077,0.07692308,0.38461538,0.19230769,88.4292449951172,94.8558698381696,92.4808044433594,94.2678833007812,87.3164001464844,-9.29878520965576,-3.42933436802455,1.20369851589203,-9.76950912475586,2.2483699798584,-1.54165554046631,7.85480008806501,4.84469509124756,1.94055480957031,-0.29105658531189,-0.0731270276010036,0.222272127866745,0.185884341597557,0.659604825079441,0.0164074786007404,-3.65635138005018,3.17531611238207,9.29421707987785,6.59604825079441,0.328149572014809,0.28571429,0.5,0.38461538,0.5,0.66666667,0.6,0.46153846,1,102.782295227051,-8.23763179779053,0,0,102.782,1,1,"2024-07-09",0
"Stephen Kolek",21487,"2024-07-06","ARI",29,2024,"SDP","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,30.1672745395749,66.5170884121943,1,0,0.5,0.5,0,0,1,9,1,8,9,-0.0324824452400208,-0.0393746569752693,0.00689221173524857,0.419999957084656,0.0458265095949173,0.396200001239777,0.235500007867813,0.471000015735626,NA,0,1,-0.0948599800467491,0.0128750099852203,0,0,0.44444444,93.5,0.22222222,88,0.11111111,91,0.22222222,87,NA,0.231904864311218,0.338419646024704,0,0.274408727884293,5.79762160778046,16.9209823012352,0,13.7204363942146,0.75,0,0.66666667,0.83333333,NA,0.83333333,0.11111111,0.66666667,0.11111111,0,0,2,0,2,0,2,0,0,1,0,1,0,-0.354454678742725,78.38989,56.35864,80,33.95254,20.76291,61.57353,20,63.26092,24.34485,20,42.59439,20,20,44.81599,20,23.07051,51.24362,30.08381,1.79844,6.77475,100.14,108.12,99.5,94.92,147.6,93.2,104.58,-32.74,-28.12,92.78,47.18,48.58,115.66,128.74,100.3,101.128888888889,54.3022222222222,45.0333333333333,0.11111111,0.11111111,0.33333333,0.22222222,0.22222222,92.5999984741211,91.4000015258789,93.5,87.6499938964844,86.8499984741211,-6.598792552948,1.44991958141327,-9.99650128682454,1.45937395095825,-10.7655048370361,7.47450017929077,3.85225319862366,3.290070215861,1.00629138946533,1.15257692337036,0.175081223249435,0,0.0590896233916283,0.342587146908045,0.27810326218605,17.5081223249435,0,1.96965411305428,17.1293573454022,13.9051631093025,0.71428571,0.5,0.66666667,0.8,1,0.83333333,0.22222222,19.83333333,0.22222222,0.11111111,0.11111111,0.33333333,0.22222222,86.720100402832,92.4961013793945,91.2405014038086,93.3971659342448,87.51025390625,-9.99587059020996,-5.63970994949341,2.45219993591309,-9.50696309407552,2.81746482849121,-0.268898516893387,6.68877983093262,3.19741010665894,2.20291344324748,-0.21830803155899,0.27810326218605,0.175081223249435,0,0.0590896233916283,0.342587146908045,13.9051631093025,17.5081223249435,0,1.96965411305428,17.1293573454022,0.71428571,0.5,0.66666667,0.8,1,0.83333333,0.22222222,2,80.1707763671875,5.00610065460205,0,0,89.6372,0,0,"2024-07-06",0
"Stephen Kolek",21487,"2024-07-05","ARI",29,2024,"SDP","H",27,1,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-67.1050706701027,-66.6847344309602,0,0,0,0,0,0,3,81.0000844896721,1,3,4,0.015815993770957,0,0.015815993770957,0.211999997496605,0.0231314785778522,0.577600002288818,0.288800001144409,0.577600002288818,NA,0,1,0.0273822601884604,3.86823535009073e-10,0,0,0.5,94,0.25,86,0.25,91,NA,NA,NA,0.23282390832901,-0.0207000374794006,0.054188709706068,NA,11.6411954164505,-2.07000374794006,5.4188709706068,NA,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.68377664952517,NA,NA,NA,80,76.80516,80,80,67.61153,80,68.22031,43.48834,74.4813,80,45.02694,80,80,59.59649,80,-3.53334,-1.22292,NA,NA,NA,135.72,155.08,152.96,90,140.86,134.32,129.8,163.34,149.76,99.78,167.76,167.16,113.825,156.76,151.05,0.25,0.25,0.25,0.25,NA,95.0999984741211,90.8000030517578,92.5,86.1999969482422,NA,-2.89098763465881,0.796399354934692,-9.78427219390869,0.782932162284851,NA,7.50344228744507,5.63530111312866,4.68921899795532,1.38038444519043,NA,0.196128189563751,0.054773960262537,0.039364367723465,-0.0210469514131546,NA,19.6128189563751,5.4773960262537,3.9364367723465,-2.10469514131546,NA,0,0.66666667,0.5,NA,0,0,0.75,18.66666667,NA,0.25,0.25,0.25,0.25,NA,94.9380035400391,90.625602722168,92.3537979125977,86.0367965698242,NA,-1.7773300409317,1.9548499584198,-8.91814994812012,2.3160400390625,NA,6.29040002822876,4.66239023208618,3.23118996620178,-0.248494997620583,NA,0.196128189563751,0.054773960262537,0.039364367723465,-0.0210469514131546,NA,19.6128189563751,5.4773960262537,3.9364367723465,-2.10469514131546,0,0.66666667,0.5,NA,0,0,0.75,0,NA,NA,0,NA,NA,0,NA,"2024-07-05",0
"Stephen Kolek",21487,"2024-07-02","@TEX",29,2024,"SDP","A",27,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,0,0,0,6.75000160932579,0,0,0,3,0,2,0,0,0,0,0,0,0,2.88472908401489,0,0.2,0.750000178813977,0.2,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.8033710472314,78.3097583844777,3,0.4,0.6,0,0,0,0,0,10,15,25,0.00662795547395945,-0.00639196624979377,0.0130199221894145,0.715999960899353,0.0743509829044342,0.0931200012564659,0.0778666660189629,0.0967999994754791,0.0483999997377396,1,1,0.0109462551772594,0.060230241649723,0,0,0.52,94.53846154,NA,NA,0.4,88.8,0.08,87,NA,-0.577619433403015,NA,0.662792146205902,0.0427829772233963,-4.44322641079242,NA,6.62792146205902,2.13914886116982,0.21428571,0.72727273,0.44,1,1,1,0.44,0.4,0,2,3,0,0,3,2,5,0.4,0.6,0,0,0.6,0.4,7.29670321514969,20,47.66185,20,21.28601,22.89123,28.42282,44.3932,59.02786,30.02022,51.96394,20,80,60.84324,56.1608,58.77921,43.51623,47.09189,39.38761,0.52822,4.86942,96.84,67.36,65.74,99.74,96.74,72.56,138.02,97.64,145.54,99.38,149.14,157.7,94.06,71.88,76.24,112.5064,106.4024,122.568,0.16,0.12,0.36,0.28,0.08,95.2750015258789,91.5,94.1222195095486,87.3714250837054,86.8499984741211,-3.97681045532227,-0.794986009597778,-10.7135043674045,0.0519169228417533,-9.57707786560059,6.76337814331055,5.0618470509847,2.8225949605306,1.30322429112026,0.397741168737411,-0.0623212568461895,0.0748694464564323,-0.520186495035887,0.638761218637228,0.0425387844443321,-1.55803142115474,2.49564821521441,-5.77984994484319,9.12516026624611,2.12693922221661,0.15384615,0.75,0.44,1,1,1,0.48,19.65,0.08,0.16,0.12,0.36,0.28,86.9474945068359,95.3248291015625,91.5765380859375,94.1949666341146,87.430899483817,-8.96793937683105,-3.05190753936768,0.293504993120829,-10.1344341701931,1.05394070489066,-0.514823973178864,6.04714250564575,4.1687266031901,1.72320948706733,0.368791852678571,0.0425387844443321,-0.0623212568461895,0.0748694464564323,-0.520186495035887,0.638761218637228,2.12693922221661,-1.55803142115474,2.49564821521441,-5.77984994484319,9.12516026624611,0.16666667,0.69230769,0.44,1,1,1,0.52,5,98.245556640625,-5.84251327514648,0,0,108.369,3,0.6,"2024-07-02",0
"Stephen Kolek",21487,"2024-06-30","@BOS",29,2024,"SDP","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,78.8033710472314,78.3097583844777,3,0,1,0,0,0,1,9,2,6,8,0.0115480069071054,-0.00705600716173649,0.0186040140688419,0.546999990940094,0.0526974946260452,0.192399993538857,0.185199990868568,0.185199990868568,0.235199987888336,1,1,0.042969599366188,0.0170512285699275,0,0,0.375,94.33333333,NA,NA,0.625,89.4,NA,NA,NA,-0.0328830890357494,NA,0.565775871276855,NA,-1.09610296785831,NA,11.3155174255371,NA,0.33333333,0.8,0.625,1,1,1,0.625,0.66666667,0,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,1.31771360944869,NA,NA,NA,20,27.59408,20,74.30748,31.24907,80,NA,NA,NA,80,50.19167,80,63.90756,41.23676,67.79524,-0.73861,2.96918,NA,NA,NA,103.42,66.44,21,81.52,101.44,97.78,108.58,85.82,94.52,99.96,114.26,117.7,101.32,96.015,94.43,0.125,0.375,0.125,0.375,NA,95.0999984741211,92.9666646321615,93.4000015258789,87.8333333333333,NA,-5.2468090057373,-0.277495582898458,-9.15658283233643,0.845080057779948,NA,6.61200284957886,4.91396458943685,3.45157670974731,-0.32540108760198,NA,-0.0380783230066299,0.782268319278955,0.039364367723465,-0.241313114762306,NA,-3.80783230066299,26.0756106426318,3.9364367723465,-8.04377049207687,NA,0.33333333,0.8,0.625,1,1,1,0.625,17.6,NA,0.25,0.25,0.125,0.375,NA,95.1471481323242,91.8394012451172,93.4512023925781,87.8194376627604,NA,-3.13102507591248,1.00840353965759,-8.87987995147705,1.33776664733887,NA,5.89862489700317,3.78070497512817,2.53070998191833,-1.35884920756022,NA,-0.0731270276010036,0.817317023873329,0.039364367723465,-0.241313114762306,NA,-3.65635138005018,40.8658511936665,3.9364367723465,-8.04377049207687,0.33333333,0.8,0.625,1,1,1,0.625,3,87.1272786458333,-1.87466526031494,0,0,101.965,1,0.33333333,"2024-06-30",0
"Stephen Kolek",21487,"2024-06-28","@BOS",29,2024,"SDP","A",27,1,0,0,1,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,1,0,0,2,9,0,4.5,2,0,0,2,2,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.142857142857143,0.5,0.2,1,2.6664797782898,-2.6664797782898,4.17848818451166,0,66.6443469203173,102.765673805793,1,0.2,0.4,0.4,0,0,0,0,6,16,22,0.0180279985070229,-0.0130479987710714,0.0310759991407394,1.09100008010864,0.105105973780155,0.183349996805191,0.174666658043861,0.213599994778633,0.0967999994754791,1,1,0.0696005374193192,0.0287250629142198,0,0,0.45454545,95.3,NA,NA,0.45454545,90,0.09090909,89,NA,0.650783061981201,NA,0.096549391746521,0.0182156562805176,6.50783061981201,NA,0.96549391746521,0.910782814025879,0.5,0.7,0.59090909,0.5,1,0.76923077,0.45454545,0.75,0.13636364,0,1,4,0,3,2,5,0,0.2,0.8,0,0.6,0.4,2.79850752473259,59.03969,54.93957,63.80749,74.57121,27.96377,80,71.02849,46.21738,73.99943,NA,NA,NA,71.56771,42.88022,33.1867,76.31833,44.04795,60.23817,-1.50965,1.81262,95.98,126.02,112,119.86,139.08,119.98,114.38,111.62,120.6,105.72,122.66,118.14,97.74,93.64,99.1,108.543636363636,117.805454545455,116.912727272727,0.09090909,0.09090909,0.36363636,0.36363636,0.09090909,95.4499969482422,92.5500030517578,95.1750030517578,89.3375015258789,88.9000015258789,-3.12436580657959,0.425580531358719,-9.28842449188232,1.54213058948517,-9.45035743713379,8.09557628631592,5.52401399612427,3.42076730728149,1.49761211872101,0.939590096473694,0.175081238150597,0.00431566312909126,0.522150434553623,0.0915225483477116,0.0183174163103104,8.75406190752983,0.215783156454563,6.52688043192029,1.14403185434639,0.915870815515518,0.4,0.75,0.59090909,0.25,1,0.76923077,0.54545455,19.92857143,0.09090909,0.09090909,0.09090909,0.36363636,0.36363636,88.6815032958984,95.2400512695312,92.3445510864258,95.0075378417969,89.1463851928711,-9.32621955871582,-2.79449987411499,1.15847551822662,-8.83316135406494,2.38243746757507,-0.496641010046005,7.28004455566406,4.68832015991211,2.16404676437378,0.22690150141716,0.0183174163103104,0.175081238150597,0.00431566312909126,0.522150434553623,0.0915225483477116,0.915870815515518,8.75406190752983,0.215783156454563,6.52688043192029,1.14403185434639,0.36363636,0.81818182,0.59090909,0.25,1,0.76923077,0.5,5,93.9357299804688,18.1258087158203,0,0,105.153,2,0.4,"2024-06-28",0
