"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSL%","pivCH","pivFA","pivFC","pivSL","piCH-X","piFA-X","piFC-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSL-Z","piwCH","piwFA","piwFC","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Zack Kelly",20349,"2024-09-13","@NYY",3,2024,"BOS","A",29,0,0,27,1,0,0,0,0,0,0,0,0,3,1,3,3,0,2,0,0,0,0,0,0,18,9,0,0,0,1,0,0,0,0,0,0,0,0.66666667,-0.66666667,NA,0,1,3,1,0,9.16647977828979,17.8335202217102,9.16647977828979,634.145952987227,224.80136856253,226.194269593759,1,0,1,0,0,0,0,0,8,6,14,-0.186259984970093,-0.186259984970093,0,-1.98499989509583,-0.206126689910889,1.35946667194366,0.677200019359589,0.677200019359589,3.00839996337891,1,1,-0.137007609009743,-1.99101509057442e-06,0,1,0.21428571,96.33333333,0.21428571,81.33333333,0.42857143,92.33333333,0.14285714,84.5,NA,-0.392735809087753,-0.40976420044899,-0.180679202079773,-0.108625918626785,-13.0911936362584,-13.658806681633,-3.01132003466288,-5.43129593133926,0,0.33333333,0.14285714,NA,1,1,0.42857143,0.66666667,0,1,0,0,0,1,0,1,1,0,0,0,1,0,23.5622285841366,NA,54.01913,57.60417,20,20,50.99717,20,80,58.99584,73.43031,60.62472,44.53053,20.19642,40.68976,55.14292,20,0.70382,5.13282,138.02,129.56,140.58,96.58,-70.64,-67.64,128.48,114.54,122.2,98.46,148.14,161.46,110.141428571429,91.4042857142857,100.971428571429,0.21428571,0.42857143,0.21428571,0.14285714,96.2999979654948,92.2666625976562,81.2999979654948,84.8500061035156,-6.19093704223633,-0.593273202578227,11.0520706176758,-10.3979940414429,9.21461232503255,4.24454752604167,-0.583283543586731,0.548430383205414,-0.402091648429632,-0.185830026865005,-0.416435923427343,-0.110842883586884,-13.4030549476544,-3.09716711441676,-13.8811974475781,-5.54214417934418,0,0.33333333,0.14285714,NA,1,1,0.42857143,20.90909091,0.14285714,0.21428571,0.42857143,0.21428571,84.7087478637695,96.2015380859375,92.154296875,81.205800374349,-10.2711296081543,-5.6011962890625,0.323003013928731,12.050900777181,-1.09780943393707,8.03799311319987,3.0444434483846,-1.9847510655721,-0.110842883586884,-0.402091648429632,-0.185830026865005,-0.416435923427343,-5.54214417934418,-13.4030549476544,-3.09716711441676,-13.8811974475781,0,0.33333333,0.14285714,NA,1,1,0.42857143,1,95.7310333251953,1.70071601867676,0,0,95.731,1,1,"2024-09-13",0
"Zack Kelly",20349,"2024-09-12","@NYY",3,2024,"BOS","A",29,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.4551252906048,76.9288520456552,0,1,0,0,0,0,0,0,0,2,2,0.103356003761292,0,0.103356003761292,0.763000011444092,0.0792315676808357,4.12919998168945,2.06459999084473,4.12919998168945,1.50839996337891,1,1,0.0250305160880089,-6.80759552895704e-10,1,0,NA,NA,1,81.5,NA,NA,NA,NA,NA,NA,0.249823242425919,NA,NA,NA,12.4911621212959,NA,NA,NA,0.5,0.5,NA,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,37.3039112806694,NA,NA,NA,NA,NA,NA,NA,80,62.77814,80,NA,NA,NA,80,73.65215,80,-3.7272,-1.51371,NA,NA,NA,NA,NA,NA,122.78,145.46,167,NA,NA,NA,122.78,145.46,167,NA,NA,1,NA,NA,NA,81.5500030517578,NA,NA,NA,13.0904111862183,NA,NA,NA,1.11911618709564,NA,NA,NA,0.294975996017456,NA,NA,NA,14.7487998008728,NA,NA,0.5,0.5,NA,1,1,1,19,NA,NA,NA,1,NA,NA,NA,81.5742492675781,NA,NA,NA,14.1934003829956,NA,NA,NA,-0.073913499712944,NA,NA,NA,0.294975996017456,NA,NA,NA,14.7487998008728,NA,0.5,0.5,NA,1,1,1,1,75.5164031982422,24.3184871673584,0,0,75.5164,0,0,"2024-09-12",0
"Zack Kelly",20349,"2024-09-10","BAL",3,2024,"BOS","H",29,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,2,18,18,0,1,0,0,1,0,0,0,0,0,0,0.4,0.4,0,8.26752908401489,0,0,2,0,1,5.1664797782898,-5.1664797782898,5.1664797782898,0,125.903873047913,126.683991228356,1,0,1,0,0,0,0,0,13,11,24,0.0205080062150955,-0.0208680033683777,0.0413760095834732,0.546999990940094,0.0526974946260452,0.467333316802979,0.331999987363815,0.331999987363815,NA,0,1,0.0159537214785814,0.0279293176237675,0,0,0.20833333,96.8,0.16666667,81.75,0.45833333,92.27272727,0.16666667,84.75,NA,-0.372832804918289,0.111169964075089,0.502110064029694,-0.134906768798828,-7.45665609836578,2.77924910187721,4.56463694572449,-3.3726692199707,0.0625,0.875,0.33333333,0,0.85714286,0.75,0.33333333,NA,0.08333333,1,0,0,0,1,0,1,1,0,0,0,1,0,4.89555454884036,NA,20,62.0622,20,20,58.27184,20,55.13925,67.07251,66.51895,37.69223,49.46909,36.27604,20,60.91552,20,2.62401,8.01311,115.96,9.16,22.74,121.58,-54.4,-39.16,119.42,90.88,108.4,114.72,98.86,125.6,117.139166666667,50.6508333333333,71.265,0.20833333,0.45833333,0.16666667,0.16666667,96.9799987792969,92.3999966708097,81.9250030517578,84.5999984741211,-6.16556854248047,0.248401338403875,9.51160144805908,-11.0070028305054,8.81473388671875,4.94677179509943,-0.239867970347404,-0.287971973419189,-0.38220002874732,0.506409492343664,0.111670300364494,-0.138048175722361,-7.6440005749464,4.60372265766967,2.79175750911236,-3.45120439305902,0.06666667,0.77777778,0.33333333,0,0.85714286,0.75,0.375,19.52631579,0.16666667,0.20833333,0.45833333,0.16666667,84.8638763427734,97.2563415527344,92.6844537908381,82.1780242919922,-10.8631753921509,-5.57644386291504,1.00510198419744,10.2682571411133,-1.24799406528473,8.06632614135742,4.15590078180487,-1.30722343921661,-0.138048175722361,-0.38220002874732,0.506409492343664,0.111670300364494,-3.45120439305902,-7.6440005749464,4.60372265766967,2.79175750911236,0.07142857,0.7,0.33333333,0,0.85714286,0.75,0.41666667,1,69.8020935058594,-16.0697174072266,0,0,69.8021,0,0,"2024-09-10",0
"Zack Kelly",20349,"2024-09-08","CHW",3,2024,"BOS","H",29,0,1,135.00014081612,1,0,0,0,0,0,0,0,0.1,7,5,5,5,0,1,1,0,0,0,1,27.000028163224,27.000028163224,135.00014081612,1,0,0,1,1,3,0,0,0,0,0.14285714,0.14285714,0,5.67334132736093,0,0.833333333333333,18.0000187754827,1,0.16666667,6.16648290753691,128.833657908583,10.7025128576505,3170.73307226846,150.628324295243,264.40703942017,1,0.6,0.2,0.2,0,0,0,0,6,15,21,-0.490055978298187,-0.57311999797821,0.0830640122294426,-4.90799999237061,-0.472832381725311,2.46382856369019,2.37040019035339,2.37040019035339,0.118400000035763,1,1,-0.184684470295906,-0.0142157232971939,0,1,0.19047619,97.5,0.28571429,81.33333333,0.23809524,91.6,0.28571429,83.5,0.19047619,-0.440147459506989,-0.747583270072937,-1.18468511104584,0.0247935317456722,-11.0036864876747,-12.4597211678823,-23.6937022209167,0.413225529094537,0.53846154,0.625,0.57142857,0.57142857,1,0.75,0.38095238,0.71428571,0.14285714,1,1,3,1,3,1,5,0.2,0.2,0.6,0.2,0.6,0.2,11.111157016115,NA,41.7567,63.9364,20,80,49.84818,80,80,61.56426,80,24.59414,49.06629,26.26679,57.29511,62.86254,50.61822,-0.32781,3.58538,129.6,65.72,85.78,126.14,120.3,131.1,132.56,121.94,144.22,99.96,62.24,67.34,122.729523809524,91.3504761904762,106.719047619048,0.19047619,0.23809524,0.28571429,0.28571429,97.4250030517578,91.6599975585937,81.4166666666667,83.4833323160807,-6.51207494735718,-0.456918430328369,9.6287473042806,-10.9704043070475,8.65864562988281,5.31046257019043,0.280713538328807,0.732529481252035,-0.446966916322708,-1.19866491481662,-0.760126933455467,0.0246055088937283,-11.1741729080677,-23.9732982963324,-12.6687822242578,0.410091814895471,0.5,0.66666667,0.57142857,0.66666667,0.83333333,0.75,0.42857143,20.6,0.28571429,0.19047619,0.23809524,0.28571429,83.6511637369792,97.5711212158203,91.8041198730469,81.5770823160807,-10.8121503194173,-6.02411270141602,0.298707389831543,10.6461130777995,-0.107480337222417,7.85686492919922,4.64555206298828,-0.73211399714152,0.0246055088937283,-0.446966916322708,-1.19866491481662,-0.760126933455467,0.410091814895471,-11.1741729080677,-23.9732982963324,-12.6687822242578,0.5,0.66666667,0.57142857,0.66666667,0.83333333,0.75,0.42857143,5,81.5682861328125,14.0846252441406,0,0,90.0232,0,0,"2024-09-08",0
"Zack Kelly",20349,"2024-09-06","CHW",3,2024,"BOS","H",29,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.4551252906048,76.9288520456552,4,0,1,0,0,0,2,18,6,11,17,0.0914799869060516,-0.0217359904199839,0.11321597546339,0.546999990940094,0.0526974946260452,1.24759995937347,1.54839992523193,1.54839992523193,1.50039994716644,1,1,0.0534551925957203,0.0198695828811814,1,0,0.17647059,97,0.41176471,82.14285714,0.29411765,92,0.11764706,85,NA,0.103127747774124,0.637089967727661,-0.301385641098022,-0.15001705288887,3.4375915924708,9.1012852532523,-6.02771282196045,-7.50085264444351,0.4,0.71428571,0.52941176,0.75,0.8,0.77777778,0.41176471,0.5,0.11764706,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,1.45977924691138,NA,80,64.33627,80,80,52.98986,80,80,80,80,22.96009,55.07451,20,80,75.32421,80,-3.19945,-0.72208,125.02,222.28,232.48,114,127.74,138.96,143.96,168.28,232.64,105.38,83.98,102.04,125.097647058824,142.684705882353,177.677647058824,0.17647059,0.29411765,0.41176471,0.11764706,96.9666646321615,92,81.971426827567,84.6499938964844,-6.32666397094727,0.50373592376709,9.91073935372489,-11.7388134002686,8.78683598836263,5.02157821655273,0.714673042297363,0.933382213115692,0.104586027562618,-0.306640312075615,0.646370638161898,-0.153169609606266,3.48620091875394,-6.1328062415123,9.23386625945568,-7.6584804803133,0.14285714,0.8,0.52941176,0,0.875,0.77777778,0.58823529,19.07692308,0.11764706,0.17647059,0.29411765,0.41176471,84.7807464599609,97.1386006673177,92.12587890625,82.0915701729911,-11.1749000549316,-5.58657709757487,1.68983898162842,11.0695898873465,-0.415183991193771,8.08165995279948,4.13301010131836,-0.195604698998587,-0.153169609606266,0.104586027562618,-0.306640312075615,0.646370638161898,-7.6584804803133,3.48620091875394,-6.1328062415123,9.23386625945568,0.14285714,0.8,0.52941176,0,0.875,0.77777778,0.58823529,4,83.6660614013672,-5.64030838012695,0,0,98.359,1,0.25,"2024-09-06",0
"Zack Kelly",20349,"2024-09-04","@NYM",3,2024,"BOS","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.0063775332964,27.173712862954,2,0,1,0,0,0,0,0,6,7,13,0.0435479916632175,0,0.0435479916632175,0.458999991416931,0.0499184317886829,0.591266632080078,0.792999982833862,0.792999982833862,0.705600023269653,1,1,0.0737705826759338,-0.000118546013530701,0,0,0.23076923,97.33333333,0.46153846,81.5,0.23076923,91.33333333,0.07692308,83,NA,0.132640779018402,0.62453681230545,-0.0192974396049976,-0.04739710688591,4.4213593006134,10.4089468717575,-0.643247986833255,-4.739710688591,0.33333333,0.5,0.38461538,0.66666667,0.5,0.6,0.30769231,0.33333333,0.15384615,2,0,0,0,2,0,2,1,0,0,0,1,0,-0.230783829330867,NA,31.37007,68.21328,20,20.69065,54.6079,21.1795,76.19894,80,68.98467,40.07828,61.93576,42.32213,51.68777,76.35816,42.14233,0.02056,4.10793,103.06,43.74,48.22,109.84,77.46,77.52,130.24,117.16,153.82,104.24,87.22,102.4,117.441538461538,95.4415384615385,116.223076923077,0.23076923,0.23076923,0.46153846,0.07692308,97.2000020345052,91.2666625976562,81.4166666666667,82.9000015258789,-6.13525327046712,1.96014722188314,10.4895362854004,-11.0635719299316,9.03338241577148,3.97622966766357,1.12443375587463,-1.07811546325684,0.133901555091143,-0.0199272707104683,0.633046820759773,-0.0483221560716629,4.46338516970476,-0.66424235701561,10.5507803459962,-4.83221560716629,0.14285714,0.66666667,0.38461538,0,0.75,0.6,0.46153846,19,0.07692308,0.23076923,0.23076923,0.46153846,83.0240020751953,97.3772989908854,91.3709004720052,81.5526987711589,-10.4969997406006,-4.97886657714844,3.03090985616048,11.6306788126628,-2.5117199420929,7.91768010457357,3.19097010294596,-0.240011791388194,-0.0483221560716629,0.133901555091143,-0.0199272707104683,0.633046820759773,-4.83221560716629,4.46338516970476,-0.66424235701561,10.5507803459962,0.14285714,0.66666667,0.38461538,0,0.75,0.6,0.46153846,2,78.1259918212891,-7.31741237640381,0,0,81.724,0,0,"2024-09-04",0
"Zack Kelly",20349,"2024-09-01","@DET",3,2024,"BOS","A",29,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,4,2,2,2,1,0,0,0,0,0,1,13.500014081612,0,27.000028163224,1,0,0,0,1,2,0,0,0,0,0.25,0,0.25,3.28666658401489,13.500014081612,0.5,3.00000312924711,0.5,0,19.6664969891489,7.33353117407511,2.43449162409945,634.146614453692,484.407719816115,58.7187657997406,0,0.666666666,0,0.333333333,0,1,0,0,3,11,14,-0.142172008752823,-0.17119200527668,0.0290200021117926,-1.55299997329712,-0.163818553090096,0.790600001811981,0.803200006484985,0.785600006580353,0.209199994802475,1,1,-0.0952004864811897,-0.0846275029280918,0,1,0.14285714,97,0.28571429,81.75,0.28571429,92.25,0.28571429,82.25,NA,-0.497441589832306,0.227396890521049,-1.27838611602783,0.190207526087761,-24.8720794916153,5.68492226302624,-31.9596529006958,4.75518815219402,0.5,1,0.71428571,0.25,0.83333333,0.6,0.42857143,1,0.28571429,1,2,0,0,1,2,3,0.33333333,0.66666667,0,0,0.33333333,0.66666667,34.8784894273822,NA,80,67.7884,68.49254,51.50653,56.8,46.7944,74.40927,73.63771,48.46018,80,52.28416,70.99426,80,70.81833,65.60321,-2.07808,0.95997,135.96,117.22,138.2,128.94,76.78,87.26,149.96,93.9,125.66,92.3,121.08,118.48,126.482857142857,105.882857142857,121.705714285714,0.14285714,0.28571429,0.28571429,0.28571429,96.8999938964844,92.125,81.5749969482422,82.3249969482422,-6.55667018890381,-0.243443474173546,10.4492626190186,-10.9699211120605,9.60515975952148,5.86361694335938,0.522237956523895,-0.215690419077873,-0.504936903715134,-1.2781656049192,0.229855198413134,0.234564695507288,-25.2468451857567,-31.9541401229799,5.74637996032834,5.8641173876822,0.25,0.9,0.71428571,0,0.66666667,0.6,0.71428571,19.1,0.28571429,0.14285714,0.28571429,0.28571429,82.4733505249023,97.1109466552734,92.2883224487305,81.7319030761719,-10.4401750564575,-5.45411491394043,0.82293826341629,12.0172748565674,-1.39385008811951,8.51572418212891,4.95161247253418,-0.685161054134369,0.234564695507288,-0.504936903715134,-1.2781656049192,0.229855198413134,5.8641173876822,-25.2468451857567,-31.9541401229799,5.74637996032834,0.25,0.9,0.71428571,0,0.66666667,0.6,0.71428571,3,102.874165852865,16.7058334350586,1,0.33333333,114.028,3,1,"2024-09-01",0
"Zack Kelly",20349,"2024-08-26","TOR",3,2024,"BOS","H",29,0,0,0,1,1,0,0,0,0,0,0,3,11,0,0,0,0,2,0,0,0,0,4,12,6,0,2,0,0,2,2,1,0,0,0,0,0.36363636,0.18181818,0.18181818,4.10916709325924,0,0,0.666666666666667,0,1,2.49981311162313,-2.49981311162313,3.50781871577104,0,59.972209371502,85.4205352170825,1,0.2,0.4,0.4,0,0,1,3,18,31,49,0.159496009349823,-0.049679983407259,0.209175989031792,1.64069998264313,0.15806357562542,0.881963670253754,0.930000007152557,0.870000004768372,1.13160002231598,1,1,0.171979323029518,0.00886260360441418,0,0,0.32653061,96.8125,0.3877551,82.73684211,0.2244898,92.45454545,0.06122449,84,NA,0.336592733860016,0.411568105220795,0.50342869758606,0.325495719909668,2.1037045866251,2.16614792221471,4.57662452350963,10.8498573303223,0.35294118,0.66666667,0.44897959,0.75,0.8,0.77272727,0.30612245,0.63636364,0.10204082,2,1,2,1,4,0,5,0.4,0.2,0.4,0.2,0.8,0,2.72777871241247,57,75.75871,64.66448,67.84434,38.47511,48.34936,35.20402,66.17014,80,52.94506,76.18732,45.03294,80,62.00389,66.26786,59.63933,-0.62035,3.14657,104.28,126.1,138.24,119.96,62.64,64.2,129.78,91.38,115.28,101.26,118.96,133.96,118.609795918367,90.3126530612245,104.2,0.32653061,0.2244898,0.3877551,0.06122449,96.7375030517578,92.4454567649148,82.6789486533717,83.8333333333333,-6.50732278823853,0.122441313483498,8.23982640316612,-11.1117986043294,8.49040603637695,5.25979302146218,1.79261659321032,0.00406931837399801,0.375958364456892,0.509007304906845,0.41449648141861,0.329339995980263,2.34973977785558,4.62733913551677,2.181560428519,10.9779998660088,0.29166667,0.6,0.44897959,0.71428571,0.8,0.77272727,0.51020408,20.10526316,0.06122449,0.32653061,0.2244898,0.3877551,83.9408009847005,96.8509292602539,92.547929243608,82.7629587273849,-10.2312037150065,-5.49983739852905,1.28973605416038,9.53652472245066,-1.26777331034342,7.5569543838501,4.23319521817294,0.792915846172132,0.329339995980263,0.375958364456892,0.509007304906845,0.41449648141861,10.9779998660088,2.34973977785558,4.62733913551677,2.181560428519,0.29166667,0.6,0.44897959,0.71428571,0.8,0.77272727,0.51020408,5,87.6929809570313,19.3876251220703,0,0,100.209,1,0.2,"2024-08-26",0
"Zack Kelly",20349,"2024-08-24","ARI",3,2024,"BOS","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,1,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.0063775332964,64.7888072114456,1,0,0.5,0.5,1,0,0,0,6,7,13,0.0418840050697327,0,0.0418840050697327,0.546999990940094,0.0526974946260452,0.532533347606659,0.701999962329865,0.701999962329865,0.650400042533875,1,1,0.0787548944354057,-0.00010441130985106,0,0,0.15384615,98,0.23076923,82.66666667,0.15384615,92.5,0.46153846,84.16666667,NA,-0.15001705288887,0.329441875219345,0.0778313875198364,0.48849231004715,-7.50085264444351,10.9813958406448,3.89156937599182,8.14153850078583,0.44444444,0.5,0.46153846,0.5,0.5,0.5,0.30769231,0.66666667,0.23076923,2,0,0,1,0,1,2,1,0,0,0.5,0,0.5,-1.47508785224561,NA,80,78.14333,80,80,55.70413,63.69696,62.00717,72.38718,48.80599,80,58.78235,80,80,79.51553,80,-3.08099,-0.54439,110.68,188.74,205.02,125.06,115.94,125.84,136.5,113.32,124.16,110.64,112.44,126.06,118.844615384615,148.396923076923,162.030769230769,0.15384615,0.15384615,0.23076923,0.46153846,97.9499969482422,92.3999938964844,82.5333353678385,84.3333333333333,-7.95153331756592,0.276419043540955,8.91673596700033,-11.6342391967773,9.11619758605957,5.39809513092041,0.780598640441895,-0.525306264559428,-0.153169609606266,0.0787287354469299,0.316138166934252,0.49502644687891,-7.6584804803133,3.9364367723465,10.5379388978084,8.25044078131517,0.375,0.6,0.46153846,0.33333333,0.66666667,0.5,0.38461538,18.3,0.46153846,0.15384615,0.15384615,0.23076923,84.3084157307943,97.9474029541016,92.3598937988281,82.5330657958984,-11.1646664937337,-7.28440475463867,1.22576308250427,10.504269917806,-2.04500834147135,7.78113985061646,4.30427503585815,-0.58215336004893,0.49502644687891,-0.153169609606266,0.0787287354469299,0.316138166934252,8.25044078131517,-7.6584804803133,3.9364367723465,10.5379388978084,0.33333333,0.75,0.46153846,0.33333333,0.66666667,0.5,0.30769231,2,83.6082305908203,45.3392562866211,0,0,91.0912,0,0,"2024-08-24",0
"Zack Kelly",20349,"2024-08-21","@HOU",3,2024,"BOS","A",29,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,76.4551252906048,76.9288520456552,1,0,1,0,0,0,0,0,2,3,5,0.0159220229834318,0,0.0159220229834318,0.0989999994635582,0.0104928454384208,0.631600022315979,0.31580001115799,0.631600022315979,1.57420003414154,1,1,0.0252090282738209,2.58268521152738e-10,0,0,0.6,96.33333333,NA,NA,0.4,91,NA,NA,NA,0.1058694049716,NA,0.106215819716454,NA,3.52898016571999,NA,5.31079098582268,NA,0,1,0.6,NA,1,1,0.6,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.45977924691138,NA,NA,NA,NA,57.91362,45.23216,69.87112,NA,NA,NA,66.94274,44.37533,74.65511,64.14847,41.92758,80,-0.75358,2.94672,NA,NA,NA,109.62,95.6,92.12,NA,NA,NA,81.84,125.14,124.7,98.508,107.416,105.152,0.6,0.4,NA,NA,96.0666707356771,91.3000030517578,NA,NA,-6.11460431416829,0.235018476843834,NA,NA,9.42712593078613,5.52008819580078,NA,NA,0.107161540538073,0.10757814347744,NA,NA,3.57205135126909,5.37890717387199,NA,NA,0,0.75,0.6,NA,1,1,0.8,22.75,NA,0.6,0.4,NA,NA,96.0228983561198,91.2217025756836,NA,NA,-5.03772989908854,1.17963147163391,NA,NA,8.1888001759847,4.27991485595703,NA,NA,0.107161540538073,0.10757814347744,NA,NA,3.57205135126909,5.37890717387199,NA,0,0.75,0.6,NA,1,1,0.8,1,91.9811019897461,-7.22559213638306,0,0,91.9811,0,0,"2024-08-21",0
