Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional,Rk,Player,Age,Team,Lg,IP,BA,OBP,SLG,OPS,BAbip,HR%,K%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24,Awards,-9999
1,Logan Gilbert,27,SEA,AL,2.8,9,12,0.429,3.23,33,33,0,1,0,0,208.2,148,83,75,26,37,1,220,4,0,11,803,113,3.27,0.887,6.4,1.1,1.6,9.5,5.95,ASCYA-6,gilbelo01,1,Logan Gilbert,27,SEA,AL,208.2,0.196,0.236,0.353,0.589,0.237,3.2,27.4,4.6,89,39.4,23.8,44.1,24.4,0.8,1.3,0.50%,17.91,ASCYA-6,gilbelo01
2,Seth Lugo,34,KCR,AL,5.3,16,9,0.64,3,33,33,0,1,0,0,206.2,177,75,69,16,48,1,181,9,0,4,836,141,3.25,1.089,7.7,0.7,2.1,7.9,3.77,ASCYA-2MVP-15GG,lugose01,2,Seth Lugo,34,KCR,AL,206.2,0.229,0.281,0.353,0.634,0.278,1.9,21.7,5.7,87.9,39,24.9,43.6,25.8,0.79,3.4,2.10%,33.49,ASCYA-2MVP-15GG,lugose01
3,Logan Webb,27,SFG,NL,3.7,13,10,0.565,3.47,33,33,0,1,1,0,204.2,202,83,79,11,50,3,172,2,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44,ASCYA-6,webblo01,3,Logan Webb,27,SFG,NL,204.2,0.258,0.302,0.355,0.657,0.316,1.3,20.5,5.9,89.7,46.3,23.2,57.1,17.3,1.33,1.3,0.90%,16.55,ASCYA-6,webblo01
4,Zack Wheeler,34,PHI,NL,6.1,16,7,0.696,2.57,32,32,0,0,0,0,200,139,62,57,20,52,0,224,8,0,8,787,158,3.13,0.955,6.3,0.9,2.3,10.1,4.31,ASCYA-2MVP-12,wheelza01,4,Zack Wheeler,34,PHI,NL,200,0.192,0.253,0.328,0.581,0.247,2.5,28.5,6.6,86.2,33.7,20.9,42.5,26,0.75,4.1,2.60%,39.88,ASCYA-2MVP-12,wheelza01
5,Aaron Nola,31,PHI,NL,3.6,14,8,0.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,114,3.94,1.199,8.5,1.4,2.3,8.9,3.94,CYA-11,nolaaa01,5,Aaron Nola,31,PHI,NL,199.1,0.247,0.295,0.421,0.717,0.294,3.7,24,6.1,88.1,38.3,24.6,44.2,24.4,0.8,1.5,0.90%,14.68,CYA-11,nolaaa01
6,Corbin Burnes,29,BAL,AL,3.4,15,9,0.625,2.92,32,32,0,0,0,0,194.1,165,76,63,22,48,0,181,2,3,7,784,128,3.55,1.096,7.6,1,2.2,8.4,3.77,ASCYA-5,burneco01,6,Corbin Burnes,29,BAL,AL,194.1,0.226,0.274,0.347,0.622,0.269,2.8,23.1,6.1,87.1,31.7,19.9,47.9,22.4,0.94,1.3,0.70%,17.99,ASCYA-5,burneco01
7,José Berríos,30,TOR,AL,2.2,16,11,0.593,3.6,32,32,0,1,0,0,192.1,168,79,77,31,54,1,153,13,0,1,786,112,4.72,1.154,7.9,1.5,2.5,7.2,2.83,,berrijo01,7,José Berríos,30,TOR,AL,192.1,0.235,0.3,0.406,0.706,0.258,3.9,19.5,6.9,89.3,42,24.1,42.7,26,0.75,1.1,0.50%,12.61,,berrijo01
8,Tarik Skubal*,27,DET,AL,6.3,18,4,0.818,2.39,31,31,0,0,0,0,192,142,54,51,15,35,0,228,9,0,2,753,170,2.49,0.922,6.7,0.7,1.6,10.7,6.51,ASCYA-1MVP-7,skubata01,8,Tarik Skubal*,27,DET,AL,192,0.201,0.247,0.311,0.558,0.273,2,30.3,4.6,86.9,34,21.8,45.5,24.7,0.85,4.4,2.00%,41.65,ASCYA-1MVP-7,skubata01
9,George Kirby,26,SEA,AL,1.9,14,11,0.56,3.53,33,33,0,0,0,0,191,181,82,75,22,23,0,179,7,1,5,778,104,3.26,1.068,8.5,1,1.1,8.4,7.78,,kirbyge01,9,George Kirby,26,SEA,AL,191,0.245,0.272,0.393,0.666,0.292,2.8,23,3,88.4,36.3,21.3,41.7,26.6,0.73,1.5,0.90%,8.78,,kirbyge01
10,Dylan Cease,28,SDP,NL,4.2,14,11,0.56,3.47,33,33,0,1,1,0,189.1,137,80,73,18,65,0,224,2,0,12,762,118,3.1,1.067,6.5,0.9,3.1,10.6,3.45,CYA-4MVP-22,ceasedy01,10,Dylan Cease,28,SDP,NL,189.1,0.2,0.269,0.332,0.601,0.266,2.4,29.4,8.5,88.5,38.7,22.4,39.4,30.7,0.66,1.7,0.90%,16.46,CYA-4MVP-22,ceasedy01
