Tm,RA/G,W-L%,ERA,BA,OBP,SLG,OPS,BAbip
Arizona Diamondbacks,4.92,0.417,4.84,0.253,0.336,0.462,0.798,0.295
Atlanta Braves,4.8,0.583,4.41,0.247,0.329,0.408,0.737,0.295
Baltimore Orioles,4.9,0.417,4.51,0.246,0.319,0.421,0.741,0.283
Boston Red Sox,5.85,0.4,5.58,0.281,0.365,0.484,0.849,0.334
Chicago Cubs,4,0.567,3.99,0.233,0.302,0.4,0.702,0.279
Chicago White Sox,4.1,0.583,3.81,0.226,0.309,0.379,0.688,0.271
Cincinnati Reds,4.05,0.517,3.84,0.215,0.303,0.374,0.677,0.279
Cleveland Indians,3.48,0.583,3.29,0.223,0.288,0.378,0.666,0.287
Colorado Rockies,5.88,0.433,5.59,0.28,0.353,0.477,0.83,0.308
Detroit Tigers,5.48,0.397,5.63,0.265,0.34,0.464,0.804,0.299
Houston Astros,4.58,0.483,4.31,0.239,0.322,0.407,0.729,0.289
Kansas City Royals,4.53,0.433,4.3,0.254,0.332,0.415,0.747,0.304
Los Angeles Angels,5.35,0.433,5.09,0.245,0.316,0.43,0.746,0.287
Los Angeles Dodgers,3.55,0.717,3.02,0.213,0.272,0.355,0.627,0.253
Miami Marlins,5.07,0.517,4.86,0.261,0.343,0.455,0.798,0.298
Milwaukee Brewers,4.4,0.483,4.16,0.229,0.307,0.385,0.692,0.297
Minnesota Twins,3.58,0.6,3.58,0.232,0.301,0.372,0.673,0.288
New York Mets,5.13,0.433,4.98,0.255,0.336,0.438,0.774,0.317
New York Yankees,4.5,0.55,4.35,0.236,0.305,0.421,0.726,0.282
Oakland Athletics,3.87,0.6,3.77,0.24,0.302,0.392,0.693,0.286
Philadelphia Phillies,5.18,0.467,5.14,0.279,0.348,0.468,0.816,0.344
Pittsburgh Pirates,4.97,0.317,4.68,0.235,0.332,0.416,0.747,0.281
San Diego Padres,4.02,0.617,3.86,0.234,0.301,0.389,0.689,0.29
Seattle Mariners,5.05,0.45,5.03,0.245,0.333,0.425,0.758,0.281
San Francisco Giants,4.95,0.483,4.64,0.241,0.322,0.41,0.731,0.283
St. Louis Cardinals,3.95,0.517,3.9,0.216,0.306,0.38,0.686,0.252
Tampa Bay Rays,3.82,0.667,3.56,0.238,0.305,0.391,0.696,0.293
Texas Rangers,5.2,0.367,5.02,0.242,0.329,0.419,0.749,0.279
Toronto Blue Jays,5.2,0.533,4.6,0.255,0.339,0.436,0.775,0.303
Washington Nationals,5.02,0.433,5.09,0.271,0.346,0.466,0.812,0.317
League Average,4.65,0.5,4.44,0.245,0.322,0.418,0.74,0.292
,4.65,0.5,4.44,0.245,0.322,0.418,0.74,0.292
