"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Andrew Abbott",29911,"2024-08-18","KCR",18,2024,"CIN","H",25,0,1,7.2,1,1,0,0,0,0,0,0,5,22,6,4,4,1,1,1,0,1,0,4,7.2,1.8,10.8,4,0,1,4,10,2,1,0,1,1,0.18181818,0.04545455,0.13636364,4.97527454296698,1.8,0.285714285714286,1.4,0.3125,0.53571429,4.7664797782898,2.4335202217102,5.19049659073353,164.159943541552,110.0117850333,127.221589227109,0.4,0.125,0.25,0.625,0.1,0.1,0,0,31,52,83,-0.136359959840775,-0.406809955835342,0.270449995994568,-1.19490003585815,-0.112992912530899,0.972583293914795,0.851400017738342,0.870000004768372,0.304000020027161,1,1,-0.0806830674409866,-0.0595208212068484,0,0,0.44578313,91.7027027,0.1686747,82.64285714,0.21686747,80.83333333,0.1686747,84.35714286,0.01204819,-1.78887510299683,0.170931413769722,0.2859787940979,0.417682200670242,-4.8347975756671,1.22093866978373,1.58877107832167,2.98344429050173,0.37735849,0.76666667,0.51807229,0.65,0.91304348,0.79069767,0.36144578,0.59090909,0.10843373,6,7,4,1,11,5,17,0.35294118,0.41176471,0.23529412,0.05882353,0.64705882,0.29411765,4.09900444212747,42,42.22367,41.18596,57.52274,57.98987,55.24457,69.18635,24.02623,44.15019,20,60.87978,67.20298,48.80396,34.22789,47.89334,35.09188,1.10527,5.735,74.08,115.76,101.2,93.02,107.66,102.92,89.72,79.48,67.28,115.98,94.64,99.64,91.9373170731707,94.2634146341463,86.0248780487805,0.44578313,0.1686747,0.21686747,0.1686747,91.627025707348,82.5499965122768,80.6888902452257,84.3500017438616,5.98364381532411,-6.93460083007812,-4.17059707641602,8.98956026349749,9.31813585436022,2.34532792227609,-1.4043673409356,7.50468717302595,-1.78875616192818,0.15238468721509,0.321453120559454,0.423103991895914,-4.8344761133194,1.08846205153636,1.78585066977474,3.0221713706851,0.34,0.75757576,0.5060241,0.58823529,0.92,0.78571429,0.39759036,19.1147541,0.1686747,0.20481928,0.44578313,0.18072289,84.455086844308,80.8056209788603,91.7298880912162,82.4800130208333,8.65952410016741,-4.53965490004596,5.66427364864865,-7.78925984700521,6.08371407645089,-2.92285178689396,8.460562216269,0.641559346516927,0.423103991895914,0.345696054399014,-1.78875616192818,0.12814175337553,3.0221713706851,2.03350620234714,-4.8344761133194,0.854278355836868,0.32,0.78787879,0.5060241,0.5625,0.92307692,0.78571429,0.39759036,17,87.5255126953125,26.2411994934082,1,0.05882353,104.688,5,0.29411765,"2024-08-18",0
"Andrew Abbott",29911,"2024-08-12","STL",18,2024,"CIN","H",25,1,0,1.35000012874605,1,1,1,0,0,0,0,0,6.2,28,5,1,1,0,2,0,1,0,0,6,8.10000077247627,2.70000025749209,6.75000064373022,3,0.111111111,0,9,8,1,0,1,1,0,0.21428571,0.07142857,0.14285714,4.1439918383795,0,0.2,1.05000010013581,0.263157894736842,0.875,2.71647973537445,-1.3664796066284,4.53088999587633,30.7799923494498,63.4209876872858,111.281718573868,1.125,0.055555555,0.5,0.444444444,0,0,6,8.10000077247627,31,62,93,0.200790017843246,-0.312050014734268,0.512840032577515,2.45709991455078,0.232349887490273,0.909964323043823,0.835714280605316,0.870000004768372,0.605000019073486,1,1,0.215111374855042,0.005545647358319,0,0,0.47311828,92.70454545,0.27956989,83.19230769,0.06451613,81,0.1827957,85.23529412,NA,2.29082202911377,0.73225861787796,-0.649908602237701,-1.44447195529938,5.20641370253129,2.81637929953062,-10.831810037295,-8.49689385470222,0.28846154,0.65853659,0.4516129,0.6,0.92592593,0.80952381,0.44086022,0.64285714,0.08602151,5,11,3,1,13,5,19,0.26315789,0.57894737,0.15789474,0.05263158,0.68421053,0.26315789,1.80209789278405,69,45.55359,36.59574,66.28837,68.40687,49.34533,68.3412,48.7399,47.65789,50.73361,63.44789,63.94903,60.75699,52.17985,49.8274,59.98044,-0.01001,4.06208,83.28,108.86,90.9,90.84,117.9,114.32,84.46,81.54,68.26,116.12,102.68,106.94,93.2352688172043,94.9535483870968,86.2632258064516,0.47311828,0.2688172,0.07526882,0.1827957,92.6363636363636,83.19599609375,81.1571393694196,85.1705896714154,5.74363222989169,-5.90035705566406,-4.38822909763881,8.24786466710708,9.18908413973722,2.73652038574219,-1.55494458334787,8.30224699132583,2.35425813868642,0.518898017704487,-0.481192383915186,-0.390047740191221,5.35058667883277,2.07559207081795,-6.87417691307408,-2.29439847171307,0.25581395,0.62,0.4516129,0.54545455,0.90322581,0.80952381,0.53763441,18.01538462,0.1827957,0.08602151,0.47311828,0.25806452,85.1598259420956,81.3716888427734,92.6328846324574,83.1917775472005,7.80599257525276,-4.98331356048584,5.25284229625355,-6.82756932576497,6.84256609748392,-2.27037978172302,8.15678613836115,1.28239862124125,-0.390047740191221,-0.715565245598555,2.35425813868642,0.753270879387856,-2.29439847171307,-8.94456556998193,5.35058667883277,3.13862866411606,0.25531915,0.65217391,0.4516129,0.5,0.93333333,0.80952381,0.49462366,19,88.2911161534927,18.3926319795496,1,0.05263158,104.167,6,0.31578947,"2024-08-12",0
"Andrew Abbott",29911,"2024-08-07","@MIA",18,2024,"CIN","A",25,0,1,10.8,1,1,0,0,0,0,0,0,5,23,6,6,6,3,3,0,0,1,0,7,12.6,5.4,10.8,2.33333333,0,0,7,5,1,0,0,0,0,0.30434783,0.13043478,0.17391304,3.87473096720933,5.4,0.3,1.8,0.3,0.625,9.96647977828979,0.833520221710206,3.67848818451166,246.239915312328,228.193317290603,90.682812007927,1.4,0.076923076,0.538461538,0.384615384,0,0.6,0,0,36,68,104,-0.317799985408783,-0.403900027275085,0.0861000418663025,-3.39000010490417,-0.337313443422318,0.401840001344681,0.324799984693527,0.870000004768372,0.0540000014007092,1,1,-0.209705024957657,-0.581156970725516,0,0,0.49038462,92.45098039,0.21153846,83.68181818,0.08653846,81.88888889,0.21153846,85.18181818,NA,-2.98707556724548,-0.0892215594649315,0.48619744181633,-0.328788757324219,-5.85701091616761,-0.405552543022416,5.40219379795922,-1.49449435147372,0.375,0.625,0.49038462,0.61904762,0.8,0.7254902,0.46153846,0.56521739,0.13461538,7,3,3,1,7,5,13,0.53846154,0.23076923,0.23076923,0.07692308,0.53846154,0.38461538,9.37031635567443,23,71.36815,39.12559,75.59859,40.95662,49.27949,35.93207,48.93111,43.03149,50.19115,57.46305,73.3084,57.86487,54.88351,47.75677,58.3006,-0.17798,3.81012,77.26,134.2,118.04,79.98,83.56,73.6,95.58,104,89.1,120.98,98.34,102.32,95.7276923076923,107.422307692308,96.6771153846154,0.49038462,0.21153846,0.08653846,0.21153846,92.4176432291667,83.622725053267,81.8111097547743,85.1636352539062,6.00880043179381,-6.20780944824219,-3.79725816514757,8.625244140625,9.83416748046875,3.17023606733842,-2.13005616929796,8.10351631858132,-3.00507621094584,-0.0938639566302299,0.533756598830223,-0.318542432039976,-5.89230629597224,-0.426654348319227,5.93062887589137,-1.44792014563626,0.26530612,0.69090909,0.49038462,0.61538462,0.76315789,0.7254902,0.52884615,18.45,0.21153846,0.09615385,0.49038462,0.20192308,85.3287741921165,81.9719421386719,92.6055836397059,83.8877069382441,8.2139365456321,-4.23180503845215,5.63338934206495,-6.87331136067708,6.46960171786222,-3.5859432220459,8.55656822054994,1.63160760062081,-0.318542432039976,0.498707894235849,-3.00507621094584,-0.0588152520358562,-1.44792014563626,4.98707894235849,-5.89230629597224,-0.280072628742173,0.32,0.64814815,0.49038462,0.625,0.77142857,0.7254902,0.51923077,13,92.9053297776442,0.230039193080022,3,0.23076923,106.86,7,0.53846154,"2024-08-07",0
"Andrew Abbott",29911,"2024-08-02","SFG",18,2024,"CIN","H",25,0,1,4.15384645857051,1,1,0,0,0,0,0,0,4.1,21,7,2,2,1,1,0,0,0,0,8,16.6153858342821,2.07692322928526,14.5384626049968,8,0.333333333,0,3,6,3,4,1,0,0,0.38095238,0.04761905,0.33333333,2.33054541277695,2.07692322928526,0.35,1.8461539815869,0.545454545454545,0.90909091,3.1664797782898,0.987366680280719,2.26002981271561,94.7076666832237,73.6482366464374,56.4047390630504,0.5,0.25,0.25,0.5,0.666666666,0.166666666,0,0,31,59,90,-0.0382400006055832,-0.355990022420883,0.317750006914139,-0.168900012969971,-0.0159716326743364,0.832285702228546,0.798000037670135,0.870000004768372,1.51399993896484,1,1,-0.226235553622246,0.18028979184454,0,0,0.5,92.37777778,0.32222222,83.31034483,0.04444444,82.25,0.13333333,84.66666667,NA,-1.86158764362335,1.15633857250214,0.00901595503091812,-0.757898509502411,-4.13686143027412,3.9873743879384,0.225398875772953,-6.31582091252009,0.27083333,0.64285714,0.44444444,0.61538462,0.88888889,0.8,0.46666667,0.47619048,0.08888889,6,3,3,4,4,4,12,0.5,0.25,0.25,0.33333333,0.33333333,0.33333333,3.02530713262099,46,44.55992,34.48496,52.84224,27.6566,53.6771,20.18259,40.8331,46.08289,39.29165,80,65.26117,76.07292,52.71321,50.69686,52.9011,-0.04315,4.01237,86.58,109.82,97.48,83.98,73.32,71.16,83.66,103.44,90.12,123.4,115.2,126.04,96.8686666666667,106.741333333333,101.832888888889,0.5,0.32222222,0.04444444,0.13333333,92.3022243923611,83.3275862068966,82.25,84.5166676839193,5.24119093153212,-6.76441797716864,-4.6717472076416,7.45481427510579,9.34868977864583,2.77253065438106,-2.43618535995483,6.62994130452474,-1.87325710430741,1.14984260126948,0.00863132625818253,-0.772265672683716,-4.16279356512758,3.96497448713615,0.215783156454563,-6.4355472723643,0.27272727,0.60869565,0.44444444,0.66666667,0.85714286,0.8,0.51111111,17.66176471,0.13333333,0.05555556,0.5,0.31111111,84.5008443196615,82.1876831054688,92.3049696180556,83.3592529296875,6.83202425638835,-5.83864784240723,4.5863274468316,-7.85995319911412,5.43169720967611,-3.52009391784668,8.46383734809028,1.55593476976667,-0.772265672683716,0.0666012689471245,-1.87325710430741,1.09187265858054,-6.4355472723643,1.33202537894249,-4.16279356512758,3.89954520921622,0.31818182,0.56521739,0.44444444,0.71428571,0.84615385,0.8,0.51111111,12,89.9452412923177,27.9447530110677,2,0.16666667,112.155,4,0.33333333,"2024-08-02",0
"Andrew Abbott",29911,"2024-07-27","@TBR",18,2024,"CIN","A",25,0,1,9,1,1,0,0,0,0,0,0,4,21,8,4,4,2,2,0,0,0,0,2,4.5,4.5,18,1,0,0,2,11,3,2,0,1,0,0.0952381,0.0952381,0,7.51558849249848,4.5,0.421052631578947,2.5,0.4,0.83333333,10.1664797782898,-1.16647977828979,7.82450289539993,205.19992942694,232.738760838961,190.874257535095,0.181818181,0.1875,0.125,0.6875,0.181818181,0.181818181,0,0,28,60,88,-0.178525969386101,-0.430486023426056,0.251960039138794,-2.79699993133545,-0.307193845510483,0.93810909986496,0.83652001619339,0.870000004768372,0.252799987792969,1,1,-0.426330715417862,0.236026656527697,0,0,0.64772727,92.80701754,0.14772727,83.53846154,0.11363636,80.7,0.09090909,85.125,NA,-1.7060809135437,-1.67637658119202,-0.805182337760925,-0.450235486030579,-2.99312440972579,-12.8952044707078,-8.05182337760925,-5.62794357538223,0.38,0.81578947,0.56818182,0.73684211,0.87096774,0.82,0.43181818,0.71428571,0.10227273,3,6,8,3,7,7,17,0.17647059,0.35294118,0.47058824,0.17647059,0.41176471,0.41176471,9.65833964559889,22,35.16719,44.76621,40.93513,57.86444,53.10278,59.63712,61.78821,53.25041,58.0144,67.2734,70.86263,56.73601,60.39822,52.3465,57.97709,-0.52059,3.29621,80.36,89.5,78.02,87.38,90.76,90.1,97.32,102.52,99.88,126.76,102.58,110.76,99.0170114942529,99.98,98.3714942528736,0.64772727,0.14772727,0.11363636,0.09090909,92.6999982867325,83.5692326472356,80.6700012207031,84.9875030517578,6.22576101202714,-6.99805098313552,-6.20275382995605,9.38143730163574,10.3484529194079,3.4823496891902,-1.69974308013916,8.09613990783691,-1.67379751056433,-1.69729562848806,-0.814962960779667,-0.455960385501385,-2.93648686063917,-13.056120219139,-8.14962960779667,-5.69950481876731,0.30952381,0.80434783,0.56818182,0.76923077,0.83783784,0.82,0.52272727,18.36363636,0.09090909,0.11363636,0.64772727,0.14772727,85.038200378418,80.6986328125,92.7658819901316,83.6280141977163,9.2902135848999,-6.16478996276855,6.01447122138843,-7.31826840914213,6.3085241317749,-3.46640205383301,9.0236602247807,1.79051193824181,-0.455960385501385,-0.814962960779667,-1.67379751056433,-1.69729562848806,-5.69950481876731,-8.14962960779667,-2.93648686063917,-13.056120219139,0.30769231,0.7755102,0.56818182,0.75,0.84210526,0.82,0.55681818,17,90.5592880249023,32.4954566955566,5,0.29411765,106.105,7,0.41176471,"2024-07-27",0
"Andrew Abbott",29911,"2024-07-21","@WSN",18,2024,"CIN","A",25,0,0,0,1,1,1,0,0,0,0,0,6.2,28,6,2,0,0,3,0,0,0,0,1,1.35000012874605,4.05000038623813,8.10000077247627,0.33333333,0.111111111,0,9,9,6,2,1,0,0,0.03571429,0.10714286,-0.07142857,7.06042041948357,0,0.24,1.35000012874605,0.25,0.77777778,4.21647987842561,-4.21647987842561,6.25769142149023,0,97.5118175511243,153.01112452997,1,0.25,0.375,0.375,0.222222222,0,2,2.70000025749209,35,68,103,0.15929202735424,-0.445968061685562,0.605260074138641,1.33599996566772,0.138733133673668,1.14499998092651,1.10931432247162,0.870000004768372,0.805199980735779,1,1,0.122503772377968,0.0166159044846852,0,0,0.45631068,92.63829787,0.36893204,83,0.05825243,80.66666667,0.11650485,84.5,NA,0.480918675661087,0.699325680732727,-0.413787513971329,-0.13559103012085,1.02323122481082,1.84033073877033,-6.89645856618881,-1.12992525100708,0.38983051,0.75,0.54368932,0.82608696,0.78787879,0.80357143,0.42718447,0.64285714,0.10679612,12,7,5,2,9,13,24,0.5,0.29166667,0.20833333,0.08333333,0.375,0.54166667,5.43669553417764,57,20,39.22396,20,75.78245,53.19,79.79081,46.86656,43.78505,52.4504,64.44603,63.398,61.48528,49.98081,51.25357,53.24222,0.1266,4.26699,83.62,59.66,48.16,93.36,128.88,114.76,82.6,92,73.52,117.84,91.66,104.02,96.3467961165048,90.2551456310679,84.2201941747573,0.45631068,0.36893204,0.05825243,0.11650485,92.6170212765958,82.9921039782072,80.5666656494141,84.4249979654948,5.63224500290891,-5.63690506784539,-4.94034767150879,6.88561503092448,8.92405733149102,3.34951742071854,-2.23452663421631,7.47252082824707,0.54650492593646,0.683999143540859,-0.420705892145634,-0.0997880771756172,1.16277643816268,1.79999774616016,-7.01176486909389,-0.83156730979681,0.3125,0.74545455,0.54368932,0.73333333,0.82926829,0.80357143,0.53398058,18.26027397,0.11650485,0.05825243,0.45631068,0.36893204,84.2402852376302,80.3902638753255,92.4435775432181,82.8109130859375,6.37835184733073,-5.83065541585286,5.14309205400183,-6.62205505371094,6.29557228088379,-3.66516494750977,7.99962859458112,2.11369644968133,-0.0997880771756172,-0.420705892145634,0.54650492593646,0.683999143540859,-0.83156730979681,-7.01176486909389,1.16277643816268,1.79999774616016,0.32,0.75471698,0.54368932,0.75,0.825,0.80357143,0.51456311,24,91.3323567708333,19.9376525878906,3,0.125,109.037,10,0.41666667,"2024-07-21",0
"Andrew Abbott",29911,"2024-07-13","MIA",18,2024,"CIN","H",25,0,0,13.5000012874604,1,1,0,0,0,0,0,0,3.1,19,7,5,5,2,2,0,0,1,0,4,10.8000010299684,5.40000051498418,18.9000018024446,2,0.2,0,5,5,3,0,1,0,0,0.21052632,0.10526316,0.10526316,4.64104210121389,5.40000051498418,0.411764705882353,2.70000025749209,0.454545454545455,0.64516129,10.3664804649354,3.13352082252508,4.83449254669669,307.799923494498,237.284219992862,118.618493899952,1,0.23076923,0.384615384,0.384615384,0,0.4,4,10.8000010299684,31,47,78,-0.20783993601799,-0.537249982357025,0.329410076141357,-1.72990000247955,-0.163583934307098,1.09561908245087,0.989499986171722,0.870000004768372,2.42000007629395,1,1,-0.376154631376266,0.186453722230856,0,0,0.57692308,92.84444444,0.15384615,83.25,0.07692308,79.33333333,0.19230769,84,NA,-3.15181660652161,0.0285152234137058,0.337297081947327,-0.476183593273163,-7.00403690338135,0.237626861780882,5.62161803245544,-3.17455728848775,0.30434783,0.5625,0.41025641,0.78571429,0.83333333,0.8125,0.41025641,0.57894737,0.07692308,6,5,2,1,6,6,13,0.46153846,0.38461538,0.15384615,0.07692308,0.46153846,0.46153846,10.3861825070634,19,57.00247,42.99309,59.10042,20,51.08018,20,46.07005,44.96444,51.97488,39.99434,61.95624,39.68729,40.54584,44.92083,45.48511,0.71276,5.14623,88.44,111.86,103.94,95.82,65.08,64.86,86.48,96.96,81.78,126.54,57.54,67.9,92.9981578947368,91.7776315789474,82.7689473684211,0.57692308,0.14102564,0.08974359,0.19230769,92.7333333333333,83.3545476740057,79.7857142857143,84.086669921875,6.30550876193576,-5.07126131924716,-5.09306444440569,8.5492930094401,9.03751695421007,3.31015500155362,-2.08161067962646,6.37355499267578,-3.1262634806335,0.116002351045609,0.233197763562202,-0.48668609559536,-6.94725217918555,1.05456682768735,3.33139662231718,-3.24457397063573,0.25581395,0.6,0.41025641,0.72727273,0.85714286,0.8125,0.44871795,17.40677966,0.19230769,0.07692308,0.57692308,0.15384615,83.8211344401042,79.0937652587891,92.4771050347222,83.0122884114583,7.90742390950521,-5.66749636332194,5.69668918185764,-6.36423174540202,4.93160349527995,-3.91935507456462,8.03617350260417,1.44410133361816,-0.48668609559536,0.322993695735931,-3.1262634806335,0.0262064188718796,-3.24457397063573,5.38322826226552,-6.94725217918555,0.21838682393233,0.26190476,0.58333333,0.41025641,0.72727273,0.85714286,0.8125,0.46153846,13,90.3338341346154,15.2440032958984,1,0.07692308,106.639,6,0.46153846,"2024-07-13",0
"Andrew Abbott",29911,"2024-07-08","COL",18,2024,"CIN","H",25,1,0,0,1,1,1,0,0,0,0,0,7,25,3,0,0,0,2,0,0,0,0,8,10.2857142857143,2.57142857142857,3.85714285714286,4,0,0,4,7,3,2,0,1,0,0.32,0.08,0.24,3.22779308401489,0,0.130434782608696,0.714285714285714,0.2,1,1.73790834971837,-1.73790834971837,3.24991675594023,0,41.1807827295958,80.3260733240415,0.571428571,0.214285714,0.285714285,0.5,0.285714285,0,2,2.57142857142857,31,75,106,0.43488997220993,-0.169110029935837,0.60400003194809,3.92709994316101,0.371356964111328,1.02403998374939,1.09214282035828,0.870000004768372,1.51600003242493,1,1,0.360559672117233,0.0641209840204667,0,0,0.5,93.60377358,0.23584906,84.24,0.09433962,80.7,0.16981132,84.27777778,NA,1.47923398017883,0.0847054347395897,0.307968437671661,1.37052345275879,2.79100750977138,0.338821738958359,3.07968437671661,7.61401918199327,0.43333333,0.7826087,0.58490566,0.65384615,0.75,0.70967742,0.43396226,0.8,0.16981132,5,4,6,3,10,2,15,0.33333333,0.26666667,0.4,0.2,0.66666667,0.13333333,1.67481914589932,80,44.68652,50.65306,49.69308,80,51.97688,80,54.78864,46.13966,61.03166,69.85773,71.84637,62.48446,60.23949,52.98892,65.79782,-0.51073,3.311,92.54,82.96,72.88,89.06,127.08,125.54,91.64,97.18,80.74,121.58,125.82,139.68,98.6107547169811,104.340754716981,97.532641509434,0.5,0.23584906,0.09433962,0.16981132,93.5509470813679,84.172001953125,80.8,84.3000013563368,5.82023419074292,-5.30369323730469,-4.45956344604492,8.88028293185764,8.87753871701798,3.88833679199219,-1.34489908218384,8.39835188123915,1.51091973111033,0.0870540514588356,0.311250012367964,1.43070166185498,2.8507919454912,0.348216205835342,3.11250012367964,7.94834256586101,0.32653061,0.80701754,0.58490566,0.625,0.73913043,0.70967742,0.53773585,18.12345679,0.16981132,0.09433962,0.5,0.23584906,84.2258639865451,80.71826171875,93.5013082252358,84.1019140625,8.191162109375,-5.29985580444336,5.24511027785967,-6.48141906738281,7.0439084370931,-2.59261798858643,7.95886172888414,2.54563949584961,1.43070166185498,0.311250012367964,1.51091973111033,0.0870540514588356,7.94834256586101,3.11250012367964,2.8507919454912,0.348216205835342,0.35416667,0.77586207,0.58490566,0.64705882,0.73333333,0.70967742,0.54716981,15,84.5088675362723,25.0229339599609,0,0,101.629,5,0.33333333,"2024-07-08",0
"Andrew Abbott",29911,"2024-07-03","@NYY",18,2024,"CIN","A",25,1,0,1.42105270290639,1,1,1,0,0,0,0,0,6.1,26,3,1,1,0,4,0,0,1,0,2,2.84210540581279,5.68421081162557,4.26315810871918,0.5,0,0,7,10,3,1,0,0,0,0.07692308,0.15384615,-0.07692308,7.34721133259357,0,0.136363636363636,1.10526321337164,0.15,0.85714286,4.42963773642881,-3.00858503352242,6.81701955029411,32.3999904831504,102.356302603336,166.527693489963,0.7,0.15,0.35,0.5,0.1,0,3,4.26315810871918,38,60,98,0.304444044828415,-0.213739991188049,0.518184006214142,2.76699995994568,0.287331253290176,0.996118485927582,1.01714289188385,0.870000004768372,1.457200050354,1,1,0.200301706790924,0.105328646554961,0,0,0.52040816,93.78431373,0.19387755,83.05263158,0.12244898,82.25,0.16326531,85.6875,NA,-0.684969127178192,1.35498106479645,0.570660948753357,0.638864994049072,-1.34307671995724,7.13147928840236,4.75550790627798,3.9929062128067,0.13333333,0.56603774,0.36734694,0.66666667,0.93333333,0.88888889,0.54081633,0.46153846,0.04081633,6,11,3,2,12,6,20,0.3,0.55,0.15,0.1,0.6,0.3,4.31559454067522,63,52.9899,50.30192,50.24069,57.37993,57.53888,56.76469,50.35726,50.35028,47.39497,71.77356,74.27539,53.85051,54.94218,55.22302,49.53444,-0.18163,3.80465,92.32,99.24,94.8,84.12,105.98,101.92,87.5,106.34,101.18,120.48,121.16,120.56,94.2872164948454,108.100412371134,104.081030927835,0.52040816,0.19387755,0.12244898,0.16326531,93.7235274969363,82.9894762541118,82.0166625976562,85.7874984741211,6.5124158672258,-6.37971617046155,-4.38678741455078,10.0874900817871,9.40817141065411,2.69747744108501,-2.05765501658122,5.96672296524048,-0.666745886206627,1.39518678188324,0.576971828937531,0.62663758546114,-1.30734487491495,7.34308832570126,4.80809857447942,3.91648490913212,0.11904762,0.55357143,0.36734694,0.6,0.90322581,0.86111111,0.57142857,17.26760563,0.16326531,0.13265306,0.52040816,0.18367347,85.6136932373047,82.1187274639423,93.5662530637255,82.6690402560764,9.41295719146729,-4.98632636437049,5.80667652803309,-7.77098931206597,4.85545873641968,-3.15079791729267,8.51388789158241,1.63718340131972,0.62663758546114,0.448904477059841,-0.666745886206627,1.52325413376093,3.91648490913212,3.45311136199878,-1.30734487491495,8.4625229653385,0.12195122,0.54385965,0.36734694,0.6,0.90322581,0.86111111,0.58163265,20,87.1563842773437,27.8913177490234,1,0.05,106.078,5,0.25,"2024-07-03",0
"Andrew Abbott",29911,"2024-06-27","@STL",18,2024,"CIN","A",25,1,0,3.6,1,1,0,0,0,0,0,0,5,23,2,2,2,1,6,0,0,0,0,2,3.6,10.8,3.6,0.33333333,0.166666666,0,6,7,2,0,1,0,0,0.08695652,0.26086957,-0.17391304,9.04393702918504,1.8,0.117647058823529,1.6,0.0714285714285714,0.90909091,8.5664797782898,-4.9664797782898,8.08329154700041,82.0799717707759,196.375212452098,197.128072559384,0.857142857,0.133333333,0.4,0.466666666,0,0.142857142,10,18,45,57,102,0.0574480146169662,-0.31047198176384,0.367920011281967,0.400000035762787,0.0421940870583057,0.906782627105713,0.619920015335083,0.923600018024445,0.092799998819828,1,1,-0.125909924507141,0.189263602554911,0,0,0.58823529,93,0.12745098,82.30769231,0.10784314,81.45454545,0.17647059,85.22222222,NA,-0.742276787757874,0.50197958946228,-0.0695812255144119,0.534752070903778,-1.23712797959646,3.86138145740216,-0.632556595585563,2.97084483835432,0.28169014,0.58064516,0.37254902,0.7,1,0.84210526,0.30392157,0.60869565,0.05882353,4,11,0,1,9,5,15,0.26666667,0.73333333,0,0.06666667,0.6,0.33333333,9.36420746674843,44,55.48504,43.75463,58.8681,52.75739,52.92185,53.58008,36.57653,46.77688,36.78982,31.49858,66.60101,20,36.25474,46.47222,36.19558,0.97935,5.54612,74.88,130.96,118.98,92.02,96.28,91.2,86.1,79.4,64.94,115.74,58.14,68.42,88.2667326732673,87.9013861386139,77.8443564356436,0.58823529,0.12745098,0.10784314,0.17647059,92.9600016276042,82.1846172626202,81.2999988902699,85.1000027126736,5.46023152669271,-6.81128457876352,-4.57867154208097,8.86493852403429,9.6012461344401,2.60678335336538,-1.07399030165239,6.56035402086046,-0.709440998733044,0.547250557690859,-0.0727949067950249,0.53543595969677,-1.18240166455507,4.20961967454507,-0.661771879954771,2.97464422053761,0.24074074,0.52083333,0.37254902,0.53846154,1,0.84210526,0.47058824,18.46835443,0.17647059,0.1372549,0.58823529,0.09803922,85.4171820746528,81.931640625,93.2949788411458,82.3161743164062,8.26905653211806,-4.96248299734933,4.73865254720052,-9.0861946105957,5.59906260172526,-1.38368388584682,8.65686950683594,1.75107002258301,0.53543595969677,0.394230056554079,-0.709440998733044,0.0802255943417549,2.97464422053761,2.81592897538628,-1.18240166455507,0.802255943417549,0.23076923,0.52,0.37254902,0.58333333,0.96153846,0.84210526,0.49019608,15,89.5565592447917,12.8254170735677,3,0.2,108.713,5,0.33333333,"2024-06-27",0
