"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFC%","piFS%","piSI%","piSL%","pivCU","pivFC","pivFS","pivSI","pivSL","piCU-X","piFC-X","piFS-X","piSI-X","piSL-X","piCU-Z","piFC-Z","piFS-Z","piSI-Z","piSL-Z","piwCU","piwFC","piwFS","piwSI","piwSL","piwCU/C","piwFC/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Brad Keller",15734,"2024-08-26","TOR",3,2024,"BOS","H",28,0,1,6.75,1,0,0,0,0,0,0,0,4,23,7,5,3,1,2,0,1,0,0,2,4.5,4.5,15.75,1,0,0,9,5,3,1,0,1,0,0.08695652,0.08695652,0,5.26531509679648,2.25,0.35,2.25,0.352941176470588,0.58139535,7.6664797782898,-0.916479778289795,6.30649028606713,158.536488246807,187.714807744549,155.044681970458,1.8,0.176470588,0.529411764,0.294117647,0.2,0.2,2,4.5,28,47,75,-0.46000799536705,-0.637524008750916,0.177516013383865,-2.81200003623962,-0.270905584096909,0.702556550502777,0.486400008201599,1.26160001754761,0.331999987363815,1,1,-0.215830832719803,-0.438932111327691,0,1,0.44,94.87878788,0.53333333,85.725,NA,NA,0.02666667,91.5,NA,-2.56295442581177,-0.334933310747147,NA,0.0334886722266674,-7.76652856306596,-0.837333276867867,NA,1.67443361133337,0.28888889,0.7,0.45333333,0.53846154,1,0.82352941,0.4,0.56521739,0.08,6,5,7,2,11,5,18,0.33333333,0.27777778,0.38888889,0.11111111,0.61111111,0.27777778,7.27395809940227,NA,NA,NA,NA,NA,NA,NA,57.55818,47.77702,62.9556,38.63947,50.91192,31.82227,55.63163,44.0926,53.66251,58.12648,46.43485,59.25578,-0.37946,3.5079,NA,NA,NA,NA,NA,NA,81.64,109.08,97.66,80.92,96.78,80.34,110.7395,106.9745,114.9075,97.3305405405405,107.277027027027,106.046756756757,0.41333333,0.05333333,0.53333333,NA,NA,94.9741919732863,92.3499984741211,85.7125,NA,NA,-0.25412344163464,-6.4072904586792,4.71261138916016,NA,NA,8.17667216639365,5.66726779937744,-1.30037670135498,NA,NA,-0.878101263195276,-1.7334562651813,-0.345358595252037,NA,NA,-2.83258471998476,-43.3364066295326,-0.863396488130093,NA,NA,0.22222222,0.66666667,0.45333333,0.25,1,0.82352941,0.52,16.76923077,NA,0.41333333,0.02666667,0.02666667,0.53333333,NA,95.0672568044355,91.5384063720703,93.3488006591797,85.7932983398437,NA,0.285927987867786,-5.53719997406006,-6.44117498397827,5.45042839050293,NA,7.24831365769909,4.39334964752197,4.52601528167725,-2.75144729614258,NA,-0.878101263195276,0.0337270088493824,-1.76718327403069,-0.345358595252037,NA,-2.83258471998476,1.68635044246912,-88.3591637015343,-0.863396488130093,0.22222222,0.66666667,0.45333333,0.25,1,0.82352941,0.52,18,87.9288258272059,8.86694246179917,1,0.05555556,112.305,5,0.27777778,"2024-08-26",0
"Brad Keller",15734,"2024-08-10","HOU",3,2024,"BOS","H",28,0,1,6.75,1,0,0,0,0,0,0,0,4,20,6,3,3,2,2,0,0,0,0,6,13.5,4.5,13.5,3,0.142857142,0,7,3,2,0,1,0,0,0.3,0.1,0.2,2.94272908401489,4.5,0.333333333333333,2,0.4,0.96153846,8.16647977828979,-1.41647977828979,2.8004860829562,158.536488246807,200.076994683876,67.823818419998,2.333333333,0.166666666,0.583333333,0.25,0,0.666666666,2,4.5,29,45,74,-0.174871981143951,-0.45116400718689,0.276292026042938,-0.811999976634979,-0.0782273709774017,0.880119979381561,0.968100011348724,0.916800022125244,0.54040002822876,1,1,-0.234427124261856,0.0357360534525902,0,1,0.55405405,93.63414634,0.39189189,84.44827586,NA,NA,0.05405405,89.75,NA,-0.0433367118239403,-1.83677589893341,NA,-0.263654589653015,-0.105699297131562,-6.33370999632211,NA,-6.59136474132538,0.3255814,0.64516129,0.45945946,0.57142857,0.85,0.73529412,0.41891892,0.5,0.12162162,7,4,1,1,4,7,12,0.58333333,0.33333333,0.08333333,0.08333333,0.33333333,0.58333333,7.94590294591353,NA,20,42.4903,20,NA,NA,NA,31.74416,45.15233,26.71103,36.06207,59.83574,27.1033,59.52157,37.39592,68.44472,41.14199,43.88157,41.22306,0.67573,5.09069,73.3,3.74000000000001,-8.81999999999999,NA,NA,NA,80.64,81.74,68.56,84.7,91.2,83.48,110.255172413793,108.946896551724,110.76275862069,92.727027027027,90.2313513513513,84.1421621621622,0.33783784,0.21621622,0.39189189,NA,0.05405405,94.10400390625,92.8249969482422,84.3793103448276,NA,89.7750015258789,-0.838358001708984,-6.62199878692627,4.60535930765086,NA,-7.09465789794922,8.23723571777344,4.6532096862793,-1.42629833879142,NA,4.47355461120605,-0.36349917948246,0.308924548327923,-1.82989123091102,NA,-0.270023636519909,-1.45399671792984,1.93077842704952,-6.30996976176213,NA,-6.75059091299772,0.275,0.67647059,0.45945946,0.45454545,0.86956522,0.73529412,0.45945946,16.5,NA,0.33783784,0.05405405,0.21621622,0.39189189,NA,94.058759765625,89.6958236694336,92.7722091674805,84.322964372306,NA,-0.464113540649414,-6.86152267456055,-6.48101186752319,5.29555222083782,NA,7.42103088378906,3.23451256752014,3.6416175365448,-2.66975034516433,NA,-0.36349917948246,-0.270023636519909,0.308924548327923,-1.82989123091102,NA,-1.45399671792984,-6.75059091299772,1.93077842704952,-6.30996976176213,0.26315789,0.66666667,0.45945946,0.5,0.83333333,0.73529412,0.48648649,12,92.7710164388021,11.4739863077799,2,0.16666667,106.182,8,0.66666667,"2024-08-10",0
"Brad Keller",15734,"2024-06-23","@CIN",3,2024,"BOS","A",28,0,0,27,1,0,0,0,0,0,0,0,1,8,4,3,3,0,0,0,1,0,0,1,9,0,36,1,0,0,1,2,3,0,0,0,0,0.125,0,0.125,4.52146345901489,0,0.571428571428571,4,0.666666666666667,0.4,4.1664797782898,22.8335202217102,7.19049659073353,634.145952987227,101.179499169259,177.036610333989,0.5,0.5,0.166666666,0.333333333,0,0,0,0,10,21,31,-0.0784099996089935,-0.186449989676476,0.108039997518063,-2.43900012969971,-0.230638295412064,0.919124960899353,0.354999989271164,0.354999989271164,1.15699994564056,1,1,-0.172468140721321,0.0871587399927518,0,1,0.51612903,93.625,0.4516129,85.64285714,0.03225806,82,NA,NA,NA,-0.787039458751678,-0.0892090350389481,-0.851227700710297,NA,-4.91899661719799,-0.637207393135343,-85.1227700710297,NA,0.4,0.81818182,0.5483871,0.75,0.88888889,0.82352941,0.35483871,0.75,0.09677419,0,5,1,1,2,3,6,0,0.83333333,0.16666667,0.16666667,0.33333333,0.5,9.0804231579283,NA,NA,NA,NA,NA,NA,NA,28.86877,45.75782,44.13537,NA,NA,NA,65.13095,36.57047,74.1267,43.75342,39.33894,61.15481,0.51349,4.84733,NA,NA,NA,NA,NA,NA,86.06,77.1,53.66,NA,NA,NA,111.057333333333,115.213333333333,115.98,98.1554838709677,95.541935483871,83.8148387096774,0.51612903,NA,0.48387097,NA,NA,93.4937515258789,NA,85.3399983723958,NA,NA,0.906278729438782,NA,2.96045125325521,NA,NA,6.86421775817871,NA,-1.53639399210612,NA,NA,-0.80345480889082,NA,-0.952159062027931,NA,NA,-5.02159255556762,NA,-6.34772708018621,NA,NA,0.375,0.73333333,0.5483871,0.83333333,0.81818182,0.82352941,0.48387097,18.47826087,NA,0.48387097,NA,0.03225806,0.48387097,NA,93.7386800130208,NA,93.1312026977539,85.5329671223958,NA,1.06032015482585,NA,-2.23042011260986,3.15730133056641,NA,6.22226867675781,NA,1.82833003997803,-2.98600006103516,NA,-0.782407857477665,NA,-0.0210469514131546,-0.952159062027931,NA,-5.21605238318443,NA,-2.10469514131546,-6.34772708018621,0.41176471,0.71428571,0.5483871,0.85714286,0.8,0.82352941,0.4516129,6,93.530995686849,16.7192357381185,0,0,100.79,5,0.83333333,"2024-06-23",0
"Brad Keller",15734,"2024-06-21","@CIN",3,2024,"BOS","A",28,0,0,0,1,0,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,1,0,0,0,6.75000160932579,6.75000160932579,0,0.333333333,0,3,1,1,0,1,0,0,0,0.16666667,-0.16666667,7.11795129545234,0,0.2,1.50000035762795,0.2,1,5.41648031473173,-5.41648031473173,6.55048688976636,0,132.084979780768,161.114724459039,3,0.2,0.6,0.2,0,0,0,0,8,11,19,0.0205399561673403,-0.0168800242245197,0.0374199785292149,1.03100001811981,0.0974940955638885,0.293285727500916,0.243000000715256,0.465000003576279,NA,0,1,0.0392921790480614,0.0307417647867138,0,0,0.42105263,94.375,0.57894737,85.72727273,NA,NA,NA,NA,NA,0.603628695011139,-0.948314428329468,NA,NA,7.54535868763924,-8.62104025754062,NA,NA,0.2,0.77777778,0.47368421,1,1,1,0.47368421,0.5,0,3,0,2,0,5,0,5,0.6,0,0.4,0,1,0,6.65434616467056,NA,NA,NA,NA,NA,NA,NA,48.32357,47.02416,51.50489,NA,NA,NA,61.07288,37.80438,72.3922,57.72351,42.03556,68.62809,-0.35442,3.54546,NA,NA,NA,NA,NA,NA,84.82,116.12,102.3,NA,NA,NA,104.414545454545,104.145454545455,112.507272727273,96.1642105263158,109.187368421053,108.209473684211,0.42105263,NA,0.57894737,NA,NA,94.4499969482422,NA,85.6363636363636,NA,NA,-0.0393454097211361,NA,3.40411376953125,NA,NA,7.95188999176025,NA,-1.5012356151234,NA,NA,0.653215851634741,NA,-0.968228723853827,NA,NA,8.16519814543426,NA,-8.80207930776206,NA,NA,0.11111111,0.8,0.47368421,1,1,1,0.52631579,16,NA,0.42105263,NA,NA,0.57894737,NA,94.4595031738281,NA,NA,85.6418734463778,NA,-0.128960251808167,NA,NA,3.55625464699485,NA,6.76029634475708,NA,NA,-3.0995400168679,NA,0.653215851634741,NA,NA,-0.968228723853827,NA,8.16519814543426,NA,NA,-8.80207930776206,0.11111111,0.8,0.47368421,1,1,1,0.52631579,5,84.7907409667969,2.09051628112793,0,0,97.8891,1,0.2,"2024-06-21",0
"Brad Keller",15734,"2024-06-17","@TOR",3,2024,"BOS","A",28,0,0,0,1,0,0,0,0,0,0,0,1.2,7,1,0,0,0,1,0,0,0,0,0,0,5.40000205993731,5.40000205993731,0,0,0,1,3,2,0,0,0,0,0,0.14285714,-0.14285714,8.65856580303473,0,0.166666666666667,1.20000045776385,0.166666666666667,1,4.96648046493556,-4.96648046493556,7.6880966343491,0,120.959015249069,189.415690047694,0.333333333,0.333333333,0.166666666,0.5,0,0,0,0,15,14,29,0.0288780014961958,-0.0123679991811514,0.0412460006773472,0.537999987602234,0.0568409934639931,0.252600014209747,0.489600002765656,0.56580001115799,0.521000027656555,1,1,0.0126903466880322,0.101632693184075,0,0,0.75862069,94.36363636,0.24137931,86.14285714,NA,NA,NA,NA,NA,0.137347996234894,0.333889216184616,NA,NA,0.624309073794972,4.76984594549452,NA,NA,0.16666667,0.72727273,0.37931034,1,0.875,0.90909091,0.37931034,0.57142857,0.03448276,2,2,2,1,3,2,6,0.33333333,0.33333333,0.33333333,0.16666667,0.5,0.33333333,8.35660007867794,NA,NA,NA,NA,NA,NA,NA,44.12414,50.30174,50.45299,NA,NA,NA,59.41571,58.45436,58.50741,39.16235,49.23642,44.78751,0.79871,5.27516,NA,NA,NA,NA,NA,NA,72.64,92.98,82.88,80.26,30.22,20.08,127.265714285714,110.508571428571,128.874285714286,86.088275862069,95.0468965517241,91.8165517241379,0.72413793,0.03448276,0.24137931,NA,NA,94.2571440197173,93,86.0714285714286,NA,NA,0.0925859553473336,-6.9811954498291,4.84678867885045,NA,NA,8.26356796991258,4.38379764556885,-0.00135946273803711,NA,NA,0.210873179137707,-0.0350487045943737,0.379215825349092,NA,NA,1.00415799589384,-3.50487045943737,5.41736893355846,NA,NA,0.1875,0.61538462,0.37931034,1,0.875,0.90909091,0.44827586,14.85714286,NA,0.68965517,NA,0.06896552,0.24137931,NA,94.7795532226562,NA,92.8858489990234,86.4652099609375,NA,0.539385986328125,NA,-4.11355972290039,5.51057434082031,NA,7.30648040771484,NA,3.4890251159668,-1.38300282614572,NA,0.24592188373208,NA,-0.0700974091887474,0.379215825349092,NA,1.2296094186604,NA,-3.50487045943737,5.41736893355846,0.1875,0.61538462,0.37931034,1,0.875,0.90909091,0.44827586,6,77.3804066975911,21.7953414916992,0,0,93.1284,0,0,"2024-06-17",0
"Brad Keller",15734,"2024-06-13","PHI",3,2024,"BOS","H",28,0,0,0,1,0,0,0,0,1,0,0,3,11,2,0,0,0,1,0,0,0,0,3,9,3,6,3,0.25,0,4,3,0,1,1,0,0,0.27272727,0.09090909,0.18181818,3.29361337895369,0,0.2,1,0.285714285714286,1,2.1664797782898,-2.1664797782898,3.67848818451166,0,51.7307514119506,89.6663768027962,1.333333333,0,0.571428571,0.428571428,0.333333333,0,0,0,17,29,46,0.021144038066268,-0.0133279841393232,0.0344720222055912,1.64100003242493,0.158092483878136,0.114654548466206,0.156266659498215,0.233599990606308,NA,0,1,0.152089670300484,0.0323254998704596,0,0,0.56521739,94.57692308,0.36956522,86.17647059,NA,NA,0.06521739,90,NA,1.07077491283417,0.192297756671906,NA,0.0578760392963886,4.11836504936218,1.13116327454062,NA,1.92920130987962,0.2962963,0.63157895,0.43478261,0.625,0.91666667,0.8,0.41304348,0.54545455,0.08695652,1,1,5,4,2,1,7,0.14285714,0.14285714,0.71428571,0.57142857,0.28571429,0.14285714,0.481044320267028,NA,38.49688,46.84532,38.11798,NA,NA,NA,51.20581,49.45226,63.93441,80,46.41563,80,33.30372,43.94641,30.05568,44.01229,46.10643,51.99417,0.49741,4.82321,88.74,114.32,99.18,NA,NA,NA,83.78,81.58,70.96,75.42,121.7,104.48,109.387058823529,75.4929411764706,85.4258823529412,93.2034782608696,83.21,79.6039130434783,0.54347826,0.02173913,0.36956522,NA,0.06521739,94.52,92.4000015258789,86.1411779067096,NA,89.9333292643229,-0.573388557434082,-6.8231954574585,4.87464994542739,NA,-7.0547726949056,8.86951599121094,6.16516923904419,-0.710608762853286,NA,4.22049109141032,1.02492952719331,0.039364367723465,0.192416843026876,NA,0.0582774616777897,4.09971810877323,3.9364367723465,1.13186378251104,NA,1.94258205592632,0.29166667,0.59090909,0.43478261,0.57142857,0.92307692,0.8,0.47826087,15.34285714,NA,0.54347826,0.06521739,0.02173913,0.36956522,NA,94.48595703125,89.8904012044271,92.4017028808594,86.0860452090993,NA,-0.33720100402832,-6.86228307088216,-6.39314985275269,5.3930071662454,NA,7.74569458007813,2.53409322102865,4.74981021881104,-2.24008133832146,NA,1.02492952719331,0.0582774616777897,0.039364367723465,0.192416843026876,NA,4.09971810877323,1.94258205592632,3.9364367723465,1.13186378251104,0.30434783,0.56521739,0.43478261,0.57142857,0.92307692,0.8,0.5,7,72.361820765904,12.9236515590123,0,0,104.71,1,0.14285714,"2024-06-13",0
"Brad Keller",15734,"2024-06-09","@CHW",3,2024,"BOS","A",28,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,2.28192628596661,58.7187657997406,0,0,0,1,0,0,0,0,4,8,12,0.0713220313191414,0,0.0713220313191414,0.906000018119812,0.0933539420366287,1.55049991607666,0.772899985313416,1.54579997062683,0.526999950408936,1,1,0.0459708459675312,2.85317684009453e-05,1,0,0.41666667,94.8,0.58333333,86.28571429,NA,NA,NA,NA,NA,0.387033104896545,0.129102736711502,NA,NA,7.74066209793091,1.84432481016432,NA,NA,0.5,0.75,0.58333333,0.75,0.66666667,0.71428571,0.33333333,0.5,0.16666667,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.1965034703625,NA,NA,NA,NA,NA,NA,NA,20,42.37846,20,NA,NA,NA,59.91924,42.46488,57.91744,28.50631,42.90962,37.25353,1.46073,6.26819,NA,NA,NA,NA,NA,NA,76.04,47.04,21.18,NA,NA,NA,116.64,129.4,134.38,99.7233333333333,95.0833333333333,87.2133333333333,0.41666667,NA,0.58333333,NA,NA,94.5599975585938,NA,86.4142892020089,NA,NA,-0.131655633449554,NA,3.29521533421108,NA,NA,8.84618835449219,NA,-1.99370615822928,NA,NA,0.391954779624939,NA,0.130029238760471,NA,NA,7.83909559249878,NA,1.85756055372102,NA,NA,0.5,0.75,0.58333333,0.75,0.66666667,0.71428571,0.33333333,20.7,NA,0.41666667,NA,NA,0.58333333,NA,94.7953186035156,NA,NA,86.6456386021205,NA,-0.0678504049777985,NA,NA,3.6862599509103,NA,7.8476921081543,NA,NA,-3.31060573032924,NA,0.391954779624939,NA,NA,0.130029238760471,NA,7.83909559249878,NA,NA,1.85756055372102,0.5,0.75,0.58333333,0.75,0.66666667,0.71428571,0.33333333,1,84.9918823242188,29.7851142883301,0,0,84.9919,0,0,"2024-06-09",0
"Brad Keller",15734,"2024-06-07","@CHW",3,2024,"BOS","A",28,0,0,4.5,1,0,0,0,0,0,0,0,2,8,1,1,1,0,1,0,0,0,0,2,9,4.5,4.5,2,0,0,1,3,1,0,0,0,0,0.25,0.125,0.125,4.49435408401489,0,0.142857142857143,1,0.2,0.5,2.6664797782898,1.8335202217102,4.9344923876226,105.690992164538,64.0929383512777,120.912708772717,0.333333333,0.2,0.2,0.6,0,0,0,0,15,20,35,0.00075801374623552,-0.00910997949540615,0.00986799318343401,-0.00599995255470276,-0.000618238002061844,0.0604999996721745,0.0790999978780746,0.108800001442432,NA,0,1,-0.0387616418302059,0.0512907947284356,0,0,0.38235294,94.69230769,0.61764706,86.80952381,NA,NA,NA,NA,0.02857143,0.216096833348274,0.246651411056519,NA,NA,1.66228333344826,1.17453052884056,NA,NA,0.3,0.64285714,0.44117647,0.5,0.88888889,0.73333333,0.41176471,0.375,0.11428571,2,2,1,0,4,1,5,0.4,0.4,0.2,0,0.8,0.2,2.99037066407864,NA,NA,NA,NA,NA,NA,NA,46.74201,48.90875,47.17682,NA,NA,NA,43.88533,50.58513,52.05661,44.53448,52.73793,50.20117,0.46496,4.77453,NA,NA,NA,NA,NA,NA,82.64,92.34,81.94,87.96,54.24,32.32,118.064761904762,87.4514285714286,104.100952380952,104.832941176471,87.0794117647059,92.7088235294117,0.32352941,0.05882353,0.61764706,NA,NA,94.9454567649148,93.8500061035156,86.8619035993304,NA,NA,0.577205571261319,-6.9172945022583,3.94066801525298,NA,NA,8.45623571222479,5.96002101898193,-1.00912166777111,NA,NA,0.382138002663851,-0.124844636768103,0.23255380243063,NA,NA,3.47398184239864,-6.24223183840513,1.10739905919347,NA,NA,0.26315789,0.66666667,0.44117647,0.4,0.9,0.73333333,0.44117647,16.62962963,NA,0.32352941,NA,0.05882353,0.61764706,NA,95.2151766690341,NA,94.1484069824219,87.1401599702381,NA,0.897431373596191,NA,-6.68422985076904,4.53751046316964,NA,7.25824113325639,NA,4.31918001174927,-2.51217378888811,NA,0.371332231909037,NA,-0.124844636768103,0.23255380243063,NA,3.37574756280942,NA,-6.24223183840513,1.10739905919347,0.27777778,0.625,0.44117647,0.4,0.9,0.73333333,0.47058824,5,89.9140747070312,26.1295623779297,1,0.2,107.577,1,0.2,"2024-06-07",0
"Brad Keller",15734,"2024-06-05","ATL",3,2024,"BOS","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,1,0,0,1,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,76.4551252906048,114.543946394147,2,0,0.666666666,0.333333333,0,0,0,0,5,8,13,0.000199973583221436,-0.000284047127934173,0.000484020711155608,0.546999990940094,0.0526974946260452,0.00333333318121731,0,0,NA,0,1,0.0484020709991455,0.011590006705012,0,0,0.30769231,94.25,0.61538462,85.875,NA,NA,0.07692308,90,NA,-0.0744560360908508,0.618184685707092,NA,0.054188709706068,-1.86140090227127,7.72730857133865,NA,5.4188709706068,0,0.66666667,0.46153846,NA,1,1,0.69230769,0.66666667,0,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,1.24622064202669,NA,38.7214,35.33429,48.68024,NA,NA,NA,80,51.34683,80,NA,NA,NA,71.07157,40.2651,78.59052,80,45.61224,80,-2.35519,0.54431,77.22,41.08,17.5,NA,NA,NA,78.72,223.72,199.32,NA,NA,NA,105.53,129.91,137.37,95.1030769230769,151.941538461538,147.210769230769,0.30769231,NA,0.61538462,NA,0.07692308,94.3249969482422,NA,85.8000030517578,NA,89.9000015258789,-0.113817147910595,NA,4.82421827316284,NA,-6.36384248733521,8.25343894958496,NA,-2.27191734313965,NA,4.46996450424194,-0.0762578696012497,NA,0.628322865813971,NA,0.054773960262537,-1.90644674003124,NA,7.85403582267463,NA,5.4773960262537,0.25,0.55555556,0.46153846,1,1,1,0.69230769,13.3,NA,0.30769231,0.07692308,NA,0.61538462,NA,94.3078536987305,89.9037017822266,NA,85.7893829345703,NA,0.238288268446922,-5.93158006668091,NA,5.51212644577026,NA,7.13626766204834,3.27993988990784,NA,-3.77822256088257,NA,-0.0762578696012497,0.054773960262537,NA,0.628322865813971,NA,-1.90644674003124,5.4773960262537,NA,7.85403582267463,0,0.66666667,0.46153846,NA,1,1,0.69230769,3,72.7823486328125,-5.5009880065918,0,0,97.2176,1,0.33333333,"2024-06-05",0
"Brad Keller",15734,"2024-06-01","DET",3,2024,"BOS","H",28,0,0,9,1,0,0,0,0,0,0,0,2,8,2,2,2,1,0,0,0,0,0,2,9,0,9,2,0,0,1,4,1,0,0,0,0,0.25,0,0.25,3.79719783401489,4.5,0.25,1,0.2,0,7.6664797782898,1.3335202217102,4.19049659073353,211.381984329076,187.714807744549,102.403901559937,0.25,0.166666666,0.166666666,0.666666666,0,0.25,0,0,9,17,26,0.0210920292884111,-0.0171479806303978,0.0382400117814541,-0.906000018119812,-0.087283231317997,0.234150007367134,0.240200012922287,0.303600013256073,NA,0,1,0.0568982511758804,0.0331808802560482,0,0,0.42307692,94,0.46153846,86.25,0.03846154,83,0.07692308,89.5,NA,-0.799718737602234,0.479424506425858,0,-0.0712025240063667,-7.27017034183849,3.99520422021548,0,-3.56012620031834,0.28571429,0.58333333,0.42307692,0.75,1,0.90909091,0.46153846,0.75,0.03846154,3,2,1,1,3,2,6,0.5,0.33333333,0.16666667,0.16666667,0.5,0.33333333,7.84684321084416,NA,20,41.47583,20,NA,NA,NA,59.64445,45.32592,67.41887,20,45.7399,20,66.10018,38.80262,78.03057,41.34272,41.56279,46.78957,0.66326,5.07198,87.1,24.78,15.24,NA,NA,NA,85.16,125.3,107.18,93.78,-16.18,-13.4,91.3676923076923,114.330769230769,119.086153846154,89.0761538461538,101.2,96.7853846153846,0.34615385,0.07692308,0.5,NA,0.07692308,94.1222195095486,93.1000061035156,85.8615347055288,NA,89.4499969482422,-0.480227099524604,-8.10136413574219,4.12322381826547,NA,-6.55781173706055,8.51705508761936,5.66782999038696,-2.10109079801119,NA,3.10103750228882,-0.682183507829905,-0.1116958335042,0.483681861311197,NA,-0.0725650899112225,-7.57981675366561,-5.58479167521,3.72062970239383,NA,-3.62825449556112,0.18181818,0.6,0.42307692,0.5,1,0.90909091,0.57692308,15.44444444,NA,0.34615385,0.07692308,0.07692308,0.5,NA,94.3165757921007,89.6361465454102,93.3042984008789,86.0417010967548,NA,-0.105481770303514,-6.48210000991821,-7.50042533874512,4.52324911264273,NA,7.26472473144531,1.44476997852325,4.05321979522705,-3.42982835036058,NA,-0.682183507829905,-0.0725650899112225,-0.1116958335042,0.483681861311197,NA,-7.57981675366561,-3.62825449556112,-5.58479167521,3.72062970239383,0.18181818,0.6,0.42307692,0.5,1,0.90909091,0.57692308,6,91.8343709309896,23.8336741129557,2,0.33333333,109.191,2,0.33333333,"2024-06-01",0
