"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCU%","pfxvFC","pfxvSI","pfxvSL","pfxvCU","pfxFC-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCU","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFC%","piSI%","piSL%","pivFC","pivSI","pivSL","piFC-X","piSI-X","piSL-X","piFC-Z","piSI-Z","piSL-Z","piwFC","piwSI","piwSL","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Brennan Bernardino",16835,"2024-09-10","BAL",3,2024,"BOS","H",32,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,4,2,2,2,0,1,1,0,0,0,0,0,27.000028163224,54.0000563264481,0,0.333333333,0,3,0,0,0,1,0,0,0,0.25,-0.25,6.13760408401489,0,0.666666666666667,9.00000938774135,0.666666666666667,0.33333333,12.1664891660311,41.8335671604169,12.1664891660311,1268.29322890738,298.974722304519,300.827211911999,3,0,1,0,0,0,0,0,4,5,9,-0.0294799953699112,-0.0421439930796623,0.012663995847106,-0.514000058174133,-0.049518309533596,0.875100016593933,0.250200003385544,0.500400006771088,1.97759997844696,1,1,-0.0421902649104595,0.0085026922777297,0,0,0.33333333,91,0.33333333,79.66666667,0.33333333,83.66666667,0.44444444,-0.1574896723032,-0.158590063452721,-0.399740844964981,-5.24965574343999,-5.28633544842402,-13.324694832166,0.2,0.5,0.33333333,1,1,1,0.44444444,0.25,0,1,2,0,1,1,1,3,0.33333333,0.66666667,0,0.33333333,0.33333333,0.33333333,5.26384475632605,NA,31.21225,57.30619,20,80,80,80,80,30.77798,80,NA,NA,NA,79.1282,55.31711,77.60077,-1.68422,1.55076,87.04,91.88,70.54,133.2,168.36,212.54,106.56,147.66,156.52,NA,NA,NA,108.933333333333,135.966666666667,146.533333333333,NA,0.33333333,0.33333333,0.33333333,NA,91,83.7666676839193,79.7333323160807,NA,11.0844955444336,-1.65402873357137,-10.1838175455729,NA,2.57785606384277,-0.503779292106628,-0.0860648850599925,NA,-0.15989575907588,-0.405988194048405,-0.161796059459448,NA,-5.32985863586267,-13.5329398016135,-5.3932019819816,0,0.5,0.33333333,NA,1,1,0.66666667,18.16666667,0.33333333,0.33333333,0.33333333,83.9960632324219,91.2682698567708,79.9528656005859,-2.68348662058512,10.3008702596029,-11.9270998636882,-1.09231503804525,1.77676995595296,-0.719441016515096,-0.405988194048405,-0.15989575907588,-0.161796059459448,-13.5329398016135,-5.32985863586267,-5.3932019819816,0,0.5,0.33333333,NA,1,1,0.66666667,3,74.9205525716146,-19.3698183695475,0,0,89.1382,0,0,"2024-09-10",0
"Brennan Bernardino",16835,"2024-09-09","BAL",3,2024,"BOS","H",32,0,0,0,1,0,0,0,0,0,1,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,76.4551252906048,189.774252798055,0.5,0,0.333333333,0.666666666,0,0,4,54.0000563264481,3,7,10,0.0362520143389702,-0.0537480264902115,0.0900000408291817,0.28999999165535,0.0279383435845375,1.32613325119019,0.437599986791611,0.875199973583221,0.233599990606308,1,1,-0.0033399339299649,0.0306765641716352,0,0,0.5,92.4,0.2,80,0.3,85.33333333,NA,0.0769123435020447,0.119327783584595,-0.492454916238785,1.53824687004089,5.96638917922974,-16.4151638746262,0.33333333,0.75,0.5,1,1,1,0.4,0.33333333,0,0,3,0,0,2,1,3,0,1,0,0,0.66666667,0.33333333,1.0423888036864,NA,80,62.83797,80,46.43835,54.87406,34.12352,80,54.38724,80,64.08256,45.47484,65.35675,66.45798,53.52042,61.6906,-0.89706,2.7315,157.3,134.92,144,94.88,100.24,103.72,84.86,140.2,142.98,126.24,116.04,112.76,112.634,114.332,117.51,0.2,0.5,0.1,0.2,86.1000061035156,92.3200012207031,84.1999969482422,80.3000030517578,-1.32747173309326,10.6059463500977,-0.354883879423141,-9.96036338806152,0.370125293731689,1.78898010253906,1.06667149066925,0.232046499848366,0.234500590711832,0.0774070397019386,-0.730484664440155,0.120547816157341,11.7250295355916,1.54814079403877,-73.0484664440155,6.02739080786705,0.33333333,0.75,0.5,1,1,1,0.4,19.14285714,0.3,0.5,0.2,85.6630655924479,92.4988403320312,80.4664001464844,-2.16870657602946,9.85850601196289,-11.3413496017456,-0.21873797972997,1.01794748306274,-0.515576004981995,-0.495984073728323,0.0774070397019386,0.120547816157341,-16.5328024576108,1.54814079403877,6.02739080786705,0.33333333,0.75,0.5,1,1,1,0.4,3,97.8146769205729,22.3123092651367,1,0.33333333,101.503,2,0.66666667,"2024-09-09",0
"Brennan Bernardino",16835,"2024-09-07","CHW",3,2024,"BOS","H",32,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,2.28192628596661,58.7187657997406,0,0,0,1,0,0,0,0,3,6,9,0.0797120034694672,0,0.0797120034694672,0.561999976634979,0.0541425794363022,1.50020003318787,0.912600040435791,1.82520008087158,1.50039994716644,1,1,0.0541519373655319,-0.00101768746148261,1,0,0.33333333,90,0.22222222,78.5,0.44444444,82.5,NA,0.227396890521049,-0.0580911040306091,0.346830040216446,7.57989635070165,-2.90455520153046,8.67075100541115,0.4,0.75,0.55555556,0,1,0.6,0.44444444,1,0.22222222,0,0,1,0,1,0,1,0,0,1,0,1,0,-1.1965034703625,NA,20,52.84065,20,20,34.79103,21.6487,52.22489,30.13248,67.35172,NA,NA,NA,23.00455,36.00038,28.56042,1.80254,6.7809,128.86,26.16,6.98,103.88,78.9,46.48,90.4,127.42,113.12,NA,NA,NA,103.44,88.7444444444445,67.32,NA,0.33333333,0.44444444,0.22222222,NA,89.9666646321615,82.4000015258789,78.5500030517578,NA,9.60749816894531,-1.99830055236816,-7.10555267333984,NA,1.39386526743571,-0.618268966674805,0.207590445876122,NA,0.229855198413134,0.351254109293222,-0.0591252744197845,NA,7.66183994710445,8.78135273233056,-2.95626372098923,0.4,0.75,0.55555556,0,1,0.6,0.44444444,19,0.44444444,0.33333333,0.22222222,82.5627975463867,90.18212890625,78.7322006225586,-3.02685737609863,8.88589668273926,-9.03097534179688,-1.35437572002411,0.771913051605225,-0.780822038650513,0.351254109293222,0.229855198413134,-0.0591252744197845,8.78135273233056,7.66183994710445,-2.95626372098923,0.4,0.75,0.55555556,0,1,0.6,0.44444444,1,90.9909744262695,47.183910369873,0,0,90.991,0,0,"2024-09-07",0
"Brennan Bernardino",16835,"2024-09-06","CHW",3,2024,"BOS","H",32,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.0063775332964,27.173712862954,1,0.5,0.5,0,0,0,0,0,4,13,17,0.0803480446338654,0,0.0803480446338654,0.546999990940094,0.0526974946260452,1.02426660060883,1.50039994716644,1.50039994716644,1.58399999141693,1,1,0.0788280740380287,-0.000383609885720768,1,0,0.29411765,92,0.35294118,80,0.35294118,84.66666667,NA,0.496804893016815,0.194310128688812,0.0787217393517494,9.9360978603363,3.23850214481354,1.31202898919582,0.57142857,0.7,0.64705882,0.5,0.85714286,0.72727273,0.58823529,0.66666667,0.17647059,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,4.07235646154618,NA,48.22637,57.99327,28.90503,80,70.36461,80,37.22029,38.60114,42.74975,NA,NA,NA,71.4948,54.46214,63.21478,-1.20998,2.26212,114.82,89.36,88.74,155.9,165.56,200.1,119.7,76.1,83.98,NA,NA,NA,128.624705882353,107.091764705882,119.812941176471,NA,0.29411765,0.35294118,0.35294118,NA,91.9,84.7166697184245,79.7000020345052,NA,10.736784362793,-1.66031392415365,-10.3015492757161,NA,1.84304180145264,-0.632940689722697,-1.17300605773926,NA,0.503467634320259,0.079147607088089,0.196319993585348,NA,10.0693526864052,1.31912678480148,3.27199989308914,0.5,0.77777778,0.64705882,0.5,0.85714286,0.72727273,0.52941176,18.35714286,0.35294118,0.29411765,0.35294118,84.8467305501302,92.0718627929687,79.8527526855469,-2.77992820739746,9.81992797851563,-11.8826497395833,-1.39314524332682,1.22547521591187,-2.04236316680908,0.079147607088089,0.503467634320259,0.196319993585348,1.31912678480148,10.0693526864052,3.27199989308914,0.57142857,0.7,0.64705882,0.5,0.85714286,0.72727273,0.58823529,2,74.9263916015625,-35.2598648071289,0,0,88.4014,0,0,"2024-09-06",0
"Brennan Bernardino",16835,"2024-09-01","@DET",3,2024,"BOS","A",32,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,0,1,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0,0,0,1,0.166476649042681,-0.166476649042681,2.43449162409945,0,2.28192628596661,58.7187657997406,0,0,0,1,0,0,0,0,4,9,13,0.00331199634820223,0,0.00331199634820223,0.252999991178513,0.0266877636313438,0.0663999989628792,0.0381999984383583,0.0763999968767166,NA,0,1,0.0498117618262768,6.77020281397711e-05,0,0,0.23076923,92,0.38461538,79.2,0.38461538,86.4,NA,0.0389156937599182,-0.00551493465900421,0.482735067605972,1.29718979199727,-0.110298693180084,9.65470135211945,0.28571429,1,0.61538462,0.5,0.83333333,0.75,0.46153846,1,0.15384615,0,1,0,1,0,0,1,0,1,0,1,0,0,-1.1965034703625,NA,31.38706,40.43841,23.67793,80,52.06134,80,20,20,49.39008,80,66.93455,68.2484,63.43039,43.65918,54.48442,-0.70897,3.01364,90.26,98.7,90.02,148.54,144.58,181.1,121.64,170.9,232.86,110.9,168.52,193.42,112.473846153846,136.324615384615,153.841538461538,0.30769231,0.23076923,0.07692308,0.38461538,86.4000015258789,91.7999979654948,85.5,79.2799987792969,-1.40271019935608,9.78158378601074,-2.10885787010193,-9.57405471801758,1.22563254833221,2.14174302419027,1.3044536113739,-2.00958995819092,0.165548086166382,0.039364367723465,0.32400244474411,-0.00693085044622421,4.13870215415955,1.31214559078217,32.400244474411,-0.138617008924484,0.4,0.75,0.61538462,0.5,0.83333333,0.75,0.61538462,19.36363636,0.38461538,0.23076923,0.38461538,86.3719360351563,91.9842020670573,79.4018798828125,-2.50812206268311,9.24095026652018,-10.9982719421387,0.424251985549927,1.33879025777181,-2.83956699371338,0.489550530910492,0.039364367723465,-0.00693085044622421,9.79101061820984,1.31214559078217,-0.138617008924484,0.4,0.75,0.61538462,0.5,0.83333333,0.75,0.61538462,1,74.1378860473633,51.4251098632812,0,0,74.1379,0,0,"2024-09-01",0
"Brennan Bernardino",16835,"2024-08-30","@DET",3,2024,"BOS","A",32,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,7,2,3,3,1,1,0,0,0,0,3,20.2500048279774,6.75000160932579,13.5000032186516,3,0,0,2,1,0,0,0,0,0,0.42857143,0.14285714,0.28571429,2.54781070901297,6.75000160932579,0.333333333333333,2.25000053644193,0.5,0,10.6664815664296,9.58352326154781,2.0504858168825,475.60957813458,261.887973591147,49.1656346072182,2,0,0.666666666,0.333333333,0,1,0,0,8,15,23,-0.162047997117043,-0.219335988163948,0.0572879947721958,-2.29299998283386,-0.241877630352974,0.744742870330811,0.614400029182434,0.661199986934662,1.82480001449585,1,1,-0.0984766259789467,-0.119112562951538,0,1,0.47826087,92.27272727,0.34782609,79.5,0.17391304,85.5,NA,-1.2727952003479,0.179889991879463,-0.10699237883091,-11.5708654577082,2.24862489849329,-2.67480947077274,0,0.64285714,0.39130435,NA,0.77777778,0.77777778,0.60869565,1,0.08695652,2,0,1,0,0,3,3,0.66666667,0,0.33333333,0,0,1,8.56459631894866,NA,62.29986,50.84172,59.30322,80,52.03036,80,80,28.24289,80,51.81852,61.99637,35.21568,79.96096,47.70216,76.91755,-1.73595,1.47317,92.42,124.66,109.04,91.94,117.54,106.1,80.54,157.66,149.6,93.38,129.82,121.56,91.7991304347826,123.362608695652,111.030434782609,0.13043478,0.47826087,0.04347826,0.34782609,85.6333312988281,92.236366965554,85.4000015258789,79.4875030517578,0.0415432751178741,8.91195956143466,-1.42493283748627,-8.89530372619629,1.3474702835083,2.3067288832231,-0.293708622455597,-1.37545526027679,-0.149541102349758,-1.27595817297697,0.039364367723465,0.1809465251863,-4.98470341165861,-11.5996197543361,3.9364367723465,2.26183156482875,0,0.64285714,0.39130435,NA,0.77777778,0.77777778,0.60869565,17.25,0.17391304,0.47826087,0.34782609,85.7954254150391,92.4545676491477,79.6917114257812,-1.32011568546295,8.14517836137251,-10.070517539978,-0.108222752809525,1.40549477663907,-2.58315205574036,-0.110176734626293,-1.27595817297697,0.1809465251863,-2.75441836565733,-11.5996197543361,2.26183156482875,0,0.64285714,0.39130435,NA,0.77777778,0.77777778,0.60869565,3,103.337931315104,13.1651649475098,0,0,105.091,3,1,"2024-08-30",0
"Brennan Bernardino",16835,"2024-08-27","TOR",3,2024,"BOS","H",32,0,0,4.5,1,0,0,0,0,0,0,0,2,8,3,1,1,1,0,0,0,0,0,1,4.5,0,13.5,1,0.25,0,4,1,2,0,1,0,0,0.125,0,0.125,2.92590095901489,4.5,0.375,1.5,0.333333333333333,1,8.66647977828979,-4.16647977828979,2.92248398140073,105.690992164538,212.439181623203,70.8588296285504,4,0.285714285,0.571428571,0.142857142,0,1,0,0,10,17,27,0.0317400023341179,-0.0751719772815704,0.106911987066269,0.0939999595284462,0.00905587524175644,0.604900002479553,0.546199977397919,0.451999992132187,0.54040002822876,1,1,-0.117459259927273,0.169930746460604,0,0,0.51851852,90.64285714,0.22222222,79.16666667,0.25925926,84.85714286,NA,-0.40634486079216,-0.533798813819885,0.368514001369476,-2.90246329137257,-8.89664689699809,5.26448573384966,0.06666667,0.66666667,0.33333333,1,0.875,0.88888889,0.44444444,0.625,0.03703704,5,1,1,1,2,4,7,0.71428571,0.14285714,0.14285714,0.14285714,0.28571429,0.57142857,12.3465847508764,NA,20,57.02539,20,80,60.20025,80,52.0525,28.45884,60.61051,39.3366,38.48737,39.6995,67.9111,49.7687,61.38092,-0.98734,2.59608,99.04,53.32,41.94,119.9,121.96,153.02,84.02,124.76,118.8,105.46,87.02,91.38,107.55037037037,104.637037037037,117.432592592593,0.07407407,0.51851852,0.18518519,0.22222222,86.1000061035156,90.6785714285714,84.5,79.0833333333333,-1.08475267887115,10.2356164114816,-1.59612226486206,-9.26349703470866,0.948286950588226,2.97408076695033,0.806841373443604,-0.695609331130981,-0.0725650899112225,-0.390664342790842,0.445236302912235,-0.543708495795727,-3.62825449556112,-2.79045959136316,8.90472605824471,-9.06180826326211,0,0.6,0.33333333,NA,0.88888889,0.88888889,0.55555556,17,0.25925926,0.51851852,0.22222222,85.023672921317,90.7793753487723,79.1752014160156,-2.14886433737619,9.66606903076172,-10.6875902811686,0.0818612916128976,2.06955405644008,-1.70676422119141,0.372671213001013,-0.390664342790842,-0.543708495795727,5.32387447144304,-2.79045959136316,-9.06180826326211,0,0.6,0.33333333,NA,0.88888889,0.88888889,0.55555556,7,94.7124328613281,-5.93149403163365,0,0,101.336,4,0.57142857,"2024-08-27",0
"Brennan Bernardino",16835,"2024-08-25","ARI",3,2024,"BOS","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.4423702240119,-22.5814263197472,1,0,1,0,0,0,0,0,5,8,13,0.0389360040426254,0,0.0389360040426254,0.546999990940094,0.0526974946260452,0.498133361339569,0.650400042533875,0.650400042533875,0.54040002822876,1,1,0.0781834349036217,-1.96196194584136e-05,0,0,0.69230769,90.44444444,0.30769231,78.75,NA,NA,NA,0.610687017440796,0.111388020217419,NA,6.78541130489773,2.78470050543547,NA,0.28571429,0.16666667,0.23076923,1,1,1,0.46153846,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.69410640757674,NA,37.08174,55.54343,20,61.14461,53.15941,80,NA,NA,NA,NA,NA,NA,55.96197,48.77266,69.08778,-0.24498,3.70962,115,66.22,81.34,110.9,120.42,135.84,NA,NA,NA,NA,NA,NA,112.161538461538,103.743076923077,119.070769230769,NA,0.69230769,NA,0.30769231,NA,90.2777777777778,NA,78.9000015258789,NA,9.73058912489149,NA,-9.98865509033203,NA,3.2702096303304,NA,-1.34389138221741,NA,0.618259105831385,NA,0.1122064627707,NA,6.86954562034872,NA,2.80516156926751,0.33333333,0.14285714,0.23076923,1,1,1,0.53846154,16.9,NA,0.69230769,0.30769231,NA,90.3734130859375,78.9781265258789,NA,8.8505622016059,-11.653374671936,NA,2.2279478708903,-2.71665549278259,NA,0.618259105831385,0.1122064627707,NA,6.86954562034872,2.80516156926751,0.4,0.125,0.23076923,1,1,1,0.61538462,1,94.3983383178711,-17.4770050048828,0,0,94.3983,0,0,"2024-08-25",0
"Brennan Bernardino",16835,"2024-08-24","ARI",3,2024,"BOS","H",32,0,0,0,1,0,0,0,0,0,0,0,0.2,4,0,0,0,0,2,0,0,1,0,2,27.000028163224,27.000028163224,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,10.1952290840149,0,0,3.00000312924711,0,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,150.628324295243,151.56163866777,0,0,0,0,0,0,0,0,11,12,23,-0.0902439951896667,-0.136831998825073,0.0465879999101162,-1.04200005531311,-0.10038536041975,1.27820003032684,0.662800014019012,1.32560002803802,0.155199989676476,1,1,-0.0344041474163532,-0.0361982567837083,0,1,0.47826087,91.81818182,0.47826087,79.36363636,0.04347826,84,NA,-0.468407183885574,0.322946757078171,0.0389156937599182,-4.25824712623249,2.93587960980155,3.89156937599182,0.23529412,0.5,0.30434783,0.25,1,0.57142857,0.26086957,0.5,0.13043478,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6.26694290793787,NA,47.30606,59.96404,32.37606,20,59.22989,20,80,33.17776,80,NA,NA,NA,21.99727,54.93677,20,1.86512,6.87477,118.82,90.56,84.42,120.42,5.45999999999999,31.64,83.86,165.22,165.82,NA,NA,NA,118.065217391304,53.1060869565217,62.7165217391304,NA,0.47826087,0.04347826,0.47826087,NA,91.7909102006392,84.4000015258789,79.4363625266335,NA,9.94873671098189,-0.939715981483459,-10.3167183615945,NA,3.6247575933283,2.0578773021698,-1.37790489196777,NA,-0.480162851512432,0.039364367723465,0.323890373110771,NA,-4.3651168319312,3.9364367723465,2.94445793737065,0.28571429,0.33333333,0.30434783,0.25,1,0.57142857,0.39130435,19.27777778,0.04347826,0.47826087,0.47826087,84.309700012207,91.7597711736506,79.3911077325994,-1.64493000507355,9.09499636563388,-11.4817546497692,0.839987993240356,2.49684229764071,-2.72926278547807,0.039364367723465,-0.480162851512432,0.323890373110771,3.9364367723465,-4.3651168319312,2.94445793737065,0.28571429,0.33333333,0.30434783,0.25,1,0.57142857,0.39130435,0,NA,NA,0,NA,NA,0,NA,"2024-08-24",0
"Brennan Bernardino",16835,"2024-08-21","@HOU",3,2024,"BOS","A",32,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-71.8912727186715,-72.3367211985741,0,0,0,0,0,0,0,0,0,3,3,0.132714003324509,0,0.132714003324509,0.742999970912933,0.0787493363022804,5.30520009994507,2.65260004997253,5.30520009994507,1.66380000114441,1,1,0.0250158328562975,8.20905902282343e-10,1,0,0.66666667,92,0.33333333,81,NA,NA,NA,0.0931044071912766,0.173208177089691,NA,4.65522035956383,17.3208177089691,NA,1,0,0.66666667,0.5,NA,0.5,0.33333333,1,0.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.97312058419228,NA,33.62192,60.36164,20,77.81042,72.39748,80,NA,NA,NA,NA,NA,NA,67.22052,64.06573,79.40007,-0.94444,2.66043,151.74,71.92,102.38,103.94,110,118.54,NA,NA,NA,NA,NA,NA,119.873333333333,97.3066666666667,113.153333333333,NA,0.66666667,NA,0.33333333,NA,92.1000061035156,NA,80.5,NA,10.9303588867188,NA,-8.762619972229,NA,4.49476671218872,NA,-0.204548791050911,NA,0.094138327986002,NA,0.175081223249435,NA,4.7069163993001,NA,17.5081223249435,1,0.5,0.66666667,0,1,0.5,0.66666667,26.5,NA,0.66666667,0.33333333,NA,92.0776519775391,80.4646987915039,NA,9.95632553100586,-10.3650999069214,NA,3.23040008544922,-1.75567996501923,NA,0.094138327986002,0.175081223249435,NA,4.7069163993001,17.5081223249435,1,0.5,0.66666667,0,1,0.5,0.66666667,0,NA,NA,0,NA,NA,0,NA,"2024-08-21",0
