"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Colin Holderman",22361,"2024-09-29","@NYY",27,2024,"PIT","A",28,0,1,6.75000160932579,1,0,0,0,0,0,0,0,1.1,4,0,1,1,0,0,0,1,0,0,3,20.2500048279774,0,0,3,0,0,0,0,0,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0,0,0,0,0.916479241847864,5.83352236747793,0.916479241847864,159.89549145925,23.9019658094611,23.9368673305717,0,0,0,0,0,0,0,0,8,12,20,0.179136008024216,-0.0239720027893782,0.203108012676239,0.935999989509583,0.0971962586045265,1.43048000335693,1.91613328456879,2.13800001144409,1.79199993610382,1,1,0.100076347589493,0.0251515532576592,1,0,0.15,96,0.75,82.6,0.1,89,NA,0.0870811194181442,0.290571987628937,0.0778313875198364,2.90270398060481,1.93714658419291,3.89156937599182,0.2,0.6,0.4,0.5,0.33333333,0.375,0.5,0.75,0.25,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.13443355980223,67.21285,64.94531,45.14494,21.55312,73.47209,20,80,67.86574,80,37.42482,80,20,0.90666,5.43708,NA,NA,NA,78.08,122.32,118.42,130.3,53.42,69.46,94.54,142.84,146.54,118.891,72.697,84.512,NA,0.1,0.15,0.75,NA,89.4000015258789,96.2333374023438,82.6266682942708,NA,1.42906451225281,-9.5363515218099,4.76353047688802,NA,4.07592296600342,4.30084768931071,5.3156743367513,NA,0.0787287354469299,0.0879390314221382,0.278434954583645,NA,3.9364367723465,2.93130104740461,1.85623303055763,0.2,0.6,0.4,0.5,0.33333333,0.375,0.5,15.3125,NA,0.1,0.15,0.75,NA,89.3097534179688,96.1453653971354,82.5295654296875,NA,2.00183010101318,-9.32071685791016,5.34410400390625,NA,2.94536018371582,3.25645319620768,4.09470036824544,NA,0.0787287354469299,0.0879390314221382,0.278434954583645,NA,3.9364367723465,2.93130104740461,1.85623303055763,0.2,0.6,0.4,0.5,0.33333333,0.375,0.5,0,NA,NA,0,NA,NA,0,NA,"2024-09-29",0
"Colin Holderman",22361,"2024-09-27","@NYY",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,13.2527290840149,0,0,0,0,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.1955776252467,187.926204380887,0,0,0,1,0.5,0,0,0,1,4,5,0.0412159934639931,0,0.0412159934639931,0.257999986410141,0.0267912745475769,0.826799988746643,0.488400012254715,0.97680002450943,1.50839996337891,1,1,0.0499656237661839,-0.000115606803226538,0,0,0.4,97.5,0.6,83.33333333,NA,NA,NA,0.231607601046562,0.285566329956055,NA,11.5803800523281,9.51887766520182,NA,0.5,0.66666667,0.6,1,1,1,0.6,1,0,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,-0.82606224593132,80,45.03932,80,80,61.34315,80,NA,NA,NA,80,58.93719,80,-4.3482,-2.44521,NA,NA,NA,84.36,82.7,68.74,132.14,165.86,183.82,NA,NA,NA,119.196,145.976,148.916,NA,NA,0.4,0.6,NA,NA,97.0999984741211,83.4333292643229,NA,NA,-8.37151718139648,6.19907188415527,NA,NA,7.30160999298096,3.74275557200114,NA,NA,0.234447065740824,0.271081879734993,NA,NA,11.7223532870412,9.0360626578331,1,0.5,0.6,1,1,1,0.8,21,NA,NA,0.4,0.6,NA,NA,96.9352493286133,83.234364827474,NA,NA,-8.0888500213623,6.57641665140788,NA,NA,6.20302486419678,2.77923011779785,NA,NA,0.234447065740824,0.271081879734993,NA,NA,11.7223532870412,9.0360626578331,NA,0.6,0.6,NA,1,1,1,2,78.1923980712891,63.4912948608398,0,0,85.765,0,0,"2024-09-27",0
"Colin Holderman",22361,"2024-09-26","MIL",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0.333333333333333,1.50000156462356,0.333333333333333,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,78.1955776252467,187.926204380887,0.5,0,0.333333333,0.666666666,0,0,0,0,3,6,9,-0.00821000244468451,-0.0216979999095201,0.0134879974648356,-0.0400000214576721,-0.00398605316877365,0.310600012540817,0.232600003480911,0.465200006961823,0.111400000751019,1,1,0.0111623676493764,-0.037595085335135,0,0,NA,NA,0.66666667,84,0.33333333,91.33333333,NA,NA,-0.629806220531464,0.333591371774673,NA,-10.4967703421911,11.1197123924891,0,0.8,0.44444444,NA,1,1,0.55555556,0.33333333,0,2,1,0,0,2,1,3,0.66666667,0.33333333,0,0,0.66666667,0.33333333,1.00395607305363,NA,NA,NA,20,40.46674,20,79.20873,48.63912,68.23433,23.83796,49.48107,20,1.75076,6.70323,NA,NA,NA,NA,NA,NA,108.86,35.44,52.78,97.48,116.4,128.38,105.066666666667,62.4266666666667,77.98,NA,0.33333333,NA,0.66666667,NA,91.2666625976562,NA,84.1666666666667,NA,0.699749628702799,NA,3.13104979197184,NA,5.30847422281901,NA,5.32089296976725,NA,0.337931297719479,NA,-0.635960519313812,NA,11.2643765906493,NA,-10.5993419885635,0,0.8,0.44444444,NA,1,1,0.55555556,18.33333333,NA,0.33333333,NA,0.66666667,NA,91.0372009277344,NA,83.9507141113281,NA,1.33942524592082,NA,3.85618178049723,NA,4.22795677185059,NA,4.38889344533284,NA,0.337931297719479,NA,-0.635960519313812,NA,11.2643765906493,NA,-10.5993419885635,0,0.8,0.44444444,NA,1,1,0.55555556,3,86.5887654622396,31.2709452311198,0,0,99.124,1,0.33333333,"2024-09-26",0
"Colin Holderman",22361,"2024-09-22","@CIN",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0.333333333333333,1,0.5,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.9346008508647,66.5170884121943,0,0.5,0,0.5,0,0,0,0,2,8,10,0.0794900134205818,-0.058479979634285,0.137970000505447,0.560999989509583,0.0530496463179588,1.7077499628067,1.41299998760223,1.41299998760223,1.59399998188019,1,1,0.0367585457861423,0.00978808876329679,1,0,0.3,97.33333333,0.5,84.2,0.2,92.5,NA,-0.00869514048099518,0.582812309265137,-0.440147489309311,-0.289838016033173,11.6562461853027,-22.0073744654655,0.42857143,0.66666667,0.5,0.33333333,1,0.6,0.3,1,0.2,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,3.61520243920962,46.44267,65.44095,34.78031,80,62.05703,80,80,59.40645,80,80,66.90122,80,-2.71024,0.01173,NA,NA,NA,113.64,55.66,72.62,121.08,142.48,159.64,107.22,135.2,149.76,116.076,114.978,131.558,NA,0.2,0.3,0.5,NA,92.4000015258789,97.3333333333333,84.1400024414063,NA,1.27434515953064,-9.23054377237956,4.15074768066406,NA,5.06170463562012,5.02244695027669,3.15387115478516,NA,-0.446966946125031,-0.00912149995565414,0.589644301682711,NA,-22.3483473062515,-0.304049998521805,11.7928860336542,0.5,0.5,0.5,0.33333333,1,0.6,0.4,19.33333333,NA,0.2,0.3,0.5,NA,92.8164520263672,97.7531026204427,84.5209228515625,NA,1.84328997135162,-8.9339968363444,4.88182411193848,NA,4.20814990997314,3.6693499883016,1.97728404998779,NA,-0.446966946125031,-0.00912149995565414,0.589644301682711,NA,-22.3483473062515,-0.304049998521805,11.7928860336542,0.4,0.6,0.5,0.5,0.66666667,0.6,0.5,2,89.9346466064453,29.7909851074219,0,0,91.8409,0,0,"2024-09-22",0
"Colin Holderman",22361,"2024-09-18","@STL",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,29.9346008508647,66.5170884121943,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,6,10,0.0864319875836372,-0.0824520140886307,0.168884009122849,0.479999989271164,0.0506329089403152,1.98528003692627,1.57360005378723,1.57360005378723,1.9099999666214,1,1,0.0212541464716196,0.0222822745752854,1,0,0.4,97.25,0.6,84.16666667,NA,NA,NA,0.0701013058423996,0.231904864311218,NA,1.75253264605999,3.86508107185364,NA,0.33333333,1,0.6,0.5,0.75,0.66666667,0.4,0.25,0.2,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,3.00902132574326,75.14322,59.37943,62.69953,23.15334,56.9113,22.03469,NA,NA,NA,46.65337,61.61369,38.3413,0.33332,4.57707,NA,NA,NA,107.02,133.62,147.42,124.54,80.64,94.82,NA,NA,NA,117.532,101.832,115.86,NA,NA,0.4,0.6,NA,NA,97.125,84,NA,NA,-9.58880519866943,4.80062834421794,NA,NA,4.55889320373535,3.93336613972982,NA,NA,0.153790850192308,0.234170846641064,NA,NA,3.84477125480771,3.90284744401773,0.2,1,0.6,0,0.8,0.66666667,0.5,21.5,NA,NA,0.4,0.6,NA,NA,97.509651184082,84.3606160481771,NA,NA,-9.37000751495361,5.25328000386556,NA,NA,3.44874501228333,2.78163655598958,NA,NA,0.153790850192308,0.234170846641064,NA,NA,3.84477125480771,3.90284744401773,0.2,1,0.6,0,0.8,0.66666667,0.5,3,93.14990234375,11.5170593261719,0,0,105.389,1,0.33333333,"2024-09-18",0
"Colin Holderman",22361,"2024-09-16","@STL",27,2024,"PIT","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,0,1,0,0,0,0,0.25,0,0.25,0.992229084014893,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.9346008508647,29.9783111930123,2,0.333333333,0.666666666,0,0,0,0,0,4,11,15,0.0413800030946732,-0.0430239737033844,0.0844039767980576,1.30200004577637,0.137341767549515,1.02950000762939,0.615000009536743,1.23000001907349,0.219200000166893,1,1,0.0562661550939083,-0.016071883323131,0,0,0.33333333,97.6,0.33333333,84.4,0.33333333,91.8,NA,-0.324272066354752,0.332088083028793,0.33522629737854,-6.48544132709503,6.64176166057587,6.7045259475708,0.57142857,0.75,0.66666667,0.5,0.83333333,0.7,0.53333333,0.75,0.2,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,3.21795879942089,80,59.4238,75.70108,49.6049,51.51982,73.47478,58.42202,61.3097,39.42723,69.19418,59.49149,69.49752,-1.06705,2.47652,NA,NA,NA,123.2,115.68,118.3,138.56,112.98,126.78,96.78,102.74,112,119.513333333333,110.466666666667,119.026666666667,NA,0.33333333,0.33333333,0.33333333,NA,91.7799987792969,97.7200012207031,84.2200012207031,NA,-0.0634244501590729,-9.80620269775391,4.2345588684082,NA,3.97406272888184,5.38111686706543,3.53338394165039,NA,0.339040864259005,-0.329561572521925,0.336147282272577,NA,6.78081728518009,-6.5912314504385,6.72294564545155,0.5,0.85714286,0.66666667,0.5,0.83333333,0.7,0.46666667,24.09090909,NA,0.33333333,0.33333333,0.33333333,NA,92.2495361328125,98.2185180664062,84.6724975585937,NA,0.482399654388428,-9.33646392822266,4.74245185852051,NA,2.94526596069336,4.26513214111328,2.33078193664551,NA,0.339040864259005,-0.329561572521925,0.336147282272577,NA,6.78081728518009,-6.5912314504385,6.72294564545155,0.625,0.71428571,0.66666667,0.6,0.8,0.7,0.46666667,3,84.5407307942708,-8.64908854166667,0,0,99.7573,1,0.33333333,"2024-09-16",0
"Colin Holderman",22361,"2024-09-15","KCR",27,2024,"PIT","H",28,0,0,13.500014081612,1,0,0,0,0,0,1,0,0.2,6,1,1,1,0,2,0,1,0,0,1,13.500014081612,27.000028163224,13.500014081612,0.5,0,0,0,1,1,1,0,0,0,0.16666667,0.33333333,-0.16666667,9.29281241806656,0,0.333333333333333,4.50000469387067,0.5,0.75,13.6664907306547,-0.16647664904268,15.9345057057115,319.791240242646,331.565969976666,386.858343809699,0,0.5,0,0.5,1,0,0,0,15,8,23,-0.157511994242668,-0.295712023973465,0.138200014829636,-1.26699995994568,-0.126258090138435,2.45076656341553,1.23759996891022,1.23759996891022,4.66400003433228,1,1,-0.0816310495138168,0.0173605487676542,0,1,0.34782609,97.5,0.39130435,84.66666667,0.26086957,91,NA,-0.182658925652504,0.247914969921112,-0.96685117483139,-2.2832365706563,2.75461077690125,-16.1141862471898,0.0625,0.57142857,0.2173913,0,0.75,0.6,0.30434783,0.83333333,0.08695652,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,13.8558979244912,20,59.50778,22.29091,35.708,61.55489,23.01028,20,61.96004,20,20,63.90712,20,2.0359,7.13094,NA,NA,NA,91.1,49.86,49.58,120.68,67.22,86.32,95.08,-35.68,-20.88,103.713043478261,34.3382608695652,45.575652173913,NA,0.26086957,0.34782609,0.39130435,NA,91.1333312988281,97.4499969482422,84.6888902452257,NA,0.440608700116475,-9.23850345611572,3.3674808078342,NA,4.36329650878906,4.91845655441284,4.59269629584418,NA,-0.986236985772848,-0.18773976713419,0.229560926556587,NA,-16.4372830962141,-2.34674708917737,2.55067696173986,0.07692308,0.4,0.2173913,0,0.75,0.6,0.43478261,17.82352941,NA,0.26086957,0.34782609,0.39130435,NA,91.0337829589844,97.3805770874023,84.5912407769097,NA,1.48223686218262,-8.58119201660156,4.22955322265625,NA,3.26149495442708,3.76866507530212,3.56202443440755,NA,-0.986236985772848,-0.18773976713419,0.229560926556587,NA,-16.4372830962141,-2.34674708917737,2.55067696173986,0.07142857,0.44444444,0.2173913,0,0.75,0.6,0.39130435,2,91.3493499755859,39.5295791625977,0,0,103.264,1,0.5,"2024-09-15",0
"Colin Holderman",22361,"2024-09-11","MIA",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,0.2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2.31606242325356,0,0,0,0,1,7.66648447216047,-7.66648447216047,7.66648447216047,0,186.782888632998,187.055627996056,2,0,1,0,0,0,0,0,4,9,13,0.047837994992733,-0.0187279861420393,0.0665659755468369,0.542999982833862,0.0541106089949608,1.16740000247955,0.585200011730194,1.17040002346039,0.776600003242493,1,1,0.0236735865473747,0.0173046513240706,0,0,0.23076923,97,0.69230769,83.22222222,0.07692308,91,NA,0.0151102766394615,0.424170464277267,-0.358563542366028,0.503675887982051,4.7130051586363,-35.8563542366028,0.42857143,0.83333333,0.61538462,0.66666667,0.8,0.75,0.46153846,0.66666667,0.15384615,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,6.88378009917432,59.49501,49.12411,55.10532,65.74855,68.30538,53.91772,20,50.94315,20,51.13012,69.77608,20,0.0552,4.15989,NA,NA,NA,100.62,100.92,94.32,129.08,95.7,114.82,98.94,-242.5,-236.02,120.193846153846,70.8892307692308,83.1015384615385,NA,0.07692308,0.23076923,0.69230769,NA,91.4000015258789,97.3666687011719,83.2333306206597,NA,-1.01633298397064,-9.56020736694336,4.53394360012478,NA,5.77011728286743,5.874787012736,4.34051767985026,NA,-0.366320788860321,0.0151214338839054,0.429479397833347,NA,-36.6320788860321,0.50404779613018,4.77199330925941,0.33333333,0.85714286,0.61538462,0.5,0.83333333,0.75,0.53846154,21,NA,0.07692308,0.23076923,0.69230769,NA,91.2953033447266,97.2632039388021,83.0989786783854,NA,0.1083590015769,-9.41469319661458,5.08985985649957,NA,4.25234985351562,4.67369651794434,3.14935429890951,NA,-0.366320788860321,0.0151214338839054,0.429479397833347,NA,-36.6320788860321,0.50404779613018,4.77199330925941,0.33333333,0.85714286,0.61538462,0.5,0.83333333,0.75,0.53846154,2,79.5914535522461,-13.3241090774536,0,0,85.0158,0,0,"2024-09-11",0
"Colin Holderman",22361,"2024-09-09","MIA",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.9346008508647,29.9783111930123,2,0,1,0,0,0,0,0,3,8,11,0.0725279897451401,0,0.0725279897451401,0.521000027656555,0.0519182868301868,0.94186669588089,1.35520005226135,1.35520005226135,1.4728000164032,1,1,0.0771348923444748,-0.000130375609431327,1,0,0.18181818,96.5,0.27272727,83.33333333,0.54545455,91.33333333,NA,0.235890656709671,0.111117005348206,0.34347540140152,11.7945328354836,3.70390017827352,5.72459002335866,0.4,0.66666667,0.54545455,1,0.5,0.66666667,0.54545455,0.33333333,0.18181818,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,-0.22227486154869,77.78908,63.6896,80,20,45.46422,20,64.07272,49.15944,63.19908,56.74635,54.5258,57.8028,-0.29371,3.63653,NA,NA,NA,108.04,131.7,143.56,138.26,56.76,76.64,107.22,123.6,133.1,115.834545454545,106.843636363636,119.603636363636,NA,0.54545455,0.18181818,0.27272727,NA,91.0166625976562,96.5,83.4666646321615,NA,1.42868947982788,-9.64453506469727,4.10938707987467,NA,4.2011178334554,4.42841148376465,4.15778350830078,NA,0.348008777946234,0.238982617855072,0.111707545816898,NA,5.8001462991039,11.9491308927536,3.72358486056328,0,0.66666667,0.54545455,NA,0.66666667,0.66666667,0.81818182,17.375,NA,0.54545455,0.18181818,0.27272727,NA,90.9458618164062,96.4855499267578,83.3682657877604,NA,1.84601004918416,-9.32126045227051,4.50762335459391,NA,3.24891153971354,3.33511996269226,3.28085994720459,NA,0.348008777946234,0.238982617855072,0.111707545816898,NA,5.8001462991039,11.9491308927536,3.72358486056328,0,0.66666667,0.54545455,NA,0.66666667,0.66666667,0.81818182,2,81.780876159668,1.4650262594223,0,0,90.4162,0,0,"2024-09-09",0
"Colin Holderman",22361,"2024-09-07","WSN",27,2024,"PIT","H",28,0,0,0,1,0,0,0,0,0,0,0,0.1,3,0,0,0,0,2,0,0,0,0,0,0,54.0000563264481,0,0,0,0,0,1,0,0,0,0,0,0,0.66666667,-0.66666667,23.3345068337244,0,0,6.00000625849423,0,1,21.1664985537725,-21.1664985537725,25.702528503886,0,512.544821656252,622.909682827201,0,0,0,1,0,0,0,0,11,5,16,0.0135360024869442,-0.010607996955514,0.0241439994424582,0.331999987363815,0.0330842062830925,0.678250014781952,0.236399993300438,0.472799986600876,NA,0,1,0.00770218716934323,0.0122550589669445,0,0,0.1875,96.33333333,0.375,83.5,0.4375,90.71428571,NA,-0.155296757817268,-0.137897074222565,-0.0848351567983627,-5.17655859390895,-2.29828457037608,-1.21193081140518,0.08333333,0,0.0625,1,NA,1,0.25,0.66666667,0,0,1,0,0,1,0,1,0,1,0,0,1,0,20.7533843724578,20,55.59965,20,27.3131,39.75089,25.70217,20,44.7716,20,20,48.83894,20,2.5537,7.90764,NA,NA,NA,95.72,-1,11.76,105.14,74.78,85.84,71.16,32.16,36.6,88.5075,41.925,50.4075,NA,0.4375,0.1875,0.375,NA,90.6428571428571,96.1333312988281,83.3999989827474,NA,0.086489200592041,-10.7831954956055,2.75869433085124,NA,4.19334302629743,4.87707964579264,5.14780934651693,NA,-0.0908359214663506,-0.159575693309307,-0.140814516693354,NA,-1.29765602094787,-5.3191897769769,-2.34690861155589,0,0.2,0.0625,NA,1,1,0.3125,17.92307692,NA,0.4375,0.1875,0.375,NA,90.6071254185268,96.1076049804688,83.3630015055339,NA,0.622391019548689,-10.2298666636149,3.45334498087565,NA,3.14910725184849,3.47249666849772,3.87471675872803,NA,-0.0908359214663506,-0.159575693309307,-0.140814516693354,NA,-1.29765602094787,-5.3191897769769,-2.34690861155589,0,0.2,0.0625,NA,1,1,0.3125,1,83.1325759887695,35.4104652404785,0,0,83.1326,0,0,"2024-09-07",2
