"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Collin Snider",23307,"2024-09-28","OAK",11,2024,"SEA","H",28,0,0,27,1,0,0,0,0,0,0,1,1,6,3,3,3,1,0,0,0,0,0,2,18,0,27,2,0,0,0,2,2,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,9,0.5,3,0.666666666666667,0,12.1664797782898,14.8335202217102,2.19049659073353,714.475525611685,311.888167220696,52.648762377236,0,0.5,0,0.5,0,0.5,2,18,8,21,29,-0.778837978839874,-0.970332026481628,0.191494017839432,-2.57000017166138,-0.291879594326019,3.29996681213379,2.75139999389648,2.75139999389648,2.73340010643005,1,1,-0.13633169233799,-0.09968218997626,0,1,0.62068966,94.16666667,0.27586207,82.625,0.10344828,88.33333333,NA,-2.12677454948425,0.260184586048126,0.310726344585419,-11.8154141638014,3.25230732560158,10.357544819514,0.4375,0.84615385,0.62068966,0.57142857,0.81818182,0.72222222,0.44827586,0.5,0.17241379,0,3,1,1,2,1,4,0,0.75,0.25,0.25,0.5,0.25,13.542665526389,47.66693,61.07134,26.48899,NA,NA,NA,66.9042,53.81739,65.00477,80,61.21336,80,59.72449,58.65716,47.28814,-0.47874,3.35898,106.42,92.6,91.62,NA,NA,NA,129.48,116,129.66,102.52,131.32,129.22,112.377931034483,103.060689655172,106.003448275862,0.62068966,0.10344828,NA,0.27586207,94.1833360460069,88.1666666666667,NA,82.6500015258789,-2.27157380845812,1.7527494430542,NA,8.93112945556641,5.29397413465712,0.42451806863149,NA,0.442790389060974,-2.14045431464911,0.314512103796005,NA,0.263057757169008,-11.8914128591617,10.4837367932002,NA,3.2882219646126,0.35714286,0.86666667,0.62068966,0.8,0.69230769,0.72222222,0.51724138,19.69565217,0.5862069,0.13793103,NA,0.27586207,94.3431252872243,89.6559982299805,NA,82.8002853393555,-1.08132182850557,1.32912993431091,NA,10.1334476470947,4.56122095444623,-0.0587737672030926,NA,-1.12007641792297,-1.59615304321051,-0.229789167642593,NA,0.263057757169008,-9.3891355482971,-5.74472919106483,NA,3.2882219646126,0.41666667,0.76470588,0.62068966,0.8,0.69230769,0.72222222,0.5862069,4,90.6523361206055,22.9660873413086,1,0.25,105.183,1,0.25,"2024-09-28",0
"Collin Snider",23307,"2024-09-25","@HOU",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,0,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0,1.50000156462356,0,1,4.66648134291335,-4.66648134291335,6.93449631797012,0,118.445959804902,170.667945732913,0,0,0,1,0,0,0,0,5,9,14,0.0157719999551773,-0.0270979981869459,0.0428700000047684,0.256999999284744,0.027239004150033,0.797999978065491,0.562200009822845,0.562200009822845,0.339000016450882,1,1,-0.000856005877722055,0.0206204173923837,0,0,0.64285714,94.88888889,0.35714286,82.4,NA,NA,NA,-0.236094728112221,0.438304424285889,NA,-2.62327475680245,8.76608848571777,NA,0.33333333,0.8,0.5,0.66666667,1,0.85714286,0.35714286,1,0.07142857,0,1,0,0,0,1,1,0,1,0,0,0,1,3.34471307913734,34.34625,67.87151,20,80,45.63335,80,80,61.42969,80,NA,NA,NA,70.77699,61.72661,63.86298,-1.16539,2.32901,150.66,41.64,70.28,96.6,104.98,90.8,144.62,145.36,161.16,NA,NA,NA,136.918571428571,92.2557142857143,107.134285714286,0.42857143,NA,0.21428571,0.35714286,94.5,NA,95.3333333333333,82.2400024414062,-3.51843388875326,NA,-7.49879964192708,8.53489151000977,6.41113090515137,NA,2.98259480794271,1.23690748214722,-0.337404891848564,NA,0.094138327986002,0.443255309015512,-5.62341486414274,NA,3.13794426620007,8.86510618031025,0.14285714,0.85714286,0.5,0,1,0.85714286,0.5,18.18181818,0.42857143,NA,0.21428571,0.35714286,94.5184936523438,NA,95.365966796875,82.2721008300781,-2.25680494308472,NA,-6.42863337198893,10.0239776611328,5.54699516296387,NA,1.9023699760437,-0.206645393371582,-0.337404891848564,NA,0.094138327986002,0.443255309015512,-5.62341486414274,NA,3.13794426620007,8.86510618031025,0.25,0.83333333,0.5,0.5,1,0.85714286,0.42857143,1,93.8853607177734,30.6219348907471,0,0,93.8854,0,0,"2024-09-25",0
"Collin Snider",23307,"2024-09-21","@TEX",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,1,0,0.2,5,2,0,0,0,1,0,0,0,0,0,0,13.500014081612,27.000028163224,0,0,0,0,2,2,0,0,0,0,0,0.2,-0.2,10.1179290840149,0,0.5,4.50000469387067,0.5,1,7.66648447216047,-7.66648447216047,12.202514422274,0,195.822939623795,301.723432731227,0,0.5,0,0.5,0,0,0,0,13,13,26,-0.086092010140419,-0.262964010238647,0.176872000098228,-0.64599996805191,-0.0670820325613022,3.13823986053467,2.83306646347046,4.67919969558716,4.15240001678467,1,1,-0.0456265024840832,0.0181932870619353,0,1,0.61538462,93.9375,0.23076923,82.83333333,0.15384615,89.25,NA,-1.01936793327332,-0.0544455908238888,0.331628084182739,-6.37104958295822,-0.90742651373148,8.29070210456848,0.0625,0.8,0.34615385,1,0.875,0.88888889,0.38461538,0.4,0.03846154,1,3,0,0,2,2,4,0.25,0.75,0,0,0.5,0.5,12.0824011543722,52.00813,65.22308,46.06007,20,20,20,76.72606,56.61022,63.64092,32.805,48.76136,48.6725,40.25185,57.26801,31.2605,0.73103,5.17364,101.36,83.62,89.02,94.16,-58.36,-84.4,120.94,129.36,133.94,101.7,113.54,143.54,105.376923076923,87.8569230769231,94.4338461538462,0.53846154,0.15384615,0.07692308,0.23076923,93.8857160295759,89.375,93.25,82.5,-2.36263656616211,0.441344946622849,-5.78286361694336,7.3867301940918,6.02687781197684,1.8969851732254,4.36123466491699,0.442209164301554,-0.914185516536236,0.378346875309944,-0.124844636768103,-0.0559912472963333,-6.5298965466874,9.4586718827486,-6.24223183840513,-0.933187454938889,0.07692308,0.61538462,0.34615385,1,0.875,0.88888889,0.5,18.85714286,0.53846154,0.15384615,0.07692308,0.23076923,94.4733625139509,89.9214477539062,93.8423004150391,83.0678507486979,-1.66983577183315,1.30096900463104,-5.5915699005127,8.29647827148438,5.14507784162249,0.902258515357971,3.49852991104126,-0.714188655217489,-0.914185516536236,0.378346875309944,-0.124844636768103,-0.0559912472963333,-6.5298965466874,9.4586718827486,-6.24223183840513,-0.933187454938889,0,0.6,0.34615385,NA,0.88888889,0.88888889,0.57692308,4,102.781059265137,15.6414575576782,2,0.5,106.121,4,1,"2024-09-21",0
"Collin Snider",23307,"2024-09-18","NYY",11,2024,"SEA","H",28,0,1,0,1,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,0,0,0,3,13.5,0,4.5,3,0,0,0,2,1,0,0,1,0,0.42857143,0,0.42857143,1.49101480145846,0,0.142857142857143,0.5,0.25,0,0.166479778289795,-0.166479778289795,1.67848818451166,0,2.38057078704197,39.911237620095,0,0.333333333,0,0.666666666,0,0,0,0,3,17,20,0.0411279983818531,-0.243896618485451,0.285024613142014,0.464999973773956,0.0528108924627304,1.48142862319946,2.47499990463257,2.21659994125366,NA,0,1,0.172336235642433,-0.14457384619094,0,0,0.5,95.2,0.45,83.22222222,0.05,91,NA,0.845424175262451,-0.116690993309021,0.0389156937599182,8.45424175262451,-1.29656659232246,3.89156937599182,0.44444444,0.81818182,0.65,0.25,0.88888889,0.69230769,0.55,0.71428571,0.2,2,1,1,1,1,2,4,0.5,0.25,0.25,0.25,0.25,0.5,1.05562552112038,77.8862,64.66332,73.70556,NA,NA,NA,76.13346,56.66467,69.73904,22.93191,60.51396,20,80,63.142,74.13612,-1.84077,1.31594,95.46,137.4,130.44,NA,NA,NA,126.88,130.1,138.94,91.46,93.04,94.06,109.399,131.897,132.446,0.5,0.05,NA,0.45,95.2299987792969,90.5,NA,83.1333346896701,-3.09470806121826,0.230080977082253,NA,8.50371636284722,6.41360778808594,1.73298716545105,NA,0.535810046725803,0.855088822543621,0.039364367723465,NA,-0.128104336559772,8.55088822543621,3.9364367723465,NA,-1.42338151733081,0.57142857,0.69230769,0.65,0.25,0.88888889,0.69230769,0.65,19.92307692,0.5,0.05,NA,0.45,95.3183776855469,90.6045989990234,NA,83.2301771375868,-2.20683860778809,1.50778996944427,NA,9.77362145317925,5.41262092590332,0.256848990917206,NA,-1.13551775614421,0.855088822543621,0.039364367723465,NA,-0.128104336559772,8.55088822543621,3.9364367723465,NA,-1.42338151733081,0.44444444,0.81818182,0.65,0.25,0.88888889,0.69230769,0.55,4,87.2205708821615,28.0026016235352,0,0,100.101,2,0.5,"2024-09-18",0
"Collin Snider",23307,"2024-09-14","TEX",11,2024,"SEA","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.7574698954555,114.543946394147,1,0.333333333,0.333333333,0.333333333,0,0,0,0,6,10,16,0.0977199897170067,0,0.0977199897170067,0.430000007152557,0.048835888504982,1.35193336009979,1.8095999956131,1.8095999956131,2.21659994125366,1,1,0.0723724141716957,-9.07525150934119e-05,1,0,0.625,94.4,0.25,83,0.125,88.5,NA,0.0134685002267361,0.763054370880127,-0.0231754779815674,0.134685002267361,19.0763592720032,-1.15877389907837,0.14285714,0.66666667,0.4375,1,0.83333333,0.85714286,0.5625,0.66666667,0.0625,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,5.5397530752515,55.75271,64.83326,43.02699,38.90243,63.14962,20,72.71051,66.19068,41.54201,66.65171,57.13763,68.49036,62.1599,64.35038,41.95725,-0.63004,3.13203,127.56,88.6,107.36,89.82,61.2,64.3,153.32,104.86,147.72,101.4,92.34,107.94,128.37125,91.42,114.83125,0.5,0.125,0.125,0.25,94.1500015258789,88.5500030517578,94.9499969482422,83,-2.77876377105713,1.14650988578796,-7.2091703414917,8.56427192687988,6.0860071182251,1.21849572658539,5.47182464599609,0.301874279975891,0.0471579059958458,-0.0240093097090721,-0.0350487045943737,0.774380289018154,0.589473824948072,-1.20046548545361,-1.75243522971869,19.3595072254539,0.14285714,0.66666667,0.4375,1,0.83333333,0.85714286,0.5625,16.92307692,0.5625,0.125,0.0625,0.25,94.4141235351562,88.7321472167969,95.0878982543945,83.1738739013672,-2.1654716067844,2.09637999534607,-7.99585008621216,9.86454772949219,5.47987662421332,0.414636999368668,2.51746010780334,-0.848034024238586,0.0471579059958458,-0.0240093097090721,-0.0350487045943737,0.774380289018154,0.523976733287175,-1.20046548545361,-3.50487045943737,19.3595072254539,0.14285714,0.66666667,0.4375,1,0.83333333,0.85714286,0.5625,3,89.2394510904948,16.0315157572428,0,0,97.2193,2,0.66666667,"2024-09-14",0
"Collin Snider",23307,"2024-09-12","TEX",11,2024,"SEA","H",28,0,1,13.500014081612,1,0,0,0,0,0,0,1,0.2,5,2,3,1,1,0,0,0,0,0,0,0,0,27.000028163224,0,0.5,0,2,3,0,0,1,0,0,0,0,0,6.69112908401489,13.500014081612,0.4,3.00000312924711,0.25,-1.66666667,22.666500118396,-9.16648603678402,9.97052470346011,357.238135434255,582.707838718259,246.196953174255,0.666666666,0,0.4,0.6,0,0.333333333,0,0,5,16,21,-0.372222006320953,-0.404937982559204,0.032715979963541,-1.89800000190735,-0.215559348464012,2.10852003097534,1.34660005569458,1.34660005569458,3.31040000915527,1,1,-0.209900662302971,0.0333683074508455,0,1,0.47619048,94.2,0.28571429,83.16666667,0.23809524,87,NA,-0.0922234058380127,-2.10573744773865,0.0546733774244785,-0.922234058380127,-35.0956241289775,1.09346754848957,0.5,0.90909091,0.71428571,0.8,0.7,0.73333333,0.52380952,0.4,0.19047619,3,1,1,2,0,3,5,0.6,0.2,0.2,0.4,0,0.6,10.7550504051626,72.09481,60.27959,57.65571,NA,NA,NA,80,48.90813,80,21.85718,55.93791,26.21357,70.77275,56.68519,61.28467,-1.16512,2.32941,106.84,103.92,102.76,NA,NA,NA,134.5,115.42,129.84,102.54,72.02,74.34,113.719047619048,99.6104761904762,103.730476190476,0.47619048,0.23809524,NA,0.28571429,94.2099975585938,87.1200012207031,NA,83.2166646321615,-2.75291175842285,2.14421253204346,NA,8.33073043823242,5.83156967163086,-0.0809095323085785,NA,-0.324365695317586,-0.0958505235612392,0.054819617420435,NA,-2.11330356821418,-0.958505235612392,1.0963923484087,NA,-35.221726136903,0.375,0.92307692,0.71428571,1,0.66666667,0.73333333,0.61904762,17,0.47619048,0.23809524,NA,0.28571429,94.39921875,87.3026794433594,NA,83.393315633138,-1.64598274230957,3.24066390991211,NA,9.66067822774251,4.91558685302734,-1.17019119262695,NA,-1.71001688639323,-0.0958505235612392,0.054819617420435,NA,-2.11330356821418,-0.958505235612392,1.0963923484087,NA,-35.221726136903,0.16666667,0.93333333,0.71428571,1,0.71428571,0.73333333,0.71428571,5,88.55517578125,8.84002532958984,2,0.4,102.453,3,0.6,"2024-09-12",0
"Collin Snider",23307,"2024-09-11","SDP",11,2024,"SEA","H",28,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,1,1,1,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1728704898465,64.7888072114456,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,8,12,0.0350439846515656,-0.00966602563858032,0.0447100102901459,0.430000007152557,0.048835888504982,0.490700006484985,0.77180004119873,0.77180004119873,0.651800036430359,1,1,0.030729454010725,0.0406868577651703,0,0,0.58333333,94.57142857,0.33333333,82.5,0.08333333,87,NA,-0.226024746894836,0.539505004882812,0.0673001259565353,-3.22892495564052,13.4876251220703,6.73001259565353,0.2,0.71428571,0.5,1,0.6,0.66666667,0.58333333,0.75,0.16666667,3,0,0,0,3,0,3,1,0,0,0,1,0,2.77295078132881,77.91448,61.96482,71.51971,NA,NA,NA,80,57.73675,80,60.39382,62.13187,58.23722,80,61.14025,80,-2.19065,0.79112,111.58,118.96,133.98,NA,NA,NA,119.02,105.64,122.24,95.38,140.2,161.94,112.71,116.29,132.396666666667,0.58333333,0.08333333,NA,0.33333333,94.5428553989955,87.0999984741211,NA,82.3249969482422,-3.18783814566476,0.556059777736664,NA,8.78871822357178,5.62184306553432,0.767103135585785,NA,0.472378760576248,-0.230839725583792,0.0682137757539749,NA,0.546277347952127,-3.29771036548274,6.82137757539749,NA,13.6569336988032,0.2,0.71428571,0.5,1,0.6,0.66666667,0.58333333,16.5,0.58333333,0.08333333,NA,0.33333333,94.67626953125,87.2615966796875,NA,82.4688720703125,-2.17993136814662,1.67622005939484,NA,10.0706272125244,4.7827399117606,-0.382023990154266,NA,-0.934435486793518,-0.230839725583792,0.0682137757539749,NA,0.546277347952127,-3.29771036548274,6.82137757539749,NA,13.6569336988032,0.2,0.71428571,0.5,1,0.6,0.66666667,0.58333333,3,89.3475341796875,10.1880340576172,0,0,96.0421,1,0.33333333,"2024-09-11",0
"Collin Snider",23307,"2024-09-06","@STL",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,2,1,1,0,0,0,0.25,0,0.25,4.46147908401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,28.1728704898465,102.403901559937,0,0.333333333,0,0.666666666,0.5,0,3,27,3,9,12,0.0850360095500946,-0.10564000159502,0.190676003694534,0.479999989271164,0.0506329126656055,2.30392003059387,1.67040002346039,1.67040002346039,0.185599997639656,1,1,0.0282158982008696,0.00869337313706625,1,0,0.41666667,94.2,0.5,82.33333333,0.08333333,87,NA,0.238151907920837,0.0171696171164513,0.0642120540142059,4.76303815841675,0.286160285274188,6.42120540142059,0.5,0.33333333,0.41666667,0.66666667,1,0.8,0.5,0.75,0.08333333,0,0,3,2,1,0,3,0,0,1,0.66666667,0.33333333,0,1.63359240393331,73.55421,75.81588,73.41602,20,59.40049,20,74.76315,51.59482,71.51853,80,56.64721,80,72.68844,64.30006,69.68569,-1.28414,2.15088,99.98,71.98,83.64,86.94,9.3,8.91999999999999,99.36,131.34,130.86,101.36,192,219.94,98.6983333333333,106.438333333333,112.381666666667,0.33333333,0.08333333,0.08333333,0.5,93.9250030517578,87,93.9000015258789,82.3999989827474,-2.17732191085815,1.73819422721863,-6.27344608306885,6.71667989095052,6.71182537078857,1.07178664207458,2.41230082511902,0.245204349358877,0.257604576647282,0.0652216598391533,-0.0350487045943737,0.057972613722086,6.44011441618204,6.52216598391533,-3.50487045943737,0.966210228701433,0.5,0.33333333,0.41666667,0.66666667,1,0.8,0.5,17.57142857,0.33333333,NA,0.08333333,0.58333333,93.9445495605469,NA,93.8809967041016,83.0826154436384,-1.57426941394806,NA,-6.15205001831055,6.82913262503488,6.26201486587524,NA,1.92154002189636,-0.629424571990967,0.257604576647282,NA,-0.0350487045943737,0.123194273561239,6.44011441618204,NA,-3.50487045943737,1.75991819373199,0.5,0.25,0.41666667,0.75,1,0.8,0.33333333,3,87.7111511230469,42.1515274047852,0,0,100.962,1,0.33333333,"2024-09-06",0
"Collin Snider",23307,"2024-09-05","@OAK",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,105.54976959826,139.421515985497,1,0,0.5,0.5,0,0,0,0,8,9,17,0.0750160068273544,-0.0670120045542717,0.142028003931046,0.453000009059906,0.0496710538864136,1.99520003795624,1.4811999797821,1.4811999797821,1.61760008335114,1,1,0.023451816290617,0.0141464221818503,1,0,0.64705882,94.90909091,0.35294118,81.83333333,NA,NA,NA,0.597195088863373,-0.18290014564991,NA,5.4290462623943,-3.04833576083183,NA,0.23076923,1,0.41176471,0.33333333,1,0.71428571,0.23529412,0.75,0.11764706,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,2.72831429353976,51.54934,60.74866,40.04496,NA,NA,NA,50.20633,55.09877,44.56024,NA,NA,NA,51.70309,58.65032,41.24465,0.0196,4.10649,102.38,108.46,109.58,NA,NA,NA,143.78,47.58,63.3,NA,NA,NA,116.991764705882,86.9729411764706,93.2458823529412,0.64705882,NA,NA,0.35294118,94.718184037642,NA,NA,81.8833312988281,-2.48270433599299,NA,NA,8.89685185750326,6.05586034601385,NA,NA,0.967487732569377,0.601660706102848,NA,NA,-0.186932269483805,5.46964278275316,NA,NA,-3.11553782473008,0.27272727,0.66666667,0.41176471,0.33333333,1,0.71428571,0.35294118,21.46153846,0.64705882,NA,NA,0.35294118,94.6278742009943,NA,NA,81.7944030761719,-0.909847779707475,NA,NA,10.9475326538086,4.9610183022239,NA,NA,-0.909659306208293,0.601660706102848,NA,NA,-0.186932269483805,5.46964278275316,NA,NA,-3.11553782473008,0.125,0.66666667,0.41176471,0,0.83333333,0.71428571,0.52941176,2,74.3092956542969,8.18947601318359,0,0,83.7024,0,0,"2024-09-05",0
"Collin Snider",23307,"2024-09-02","@OAK",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,105.54976959826,101.806421637006,2,0,1,0,0,0,0,0,7,15,22,0.100903987884521,-0.0646560192108154,0.165560007095337,0.453000009059906,0.0496710538864136,2.16079998016357,1.78479993343353,1.78479993343353,2.20959997177124,1,1,0.0371635034680367,0.0095340107909569,1,0,0.5,94.27272727,0.45454545,81.7,0.04545455,87,NA,-0.0426227711141109,0.478397816419601,0.0572940893471241,-0.387479737401009,4.78397816419601,5.72940893471241,0.36363636,0.63636364,0.5,0.5,0.85714286,0.72727273,0.5,1,0.13636364,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,2.93883724533842,59.98741,47.90654,60.31679,NA,NA,NA,80,50.79062,80,80,52.45882,80,76.20674,49.60432,78.83148,-1.50272,1.82301,111.08,94.14,94.1,NA,NA,NA,124.56,119.9,122.8,109.18,86.44,96.96,117.120909090909,105.499090909091,107.275454545455,0.5,0.04545455,NA,0.45454545,94.2090953480114,86.5,NA,81.7,-3.61095151034268,1.67500865459442,NA,8.04997863769531,5.48342860828746,0.705762207508087,NA,0.0859809160232544,-0.0470880046486855,0.057969942688942,NA,0.483959250152111,-0.428072769533504,5.7969942688942,NA,4.83959250152111,0.3,0.66666667,0.5,0.33333333,0.875,0.72727273,0.54545455,20.47058824,0.5,NA,NA,0.5,94.1388494318182,NA,NA,82.0592817826705,-2.17943538318981,NA,NA,9.38259540904652,4.41426918723367,NA,NA,-1.63661662015048,-0.0470880046486855,NA,NA,0.541929192841053,-0.428072769533504,NA,NA,4.92662902582776,0.22222222,0.69230769,0.5,0.5,0.77777778,0.72727273,0.59090909,2,70.7058563232422,-30.0366840362549,0,0,79.7167,0,0,"2024-09-02",0
