"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFC%","piSI%","piSL%","pivCH","pivFC","pivSI","pivSL","piCH-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFC","piwSI","piwSL","piwCH/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Cristopher Sanchez",20778,"2024-09-25","CHC",26,2024,"PHI","H",27,0,0,5.78571507395541,1,1,0,0,0,0,0,0,4.2,22,5,4,3,1,1,0,0,0,0,4,7.71428676527388,1.92857169131847,9.64285845659235,4,0,0,6,5,6,0,0,0,0,0.18181818,0.04545455,0.13636364,4.23194809820547,1.92857169131847,0.238095238095238,1.28571446087898,0.25,0.43478261,4.88076572612843,0.904949347826975,3.71506028826567,139.852160483457,117.044772490415,91.5666033585609,1.2,0.352941176,0.352941176,0.294117647,0,0.2,5,9.64285845659235,30,64,94,-0.163643926382065,-0.470913976430893,0.307270050048828,-1.93190002441406,-0.197839215397835,0.916695654392242,0.864319980144501,0.870000004768372,2.37840008735657,1,1,-0.0523245893418789,-0.126190412445229,0,0,0.5212766,94.73469388,0.19148936,84.27777778,NA,NA,0.28723404,84.44444444,NA,-1.65271723270416,-1.01204109191895,NA,1.36749160289764,-3.37289231164115,-5.62245051066081,NA,5.06478371443572,0.39583333,0.69565217,0.54255319,0.78947368,0.875,0.84313725,0.4893617,0.5,0.08510638,10,3,4,3,10,4,17,0.58823529,0.17647059,0.23529412,0.17647059,0.58823529,0.23529412,7.15114088870549,42,64.03142,68.50377,56.424,71.45485,57.33888,59.97075,51.48638,49.9665,54.5846,NA,NA,NA,70.75944,61.37931,62.68084,-1.1643,2.33064,112,86.1,106.26,115.1,131.1,147.78,104.46,124.62,130.18,NA,NA,NA,112.172127659574,116.933617021277,132.483829787234,NA,0.5212766,0.19148936,0.28723404,NA,94.6428571428571,84.1722208658854,84.3407389322917,NA,11.2939054528061,0.415067142910428,11.2202058015046,NA,4.42081871811224,-1.41906144883898,0.135217825571696,NA,-1.62343776226044,0.0484281741082668,1.3815936781466,NA,-3.31313829032742,0.269045411712593,5.11701362276519,0.34883721,0.70588235,0.54255319,0.73333333,0.88888889,0.84313725,0.54255319,17.91666667,0.28723404,NA,0.5212766,0.19148936,84.3130334924768,NA,94.6234952965561,84.1560465494792,10.1792738172743,NA,10.4314562739158,-0.876763979593913,-1.37677793149595,NA,3.04900842783402,-3.03190337287055,1.3815936781466,NA,-1.62343776226044,0.0484281741082668,5.11701362276519,NA,-3.31313829032742,0.269045411712593,0.34883721,0.70588235,0.54255319,0.73333333,0.88888889,0.84313725,0.54255319,17,85.0690343520221,14.7805543787339,0,0,103.448,4,0.23529412,"2024-09-25",0
"Cristopher Sanchez",20778,"2024-09-20","@NYM",26,2024,"PHI","A",27,1,0,3.6,1,1,0,0,0,0,0,0,5,22,3,2,2,1,5,0,0,1,0,7,12.6,9,5.4,1.4,0.142857142,0,7,2,1,0,1,0,0,0.31818182,0.22727273,0.09090909,5.2002766014776,1.8,0.176470588235294,1.6,0.222222222222222,0.90909091,5.96647977828979,-2.36647977828979,3.97128314077854,87.0191102231809,142.691970910671,97.758413991297,3.5,0.1,0.7,0.2,0,0.5,10,18,43,55,98,-0.039581973105669,-0.291722029447556,0.252140045166016,0.295000016689301,0.0320826470851898,0.72444349527359,0.655279994010925,0.870000004768372,0.0851999968290329,1,1,-0.0771310776472092,0.0224933131232546,0,0,0.52040816,94.80392157,0.12244898,84.58333333,NA,NA,0.35714286,85.02857143,NA,-0.782565712928772,1.48188436031342,NA,-0.976186871528625,-1.53444257437014,12.3490363359451,NA,-2.78910534722464,0.28571429,0.6,0.39795918,0.55555556,0.76190476,0.66666667,0.35714286,0.63636364,0.13265306,5,2,3,1,7,2,10,0.5,0.2,0.3,0.1,0.7,0.2,5.57927253007669,49,60.72719,68.50631,36.83546,53.65944,56.2652,50.25674,65.92336,52.53208,76.86475,NA,NA,NA,60.22685,62.72401,47.29586,-0.50995,3.31217,119.28,74.18,98.4,105.72,99.04,111.58,111.84,124.76,137.74,NA,NA,NA,111.312244897959,93.3108163265306,110.07612244898,NA,0.52040816,0.12244898,0.35714286,NA,94.7137235753677,84.5,84.9714285714286,NA,12.0009645948223,-0.231928288936615,11.7424220493862,NA,4.27911885579427,-1.91282510757446,-0.464370291573661,NA,-0.783643659204245,1.50367363914847,-1.00277660787106,NA,-1.53655619451813,12.5306136595706,-2.86507602248873,0.25925926,0.56818182,0.39795918,0.5,0.76,0.66666667,0.44897959,17.75,0.35714286,NA,0.52040816,0.12244898,84.5784249441964,NA,94.3349896599265,84.1057942708333,11.2778686523438,NA,11.5012949027267,-1.05685273806254,-2.14799390520368,NA,2.90331373027727,-3.47838910420736,-1.00277660787106,NA,-0.783643659204245,1.50367363914847,-2.86507602248873,NA,-1.53655619451813,12.5306136595706,0.26923077,0.54347826,0.39795918,0.5,0.76,0.66666667,0.46938776,10,82.7883972167969,-0.780932521820068,1,0.1,102.471,2,0.2,"2024-09-20",0
"Cristopher Sanchez",20778,"2024-09-15","NYM",26,2024,"PHI","H",27,0,0,1.28571428571429,1,1,1,0,0,0,0,0,7,27,6,1,1,1,1,0,0,0,0,7,9,1.28571428571429,7.71428571428571,7,0.1,0,10,7,2,0,1,0,0,0.25925926,0.03703704,0.22222222,3.16063580807521,1.28571428571429,0.230769230769231,1,0.277777777777778,1,3.45219406400408,-2.1664797782898,3.10705961308309,31.078253651136,83.2984460031413,76.8738270960797,1.428571428,0.105263157,0.526315789,0.368421052,0,0.142857142,0,0,18,69,87,0.16145396232605,-0.486598014831543,0.648051977157593,2.12409996986389,0.217521771788597,1.18064999580383,1.22382497787476,0.870000004768372,1.3911999464035,1,1,0.173848882317543,-0.0370988184545219,0,0,0.47126437,94.80487805,0.12643678,85.09090909,NA,NA,0.40229885,85.28571429,NA,0.527883589267731,-0.317742317914963,NA,0.676045179367065,1.28752094943349,-2.88856652649966,NA,1.93155765533447,0.51162791,0.70454545,0.6091954,0.68181818,0.87096774,0.79245283,0.50574713,0.85185185,0.12643678,7,6,6,0,13,6,19,0.36842105,0.31578947,0.31578947,0,0.68421053,0.31578947,2.81840175663614,66,70.9707,61.84814,62.48445,66.26944,57.50119,63.83165,80,52.29684,80,NA,NA,NA,76.25998,61.28913,73.46516,-1.50602,1.81806,112.24,106.46,111.24,103.68,94.68,99.12,118.58,147.3,150.4,NA,NA,NA,109.007586206897,106.072183908046,110.479540229885,NA,0.47126437,0.12643678,0.40229885,NA,94.7853646627287,85.0818148526278,85.2857142857143,NA,11.5541634908537,0.279263366352428,11.586625453404,NA,4.5810744122761,-1.34169353138317,0.798912266322545,NA,0.609141524881124,-0.305845849215984,0.679783601313829,NA,1.48571103629543,-2.7804168110544,1.94223886089666,0.51428571,0.67307692,0.6091954,0.61111111,0.88571429,0.79245283,0.59770115,18.08333333,0.40229885,NA,0.47126437,0.12643678,84.8806431361607,NA,94.3935963700457,84.6770463423295,11.2065490722656,NA,11.031995075505,-0.598939808932218,-0.748375265938895,NA,3.29385636492473,-2.91478451815518,0.679783601313829,NA,0.609141524881124,-0.305845849215984,1.94223886089666,NA,1.48571103629543,-2.7804168110544,0.52777778,0.66666667,0.6091954,0.57894737,0.91176471,0.79245283,0.5862069,19,92.6544317948191,5.82083651894017,3,0.15789474,108.97,10,0.52631579,"2024-09-15",0
"Cristopher Sanchez",20778,"2024-09-09","TBR",26,2024,"PHI","H",27,0,0,0,1,1,1,0,0,0,0,0,6,23,4,0,0,0,1,0,0,0,0,4,6,1.5,6,4,0,0,10,7,1,0,0,0,0,0.17391304,0.04347826,0.13043478,4.13210337297058,0,0.181818181818182,0.833333333333333,0.222222222222222,1,2.33314644495646,-2.33314644495646,4.09715625221531,0,56.8638279098278,100.800228810413,1.428571428,0.055555555,0.555555555,0.388888888,0,0,1,1.5,26,68,94,0.355319947004318,-0.149965971708298,0.505285918712616,3.00609993934631,0.307844340801239,1.06029570102692,1.06666672229767,0.870000004768372,1.72979998588562,1,1,0.263738721609116,0.0713752910763872,0,0,0.40425532,95.81578947,0.18085106,86.05882353,NA,NA,0.41489362,85.79487179,NA,0.510748267173767,0.559212386608124,NA,1.3094630241394,1.34407438729939,3.28948462710661,NA,3.35759749779334,0.44444444,0.725,0.56382979,0.58333333,0.79310345,0.69811321,0.42553191,0.73913043,0.17021277,9,3,6,1,13,4,18,0.5,0.16666667,0.33333333,0.05555556,0.72222222,0.22222222,1.2627429402791,70,70.15614,69.2302,63.75972,66.1829,57.91897,58.65093,55.41252,57.85009,58.5996,NA,NA,NA,70.68479,67.12228,65.52185,-1.15966,2.3376,122.92,104.84,122.84,103.08,105,105.14,126.26,110.02,126.24,NA,NA,NA,115.459784946237,105.907956989247,116.265806451613,NA,0.40425532,0.19148936,0.40425532,NA,95.7947355571546,85.9833306206597,85.8131553248355,NA,11.3178654720909,0.654315789540609,11.3624363949424,NA,4.45329686215049,-1.77734915415446,0.282506139654862,NA,0.510934609919786,0.518173791468143,1.3383826687932,NA,1.34456476294681,2.87874328593413,3.52205965471895,0.41463415,0.67924528,0.56382979,0.58823529,0.75,0.69811321,0.56382979,19.84507042,0.41489362,NA,0.40425532,0.18085106,85.3829564803686,NA,95.4162404913651,85.6745461856618,10.8758983122997,NA,10.9001561215049,-0.44229543910307,-1.39481608072917,NA,3.09062857376902,-3.27490346571978,1.30333396419883,NA,0.510934609919786,0.553222496062517,3.34188195948417,NA,1.34456476294681,3.25424997683834,0.44444444,0.67346939,0.56382979,0.55,0.78787879,0.69811321,0.5212766,18,90.3323635525174,12.4877777099609,0,0,116.27,4,0.22222222,"2024-09-09",0
"Cristopher Sanchez",20778,"2024-09-04","@TOR",26,2024,"PHI","A",27,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,27,6,2,2,0,0,0,0,0,0,7,9,0,7.71428571428571,7,0.111111111,0,9,7,4,0,1,0,0,0.25925926,0,0.25925926,2.89507613758925,0,0.222222222222222,0.857142857142857,0.3,0.66666667,1.1664797782898,1.40494879313878,2.67848818451166,62.1565073022721,29.3043324508413,66.5170884121943,1.285714285,0.2,0.45,0.35,0,0,3,3.85714285714286,24,72,96,0.275546073913574,-0.434891998767853,0.710438072681427,1.35300004482269,0.142947688698769,1.29356300830841,1.29128575325012,0.923799991607666,2.46480011940002,1,1,0.133390888571739,0.0796223718135475,0,0,0.5,95.85416667,0.20833333,85,NA,NA,0.29166667,85.92857143,NA,1.37378418445587,0.0458117090165615,NA,-0.595375418663025,2.86205038428307,0.229058545082808,NA,-2.12634078093937,0.40816327,0.68085106,0.54166667,0.65,0.84375,0.76923077,0.48958333,0.7037037,0.125,8,5,7,4,10,6,20,0.4,0.25,0.35,0.2,0.5,0.3,1.58802495131527,71,59.42716,64.83507,50.903,64.07218,55.21016,64.86501,49.9196,45.32015,54.48055,NA,NA,NA,63.2382,58.06215,63.27171,-0.69703,3.03155,120.32,91.76,111,110.54,102.38,110.5,110.22,93.48,102.72,NA,NA,NA,113.325833333333,97.4283333333333,109.025,NA,0.5,0.20833333,0.29166667,NA,95.8729146321615,84.9049987792969,85.8178536551339,NA,10.8769772847493,-0.257652950286865,10.6523688180106,NA,3.98140462239583,-1.84812641143799,0.0199758474315916,NA,1.43581529706717,0.0442488193511963,-0.59818971157074,NA,2.99128186888993,0.221244096755981,-2.13639182703836,0.4,0.64285714,0.54166667,0.5625,0.86111111,0.76923077,0.58333333,17.63768116,0.29166667,NA,0.5,0.20833333,85.7999616350446,NA,95.8773905436198,84.8789916992187,10.3527363368443,NA,10.5259386698405,-0.804153728485107,-1.17440686907087,NA,2.96335633595785,-2.9656644821167,-0.59818971157074,NA,1.43581529706717,0.0442488193511963,-2.13639182703836,NA,2.99128186888993,0.221244096755981,0.38095238,0.66666667,0.54166667,0.5625,0.86111111,0.76923077,0.5625,20,85.7289245605469,10.275537109375,0,0,104.851,10,0.5,"2024-09-04",0
"Cristopher Sanchez",20778,"2024-08-29","ATL",26,2024,"PHI","H",27,0,0,3.17647094462574,1,1,0,0,0,0,0,0,5.2,26,7,4,2,2,1,0,0,0,0,8,12.7058837785029,1.58823547231287,11.1176483061901,8,0,0,9,4,3,0,0,1,0,0.30769231,0.03846154,0.26923077,2.52986813956572,3.17647094462574,0.28,1.4117648642781,0.333333333333333,0.76923077,5.46059768274172,-2.28412673811598,1.93966204503646,76.781576458644,130.741809212066,48.6628201403342,2.25,0.1875,0.5625,0.25,0,0.5,0,0,33,72,105,-0.163113996386528,-0.451317995786667,0.2882040143013,-1.43089997768402,-0.146533533930779,0.633176922798157,0.678866684436798,0.870000004768372,0.501399993896484,1,1,-0.283421754837036,0.0258097185902172,0,0,0.39047619,95.14634146,0.0952381,84.9,NA,NA,0.51428571,85.64814815,NA,-1.9241179227829,0.0990067794919014,NA,-0.566449344158173,-4.69297054337292,0.990067794919014,NA,-1.04898026695958,0.35714286,0.79591837,0.56190476,0.5,0.82051282,0.71186441,0.46666667,0.65384615,0.16190476,8,6,3,2,8,7,17,0.47058824,0.35294118,0.17647059,0.11764706,0.47058824,0.41176471,5.60308973236485,42,62.89489,66.11141,56.58844,60.41606,56.45327,66.18533,67.13349,51.62635,74.89044,NA,NA,NA,64.7911,65.53712,66.06856,-0.79351,2.88683,111.88,95.64,114.6,105.3,98.18,104.58,115.8,142.64,160.94,NA,NA,NA,109.726153846154,101.136153846154,115.201923076923,NA,0.39047619,0.0952381,0.51428571,NA,95.0463390815549,84.9799987792969,85.5703667534722,NA,10.8941814143483,-0.434520292282104,11.053961859809,NA,4.50327431283346,-1.70328464508057,0.768983063874421,NA,-1.93413514643908,0.099331445991993,-0.574298303574324,NA,-4.71740279619287,0.99331445991993,-1.06351537698949,0.32608696,0.74576271,0.56190476,0.4,0.81818182,0.71186441,0.56190476,17.75949367,0.51428571,NA,0.39047619,0.0952381,85.4366590711806,NA,94.9220000476372,84.836962890625,10.5669227882668,NA,10.4278162514291,-1.26530590057373,-0.687822200633861,NA,3.31284834698933,-3.1883279800415,-0.574298303574324,NA,-1.93413514643908,0.099331445991993,-1.06351537698949,NA,-4.71740279619287,0.99331445991993,0.37254902,0.74074074,0.56190476,0.47368421,0.825,0.71186441,0.51428571,17,89.4592514038086,2.11674475669861,3,0.17647059,110.041,8,0.47058824,"2024-08-29",0
"Cristopher Sanchez",20778,"2024-08-22","@ATL",26,2024,"PHI","A",27,0,1,4.5,1,1,1,0,0,0,0,0,6,27,9,3,3,1,1,0,0,0,0,8,12,1.5,13.5,8,0.23076923,1,13,3,1,0,3,1,1,0.2962963,0.03703704,0.25925926,2.01947394361774,1.5,0.346153846153846,1.66666666666667,0.470588235294118,0.81395349,3.1664797782898,1.3335202217102,1.75581731473406,108.773887778976,76.5491818091038,44.2200792033145,4.333333333,0.058823529,0.764705882,0.176470588,0,0.333333333,2,3,28,67,95,-0.057183962315321,-0.608580052852631,0.551396131515503,0.0420000404119492,0.00426830165088177,1.19900739192963,0.901799976825714,0.920000016689301,0.755999982357025,1,1,-0.0742051005363464,0.0265123484313809,0,0,0.47368421,94.37777778,0.12631579,85.16666667,NA,NA,0.4,85.31578947,NA,-0.171257466077805,0.485590785741806,NA,-1.57214295864105,-0.380572146839566,4.04658988118172,NA,-4.1372183122133,0.48275862,0.64864865,0.54736842,0.71428571,0.83333333,0.76923077,0.38947368,0.77777778,0.12631579,10,8,0,4,8,6,18,0.55555556,0.44444444,0,0.22222222,0.44444444,0.33333333,2.36998835130436,49,58.55022,58.50391,53.98301,54.73203,45.54984,60.74585,59.99392,45.32366,66.73347,NA,NA,NA,58.62832,52.8038,62.50055,-0.41063,3.46115,110.3,102.4,106.7,103.1,104.36,112.8,114.2,118.3,125.24,NA,NA,NA,107.382105263158,105.336842105263,111.931368421053,NA,0.47368421,0.12631579,0.4,NA,94.3622178819444,85.0750020345052,85.2184223375822,NA,9.84329698350694,-0.119864056507746,10.2635208932977,NA,4.65758293999566,-1.42357714970907,1.20673651444285,NA,-0.15537790581584,0.489662665873766,-1.63775135949254,NA,-0.345284235146311,4.08052221561472,-4.30987199866458,0.42307692,0.69767442,0.54736842,0.63636364,0.83333333,0.75,0.45263158,19.30882353,0.4,NA,0.47368421,0.12631579,85.0358372738487,NA,94.1914822048611,84.8859659830729,9.94067141884252,NA,9.49891289605035,-0.796403646469116,-0.323287236063104,NA,3.39031575520833,-2.93153667449951,-1.63775135949254,NA,-0.15537790581584,0.489662665873766,-4.30987199866458,NA,-0.345284235146311,4.08052221561472,0.4,0.71111111,0.54736842,0.7,0.78125,0.75,0.47368421,18,84.4874770220588,-12.1161947811351,1,0.05555556,110.384,6,0.33333333,"2024-08-22",0
"Cristopher Sanchez",20778,"2024-08-17","WSN",26,2024,"PHI","H",27,1,0,1,1,1,1,1,0,0,0,0,9,29,2,1,1,1,0,0,0,0,0,4,4,0,2,4,0,0,15,8,2,0,0,0,0,0.13793103,0,0.13793103,3.76559829438325,1,0.0689655172413793,0.222222222222222,0.0416666666666667,1,3.72203533384535,-2.72203533384535,3.62159836159812,24.1719750619947,89.6727510752879,89.3080282719882,1.875,0.08,0.6,0.32,0,0.125,5,5,28,71,99,0.286734014749527,-0.151671975851059,0.438405990600586,3.50909996032715,0.359354853630066,0.642482757568359,0.8692666888237,0.870000004768372,NA,0,1,0.443351119756699,0.00293947928559374,0,0,0.49494949,94.44897959,0.12121212,84.16666667,NA,NA,0.38383838,85.31578947,NA,3.32576990127563,-1.05631291866302,NA,2.05552005767822,6.78728551280742,-8.80260765552521,NA,5.40926330967953,0.50847458,0.575,0.53535354,0.8,0.91304348,0.8490566,0.4040404,0.62068966,0.08080808,8,9,8,5,16,4,25,0.32,0.36,0.32,0.2,0.64,0.16,2.84060713505819,85,66.96864,66.97777,58.77147,71.36002,57.60148,70.01696,39.00477,40.48764,37.31126,NA,NA,NA,70.76864,61.724,67.92118,-1.16487,2.32979,121.82,98.38,113.22,103.5,119.42,128.82,93.78,96.4,95.32,NA,NA,NA,109.413469387755,108.442857142857,118.668979591837,NA,0.49494949,0.12121212,0.38383838,NA,94.3571428571429,84.2333323160807,85.2921078330592,NA,10.5790056501116,-0.362218737602234,10.9264943976151,NA,4.45446808484136,-1.54510688781738,0.746664850335372,NA,3.36680421233177,-1.05462279543281,2.08047977462411,NA,6.87102900475872,-8.78852329527338,5.4749467753266,0.42222222,0.62962963,0.53535354,0.84210526,0.85294118,0.8490566,0.54545455,16.1,0.38383838,NA,0.49494949,0.12121212,85.1544253700658,NA,94.2268714126275,84.0789388020833,10.7497911955181,NA,10.3459329410475,-0.802763700485229,-0.781540920859889,NA,3.18071295290577,-3.08548672993978,2.08047977462411,NA,3.36680421233177,-1.05462279543281,5.4749467753266,NA,6.87102900475872,-8.78852329527338,0.41304348,0.64150943,0.53535354,0.78947368,0.88235294,0.8490566,0.53535354,25,83.07392578125,3.24019958496094,1,0.04,105.872,6,0.24,"2024-08-17",0
"Cristopher Sanchez",20778,"2024-08-11","@ARI",26,2024,"PHI","A",27,0,1,13.5000018392293,1,1,0,0,0,0,0,0,4.2,27,12,7,7,0,2,0,0,1,0,4,7.71428676527388,3.85714338263694,23.1428602958216,2,0.181818181,0,11,2,7,1,2,1,0,0.14814815,0.07407407,0.07407407,4.09261797509763,0,0.48,3.00000040871762,0.571428571428571,0.5,2.73790829133014,10.7620935478992,3.38591198228015,326.321707794733,66.425284138776,83.612496374111,5.5,0.35,0.55,0.1,0.5,0,2,3.85714338263694,31,65,96,-0.342000007629395,-0.750579953193665,0.408579975366592,-2.88800001144409,-0.291717171669006,1.06806898117065,0.752799987792969,0.910000026226044,0.702000021934509,1,1,-0.260260492563248,-0.0599435519868958,0,0,0.33333333,93.90625,0.20833333,84.95,NA,NA,0.45833333,84.63636364,NA,-4.15574979782104,0.466968208551407,NA,-0.0384627915918827,-12.9867181181908,2.33484104275703,NA,-0.0874154354360971,0.43333333,0.72222222,0.54166667,0.61538462,0.92307692,0.76923077,0.375,0.62962963,0.125,9,9,3,3,13,5,21,0.42857143,0.42857143,0.14285714,0.14285714,0.61904762,0.23809524,5.13367273177313,23,66.11395,57.82213,64.15501,39.97854,52.96429,42.32752,34.98275,42.9887,34.37478,NA,NA,NA,51.65608,57.06208,51.03278,0.02253,4.11089,117.8,104.96,124.52,101.4,86.12,95.66,103.64,89.18,92.96,NA,NA,NA,109.383333333333,95.3925,108.325,NA,0.33333333,0.20833333,0.45833333,NA,93.8125,84.8650024414062,84.5977283824574,NA,10.3897972106934,-0.0357879906892776,10.5821588689631,NA,4.34154939651489,-0.929933166503906,0.719141830097545,NA,-4.21094867214561,0.47087612375617,-0.0506673008203506,NA,-13.159214600455,2.35438061878085,-0.115152956409888,0.40740741,0.71428571,0.54166667,0.54545455,0.93333333,0.76923077,0.4375,18.55072464,0.45833333,NA,0.33333333,0.20833333,84.5108365145597,NA,93.7410430908203,84.7740234375,9.92887878417969,NA,9.77390003204346,-1.05346431732178,-0.887018984014338,NA,2.99251055717468,-2.55634098052978,-0.0506673008203506,NA,-4.21094867214561,0.47087612375617,-0.115152956409888,NA,-13.159214600455,2.35438061878085,0.38888889,0.73809524,0.54166667,0.52380952,0.93548387,0.76923077,0.4375,21,89.2405212402344,-2.30007648468018,1,0.04761905,104.929,7,0.33333333,"2024-08-11",0
"Cristopher Sanchez",20778,"2024-08-06","@LAD",26,2024,"PHI","A",27,1,0,1.5,1,1,1,0,0,0,0,0,6,25,5,1,1,0,1,0,0,0,0,2,3,1.5,7.5,2,0.076923076,0,13,3,6,0,1,0,0,0.08,0.04,0.04,4.12355948401489,0,0.208333333333333,1,0.227272727272727,0.83333333,2.99981311162313,-1.49981311162313,3.75581731473406,36.2579625929921,72.6121110292486,92.5515263947799,4.333333333,0.272727272,0.59090909,0.136363636,0,0,4,6,30,59,89,0.142420008778572,-0.289659976959229,0.432080000638962,0.902999997138977,0.0955555662512779,0.98879998922348,0.993142902851105,0.870000004768372,3.00600004196167,1,1,0.109731778502464,0.0343014034663348,0,0,0.48314607,93.74418605,0.12359551,84,NA,NA,0.39325843,83.88571429,NA,-1.00804686546326,0.248924389481544,NA,1.61071312427521,-2.34429503596106,2.26294899528677,NA,4.60203749792916,0.38,0.84615385,0.58426966,0.78947368,0.90909091,0.86538462,0.43820225,0.52,0.07865169,8,11,3,7,10,5,22,0.36363636,0.5,0.13636364,0.31818182,0.45454545,0.22727273,4.64135497556571,63,65.63052,55.96559,64.2297,44.09196,33.08417,52.02347,20,40.24009,20,NA,NA,NA,49.37284,44.49991,53.66101,0.16437,4.32365,113.76,110.12,120.46,87.02,106.04,93.66,108.1,58.26,67.36,NA,NA,NA,100.141123595506,101.739101123596,100.948764044944,NA,0.48314607,0.12359551,0.39325843,NA,93.7139523528343,83.9363680752841,83.8714285714286,NA,9.15282777298328,-0.748265353116122,9.99577026367188,NA,5.0561356655387,-1.42081260681152,0.910191999162946,NA,-1.023836735636,0.250180549919605,1.62766006961465,NA,-2.38101566426976,2.27436863563278,4.65045734175614,0.35,0.7755102,0.58426966,0.71428571,0.92105263,0.86538462,0.5505618,17.49206349,0.39325843,NA,0.48314607,0.12359551,83.8993373325893,NA,93.7633255359738,83.9617642489347,9.60429164341518,NA,8.77008553438408,-1.47019837119363,-0.355295317513602,NA,4.00137364587118,-2.61119634454901,1.62766006961465,NA,-1.023836735636,0.250180549919605,4.65045734175614,NA,-2.38101566426976,2.27436863563278,0.35897436,0.76,0.58426966,0.71428571,0.92105263,0.86538462,0.56179775,22,81.7639437588778,3.29279084639116,0,0,106.777,5,0.22727273,"2024-08-06",0
