"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","wFB","wSL","wCT","wCB","wCH","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxKC%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvKC","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwKC","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Danny Coulombe",13293,"2024-09-27","@MIN",2,2024,"BAL","A",34,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0.25,-0.25,6.13760408401489,0,0,1,0,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,154.019040353275,151.561560819707,3,0,1,0,0,0,0,0,9,8,17,0.00321999983862042,-0.00193199981004,0.00515199964866042,0.483999997377396,0.0507337525486946,0.0583000034093857,0.0744000002741814,0.0744000002741814,0.027199998497963,1,1,0.028961168602109,0.0262703862917976,0,0,0.52941176,88.44444444,0.29411765,79.4,0.05882353,84,0.11764706,76.5,NA,NA,0.537175178527832,-0.0624232962727547,-0.0973145663738251,-0.0551077537238598,NA,5.96861309475369,-1.24846592545509,-9.73145663738251,-2.75538768619299,NA,0.18181818,0.5,0.29411765,1,1,1,0.35294118,0.25,0,1,2,0,1,0,2,3,0.33333333,0.66666667,0,0.33333333,0,0.66666667,4.85456041257146,21.80727,44.24434,20,20,57.8678,20,29.55508,34.97164,29.69874,20,56.84612,20,20,47.09057,20,20,42.78623,20,3.08339,8.70218,84.42,59.26,68,87.08,53.94,42.18,80.74,56.16,49.58,123.22,34.1,31.98,104.7,-134.32,-109.68,89.4082352941177,43.3752941176471,44.8552941176471,0.41176471,0.05882353,0.11764706,0.29411765,0.11764706,88.3428606305804,84.0999984741211,88.5,79.4200012207031,76.5,-0.351517404828753,-3.18582630157471,5.06385803222656,-7.2568229675293,-3.00503039360046,7.56547600882394,2.0133969783783,7.18968629837036,-2.99140701293945,-10.7130317687988,0.406889215111732,-0.0998305231332779,0.13624457269907,-0.0649838335812092,-0.0560956560075283,5.81270307302475,-9.98305231332779,6.8122286349535,-1.29967667162418,-2.80478280037642,0.18181818,0.5,0.29411765,1,1,1,0.35294118,20.69230769,NA,0.11764706,0.41176471,0.11764706,0.35294118,NA,76.4063491821289,88.2511858258929,88.440299987793,80.1072642008464,NA,-3.25663995742798,-0.338248286928449,5.15459012985229,-6.89490000406901,NA,-12.5107498168945,6.67597852434431,6.00785493850708,-3.56912390391032,NA,-0.0560956560075283,0.406889215111732,0.13624457269907,-0.164814356714487,NA,-2.80478280037642,5.81270307302475,6.8122286349535,-2.74690594524145,0.18181818,0.5,0.29411765,1,1,1,0.35294118,3,99.4882965087891,-26.0096486409505,0,0,101.525,2,0.66666667,"2024-09-27",0
"Danny Coulombe",13293,"2024-09-25","@NYY",2,2024,"BAL","A",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.1762071033664,114.543946394147,2,0,0.666666666,0.333333333,0,0,1,9,6,10,16,0.0192600023001432,0,0.0192600023001432,0.49099999666214,0.0509864985942841,0.249733328819275,0.40039998292923,0.40039998292923,0.155199989676476,1,1,0.0772625207901001,-0.000140246437680069,0,0,0.5625,89,0.25,80,0.0625,85,0.125,77,NA,NA,0.405049264431,0.0529568269848824,0.264997810125351,-0.0490101873874664,NA,4.50054738256666,1.32392067462206,26.4997810125351,-2.45050936937332,NA,0,1,0.5,NA,1,1,0.5,0.66666667,0,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,1.14932215408547,29.08826,24.16909,51.50818,56.56245,34.00735,80,48.15678,44.97605,61.77933,20,47.44727,20,76.48223,48.16827,80,40.76432,35.76237,67.26325,0.69919,5.12588,89.12,97.58,48.96,78.64,125.64,126.58,98.38,109.66,108.88,99.24,12.22,-3.5,120.94,113.9,180.56,90.10375,103.22625,99.56625,0.125,0.0625,0.4375,0.25,0.125,89.4499969482422,84.9000015258789,88.7999965122768,79.8249969482422,76.6499938964844,0.250935345888138,-2.21462535858154,6.14203807285854,-8.24135398864746,-3.98238134384155,8.54834747314453,1.94058990478516,8.22191074916295,-3.2166600227356,-11.786283493042,-0.0380783230066299,0.269522577524185,0.448852512985468,0.052378673106432,-0.050431564450264,-1.9039161503315,26.9522577524185,6.41217875693526,1.3094668276608,-2.5215782225132,0,0.8,0.5,NA,1,1,0.625,20.76923077,NA,0.125,0.125,0.4375,0.3125,NA,76.3088989257812,89.0907516479492,88.4144112723214,80.4835388183594,NA,-4.10128974914551,0.149277791380882,6.1854727608817,-7.4395622253418,NA,-13.4470500946045,7.77698993682861,6.95906829833984,-3.68011207580566,NA,-0.050431564450264,-0.0380783230066299,0.448852512985468,0.321901250630617,NA,-2.5215782225132,-1.9039161503315,6.41217875693526,6.43802501261234,0,0.8,0.5,NA,1,1,0.625,3,99.3721110026042,14.5413093566895,1,0.33333333,104.538,2,0.66666667,"2024-09-25",0
"Danny Coulombe",13293,"2024-09-22","DET",2,2024,"BAL","H",34,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,27.000028163224,13.500014081612,0,2,0,0,0,0,0,0,0,0,0,0.66666667,0.33333333,0.33333333,4.54806241285889,0,0,1.50000156462356,0,1,1.66647821366624,-1.66647821366624,1.66647821366624,0,40.254750923251,39.6124587345978,0,0,0,0,0,0,0,0,7,9,16,0.0270399861037731,-0.0128400027751923,0.0398799888789654,0.250999987125397,0.0269892476499081,0.697333335876465,0.938000023365021,0.938000023365021,0.888000011444092,1,1,0.0218002740293741,0.0169759965325187,0,0,0.375,89.33333333,0.25,80,0.25,84.25,0.125,79.5,NA,NA,0.165508776903152,0.296291887760162,-0.217028230428696,-0.0373910665512085,NA,2.75847961505254,7.40729719400406,-5.42570576071739,-1.86955332756042,NA,0.11111111,0.57142857,0.3125,0,0.75,0.6,0.4375,0.33333333,0.125,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.55267335553815,34.85536,25.58653,55.66049,80,56.57642,80,29.43871,54.50183,48.06072,49.87207,70.60526,44.93921,20,46.48368,20,31.4946,50.87757,35.04107,1.27508,5.98971,94.8,84.04,65.46,97.84,150.58,148.82,108.48,96.76,72.04,145.5,50.04,76.5,96.28,-45.06,-25.94,105.4975,63.17125,61.265,0.1875,0.25,0.1875,0.25,0.125,89.3333333333333,84.1500015258789,89.2000020345052,79.75,79.4499969482422,0.401444514592489,-1.89839053153992,5.3487663269043,-8.08164119720459,-3.34336304664612,9.551544825236,1.6085262298584,7.06646410624186,-3.4795663356781,-10.4177904129028,0.0229212380945683,-0.222885768860579,0.144308466464281,0.298821575939655,-0.0380783230066299,0.764041269818942,-5.57214422151446,4.81028221547604,7.47053939849138,-1.9039161503315,0.125,0.5,0.3125,0,0.75,0.6,0.5,20,NA,0.125,0.1875,0.1875,0.5,NA,79.3808517456055,89.2807312011719,89.1474609375,81.8742752075195,NA,-3.76342511177063,0.504036664962769,5.30101998647054,-5.47289896011353,NA,-12.5256500244141,8.42429351806641,5.98184649149577,-2.5216805934906,NA,-0.0380783230066299,0.0229212380945683,0.144308466464281,0.0759358070790768,NA,-1.9039161503315,0.764041269818942,4.81028221547604,0.94919758848846,0.125,0.5,0.3125,0,0.75,0.6,0.5,0,NA,NA,0,NA,NA,0,NA,"2024-09-22",0
"Danny Coulombe",13293,"2024-09-20","DET",2,2024,"BAL","H",34,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,1,0,2,18,0,18,2,0,0,1,1,1,0,0,0,0,0.4,0,0.4,1.29088908401489,0,0.4,2,0.666666666666667,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.9475705631782,15.0336680287444,1,0.333333333,0.333333333,0.333333333,0,0,0,0,10,14,24,0.0024800063110888,-0.0047199847176671,0.00719999056309462,0.467000007629395,0.050215058028698,0.0763333365321159,0.0540000014007092,0.0540000014007092,0.0299999993294477,1,1,-0.0212751198559999,0.0537642841419785,0,0,0.375,88.88888889,0.20833333,80.4,0.33333333,84.625,0.08333333,78,NA,NA,-0.81311696767807,0.46870219707489,0.180741727352142,0.0182156562805176,NA,-9.03463297420078,9.3740439414978,2.25927159190178,0.910782814025879,NA,0.16666667,0.75,0.45833333,0.5,0.77777778,0.72727273,0.5,0.6,0.125,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,1.45983652686044,61.10255,37.11531,76.82359,20,39.98076,33.54292,57.77747,50.16505,69.2426,60.73992,52.96082,73.26915,20,56.70503,20,20,48.33037,20,2.2791,7.49574,97.9,153.56,131.24,102.26,43.62,45.52,100.66,113.62,98.32,113.8,116.82,114.24,102.52,21.16,35.16,102.248333333333,75.14,73.08,0.16666667,0.33333333,0.20833333,0.20833333,0.08333333,89.5250015258789,84.5625,88.6,80.2200012207031,77.9000015258789,-0.417046070098877,-2.1351363658905,5.77393455505371,-8.98368606567383,-2.27481317520142,7.75935649871826,0.725297212600708,7.05259323120117,-4.0911376953125,-9.97198390960693,0.0350130535662174,0.182376060634851,-0.861228182911873,0.474305529147387,0.0183174163103104,0.875326339155436,2.27970075793564,-17.2245636582375,9.48611058294773,0.915870815515518,0.16666667,0.75,0.45833333,0,0.88888889,0.72727273,0.5,19.15789474,NA,0.08333333,0.16666667,0.20833333,0.54166667,NA,77.9103546142578,89.4859237670898,88.5739990234375,82.8727182241587,NA,-2.14946985244751,-0.117035247385502,6.04601821899414,-4.86545533400315,NA,-11.9940500259399,6.84864521026611,5.69082183837891,-2.65152036226713,NA,0.0183174163103104,0.0350130535662174,-0.861228182911873,0.656681589782238,NA,0.915870815515518,0.875326339155436,-17.2245636582375,5.05139684447875,0.16666667,0.75,0.45833333,0,0.88888889,0.72727273,0.5,3,104.301239013672,18.1027336120605,0,0,105.532,3,1,"2024-09-20",0
"Danny Coulombe",13293,"2024-06-08","@TBR",2,2024,"BAL","A",34,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,3,13.5,0,0,3,0,0,1,2,0,0,0,0,0,0.5,0,0.5,0.652312416441226,0,0,0,0,1,0.166479778289795,-0.166479778289795,1.67848818451166,0,2.33337385345797,39.911237620095,0.5,0,0.333333333,0.666666666,0,0,4,18,10,20,30,0.183356001973152,0,0.183356001973152,0.903999984264374,0.0992861092090607,1.24293339252472,1.76270008087158,1.9099999666214,0.165600001811981,1,1,0.147872865200043,-0.000354097842196865,1,0,0.3,91.11111111,0.3,82.22222222,0.2,85.66666667,0.2,78.83333333,NA,NA,0.406921029090881,0.241763204336166,0.353055715560913,0.474976509809494,NA,4.52134476767646,2.6862578259574,5.88426192601522,7.91627516349157,NA,0.29411765,0.38461538,0.33333333,0.6,1,0.8,0.43333333,0.5,0.06666667,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,-1.04068065082962,40.02278,43.11672,41.04788,29.78778,36.90428,42.04498,35.34473,47.91996,30.31339,80,69.70679,80,53.43238,54.81843,63.58141,58.77741,54.23809,60.95816,-0.4199,3.44724,90.66,114.08,94.9,91.34,120.3,94.66,106.84,98.32,104.02,132.1,160.74,172.72,117.46,99.2,125.02,109.252666666667,116.537333333333,119.192,0.2,0.2,0.1,0.3,0.2,91,85.6333312988281,91.3666687011719,82.1111111111111,78.7166646321615,0.0114055847128232,-3.30693181355794,4.88912041982015,-8.08103519015842,-3.68675963083903,9.60447311401367,-0.40542999903361,8.41800181070963,-4.83093897501628,-13.2656898498535,0.209915958344936,0.357313007116318,0.201802924275398,0.244112726300955,0.480712819844484,3.49859930574894,5.95521678527196,6.72676414251328,2.71236362556616,8.01188033074141,0.26666667,0.4,0.33333333,0.5,1,0.8,0.5,19.25,NA,0.2,0.2,0.1,0.5,NA,78.6971130371094,90.9533487955729,91.335194905599,83.4713948567708,NA,-3.27502314249674,0.236615697542826,5.37744331359863,-6.10891265869141,NA,-15.1371994018555,8.46035512288412,6.87022018432617,-4.81015421549479,NA,0.480712819844484,0.209915958344936,0.201802924275398,0.601425733417273,NA,8.01188033074141,3.49859930574894,6.72676414251328,4.00950488944848,0.26666667,0.4,0.33333333,0.5,1,0.8,0.5,3,79.9259796142578,17.8648516337077,0,0,96.2445,1,0.33333333,"2024-06-08",0
"Danny Coulombe",13293,"2024-06-05","@TOR",2,2024,"BAL","A",34,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.6143182700941,102.403901559937,0,0,0,1,0,0,0,0,3,8,11,0.085876002907753,0,0.085876002907753,0.479000002145767,0.0506075024604797,1.14779996871948,1.50619995594025,1.50619995594025,1.7985999584198,1,1,0.0748415365815163,-2.36194808923285e-05,1,0,0.45454545,92.2,0.27272727,83,0.09090909,87,0.18181818,80.5,NA,NA,0.379521697759628,0.384912759065628,0.0389156937599182,-0.0373910665512085,NA,7.59043395519257,12.8304253021876,3.89156937599182,-1.86955332756042,NA,0.4,0.5,0.45454545,1,1,1,0.54545455,1,0,0,2,0,0,0,2,2,0,1,0,0,0,1,-0.505105066260414,80,51.37005,80,72.20681,42.00558,79.7516,20,53.30405,24.41579,71.48635,57.56331,70.13736,64.61905,55.07151,80,68.97142,51.16971,80,-1.05321,2.49728,82.76,153.7,142.32,92.4,117.3,89.86,142.18,64.18,71.18,158,121.5,141.76,110.12,112.64,128.48,116.885454545455,113.08,112.02,0.27272727,0.09090909,0.18181818,0.27272727,0.18181818,92.0999959309896,86.9000015258789,92.5,82.7000020345052,80.1500015258789,1.45011393229167,-1.19048130512238,6.08580589294434,-7.17959912618001,-2.3752453327179,8.91418266296387,2.00201797485352,7.43605899810791,-4.78124650319417,-10.5549564361572,0.35009877383709,0.039364367723465,0.0337270088493824,0.389636669307947,-0.0380783230066299,11.669959127903,3.9364367723465,1.68635044246912,12.9878889769316,-1.9039161503315,0.4,0.5,0.45454545,1,1,1,0.54545455,19.5,NA,0.18181818,0.27272727,0.18181818,0.36363636,NA,80.2686462402344,92.2003682454427,92.6210479736328,83.8424224853516,NA,-2.279217004776,1.61136261622111,6.65784502029419,-5.69208240509033,NA,-12.9951496124268,7.67489369710286,6.27223968505859,-4.62982130050659,NA,-0.0380783230066299,0.35009877383709,0.0337270088493824,0.429001037031412,NA,-1.9039161503315,11.669959127903,1.68635044246912,10.7250259257853,0.33333333,0.6,0.45454545,1,1,1,0.45454545,2,92.0198059082031,31.570068359375,0,0,92.2476,0,0,"2024-06-05",0
"Danny Coulombe",13293,"2024-06-02","TBR",2,2024,"BAL","H",34,0,0,0,1,0,0,0,0,0,0,0,1.1,5,1,0,0,0,0,0,0,0,0,1,6.75000160932579,0,6.75000160932579,1,0,0,1,2,1,0,0,0,0,0.2,0,0.2,3.74716908401489,0,0.2,0.750000178813977,0.25,1,1.66647942066184,-1.66647942066184,3.93449257073111,0,40.2547814372398,96.0351437366616,0.5,0.25,0.25,0.5,0,0,0,0,5,9,14,0.0569399856030941,-0.00821999926120043,0.065159983932972,0.682999968528748,0.0734408646821976,0.561600029468536,0.683333337306976,0.826000034809113,NA,0,1,0.0781229585409164,0.0232658993923329,0,0,0.57142857,91.375,0.14285714,81,0.28571429,86.25,NA,NA,NA,NA,0.28293564915657,0.00450797751545906,0.22664774954319,NA,NA,3.53669561445713,0.225398875772953,5.66619373857975,NA,NA,0.14285714,0.71428571,0.42857143,1,1,1,0.5,0.4,0,2,2,0,1,2,1,4,0.5,0.5,0,0.25,0.5,0.25,2.40423480678924,47.5515,49.56107,65.24273,80,30.20468,80,40.91022,39.06241,53.86295,NA,NA,NA,20,52.20339,25.73202,44.68223,44.10763,67.0233,0.45578,4.76076,84.88,114.54,110.2,89.06,166.8,145.48,89.96,98.58,98.08,NA,NA,NA,107.74,53.02,68.3,92.7342857142857,102.148571428571,101.537142857143,0.42857143,0.28571429,0.14285714,0.14285714,NA,91.3166707356771,86.2749938964844,91.5500030517578,81.0500030517578,NA,0.47194774945577,-1.46487748622894,5.34016418457031,-5.5726432800293,NA,9.62231572469076,2.12118864059448,7.84008026123047,-4.31080913543701,NA,-0.158861070871353,0.228755172342062,0.444068610668182,0.00431566312909126,NA,-2.64768451452255,5.71887930855155,22.2034305334091,0.215783156454563,NA,0.14285714,0.71428571,0.42857143,1,1,1,0.5,18.44444444,NA,NA,0.42857143,0.14285714,0.42857143,NA,NA,91.1417032877604,91.3993988037109,84.3466339111328,NA,NA,0.632395664850871,5.5296049118042,-3.01101366678874,NA,NA,8.26588694254557,6.70483016967773,-1.77671877543132,NA,NA,-0.158861070871353,0.444068610668182,0.233070835471153,NA,NA,-2.64768451452255,22.2034305334091,3.88451392451922,0,0.75,0.42857143,NA,1,1,0.57142857,4,89.1903533935547,21.2984237670898,0,0,97.0722,2,0.5,"2024-06-02",0
"Danny Coulombe",13293,"2024-05-31","TBR",2,2024,"BAL","H",34,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,103.457151520003,139.421515985497,1,0,0.5,0.5,0,0,0,0,7,12,19,0.0991799682378769,-0.0207800380885601,0.119960010051727,0.666000008583069,0.0716129019856453,1.32200002670288,1.76066672801971,2.4779999256134,1.18400001525879,1,1,0.0317383334040642,0.0432843339443137,1,0,0.21052632,91.5,0.47368421,81.44444444,0.10526316,86.5,0.21052632,79,NA,NA,0.0551778562366962,0.171417877078056,0.121488839387894,0.0548926889896393,NA,1.37944640591741,1.90464307864507,6.07444196939468,1.37231722474098,NA,0.2,0.55555556,0.36842105,1,1,1,0.47368421,0.75,0,1,0,1,1,1,0,2,0.5,0,0.5,0.5,0.5,0,2.83491059689642,20,27.50658,20,NA,NA,NA,59.97912,41.97688,65.21268,20,53.56664,24.09607,80,56.36074,80,44.06555,44.10794,45.67599,0.4941,4.81824,64.94,6.78,-11.48,NA,NA,NA,125.92,90.26,119.7,140.36,26.74,49.92,106.72,158.98,176.76,114.101052631579,66.5463157894737,83.398947368421,0.21052632,0.10526316,NA,0.47368421,0.21052632,91.4250030517578,86.6000061035156,NA,81.4444444444444,79.1750030517578,0.62822288274765,-2.39276313781738,NA,-7.21969265407986,-3.72123742103577,7.83293533325195,1.16424810886383,NA,-5.00512398613824,-12.0453605651855,0.0529717653989792,0.122987736016512,NA,0.17216444760561,0.0552478432655334,1.32429413497448,6.1493868008256,NA,1.912938306729,1.38119608163834,0.22222222,0.5,0.36842105,1,1,1,0.52631579,19,NA,0.21052632,0.21052632,NA,0.57894737,NA,78.9869537353516,91.2412719726562,NA,82.1898526278409,NA,-3.36933755874634,0.808270752429962,NA,-6.26956384832209,NA,-13.8259754180908,6.86316251754761,NA,-5.68611491810192,NA,0.0552478432655334,0.0529717653989792,NA,0.295152183622122,NA,1.38119608163834,1.32429413497448,NA,2.68320166929202,0.22222222,0.5,0.36842105,1,1,1,0.52631579,2,85.9681549072266,9.05950546264648,0,0,91.447,0,0,"2024-05-31",0
"Danny Coulombe",13293,"2024-05-29","BOS",2,2024,"BAL","H",34,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,0,2,1,0,0,0,0,0.25,0,0.25,4.46147908401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,27.6143182700941,102.403901559937,0,0.333333333,0,0.666666666,0,0,0,0,6,14,20,0.0103600267320871,-0.00236001005396247,0.0127200363203883,0.467000007629395,0.0502150543034077,0.134499996900558,0.240000009536743,0.240000009536743,0.141999989748001,1,1,0.030015904456377,0.0470103183750386,0,0,0.6,90.91666667,0.05,81,0.15,86,0.15,79.66666667,0.05,82,0.0170818045735359,0.177418887615204,0.433993309736252,0.227396890521049,-0.536357283592224,0.142348371446133,17.7418887615204,14.4664436578751,7.57989635070165,-53.6357283592224,0.45454545,0.88888889,0.65,0.6,0.75,0.69230769,0.45,0.5,0.2,1,1,1,2,1,0,3,0.33333333,0.33333333,0.33333333,0.66666667,0.33333333,0,2.68893017775066,38.75282,45.94461,47.73921,80,40.59876,80,35.77291,26.48,39.44287,76.15829,53.52692,66.81422,64.34041,64.87225,77.83139,54.56819,45.22461,72.20306,-0.15839,3.83951,83.82,108.3,92.54,71.62,109.02,115.76,156.94,30.74,12.46,142,114.14,135.38,124.7,148.46,181.62,102.549,113.438,116.261,0.5,0.2,0.1,0.05,0.15,90.9900024414062,84.9749984741211,90.4499969482422,80.9000015258789,79.6000010172526,0.792551946640015,-0.399226278066635,4.83705139160156,-6.93613195419312,-2.76999060312907,8.63560943603516,3.52753710746765,8.97333145141602,-5.5789852142334,-10.4918657938639,-0.120124880224466,-0.121362112462521,0.135497324168682,0.179673105478287,0.229855198413134,-1.20124880224466,-3.03405281156301,6.7748662084341,17.9673105478287,7.66183994710445,0.55555556,0.72727273,0.65,0.6,0.75,0.69230769,0.55,18.0625,0.05,0.15,0.45,0.15,0.2,81.5787963867188,79.440434773763,91.0044691297743,90.0386962890625,84.6114501953125,7.00118017196655,-2.58168665568034,0.756378756629096,4.25693321228027,-3.95840501785278,6.47936010360718,-12.7433662414551,7.36312442355686,7.91872342427572,-1.29751896858215,-0.544301271438599,0.229855198413134,-0.0567512027919292,0.072123646736145,0.602612264454365,-54.4301271438599,7.66183994710445,-0.630568919910325,2.4041215578715,15.0653066113591,0.55555556,0.72727273,0.65,0.6,0.75,0.69230769,0.55,3,75.7147420247396,39.5397745768229,0,0,86.3038,0,0,"2024-05-29",0
"Danny Coulombe",13293,"2024-05-26","@CHW",2,2024,"BAL","A",34,0,0,13.500014081612,1,0,0,0,0,0,1,0,0.2,3,1,1,1,1,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,0,2,0,0,0,0,0,0.33333333,0,0.33333333,4.45139575020756,13.500014081612,0.333333333333333,1.50000156462356,0,1,19.6664969891489,-6.16648290753691,4.70250659915622,343.805519711909,495.312225084636,115.141466175941,0,0,0,1,0,0.5,0,0,6,7,13,-0.00619600340723991,-0.0777400061488152,0.0715440064668655,-0.605000019073486,-0.0623390004038811,1.29693329334259,1.04339993000031,1.04339993000031,0.626399993896484,1,1,-0.0243542362004519,0.0195768097599054,0,0,0.53846154,91.14285714,0.23076923,81.33333333,0.15384615,86,0.07692308,79,NA,NA,0.368762224912643,-0.178702712059021,-1.31562936306,0.219981610774994,NA,5.26803178446634,-5.95675706863403,-65.7814681529999,21.9981610774994,NA,0.16666667,0.71428571,0.46153846,0,0.8,0.66666667,0.53846154,NA,0.15384615,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,17.042294242153,46.81943,52.15458,44.55643,42.9056,45.38922,50.53443,48.58861,46.99534,51.82817,80,55.90046,80,20,45.78343,24.77267,53.30155,46.77234,56.50267,-0.0797,3.95754,64.42,110.9,103.92,79,101.04,80.2,97.58,62.4,70.2,160.48,352.12,388.46,101.78,129.84,155.12,91.9384615384615,116.626153846154,114.955384615385,0.07692308,0.15384615,0.46153846,0.23076923,0.07692308,91.5,85.8000030517578,90.7333374023438,81.4000040690104,79.3000030517578,0.5282022356987,-1.29496204853058,4.36438083648682,-9.186492284139,-4.13261651992798,9.88126373291016,2.23095893859863,6.60355631510417,-4.40556112925212,-12.4119424819946,0.0682137757539749,-1.31440673395991,0.304782602936029,-0.182480398565531,0.222849875688553,6.82137757539749,-65.7203366979957,5.07971004893382,-6.08267995218436,22.2849875688553,0,0.75,0.46153846,NA,0.66666667,0.66666667,0.61538462,15.7,NA,0.07692308,0.07692308,0.46153846,0.38461538,NA,79.6701965332031,91.909797668457,91.1123962402344,83.4989807128906,NA,-3.11056995391846,1.23636996746063,5.29248174031575,-5.36169242858887,NA,-13.8955001831055,8.65662002563477,5.46154340108236,-3.10423355102539,NA,0.222849875688553,0.0682137757539749,0.304782602936029,-1.49688713252544,NA,22.2849875688553,6.82137757539749,5.07971004893382,-29.9377426505089,0,0.75,0.46153846,NA,0.66666667,0.66666667,0.61538462,2,97.4017639160156,35.0777740478516,1,0.5,108.104,1,0.5,"2024-05-26",0
