"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CT%","CTv","CB%","CBv","XX%","wFB","wCT","wCB","wFB/C","wCT/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_KC","pb_s_KC","pb_c_KC","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_KC","sp_l_KC","sp_p_KC","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxKC%","pfxvFC","pfxvSI","pfxvSL","pfxvKC","pfxFC-X","pfxSI-X","pfxSL-X","pfxKC-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxKC-Z","pfxwFC","pfxwSI","pfxwSL","pfxwKC","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwKC/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFC%","piSI%","piSL%","piXX%","pivCU","pivFC","pivSI","pivSL","pivXX","piCU-X","piFC-X","piSI-X","piSL-X","piXX-X","piCU-Z","piFC-Z","piSI-Z","piSL-Z","piXX-Z","piwCU","piwFC","piwSI","piwSL","piwXX","piwCU/C","piwFC/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Drew Smyly",11760,"2024-09-29","CIN",17,2024,"CHC","H",35,0,0,0,1,0,0,0,0,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,1,13.500014081612,0,13.500014081612,1,0,0,1,0,1,0,0,0,0,0.33333333,0,0.33333333,1.13839575453556,0,0.333333333333333,1.50000156462356,0.5,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,5.94316788435742,5.81251197675874,1,0.5,0.5,0,0,0,0,0,4,8,12,0.0539600253105164,-0.0485399886965752,0.102500014007092,0.253000020980835,0.0271168258041143,1.87280011177063,1.83320009708405,1.83320009708405,1.77759993076324,1,1,0.0127112818881869,0.0161012032090614,0,0,0.5,92.5,NA,NA,0.5,79.83333333,NA,0.214430496096611,NA,-0.0947910845279694,3.57384160161018,NA,-1.57985140879949,0,0.85714286,0.5,NA,1,1,0.58333333,0.66666667,0,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,3.72049635602622,58.92961,54.21534,63.9749,NA,NA,NA,20,58.14656,20,NA,NA,NA,33.44089,54.60273,27.62379,1.15417,5.80835,81.02,118.08,112.64,137.8,59.12,66.52,NA,NA,NA,109.41,88.6,89.58,NA,0.5,NA,0.5,NA,92.4500020345052,NA,79.5666656494141,NA,2.77141539255778,NA,1.75017388661702,NA,10.4620234171549,NA,-2.06933863957723,NA,0.216837905347347,NA,-0.0973076373338699,NA,3.61396508912245,NA,-1.6217939555645,0,0.75,0.5,NA,1,1,0.66666667,15.44444444,0.5,NA,0.5,NA,NA,80.2261352539062,NA,93.1460469563802,NA,NA,1.28073517481486,NA,2.36134672164917,NA,NA,-3.36952495574951,NA,9.11106808980306,NA,NA,-0.0973076373338699,NA,0.216837905347347,NA,NA,-1.6217939555645,NA,3.61396508912245,NA,NA,0,0.75,0.5,NA,1,1,0.66666667,2,88.7945556640625,-6.85893535614014,0,0,97.3286,1,0.5,"2024-09-29",0
"Drew Smyly",11760,"2024-09-24","@PHI",17,2024,"CHC","A",35,1,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,0,2,1,1,0,0,0,0.2,0.2,0,6.80632908401489,0,0.25,2,0.333333333333333,1,4.1664797782898,-4.1664797782898,7.19049659073353,0,104.77896576799,175.553036418574,0,0.333333333,0,0.666666666,0.5,0,4,36,8,9,17,0.0340800024569035,-0.0384520031511784,0.0725320056080818,0.117999956011772,0.0120839700102806,0.760999977588654,0.430900007486343,0.76120001077652,0.210799992084503,1,1,-0.0158394649624825,0.060622649536142,0,0,0.35294118,90.5,0.17647059,87,0.47058824,77.875,NA,-0.014602106064558,0.321025788784027,-0.329661309719086,-0.2433684344093,10.7008596261342,-4.12076637148857,0.25,0.6,0.35294118,0.33333333,1,0.66666667,0.29411765,0.8,0.11764706,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,4.3971473684788,20,49.504,20,NA,NA,NA,54.16123,46.43551,54.73979,79.39172,20,80,30.03115,39.62337,46.05413,1.366,6.12609,80.44,20.78,19.94,101.84,77.62,86.72,64.68,159.5,164.58,87.7294117647059,72.0082352941177,76.8905882352941,0.17647059,0.35294118,NA,0.47058824,87.1666666666667,90.4833374023438,NA,77.9000015258789,3.33746306101481,4.72778352101644,NA,3.37896060943604,7.92135938008626,11.0596822102865,NA,-1.48859095573425,0.325329564511776,-0.0184434615075588,NA,-0.336699422448874,10.8443188170592,-0.30739102512598,NA,-4.20874278061092,0.2,0.57142857,0.35294118,0,1,0.66666667,0.41176471,17.75,0.47058824,0.17647059,0.35294118,NA,NA,77.8559799194336,87.0989990234375,90.4813028971354,NA,NA,2.46726751327515,2.34969600041707,4.04195499420166,NA,NA,-3.29136371612549,6.22820663452148,9.28379185994466,NA,NA,-0.336699422448874,0.325329564511776,-0.0184434615075588,NA,NA,-4.20874278061092,10.8443188170592,-0.30739102512598,NA,NA,0.18181818,0.66666667,0.35294118,0,1,0.66666667,0.35294118,3,86.8504333496094,44.671641031901,0,0,103.813,1,0.33333333,"2024-09-24",0
"Drew Smyly",11760,"2024-09-19","WSN",17,2024,"CHC","H",35,0,0,27.000028163224,1,0,0,0,0,0,0,1,0.1,3,2,1,1,1,0,0,0,0,0,1,27.000028163224,0,54.0000563264481,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,27.000028163224,0.666666666666667,6.00000625849423,1,1,36.1665142000081,-9.16648603678403,1.70250346990911,674.258506642282,895.465580798093,42.9317115654489,1,0,0.5,0.5,0,1,0,0,5,12,17,-0.390464007854462,-0.415176004171371,0.0247120093554258,-2.42799997329712,-0.260235786437988,1.39253330230713,1.41119992733002,2.82239985466003,0.94080001115799,1,1,-0.142928138375282,-0.137470188334425,0,1,0.52941176,93.44444444,0.05882353,91,0.41176471,79.14285714,NA,-1.40900361537933,-0.0620911717414856,-0.136951759457588,-15.655595726437,-6.20911717414856,-1.95645370653697,0.25,1,0.64705882,0.5,0.88888889,0.81818182,0.52941176,0.66666667,0.11764706,1,1,0,0,0,2,2,0.5,0.5,0,0,0,1,17.6425880792339,50.42186,55.12367,61.70946,NA,NA,NA,39.91328,52.76392,20,20,20,20,38.89397,49.45734,30.30012,0.81539,5.30018,112.14,67.98,66.84,127.02,126.98,143.52,68.3,19.88,2.66,115.688235294118,89.4447058823529,94.6388235294118,0.05882353,0.52941176,NA,0.41176471,90.5,93.3222249348958,NA,79.2571411132812,2.90702557563782,4.28205574883355,NA,1.79952839442662,8.61135864257812,10.7522735595703,NA,-1.92250769478934,-0.0633736774325371,-1.41054863110185,NA,-0.151092939078808,-6.33736774325371,-15.6727625677983,NA,-2.15847055826868,0.33333333,0.81818182,0.64705882,0.5,0.88888889,0.81818182,0.64705882,21.57142857,0.41176471,NA,0.58823529,NA,NA,79.3373238699777,NA,93.1467590332031,NA,NA,1.47566481998989,NA,3.78375396728516,NA,NA,-3.45461572919573,NA,9.15867538452148,NA,NA,-0.151092939078808,NA,-1.47392230853438,NA,NA,-2.15847055826868,NA,-14.7392230853438,NA,NA,0.28571429,0.9,0.64705882,0.5,0.88888889,0.81818182,0.58823529,2,100.287117004395,15.6352119445801,1,0.5,103.662,2,1,"2024-09-19",0
"Drew Smyly",11760,"2024-09-18","OAK",17,2024,"CHC","H",35,0,0,27.000028163224,1,0,0,0,0,0,1,0,0.2,4,2,2,2,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,1,1,1,0,0,1,0,0,0,0,6.03472908401489,0,0.5,3.00000312924711,0.5,0,3.1664797782898,23.8335483849342,5.43449475334657,674.258506642282,80.0700356271687,133.117981382682,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,6,10,-0.103155985474586,-0.154752001166344,0.0515960156917572,-0.875999987125397,-0.0938906744122505,2.47410011291504,1.31200003623962,1.31200003623962,2.674800157547,1,1,-0.0683356523513794,0.0266413066229659,0,1,0.7,92.57142857,NA,NA,0.3,78.33333333,NA,-0.441238343715668,NA,-0.130906611680984,-6.30340491022382,NA,-4.36355372269948,0.28571429,0.66666667,0.4,1,1,1,0.3,0.5,0,3,0,1,1,3,0,4,0.75,0,0.25,0.25,0.75,0,5.70221563415401,45.05403,42.2623,70.84037,NA,NA,NA,20,42.34669,20,NA,NA,NA,29.4367,36.40684,58.10851,1.40293,6.18149,72.04,132.78,118.94,93.3,41.42,46.5,NA,NA,NA,78.2844444444444,101.702222222222,93.7933333333334,NA,0.7,NA,0.3,NA,92.4857177734375,NA,78.2666625976562,NA,4.69828959873744,NA,1.52928288777669,NA,9.54039110456194,NA,-2.63191795349121,NA,-0.44722431153059,NA,-0.133471086621284,NA,-6.38891873615129,NA,-4.44903622070948,0.2,0.6,0.4,1,1,1,0.5,15.66666667,0.3,NA,0.7,NA,NA,78.3751983642578,NA,92.6220703125,NA,NA,0.950212955474854,NA,4.41777992248535,NA,NA,-3.90293979644775,NA,8.17220142909459,NA,NA,-0.133471086621284,NA,-0.44722431153059,NA,NA,-4.44903622070948,NA,-6.38891873615129,NA,NA,0.2,0.6,0.4,1,1,1,0.5,4,79.3826904296875,-0.508816401163737,0,0,93.5454,0,0,"2024-09-18",0
"Drew Smyly",11760,"2024-09-14","@COL",17,2024,"CHC","A",35,0,1,0,1,0,0,0,0,0,0,0,0.1,3,1,1,0,0,1,1,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0.33333333,-0.33333333,10.9178401874764,0,0.5,6.00000625849423,0.5,0.5,12.1664891660311,-12.1664891660311,12.1664891660311,0,302.450638855603,295.801497607635,1,0.5,0.5,0,0,0,0,0,3,5,8,-0.171555981040001,-0.177767962217331,0.0062119816429913,-0.766999959945679,-0.0667536929249763,3.84386658668518,2.39759993553162,2.39759993553162,NA,0,1,-0.0383411273360252,-0.00628996928794603,0,1,NA,NA,0.25,87.5,0.75,77.66666667,0.5,NA,0.116818115115166,-0.368685781955719,NA,5.84090575575829,-6.14476303259532,0.4,1,0.625,0.5,0.66666667,0.6,0.375,0.33333333,0.25,2,0,0,1,0,1,2,1,0,0,0.5,0,0.5,17.2405057371817,NA,NA,NA,NA,NA,NA,20,50.80928,20,60.4701,48.11899,45.40066,20,50.11101,20,2.1866,7.35699,NA,NA,NA,99.3,58.34,64.56,75.9,116.78,117.56,93.45,72.95,77.81,0.25,NA,NA,0.75,87.6000061035156,NA,NA,77.5333353678385,-0.0551345087587833,NA,NA,2.06383657455444,5.37643671035767,NA,NA,-0.93945837020874,0.118383914232254,NA,NA,-0.3748540841043,5.9191957116127,NA,NA,-6.24756806840499,0.4,1,0.625,0.5,0.66666667,0.6,0.375,20.66666667,0.75,0.25,NA,NA,NA,77.9089660644531,88.0102996826172,NA,NA,NA,1.30867600440979,-1.15604555606842,NA,NA,NA,-1.54198201497396,4.91704988479614,NA,NA,NA,-0.3748540841043,0.118383914232254,NA,NA,NA,-6.24756806840499,5.9191957116127,NA,NA,NA,0.4,1,0.625,0.5,0.66666667,0.6,0.375,2,77.1997604370117,11.1016855239868,1,0.5,106.564,1,0.5,"2024-09-14",0
"Drew Smyly",11760,"2024-09-13","@COL",17,2024,"CHC","A",35,0,1,81.0000844896721,1,0,0,0,0,0,0,0,0.1,4,2,3,3,0,1,0,0,0,0,1,27.000028163224,27.000028163224,54.0000563264481,1,0,0,1,0,1,0,0,0,0,0.25,0.25,0,5.94041658401489,0,0.666666666666667,9.00000938774135,1,0,6.16648290753691,74.8336015821352,6.16648290753691,2022.77551992684,154.19690336998,150.807004792197,1,0.5,0.5,0,0,0,0,0,5,9,14,-0.153016030788422,-0.24278798699379,0.0897719711065292,-1.07100009918213,-0.0932114869356155,2.27749991416931,1.8432000875473,1.8432000875473,4.12239980697632,1,1,-0.0600571371614933,-0.00712882839505524,0,1,0.5,93.14285714,NA,NA,0.5,79.14285714,NA,-0.502154111862183,NA,-0.473365247249603,-7.17363016945975,NA,-6.76236067499433,0.41666667,1,0.5,0.6,1,0.71428571,0.14285714,0.75,0.14285714,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,7.75016574132888,20,41.1804,20,NA,NA,NA,20,47.65085,20,NA,NA,NA,20,39.86474,20,3.33246,9.07578,80.64,62.06,37.36,110.6,45.7,56.34,NA,NA,NA,95.62,53.88,46.85,NA,0.5,NA,0.5,NA,93.2857142857143,NA,79.0571463448661,NA,3.54846136910575,NA,1.9069356918335,NA,8.81169673374721,NA,-1.3221218926566,NA,-0.511229798197746,NA,-0.483965680003166,NA,-7.30328283139638,NA,-6.91379542861666,0.45454545,0.66666667,0.5,0.6,1,0.71428571,0.21428571,24.7,0.5,NA,0.5,NA,NA,79.3909127371652,NA,93.64892578125,NA,NA,0.998863220214844,NA,2.95103427342006,NA,NA,-2.06582001277379,NA,8.04506247384208,NA,NA,-0.483965680003166,NA,-0.511229798197746,NA,NA,-6.91379542861666,NA,-7.30328283139638,NA,NA,0.45454545,0.66666667,0.5,0.6,1,0.71428571,0.21428571,2,80.4598922729492,13.2037620544434,0,0,86.9567,0,0,"2024-09-13",0
"Drew Smyly",11760,"2024-09-09","@LAD",17,2024,"CHC","A",35,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,4,2,2,2,1,1,0,0,0,0,1,27.000028163224,27.000028163224,54.0000563264481,1,0,0,0,1,1,0,0,0,0,0.25,0.25,0,6.49179158401489,27.000028163224,0.666666666666667,9.00000938774135,1,0.625,45.1665235877494,8.83353273869866,10.7025128576505,1348.51701328456,1117.84618402653,260.423450788606,0,0.5,0,0.5,0,1,0,0,10,10,20,-0.0877199992537498,-0.131139993667603,0.043419998139143,-2.0239999294281,-0.214179888367653,1.0164999961853,0.386000007390976,0.386000007390976,1.37999999523163,1,1,-0.169517531991005,0.0832214182842234,0,1,0.4,92.375,NA,NA,0.6,79.5,NA,-0.751658082008362,NA,-1.17031466960907,-9.39572602510452,NA,-9.75262224674225,0.15384615,0.57142857,0.3,0.5,0.75,0.66666667,0.35,0.5,0.1,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,37.5328508350884,20,41.80459,30.81935,NA,NA,NA,57.023,50.39428,47.07253,NA,NA,NA,27.62462,43.54994,33.30761,1.51551,6.35036,75.56,58.34,40.5,119.14,120.12,131.04,NA,NA,NA,101.708,95.408,94.824,NA,0.4,NA,0.6,NA,92.2249984741211,NA,79.3999989827474,NA,3.44082403182983,NA,2.04744005203247,NA,9.912917137146,NA,-1.26834917068481,NA,-0.766559645533562,NA,-1.16909428313375,NA,-9.58199556916952,NA,-9.74245235944788,0,0.66666667,0.3,NA,0.66666667,0.66666667,0.45,22.125,0.6,NA,0.4,NA,NA,79.2942606608073,NA,92.1248779296875,NA,NA,1.72761376698812,NA,3.4020688533783,NA,NA,-2.73467000325521,NA,8.80999660491943,NA,NA,-1.16909428313375,NA,-0.766559645533562,NA,NA,-9.74245235944788,NA,-9.58199556916952,NA,NA,0.15384615,0.57142857,0.3,0.5,0.75,0.66666667,0.35,2,97.4904556274414,24.1153831481934,1,0.5,98.5271,2,1,"2024-09-09",0
"Drew Smyly",11760,"2024-09-07","NYY",17,2024,"CHC","H",35,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,0,0,0,1,9,18,0,0.5,0,0,1,1,0,0,0,0,0,0.2,0.4,-0.2,10.4768090840149,0,0,2,0,1,7.1664797782898,-7.1664797782898,8.67848818451166,0,178.905756190453,211.511429986591,1,0,0.5,0.5,0,0,0,0,13,12,25,-0.0898120030760765,-0.142691999673843,0.0528799928724766,-0.531000018119812,-0.056913185864687,0.778800010681152,0.976000010967255,1.8063999414444,1.08399999141693,1,1,-0.0411061719059944,-0.0742148371390945,0,1,0.44,93.45454545,NA,NA,0.56,80.78571429,NA,0.189943045377731,NA,-0.0895742177963257,1.72675495797938,NA,-0.639815841402326,0.21052632,0.5,0.28,0.5,1,0.71428571,0.24,0.2,0.08,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,5.93802838344488,58.74076,47.4843,69.37498,NA,NA,NA,43.41291,49.56227,46.40837,NA,NA,NA,47.85618,44.85448,57.02773,0.2586,4.46499,92.96,123.18,115.14,110.36,98.36,111.6,NA,NA,NA,102.704,109.2808,113.1576,NA,0.44,NA,0.56,NA,93.4000022194602,NA,80.7714233398438,NA,4.97555472634055,NA,2.44330596923828,NA,10.5822199041193,NA,-1.55236721038818,NA,0.188405830413103,NA,-0.0956726931035519,NA,1.71278027648276,NA,-0.683376379311085,0.1875,0.44444444,0.28,0.66666667,0.75,0.71428571,0.36,17.94444444,0.56,NA,0.44,NA,NA,81.0787179129464,NA,93.7118474786932,NA,NA,1.71737044198172,NA,4.62966988303445,NA,NA,-3.11100578308105,NA,9.20159495960582,NA,NA,-0.0956726931035519,NA,0.188405830413103,NA,NA,-0.683376379311085,NA,1.71278027648276,NA,NA,0.1875,0.44444444,0.28,0.66666667,0.75,0.71428571,0.36,2,91.6366729736328,24.3105068206787,0,0,93.269,0,0,"2024-09-07",0
"Drew Smyly",11760,"2024-09-03","PIT",17,2024,"CHC","H",35,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,0,0.33333333,-0.694826464786218,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.6521753455268,29.9783111930123,2,0,1,0,0,0,0,0,1,5,6,0.0347439981997013,0,0.0347439981997013,0.468999981880188,0.0502679497003555,0.463466674089432,0.626400053501129,0.626400053501129,0.560800015926361,1,1,0.0751792266964912,-0.000213754221123977,0,0,0.66666667,92.25,0.16666667,89,0.16666667,81,NA,0.30518963932991,0.212085232138634,0.161890506744385,7.62974098324776,21.2085232138634,16.1890506744385,0,0.75,0.5,NA,1,1,0.66666667,0.66666667,0,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,-0.210843624364176,44.84048,63.43876,57.75153,NA,NA,NA,72.21136,50.77633,80,80,31.11113,80,61.06915,53.27711,80,-0.56227,3.23369,86.02,80.68,77.12,153.94,158.34,173.08,77.8,159.28,150.8,97.96,111.932,111.048,0.16666667,0.66666667,NA,0.16666667,88.8000030517578,92.375,NA,81.3000030517578,1.48049807548523,4.61045789718628,NA,3.50043606758118,6.653968334198,11.0709962844849,NA,-0.94134646654129,0.214739695191383,0.308878026902676,NA,0.163724601268768,21.4739695191383,7.72195067256689,NA,16.3724601268768,0,0.6,0.5,NA,1,1,0.83333333,15,0.16666667,0.16666667,0.66666667,NA,NA,81.7097015380859,89.2465972900391,92.7658538818359,NA,NA,2.52781009674072,0.636358976364136,4.1672477722168,NA,NA,-2.39592003822327,5.53828001022339,9.62103748321533,NA,NA,0.163724601268768,0.214739695191383,0.308878026902676,NA,NA,16.3724601268768,21.4739695191383,7.72195067256689,NA,NA,0,0.6,0.5,NA,1,1,0.83333333,2,94.9192657470703,-5.53424501419067,0,0,113.971,1,0.5,"2024-09-03",0
"Drew Smyly",11760,"2024-08-30","@WSN",17,2024,"CHC","A",35,0,0,0,1,0,0,0,0,0,1,0,0.1,3,1,0,0,0,1,0,0,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,1,0,0,0,0,0,0,0.33333333,0.33333333,0,6.88572907925689,0,0.5,6.00000625849423,1,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,154.19690336998,150.807004792197,1,0,1,0,0,0,0,0,5,6,11,-0.0596319958567619,-0.163519993424416,0.103887997567654,-1.25600004196167,-0.130425751209259,3.8011999130249,1.34720003604889,2.69440007209778,6.61800003051758,1,1,-0.0319771654903889,0.0162894886459189,0,0,0.27272727,91.33333333,NA,NA,0.72727273,79.75,NA,-0.441066533327103,NA,-0.070499911904335,-14.7022177775701,NA,-0.881248898804188,0.16666667,0.8,0.45454545,0,1,0.8,0.45454545,0.66666667,0.09090909,0,1,0,0,1,0,1,0,1,0,0,1,0,3.77585590572828,72.88031,60.66411,76.97975,NA,NA,NA,20,51.9345,20,NA,NA,NA,24.75519,52.06135,20,1.69378,6.61776,94.9,100.36,111.18,117.8,41.34,48.7,NA,NA,NA,111.554545454545,57.4363636363636,65.74,NA,0.27272727,NA,0.72727273,NA,91.3333333333333,NA,79.7249984741211,NA,4.90889453887939,NA,2.7150707244873,NA,12.0560493469238,NA,-1.89327371120453,NA,-0.448288645595312,NA,-0.0870535932481289,NA,-14.9429548531771,NA,-1.08816991560161,0.16666667,0.8,0.45454545,0,1,0.8,0.45454545,22.875,0.72727273,NA,0.27272727,NA,NA,79.9501037597656,NA,91.5733642578125,NA,NA,2.23858880996704,NA,4.62965679168701,NA,NA,-3.85169506072998,NA,10.3199272155762,NA,NA,-0.0870535932481289,NA,-0.448288645595312,NA,NA,-1.08816991560161,NA,-14.9429548531771,NA,NA,0.16666667,0.8,0.45454545,0,1,0.8,0.45454545,1,98.5376129150391,0.109568677842617,0,0,98.5376,1,1,"2024-08-30",0
