"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Dylan Lee",19996,"2024-09-30","NYM",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,1,0,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,1,0,1,0,0,0,0,0,0,0,3.65572908401489,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.9790523120279,78.3097583844777,1,0.5,0.5,0,0,0,0,0,0,2,2,0.0379080101847649,-0.043003998696804,0.0809120088815689,0.23199999332428,0.0235772356390953,2.12339997291565,0.664400041103363,1.32880008220673,1.72880005836487,1,1,-0.00463444693014026,0.0224869526607084,0,0,NA,NA,1,86,NA,NA,NA,NA,-0.251867651939392,NA,NA,-12.5933825969696,NA,NA,1,1,NA,1,1,1,1,0,2,0,0,0,1,1,2,1,0,0,0,0.5,0.5,10.0237010086282,NA,NA,NA,NA,NA,NA,70.48904,47.51318,20,76.75317,55.76105,20,-1.53666,1.7721,NA,NA,NA,NA,NA,NA,95.42,123.64,130.74,95.42,123.64,130.74,NA,1,NA,NA,85.8499984741211,NA,NA,-0.489007413387299,NA,NA,3.20287609100342,NA,NA,-0.256470188498497,NA,NA,-12.8235094249249,NA,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,NA,85.7754058837891,NA,NA,-1.24161350727081,NA,NA,2.25199508666992,NA,NA,-0.256470188498497,NA,NA,-12.8235094249249,NA,1,1,NA,1,1,1,2,93.6999969482422,-3.5,0,0,98.2,1,0.5,"2024-09-30",2
"Dylan Lee",19996,"2024-09-29","KCR",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-68.1060684821298,-66.6845831899186,0,0,0,0,0,0,0,0,6,14,20,0.020392008125782,0,0.020392008125782,0.507000029087067,0.0515243895351887,0.265199989080429,0.285600006580353,0.264799982309341,0.163599997758865,1,1,0.0767319947481155,0.000160950068701871,0,0,0.5,94.9,0.5,85.8,NA,NA,NA,0.813961923122406,-0.0263418816030025,NA,8.13961923122406,-0.263418816030025,NA,0.375,0.58333333,0.5,0.66666667,0.71428571,0.7,0.6,0.66666667,0.15,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.82350699885845,NA,NA,NA,69.49757,61.69589,64.58244,79.67631,51.28918,77.58718,80,58.35349,78.21211,-1.81401,1.35608,NA,NA,NA,113.38,132.92,143.16,119.12,139.62,161.44,116.25,136.27,152.3,0.5,0.5,NA,94.7400024414062,85.7599975585938,NA,4.45627632141113,-0.890752792358398,NA,10.9869514465332,3.06577682495117,NA,0.824609648436308,-0.0283075869083405,NA,8.24609648436308,-0.283075869083405,NA,0.28571429,0.61538462,0.5,0.5,0.75,0.7,0.65,19.05882353,NA,0.5,0.5,NA,94.6743103027344,85.6747497558594,NA,3.94692993164062,-1.50769834518433,NA,10.0771476745605,1.8925163269043,NA,0.824609648436308,-0.0283075869083405,NA,8.24609648436308,-0.283075869083405,0.42857143,0.53846154,0.5,0.66666667,0.71428571,0.7,0.65,0,NA,NA,0,NA,NA,0,NA,"2024-09-29",0
"Dylan Lee",19996,"2024-09-22","@MIA",16,2024,"ATL","A",29,0,0,18,1,0,0,0,0,0,0,0,1,5,2,2,2,2,0,0,0,0,0,2,18,0,18,2,0,0,1,2,0,0,0,0,0,0.4,0,0.4,1.53488908401489,18,0.4,2,0,1,25.1664797782898,-7.16647977828979,2.19049659073353,432.427669649712,622.957828557273,54.7244184399108,0.5,0,0.333333333,0.666666666,0,1,1,9,6,15,21,-0.031300000846386,-0.314019978046417,0.282719999551773,0.0169999599456787,0.0016915425658226,2.05879998207092,1.61733329296112,2.06800007820129,1.32000005245209,1,1,-0.092803955078125,0.0776009236428412,0,0,0.19047619,93.5,0.71428571,83.53333333,0.0952381,86,NA,0.289995968341827,-2.36821913719177,0.00212088227272034,7.24989920854568,-15.7881275812785,0.106044113636017,0.5,0.88888889,0.66666667,0.33333333,0.875,0.64285714,0.42857143,0.6,0.23809524,1,1,1,0,1,2,3,0.33333333,0.33333333,0.33333333,0,0.33333333,0.66666667,23.1756912786846,39.12608,40.93095,40.3853,75.6507,65.48748,67.94535,53.54764,44.61319,53.29829,58.64508,53.39946,55.58896,-0.41168,3.45957,86.76,107.38,108.74,117.12,110.82,127.24,108.6,98,106.04,108.142857142857,101.335238095238,110.335238095238,0.19047619,0.71428571,0.0952381,93.5999984741211,83.586669921875,85.75,5.45113039016724,-0.4018448193868,8.26126861572266,12.2702674865723,3.25088348388672,7.13603687286377,0.293296121060848,-2.37665844336152,0.00184798240661621,7.33240302652121,-15.8443896224101,0.0923991203308105,0.45454545,0.9,0.66666667,0.4,0.77777778,0.64285714,0.47619048,21.1875,0.0952381,0.19047619,0.71428571,85.6642990112305,93.5591506958008,83.5023763020833,8.25323009490967,5.33562278747559,-0.426786454518636,5.056884765625,10.6485004425049,1.1886100769043,0.00184798240661621,0.293296121060848,-2.37665844336152,0.0923991203308105,7.33240302652121,-15.8443896224101,0.5,0.88888889,0.66666667,0.5,0.75,0.64285714,0.42857143,3,103.718180338542,15.1772944132487,2,0.66666667,109.155,3,1,"2024-09-22",0
"Dylan Lee",19996,"2024-09-20","@MIA",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,0.2,4,1,0,0,0,1,1,0,0,0,1,13.500014081612,13.500014081612,13.500014081612,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0.333333333333333,3.00000312924711,0.5,1,4.66648134291335,-4.66648134291335,6.93449631797012,0,117.000371126812,169.366604586542,1,0,0.5,0.5,0,0,0,0,1,7,8,0.0072000389918685,-0.0345999598503113,0.0417999997735023,0.0730000138282776,0.00726368371397257,1.03049993515015,0.769999980926514,0.769999980926514,1.45200002193451,1,1,-0.00423597497865558,0.0112229128194808,0,0,0.25,93,0.625,84.4,0.125,85,0.5,0.096209779381752,0.387596160173416,-0.502868592739105,4.8104889690876,7.75192320346832,-50.2868592739105,0.66666667,1,0.875,0,0.8,0.57142857,0.625,0.5,0.375,0,2,0,2,0,0,2,0,1,0,1,0,0,2.91923377129402,65.65757,48.89003,59.79667,80,78.36031,79.80515,30.87065,46.40717,32.41559,55.67919,60.178,46.81639,-0.22742,3.73596,85.58,47.22,34.66,115.5,127.12,149.8,101.46,88.56,90.78,102.985,93.0325,98.52,0.25,0.625,0.125,93.25,84.3200012207031,85.1999969482422,4.28993320465088,-0.600818920135498,9.08792304992676,12.4942474365234,3.36625366210937,7.11180877685547,0.0973343104124069,0.414632696658373,-0.510574221611023,4.86671552062035,8.29265393316746,-51.0574221611023,0.75,1,0.875,0.33333333,0.75,0.57142857,0.5,21.4,0.125,0.25,0.625,85.121696472168,93.1971969604492,84.2480346679688,8.84624004364014,4.04284477233887,-0.857829189300537,5.24555015563965,10.7702503204346,1.29287824630737,-0.510574221611023,0.0973343104124069,0.414632696658373,-51.0574221611023,4.86671552062035,8.29265393316746,0.66666667,1,0.875,0,0.8,0.57142857,0.625,2,60.518928527832,12.5064935684204,0,0,68.6746,0,0,"2024-09-20",0
"Dylan Lee",19996,"2024-09-18","@CIN",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,2,0,1,0,0,0,0.33333333,0,0.33333333,4.45139575020756,0,0,0,0,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,30.617345380642,103.055865631376,0,0,0,1,0.5,0,2,18,0,7,7,0.0621799975633621,0,0.0621799975633621,0.560999989509583,0.0530496463179588,0.785999953746796,1.15699994564056,1.15699994564056,0.384999990463257,1,1,0.0791956335306168,-8.62172170975201e-05,1,0,0.14285714,92,0.85714286,84.66666667,NA,NA,NA,0.249823242425919,0.533663272857666,NA,24.9823242425919,8.8943878809611,NA,0.8,0.5,0.71428571,0.25,1,0.4,0.28571429,1,0.42857143,1,0,1,1,0,1,2,0.5,0,0.5,0.5,0,0.5,-1.5217652703862,NA,NA,NA,80,50.53338,80,80,38.77456,80,80,45.16569,80,-2.40553,0.4688,NA,NA,NA,91.58,111.76,117.62,102.9,134.22,128.18,101.282857142857,131.011428571429,126.671428571429,0.14285714,0.85714286,NA,91.9000015258789,84.6499989827474,NA,5.17243528366089,-0.309755722681681,NA,11.5439529418945,3.06882381439209,NA,0.294975996017456,0.52198401838541,NA,29.4975996017456,8.69973363975684,NA,1,0.33333333,0.71428571,0.25,1,0.4,0.42857143,14.75,NA,0.14285714,0.85714286,NA,92.0935974121094,84.7803344726562,NA,4.67651987075806,-0.731875816980998,NA,9.95242977142334,1.27015264829,NA,0.294975996017456,0.52198401838541,NA,29.4975996017456,8.69973363975684,0.8,0.5,0.71428571,0.25,1,0.4,0.28571429,2,79.5485992431641,46.8722114562988,0,0,97.4201,1,0.5,"2024-09-18",0
"Dylan Lee",19996,"2024-09-17","@CIN",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.7443615507439,-18.3531359984531,1,0,1,0,0,0,0,0,0,9,9,0.0358899720013142,0,0.0358899720013142,0.560999989509583,0.0530496463179588,0.454999983310699,0.584999978542328,0.584999978542328,NA,0,1,0.0790199637413025,-0.000140901504488117,0,0,0.44444444,93.5,0.44444444,84.75,0.11111111,87,NA,0.266312569379807,0.305228263139725,0.173169538378716,6.65781423449516,7.63070657849312,17.3169538378716,0.8,0.75,0.77777778,0.75,0.66666667,0.71428571,0.44444444,1,0.22222222,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.60885546453656,57.53042,32.82624,55.5562,80,63.28098,80,69.49345,42.321,75.88128,80,51.99936,80,-2.15896,0.83865,84.48,118.2,103.2,120.66,136.76,143.56,112.28,90.06,98.62,112.915555555556,113.942222222222,119.102222222222,0.44444444,0.44444444,0.11111111,93.4000015258789,84.6500015258789,87.0999984741211,4.74213218688965,-0.785446405410767,7.24996423721313,11.6397485733032,2.5457911491394,4.90312004089355,0.269219551235437,0.308583918958902,0.175375327467918,6.73048878088593,7.71459797397256,17.5375327467918,1,0.66666667,0.77777778,1,0.5,0.71428571,0.66666667,22,0.11111111,0.44444444,0.44444444,87.0924987792969,93.4159240722656,84.6172027587891,6.96660995483398,4.50929260253906,-1.23378348350525,2.89796996116638,10.3474702835083,1.03257012367249,0.175375327467918,0.269219551235437,0.308583918958902,17.5375327467918,6.73048878088593,7.71459797397256,1,0.66666667,0.77777778,1,0.5,0.71428571,0.66666667,1,77.4699401855469,-8.15948963165283,0,0,77.4699,0,0,"2024-09-17",0
"Dylan Lee",19996,"2024-09-15","LAD",16,2024,"ATL","H",29,0,0,13.500014081612,1,0,0,0,0,0,0,1,0.2,5,2,1,1,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,0,0,2,1,0,0,0,0,0.2,0.2,0,6.80632908401489,0,0.5,4.50000469387067,0.666666666666667,0.66666667,4.66648134291335,8.83353273869866,9.20251129302689,324.321090530544,117.000371126812,224.174827584746,0,0.333333333,0,0.666666666,0,0,0,0,7,12,19,-0.207304015755653,-0.282563984394073,0.0752599760890007,-1.09899997711182,-0.111686989665031,1.72832000255585,1.72880005836487,1.72880005836487,3.44280004501343,1,1,-0.0718539729714394,-0.048091416452447,0,1,0.70588235,94,0.17647059,86.33333333,0.11764706,88,0.10526316,0.661538362503052,-1.26099193096161,-0.0827912092208862,5.51281968752543,-42.033064365387,-4.13956046104431,0.125,0.77777778,0.47058824,0,0.57142857,0.5,0.52941176,0.8,0.21052632,2,0,1,0,3,0,3,0.66666667,0,0.33333333,0,1,0,5.68175406870783,56.70384,30.35249,80,77.21171,67.54734,76.27115,56.56862,44.21843,65.30563,76.69235,57.85742,80,-1.53289,1.77776,79.02,125.02,97.6,107,115.44,128.62,119.04,104.78,116.7,105.832941176471,114.685882352941,122.867058823529,0.70588235,0.17647059,0.11764706,93.9583333333333,86.4333292643229,87.6499938964844,4.03974564870199,0.139954229195913,5.80440425872803,11.2772102355957,2.26183907190959,8.35503768920898,0.669425472617149,-1.27610763534904,-0.0844206288456917,5.57854560514291,-42.5369211783012,-4.22103144228458,0.125,0.77777778,0.47058824,0,0.57142857,0.5,0.52941176,20.57142857,0.11764706,0.70588235,0.17647059,87.6015472412109,93.9137573242188,86.3607381184896,5.80713987350464,3.98950672149658,-0.12398773431778,6.38912487030029,9.8668950398763,0.654998342196147,-0.0844206288456917,0.579629525542259,-1.27610763534904,-4.22103144228458,4.83024604618549,-42.5369211783012,0.14285714,0.7,0.47058824,0,0.57142857,0.5,0.58823529,3,89.2095438639323,28.7696100870768,0,0,94.5072,0,0,"2024-09-15",0
"Dylan Lee",19996,"2024-09-08","TOR",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,1,0,0.2,4,2,0,0,0,0,0,0,0,0,2,27.000028163224,0,27.000028163224,2,0,0,0,0,2,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-68.1062229471088,-66.6847344309602,0,1,0,0,0,0,0,0,3,11,14,0.0122319906949997,-0.0872680246829987,0.0995000153779984,0.0670000016689301,0.00680894404649734,1.72410011291504,1.72880005836487,1.72880005836487,3.24920010566711,1,1,-0.0133983800187707,0.0204930902408577,0,0,0.07692308,95,0.84615385,85.18181818,0.07692308,86,0.07142857,0,0.0716556236147881,-0.429545164108276,0,0.651414760134437,-42.9545164108276,0.71428571,1,0.84615385,0.2,0.5,0.36363636,0.46153846,0.75,0.5,1,0,1,1,0,1,2,0.5,0,0.5,0.5,0,0.5,5.44478572487945,80,43.77785,80,80,45.10713,80,80,49.37307,80,80,55.63237,80,-2.87403,-0.23395,85.86,160.54,161.28,135.26,218.46,205.6,119.72,133.06,143.5,118.310769230769,141.743076923077,149.644615384615,0.07692308,0.84615385,0.07692308,95.1999969482422,85.1181807084517,86.1999969482422,4.47742176055908,-0.432373133572665,6.30244588851929,10.3132781982422,3.14457633278587,7.90296411514282,0,0.0589022487401962,-0.436161160469055,0,0.535474988547238,-43.6161160469055,0.71428571,1,0.84615385,0.2,0.5,0.36363636,0.46153846,20.6,0.07692308,0.07692308,0.84615385,86.3663024902344,95.4018020629883,85.3193914240057,6.06984996795654,4.31986999511719,-0.736993269486861,6.34902000427246,9.30385971069336,1.66771802035245,-0.436161160469055,0,0.0589022487401962,-43.6161160469055,0,0.535474988547238,0.6,1,0.84615385,0.33333333,0.375,0.36363636,0.61538462,2,86.1778411865234,17.7216949462891,0,0,98.5437,1,0.5,"2024-09-08",0
"Dylan Lee",19996,"2024-09-04","COL",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,0,1,0,0,0,0,0,0.5,0.25,0.25,3.75272908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,3.67848818451166,0,55.298198846335,90.682812007927,0,0,0,1,0,0,1,9,7,10,17,0.0657400265336037,-0.035947997123003,0.101688019931316,0.506999969482422,0.051524393260479,1.19739997386932,1.23240005970001,1.23240005970001,0.927200019359589,1,1,0.0363355502486229,0.0185667614001479,1,0,0.41176471,92.85714286,0.47058824,84.125,0.11764706,85.5,NA,0.349692195653915,0.205683022737503,-0.109488278627396,4.99560279505593,2.57103778421879,-5.47441393136978,0,0.5,0.23529412,NA,0.75,0.75,0.47058824,0.25,0.05882353,0,1,0,0,1,0,1,0,1,0,0,1,0,1.35970593099551,40.36955,34.86219,41.74798,43.46657,65.12756,62.83294,53.41044,45.76041,59.68998,46.42898,54.73797,61.07426,0.34727,4.598,81.56,77.12,70.12,103.98,50.94,60.76,102.58,82.64,93.78,100.683529411765,68.9376470588235,77.4,0.41176471,0.47058824,0.11764706,92.7428588867188,84.1500015258789,85.5,4.01233155386789,-2.28449821472168,5.15093278884888,12.2001647949219,3.43829846382141,8.91219711303711,0.394083481281996,0.206318911164999,-0.1116958335042,5.62976401831423,2.57898638956249,-5.58479167521,0,0.4,0.23529412,NA,0.75,0.75,0.58823529,20.92307692,0.11764706,0.41176471,0.47058824,85.4301452636719,92.6875,84.0616760253906,5.0419750213623,3.73370279584612,-2.64617681503296,7.25570487976074,10.6878574916295,1.91730046272278,-0.1116958335042,0.394083481281996,0.206318911164999,-5.58479167521,5.62976401831423,2.57898638956249,0,0.4,0.23529412,NA,0.75,0.75,0.58823529,1,90.9371109008789,23.6294422149658,0,0,90.9371,0,0,"2024-09-04",0
"Dylan Lee",19996,"2024-09-01","@PHI",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-68.1062229471088,-66.6847344309602,0,0,0,0,0,0,0,0,0,3,3,0.0531079918146133,0,0.0531079918146133,0.321999996900558,0.0329749099910259,1.87899994850159,0.939499974250793,1.87899994850159,1.51020002365112,1,1,0.0282639674842358,-8.68928276553937e-10,0,0,NA,NA,1,83,NA,NA,NA,NA,0.266312569379807,NA,NA,8.87708564599355,NA,1,0.5,0.66666667,0,0,0,0.66666667,1,0.66666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.82350699885845,NA,NA,NA,NA,NA,NA,61.74655,23.34756,63.61951,66.39095,27.43805,67.56002,-0.8929,2.73774,NA,NA,NA,NA,NA,NA,123.08,107.86,114.46,123.08,107.86,114.46,NA,1,NA,NA,83.3666687011719,NA,NA,0.574401537577311,NA,NA,3.63642883300781,NA,NA,0.25786292925477,NA,NA,8.59543097515901,NA,1,0.5,0.66666667,0,0,0,0.66666667,23.5,NA,NA,1,NA,NA,83.2672017415365,NA,NA,-0.0622162719567617,NA,NA,2.1327166557312,NA,NA,0.25786292925477,NA,NA,8.59543097515901,1,0.5,0.66666667,0,0,0,0.66666667,0,NA,NA,0,NA,NA,0,NA,"2024-09-01",0
