"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFS%","piSI%","pivCU","pivFA","pivFS","pivSI","piCU-X","piFA-X","piFS-X","piSI-X","piCU-Z","piFA-Z","piFS-Z","piSI-Z","piwCU","piwFA","piwFS","piwSI","piwCU/C","piwFA/C","piwFS/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Eduard Bazardo",20997,"2024-09-29","OAK",11,2024,"SEA","H",28,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.7574698954555,76.9288520456552,1,0,1,0,0,0,0,0,0,2,2,0.00369200343266129,0,0.00369200343266129,0.20100000500679,0.0228279400616884,0.124799996614456,0.0623999983072281,0.124799996614456,0.162200003862381,1,1,0.0295833609998226,6.41339741730418e-10,0,0,0.5,92,NA,NA,0.5,89,0.0389156937599182,NA,0.173169538378716,3.89156937599182,NA,17.3169538378716,NA,0.5,0.5,NA,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1.295654040621,NA,NA,NA,80,47.753,80,NA,NA,NA,34.56644,35.83464,65.067,77.36702,40.48196,80,-1.5748,1.71489,NA,NA,NA,83.36,145.06,136.7,NA,NA,NA,74.1,49.2,22.9,78.73,97.13,79.8,NA,0.5,0.5,NA,NA,88.8000030517578,92.0999984741211,NA,NA,-9.50439834594727,-10.3826103210449,NA,NA,3.32583379745483,4.96947002410889,NA,NA,0.175375327467918,0.039364367723465,NA,NA,17.5375327467918,3.9364367723465,NA,NA,0.5,0.5,NA,1,1,1,14,NA,NA,0.5,0.5,NA,NA,88.8901977539062,92.2169036865234,NA,NA,-8.88232040405273,-10.0338001251221,NA,NA,1.89733004570007,3.78993010520935,NA,NA,0.175375327467918,0.039364367723465,NA,NA,17.5375327467918,3.9364367723465,NA,0.5,0.5,NA,1,1,1,1,100.852111816406,6.11652660369873,0,0,100.852,1,1,"2024-09-29",0
"Eduard Bazardo",20997,"2024-09-28","OAK",11,2024,"SEA","H",28,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.33333333,0,0.33333333,1.87828464271067,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,28.1728704898465,64.7888072114456,1,0,0.5,0.5,0,0,1,9,3,9,12,0.298751980066299,0,0.298751980066299,1.0349999666214,0.11754684150219,3.19766664505005,2.73340010643005,2.73340010643005,NA,0,1,0.0956013053655624,-0.00217318629356221,1,0,0.5,94.33333333,0.5,83,NA,NA,0.715429186820984,0.0127918794751167,NA,11.9238197803497,0.213197991251945,NA,0.5,0.75,0.58333333,0.5,1,0.71428571,0.33333333,0.66666667,0.16666667,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,-0.348520826860228,64.01363,38.94923,71.54729,68.56968,76.16894,46.25904,47.25489,53.49256,43.12093,NA,NA,NA,60.88967,56.3566,53.21594,-0.55112,3.25041,117.86,120,106.22,122.08,105.88,146.84,111.86,87.26,93.58,NA,NA,NA,115.915,100.1,110.055,0.25,NA,0.25,0.5,94.1666666666667,NA,94.5333353678385,82.8333333333333,-5.36623255411784,NA,-10.8186403910319,6.83027521769206,9.34104919433594,NA,5.60458628336589,1.26642560958862,0.350403010845184,NA,0.374466676265001,0.0118540413677692,11.6801003615061,NA,12.4822225421667,0.197567356129487,0.57142857,0.6,0.58333333,0.5,1,0.71428571,0.41666667,21.77777778,0.5,0.25,NA,0.25,82.9736989339193,94.3456013997396,NA,94.7253011067708,7.93103154500325,-4.84726651509603,NA,-10.6443328857422,-0.494069178899129,8.43401972452799,NA,4.30071004231771,0.0118540413677692,0.350403010845184,NA,0.374466676265001,0.197567356129487,11.6801003615061,NA,12.4822225421667,0.57142857,0.6,0.58333333,0.5,1,0.71428571,0.41666667,2,93.9995574951172,15.1622896194458,0,0,97.7346,1,0.5,"2024-09-28",0
"Eduard Bazardo",20997,"2024-09-23","@HOU",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.7574698954555,114.543946394147,2,0,0.666666666,0.333333333,0,0,0,0,3,5,8,0.0069280001334846,0,0.0069280001334846,0.476999998092651,0.0505564361810684,0.0916000008583069,0.183200001716614,0.183200001716614,NA,0,1,0.0796947926282883,-0.00406160410680229,0,0,0.5,93.25,0.5,81.5,NA,NA,0.550638437271118,0.140882700681686,NA,13.765960931778,3.52206751704216,NA,0.16666667,1,0.375,1,1,1,0.25,0.33333333,0,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,1.10610615527212,80,49.32871,80,20,60.9775,20,40.14085,47.11102,50.10685,NA,NA,NA,50.97601,50.17707,58.58215,0.06478,4.17426,71.96,154.6,144.58,87.02,36,28.18,95.98,75.58,80.86,NA,NA,NA,85.8525,100.265,98.17,0.375,NA,0.125,0.5,93.2666625976562,NA,93.3000030517578,81.1750030517578,-6.03914833068848,NA,-11.3727464675903,8.91823673248291,9.71807416280111,NA,6.01799249649048,-0.448065966367722,0.575117975473404,NA,-0.0350487045943737,0.142174605280161,19.1705991824468,NA,-3.50487045943737,3.55436513200402,0.2,0.66666667,0.375,1,1,1,0.375,15.6,0.5,0.375,NA,0.125,81.2565231323242,93.3542277018229,NA,93.3517990112305,10.2474002838135,-4.98049322764079,NA,-10.4948997497559,-2.27342653274536,8.27098019917806,NA,4.16423988342285,0.142174605280161,0.575117975473404,NA,-0.0350487045943737,3.55436513200402,19.1705991824468,NA,-3.50487045943737,0.2,0.66666667,0.375,1,1,1,0.375,3,78.0386555989583,19.1422131856283,0,0,85.5579,0,0,"2024-09-23",0
"Eduard Bazardo",20997,"2024-09-21","@TEX",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0,0,2,2,0,0,0,0,0,0.2,0,0.2,3.29696908401489,0,0.4,2,0.5,1,1.1664797782898,-1.1664797782898,4.19049659073353,0,28.1728704898465,102.403901559937,1,0,0.5,0.5,0,0,0,0,5,9,14,0.0174559988081455,-0.044684000313282,0.0621400028467178,0.49099999666214,0.0509864985942841,0.716560006141663,0.428799986839294,0.428799986839294,NA,0,1,-0.025882251560688,0.0502430847896284,0,0,0.64285714,93.66666667,0.35714286,81.8,NA,NA,0.0322799123823643,-0.194226652383804,NA,0.358665693137381,-3.88453304767609,NA,0.25,1,0.57142857,1,0.66666667,0.75,0.42857143,0.4,0.14285714,1,1,2,0,2,2,4,0.25,0.25,0.5,0,0.5,0.5,0.176735404311227,27.15001,39.90912,20,61.66157,60.30624,65.49948,62.56975,44.18948,66.44062,NA,NA,NA,50.57844,44.97529,53.12233,0.08947,4.2113,104.66,100.66,92.92,109.14,106.5,113.68,97.52,123.84,124.16,NA,NA,NA,103.39,110.607142857143,110.008571428571,0.35714286,NA,0.28571429,0.35714286,93.6599975585937,NA,93.4000015258789,81.7799987792969,-4.95840644836426,NA,-9.60557079315186,7.75159606933594,9.63201370239258,NA,6.03174352645874,-1.11465749740601,-0.564228497445583,NA,0.595111042261124,-0.198553781956434,-11.2845699489117,NA,14.8777760565281,-3.97107563912868,0.16666667,0.875,0.57142857,1,0.71428571,0.75,0.57142857,16.88888889,0.35714286,0.35714286,NA,0.28571429,82.3726379394531,94.2382385253906,NA,93.9891738891602,8.22255401611328,-4.36691398620605,NA,-9.30274963378906,-2.43035202026367,8.70073394775391,NA,5.01833486557007,-0.198553781956434,-0.564228497445583,NA,0.595111042261124,-3.97107563912868,-11.2845699489117,NA,14.8777760565281,0.16666667,0.875,0.57142857,1,0.71428571,0.75,0.57142857,4,89.8816299438477,21.586051940918,0,0,99.4718,2,0.5,"2024-09-21",0
"Eduard Bazardo",20997,"2024-09-20","@TEX",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,27,0,0.333333333,0,3,1,1,1,1,0,0,0,0,0,4.32832908401489,0,0.6,3,0.6,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.7574698954555,114.543946394147,3,0.2,0.6,0.2,1,0,0,0,4,16,20,0.00297199981287122,-0.00527200009673834,0.00824400037527084,0.49099999666214,0.0509865060448647,0.0714399963617325,0.0852000042796135,0.0852000042796135,NA,0,1,-0.084492951631546,0.126094294915813,0,0,0.5,94.1,0.5,81.9,NA,NA,0.0686547085642815,-0.408402323722839,NA,0.686547085642815,-4.08402323722839,NA,0.42857143,0.69230769,0.6,1,1,1,0.65,1,0,1,2,2,2,3,0,5,0.2,0.4,0.4,0.4,0.6,0,2.77912722860148,65.57223,42.43136,75.99433,80,73.96416,80,73.01611,40.10075,80,NA,NA,NA,80,45.46945,80,-1.87989,1.25726,95.72,112.98,94.86,113.28,123.5,131.78,108.02,117.14,108.16,NA,NA,NA,104.504,116.638,107.048,0.35,NA,0.15,0.5,94.1285749162946,NA,94.3666687011719,81.7799987792969,-4.6310430254255,NA,-10.2387237548828,8.16566925048828,9.47961970738002,NA,5.97128105163574,-1.71336898803711,0.509084615856409,NA,-0.455800287425518,-0.415438048541546,7.27263736937727,NA,-15.1933429141839,-4.15438048541546,0.33333333,0.71428571,0.6,1,1,1,0.7,19.2,0.5,0.35,NA,0.15,82.2634521484375,94.6191580636161,NA,94.8556009928385,8.60947265625,-4.22077996390207,NA,-9.87777964274088,-3.13683204650879,8.38581684657506,NA,4.86137676239014,-0.415438048541546,0.509084615856409,NA,-0.455800287425518,-4.15438048541546,7.27263736937727,NA,-15.1933429141839,0.33333333,0.71428571,0.6,1,1,1,0.7,5,81.9071716308594,0.570623016357422,0,0,92.3743,0,0,"2024-09-20",0
"Eduard Bazardo",20997,"2024-09-15","TEX",11,2024,"SEA","H",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-23.4117289157625,15.0336680287444,0,0,0,1,0,0,0,0,2,9,11,0.000748004938941449,0,0.000748004938941449,0.430000007152557,0.048835888504982,0.0124666662886739,0.0274000000208616,0.0274000000208616,NA,0,1,0.0399985015392303,0.0200018964517723,0,0,0.09090909,93,0.81818182,82,0.09090909,91,-0.0238054171204567,0.806253790855408,0,-2.38054171204567,8.95837545394897,0,0.5,0.6,0.54545455,0.33333333,0.33333333,0.33333333,0.45454545,0.66666667,0.36363636,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.61157757185752,20,29.4007,20,NA,NA,NA,80,49.04825,80,55.21112,27.75864,68.87396,80,51.21174,80,-2.47764,0.36063,71.22,70.44,43.34,NA,NA,NA,100.86,144.38,143.4,80.74,147.96,99.02,96.3363636363636,137.983636363636,130.269090909091,0.09090909,0.09090909,NA,0.81818182,93,91,NA,81.9888916015625,-6.17089796066284,-7.37889003753662,NA,7.63430870903863,8.30631732940674,4.25957155227661,NA,0.0448711216449738,-0.0242429338395596,0,NA,0.804089922457933,-2.42429338395596,0,NA,8.93433247175482,0.6,0.5,0.54545455,0.33333333,0.33333333,0.33333333,0.54545455,16.75,0.81818182,0.09090909,0.09090909,NA,82.1486680772569,93.209098815918,91.1054992675781,NA,8.50464799669054,-5.96449995040894,-7.13388013839722,NA,-1.58695591820611,7.1687798500061,3.05437994003296,NA,0.804089922457933,-0.0242429338395596,0,NA,8.93433247175482,-2.42429338395596,0,NA,0.6,0.5,0.54545455,0.33333333,0.33333333,0.33333333,0.54545455,1,93.3344421386719,33.7190933227539,0,0,93.3344,0,0,"2024-09-15",0
"Eduard Bazardo",20997,"2024-09-10","SDP",11,2024,"SEA","H",28,0,0,0,1,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,3,13.5,0,9,3,0,0,2,2,1,0,0,0,0,0.375,0,0.375,1.50163533401489,0,0.25,1,0.4,1,0.166479778289795,-0.166479778289795,1.67848818451166,0,2.38057078704197,39.911237620095,1,0.2,0.4,0.4,0,0,0,0,9,25,34,0.00790200103074312,-0.00287000043317676,0.0107720009982586,0.860000014305115,0.097671777009964,0.0698499977588654,0.0760999992489815,0.104800000786781,NA,0,1,0.0744469836354256,0.0386811664616186,0,0,0.58823529,95.1,0.35294118,81.91666667,0.05882353,90,0.374951660633087,0.153276368975639,0.0167976431548595,1.87475830316544,1.27730307479699,0.839882157742977,0.31578947,0.8,0.52941176,0.5,0.83333333,0.72222222,0.44117647,0.75,0.14705882,2,0,3,1,4,0,5,0.4,0,0.6,0.2,0.8,0,0.696760053041398,62.01532,49.73624,63.20227,53.92086,64.8385,54.19941,79.92893,54.32713,71.99577,47.11589,36.4755,73.67659,70.11709,54.16954,70.75824,-1.12439,2.39051,108.06,107.14,103.42,111.92,95.08,106.32,132.02,93.84,112.42,82.72,124.3,90.62,116.047647058824,100.262941176471,106.611176470588,0.32352941,0.05882353,0.26470588,0.35294118,95.1818181818182,90.1999969482422,94.9111124674479,82,-4.32051225142045,-8.37846660614014,-9.50371721055773,9.56501706441244,9.68392805619673,5.31685161590576,7.37220001220703,-0.834653615951538,0.162996791303158,0.0166956372559071,0.213156569749117,0.143277186900377,1.48178901184689,0.834781862795353,2.36840633054574,1.19397655750314,0.47058824,0.58823529,0.52941176,0.625,0.8,0.72222222,0.5,19.73076923,0.35294118,0.32352941,0.05882353,0.26470588,82.2660013834635,95.4525368430398,90.4286041259766,95.1916368272569,10.5449835459391,-3.68022363836115,-7.75059509277344,-9.02586195203993,-2.49997727076213,8.57792732932351,3.72919988632202,5.92219670613607,0.143277186900377,0.162996791303158,0.0166956372559071,0.213156569749117,1.19397655750314,1.48178901184689,0.834781862795353,2.36840633054574,0.47058824,0.58823529,0.52941176,0.625,0.8,0.72222222,0.5,5,78.6835571289062,15.085954284668,0,0,89.0366,0,0,"2024-09-10",0
"Eduard Bazardo",20997,"2024-09-08","@STL",11,2024,"SEA","A",28,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.2,5,2,2,2,0,1,0,0,0,0,1,13.500014081612,13.500014081612,27.000028163224,1,0,0,1,2,0,0,0,0,0,0.2,0.2,0,6.14436908401489,0,0.5,4.50000469387067,0.666666666666667,0.33333333,4.66648134291335,22.3335468203107,9.20251129302689,714.47627086851,118.445959804902,227.090646109113,0.5,0,0.333333333,0.666666666,0,0,0,0,9,11,20,-0.00726800039410591,-0.0136279994621873,0.00635999953374267,-1.8309999704361,-0.193143457174301,0.09808000177145,0.0727999955415726,0.0727999955415726,0.1891999989748,1,1,-0.148429706692696,0.0743269307665481,0,0,0.3,94.66666667,0.7,82.35714286,NA,NA,-0.768494129180908,-0.440054714679718,NA,-12.8082354863485,-3.14324796199799,NA,0.23076923,0.57142857,0.35,0.66666667,0.75,0.71428571,0.35,0.6,0.1,1,0,2,0,1,2,3,0.33333333,0,0.66666667,0,0.33333333,0.66666667,2.24662495686929,80,60.64183,80,80,61.44883,80,48.7872,57.18095,53.44409,NA,NA,NA,67.55577,63.68126,73.38895,-0.96526,2.6292,83.88,151.24,153.84,108.42,155.68,165.22,108.18,91.3,98.6,NA,NA,NA,105.798,110.17,117.448,0.1,NA,0.2,0.7,94.6999969482422,NA,94.4000015258789,82.3857160295759,-5.79916954040527,NA,-9.68808174133301,7.91303471156529,10.1476755142212,NA,7.4990119934082,-0.20992374420166,-0.0735722631216049,NA,-0.74339984357357,-0.44534981995821,-3.67861315608025,NA,-18.5849960893393,-3.18107014255864,0.27272727,0.44444444,0.35,0.66666667,0.75,0.71428571,0.45,18.86666667,0.7,0.1,NA,0.2,82.4575369698661,94.8116989135742,NA,94.4922027587891,8.87010301862444,-5.41569995880127,NA,-9.42986011505127,-1.675735609872,8.92399406433105,NA,6.38213729858398,-0.44534981995821,-0.0735722631216049,NA,-0.74339984357357,-3.18107014255864,-3.67861315608025,NA,-18.5849960893393,0.30769231,0.42857143,0.35,0.75,0.66666667,0.71428571,0.35,3,94.534413655599,10.9151293436686,1,0.33333333,101.405,2,0.66666667,"2024-09-08",0
"Eduard Bazardo",20997,"2024-09-04","@OAK",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.4117289157625,-22.5814263197472,1,0,1,0,0,0,0,0,6,9,15,0.000300000014249235,0,0.000300000014249235,0.453000009059906,0.0496710501611233,0.00386666646227241,0.00999999977648258,0.00999999977648258,0,1,1,0.0300000011920929,0.0475862134908586,0,0,0.4,94.16666667,0.53333333,82.25,0.06666667,91,0.222690775990486,0.559410691261292,-0.0373910665512085,3.71151293317477,6.99263364076614,-3.73910665512085,0.25,0.85714286,0.53333333,0,0.83333333,0.625,0.46666667,1,0.2,1,0,0,0,0,1,1,1,0,0,0,0,1,-1.50363544136067,68.1739,51.78525,80,27.80489,51.17941,24.61167,77.31719,55.58487,73.42511,23.1951,33.4478,62.6849,62.89051,55.25327,65.06283,-0.67543,3.06395,76.58,95.54,85.36,104.38,36.84,21.98,127.22,143.86,154.42,89.92,111.54,72.84,110.037333333333,110.637333333333,108.681333333333,0.13333333,0.06666667,0.26666667,0.53333333,94.5500030517578,90.9000015258789,93.875,82.2125015258789,-5.60108804702759,-8.90396308898926,-9.16023254394531,8.78200244903564,8.6188793182373,4.35587882995605,7.64589691162109,0.156619623303413,0.094138327986002,-0.0380783230066299,0.130581125617027,0.56653768569231,4.7069163993001,-3.80783230066299,3.26452814042568,7.08172107115388,0.25,0.85714286,0.53333333,0,0.83333333,0.625,0.46666667,19.16666667,0.53333333,0.2,0.06666667,0.2,82.1879501342773,94.3035685221354,90.8923034667969,93.8598327636719,10.6570310592651,-5.19579346974691,-7.77579021453857,-8.65038045247396,-1.98968374729156,7.11657969156901,2.23905992507935,5.5315367380778,0.56653768569231,0.133502695709467,-0.0380783230066299,0.0912167578935623,7.08172107115388,4.45008985698223,-3.80783230066299,3.04055859645208,0.14285714,0.875,0.53333333,0,0.71428571,0.625,0.53333333,1,102.092437744141,-19.8354110717773,0,0,102.092,1,1,"2024-09-04",0
"Eduard Bazardo",20997,"2024-09-01","@LAA",11,2024,"SEA","A",28,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.4117289157625,-22.5814263197472,1,0,1,0,0,0,0,0,3,9,12,0.0314439833164215,0,0.0314439833164215,0.508000016212463,0.0515474379062653,0.412733346223831,0.537000000476837,0.537000000476837,NA,0,1,0.0762075483798981,-2.28068170756018e-05,0,0,0.33333333,94.25,0.58333333,83.71428571,0.08333333,90,0.239615514874458,0.273795604705811,0.2312992811203,5.99038787186146,3.91136578151158,23.12992811203,0.44444444,0.33333333,0.41666667,0.5,1,0.6,0.25,0.66666667,0.16666667,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.50363544136067,35.06547,42.76291,61.09041,76.27934,62.25297,77.52376,77.26913,40.72131,80,80,20.73166,80,73.8887,42.54013,80,-1.35871,2.03903,99.96,90.56,76.76,98.86,118.76,122.76,100.56,125.34,123.26,72.5,199.88,155.9,97.93,122.308333333333,114.313333333333,0.25,0.08333333,0.08333333,0.58333333,94.5666707356771,90.1999969482422,93.3000030517578,83.3857160295759,-3.9466028213501,-7.34279584884644,-8.51558208465576,7.14446857997349,8.43891270955404,4.15476846694946,4.7064471244812,-1.81656919206892,0.202579993754625,0.23420649766922,0.039364367723465,0.277027953416109,6.75266645848751,23.420649766922,3.9364367723465,3.9575421916587,0.42857143,0.4,0.41666667,0.33333333,1,0.6,0.41666667,17.75,0.58333333,0.25,0.08333333,0.08333333,83.2481689453125,94.4415384928385,90.0851974487305,93.2128982543945,7.9275872366769,-3.75452327728271,-7.25897979736328,-8.17873001098633,-2.94990158081055,7.7745901743571,3.1165599822998,3.81973004341125,0.277027953416109,0.202579993754625,0.23420649766922,0.039364367723465,3.9575421916587,6.75266645848751,23.420649766922,3.9364367723465,0.42857143,0.4,0.41666667,0.33333333,1,0.6,0.41666667,1,81.0062103271484,10.4020986557007,0,0,81.0062,0,0,"2024-09-01",0
