"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxSI%","pfxSL%","pfxCU%","pfxvSI","pfxvSL","pfxvCU","pfxSI-X","pfxSL-X","pfxCU-X","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwSI","pfxwSL","pfxwCU","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","piXX%","pivFA","pivSI","pivSL","pivXX","piFA-X","piSI-X","piSL-X","piXX-X","piFA-Z","piSI-Z","piSL-Z","piXX-Z","piwFA","piwSI","piwSL","piwXX","piwFA/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Elvis Peguero",21652,"2024-09-11","@SFG",23,2024,"MIL","A",27,0,0,0,1,0,0,0,0,0,0,0,1.1,10,3,1,0,0,2,0,0,0,0,2,13.5000032186516,13.5000032186516,20.2500048279774,1,0,0,5,1,0,0,0,0,0,0.2,0.2,0,4.94568908401489,0,0.375,3.75000089406988,0.5,0.8,4.66648013591775,-4.66648013591775,5.80048671095239,0,113.663311940098,141.962441868446,5,0,0.833333333,0.166666666,0,0,0,0,16,19,35,-0.000300049781799316,-0.00207795505411923,0.00177790527231991,-0.927000045776367,-0.0985645949840546,0.0111599992960691,0.00999999977648258,0.00999999977648258,0.00999999977648258,1,1,-0.123419404029846,0.0965332211691535,0,0,0.48571429,96.52941176,0.51428571,89.38888889,NA,-0.814501047134399,-0.658660292625427,-4.79118263020235,-3.65922384791904,0.18181818,0.69230769,0.37142857,0.5,1,0.84615385,0.37142857,0.6,0.05714286,1,2,3,0,2,4,6,0.16666667,0.33333333,0.5,0,0.33333333,0.66666667,2.62512563454696,NA,NA,NA,47.19638,51.31538,38.05419,20,59.24867,20,23.15835,57.96059,20,1.79298,6.76656,NA,NA,NA,95.02,115.34,118.96,93.9,56.42,73.12,94.444,85.0382857142857,95.3851428571429,0.48571429,0.51428571,NA,96.4235265395221,89.3166639539931,NA,-9.13237179026884,1.49685213300917,NA,1.77370194827809,-0.547498332129584,NA,-0.832984164357185,-0.674686323851347,NA,-4.89990684915991,-3.74825735472971,NA,0.16666667,0.58823529,0.37142857,0.66666667,0.9,0.84615385,0.48571429,19.91666667,NA,0.48571429,0.51428571,NA,NA,96.5753963694853,89.4585571289062,NA,NA,-8.70389152975643,2.21160867479112,NA,NA,0.801829057581284,-1.65282524956597,NA,NA,-0.832984164357185,-0.674686323851347,NA,NA,-4.89990684915991,-3.74825735472971,NA,0.125,0.57894737,0.37142857,0.5,0.90909091,0.84615385,0.54285714,6,103.207448323568,0.113368213176727,0,0,108.055,5,0.83333333,"2024-09-11",0
"Elvis Peguero",21652,"2024-09-08","COL",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,1,0,0,0,0,0,0,0,0,3.65572908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,77.697926926735,114.84853560366,3,0,0.75,0.25,0,0,0,0,2,8,10,0.00786399934440851,-0.001890002284199,0.0097540020942688,0.499000012874603,0.0512583442032337,0.109599992632866,0.129599988460541,0.129599988460541,NA,0,1,0.0518692880868912,0.019882535571994,0,0,0.3,97,0.7,88.85714286,NA,-0.214129656553268,0.540682673454285,-7.13765521844228,7.72403819220407,0.5,0.66666667,0.6,0.5,1,0.83333333,0.6,1,0.1,2,1,1,0,2,2,4,0.5,0.25,0.25,0,0.5,0.5,1.22303233359911,NA,NA,NA,67.05438,43.93501,80,66.55174,61.74064,72.16141,73.16839,62.18699,80,-1.31396,2.10615,NA,NA,NA,71.1,99.78,75.36,109.2,108.22,117.06,97.77,105.688,104.55,0.3,0.7,NA,96.9333292643229,88.8142874581473,NA,-9.46148935953776,2.12964248657227,NA,2.74705187479655,-1.09202745982579,NA,-0.218445405364037,0.547616917639971,NA,-7.28151351213455,7.82309882342815,NA,0.5,0.66666667,0.6,0.5,1,0.83333333,0.6,21.83333333,NA,0.3,0.7,NA,NA,96.81689453125,88.6932547433036,NA,NA,-8.93487675984701,2.68674305507115,NA,NA,1.48891798655192,-2.48901993887765,NA,NA,-0.218445405364037,0.547616917639971,NA,NA,-7.28151351213455,7.82309882342815,NA,0.25,0.83333333,0.6,0,1,0.83333333,0.6,4,95.3296203613281,0.309920907020569,1,0.25,102.081,2,0.5,"2024-09-08",0
"Elvis Peguero",21652,"2024-09-03","STL",23,2024,"MIL","H",27,0,1,9,1,0,0,0,0,0,0,0,1,5,1,3,1,0,1,0,0,1,0,2,18,9,9,2,0,0,0,1,1,0,0,0,0,0.4,0.2,0.2,3.77064908401489,0,0.25,2,0.5,-0.5,2.1664797782898,6.8335202217102,3.67848818451166,218.032512457265,53.7210093010372,90.682812007927,0,0.5,0,0.5,0,0,0,0,10,14,24,-0.40582799911499,-0.442482471466064,0.0366544649004936,-1.87699997425079,-0.192809447646141,1.46042859554291,2.64140009880066,2.64140009880066,NA,0,1,-0.393467605113983,0.11558479704412,0,1,0.58333333,97.07142857,0.41666667,90.3,NA,-0.347325325012207,0.133703276515007,-2.48089517865862,1.33703276515007,0.29411765,0.57142857,0.375,0.8,0.75,0.77777778,0.29166667,0.4,0.08333333,0,0,2,0,2,0,2,0,0,1,0,1,0,4.2957786755652,NA,NA,NA,29.68986,49.11334,23.64128,20,70.94365,20,22.89574,60.05221,20,1.8093,6.79104,NA,NA,NA,109.6,93.06,105.22,99.32,50.84,66.32,105.316666666667,75.4683333333333,89.0116666666667,0.58333333,0.41666667,NA,97.0357142857143,90.3200012207031,NA,-9.72921316964286,1.76595211029053,NA,2.19555187225342,-1.3516206741333,NA,-0.348640564829111,0.13248822838068,NA,-2.49028974877936,1.3248822838068,NA,0.28571429,0.5,0.375,0.75,0.8,0.77777778,0.41666667,18.72222222,NA,0.58333333,0.41666667,NA,NA,97.3342895507812,90.5851013183594,NA,NA,-9.18674904959542,2.47631397247314,NA,NA,1.01756640842983,-2.6074556350708,NA,NA,-0.348640564829111,0.13248822838068,NA,NA,-2.49028974877936,1.3248822838068,NA,0.28571429,0.5,0.375,0.75,0.8,0.77777778,0.41666667,2,79.6777267456055,27.5587120056152,0,0,91.702,0,0,"2024-09-03",0
"Elvis Peguero",21652,"2024-08-16","CLE",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,3.79922908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,53.7210093010372,54.144034788745,0,1,0,0,0,0,0,0,7,9,16,0.0166360288858414,-0.00408602366223931,0.0207220539450645,0.499000012874603,0.0512583442032337,0.216849997639656,0.349000006914139,0.349000006914139,0.269000023603439,1,1,0.0349192284047604,0.0417975300315749,0,0,0.5,95.75,0.5,89.125,NA,0.171073734760284,0.316428899765015,2.13842168450356,3.95536124706268,0.27272727,0.2,0.25,0.66666667,1,0.75,0.3125,0.5,0.0625,0,0,1,0,1,0,1,0,0,1,0,1,0,5.62216803902153,NA,NA,NA,24.26849,42.58928,24.29747,38.73052,57.85062,35.09832,31.03621,52.39503,24.95545,1.30356,6.03243,NA,NA,NA,94.38,76.16,63.88,103.92,97.8,106.2,99.15,86.98,85.04,0.5,0.5,NA,95.9250030517578,89.2249984741211,NA,-10.0787525177002,1.43895745277405,NA,2.08417010307312,-1.71464717388153,NA,0.169165197759867,0.319541368633509,NA,2.11456497199833,3.99426710791886,NA,0.22222222,0.28571429,0.25,0.5,1,0.75,0.4375,18.41666667,NA,0.5,0.5,NA,NA,95.6957778930664,88.9874877929688,NA,NA,-9.53347015380859,2.04316878318787,NA,NA,0.955708026885986,-2.93179368972778,NA,NA,0.169165197759867,0.319541368633509,NA,NA,2.11456497199833,3.99426710791886,NA,0.22222222,0.28571429,0.25,0.5,1,0.75,0.4375,1,84.235466003418,10.9976139068604,0,0,84.2355,0,0,"2024-08-16",0
"Elvis Peguero",21652,"2024-08-15","LAD",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0.666666666666667,6.00000625849423,0.666666666666667,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,77.697926926735,187.926204380887,1,0.333333333,0.333333333,0.333333333,0,0,0,0,2,3,5,-0.144487991929054,-0.191626012325287,0.0471380241215229,-0.885999917984009,-0.0910118222236633,1.84953331947327,1.5628000497818,2.7311999797821,1.51919996738434,1,1,-0.0688331872224808,-0.00928813690170606,0,1,0.6,96.33333333,0.4,88.5,NA,-0.581583619117737,-0.096498891711235,-19.3861206372579,-4.82494458556175,0,1,0.6,NA,1,1,0.6,0.66666667,0,1,1,1,0,3,0,3,0.33333333,0.33333333,0.33333333,0,1,0,5.87796646212817,NA,NA,NA,80,59.41525,80,20,55.39772,20,60.05822,58.34466,59.41339,-0.49947,3.32789,NA,NA,NA,105.08,188.08,197.12,90.14,59.74,53.36,99.104,136.744,139.616,0.6,0.4,NA,96.1666666666667,88.6999969482422,NA,-10.3558476765951,1.49259209632874,NA,1.89880720774333,-2.12540698051453,NA,-0.549021363258362,-0.0984223820269108,NA,-18.3007121086121,-4.92111910134554,NA,0,1,0.6,NA,1,1,0.6,15.5,NA,0.6,0.4,NA,NA,95.9887288411458,88.4531478881836,NA,NA,-10.0604400634766,1.98341500759125,NA,NA,0.695317029953003,-3.64169001579285,NA,NA,-0.549021363258362,-0.0984223820269108,NA,NA,-18.3007121086121,-4.92111910134554,NA,0,1,0.6,NA,1,1,0.6,3,89.9327392578125,11.6569341023763,0,0,101.251,1,0.33333333,"2024-08-15",0
"Elvis Peguero",21652,"2024-08-13","LAD",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,1,0,0,0,0,0,0,0,5.15272908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,77.697926926735,114.84853560366,2,0.25,0.5,0.25,0,0,1,9,6,11,17,0.00328199984505773,-0.00218999898061156,0.00547199882566929,0.499000012874603,0.051258347928524,0.0796499997377396,0.0595999993383884,0.0595999993383884,0.059799998998642,1,1,0.0274651721119881,0.0137400991480777,0,0,0.64705882,97.90909091,0.35294118,91.16666667,NA,-0.483376801013947,0.693417608737946,-4.39433455467224,11.5569601456324,0.44444444,0.625,0.52941176,0.75,0.8,0.77777778,0.47058824,0.75,0.11764706,1,2,1,1,3,0,4,0.25,0.5,0.25,0.25,0.75,0,4.55799384948291,NA,NA,NA,47.21164,51.86328,46.16041,80,78.91907,80,75.51928,62.6172,77.85848,-1.46001,1.88708,NA,NA,NA,85.9,129.16,125.74,128.04,143.34,201.58,100.772941176471,134.164705882353,152.507058823529,0.64705882,0.35294118,NA,97.7363614169034,91.1333312988281,NA,-9.98134404962713,1.40466181437174,NA,3.40127979625355,-1.17542711893717,NA,-0.492265734821558,0.70329974591732,NA,-4.47514304383235,11.7216624319553,NA,0.375,0.66666667,0.52941176,0.66666667,0.83333333,0.77777778,0.52941176,20.84615385,NA,0.64705882,0.35294118,NA,NA,97.613847212358,90.9966532389323,NA,NA,-9.54888014359908,2.13689994812012,NA,NA,2.2252048145641,-2.46477476755778,NA,NA,-0.492265734821558,0.70329974591732,NA,NA,-4.47514304383235,11.7216624319553,NA,0.375,0.66666667,0.52941176,0.66666667,0.83333333,0.77777778,0.52941176,4,90.6981201171875,0.288202524185181,0,0,98.8505,1,0.25,"2024-08-13",0
"Elvis Peguero",21652,"2024-08-08","@ATL",23,2024,"MIL","A",27,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,101.674844552433,102.47548198021,2,0,1,0,0,0,0,0,6,9,15,0.00229600025340915,-0.00124800007324666,0.00354400044307113,0.506999969482422,0.051524393260479,0.0442999973893166,0.0524000003933907,0.0524000003933907,0.0324000008404255,1,1,0.0340091064572334,0.017819344755336,0,0,0.46666667,96.42857143,0.53333333,89.25,NA,-0.0665790885686874,0.443136006593704,-0.951129836695535,5.5392000824213,0.4,1,0.6,1,0.8,0.88888889,0.33333333,1,0.06666667,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,3.11825933955876,NA,NA,NA,20,27.11625,20,80,68.98103,80,30.63321,53.09207,20,1.3286,6.06999,NA,NA,NA,93.18,17.38,3.11999999999999,118.64,112.38,126.28,106.758666666667,68.0466666666667,68.8053333333333,0.46666667,0.53333333,NA,96.3714250837054,89.1125030517578,NA,-8.78582927158901,2.59100937843323,NA,3.30682264055525,-1.54723525047302,NA,-0.0709475874900818,0.447651218622923,NA,-1.01353696414403,5.59564023278654,NA,0.45454545,1,0.6,1,0.75,0.88888889,0.26666667,21,NA,0.46666667,0.53333333,NA,NA,96.3112618582589,89.0396499633789,NA,NA,-8.28146580287388,3.23284363746643,NA,NA,1.99253599984305,-2.71766257286072,NA,NA,-0.0709475874900818,0.447651218622923,NA,NA,-1.01353696414403,5.59564023278654,NA,0.45454545,1,0.6,1,0.75,0.88888889,0.26666667,2,87.9662780761719,-1.23532009124756,0,0,90.4689,0,0,"2024-08-08",0
"Elvis Peguero",21652,"2024-08-04","@WSN",23,2024,"MIL","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,77.697926926735,114.84853560366,0,0.666666666,0,0.333333333,0,0,3,27,3,7,10,0.00607603322714567,0,0.00607603322714567,0.49099999666214,0.0509864985942841,0.0806666612625122,0.106799997389317,0.106799997389317,0.521999955177307,1,1,0.0754889845848083,-0.000166253582312342,0,0,0.6,95.83333333,0.4,89,NA,0.606175243854523,0.226525902748108,10.1029207309087,5.6631475687027,0.625,0.5,0.6,0.6,1,0.66666667,0.2,0.33333333,0.2,0,2,1,0,3,0,3,0,0.66666667,0.33333333,0,1,0,14.1273725144123,NA,NA,NA,53.57335,47.19339,49.86715,20,66.05854,20,41.23925,55.93658,28.17108,0.66968,5.08161,NA,NA,NA,103.66,100.24,109.58,107.82,75.66,87.78,105.324,90.408,100.86,0.6,0.4,NA,95.8333333333333,89.0749969482422,NA,-9.66815058390299,0.947470247745514,NA,2.10430733362834,-1.23620617389679,NA,0.655698090791702,0.229229904711246,NA,10.928301513195,5.73074761778116,NA,0.5,0.75,0.6,0.33333333,1,0.66666667,0.4,17.42857143,NA,0.6,0.4,NA,NA,95.5680643717448,88.8211212158203,NA,NA,-9.30513827006022,1.84088182449341,NA,NA,1.04825750986735,-2.52922511100769,NA,NA,0.655698090791702,0.229229904711246,NA,NA,10.928301513195,5.73074761778116,NA,0.5,0.75,0.6,0.33333333,1,0.66666667,0.4,3,82.762939453125,14.9665641784668,0,0,96.3533,1,0.33333333,"2024-08-04",0
"Elvis Peguero",21652,"2024-08-02","@WSN",23,2024,"MIL","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.697926926735,78.3097583844777,3,0,1,0,0,0,0,0,2,9,11,0.00734400050714612,0,0.00734400050714612,0.49099999666214,0.0509864985942841,0.0967999994754791,0.193599998950958,0.193599998950958,NA,0,1,0.0778286382555962,-0.00196086401034459,0,0,0.63636364,96.28571429,0.36363636,90.25,NA,0.385254770517349,0.251000940799713,5.50363957881927,6.27502351999283,0.5,0.71428571,0.63636364,1,0.8,0.85714286,0.63636364,0.66666667,0.09090909,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,1.37475640048187,NA,NA,NA,49.36566,57.23271,30.09049,80,55.25375,80,67.40623,56.47712,55.03475,-0.95597,2.64314,NA,NA,NA,118.44,97.34,111.24,114.32,134.5,152.3,116.941818181818,110.852727272727,126.170909090909,0.63636364,0.36363636,NA,96.3571428571429,90.3500061035156,NA,-10.2579650878906,0.862720012664795,NA,1.7133765901838,-0.924156308174133,NA,0.390115022659302,0.254104059189558,NA,5.57307175227574,6.35260147973895,NA,0.66666667,0.6,0.63636364,1,0.66666667,0.85714286,0.45454545,22.125,NA,0.63636364,0.36363636,NA,NA,96.1515241350446,90.1330490112305,NA,NA,-9.9447261265346,1.58591747283936,NA,NA,0.541501692363194,-1.95642304420471,NA,NA,0.390115022659302,0.254104059189558,NA,NA,5.57307175227574,6.35260147973895,NA,0.66666667,0.6,0.63636364,1,0.66666667,0.85714286,0.45454545,3,77.7904154459635,-10.666254679362,0,0,88.657,0,0,"2024-08-02",0
"Elvis Peguero",21652,"2024-07-31","ATL",23,2024,"MIL","H",27,0,0,0,1,0,0,0,0,0,0,0,0.1,2,1,0,0,0,0,0,0,0,0,1,27.000028163224,0,27.000028163224,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.5,3.00000312924711,1,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-66.1637288868521,-66.6847344309602,1,0,1,0,0,0,0,0,3,6,9,-0.251763999462128,-0.2810899913311,0.0293259918689728,-1.22899997234344,-0.126245513558388,2.97499990463257,2.40599989891052,4.81199979782104,0.488600015640259,1,1,-0.0326446183025837,-0.0519819388512802,0,1,0.33333333,98,0.66666667,91,NA,-0.216367408633232,0.0187270976603031,-7.21224695444107,0.312118294338385,0.5,0.66666667,0.55555556,0.66666667,1,0.8,0.33333333,0.5,0.11111111,1,0,0,0,1,0,1,1,0,0,0,1,0,-0.930348885830059,NA,NA,NA,35.99468,55.72353,20,40.77841,60.6476,32.37027,40.16322,64.16271,20.88214,0.73653,5.18189,NA,NA,NA,126.52,100.22,145.54,113.96,74.54,90.28,118.146666666667,83.1,108.7,0.33333333,0.66666667,NA,97.6666666666667,90.8833312988281,NA,-9.72926203409831,1.40167713165283,NA,2.54569911956787,-1.59234523773193,NA,-0.218903992325068,0.0169136710464954,NA,-7.29679974416892,0.281894517441591,NA,0.4,0.75,0.55555556,1,0.66666667,0.8,0.44444444,20.85714286,NA,0.33333333,0.66666667,NA,NA,97.448232014974,90.644053141276,NA,NA,-9.42116673787435,2.29523499806722,NA,NA,1.58486000696818,-2.85930506388346,NA,NA,-0.218903992325068,0.0169136710464954,NA,NA,-7.29679974416892,0.281894517441591,NA,0.4,0.75,0.55555556,1,0.66666667,0.8,0.44444444,1,99.2804336547852,-8.3876953125,0,0,99.2804,1,1,"2024-07-31",0
