"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFC%","piSI%","piSL%","pivCH","pivFC","pivSI","pivSL","piCH-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFC","piwSI","piwSL","piwCH/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Graham Ashcraft",27552,"2024-07-07","DET",18,2024,"CIN","H",26,0,1,1.92857169131847,1,1,0,0,0,0,0,0,4.2,21,6,1,1,0,3,0,0,0,0,2,3.85714338263694,5.78571507395541,11.5714301479108,0.66666667,0,0,8,6,2,1,0,0,0,0.0952381,0.14285714,-0.04761905,6.54817805376258,0,0.333333333333333,1.92857169131847,0.375,0.88888889,4.23790849568895,-2.30933680437048,6.18191956853898,43.9714194392604,97.9988304015736,151.180042875214,1.333333333,0.125,0.5,0.375,0.166666666,0,0,0,33,47,80,0.130190014839172,-0.386289983987808,0.516480028629303,1.55109989643097,0.146676123142242,1.22127270698547,0.968600034713745,0.870000004768372,0.912000000476837,1,1,0.0468994677066803,0.0597024518273496,0,0,0.0125,95,0.375,88.53333333,0.55,95.38636364,0.0625,91.2,-0.0238054171204567,0.351709693670273,0.216242954134941,-0.775446474552155,-2.38054171204567,1.17236564556758,0.491461259397593,-15.5089294910431,0.3,0.66666667,0.4375,0.73333333,0.8,0.77142857,0.375,0.61904762,0.1,6,5,5,2,9,5,16,0.375,0.3125,0.3125,0.125,0.5625,0.3125,3.71564161393162,49,23.50734,48.33904,20,51.4707,33.84627,48.75695,59.95082,51.57384,54.94848,28.39262,46.10444,29.86428,41.07194,54.70972,30.05805,0.68008,5.09721,89.4,61.96,56.58,54.72,148.48,103,113.92,106.78,119.92,90.4,65.88,67.74,98.7115,82.005,87.05075,0.55,0.0125,0.375,0.0625,95.2954545454545,94.6999969482422,88.5,91.1799987792969,0.438415397297252,-4.74484252929688,4.02966944376628,-7.08312683105469,5.80295146595348,4.93213176727295,1.22549718221029,3.02434577941895,0.165686566382647,-0.0242429338395596,0.35164500027895,-0.788377277553082,0.376560378142379,-2.42429338395596,1.17215000092983,-15.7675455510616,0.23255814,0.67567568,0.4375,0.6,0.84,0.77142857,0.4625,18.71186441,0.0625,0.55,0.0125,0.375,91.0384216308594,95.171630859375,94.6143035888672,88.3732340494792,-7.54979400634766,0.44370885328813,-4.84447002410889,4.27878621419271,1.54777202606201,4.67922176014293,3.3182098865509,-0.333796246846517,-0.788377277553082,0.165686566382647,-0.0242429338395596,0.35164500027895,-15.7675455510616,0.376560378142379,-2.42429338395596,1.17215000092983,0.21428571,0.68421053,0.4375,0.55555556,0.84615385,0.77142857,0.475,16,83.5082702636719,20.4856128692627,0,0,101.153,3,0.1875,"2024-07-07",0
"Graham Ashcraft",27552,"2024-07-02","@NYY",18,2024,"CIN","A",26,1,0,5.4,1,1,0,0,0,0,0,0,5,23,4,3,3,0,2,0,0,0,0,3,5.4,3.6,7.2,1.5,0.1,1,10,3,3,0,1,2,2,0.13043478,0.08695652,0.04347826,4.60039259742832,0,0.19047619047619,1.2,0.222222222222222,0.5,3.1664797782898,2.23352022171021,4.07368482202291,123.119957656164,73.6482366464374,100.233024715987,3.333333333,0.1875,0.625,0.1875,0,0,5,9,26,52,78,0.0769880190491676,-0.275952041149139,0.352940082550049,-0.0249999910593033,-0.00259604584425688,0.88709568977356,0.828199982643127,0.870000004768372,1.87520003318787,1,1,0.0361288227140903,0.0506577775779476,0,0,0.01282051,97,0.28205128,87.45454545,0.64102564,95.98,0.06410256,92,0,0.780201435089111,-0.439565509557724,0.177114650607109,0,3.54637015949596,-0.879131019115448,3.54229301214218,0.35,0.71052632,0.52564103,0.71428571,0.77777778,0.75609756,0.48717949,0.60869565,0.12820513,4,9,5,1,14,3,18,0.22222222,0.5,0.27777778,0.05555556,0.77777778,0.16666667,3.76559659207929,52,33.56505,42.44751,32.91036,50.69252,35.42319,55.39429,60.8017,65.97391,51.91842,69.0664,54.66428,54.65138,68.20405,62.31206,55.69362,-1.00554,2.56878,101.5,68,65.32,85.22,161.12,96.44,128.64,96.8,120.6,106.22,98.48,106.3,111.898987341772,96.8759493670886,107.563797468354,0.64102564,0.01282051,0.28205128,0.06410256,95.99400390625,96.9000015258789,87.4818170720881,91.8599975585937,1.58773971557617,-1.39686870574951,6.64446258544922,-5.80028877258301,5.24546997070312,6.61689567565918,1.08363550359553,3.52298889160156,-0.461383782327175,0,0.788320124149323,0.176861219108105,-0.92276756465435,0,3.58327329158783,3.53722438216209,0.27586207,0.67346939,0.52564103,0.625,0.78787879,0.75609756,0.62820513,18.10909091,0.06410256,0.65384615,NA,0.28205128,91.7603393554687,95.9070542279412,NA,87.3805541992188,-6.01427803039551,1.45370513317632,NA,6.79837105490945,1.84434471130371,4.11310532513787,NA,-0.216330008073287,0.176861219108105,-0.461383782327175,NA,0.788320124149323,3.53722438216209,-0.904674082994461,NA,3.58327329158783,0.3,0.66666667,0.52564103,0.55555556,0.8125,0.75609756,0.61538462,18,90.8050689697266,2.24944925308228,1,0.05555556,105.81,5,0.27777778,"2024-07-02",0
"Graham Ashcraft",27552,"2024-06-26","PIT",18,2024,"CIN","H",26,0,1,10.1250006034971,1,1,0,0,0,0,0,0,5.1,25,9,6,6,2,1,0,0,0,0,3,5.06250030174853,1.68750010058284,15.1875009052456,3,0,0,7,7,7,1,0,0,0,0.12,0.04,0.08,5.03825388401489,3.37500020116569,0.375,1.87500011175872,0.368421052631579,0.55555556,7.47898003533484,2.64602056816222,4.58849089621446,230.849934365036,171.659368999822,112.673686010304,1,0.333333333,0.333333333,0.333333333,0.142857142,0.285714285,1,1.68750010058284,35,54,89,-0.20661997795105,-0.572129964828491,0.365510016679764,-1.87890005111694,-0.177673757076263,0.879639983177185,0.870000004768372,0.870000004768372,0.953999996185303,1,1,-0.174115747213364,-0.0607757787547443,0,0,NA,NA,0.28089888,87.12,0.60674157,96.12962963,0.11235955,92.7,NA,0.752744555473328,-3.03245139122009,-0.364010393619537,NA,3.01097822189331,-5.61565072448165,-3.64010393619537,0.2244898,0.825,0.49438202,0.63636364,0.96969697,0.88636364,0.4494382,0.44,0.05617978,9,8,4,3,9,9,21,0.42857143,0.38095238,0.19047619,0.14285714,0.42857143,0.42857143,10.3018383634811,25,NA,NA,NA,24.35648,52.86991,34.17084,35.40434,56.50966,24.35573,57.79121,50.61171,52.97504,49.59748,57.36989,42.73455,0.15042,4.30272,94.82,88.78,74.62,105.54,90.2,76.32,125.48,72.92,96.46,107.72,114.48,137.06,110.734081632653,99.0257142857143,114.753265306122,0.60674157,0.1011236,0.28089888,0.01123596,95.9981463396991,92.8444417317708,87.067998046875,90.8000030517578,1.26910640575268,-6.52373589409722,6.65620788574219,-7.80408096313477,5.28807633011429,3.71128760443793,0.211833305358887,4.29210948944092,-3.03837840631604,-0.344085726886988,0.800019726157188,-0.0242429338395596,-5.62662667836304,-3.82317474318875,3.20007890462875,-2.42429338395596,0.15384615,0.76,0.49438202,0.33333333,0.97368421,0.88636364,0.56179775,18.546875,0.11235955,0.60674157,NA,0.28089888,92.6640991210938,96.0108778211806,NA,87.068095703125,-7.14080276489258,1.0241822136773,NA,6.60291137695313,2.46613349914551,4.24579874674479,NA,-1.00194999694824,-0.368328660726547,-3.03837840631604,NA,0.800019726157188,-3.68328660726547,-5.62662667836304,NA,3.20007890462875,0.15,0.7755102,0.49438202,0.33333333,0.97368421,0.88636364,0.5505618,21,89.6703462146577,17.0569312686012,2,0.0952381,112.19,8,0.38095238,"2024-06-26",0
"Graham Ashcraft",27552,"2024-06-05","@COL",18,2024,"CIN","A",26,0,0,9.81818352060899,1,1,0,0,0,0,0,0,3.2,18,6,4,4,0,0,0,1,0,0,2,4.9090917603045,0,14.7272752809135,2,0.142857142,0,7,3,4,0,1,1,0,0.11111111,0,0.11111111,4.16407476526766,0,0.352941176470588,1.6363639201015,0.4,0.42857143,2.89375245827288,6.92443106233611,4.13085045968869,223.854507281079,67.4499034602783,101.614473714992,2.333333333,0.285714285,0.5,0.214285714,0,0,2,4.9090917603045,26,47,73,-0.171892032027245,-0.332451999187469,0.160559967160225,-1.76300001144409,-0.153437778353691,0.80293333530426,0.654699981212616,0.870000004768372,0.649599969387054,1,1,-0.147814333438873,-0.0662657457773029,0,0,0.05479452,94,0.42465753,87.58064516,0.52054795,95.15789474,NA,NA,-0.548144817352295,1.00729405879974,-2.06142926216125,NA,-13.7036204338074,3.24933567354756,-5.42481384779278,NA,0.31818182,0.82758621,0.52054795,0.57142857,0.875,0.76315789,0.39726027,0.61111111,0.12328767,7,4,4,2,8,5,15,0.46666667,0.26666667,0.26666667,0.13333333,0.53333333,0.33333333,4.86722208126494,40,NA,NA,NA,20,40.62321,20,52.48352,48.2697,44.40023,42.03475,44.53571,41.27487,44.53635,51.98928,36.23366,0.46485,4.77437,NA,NA,NA,76.32,34.96,16.36,116.98,101.38,112.96,95.5,99.38,96.6,103.682777777778,96.6622222222222,99.1861111111111,0.52054795,0.05479452,0.42465753,NA,95.121048776727,93.6999969482422,87.4645129788306,NA,0.621911550823011,-4.05550861358643,3.9407963906565,NA,4.69469813296669,3.96115231513977,0.0421029598482194,NA,-2.09421944245696,-0.557048406451941,1.0168736204505,NA,-5.51110379593937,-13.9262101612985,3.28023748532418,NA,0.29268293,0.8125,0.52054795,0.5,0.88461538,0.76315789,0.43835616,19.69090909,NA,0.52054795,0.05479452,0.42465753,NA,95.3431203741776,93.9618988037109,87.6832393523186,NA,0.619032909995631,-4.3998327255249,4.14276024603075,NA,4.43038619192023,3.80186009407043,-0.449400132702243,NA,-2.09421944245696,-0.557048406451941,1.0168736204505,NA,-5.51110379593937,-13.9262101612985,3.28023748532418,0.26315789,0.8,0.52054795,0.4,0.89285714,0.76315789,0.47945205,15,93.716299203726,-5.52825600760324,1,0.06666667,110.137,9,0.6,"2024-06-05",0
"Graham Ashcraft",27552,"2024-05-31","@CHC",18,2024,"CIN","A",26,0,0,5.78571507395541,1,1,0,0,0,0,0,0,4.2,22,5,3,3,1,2,0,2,0,0,4,7.71428676527388,3.85714338263694,9.64285845659235,2,0.111111111,0,9,4,1,0,1,0,0,0.18181818,0.09090909,0.09090909,4.34148941246761,1.92857169131847,0.277777777777778,1.50000020435881,0.307692307692308,0.78947368,6.8093374174469,-1.0236223434915,5.31963013410914,131.914258317781,156.440255413901,130.342194743261,2.25,0.071428571,0.642857142,0.285714285,0,0.25,2,3.85714338263694,36,47,83,-0.0657160431146622,-0.479960083961487,0.414244055747986,-0.392999947071075,-0.0421221777796745,1.24368703365326,0.923520028591156,0.870000004768372,3.79719996452332,1,1,-0.085076816380024,0.0322371217169502,0,0,0.09638554,93.75,0.39759036,86.90909091,0.4939759,94.14634146,0.01204819,90,-2.32351279258728,-0.200311243534088,0.890921235084534,-0.0207000374794006,-29.043909907341,-0.607003768285115,2.1729786221574,-2.07000374794006,0.3,0.6969697,0.45783133,0.46666667,0.95652174,0.76315789,0.39759036,0.40909091,0.10843373,5,7,2,1,7,6,14,0.35714286,0.5,0.14285714,0.07142857,0.5,0.42857143,6.01214463151058,43,57.98873,24.46119,70.01757,20,43.56909,20,53.11502,54.54527,43.34784,28.17797,34.85168,41.59353,29.96957,50.0667,26.35901,1.36983,6.13184,85.26,128.34,83.58,74.08,-91.94,-118.58,105.92,103.84,114.78,82.38,82.7,71.56,91.2575903614458,75.0768674698795,71.0826506024096,0.4939759,0.09638554,0.39759036,0.01204819,94.1292694836128,93.6875,86.8545439749053,89.9000015258789,0.519588098293397,-4.425705909729,5.76760910496567,-4.24641084671021,5.89460642744855,5.52229356765747,0.588321396798799,3.83835101127625,0.899765100330114,-2.34303054213524,-0.211141429841518,-0.0210469514131546,2.1945490251954,-29.2878817766905,-0.639822514671268,-2.10469514131546,0.25,0.74285714,0.45783133,0.41666667,0.92307692,0.76315789,0.42168675,17.75409836,0.01204819,0.46987952,0.12048193,0.39759036,90.2164993286133,94.4599984975962,94.0779418945312,87.1788958925189,-4.69863986968994,0.476785219632662,-4.32730903625488,5.86271112615412,3.01864004135132,5.00772603352865,4.75000495910645,-0.610289718165542,-0.0210469514131546,0.315976794809103,-1.75924223661423,-0.211141429841518,-2.10469514131546,0.810196909766931,-17.5924223661423,-0.639822514671268,0.24444444,0.71052632,0.45783133,0.36363636,0.92592593,0.76315789,0.45783133,14,93.61865234375,5.34394018990653,2,0.14285714,104.553,7,0.5,"2024-05-31",0
"Graham Ashcraft",27552,"2024-05-24","LAD",18,2024,"CIN","H",26,1,0,8.43750050291422,1,1,0,0,0,0,0,0,5.1,27,8,5,5,1,1,0,2,1,0,3,5.06250030174853,1.68750010058284,13.5000008046628,3,0.2,0,5,11,5,1,1,0,0,0.11111111,0.03703704,0.07407407,5.71770439313166,1.68750010058284,0.333333333333333,1.68750010058284,0.35,0.625,6.16647995710374,2.27102054581048,6.84749733552814,192.374945304196,141.829893935748,167.264211223739,0.454545454,0.238095238,0.238095238,0.523809523,0.09090909,0.09090909,9,15.1875009052456,33,56,89,-0.2065399736166,-0.664310038089752,0.457770019769669,-1.93390011787415,-0.182874709367752,1.08692860603333,0.860666632652283,0.870000004768372,0.453999996185303,1,1,-0.240892067551613,0.0508704116027883,0,0,0.33707865,94.76666667,0.21348315,87.89473684,0.38202247,94.88235294,0.06741573,89.5,-0.298281162977219,-0.930441379547119,-1.40858268737793,-0.0713834464550018,-0.994270543257395,-4.89705989235326,-4.14289025699391,-1.18972410758336,0.37037037,0.65714286,0.48314607,0.65,0.91304348,0.79069767,0.39325843,0.7037037,0.1011236,4,7,10,4,13,4,21,0.19047619,0.33333333,0.47619048,0.19047619,0.61904762,0.19047619,6.81955675953244,36,20,44.0453,20,25.71908,30.91314,35.33671,56.79686,56.13336,38.43379,49.72893,42.63969,45.9386,36.34355,44.36582,29.68852,0.97384,5.53785,92.42,-50.16,-56.36,73.94,99.1,67.52,109.32,97.68,106.62,85.52,101.34,99.38,87.0325842696629,89.5649438202247,79.328988764045,0.38202247,0.33707865,0.21348315,0.06741573,94.8147044462316,94.6299967447917,87.8315815172697,89.4500020345052,0.110215123961954,-4.06661783854167,4.80949080617804,-6.40804354349772,6.5305570714614,6.26404571533203,0.624418860987613,2.95914459228516,-1.37162938341498,-0.341442007571459,-0.989548429846764,-0.0765038654208183,-4.0342040688676,-1.1381400252382,-5.20814963077244,-1.27506442368031,0.32653061,0.675,0.48314607,0.5625,0.92592593,0.79069767,0.4494382,18.90322581,0.06741573,0.37078652,0.34831461,0.21348315,89.7750345865885,95.1352687026515,94.9790747857863,88.1507247121711,-6.82633018493652,0.201917113679828,-4.11446872834236,5.10888952957956,1.7587792078654,5.28045885490649,4.74626897996472,-1.05763214512875,-0.0765038654208183,-1.37162938341498,-0.341442007571459,-0.989548429846764,-1.27506442368031,-4.1564526770151,-1.10142583087567,-5.20814963077244,0.37254902,0.63157895,0.48314607,0.63157895,0.91666667,0.79069767,0.42696629,21,89.8490513392857,18.4309488932292,3,0.14285714,105.768,8,0.38095238,"2024-05-24",0
"Graham Ashcraft",27552,"2024-05-18","@LAD",18,2024,"CIN","A",26,0,1,5.4,1,1,0,0,0,0,0,0,5,21,3,3,3,0,3,0,0,2,0,5,9,5.4,5.4,1.66666667,0,0,6,4,3,1,0,0,0,0.23809524,0.14285714,0.0952381,4.75461342600202,0,0.166666666666667,1.2,0.230769230769231,0.5,2.96647977828979,2.43352022171021,4.17608650326729,123.119957656164,69.1027930980795,102.707635440677,1.5,0.23076923,0.461538461,0.307692307,0.25,0,0,0,43,63,106,-0.104040011763573,-0.435060024261475,0.331019997596741,-0.61000007390976,-0.0645502656698227,1.05339133739471,0.879999995231628,0.870000004768372,0.284000009298325,1,1,-0.000230293997447006,-0.0985364302675239,0,0,0.32075472,94.05882353,0.33962264,88.36111111,0.30188679,95.34375,0.03773585,90.25,1.06243407726288,-0.409639805555344,0.305733054876328,0.060980312526226,3.1248061095967,-1.13788834876484,0.955415796488523,1.52450781315565,0.2295082,0.75555556,0.45283019,0.57142857,0.91176471,0.8125,0.4245283,0.47619048,0.08490566,4,5,4,3,8,2,13,0.30769231,0.38461538,0.30769231,0.23076923,0.61538462,0.15384615,3.56478258427652,54,20,38.6382,20,26.11939,31.2258,37.69883,42.33971,61.36144,31.32922,46.7793,52.00496,59.27808,37.05372,51.21501,40.6958,0.92972,5.47167,97.74,30.18,26.36,67.78,92.92,58.92,133.9,59.22,92.98,88.54,108.8,104.18,97.6335849056604,83.9011320754717,82.9222641509434,0.30188679,0.32075472,0.33962264,0.03773585,95.2562484741211,94.0323558134191,88.3194444444444,90.2249984741211,-0.240113213658333,-4.10433780445772,5.39564005533854,-6.23505973815918,6.51174163818359,5.62009654325597,0.936775949266222,2.43374562263489,0.353303179144859,1.05243076756597,-0.426425203680992,0.0612257644534111,1.10407243482769,3.09538461048813,-1.18451445466942,1.53064411133528,0.1372549,0.74545455,0.45283019,0.57142857,0.85365854,0.8125,0.51886792,18.90588235,0.03773585,0.28301887,0.33962264,0.33962264,90.3323516845703,95.3828776041667,94.1762152777778,88.4221801757812,-6.1291298866272,0.176370096206665,-3.77861107720269,5.97109646267361,1.3860377073288,5.53364919026693,4.41922675238715,-0.284815417395698,0.0612257644534111,0.554224189370871,0.851509757339954,-0.426425203680992,1.53064411133528,1.84741396456957,2.36530488149987,-1.18451445466942,0.1372549,0.74545455,0.45283019,0.57142857,0.85365854,0.8125,0.51886792,13,87.1636117788462,12.1322972224309,0,0,101.127,4,0.30769231,"2024-05-18",0
"Graham Ashcraft",27552,"2024-05-13","@ARI",18,2024,"CIN","A",26,0,0,6.75,1,1,0,0,0,0,0,0,4,21,7,3,3,2,3,0,0,0,0,3,6.75,6.75,15.75,1,0.125,0,8,5,2,1,1,0,0,0.14285714,0.14285714,0,5.8096270424455,4.5,0.388888888888889,2.5,0.384615384615385,0.97222222,10.4164797782898,-3.66647977828979,5.80649028606713,153.899947070205,238.420565274408,142.107522605255,1.6,0.133333333,0.533333333,0.333333333,0.2,0.4,2,4.5,39,55,94,-0.152879998087883,-0.594100058078766,0.441220045089722,-0.956000030040741,-0.0965656489133835,1.25454545021057,0.92550003528595,0.870000004768372,0.845999956130981,1,1,-0.28448498249054,0.162624114028402,0,0,0.17021277,96.25,0.36170213,89.55882353,0.39361702,96.43243243,0.07446809,89.57142857,-1.51136529445648,0.699331045150757,-2.94149589538574,-0.104523479938507,-9.44603309035301,2.05685601514928,-7.94998890644795,-1.4931925705501,0.3442623,0.78787879,0.5,0.52380952,0.92307692,0.74468085,0.35106383,0.47619048,0.12765957,5,6,4,2,8,5,15,0.33333333,0.4,0.26666667,0.13333333,0.53333333,0.33333333,9.55040009767997,26,39.97843,54.29168,31.86111,34.72469,48.50587,41.43664,41.58655,58.79654,32.45499,31.06865,42.6785,23.93121,36.15758,55.97693,22.14319,0.98539,5.55518,100.86,82,83.62,65.84,141.76,110.24,129.94,79.2,106.96,102.72,72.32,92.08,105.757234042553,88.0876595744681,100.116382978723,0.39361702,0.17021277,0.36170213,0.07446809,96.4027000633446,96.3187484741211,89.5441176470588,89.7142857142857,0.61134317758921,-5.71403694152832,4.42220396154067,-7.32914243425642,6.50507705276077,5.39399719238281,1.15201220792883,2.97918592180525,-3.28962605446577,-1.5195794403553,0.708018891513348,-0.107517149299383,-8.89088122828587,-9.49737150222063,2.08240850445102,-1.53595927570547,0.32142857,0.76315789,0.5,0.44444444,0.93103448,0.74468085,0.40425532,20.10958904,0.07446809,0.37234043,0.19148936,0.36170213,89.6236397879464,96.2831473214286,96.2585923936632,89.4418873506434,-7.55328260149275,0.869679260253906,-5.65470292833116,4.80719891716452,1.55824102674212,5.3112300327846,4.14077716403537,-0.490364691790412,-0.107517149299383,-2.69700262695551,-2.11220286786556,0.708018891513348,-1.53595927570547,-7.70572179130146,-11.7344603770309,2.08240850445102,0.32142857,0.76315789,0.5,0.44444444,0.93103448,0.74468085,0.40425532,15,95.7199869791667,5.56564687093099,3,0.2,107.71,9,0.6,"2024-05-13",0
"Graham Ashcraft",27552,"2024-05-08","ARI",18,2024,"CIN","H",26,0,1,5.4,1,1,0,0,0,0,0,0,5,24,6,3,3,0,3,0,1,0,0,2,3.6,5.4,10.8,0.66666667,0.25,0,8,6,4,1,2,0,0,0.08333333,0.125,-0.04166667,6.46339575607781,0,0.3,1.8,0.333333333333333,0.7,4.7664797782898,0.633520221710205,6.58088986575603,123.119957656164,110.0117850333,160.821448800668,1.333333333,0.222222222,0.444444444,0.333333333,0.166666666,0,2,3.6,30,56,86,-0.0589099302887917,-0.684589982032776,0.625680088996887,-0.213900119066238,-0.0202269498258829,1.47396004199982,1.04683327674866,0.870000004768372,2.46900010108948,1,1,-0.019115973263979,-0.0208511415900063,0,0,0.06976744,95.16666667,0.38372093,89.33333333,0.53488372,95.63043478,0.01162791,90,-0.845691919326782,1.59600830078125,-1.30027318000793,-0.0238054171204567,-14.094865322113,4.83638879024621,-2.82668082610421,-2.38054171204567,0.3125,0.81578947,0.53488372,0.8,0.93548387,0.89130435,0.44186047,0.54166667,0.05813953,11,4,3,2,10,6,18,0.61111111,0.22222222,0.16666667,0.11111111,0.55555556,0.33333333,5.57408259611393,45,20,43.92981,20,24.46251,40.98509,27.60136,51.56279,51.89029,47.01971,64.28677,48.72738,50.12032,58.42877,55.027,46.24401,-0.39824,3.47973,94.46,41.68,36.74,79.46,96.42,68.38,123.2,84.08,101.82,97.7,107.6,115.74,106.072857142857,97.0566666666667,106.11380952381,0.53488372,0.06976744,0.38372093,0.01162791,95.6521739130435,95.1333312988281,89.2454575047348,90.0999984741211,0.645581411278766,-4.44658025105794,4.11233381791548,-6.72786092758179,6.46627210534137,5.48384730021159,1.49667242801551,2.65194082260132,-1.32603273168206,-0.861539982259274,1.65593341365457,-0.0242429338395596,-2.88267985148274,-14.3589997043212,5.01798004137747,-2.42429338395596,0.28947368,0.72916667,0.53488372,0.72727273,0.94285714,0.89130435,0.55813953,20.25806452,0.01162791,0.53488372,0.06976744,0.38372093,90.4815979003906,96.0401027513587,95.546885172526,89.6426669034091,-6.34963989257812,0.839033043902853,-4.43080838521322,4.48349738843513,0.665816009044647,5.11707471764606,4.08899180094401,-0.166230534062241,-0.0242429338395596,-1.32603273168206,-0.861539982259274,1.65593341365457,-2.42429338395596,-2.88267985148274,-14.3589997043212,5.01798004137747,0.30769231,0.72340426,0.53488372,0.75,0.94117647,0.89130435,0.54651163,18,91.9324815538194,13.7163492838542,0,0,110.021,9,0.5,"2024-05-08",0
"Graham Ashcraft",27552,"2024-05-01","@SDP",18,2024,"CIN","A",26,0,0,0,1,1,1,0,0,0,0,0,6,26,5,2,0,0,2,0,0,0,0,4,6,3,7.5,2,0.1,0,10,6,4,0,1,0,0,0.15384615,0.07692308,0.07692308,4.70364624473358,0,0.208333333333333,1.16666666666667,0.25,0.71428571,2.83314644495646,-2.83314644495646,4.34515485117833,0,66.0724973991743,106.793294405082,1.666666666,0.2,0.5,0.3,0,0,2,3,40,59,99,0.0593240484595299,-0.510653972625732,0.569978058338165,0.741999983787537,0.080960176885128,1.35322964191437,1.11556661128998,0.927799999713898,1.50220000743866,1,1,0.0984953567385674,-0.054656494048857,0,0,0.19191919,95.42105263,0.28282828,89.32142857,0.51515152,95.58823529,0.01010101,91,1.08496952056885,0.958124458789825,-0.631765723228455,-0.429545164108276,5.71036589773078,3.42187306710652,-1.23875632005579,-42.9545164108276,0.29411765,0.64583333,0.46464646,0.53333333,0.93548387,0.80434783,0.48484848,0.42307692,0.09090909,7,9,4,4,12,4,20,0.35,0.45,0.2,0.2,0.6,0.2,3.47985300889033,60,80,52.1149,80,29.66093,40.76752,40.34423,54.86296,51.0703,49.00541,54.69794,44.99065,42.22077,53.44824,50.23323,43.72911,-0.08882,3.94386,74.08,187.82,177.78,67.62,120.74,98.04,124.06,94.08,113.8,102.12,113.04,119.78,101.769292929293,109.832929292929,114.721818181818,0.51515152,0.19191919,0.28282828,0.01010101,95.592160692402,95.3999987150493,89.2071446010045,90.6999969482422,0.072560754476809,-4.91957252903989,4.66750335693359,-7.82097959518433,6.15463137159161,5.94425884046053,1.15198053632464,3.00808429718018,-0.610555406659842,1.09789093583822,0.964523784816265,-0.436161160469055,-1.1971674640389,5.77837334651696,3.44472780291523,-43.6161160469055,0.27272727,0.61818182,0.46464646,0.41666667,0.94117647,0.80434783,0.55555556,20.39726027,0.01010101,0.48484848,0.22222222,0.28282828,90.8998031616211,95.795155843099,95.5765602805398,89.3871547154018,-7.73098993301392,0.563977877298991,-4.34932049837979,5.18090983799526,1.88258004188538,4.8375924428304,4.82473269375888,-0.174904465675354,-0.436161160469055,-0.756519392132759,1.24385492131114,0.964523784816265,-43.6161160469055,-1.57608206694325,5.65388600595973,3.44472780291523,0.2195122,0.63793103,0.46464646,0.33333333,0.91891892,0.80434783,0.58585859,20,92.01884765625,4.90497245788574,2,0.1,107.735,9,0.45,"2024-05-01",0
