"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"JP Sears",23429,"2024-09-27","@SEA",10,2024,"OAK","A",28,0,1,3,1,1,1,0,0,0,0,0,6,25,4,2,2,2,3,0,0,0,0,4,6,4.5,6,1.33333333,0,0,3,13,2,4,0,0,0,0.16,0.12,0.04,6.63544428401489,3,0.181818181818182,1.16666666666667,0.125,1,7.6664797782898,-4.6664797782898,6.60916465843717,77.4448862492324,195.647545661481,162.574484732612,0.23076923,0.111111111,0.166666666,0.722222222,0.307692307,0.153846153,0,0,38,64,102,-0.0273399613797665,-0.334516018629074,0.307176053524017,0.580000042915344,0.0658716633915901,0.670567989349365,0.673433363437653,0.870000004768372,0.337000012397766,1,1,-0.0767806768417358,0.0360093280538318,0,0,0.45098039,90.7826087,0.37254902,78.18421053,0.17647059,83.5,NA,-1.21149921417236,1.94370794296265,-1.18685853481293,-2.63369394385296,5.11502090253328,-6.59365852673848,0.20754717,0.69387755,0.44117647,0.72727273,0.79411765,0.77777778,0.48039216,0.6,0.09803922,6,7,5,6,7,5,18,0.33333333,0.38888889,0.27777778,0.33333333,0.38888889,0.27777778,5.89086976855444,47,55.10071,45.05021,66.12176,20,38.71538,20,61.4116,41.8045,66.92326,63.1473,49.47797,59.10733,46.00683,44.68678,48.33819,0.37349,4.63733,50.64,123.68,78.42,61.48,83.16,46.98,54,128.94,88.04,110.82,110.06,113.78,76.7752941176471,107.513333333333,83.8552941176471,0.30392157,0.14705882,0.37254902,0.17647059,91.1838693926411,89.7600016276042,78.1894723992599,83.3999972873264,7.03140603342364,9.82749633789063,-5.05595558568051,10.1937569512261,7.88222331385459,4.15649388631185,3.17091731021279,1.58343050214979,-1.40030689910054,0.181164603680372,1.88633004948497,-1.14558053389192,-4.51711902935659,1.20776402453581,4.96402644601307,-6.36433629939954,0.13636364,0.67241379,0.44117647,0.66666667,0.79487179,0.77777778,0.56862745,20.5974026,0.17647059,0.29411765,0.15686275,0.37254902,83.5266452365451,91.33125,89.9318923950195,78.3008904708059,10.1765975952148,6.71129099527995,9.71061706542969,-5.62044565301192,0.365140782462226,7.03290710449219,3.17183566093445,2.01362710250051,-1.14558053389192,-1.30047637596726,0.0813340805470943,1.88633004948497,-6.36433629939954,-4.33492125322421,0.50833800341934,4.96402644601307,0.17777778,0.64912281,0.44117647,0.625,0.81081081,0.77777778,0.55882353,18,91.4587063259549,33.8798963758681,2,0.11111111,111.139,9,0.5,"2024-09-27",0
"JP Sears",23429,"2024-09-21","NYY",10,2024,"OAK","H",28,0,1,10.8,1,1,0,0,0,0,0,0,5,25,9,6,6,2,2,0,0,0,0,6,10.8,3.6,16.2,3,0,0,6,6,5,1,0,0,0,0.24,0.08,0.16,3.98030828401489,3.6,0.391304347826087,2.2,0.466666666666667,0.6097561,7.1664797782898,3.63352022171021,3.78088986575604,278.801590497237,182.762938619829,92.2138817542243,1,0.294117647,0.352941176,0.352941176,0.166666666,0.333333333,0,0,32,61,93,-0.339983999729156,-0.497195988893509,0.157211989164352,-3.73469996452332,-0.409506589174271,0.564785182476044,0.442479997873306,0.870000004768372,0.0732000023126602,1,1,-0.241990715265274,-0.359979751167027,0,0,0.5483871,91.2745098,0.25806452,78.95833333,0.19354839,83.72222222,NA,-1.34331047534943,-0.0704888701438904,-1.318514585495,-2.63394210852829,-0.293703625599543,-7.32508103052775,0.2745098,0.61904762,0.43010753,0.78571429,0.88461538,0.85,0.4516129,0.64,0.06451613,8,6,3,4,9,4,17,0.47058824,0.35294118,0.17647059,0.23529412,0.52941176,0.23529412,7.64025855356128,23,49.05405,45.23953,55.2067,73.02612,42.62106,80,20,40.14138,20,75.2866,54.78649,75.26468,61.18144,45.03398,69.92696,-0.56925,3.22322,72.74,91.68,62.64,82.36,120.54,95.26,70.56,76.72,53.08,120.465,128.975,131.075,88.494347826087,109.949347826087,91.3436956521739,0.37634409,0.17204301,0.25806452,0.19354839,91.7257114955357,90.1125030517578,78.9750010172526,83.5722249348958,7.17580130440848,9.47773742675781,-5.4509105682373,10.1089079115126,8.66181204659598,3.03884863853455,3.44853687286377,1.62059624989827,-1.66376481950283,0.290244713425636,-0.0752026438713074,-1.31986243277788,-4.75361377000809,1.81402945891023,-0.313344349463781,-7.33256907098823,0.19444444,0.57894737,0.43010753,0.85714286,0.84848485,0.85,0.61290323,20.94117647,0.19354839,0.37634409,0.17204301,0.25806452,83.9391615125868,92.107080078125,90.4945602416992,79.3290506998698,10.3888142903646,7.20037275041853,9.59239196777344,-5.51852989196777,0.1468346118927,7.40933053152902,1.57203280925751,2.03339433670044,-1.31986243277788,-1.66376481950283,0.290244713425636,-0.0752026438713074,-7.33256907098823,-4.75361377000809,1.81402945891023,-0.313344349463781,0.2,0.56896552,0.43010753,0.85714286,0.84848485,0.85,0.62365591,17,90.5280043658088,10.7231561997358,3,0.17647059,111.484,9,0.52941176,"2024-09-21",0
"JP Sears",23429,"2024-09-15","@CHW",10,2024,"OAK","A",28,0,1,6,1,1,0,0,0,0,0,0,6,26,7,4,4,2,1,0,0,0,0,4,6,1.5,10.5,4,0,0,7,12,2,3,0,0,0,0.15384615,0.03846154,0.11538462,5.01467287752668,3,0.28,1.33333333333333,0.263157894736842,0.76923077,6.6664797782898,-0.666479778289796,5.3571632574002,154.889772498465,169.878331578177,131.427732749846,0.583333333,0.095238095,0.333333333,0.571428571,0.25,0.166666666,2,3,25,61,86,-0.191269934177399,-0.507407963275909,0.316137999296188,-1.01800000667572,-0.104894377291203,0.629970371723175,0.641033351421356,0.870000004768372,0.397000014781952,1,1,-0.368763417005539,0.0651460680590911,0,0,0.48837209,91.19047619,0.31395349,79.33333333,0.19767442,82.88235294,NA,-0.581084907054901,-0.901558876037598,-0.0481971278786659,-1.38353549298786,-3.3391069482874,-0.283512516933329,0.44680851,0.69230769,0.55813953,0.80952381,0.85185185,0.83333333,0.45348837,0.80769231,0.09302326,8,9,4,7,6,8,21,0.38095238,0.42857143,0.19047619,0.33333333,0.28571429,0.38095238,4.65711732343708,39,23.18775,40.22113,23.39231,61.66844,40.7097,72.66751,38.04733,37.92042,49.96835,65.7683,50.01001,62.8194,51.66309,42.62304,57.94657,0.02209,4.11023,62.58,67.48,34.58,72.12,136.8,109.3,65.48,138.38,114.82,115.235555555556,107.986666666667,119.122222222222,83.1527906976744,114.198139534884,98.126976744186,0.39534884,0.09302326,0.31395349,0.19767442,91.6058852251838,89.4250030517578,79.3000036168982,82.8470602596507,6.51642698400161,7.81664848327637,-5.07576497395833,9.08269725126379,8.08050088321461,3.51354837417603,2.15206061469184,1.61350811229033,-1.51739162579179,1.00352765619755,-0.930611237883568,-0.0555602498352528,-4.46291654644644,12.5440957024693,-3.44670828845766,-0.326824999030899,0.31578947,0.75,0.55813953,0.83333333,0.83333333,0.83333333,0.55813953,21.11864407,0.19767442,0.39534884,0.09302326,0.31395349,82.7383243336397,91.4971923828125,89.3232498168945,79.1666576244213,9.37231265797335,6.57706900203929,8.00153732299805,-5.4312998453776,0.364043880911434,7.16699622659122,2.48720622062683,1.04867913987901,-0.0555602498352528,-1.51739162579179,1.00352765619755,-0.930611237883568,-0.326824999030899,-4.46291654644644,12.5440957024693,-3.44670828845766,0.34210526,0.72916667,0.55813953,0.84615385,0.82857143,0.83333333,0.55813953,21,87.4996454148066,16.5204249790737,3,0.14285714,106.267,8,0.38095238,"2024-09-15",0
"JP Sears",23429,"2024-09-10","@HOU",10,2024,"OAK","A",28,0,0,0,1,1,1,0,0,0,0,0,6,24,4,0,0,0,2,0,0,0,0,1,1.5,3,6,0.5,0,0,6,11,4,0,0,0,0,0.04166667,0.08333333,-0.04166667,7.22179679795927,0,0.181818181818182,1,0.19047619047619,1,3.83314644495646,-3.83314644495646,6.60516185636322,0,96.8655583421491,162.474904745457,0.545454545,0.19047619,0.285714285,0.523809523,0,0,2,3,29,53,82,0.351860016584396,-0.208350002765656,0.560210049152374,2.86199998855591,0.303338646888733,1.19096660614014,1.11036670207977,0.924199998378754,1.51059997081757,1,1,0.209464073181152,0.0859766341991806,0,0,0.3902439,91.4375,0.35365854,79.55172414,0.25609756,83.42857143,NA,1.7345963716507,0.546987175941467,-0.324117422103882,5.42061366140842,1.88616267566023,-1.54341629573277,0.36,0.8125,0.53658537,0.83333333,0.92307692,0.88636364,0.3902439,0.58333333,0.06097561,5,10,6,0,14,7,21,0.23809524,0.47619048,0.28571429,0,0.66666667,0.33333333,3.9588474742412,64,40.27145,44.84562,47.98768,38.62403,53.58744,36.76122,80,61.6906,80,32.23621,59.1271,21.11753,37.0325,56.3389,35.00873,0.93103,5.47364,76,70.4,56.56,83.98,98.92,88.82,79.94,152.1,138.4,131.890344827586,63.7186206896552,84.8048275862069,98.6339024390244,82.4095121951219,82.1614634146341,0.32926829,0.06097561,0.35365854,0.25609756,91.6851851851852,89.5799987792969,79.4862102640086,83.4142833891369,8.09142444751881,10.3130386352539,-3.9994493681809,10.1609845842634,8.76940691912616,3.89149932861328,3.36558348557045,2.06879225231352,1.11906053498387,0.634495742619038,0.590721782296896,-0.336667366325855,4.14466864808842,12.6899148523808,2.03697166309275,-1.60317793488503,0.30952381,0.775,0.53658537,0.92307692,0.87096774,0.88636364,0.48780488,22.17241379,0.25609756,0.29268293,0.09756098,0.35365854,83.6821637834821,92.181630452474,90.032096862793,79.7501346982759,10.1541479201544,7.60025342305501,10.1417961120605,-4.33038382694639,0.920666740054176,7.86843236287435,3.69267988204956,2.22703710095636,-0.336667366325855,0.903192739933729,0.850363537669182,0.590721782296896,-1.60317793488503,3.7633030830572,10.6295442208648,2.03697166309275,0.3255814,0.76923077,0.53658537,0.85714286,0.9,0.88636364,0.47560976,21,89.7971482049851,19.9808843703497,2,0.0952381,104.242,7,0.33333333,"2024-09-10",0
"JP Sears",23429,"2024-09-04","SEA",10,2024,"OAK","H",28,0,1,7.5,1,1,0,0,0,0,0,0,6,25,5,5,5,0,1,0,1,0,0,5,7.5,1.5,7.5,5,0,0,5,12,1,1,0,0,0,0.2,0.04,0.16,4.70760908401489,0,0.217391304347826,1,0.277777777777778,0.28571429,2.49981311162313,5.00018688837687,5.52382992406686,193.612215623081,62.5066062310771,135.573994348405,0.416666666,0.055555555,0.277777777,0.666666666,0.083333333,0,2,3,31,63,94,-0.305183947086334,-0.571563959121704,0.266380041837692,-2.28169989585876,-0.250186413526535,0.708753824234009,0.675666689872742,0.870000004768372,0.30799999833107,1,1,-0.119499020278454,-0.311093290692375,0,0,0.5106383,91.47916667,0.26595745,79.08,0.22340426,83,NA,-0.521828234195709,0.580060839653015,0.571900546550751,-1.08714215457439,2.32024335861206,2.72333593595596,0.3559322,0.8,0.5212766,0.80952381,0.89285714,0.85714286,0.37234043,0.68,0.07446809,4,6,8,2,13,3,18,0.22222222,0.33333333,0.44444444,0.11111111,0.72222222,0.16666667,1.18035579704884,53,55.78077,41.56338,64.17177,39.39463,43.44161,41.55094,80,31.88107,80,54.78316,50.02019,49.40387,46.86104,43.35949,52.4007,0.32042,4.55772,74.26,111.66,93.48,76.06,91.74,66.84,77.72,143.28,112.44,123.921666666667,94.8766666666667,106.076666666667,88.0584946236559,98.7101075268817,84.4520430107527,0.4787234,0.03191489,0.26595745,0.22340426,91.5666666666667,89.5,79.0239990234375,82.9238106863839,6.38717176649306,8.66246541341146,-5.24546691894531,8.87054370698475,8.48697577582465,3.65920829772949,3.24850646972656,1.17031633286249,0.195372391492128,-0.721817672252655,0.625345785170794,0.579913035035133,0.434160869982507,-24.0605890750885,2.50138314068317,2.76149064302444,0.27272727,0.74,0.5212766,0.83333333,0.86486486,0.85714286,0.53191489,20.49275362,0.22340426,0.45744681,0.05319149,0.26595745,82.9498465401786,91.6828442950581,89.4694580078125,79.018310546875,9.59425717308408,6.73236083984375,9.59539413452148,-4.81484893798828,-0.372632162911551,7.30833825399709,3.56552200317383,1.81738510131836,0.579913035035133,0.0784806422889233,-0.60492592304945,0.625345785170794,2.76149064302444,0.182513121602147,-12.098518460989,2.50138314068317,0.25,0.72222222,0.5212766,0.8,0.87179487,0.85714286,0.57446809,18,89.5570136176215,26.6848975287543,2,0.11111111,105.101,6,0.33333333,"2024-09-04",0
"JP Sears",23429,"2024-08-30","@TEX",10,2024,"OAK","A",28,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,28,5,1,1,1,2,0,0,0,1,4,5.14285714285714,2.57142857142857,6.42857142857143,2,0,0,11,8,2,2,0,1,0,0.14285714,0.07142857,0.07142857,4.88799439608444,1.28571428571429,0.192307692307692,1,0.19047619047619,1,4.73790834971837,-3.45219406400408,4.60877509968621,33.1906655353853,120.180561560377,112.809654274974,1.375,0.095238095,0.523809523,0.38095238,0.25,0.125,5,6.42857142857143,36,61,97,0.225832000374794,-0.329024016857147,0.55485600233078,2.43700003623962,0.253063350915909,0.972000002861023,0.930000007152557,0.921600043773651,0.585600018501282,1,1,0.13041689991951,0.10192054834188,0,0,0.59793814,90.74137931,0.17525773,77.88235294,0.22680412,82.81818182,NA,-1.38561296463013,1.07292747497559,1.15594112873077,-2.38898787005194,6.31133808809168,5.25427785786715,0.23076923,0.66666667,0.43298969,0.75,0.86666667,0.83333333,0.46391753,0.64285714,0.07216495,13,4,5,3,15,4,22,0.59090909,0.18181818,0.22727273,0.13636364,0.68181818,0.18181818,3.53249507084679,62,40.75865,42.50147,45.01173,50.54361,40.14867,55.33561,80,48.38412,80,55.82075,50.64498,52.10287,48.65776,40.47947,54.85055,0.2088,4.39029,68.96,91.3,70.16,74.76,106.74,74.32,70.42,121.54,106.58,124.475294117647,108.06,122.158823529412,81.7694845360825,104.066597938144,83.6703092783505,0.53125,0.05208333,0.16666667,0.25,90.9862706801471,88.7799987792969,77.7750015258789,83.0833333333333,7.03461411420037,9.4447998046875,-4.43628120422363,9.53560129801432,8.36072794596354,4.99353713989258,3.23790550231934,1.41149425506592,-1.69819841906428,0.212231431156397,0.778780926018953,1.22690996900201,-3.32980082169467,4.24462862312794,4.86738078761846,5.1121248708417,0.15909091,0.65384615,0.42708333,0.57142857,0.88235294,0.82926829,0.54166667,19.73529412,0.22680412,0.50515464,0.09278351,0.17525773,83.3249234286222,91.7091039540816,89.2032674153646,78.4217744715073,9.28435169566761,6.65119093291614,9.52747684054905,-4.86238681568819,0.226563475348733,7.40414055026307,3.90044106377496,2.2288984410903,1.16680661216378,-1.88276516273618,0.456901531666517,1.06659411266446,5.30366641892628,-3.84237788313506,5.07668368518353,6.2740830156733,0.15909091,0.66037736,0.43298969,0.57142857,0.88571429,0.83333333,0.54639175,22,86.4098754882812,15.268083190918,1,0.04545455,103.459,8,0.36363636,"2024-08-30",0
"JP Sears",23429,"2024-08-23","MIL",10,2024,"OAK","H",28,0,1,12.2727294007612,1,1,0,0,0,0,0,0,3.2,21,9,7,5,2,1,0,0,0,0,3,7.36363764045674,2.45454588015225,22.0909129213702,3,0,0,7,9,1,1,0,0,0,0.14285714,0.04761905,0.0952381,4.9859150299429,4.9090917603045,0.45,2.72727320016916,0.466666666666667,0.41666667,9.43920813867887,2.83352126208237,6.0595918224865,316.820044136521,241.329362291892,148.902448260733,0.777777777,0.058823529,0.411764705,0.529411764,0.111111111,0.222222222,1,2.45454588015225,33,57,90,-0.455623954534531,-0.579599976539612,0.123976022005081,-5.59770011901855,-0.61378288269043,0.604876220226288,0.621500015258789,0.870000004768372,0.238000005483627,1,1,-0.441847711801529,-0.311403844961736,0,0,0.62222222,90.96428571,0.23333333,78.38095238,0.14444444,83.23076923,NA,-0.513649582862854,-2.1715190410614,-1.59506165981293,-0.917231397969382,-10.3405668621972,-12.2697050754841,0.1875,0.66666667,0.41111111,0.66666667,0.96428571,0.89189189,0.46666667,0.76190476,0.04444444,6,8,3,1,6,10,17,0.35294118,0.47058824,0.17647059,0.05882353,0.35294118,0.58823529,5.70571383928704,11,41.07191,39.52253,50.37913,47.28566,39.03583,52.66024,80,41.90527,80,59.3583,48.61663,54.04773,51.80489,38.60901,61.2237,0.01328,4.09701,67.74,102.26,68.44,60.62,114.84,78.44,58.88,161.88,132.76,119.788571428571,90.0914285714286,98.4352380952381,75.3595555555556,111.812444444444,86.982,0.52222222,0.08888889,0.23333333,0.15555556,91.2191447805851,89.7750015258789,78.2619047619048,83.7071446010045,6.90855894697473,9.37759494781494,-6.28416224888393,9.48419298444476,8.19424373545545,4.00788497924805,2.44907687959217,1.84965297154018,-1.15982450544834,0.587620034813881,-2.18282497301698,-1.57307510450482,-2.46771171371988,7.34525043517351,-10.3944046334142,-11.236250746463,0.23809524,0.5625,0.41111111,0.7,0.96296296,0.89189189,0.53333333,19.92753623,0.14444444,0.5,0.12222222,0.23333333,83.5630540114183,91.5253580729167,89.7126797762784,78.4449346633184,10.1806910588191,7.12104153103299,9.87912819602273,-5.94660513741629,0.619206721966083,7.15823703342014,3.04827846180309,1.1150195712135,-1.6232452429831,-1.31275844573975,0.790724113583565,-2.18282497301698,-12.4865018691008,-2.91724099053277,7.18840103257786,-10.3944046334142,0.20930233,0.59574468,0.41111111,0.66666667,0.96428571,0.89189189,0.52222222,17,96.0185116038603,20.1958384794347,4,0.23529412,106.964,11,0.64705882,"2024-08-23",0
"JP Sears",23429,"2024-08-18","SFG",10,2024,"OAK","H",28,0,0,1.17391314082877,1,1,1,0,0,0,0,0,7.2,27,7,1,1,1,0,0,1,0,0,9,10.5652182674589,0,8.21739198580136,9,0.166666666,0,6,9,1,2,1,1,0,0.33333333,0,0.33333333,2.37043279086386,1.17391314082877,0.269230769230769,0.913043553977929,0.375,1,2.90561019143896,-1.73169705061019,2.98492441401593,30.304523219321,72.9636780552309,72.412195836249,0.666666666,0.0625,0.375,0.5625,0.222222222,0.111111111,1,1.17391314082877,39,66,105,0.241959914565086,-0.521200060844421,0.763159930706024,2.32130002975464,0.254528492689133,1.24913108348846,1.24435007572174,0.870000004768372,2.76679992675781,1,1,0.191471502184868,0.0022310785637929,0,0,0.53333333,91.33928571,0.20952381,78.09090909,0.25714286,83.7037037,NA,2.40680050849915,-0.927472233772278,-1.49040412902832,4.29785805089133,-4.21578288078308,-5.52001529269748,0.34246575,0.8125,0.48571429,0.52,0.84615385,0.68627451,0.3047619,0.7037037,0.15238095,6,4,7,3,8,6,17,0.35294118,0.23529412,0.41176471,0.17647059,0.47058824,0.35294118,1.65590482394027,71,34.44514,39.48026,47.61525,53.47714,40.8435,60.19875,57.59712,53.46119,74.38143,35.01506,48.70033,31.03616,41.07077,40.94143,51.56914,0.68015,5.09732,62.06,91.04,56.22,87.12,121.6,100.58,72.26,143.28,135.96,110.869090909091,70.8527272727273,87.78,84.8028571428571,104.34780952381,88.5129523809524,0.47619048,0.05714286,0.20952381,0.25714286,91.44,89.25,78.0454545454545,83.6259223090278,6.45066589355469,9.61859194437663,-6.14966305819425,9.09140466760706,8.30420593261719,5.04833761850993,3.00430124456232,1.63519386008934,2.93655979260802,-0.784179415553808,-0.979446023702621,-1.49867428094149,5.87311958521605,-13.0696569258968,-4.45202738046646,-5.55064548496847,0.22641509,0.75,0.48571429,0.33333333,0.79487179,0.68627451,0.4952381,20.1038961,0.25714286,0.47619048,0.05714286,0.20952381,84.0471824363426,91.868984375,89.670420328776,78.440185546875,9.67798077618634,6.82186096191406,10.0009549458822,-5.75156333229758,0.394031948513455,7.20215026855469,3.74526182810465,1.78832799738104,-1.49867428094149,2.93655979260802,-0.784179415553808,-0.979446023702621,-5.55064548496847,5.87311958521605,-13.0696569258968,-4.45202738046646,0.1875,0.73684211,0.48571429,0.33333333,0.76190476,0.68627451,0.54285714,17,90.08056640625,28.4974899291992,2,0.11764706,110.512,7,0.41176471,"2024-08-18",0
"JP Sears",23429,"2024-08-11","@TOR",10,2024,"OAK","A",28,1,0,3.85714285714286,1,1,1,0,0,0,0,0,7,25,3,3,3,1,3,0,0,0,0,4,5.14285714285714,3.85714285714286,3.85714285714286,1.33333333,0.083333333,0,12,5,1,0,1,0,0,0.16,0.12,0.04,4.83169388401489,1.28571428571429,0.136363636363636,0.857142857142857,0.117647058823529,0.65217391,5.1664797782898,-1.30933692114694,4.38934292559113,99.5719966061559,131.224510453221,107.350715093342,2.4,0.055555555,0.666666666,0.277777777,0,0.2,8,10.2857142857143,35,62,97,0.0777539983391762,-0.0404359996318817,0.118189997971058,1.38900005817413,0.146751195192337,0.201120004057884,0.271649986505508,0.430999994277954,0.327199995517731,1,1,0.151423931121826,0.235181064753163,0,0,0.55670103,91.16666667,0.18556701,79.05555556,0.25773196,83.92,NA,2.42464375495911,-1.29167222976685,1.16482412815094,4.49008102770205,-7.17595683203803,4.65929651260376,0.41269841,0.52941176,0.45360825,0.73076923,0.77777778,0.75,0.35051546,0.56,0.11340206,11,4,3,6,7,5,18,0.61111111,0.22222222,0.16666667,0.33333333,0.38888889,0.27777778,4.18082888904667,58,41.56521,43.4637,55.50698,49.49576,44.98969,51.21557,66.19712,57.27243,71.63848,61.96925,54.30831,58.93073,50.77591,47.06648,59.90097,0.07721,4.19291,62.16,94.04,61.06,98.4,96.84,78.62,73.16,122.9,108.48,119.88,97.4733333333333,121.486666666667,89.1426804123711,100.265773195876,86.6663917525773,0.40206186,0.15463918,0.18556701,0.25773196,91.7538436498397,89.7,78.9722222222222,83.95599609375,7.33395229241787,10.4114034016927,-4.49625651041667,9.80360168457031,8.53301062950721,5.41696370442708,4.28011279635959,1.99353591918945,1.01082038134336,1.40207848325372,-1.29288556426764,1.17792896553874,2.59184713164965,9.34718988835812,-7.18269757926464,4.71171586215496,0.32692308,0.6,0.45360825,0.58823529,0.85185185,0.75,0.46391753,19.81944444,0.25773196,0.40206186,0.15463918,0.18556701,83.992373046875,91.8084372495994,89.7577067057292,79.0108710394965,9.54116760253906,7.0461918757512,10.1519877115885,-5.22374725341797,1.07753227233887,7.80238068409455,4.32495930989583,3.39169777764214,1.17792896553874,1.01082038134336,1.40207848325372,-1.29288556426764,4.71171586215496,2.59184713164965,9.34718988835812,-7.18269757926464,0.32,0.59574468,0.45360825,0.625,0.82142857,0.75,0.48453608,18,79.2106391059028,-1.75595389472114,0,0,112.68,2,0.11111111,"2024-08-11",0
"JP Sears",23429,"2024-08-05","CHW",10,2024,"OAK","H",28,1,0,1.28571428571429,1,1,1,0,0,0,0,0,7,25,3,1,1,0,1,0,0,0,0,5,6.42857142857143,1.28571428571429,3.85714285714286,5,0,0,5,10,4,3,0,0,0,0.2,0.04,0.16,4.43186828401489,0,0.125,0.571428571428571,0.157894736842105,0.75,2.1664797782898,-0.880765492575509,4.32649178717818,33.1906655353853,53.9168682033091,105.787131523578,0.5,0.210526315,0.263157894,0.526315789,0.3,0,4,5.14285714285714,28,61,89,0.234220057725906,-0.277119964361191,0.511340022087097,2.17129993438721,0.238081142306328,0.979753851890564,1.02822852134705,0.870000004768372,0.804400026798248,1,1,0.287737995386124,-0.0486778913876061,0,0,0.52808989,91.5106383,0.30337079,78.81481481,0.16853933,83.86666667,NA,2.67306780815125,0.507350444793701,0.032464187592268,5.68737831521542,1.87907572145815,0.216427917281787,0.40816327,0.675,0.52808989,0.65,0.85185185,0.76595745,0.4494382,0.48,0.12359551,6,9,4,5,9,5,19,0.31578947,0.47368421,0.21052632,0.26315789,0.47368421,0.26315789,1.88654885887616,75,49.01999,46.67601,54.12719,61.08843,45.64385,69.07708,24.81985,47.6033,39.21968,57.4457,47.96532,48.15474,58.0918,45.73858,62.24797,-0.3773,3.51114,78.38,100.52,75.58,81.76,122.78,103.14,73.6,101.1,89.04,105.068148148148,109.740740740741,116.732592592593,88.0779775280899,114.585393258427,102.301797752809,0.50561798,0.02247191,0.30337079,0.16853933,91.5399956597222,90.0999984741211,78.8333333333333,83.9266682942708,6.74092407226563,9.49712657928467,-5.81343643753617,9.94928995768229,8.72240736219618,3.80145144462585,2.14850362141927,1.54154624938965,2.85684518888593,-0.134158242493868,0.535173784941435,0.034844171255827,6.34854486419095,-6.70791212469339,1.98212512941272,0.232294475038846,0.36842105,0.64705882,0.52808989,0.5,0.87878788,0.76595745,0.57303371,20.1875,0.16853933,0.50561798,0.02247191,0.30337079,84.34990234375,91.96357421875,90.5134506225586,79.242748119213,10.5504974365234,7.1040764702691,9.8230094909668,-5.53333875868056,0.0547307332356771,7.46164415147569,2.45146512985229,0.701716034500687,0.034844171255827,2.85684518888593,-0.134158242493868,0.535173784941435,0.232294475038846,6.34854486419095,-6.70791212469339,1.98212512941272,0.36842105,0.64705882,0.52808989,0.5,0.87878788,0.76595745,0.57303371,19,85.2358012952303,28.0382626182155,0,0,98.5154,4,0.21052632,"2024-08-05",0
