"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCU%","piFA%","piFC%","piSI%","piSL%","pivCU","pivFA","pivFC","pivSI","pivSL","piCU-X","piFA-X","piFC-X","piSI-X","piSL-X","piCU-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCU","piwFA","piwFC","piwSI","piwSL","piwCU/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"James McArthur",21527,"2024-09-16","DET",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,0.2,4,0,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1.50000156462356,0,1,4.66648134291335,-4.66648134291335,4.66648134291335,0,114.161576484329,114.245245356712,2,0,1,0,0,0,0,0,7,10,17,0.0094879949465394,-0.0564259923994541,0.0659139901399612,0.0789999812841415,0.007733722217381,1.17824006080627,1.0110000371933,1.0110000371933,1.89339995384216,1,1,-0.00308869197033346,0.0111413760218728,0,0,0.47058824,94.375,0.29411765,87.2,0.23529412,83.25,NA,0.229963794350624,0.108915656805038,-0.502279102802277,2.8745474293828,2.17831313610077,-12.5569775700569,0.16666667,1,0.41176471,0.5,0.6,0.57142857,0.29411765,0.5,0.17647059,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,3.27053778460041,20,64.62121,20,62.92292,45.64996,73.95188,20,64.68853,20,80,51.41626,80,25.68032,59.36281,33.99288,1.6363,6.53154,112.26,64.96,60.88,63.82,110,92.16,121.32,1.22,15.86,97.66,122.96,125.98,108.847058823529,58.4223529411765,63.3294117647059,0.07142857,0.35714286,0.28571429,0.28571429,94.3000030517578,94.3799987792969,87.2249984741211,83.2750015258789,-6.99089860916138,-10.6462188720703,0.975555896759033,7.33843946456909,7.5323920249939,3.34589462280273,-0.261305600404739,-6.42315244674683,0.039364367723465,0.326719950884581,0.173157874494791,-0.511276539415121,3.9364367723465,6.53439901769161,4.32894686236978,-12.781913485378,0.125,1,0.5,1,0.5,0.57142857,0.42857143,18.36363636,0.28571429,0.07142857,NA,0.35714286,0.28571429,83.1146240234375,94.1314010620117,NA,94.2403564453125,87.0494995117188,8.0280122756958,-6.62572002410889,NA,-10.0762916564941,1.59063005447388,-7.94261503219604,6.39374017715454,NA,2.32474174499512,-1.23448395729065,-0.511276539415121,0.039364367723465,NA,0.326719950884581,0.173157874494791,-12.781913485378,3.9364367723465,NA,6.53439901769161,4.32894686236978,0.22222222,1,0.5,1,0.4,0.57142857,0.35714286,2,96.3211059570312,-3.30022573471069,0,0,98.3823,1,0.5,"2024-09-16",0
"James McArthur",21527,"2024-09-14","@PIT",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,0.1,4,2,0,0,0,1,0,0,0,0,0,0,27.000028163224,54.0000563264481,0,0,0,1,0,2,0,0,0,0,0,0.25,-0.25,9.17835408401489,0,0.666666666666667,9.00000938774135,0.666666666666667,1,12.1664891660311,-12.1664891660311,12.1664891660311,0,300.606897503953,300.827211911999,1,0.666666666,0.333333333,0,0,0,0,0,6,9,15,-0.0993620008230209,-0.127315998077393,0.0279539991170168,-1.0789999961853,-0.107523664832115,1.06204998493195,0.630400002002716,0.630400002002716,3.06559991836548,1,1,-0.104668848216534,0.0111120455869589,0,1,0.4,94.16666667,0.26666667,87.25,0.33333333,82.4,NA,-0.421519964933395,-0.487758338451385,-0.00395622104406357,-7.02533274888992,-12.1939584612846,-0.0791244208812714,0.375,0.57142857,0.46666667,0.66666667,0.75,0.71428571,0.46666667,0.75,0.13333333,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,22.2818489446055,38.90762,50.20424,34.57579,NA,NA,NA,47.2961,48.86372,48.38651,35.348,42.19703,33.15411,39.95293,45.17001,36.24366,0.7496,5.20149,82.74,75.94,74.4,NA,NA,NA,101.04,40.76,46.76,94.98,106.64,96.96,93.324,70.0546666666667,69.36,NA,0.4,0.26666667,0.33333333,NA,94.0833333333333,87.4000015258789,82.3400024414063,NA,-9.91150093078613,0.119405157864094,6.46037979125977,NA,3.58077303568522,0.764908194541931,-6.88997039794922,NA,-0.430825646966696,-0.49545281380415,-0.00525936856865883,NA,-7.18042744944493,-12.3863203451037,-0.105187371373177,0.33333333,0.55555556,0.46666667,0.5,0.8,0.71428571,0.6,22.45454545,0.33333333,NA,NA,0.4,0.26666667,82.297216796875,NA,NA,94.0478006998698,87.319450378418,7.13816833496094,NA,NA,-9.11786842346191,1.21786248683929,-8.12973403930664,NA,NA,2.48820161819458,-0.282718420028687,-0.00525936856865883,NA,NA,-0.430825646966696,-0.49545281380415,-0.105187371373177,NA,NA,-7.18042744944493,-12.3863203451037,0.33333333,0.55555556,0.46666667,0.5,0.8,0.71428571,0.6,3,87.0171712239583,-4.40616607666016,0,0,101.804,1,0.33333333,"2024-09-14",0
"James McArthur",21527,"2024-09-09","@NYY",7,2024,"KCR","A",27,0,1,36,1,0,0,0,0,0,0,1,0,4,3,4,4,1,1,0,0,0,0,0,0,9,27,0,0,0,2,1,0,0,0,0,0,0,0.25,-0.25,NA,9,1,4,1,0,19.1664797782898,16.8335202217102,7.67848818451166,856.017133914834,474.622115570001,189.176655168198,2,0,0.666666666,0.333333333,0,1,0,0,9,9,18,-0.631067991256714,-0.631067991256714,0,-4,-0.415368646383286,2.81760001182556,0.701799988746643,1.40359997749329,0.155199989676476,1,1,-0.211544394493103,-0.0124291960123273,0,1,0.33333333,94.83333333,0.27777778,87.4,0.38888889,84.71428571,NA,-1.86674022674561,-0.509817004203796,-0.275680959224701,-31.1123371124268,-10.1963400840759,-3.93829941749573,0.18181818,1,0.5,0,1,0.77777778,0.38888889,0.5,0.11111111,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,29.1283578516614,64.33707,76.42614,41.69228,35.47425,50.03347,53.30967,80,62.42437,56.30763,20,58.85248,20,42.01535,67.08278,23.70731,0.62147,5.0093,116.76,100.1,110.92,69.28,102.92,80.58,117.04,159.96,169.76,108.34,48.18,47.16,106.554444444444,96.1244444444444,97.9588888888889,0.16666667,0.16666667,0.27777778,0.38888889,95.0333251953125,94.8000081380208,87.3799987792969,84.7285679408482,-7.75274467468262,-10.8398005167643,0.796106672286987,6.94453539167132,7.63352902730306,4.10074774424235,-0.134992933273315,-6.54668807983398,-1.45103264972568,-0.424069344997406,-0.518323637545109,-0.282657664269209,-48.3677549908559,-14.1356448332469,-10.3664727509022,-4.03796663241727,0.2,0.875,0.5,0,1,0.77777778,0.44444444,19.07142857,0.38888889,0.16666667,NA,0.16666667,0.27777778,84.6458304268973,94.935801188151,NA,94.7333374023438,87.2709228515625,8.06341443743024,-6.73614311218262,NA,-10.4773731231689,1.46250057220459,-8.27524839128767,6.28079986572266,NA,2.82424322764079,-1.47904500961304,-0.282657664269209,-1.45103264972568,NA,-0.424069344997406,-0.518323637545109,-4.03796663241727,-48.3677549908559,NA,-14.1356448332469,-10.3664727509022,0.18181818,1,0.5,0,1,0.77777778,0.38888889,3,101.569213867188,7.04545911153158,1,0.33333333,108.448,2,0.66666667,"2024-09-09",0
"James McArthur",21527,"2024-09-06","MIN",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.5648885419948,-22.5814263197472,1,0,1,0,0,0,0,0,5,9,14,0.0312900021672249,0,0.0312900021672249,0.533999979496002,0.0522760637104511,0.398933321237564,0.627199947834015,0.627199947834015,0.527199983596802,1,1,0.0792440548539162,-0.00080988928921083,0,0,0.35714286,95.4,0.35714286,87.6,0.28571429,84,NA,0.213648498058319,0.224252864718437,0.295491367578506,4.27296996116638,4.48505729436874,7.38728418946266,0.33333333,0.4,0.35714286,0.33333333,1,0.6,0.35714286,1,0.14285714,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.67334769321943,80,74.85594,80,80,60.8838,80,59.24944,62.87979,65.3523,66.60587,55.61297,70.73419,80,66.07103,80,-1.7592,1.43829,118.58,157.04,163.26,146.18,221.14,212.7,131.96,93.02,109.34,115.42,126.08,127.26,123.245714285714,132.27,138.528571428571,0.07142857,0.28571429,0.35714286,0.28571429,95.1999969482422,95.5500030517578,87.5399963378906,83.8499984741211,-6.14139175415039,-11.4474439620972,0.733597087860107,7.48685646057129,9.27493095397949,4.72344970703125,0.756583404541016,-7.70026302337646,0.196128189563751,0.0196034610271454,0.22695329412818,0.299137234687805,19.6128189563751,0.490086525678635,4.53906588256359,7.47843086719513,0.28571429,0.42857143,0.35714286,0.5,0.66666667,0.6,0.5,15.54545455,0.28571429,0.07142857,NA,0.28571429,0.35714286,83.7056503295898,95.0306015014648,NA,95.4066772460938,87.3578430175781,8.43856811523438,-5.62377977371216,NA,-10.6421270370483,1.63841686248779,-9.70102214813232,8.42413997650146,NA,3.29243516921997,-0.636645698547363,0.299137234687805,0.196128189563751,NA,0.0196034610271454,0.22695329412818,7.47843086719513,19.6128189563751,NA,0.490086525678635,4.53906588256359,0.28571429,0.42857143,0.35714286,0.5,0.66666667,0.6,0.5,1,91.2497711181641,-2.64270496368408,0,0,91.2498,0,0,"2024-09-06",0
"James McArthur",21527,"2024-09-03","CLE",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,1,27.000028163224,27.000028163224,27.000028163224,1,0,0,0,0,1,0,0,0,0,0.33333333,0.33333333,0,7.12050685733112,0,0.5,6.00000625849423,1,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,151.450640688254,151.56163866777,0,1,0,0,0,0,0,0,7,7,14,-0.0584300011396408,-0.0608640015125275,0.00243400014005601,-2.2039999961853,-0.215761125087738,0.461333334445953,0.429100006818771,0.858200013637543,0.00999999977648258,1,1,-0.0705476179718971,-0.0561070084704201,0,0,0.5,94.14285714,NA,NA,0.5,83.57142857,NA,-0.83669775724411,NA,0.325131297111511,-11.9528251034873,NA,4.64473281587873,0.3,0.5,0.35714286,0,0.5,0.2,0.28571429,0.33333333,0.28571429,0,1,0,0,1,0,1,0,1,0,0,1,0,12.7349159673053,51.58266,69.96453,50.784,20,49.67421,20,44.2668,34.47876,49.69257,NA,NA,NA,20,54.88796,20,2.32567,7.5656,103.18,118.84,113.36,65.98,-33.08,-46.24,106.84,92,79.02,NA,NA,NA,90.4171428571428,60.7485714285714,51.4542857142857,0.35714286,0.14285714,NA,0.5,94.1400024414063,94.0999984741211,NA,83.6857125418527,-6.88257751464844,-10.2637252807617,NA,8.59481593540737,7.64780120849609,3.87037372589111,NA,-6.36272539411272,-0.412180885672569,-0.440280258655548,NA,0.328475553542376,-8.24361771345139,-22.0140129327774,NA,4.69250790774822,0.33333333,0.4,0.35714286,0,0.5,0.2,0.35714286,17.45454545,0.5,0.35714286,NA,0.14285714,NA,83.5186418805804,93.9595581054687,NA,93.9332504272461,NA,9.49588230678013,-6.49495239257813,NA,-9.82382011413574,NA,-8.03962979997907,6.95099411010742,NA,2.64290499687195,NA,0.328475553542376,-0.412180885672569,NA,-0.440280258655548,NA,4.69250790774822,-8.24361771345139,NA,-22.0140129327774,NA,0.33333333,0.4,0.35714286,0,0.5,0.2,0.35714286,1,82.3591995239258,19.9079895019531,0,0,82.3592,0,0,"2024-09-03",0
"James McArthur",21527,"2024-08-30","@HOU",7,2024,"KCR","A",27,0,1,13.500014081612,1,0,0,0,0,0,0,0,0.2,4,2,1,1,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,2,2,0,0,0,0,0,0,0,0,6.03472908401489,0,0.5,3.00000312924711,0.5,0.5,3.1664797782898,10.3335343033222,7.70250972840334,321.006760054206,76.8725122804045,189.774252798055,1,0,0.5,0.5,0,0,0,0,1,10,11,-0.367446005344391,-0.492395967245102,0.124949976801872,-0.833999991416931,-0.0883942767977715,2.28430008888245,2.23480010032654,2.23480010032654,NA,0,1,-0.17646636068821,0.0156092092426841,0,1,0.18181818,94.5,0.27272727,87,0.54545455,83.66666667,NA,0.268201649188995,-0.708605289459229,-0.319764077663422,13.4100824594498,-23.6201763153076,-5.32940129439036,0.75,0.42857143,0.54545455,0.66666667,1,0.83333333,0.63636364,0.75,0.09090909,2,1,1,0,2,2,4,0.5,0.25,0.25,0,0.5,0.5,1.12912354672499,64.93629,55.60541,78.65146,80,20,80,80,55.19691,80,46.95061,20,76.44421,72.93211,34.749,80,-1.29928,2.12817,117.6,110.52,113.76,90.72,153.56,148.68,102.08,202.7,214.44,91.28,99.66,103.06,106.567272727273,119.850909090909,123.169090909091,0.09090909,0.09090909,0.27272727,0.54545455,94.4000015258789,94.6999969482422,87,83.6833343505859,-6.47789907455444,-9.99679279327393,0.530625224113464,7.78808275858561,9.21871757507324,4.8956618309021,0.555314103762309,-6.52395057678223,0.213400110602379,0.057969942688942,-0.715363219380379,-0.325245916843414,21.3400110602379,5.7969942688942,-23.8454406460126,-5.42076528072357,0.5,0.55555556,0.54545455,0,1,0.83333333,0.81818182,16.28571429,0.54545455,0.09090909,NA,0.09090909,0.27272727,83.886464436849,94.6206970214844,NA,94.921501159668,87.2086385091146,8.82850011189779,-5.53255987167358,NA,-9.47856998443604,1.44449710845947,-7.98966471354167,8.11382007598877,NA,3.76725006103516,-0.636999011039734,-0.325245916843414,0.213400110602379,NA,0.057969942688942,-0.715363219380379,-5.42076528072357,21.3400110602379,NA,5.7969942688942,-23.8454406460126,0.5,0.55555556,0.54545455,0,1,0.83333333,0.81818182,4,89.5038757324219,15.4935455322266,0,0,94.3441,0,0,"2024-08-30",0
"James McArthur",21527,"2024-08-27","@CLE",7,2024,"KCR","A",27,1,0,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,4,18,0,0,4,0,0,1,0,1,0,0,0,0,0.66666667,0,0.66666667,-0.19260424734144,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.5648885419948,-22.5814263197472,1,0.5,0.5,0,0,0,3,13.5,5,17,22,0.160152018070221,0,0.160152018070221,0.959999978542328,0.101265825331211,1.06973338127136,1.46679997444153,1.36000001430511,0.661199986934662,1,1,0.149875640869141,-0.000163552909538345,1,0,0.54545455,94.16666667,NA,NA,0.45454545,84.2,NA,0.505584597587585,NA,1.05187225341797,4.21320497989655,NA,10.5187225341797,0.61538462,0.44444444,0.54545455,0.5,1,0.66666667,0.40909091,1,0.18181818,2,0,0,1,1,0,2,1,0,0,0.5,0.5,0,-0.0817430373181334,80,68.98308,77.08927,51.32749,43.35338,55.48527,80,58.82556,80,NA,NA,NA,69.47156,52.37918,73.19853,-1.08428,2.45067,122.2,138.38,144.76,75.74,108.2,83.6,105.22,102.12,90.22,NA,NA,NA,99.5381818181818,121.365454545455,112.001818181818,0.45454545,0.09090909,NA,0.45454545,93.9799987792969,94.4000015258789,NA,84.0299987792969,-5.77651863098145,-10.381368637085,NA,7.59972305297852,7.41291198730469,3.41533803939819,NA,-5.23058853149414,0.307294901460409,0.203088968992233,NA,1.06485345214605,3.07294901460409,10.1544484496117,NA,10.6485345214605,0.61538462,0.44444444,0.54545455,0.5,1,0.66666667,0.40909091,19.125,0.45454545,0.45454545,NA,0.09090909,NA,84.431201171875,94.3926208496094,NA,94.8379974365234,NA,8.26878433227539,-5.3951530456543,NA,-9.85480499267578,NA,-6.68804473876953,6.58227615356445,NA,2.22109508514404,NA,1.06485345214605,0.307294901460409,NA,0.203088968992233,NA,10.6485345214605,3.07294901460409,NA,10.1544484496117,NA,0.61538462,0.44444444,0.54545455,0.5,1,0.66666667,0.40909091,2,83.2944946289062,-19.1210098266602,0,0,94.8936,0,0,"2024-08-27",0
"James McArthur",21527,"2024-08-26","@CLE",7,2024,"KCR","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,1,9,9,0,1,0,0,1,1,0,0,0,0,0,0.25,0.25,0,6.21610408401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,101.731862486004,139.421515985497,1,0,0.5,0.5,0,0,0,0,8,8,16,0.129076018929482,-0.0149919949471951,0.144068002700806,0.84799998998642,0.089451476931572,2.13649988174438,1.12479996681213,2.24959993362427,1.57360005378723,1,1,0.0560026578605175,0.00441205127772734,1,0,0.25,94.75,0.1875,87.33333333,0.5625,84.55555556,0.125,0.244771078228951,0.264787942171097,0.122163161635399,6.11927695572376,8.82626473903656,1.35736846261554,0.42857143,0,0.375,0.66666667,NA,0.66666667,0.125,0.25,0.125,2,0,0,0,2,0,2,1,0,0,0,1,0,3.03625353851797,60.9309,57.08124,60.44268,NA,NA,NA,56.18416,50.61137,39.86901,80,44.66315,80,65.65967,51.22336,64.45678,-0.84747,2.80589,96.42,125.6,132.88,NA,NA,NA,86.12,141.4,132.66,108.54,152.9,153.1,96.1175,134.66875,136.61625,NA,0.25,0.1875,0.5625,NA,94.7750015258789,87.2999979654948,84.3777804904514,NA,-10.0471324920654,1.07699155807495,7.11366695827908,NA,4.22438335418701,-0.0574607749780019,-6.39163038465712,NA,0.248627569526434,0.267933506518602,0.121740251779556,NA,6.21568923816085,8.93111688395341,1.35266946421729,0.2,0.66666667,0.375,1,0.5,0.66666667,0.375,23.76923077,0.5625,NA,NA,0.25,0.1875,84.9254218207465,NA,NA,95.3507766723633,87.8680623372396,7.64737362331814,NA,NA,-9.80322551727295,1.5044797261556,-7.81331125895182,NA,NA,3.10979747772217,-1.24801429112752,0.121740251779556,NA,NA,0.248627569526434,0.267933506518602,1.35266946421729,NA,NA,6.21568923816085,8.93111688395341,0.11111111,0.71428571,0.375,1,0.6,0.66666667,0.4375,2,83.4196624755859,9.21846580505371,0,0,86.7363,0,0,"2024-08-26",1
"James McArthur",21527,"2024-08-23","PHI",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1538118692049,27.173712862954,3,0,1,0,0,0,0,0,7,10,17,0.0186840258538723,-0.0173160061240196,0.0360000319778919,0.534000039100647,0.0522760674357414,0.45100000500679,0.381000012159348,0.381000012159348,0.294800013303757,1,1,0.0341947712004185,0.00723322358106938,0,0,0.47058824,95,0.11764706,87.5,0.41176471,85.14285714,NA,-0.472360014915466,0.367513120174408,0.553083777427673,-5.90450018644333,18.3756560087204,7.90119682039533,0.1,0.85714286,0.41176471,0,0.83333333,0.71428571,0.41176471,1,0.11764706,1,0,2,0,3,0,3,0.33333333,0,0.66666667,0,1,0,0.166533318967745,78.83873,76.50165,66.54582,27.46332,46.07536,20,80,49.37927,80,76.36034,45.06552,80,65.20279,58.24858,58.09787,-0.81908,2.84847,113.86,143.78,156.44,82.62,86.24,57.78,126.44,127.36,125.7,88.8,133.26,137.22,103.943529411765,122.721176470588,119.736470588235,0.29411765,0.17647059,0.11764706,0.41176471,94.6800048828125,95.5333353678385,87.8500061035156,85.1000017438616,-6.23289413452148,-10.0154813130697,1.17790639400482,6.56349890572684,7.97247924804688,4.64820289611816,0.718018651008606,-5.63594055175781,0.008824422955513,-0.489527266472578,0.372241586446762,0.560868792235851,0.17648845911026,-16.3175755490859,18.6120793223381,8.01241131765502,0.125,0.66666667,0.41176471,0,0.83333333,0.71428571,0.52941176,22.61538462,0.41176471,0.29411765,NA,0.17647059,0.11764706,85.1988612583705,94.7620178222656,NA,95.6404012044271,87.9417495727539,7.46016420636858,-5.93195991516113,NA,-9.53881963094076,1.63162994384766,-7.26374871390207,7.26529388427734,NA,3.61768341064453,-0.258804976940155,0.560868792235851,0.008824422955513,NA,-0.489527266472578,0.372241586446762,8.01241131765502,0.17648845911026,NA,-16.3175755490859,18.6120793223381,0.125,0.66666667,0.41176471,0,0.83333333,0.71428571,0.52941176,3,88.6629130045573,-8.94609451293945,0,0,100.611,1,0.33333333,"2024-08-23",0
"James McArthur",21527,"2024-08-20","LAA",7,2024,"KCR","H",27,0,0,0,1,0,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,1,9,0,27,1,0.5,0,2,0,2,0,1,0,0,0.2,0,0.2,2.00296908401489,0,0.6,3,0.75,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1538118692049,27.173712862954,2,0.5,0.5,0,0,0,0,0,3,11,14,-0.0812780112028122,-0.178116008639336,0.0968379899859428,-0.45799994468689,-0.0448360219597816,1.13908004760742,0.918799996376038,1.83759999275208,0.381000012159348,1,1,-0.036519680172205,-0.0348344018991406,0,1,0.71428571,95.4,0.21428571,87.33333333,0.07142857,85,NA,0.198055997490883,-0.518141627311707,-0.0207000374794006,1.98055997490883,-17.2713875770569,-2.07000374794006,0.66666667,0.6,0.64285714,0.66666667,0.66666667,0.66666667,0.35714286,0.8,0.21428571,2,1,1,3,1,0,4,0.5,0.25,0.25,0.75,0.25,0,6.21521327337407,80,76.59631,65.52301,80,28.81605,80,80,62.53262,79.77197,80,56.19773,80,80,57.78288,80,-3.16584,-0.67167,163.62,124.7,151.9,112.02,178.86,135.32,105.18,131.04,140.3,129.8,161.88,172.08,115.118571428571,140.611428571429,147.582857142857,0.07142857,0.64285714,0.21428571,0.07142857,95.5,95.2111138237847,87.0999959309896,84.6999969482422,-6.3763689994812,-10.0123943752713,2.032852490743,7.43390274047852,7.76021003723145,5.09071646796332,-0.630944848060608,-6.99832057952881,0.196128189563751,0.0052039735019207,-0.525983855128288,-0.0210469514131546,19.6128189563751,0.0578219277991189,-17.5327951709429,-2.10469514131546,0.57142857,0.71428571,0.64285714,0.5,0.8,0.66666667,0.5,20.88888889,0.07142857,0.07142857,NA,0.64285714,0.21428571,84.9663009643555,95.7723007202148,NA,95.5096096462674,87.3939310709635,8.44666957855225,-6.01881980895996,NA,-9.66598341200087,2.70960680643717,-8.7592601776123,6.91440010070801,NA,3.85950215657552,-1.98996671040853,-0.0210469514131546,0.196128189563751,NA,0.0052039735019207,-0.525983855128288,-2.10469514131546,19.6128189563751,NA,0.0578219277991189,-17.5327951709429,0.66666667,0.625,0.64285714,0.5,0.8,0.66666667,0.57142857,4,69.9323501586914,-7.21399164199829,0,0,80.9533,0,0,"2024-08-20",0
