"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSL%","pivCH","pivCU","pivFA","pivSL","piCH-X","piCU-X","piFA-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSL-Z","piwCH","piwCU","piwFA","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jared Jones",27863,"2024-09-27","@NYY",27,2024,"PIT","A",22,0,0,4.15384645857051,1,1,0,0,0,0,0,0,4.1,20,5,2,2,0,2,1,0,0,0,7,14.5384626049968,4.15384645857051,10.3846161464263,3.5,0,0,3,2,6,1,0,0,0,0.35,0.1,0.25,3.05281658401489,0,0.277777777777778,1.61538473388853,0.454545454545455,0.71428571,1.3203257967029,2.83352066186761,2.01817588153774,98.3972092720343,33.6469804115977,50.5601638116647,1.5,0.545454545,0.272727272,0.181818181,0.5,0,0,0,34,51,85,0.0881359651684761,-0.293256014585495,0.381391972303391,0.894999980926514,0.0929387360811234,1.17285716533661,1.00399994850159,0.870000004768372,3.23520016670227,1,1,0.0897885113954544,-0.0146421357128016,0,0,0.51764706,98.79545455,0.24705882,89.76190476,0.15294118,82.92307692,0.08235294,92.28571429,0.04705882,1.52886641025543,-0.0544645972549915,-0.745529174804688,-0.674570143222809,3.47469638694416,-0.259355225023769,-5.7348398061899,-9.63671633175441,0.29411765,0.73529412,0.47058824,0.6,0.84,0.75,0.4,0.55,0.11764706,4,3,4,2,7,2,11,0.36363636,0.27272727,0.36363636,0.18181818,0.63636364,0.18181818,4.57524505340835,53,42.30887,55.96654,35.68825,50.71427,55.97796,55.89293,61.75968,67.57048,42.17484,76.32059,78.03664,69.53529,63.36585,68.83565,49.94692,-0.70496,3.01965,100.46,71.02,74,103.96,98.5,101.4,111.92,101.92,118.9,115.26,118.6,146.5,110.584,102.973176470588,119.344705882353,0.51764706,0.24705882,0.15294118,0.08235294,98.7454501065341,89.6380964006696,83.0384615384615,92.0714285714286,-6.04440931840376,1.61497533889044,3.02328168428861,-8.32222856794085,10.2720149647106,1.15406399681455,-7.68788499098558,3.38431140354701,1.58621240034699,-0.0138088464736938,-0.754815701395273,-0.686138786375523,3.60502818260681,-0.0657564117794945,-5.80627462611749,-9.80198266250747,0.24444444,0.725,0.47058824,0.54545455,0.82758621,0.75,0.47058824,19,0.08235294,0.15294118,0.51764706,0.24705882,91.8688092912946,82.8261906550481,98.5612349076705,89.4322393508184,-8.05470112391881,3.24642768272987,-5.93175575949929,1.82411538986933,2.00036144256592,-9.10281313382662,9.54921236905185,0.0299583389645531,-0.686138786375523,-0.754815701395273,1.58621240034699,-0.0138088464736938,-9.80198266250747,-5.80627462611749,3.60502818260681,-0.0657564117794945,0.24444444,0.725,0.47058824,0.54545455,0.82758621,0.75,0.47058824,11,84.4024103338068,16.6206290505149,0,0,101.433,4,0.36363636,"2024-09-27",0
"Jared Jones",27863,"2024-09-21","@CIN",27,2024,"PIT","A",22,0,1,10.8,1,1,0,0,0,0,0,0,5,24,6,6,6,2,3,0,0,0,0,5,9,5.4,10.8,1.66666667,0,0,5,9,2,1,0,0,0,0.20833333,0.125,0.08333333,5.18251033684131,3.6,0.285714285714286,1.8,0.285714285714286,0.48387097,8.16647977828979,2.63352022171021,5.68809490948916,255.832725339511,198.848019561202,139.246412659859,0.555555555,0.125,0.3125,0.5625,0.111111111,0.222222222,0,0,37,53,90,-0.239749982953072,-0.518909990787506,0.279159992933273,-3.19500017166138,-0.302127659320831,0.696839988231659,0.665000021457672,0.870000004768372,0.0609999969601631,1,1,-0.242635980248451,-0.101417155337919,0,0,0.54444444,95.91836735,0.27777778,89.28,0.08888889,81.125,0.08888889,89.375,NA,0.436183422803879,-1.58556342124939,-1.49265742301941,0.542347371578217,0.890170250620161,-6.34225368499756,-18.6582177877426,6.77934214472771,0.26923077,0.68421053,0.44444444,0.57142857,0.80769231,0.725,0.42222222,0.625,0.12222222,7,5,4,2,10,4,16,0.4375,0.3125,0.25,0.125,0.625,0.25,7.0323748176375,27,46.41274,49.50636,47.91696,45.08614,40.22307,48.31167,33.18002,52.80052,24.99586,37.94465,54.32815,40.60935,31.83513,50.33687,29.19297,1.25393,5.95799,89.34,53.46,49.08,90.34,99.04,87.8,88.08,72.74,63.88,97.16,75.58,83.38,90.9151111111111,74.1528888888889,70.1073333333333,0.54444444,0.27777778,0.08888889,0.08888889,95.8959163743622,89.167998046875,80.9000015258789,89.3499984741211,-5.80582910654496,1.25881904602051,2.96600437164307,-7.41457891464233,9.62038250358737,2.67963928222656,-5.99091529846191,4.24992942810059,0.475149769335985,-1.61548578739166,-1.49615086615086,0.549993950873613,0.969693406808133,-6.46194314956665,-18.7018858268857,6.87492438592017,0.22222222,0.66666667,0.44444444,0.5,0.8,0.725,0.5,18.81538462,0.07777778,0.08888889,0.55555556,0.27777778,89.322274344308,81.2561492919922,96.203994140625,89.53267578125,-7.029175894601,3.34262251853943,-5.37649719238281,1.80401016235352,2.51937048775809,-7.30929088592529,8.55538757324219,1.5762971496582,0.495219990611076,-1.49615086615086,0.529923729598522,-1.61548578739166,7.07457129444395,-18.7018858268857,1.05984745919704,-6.46194314956665,0.22916667,0.69047619,0.44444444,0.54545455,0.79310345,0.725,0.46666667,16,90.3894653320312,19.9347457885742,3,0.1875,107.217,8,0.5,"2024-09-21",0
"Jared Jones",27863,"2024-09-15","KCR",27,2024,"PIT","H",22,0,0,4.5,1,1,0,0,0,0,0,0,4,20,6,2,2,0,3,0,0,0,0,5,11.25,6.75,13.5,1.66666667,0,0,4,4,4,0,0,0,0,0.25,0.15,0.1,4.80832408401489,0,0.352941176470588,2.25,0.5,0.77777778,2.9164797782898,1.5835202217102,4.42848818451166,106.596968891463,72.1629555284489,108.807104704727,1,0.333333333,0.333333333,0.333333333,0,0,2,4.5,36,61,97,-0.0166199784725904,-0.533891975879669,0.517271995544434,0.0841000527143478,0.00838066730648279,1.32373332977295,0.976549983024597,0.870000004768372,1.19000005722046,1,1,-0.0733198300004005,0.0607644473574016,0,0,0.49484536,98.33333333,0.30927835,90.13333333,0.17525773,83.47058824,0.02061856,92,NA,-1.65164363384247,-0.287453681230545,-0.689783871173859,0.357425481081009,-3.44092423717181,-0.95817893743515,-4.05755218337564,17.8712740540504,0.33333333,0.725,0.49484536,0.68421053,0.96551724,0.85416667,0.41237113,0.6,0.07216495,4,6,2,0,6,6,12,0.33333333,0.5,0.16666667,0,0.5,0.5,4.63822216658279,45,80,65.30926,80,30.08022,58.71151,31.42196,75.5075,64.72818,67.03707,54.13382,75.71349,54.27749,66.40286,68.61599,61.72397,-0.89364,2.73663,87.92,165.96,160.68,92.92,88.98,80.54,113.84,106.9,120,96.92,112.82,122.68,104.498969072165,106.260206185567,114.360206185567,0.49484536,0.30927835,0.17525773,0.02061856,98.3020833333333,90.0466634114583,83.4470573874081,91.9000015258789,-5.58022880554199,1.39038225809733,2.5542620490579,-5.29753398895264,10.5538768768311,2.82464752197266,-6.20741586124196,4.8875732421875,-1.66174047067761,-0.29889751970768,-0.702621798962355,0.362815961241722,-3.4619593139117,-0.996325065692266,-4.13306940566091,18.1407980620861,0.28571429,0.70833333,0.49484536,0.57142857,0.97058824,0.85416667,0.49484536,19.74025974,0.01030928,0.17525773,0.49484536,0.31958763,92.9091033935547,83.3607967601103,98.245361328125,89.9812799269153,-7.07183980941772,3.08692999447093,-5.13226731618245,1.89998946651336,2.85286998748779,-7.36199188232422,9.64777183532715,1.74349163424584,0.0501701384782791,-0.702621798962355,-1.66174047067761,0.0137483030557632,5.01701384782791,-4.13306940566091,-3.4619593139117,0.0443493646960105,0.29166667,0.69387755,0.49484536,0.57142857,0.97058824,0.85416667,0.50515464,12,95.1860656738281,15.9465649922689,1,0.08333333,106.078,8,0.66666667,"2024-09-15",0
"Jared Jones",27863,"2024-09-08","WSN",27,2024,"PIT","H",22,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,25,4,2,2,1,0,0,0,0,0,9,11.5714285714286,0,5.14285714285714,9,0,0,3,10,3,1,0,0,0,0.36,0,0.36,2.51011468401489,1.28571428571429,0.16,0.571428571428571,0.2,0.76923077,2.45219406400408,0.119234507424491,2.7550632157496,60.9125536522645,60.9595144915388,68.367579451425,0.3,0.1875,0.1875,0.625,0.1,0.1,7,9,24,68,92,0.105936042964458,-0.293055981397629,0.398992031812668,1.64709997177124,0.164135530591011,0.74509596824646,0.750314295291901,0.870000004768372,0.285199999809265,1,1,0.281866520643234,-0.139688804645424,0,0,0.40217391,98.35135135,0.27173913,89.92,0.31521739,83.93103448,0.01086957,92,NA,1.27770853042603,0.251182705163956,1.36556243896484,-0.725836455821991,3.45326629844872,1.00473082065582,4.7088359964305,-72.5836455821991,0.43478261,0.58695652,0.51086957,0.5,0.85185185,0.70212766,0.5,0.68,0.15217391,4,4,8,2,10,4,16,0.25,0.25,0.5,0.125,0.625,0.25,2.30312852223166,71,80,36.38382,80,54.76715,60.16497,55.35964,80,68.60929,75.44187,70.93627,68.32889,69.47199,75.49736,66.55173,71.54188,-1.45865,1.88912,48.52,202.38,180.48,84.14,120.88,108.66,110.82,130.78,142.6,107.36,126.1,133.38,100.792608695652,127.165869565217,129.807826086957,0.40217391,0.27173913,0.31521739,0.01086957,98.2054080447635,89.9,83.8413759428879,92.1999969482422,-5.04619660248628,2.21804626464844,3.35455427498653,-5.68248510360718,10.4583954682221,1.65385925292969,-5.71155100855334,6.03246116638184,1.31433556973934,0.269833091646433,1.40961455926299,-0.732332646846771,3.55225829659282,1.07933236658573,4.86073985952755,-73.2332646846771,0.46341463,0.54901961,0.51086957,0.47368421,0.85714286,0.70212766,0.55434783,17.98507463,0.01086957,0.31521739,0.40217391,0.27173913,92.0262985229492,83.6618483970905,98.0484322212838,89.722138671875,-5.71973991394043,3.57252686599205,-4.94793453732052,2.50531494140625,5.11769008636475,-7.32215565648572,9.53646438186233,0.383285598754883,-0.732332646846771,1.40961455926299,1.31433556973934,0.269833091646433,-73.2332646846771,4.86073985952755,3.55225829659282,1.07933236658573,0.46341463,0.54901961,0.51086957,0.47368421,0.85714286,0.70212766,0.55434783,16,87.9461364746094,23.0203189849854,1,0.0625,105.371,5,0.3125,"2024-09-08",0
"Jared Jones",27863,"2024-09-02","@CHC",27,2024,"PIT","A",22,0,0,4.26315810871918,1,1,1,0,0,0,0,0,6.1,25,6,3,3,1,1,0,1,0,0,4,5.68421081162557,1.42105270290639,8.52631621743836,4,0,0,11,5,3,2,0,0,0,0.16,0.04,0.12,3.92019308401489,1.42105270290639,0.260869565217391,1.10526321337164,0.277777777777778,0.75757576,4.90332197073094,-0.640163862011764,4.04438119568769,100.986607176561,120.106427980331,99.5248813816172,2.2,0.157894736,0.578947368,0.263157894,0.4,0.2,0,0,27,60,87,-0.0856319963932037,-0.406671971082687,0.321039974689484,-0.365000069141388,-0.0391211211681366,0.744912028312683,0.697371423244476,0.870000004768372,0.273200005292892,1,1,0.0100892493501306,-0.125045100696995,0,0,0.40229885,97.05714286,0.48275862,89.33333333,0.04597701,81.75,0.06896552,91.16666667,NA,0.150714963674545,1.59663796424866,-1.52201545238495,-0.370518296957016,0.430614181927272,3.8015189624968,-38.0503863096237,-6.1753049492836,0.36585366,0.58695652,0.48275862,0.53333333,0.88888889,0.76190476,0.52873563,0.68,0.11494253,10,8,1,2,11,6,19,0.52631579,0.42105263,0.05263158,0.10526316,0.57894737,0.31578947,4.66123224085537,53,55.82916,54.16905,53.98211,20,39.73461,20,47.42301,58.10578,39.40475,66.95994,51.96087,71.30933,55.1962,56.09027,55.06651,-0.19741,3.78098,101.76,103.1,107.96,102.56,28.66,28.94,95.54,91.48,87.46,98.08,122.44,129.16,97.5179310344828,104.339310344828,106.314252873563,0.40229885,0.48275862,0.04597701,0.06896552,96.91142578125,89.3071405319941,81.4250030517578,91.0999959309896,-5.74979989188058,1.29700451805478,4.66617393493652,-8.2698491414388,9.90032435825893,3.01495906284877,-5.04391002655029,3.66586907704671,0.145353004336357,1.6125762462616,-1.52521214261651,-0.37723295763135,0.415294298103878,3.8394672530038,-38.1303035654128,-6.28721596052249,0.29411765,0.60377358,0.48275862,0.5,0.84375,0.76190476,0.6091954,18.17741935,0.06896552,0.04597701,0.40229885,0.48275862,91.5042826334635,81.8402252197266,97.3375837053571,89.7044503348214,-8.31368319193522,4.49116992950439,-5.57419869559152,1.41769118536086,2.31100861231486,-6.11209487915039,8.92271728515625,1.89311726888021,-0.37723295763135,-1.52521214261651,0.145353004336357,1.6125762462616,-6.28721596052249,-38.1303035654128,0.415294298103878,3.8394672530038,0.3030303,0.59259259,0.48275862,0.5,0.84375,0.76190476,0.62068966,19,91.007035104852,11.1231906288549,0,0,102.313,9,0.47368421,"2024-09-02",0
"Jared Jones",27863,"2024-08-27","CHC",27,2024,"PIT","H",22,0,1,11.25,1,1,0,0,0,0,0,0,4,19,5,5,5,2,3,0,0,0,0,4,9,6.75,11.25,1.33333333,0,0,4,5,3,0,0,0,0,0.21052632,0.15789474,0.05263158,5.44118614360935,4.5,0.3125,2,0.3,0.57692308,9.91647977828979,1.33352022171021,5.30649028606713,266.492422228657,241.076374238786,130.024660807388,0.8,0.25,0.333333333,0.416666666,0,0.4,2,4.5,35,48,83,-0.358251988887787,-0.632157981395721,0.273906022310257,-2.91589999198914,-0.290573000907898,0.840852618217468,0.951900005340576,0.870000004768372,0.488999992609024,1,1,-0.173925518989563,-0.252132485857052,0,0,0.51807229,97.25581395,0.30120482,88.32,0.08433735,80.71428571,0.09638554,89.875,NA,-2.83633947372437,-0.464388728141785,0.0933441966772079,0.169270396232605,-6.5961383109869,-1.85755491256714,1.33348852396011,2.11587995290756,0.13333333,0.78947368,0.43373494,0.83333333,0.83333333,0.83333333,0.45783133,0.57894737,0.07228916,6,1,5,1,5,6,12,0.5,0.08333333,0.41666667,0.08333333,0.41666667,0.5,11.4656245419826,25,29.58043,47.6023,25.18453,25.93527,45.48778,34.97147,76.60755,59.50464,75.86869,58.43657,60.28126,52.92218,64.63107,57.59288,62.23914,-0.78356,2.90175,90.04,69.58,63.12,98.42,73.46,64.68,108.9,116.4,126.18,96.28,85.96,96.04,102.397108433735,99.0971084337349,105.83686746988,0.51807229,0.30120482,0.08433735,0.09638554,97.2325581395349,88.3,80.7714320591518,89.8874969482422,-5.86627658577852,1.4994384765625,3.38939666748047,-7.00085353851318,10.4680452568586,1.72444427490234,-4.52456256321498,5.05344200134277,-2.83740158006549,-0.523331396281719,0.0930663198232651,0.170198000967503,-6.59860832573369,-2.09332558512688,1.32951885461807,2.12747501209378,0.15789474,0.66666667,0.43373494,0.66666667,0.8,0.77777778,0.54216867,19.25,0.09638554,0.08433735,0.51807229,0.30120482,89.8333740234375,80.7220720563616,97.1955168968023,88.237705078125,-6.4993462562561,4.11875016348703,-5.49461826058321,2.16982116699219,3.90246248245239,-5.72633143833705,9.57117976698765,0.557806129455566,0.170198000967503,0.0930663198232651,-2.83740158006549,-0.523331396281719,2.12747501209378,1.32951885461807,-6.59860832573369,-2.09332558512688,0.11111111,0.68085106,0.43373494,0.75,0.78125,0.77777778,0.56626506,12,93.5913492838542,15.3478215535482,3,0.25,108.045,6,0.5,"2024-08-27",0
"Jared Jones",27863,"2024-07-03","STL",27,2024,"PIT","H",22,0,0,1.8,1,1,0,0,0,0,0,0,5,20,4,1,1,0,2,0,0,0,0,5,9,3.6,7.2,2.5,0,0,4,8,1,1,0,0,0,0.25,0.1,0.15,4.41820408401489,0,0.222222222222222,1.2,0.307692307692308,0.83333333,2.3664797782898,-0.566479778289795,4.78569322824478,42.6387875565851,58.8911869154939,117.439223058583,0.5,0.076923076,0.307692307,0.615384615,0.125,0,2,3.6,26,52,78,0.13469198346138,-0.341124027967453,0.475816011428833,1.60510003566742,0.15995018184185,1.11599004268646,1.01200008392334,0.870000004768372,1.44620001316071,1,1,0.103915922343731,0.016776895969543,0,0,0.53846154,97.26190476,0.3974359,88.83870968,0.06410256,79.4,NA,NA,NA,1.69911468029022,-0.514822959899902,0.121255055069923,NA,4.04551114354815,-1.66071922548356,2.42510110139847,NA,0.31111111,0.66666667,0.46153846,0.57142857,0.81818182,0.72222222,0.42307692,0.5,0.12820513,3,8,2,2,7,4,13,0.23076923,0.61538462,0.15384615,0.15384615,0.53846154,0.30769231,1.33787344472474,60,NA,NA,NA,80,50.18244,80,45.21686,62.3923,31.20184,63.73351,58.34719,61.49902,56.12841,60.91237,48.42943,-0.25532,3.69411,NA,NA,NA,83.84,132.08,127.42,101.02,73.1,71.58,109.42,109.42,118.3,103.257179487179,91.315641025641,93.7276923076923,0.53846154,0.3974359,0.06410256,NA,97.1857154482887,88.7387065272177,79,NA,-4.73069835844494,2.30941181798135,3.98050994873047,NA,9.23142569405692,1.94858858662267,-6.44717788696289,NA,1.80017914623022,-0.555131502449512,0.122408766299486,NA,4.28614082435767,-1.7907467820952,2.44817532598972,NA,0.2972973,0.6097561,0.46153846,0.54545455,0.8,0.72222222,0.52564103,18.63793103,NA,0.06410256,0.53846154,0.3974359,NA,78.7748413085938,96.9785505022321,88.5059381300403,NA,4.05128593444824,-4.71189553397042,2.59545775382749,NA,-7.34212036132813,8.79681396484375,1.28103133170835,NA,0.122408766299486,1.80017914623022,-0.555131502449512,NA,2.44817532598972,4.28614082435767,-1.7907467820952,0.30555556,0.5952381,0.46153846,0.54545455,0.8,0.72222222,0.53846154,13,90.2742638221154,24.6273334209736,1,0.07692308,102.539,5,0.38461538,"2024-07-03",0
"Jared Jones",27863,"2024-06-22","TBR",27,2024,"PIT","H",22,1,0,2.57142857142857,1,1,1,0,0,0,0,0,7,28,3,2,2,0,3,0,2,1,0,8,10.2857142857143,3.85714285714286,3.85714285714286,2.66666667,0,0,8,6,1,1,0,0,0,0.28571429,0.10714286,0.17857143,3.75850970221228,0,0.130434782608696,0.857142857142857,0.2,0.75,3.02362263543265,-0.452194064004081,4.31962984076568,60.9125536522645,74.7483649985051,106.176464058672,1.333333333,0.066666666,0.533333333,0.4,0.166666666,0,4,5.14285714285714,35,59,94,0.230345979332924,-0.322493970394135,0.552839934825897,1.64709997177124,0.164135530591011,1.03884518146515,1.05774283409119,0.870000004768372,1.4728000164032,1,1,0.188373655080795,0.0333590760736703,0,0,0.53191489,97.38,0.32978723,89.22580645,0.09574468,81.11111111,0.04255319,91.5,NA,1.16980636119843,0.444909811019897,0.127973198890686,0.0958726927638054,2.33961272239685,1.43519293877386,1.42192443211873,2.39681731909513,0.25490196,0.6744186,0.44680851,0.46153846,0.86206897,0.73809524,0.45744681,0.71428571,0.11702128,4,8,3,5,5,5,15,0.26666667,0.53333333,0.2,0.33333333,0.33333333,0.33333333,2.1040333204029,72,20,38.74153,20,55.51659,49.90231,59.82209,50.30091,57.61535,44.55727,32.70514,55.03164,27.62229,40.99611,54.74094,35.44912,0.68479,5.10428,80.88,66.74,53.96,94.02,98.16,95.6,89.32,88.46,83.42,105.52,75.74,84.64,94.7534042553191,84.2695744680851,83.7348936170213,0.53191489,0.32978723,0.09574468,0.04255319,97.312001953125,89.2387065272177,80.8333333333333,91.5250015258789,-5.04157684326172,1.7117067152454,4.6888804965549,-6.46360349655151,9.05606018066406,1.96480141916583,-5.62811660766602,4.30292224884033,1.1923749409616,0.430471245199442,0.127717826515436,0.0963201299309731,2.3847498819232,1.3886169199982,1.41908696128262,2.40800324827433,0.25531915,0.63829787,0.44680851,0.41666667,0.86666667,0.73809524,0.5,17.10606061,0.04255319,0.09574468,0.53191489,0.32978723,91.2045974731445,80.4949137369792,97.0137890625,88.909660093246,-6.31211519241333,4.94842105441623,-4.91445709228516,2.14126956078314,3.45161533355713,-6.56479348076714,8.49900756835937,1.16089593210528,0.0963201299309731,0.127717826515436,1.1923749409616,0.430471245199442,2.40800324827433,1.41908696128262,2.3847498819232,1.3886169199982,0.25,0.62,0.44680851,0.36363636,0.80645161,0.69047619,0.53191489,15,88.7678484235491,18.5489676339286,0,0,109.857,6,0.4,"2024-06-22",0
"Jared Jones",27863,"2024-06-15","@COL",27,2024,"PIT","A",22,0,1,11.5714301479108,1,1,0,0,0,0,0,0,4.2,23,6,6,6,1,4,0,0,0,0,6,11.5714301479108,7.71428676527388,11.5714301479108,1.5,0,0,2,8,3,0,0,0,0,0.26086957,0.17391304,0.08695652,5.4384700997272,1.92857169131847,0.315789473684211,2.1428574347983,0.416666666666667,0.46511628,5.95219444352758,5.61923570438323,5.75849454208984,274.106528779241,145.416233004795,140.947670722528,0.25,0.23076923,0.153846153,0.615384615,0,0.125,1,1.92857169131847,31,54,85,-0.258504033088684,-0.587243974208832,0.32873997092247,-3.13399982452393,-0.272758930921555,0.857800006866455,0.859920024871826,0.870000004768372,0.186400011181831,1,1,-0.267922133207321,-0.0334348626185471,0,0,0.56470588,96.875,0.29411765,88.24,0.07058824,81.5,0.07058824,89.83333333,NA,-0.467245876789093,-0.747371017932892,0.267145574092865,-1.61207485198975,-0.973428909977277,-2.98948407173157,4.45242623488108,-26.8679141998291,0.23255814,0.78571429,0.50588235,0.8,0.75757576,0.76744186,0.49411765,0.7826087,0.11764706,4,5,4,2,3,8,13,0.30769231,0.38461538,0.30769231,0.15384615,0.23076923,0.61538462,6.2600230748571,30,42.22086,39.56207,42.0229,80,47.58924,80,49.00829,48.58963,48.63921,78.00173,57.15583,80,60.64145,48.66436,64.55767,-0.5357,3.27354,93.78,82.06,78.84,97.82,130.24,128.74,88.96,101.12,82.02,101.78,127.2,134.52,93.6496470588235,109.536470588235,100.466588235294,0.56470588,0.28235294,0.08235294,0.07058824,96.8104146321615,88.3916625976562,81.8999982561384,89.8499959309896,-4.89927577972412,1.39785448710124,1.18292304447719,-5.74673589070638,7.9034538269043,1.3064493338267,-3.02427073887416,3.26249758402506,-0.463012862950563,-0.733945176005363,0.249154422432184,-1.62946239486337,-0.964610131147007,-3.05810490002235,3.55934889188835,-27.1577065810561,0.19354839,0.68518519,0.50588235,0.83333333,0.75675676,0.76744186,0.63529412,19.80645161,0.07058824,0.07058824,0.56470588,0.29411765,90.055430094401,81.7505187988281,97.0433044433594,88.423212890625,-5.41664187113444,1.42749452590942,-4.7437858581543,1.82707092285156,2.97012170155843,-3.36633650461833,7.94662094116211,1.01867797851563,-1.62946239486337,0.270201373845339,-0.36696458235383,-0.85104039311409,-27.1577065810561,4.50335623075565,-0.76450954657048,-3.40416157245636,0.19354839,0.68518519,0.50588235,0.83333333,0.75675676,0.76744186,0.63529412,13,93.7101581280048,20.4439838115986,4,0.30769231,109.069,8,0.61538462,"2024-06-15",0
"Jared Jones",27863,"2024-06-09","MIN",27,2024,"PIT","H",22,0,0,3.6,1,1,0,0,0,0,0,0,5,24,6,3,2,0,3,0,0,1,0,3,5.4,5.4,10.8,1,0.142857142,0,7,4,7,0,1,0,0,0.125,0.125,0,5.80515095901489,0,0.285714285714286,1.8,0.333333333333333,0.66666667,3.7664797782898,-0.166479778289795,4.97608650326729,85.2775751131703,92.6738706575613,122.040214317263,1.75,0.388888888,0.388888888,0.222222222,0,0,4,7.2,32,52,84,-0.0782219991087914,-0.409523963928223,0.331301957368851,-0.394899964332581,-0.039352260529995,1.01581537723541,0.706640005111694,0.870000004768372,1.44620001316071,1,1,-0.0447217784821987,-0.0322823709545582,0,0,0.45238095,97.23684211,0.28571429,89.58333333,0.05952381,80.8,0.20238095,90.17647059,NA,0.0259581953287125,-0.871782124042511,-0.0147894620895386,0.624829947948456,0.068311040338717,-3.6324255168438,-0.295789241790771,3.67547028204974,0.28888889,0.74358974,0.5,0.30769231,0.82758621,0.66666667,0.46428571,0.58333333,0.16666667,10,5,3,3,10,5,18,0.55555556,0.27777778,0.16666667,0.16666667,0.55555556,0.27777778,6.97511315814586,46,57.29926,47.58031,54.86268,32.58142,46.87085,30.1409,52.57692,56.10933,50.38878,70.73254,57.99547,70.0993,57.76902,55.26485,56.74035,-0.35725,3.54122,95.58,105,102.88,91.36,84.96,87.06,89.68,99.86,92.66,111.06,119.98,134.08,97.082619047619,105.761904761905,106.229285714286,0.45238095,0.28571429,0.05952381,0.20238095,97.1710526315789,89.4625040690104,80.8,90.0529426125919,-6.44816709819593,1.1332049369812,2.09133491516113,-7.70379189883961,8.48012101022821,2.35625425974528,-3.66173210144043,3.16250587912167,0.0587133690714836,-0.882969487458467,-0.015611607581377,0.627632468938828,0.154508865977588,-3.67903953107695,-0.312232151627541,3.69195569964016,0.225,0.75,0.5,0.11111111,0.81818182,0.66666667,0.52380952,18.22033898,0.20238095,0.05952381,0.45238095,0.28571429,89.3067698759191,80.0595825195312,96.4421193976151,88.713389078776,-7.52482829374426,2.53279800415039,-6.31676322535465,1.72539933522542,2.2105515423943,-4.47893600463867,7.95140477230674,1.55541229248047,0.627632468938828,-0.015611607581377,0.0587133690714836,-0.882969487458467,3.69195569964016,-0.312232151627541,0.154508865977588,-3.67903953107695,0.2195122,0.76744186,0.5,0.11111111,0.81818182,0.66666667,0.51190476,18,92.7205200195312,10.0164099799262,0,0,109.451,9,0.5,"2024-06-09",0
