"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSL%","pfxCH%","pfxvFA","pfxvSL","pfxvCH","pfxFA-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSL","pfxwCH","pfxwFA/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSL%","pivCH","pivFA","pivSL","piCH-X","piFA-X","piSL-X","piCH-Z","piFA-Z","piSL-Z","piwCH","piwFA","piwSL","piwCH/C","piwFA/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Joe Jimenez",15761,"2024-09-30","NYM",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,79.9790523120279,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,4,7,11,0.0431960113346577,0,0.0431960113346577,0.507000029087067,0.0515243895351887,0.56306666135788,0.888400018215179,0.888400018215179,0.758400022983551,1,1,0.0771892890334129,-0.000473663159760454,0,0,0.36363636,94.5,0.63636364,84.42857143,NA,NA,NA,0.283087015151978,0.390906721353531,NA,7.07717537879944,5.58438173362187,NA,0.5,0.4,0.45454545,0.66666667,0.5,0.6,0.45454545,0.66666667,0.18181818,1,0,2,0,3,0,3,0.33333333,0,0.66666667,0,1,0,1.18350823831122,NA,NA,NA,79.70543,35.73178,20,77.6816,40.24021,20,80,39.21529,20,-2.13315,0.87737,NA,NA,NA,102.66,85.64,91.94,100.52,135.44,130.64,101.298181818182,117.330909090909,116.567272727273,0.36363636,0.63636364,NA,94.3499984741211,84.4571446010045,NA,-4.60630750656128,3.55634089878627,NA,9.42626476287842,1.22386060442243,NA,0.286711402237415,0.395532485097647,NA,7.16778505593538,5.65046407282352,NA,0.4,0.5,0.45454545,0.5,0.66666667,0.6,0.54545455,15.625,NA,0.36363636,0.63636364,NA,94.2781219482422,84.3932582310268,NA,-4.02712726593018,4.32967867170061,NA,8.92207527160645,0.208056586129325,NA,0.286711402237415,0.395532485097647,NA,7.16778505593538,5.65046407282352,0.4,0.5,0.45454545,0.5,0.66666667,0.6,0.54545455,3,77.0666656494141,9,0,0,80.6,0,0,"2024-09-30",2
"Joe Jimenez",15761,"2024-09-30","NYM",16,2024,"ATL","H",29,0,0,27,1,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,0,0,0,0,NA,0,1,3,1,0,3.1664797782898,23.8335202217102,3.1664797782898,648.641504474568,79.9790523120279,78.3097583844777,3,0,1,0,0,0,0,0,2,6,8,-0.343228042125702,-0.343228042125702,0,-2.37199997901917,-0.241056904196739,2.56066656112671,0.773000001907349,1.5460000038147,4.26480007171631,1,1,-0.149755969643593,0.0157174160356293,0,1,0.5,95,0.5,85,NA,NA,NA,-0.498360633850098,-1.18766844272614,NA,-12.4590158462524,-29.6917110681534,NA,0.33333333,0.8,0.625,1,0.75,0.8,0.625,0.33333333,0.125,2,1,0,0,1,2,3,0.66666667,0.33333333,0,0,0.33333333,0.66666667,1.38632013190355,NA,NA,NA,80,20,20,72.51327,37.62249,20,80,20,20,-2.12838,0.88452,NA,NA,NA,93.46,63.68,67.36,95.4,112.52,118.02,94.43,88.1,92.69,0.5,0.5,NA,94.8999938964844,85.1750030517578,NA,-5.01936769485474,1.9324346780777,NA,9.42509174346924,1.22083127498627,NA,-0.506258584558964,-1.20169453322887,NA,-12.6564646139741,-30.0423633307219,NA,0.33333333,0.8,0.625,1,0.75,0.8,0.625,17.8,NA,0.5,0.5,NA,94.8149261474609,85.110725402832,NA,-4.7507152557373,2.60355377197266,NA,9.05798244476318,0.44650399684906,NA,-0.506258584558964,-1.20169453322887,NA,-12.6564646139741,-30.0423633307219,0.33333333,0.8,0.625,1,0.75,0.8,0.625,3,95.8666687011719,1.33333333333333,0,0,101.3,2,0.66666667,"2024-09-30",1
"Joe Jimenez",15761,"2024-09-28","KCR",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,0,0,1.1,6,0,0,0,0,2,0,0,0,0,1,6.75000160932579,13.5000032186516,0,0.5,0,0,2,1,0,0,0,0,0,0.16666667,0.33333333,-0.16666667,9.04497908516723,0,0,1.50000035762795,0,1,6.1664804935457,-6.1664804935457,7.30048706858034,0,154.021630362233,178.211035904383,2,0,0.666666666,0.333333333,0,0,0,0,12,13,25,0.169564038515091,-0.0652080103754997,0.23477204144001,0.832000017166138,0.0845528393983841,1.95660006999969,1.96293342113495,2.18400001525879,2.32719993591309,1,1,0.0567807629704475,0.0298818315551253,1,0,0.32,94,0.68,83.58823529,NA,NA,NA,-0.438248962163925,0.750702977180481,NA,-5.47811202704906,4.41589986576753,NA,0.2,0.6,0.36,0.33333333,1,0.77777778,0.4,0.5,0.08,3,0,0,0,2,1,3,1,0,0,0,0.66666667,0.33333333,5.07072776284185,NA,NA,NA,20,54.98995,20,52.14895,34.76096,57.74469,32.5354,43.25025,30.27898,1.21042,5.89272,NA,NA,NA,88.66,-15.2,-16.3,92.86,104.4,101.06,91.516,66.128,63.5048,0.32,0.68,NA,93.8625030517578,83.5882352941177,NA,-5.79526615142822,2.46194974113913,NA,9.23477363586426,0.316671876346364,NA,-0.451429903507233,0.758902706205845,NA,-5.64287379384041,4.46413356591673,NA,0.23076923,0.5,0.36,0.33333333,1,0.77777778,0.48,19.68421053,NA,0.32,0.68,NA,93.7663650512695,83.4862132352941,NA,-4.98044490814209,3.44953357472139,NA,8.31822490692139,-0.885685303631951,NA,-0.451429903507233,0.758902706205845,NA,-5.64287379384041,4.46413356591673,0.25,0.46153846,0.36,0.33333333,1,0.77777778,0.52,3,90.5926411946615,2.71766153971354,0,0,92.2272,0,0,"2024-09-28",0
"Joe Jimenez",15761,"2024-09-24","NYM",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.324604084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.7443615507439,-18.3531359984531,1,0.5,0.5,0,0,0,0,0,6,13,19,0.0234800018370152,-0.0237399693578482,0.0472199730575085,0.506999969482422,0.0515243895351887,0.616900026798248,0.497200012207031,0.497200012207031,0.346000015735626,1,1,0.0269314665347338,0.0111298089021922,0,0,0.73684211,94.5,0.21052632,84.25,0.05263158,90,NA,0.0518359839916229,0.266312569379807,-0.0373910665512085,0.370257028511592,6.65781423449516,-3.73910665512085,0.33333333,0.7,0.52631579,0,0.85714286,0.6,0.52631579,0.75,0.21052632,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,1.69986516864731,35.13034,42.42333,68.89209,54.70752,43.77328,62.07904,53.98332,41.68405,68.76663,53.78707,38.51429,69.36323,-0.10987,3.91229,102.8,96.22,78.14,94.28,100.22,89.3,114.24,88.08,87.3,98.9305263157895,97.4536842105263,88.2915789473684,0.73684211,0.21052632,0.05263158,94.5,84.1000061035156,89.5999984741211,-5.30947766985212,3.67275357246399,-9.23962879180908,8.48623766217913,-0.734429478645325,3.37066674232483,0.0508277080953121,0.269219551235437,-0.0380783230066299,0.363055057823658,6.73048878088593,-3.80783230066299,0.28571429,0.66666667,0.52631579,0,0.75,0.6,0.63157895,19,0.05263158,0.73684211,0.21052632,89.4189987182617,94.3055332728795,83.9145736694336,-8.41014003753662,-4.44400651114328,4.81855487823486,1.88908004760742,7.59055437360491,-2.11151242256165,-0.0380783230066299,0.0508277080953121,0.269219551235437,-3.80783230066299,0.363055057823658,6.73048878088593,0.28571429,0.66666667,0.52631579,0,0.75,0.6,0.63157895,2,99.272216796875,-1.82277965545654,0,0,106.153,1,0.5,"2024-09-24",0
"Joe Jimenez",15761,"2024-09-21","@MIA",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.7443615507439,18.1856412207288,0,0.5,0,0.5,0,0,0,0,3,14,17,0.0299800001084805,-0.0178799983114004,0.0478599965572357,0.522000014781952,0.0519402995705605,0.541999995708466,0.632000029087067,0.632000029087067,0.46399998664856,1,1,0.0331552587449551,0.022158395029696,0,0,0.17647059,95.66666667,0.82352941,86.21428571,NA,NA,NA,-0.497441589832306,0.815937042236328,NA,-16.5813863277435,5.82812173025949,NA,0.57142857,0.9,0.76470588,0.5,0.88888889,0.76923077,0.58823529,0.75,0.17647059,0,1,1,0,0,2,2,0,0.5,0.5,0,0,1,1.53341723845937,NA,NA,NA,69.8012,48.91634,80,57.06417,40.10724,63.5556,63.37363,46.02438,71.48451,-0.70544,3.01893,NA,NA,NA,124.68,88.88,91.5,117.76,108.82,115.66,118.981176470588,105.301176470588,111.396470588235,0.17647059,0.82352941,NA,95.7000020345052,86.0499965122768,NA,-5.66335423787435,2.02519525800432,NA,9.47881189982096,2.5602844783238,NA,-0.504936903715134,0.813573986291885,NA,-16.8312301238378,5.81124275922775,NA,0.6,0.83333333,0.76470588,0.33333333,0.9,0.76923077,0.70588235,20.15384615,NA,0.17647059,0.82352941,NA,95.5672302246094,85.9430890764509,NA,-4.5234333674113,3.40230069841657,NA,8.07565689086914,0.871667112622942,NA,-0.504936903715134,0.813573986291885,NA,-16.8312301238378,5.81124275922775,0.5,0.84615385,0.76470588,0,0.90909091,0.76923077,0.76470588,2,98.1838836669922,20.3522720336914,0,0,98.7746,2,1,"2024-09-21",0
"Joe Jimenez",15761,"2024-09-20","@MIA",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,27,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-68.1060684821298,-66.6845831899186,0,0,0,0,0,0,0,0,4,11,15,0.0326399803161621,0,0.0326399803161621,0.522000014781952,0.0519402995705605,0.423999965190887,0.549999952316284,0.549999952316284,NA,0,1,0.0770424380898476,-6.13461186079328e-05,0,0,0.33333333,95.2,0.66666667,85.6,NA,NA,NA,0.653774440288544,0.122527942061424,NA,13.0754888057709,1.22527942061424,NA,0.25,0.71428571,0.46666667,0.5,0.6,0.57142857,0.46666667,1,0.2,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.82350699885845,NA,NA,NA,80,56.13638,80,59.71084,38.1404,68.03724,80,46.45358,80,-1.96391,1.13123,NA,NA,NA,162.74,143.64,177.22,103.4,116.1,118.34,123.18,125.28,137.966666666667,0.33333333,0.66666667,NA,95.1599975585937,85.5200012207031,NA,-6.92129592895508,1.66216201782227,NA,10.7017219543457,2.22931346893311,NA,0.66171957552433,0.12322586402297,NA,13.2343915104866,1.2322586402297,NA,0.33333333,0.55555556,0.46666667,0.5,0.6,0.57142857,0.6,17.41666667,NA,0.33333333,0.66666667,NA,95.094921875,85.4449890136719,NA,-5.97552795410156,3.02563991546631,NA,9.44647979736328,0.508017110824585,NA,0.66171957552433,0.12322586402297,NA,13.2343915104866,1.2322586402297,0.42857143,0.5,0.46666667,0.33333333,0.75,0.57142857,0.53333333,0,NA,NA,0,NA,NA,0,NA,"2024-09-20",0
"Joe Jimenez",15761,"2024-09-18","@CIN",16,2024,"ATL","A",29,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.7443615507439,18.1856412207288,0,0,0,1,0,0,1,9,1,11,12,0.0181399993598461,0,0.0181399993598461,0.560999989509583,0.0530496463179588,0.23033332824707,0.384999990463257,0.384999990463257,0.101999998092651,1,1,0.0790479630231857,-0.000292537145832938,0,0,0.75,95.22222222,0.16666667,86.5,0.08333333,91,NA,0.609240233898163,0.173208177089691,0,6.76933593220181,8.66040885448456,0,0.83333333,0.66666667,0.75,0.6,1,0.77777778,0.5,1,0.16666667,0,0,1,0,0,1,1,0,0,1,0,0,1,-1.72435107053693,68.41376,29.12803,80,80,50.10282,80,49.12656,49.10428,56.64915,80,44.07273,80,-2.3347,0.57504,84.08,103.22,58.44,106.32,138.6,138.32,133.4,107.34,92.88,108.98,130.441666666667,124.09,0.75,0.16666667,0.08333333,95.1222195095486,86,90.8000030517578,-5.84315151638455,3.24607396125793,-9.68875122070312,9.24056837293837,2.00687408447266,5.46024036407471,0.616122357547283,0.175081238150597,0,6.84580397274759,8.75406190752983,0,0.8,0.71428571,0.75,0.75,0.8,0.77777778,0.58333333,18.33333333,0.08333333,0.75,0.16666667,90.9197006225586,95.247321234809,86.1332473754883,-8.91032981872559,-4.99968889024523,4.56450986862183,4.01078987121582,8.35680304633247,0.439625024795532,0,0.616122357547283,0.175081238150597,0,6.84580397274759,8.75406190752983,0.66666667,0.77777778,0.75,0.5,0.85714286,0.77777778,0.75,1,98.4806900024414,34.2239227294922,0,0,98.4807,1,1,"2024-09-18",0
"Joe Jimenez",15761,"2024-09-15","LAD",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,0,0,1.1,5,0,0,0,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,0,1,0,0,0,3,0,0,0,0,0,0.2,0.2,0,7.86188908401489,0,0,0.750000178813977,0,1,3.91647995710377,-3.91647995710377,7.31849968220768,0,98.4896968245792,178.646323746538,0,0,0,1,0,0,0,0,7,6,13,0.209084019064903,-0.0491839796304703,0.258267998695374,1.11300003528595,0.113109759986401,2.18720006942749,2.38253331184387,3.44280004501343,2.32719993591309,1,1,0.0719541385769844,0.0236402343326836,1,0,0.46153846,94.33333333,0.53846154,85.42857143,NA,NA,NA,0.469951331615448,0.231904879212379,NA,7.8325221935908,3.31292684589113,NA,0.11111111,1,0.38461538,0,1,0.8,0.30769231,0.6,0.07692308,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,2.24808984026221,NA,NA,NA,32.13038,53.48119,24.22171,62.7425,51.41116,62.62532,48.18862,53.99467,45.16578,0.23795,4.43402,NA,NA,NA,88.24,20.44,20.96,85.1,128.38,143.06,86.5492307692308,78.5615384615385,86.7061538461539,0.46153846,0.53846154,NA,94.1500040690104,85.3285696847098,NA,-5.88792292277018,2.41042954581124,NA,9.34525044759115,3.42108699253627,NA,0.471346788108349,0.234170861542225,NA,7.85577980180581,3.34529802203178,NA,0.125,0.8,0.38461538,0,1,0.8,0.38461538,20.125,NA,0.46153846,0.53846154,NA,94.092763264974,85.2685023716518,NA,-4.70116329193115,3.89486013139997,NA,8.14506340026855,1.91741630009242,NA,0.471346788108349,0.234170861542225,NA,7.85577980180581,3.34529802203178,0.125,0.8,0.38461538,0,1,0.8,0.38461538,3,95.7145385742188,40.2389475504557,0,0,101.864,2,0.66666667,"2024-09-15",0
"Joe Jimenez",15761,"2024-09-13","LAD",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.7443615507439,-18.3531359984531,1,0,1,0,0,0,1,9,6,8,14,0.0431960113346577,0,0.0431960113346577,0.507000029087067,0.0515243895351887,0.56306666135788,0.888400018215179,0.888400018215179,0.346000015735626,1,1,0.0771892890334129,-0.000473663159760454,0,0,0.42857143,94.83333333,0.57142857,85.625,NA,NA,NA,0.732163906097412,0.00122885406017303,NA,12.2027317682902,0.0153606757521629,NA,0.36363636,0.33333333,0.35714286,0.25,1,0.4,0.21428571,0.33333333,0.21428571,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.60885546453656,NA,NA,NA,20,50.81016,20,20,32.07808,20,20,40.11725,20,3.4417,9.23964,NA,NA,NA,71.36,93.46,87.82,93.68,45.02,50.34,84.1142857142857,65.78,66.4028571428571,0.42857143,0.57142857,NA,94.6500040690104,85.6499938964844,NA,-5.76635551452637,1.61043858528137,NA,8.63387107849121,1.52558898925781,NA,0.743704028427601,-0.00188184157013893,NA,12.39506714046,-0.0235230196267366,NA,0.4,0.25,0.35714286,0.25,1,0.4,0.28571429,16.27272727,NA,0.42857143,0.57142857,NA,94.758544921875,85.7417602539062,NA,-4.87753518422445,2.92727375030518,NA,7.75565656026204,-0.206294357776642,NA,0.743704028427601,-0.00188184157013893,NA,12.39506714046,-0.0235230196267366,0.4,0.25,0.35714286,0.25,1,0.4,0.28571429,1,88.5252304077148,-0.72674423456192,0,0,88.5252,0,0,"2024-09-13",0
"Joe Jimenez",15761,"2024-09-08","TOR",16,2024,"ATL","H",29,0,0,0,1,0,0,0,0,0,0,1,1,6,1,2,0,1,1,0,0,0,0,2,18,9,9,2,0,0,1,1,1,0,0,0,0,0.33333333,0.16666667,0.16666667,3.79739574356156,9,0.2,2,0,0,15.1664797782898,-15.1664797782898,3.67848818451166,0,376.149293900343,90.682812007927,1,0.333333333,0.333333333,0.333333333,0,1,0,0,7,14,21,-0.440287977457047,-0.640947997570038,0.200660020112991,-1.49300003051758,-0.151727631688118,2.19313335418701,2.16120004653931,2.16120004653931,0.668400049209595,1,1,-0.156362697482109,-0.0443948062129911,0,1,0.61904762,94.07692308,0.33333333,84.71428571,0.04761905,89,NA,0.158648014068604,-1.48980128765106,-0.04739710688591,1.22036933898926,-21.2828755378723,-4.739710688591,0.41666667,0.88888889,0.61904762,0.4,0.75,0.61538462,0.42857143,0.66666667,0.23809524,2,1,0,0,0,3,3,0.66666667,0.33333333,0,0,0,1,15.8147876398308,20,45.327,20,58.68997,47.41422,57.79376,20,40.0096,20,34.40165,42.41608,31.92675,1.09448,5.71881,70.88,16.44,-6.88000000000001,94.68,98.54,88.54,100.82,41.4,37.9,95.5933333333333,75.5838095238095,67.1161904761905,0.61904762,0.33333333,0.04761905,94.046151968149,84.6428571428571,89.1999969482422,-5.62755878155048,3.06477110726493,-10.9402742385864,9.35173210730919,1.64105469839913,4.61604022979736,0.19856920465827,-1.50648915395141,-0.0483221560716629,1.52745542044823,-21.5212736278772,-4.83221560716629,0.41666667,0.88888889,0.61904762,0.4,0.75,0.61538462,0.42857143,19.06666667,0.04761905,0.61904762,0.33333333,89.353401184082,94.2489389272837,84.8223005022321,-9.67070007324219,-4.7247446500338,4.43576867239816,2.94607996940613,8.41846700815054,0.0268375809703554,-0.0483221560716629,0.19856920465827,-1.50648915395141,-4.83221560716629,1.52745542044823,-21.5212736278772,0.46153846,0.875,0.61904762,0.5,0.71428571,0.61538462,0.38095238,3,97.3606465657552,11.5171356201172,1,0.33333333,103.494,2,0.66666667,"2024-09-08",0
