"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFS%","piSI%","piSL%","pivFA","pivFS","pivSI","pivSL","piFA-X","piFS-X","piSI-X","piSL-X","piFA-Z","piFS-Z","piSI-Z","piSL-Z","piwFA","piwFS","piwSI","piwSL","piwFA/C","piwFS/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jordan Hicks",19618,"2024-09-14","SDP",30,2024,"SFG","H",27,0,0,20.2500048279774,1,0,0,0,0,0,0,0,1.1,9,4,3,3,0,1,0,0,0,0,1,6.75000160932579,6.75000160932579,27.0000064373032,1,0,0,3,3,1,1,0,0,0,0.11111111,0.11111111,0,5.64648217044781,0,0.5,3.75000089406988,0.571428571428571,0.4,3.91647995710377,16.3335248708736,7.31849968220768,502.621681718076,100.260537985551,178.646323746538,1,0.142857142,0.428571428,0.428571428,0.333333333,0,0,0,13,16,29,-0.00824799854308367,-0.0179520007222891,0.00970400217920542,-2.7039999961853,-0.287506639957428,0.070711113512516,0.0731000006198883,0.0908000022172928,0.00999999977648258,1,1,-0.196389615535736,0.0797460197362759,0,0,0.62068966,96.11111111,0.31034483,82.44444444,0.06896552,88.5,NA,-1.40795361995697,-0.156013697385788,-0.492416262626648,-7.8219645553165,-1.73348552650876,-24.6208131313324,0.16666667,0.90909091,0.44827586,0,1,0.76923077,0.37931034,0.33333333,0.10344828,3,1,3,1,2,4,7,0.42857143,0.14285714,0.42857143,0.14285714,0.28571429,0.57142857,2.76620273306713,NA,NA,NA,NA,43.41733,56.96661,47.05867,20,76.28742,20,27.63665,47.44686,20,33.30998,63.47296,30.65915,1.1623,5.82054,NA,NA,NA,102.6,80.3,84.46,139.16,67.56,101.62,116.76,116.94,138.92,114.92275862069,78.8731034482759,93.5413793103448,NA,0.06896552,0.62068966,0.31034483,NA,88.75,96.0944417317708,82.2333306206597,NA,-3.81546831130981,-9.88802591959635,6.75353156195747,NA,0.55230700969696,3.25039630466037,1.72694449954563,NA,-0.507634788751602,-1.48230104520917,-0.159762628376484,NA,-25.3817394375801,-8.23500580671761,-1.77514031529427,0.25,0.69230769,0.44827586,0.25,1,0.76923077,0.44827586,18.25,NA,0.06896552,0.62068966,0.31034483,NA,88.838249206543,96.1652289496528,82.2661336263021,NA,-3.51330494880676,-9.62496439615885,7.39938524034288,NA,-0.878198504447937,2.28654882642958,0.251716799206204,NA,-0.507634788751602,-1.48230104520917,-0.159762628376484,NA,-25.3817394375801,-8.23500580671761,-1.77514031529427,0.25,0.69230769,0.44827586,0.25,1,0.76923077,0.44827586,7,94.9151698521205,13.7764445713588,1,0.14285714,110.315,4,0.57142857,"2024-09-14",0
"Jordan Hicks",19618,"2024-08-24","@SEA",30,2024,"SFG","A",27,0,0,13.500014081612,1,0,0,0,0,0,1,0,0.2,5,1,1,1,0,2,0,0,0,0,1,13.500014081612,27.000028163224,13.500014081612,0.5,0,0,1,1,0,0,0,0,0,0.2,0.4,-0.2,10.4768090840149,0,0.333333333333333,4.50000469387067,0.5,0.66666667,9.16648603678403,4.33352804482799,11.4345010118408,335.081390772946,232.164915872617,278.11247419812,1,0,0.5,0.5,0,0,0,0,11,9,20,-0.15023198723793,-0.223000004887581,0.0727680176496506,-1.02300000190735,-0.116183988749981,2.56487989425659,1.44920003414154,1.44920003414154,4.04380035400391,1,1,-0.0987617149949074,0.0401889968047351,0,1,0.65,94.15384615,0.3,80.16666667,0.05,84,NA,-0.665834248065948,-0.260407954454422,0.173208177089691,-5.1218019081996,-4.34013257424037,17.3208177089691,0,0.66666667,0.3,NA,0.66666667,0.66666667,0.45,0.6,0.1,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,5.97431886770162,NA,20,32.1499,20,40.25987,61.245,34.65682,26.59631,71.29053,24.3523,20,54.38515,20,26.06896,62.79871,20,1.61216,6.49533,126.56,-69.9,-72.58,112.1,57.56,65.92,132.28,-2.72,27.2,129.58,-50.88,-51.04,119.751,27.681,41.531,0.05,0.05,0.6,0.3,95.9000015258789,84.0999984741211,94.0250040690104,80.3000030517578,-6.11818075180054,-3.8941125869751,-11.0229695638021,7.46032079060872,7.80583620071411,-0.823438107967377,3.21177164713542,2.13842169443766,-0.0897959321737289,0.175081223249435,-0.625464402139187,-0.267248071730137,-8.97959321737289,17.5081223249435,-5.21220335115989,-4.45413452883562,0,0.54545455,0.3,NA,0.66666667,0.66666667,0.55,18.33333333,0.05,0.05,0.6,0.3,96.0339965820312,84.1519012451172,94.1644287109375,80.398183186849,-5.07475996017456,-3.25391006469727,-10.4643923441569,8.79105313618978,7.01364994049072,-2.11977005004883,1.97089385986328,0.750404675801595,-0.0897959321737289,0.175081223249435,-0.625464402139187,-0.267248071730137,-8.97959321737289,17.5081223249435,-5.21220335115989,-4.45413452883562,0,0.54545455,0.3,NA,0.66666667,0.66666667,0.55,2,90.6295928955078,9.26217079162598,1,0.5,100.844,1,0.5,"2024-08-24",0
"Jordan Hicks",19618,"2024-08-19","CHW",30,2024,"SFG","H",27,0,0,0,1,0,0,0,0,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,2,2,0,0,0,0,0,0,0,6.69112908401489,0,0.4,2,0.4,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,81.4170727589986,151.387312822842,0.5,0.4,0.2,0.4,0,0,0,0,6,16,22,0.069597989320755,-0.190933987498283,0.260531961917877,0.474000006914139,0.0503987297415733,2.79823327064514,1.44939994812012,1.44939994812012,NA,0,1,-0.0293352287262678,0.0542073471628801,1,0,0.81818182,96.05555556,0.18181818,82.25,NA,NA,NA,-0.0208707116544247,-0.0787911415100098,NA,-0.115948398080137,-1.96977853775024,NA,0.22222222,0.76923077,0.54545455,1,1,1,0.59090909,0.8,0,2,3,0,0,3,2,5,0.4,0.6,0,0,0.6,0.4,6.88669820060788,NA,NA,NA,NA,80,51.99377,76.84055,38.93182,64.50658,33.19764,NA,NA,NA,80,51.73237,80,-1.88843,1.24445,NA,NA,NA,113.22,112.94,121.06,153.54,109.64,114.38,NA,NA,NA,120.550909090909,112.34,119.845454545455,NA,NA,0.81818182,0.18181818,NA,NA,95.9666680230035,82.0999984741211,NA,NA,-9.76969316270616,6.69966650009155,NA,NA,3.5399907430013,0.606586456298828,NA,NA,-0.0238412953913212,-0.0801722258329391,NA,NA,-0.132451641062895,-2.00430564582348,0,0.70588235,0.54545455,NA,1,1,0.77272727,20.76470588,NA,NA,0.81818182,0.18181818,NA,NA,96.2896796332465,82.4051971435547,NA,NA,-9.47881232367622,7.57993030548096,NA,NA,2.61380534701877,-0.8686643242836,NA,NA,-0.0238412953913212,-0.0801722258329391,NA,NA,-0.132451641062895,-2.00430564582348,0,0.75,0.54545455,NA,1,1,0.72727273,5,85.2977233886719,26.87001953125,0,0,94.1085,0,0,"2024-08-19",0
"Jordan Hicks",19618,"2024-08-17","@OAK",30,2024,"SFG","A",27,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,3,1,0,0,0,0,0,0,0.2,-0.2,7.43248908401489,0,0.25,2,0.25,1,6.1664797782898,-6.1664797782898,7.67848818451166,0,156.790915694681,187.345706390858,3,0,0.75,0.25,0,0,0,0,10,9,19,0.0202079806476831,-0.0128880050033331,0.0330959856510162,0.453000009059906,0.0496710538864136,0.416639983654022,0.358000010251999,0.358000010251999,0.204800009727478,1,1,0.0164264068007469,0.0320758528010676,0,0,0.78947368,96.53333333,0.21052632,81,NA,NA,NA,-0.274935215711594,-0.105593025684357,NA,-1.83290143807729,-2.63982564210892,NA,0.25,0.33333333,0.26315789,0.75,1,0.8,0.15789474,0.6,0.05263158,2,0,2,1,2,1,4,0.5,0,0.5,0.25,0.5,0.25,3.7752321387549,NA,NA,NA,NA,20,68.90732,20,20,54.60637,20,NA,NA,NA,20,63.61533,20,4.16141,10.31921,NA,NA,NA,108.98,3.72,24.5,94.72,17.58,21.96,NA,NA,NA,105.977894736842,6.6378947368421,23.9652631578947,NA,NA,0.78947368,0.21052632,NA,NA,96.4333333333333,80.9499969482422,NA,NA,-10.4713958740234,6.88025283813477,NA,NA,2.63353830973307,1.01744341850281,NA,NA,-0.297053761780262,-0.108231037855148,NA,NA,-1.98035841186841,-2.70577594637871,0.28571429,0.2,0.26315789,0.75,1,0.8,0.26315789,20.07142857,NA,NA,0.78947368,0.21052632,NA,NA,96.7549397786458,81.2562484741211,NA,NA,-9.24886881510417,8.36421966552734,NA,NA,1.16916020711263,-1.04695701599121,NA,NA,-0.297053761780262,-0.108231037855148,NA,NA,-1.98035841186841,-2.70577594637871,0.23076923,0.33333333,0.26315789,1,0.5,0.8,0.31578947,4,80.8184967041016,21.0948848724365,0,0,101.314,1,0.25,"2024-08-17",0
"Jordan Hicks",19618,"2024-08-13","ATL",30,2024,"SFG","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,1,0,0,0,0,0,0.25,0,0.25,2.16704158401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,31.1678441352104,66.5170884121943,2,0,0.666666666,0.333333333,0,0,0,0,6,8,14,0.132101997733116,-0.0816160142421722,0.213718011975288,0.474000006914139,0.0503987222909927,3.15985012054443,2.28320002555847,2.28320002555847,2.67219996452332,1,1,0.0261779595166445,0.0156284530325543,1,0,0.5,97,0.5,83,NA,NA,NA,0.0807745456695557,0.172175943851471,NA,1.15392208099365,2.4596563407353,NA,0.33333333,0.4,0.35714286,0.66666667,1,0.8,0.35714286,0.75,0.07142857,1,2,0,0,3,0,3,0.33333333,0.66666667,0,0,1,0,0.0346355129118431,NA,NA,NA,NA,28.41317,80,43.56995,30.87725,60.10867,33.28018,NA,NA,NA,28.93614,73.6966,37.77275,1.43403,6.22814,NA,NA,NA,136.42,55.48,105.6,109.44,64.24,78.14,NA,NA,NA,122.93,59.86,91.87,NA,NA,0.5,0.5,NA,NA,96.8857160295759,82.9428536551339,NA,NA,-9.9582268851144,6.36983598981585,NA,NA,1.49444893428258,2.14011628287179,NA,NA,0.0813863016664982,0.172770921140909,NA,NA,1.16266145237855,2.4681560162987,0.33333333,0.4,0.35714286,0.66666667,1,0.8,0.35714286,20,NA,NA,0.5,0.5,NA,NA,97.0294276646205,83.0614275251116,NA,NA,-9.68447657993862,7.14683151245117,NA,NA,0.779687813350132,0.793961048126221,NA,NA,0.0813863016664982,0.172770921140909,NA,NA,1.16266145237855,2.4681560162987,0.33333333,0.4,0.35714286,0.66666667,1,0.8,0.35714286,3,80.1617279052734,13.4978892008464,0,0,92.3873,0,0,"2024-08-13",0
"Jordan Hicks",19618,"2024-08-11","DET",30,2024,"SFG","H",27,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,1,9,0,18,1,0,0,2,0,2,0,0,0,0,0.2,0,0.2,2.00296908401489,0,0.4,2,0.5,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,31.1678441352104,29.9783111930123,2,0.5,0.5,0,0,0,0,0,6,11,17,0.0350399911403656,-0.0420680083334446,0.0771079957485199,0.474000006914139,0.050398726016283,0.862600028514862,0.623199999332428,0.623199999332428,NA,0,1,0.00537996273487806,0.0352414028830827,0,0,0.58823529,95.6,0.17647059,81.33333333,0.23529412,85.75,NA,0.308608025312424,0.150888741016388,-0.617565810680389,3.08608025312424,5.02962470054626,-15.4391452670097,0.3,0.71428571,0.47058824,0.66666667,1,0.875,0.41176471,0.8,0.05882353,1,3,0,1,1,2,4,0.25,0.75,0,0.25,0.25,0.5,5.78377991598029,NA,20,37.84667,20,80,41.60133,80,20,57.56675,20,20,54.81214,20,48.59243,47.83075,52.44507,0.21286,4.39638,64.8,57.18,37.42,94.54,157.94,151.72,130.48,-17.24,4.42,103.24,69.6,70.94,101.18,100.312941176471,99.9952941176471,0.05882353,0.23529412,0.52941176,0.17647059,95.8000030517578,85.9000015258789,95.4111124674479,81.0666656494141,-6.52538967132568,-4.75793170928955,-9.25033145480686,6.81255467732747,5.94759368896484,-1.56133508682251,2.60918362935384,1.07440272967021,-0.0350487045943737,-0.62711014971137,0.346255943179131,0.152418438345194,-3.50487045943737,-15.6777537427843,3.8472882575459,5.08061461150646,0.14285714,0.7,0.47058824,0,1,0.875,0.58823529,21.16666667,0.05882353,0.23529412,0.52941176,0.17647059,96.0106964111328,86.0940246582031,95.6238471137153,81.2425994873047,-5.89461994171143,-4.56923007965088,-9.03475189208984,7.35678354899089,5.15814018249512,-2.74083995819092,1.7288949754503,0.027250682314237,-0.0350487045943737,-0.62711014971137,0.346255943179131,0.152418438345194,-3.50487045943737,-15.6777537427843,3.8472882575459,5.08061461150646,0.14285714,0.7,0.47058824,0,1,0.875,0.58823529,4,86.8736724853516,-8.77369117736816,0,0,104.077,2,0.5,"2024-08-11",0
"Jordan Hicks",19618,"2024-08-08","@WSN",30,2024,"SFG","A",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,9,9,0,0,0,2,0,1,0,0,0,0,0,0.25,-0.25,7.96547908401489,0,0.333333333333333,2,0.333333333333333,1,6.1664797782898,-6.1664797782898,6.1664797782898,0,156.790915694681,150.806929171676,2,0.333333333,0.666666666,0,0,0,0,0,7,8,15,0.0745079964399338,-0.0689959973096848,0.143503993749619,0.49099999666214,0.0509865060448647,1.33659994602203,1.31840002536774,1.31840002536774,1.50839996337891,1,1,0.0143544049933553,0.0413900207502513,1,0,0.53333333,94.25,0.46666667,79.57142857,NA,NA,NA,-0.27987003326416,0.498836725950241,NA,-3.498375415802,7.1262389421463,NA,0.3,0.8,0.46666667,0.33333333,1,0.71428571,0.33333333,0.5,0.13333333,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,10.5637424369625,NA,NA,NA,NA,20,37.22397,20,20,56.39112,20,NA,NA,NA,20,47.67467,20,2.968,8.52909,NA,NA,NA,93,103.14,92.9,99.78,19.6,29.42,NA,NA,NA,96.164,64.1546666666667,63.276,NA,NA,0.53333333,0.46666667,NA,NA,94.2874984741211,79.5857107979911,NA,NA,-9.52103042602539,7.09296744210379,NA,NA,4.09408187866211,1.54515607016427,NA,NA,-0.284513883292675,0.504759881645441,NA,NA,-3.55642354115844,7.21085545207773,0.3,0.8,0.46666667,0.33333333,1,0.71428571,0.33333333,18.45454545,NA,NA,0.53333333,0.46666667,NA,NA,94.5779876708984,79.856201171875,NA,NA,-9.05281257629395,7.99454280308315,NA,NA,3.20973491668701,0.495891639164516,NA,NA,-0.284513883292675,0.504759881645441,NA,NA,-3.55642354115844,7.21085545207773,0.33333333,0.66666667,0.46666667,0.33333333,1,0.71428571,0.4,3,88.6534118652344,2.27754020690918,0,0,110.924,1,0.33333333,"2024-08-08",0
"Jordan Hicks",19618,"2024-08-03","@CIN",30,2024,"SFG","A",27,0,0,0,1,0,0,0,0,0,0,0,2,7,1,0,0,0,1,0,0,0,0,1,4.5,4.5,4.5,1,0,0,3,2,0,0,0,0,0,0.14285714,0.14285714,0,5.4426270424455,0,0.166666666666667,1,0.2,1,3.6664797782898,-3.6664797782898,5.17848818451166,0,93.9793799149457,126.931397401526,1.5,0,0.6,0.4,0,0,3,13.5,15,16,31,0.0118599655106664,-0.00648999214172363,0.0183499567210674,1.12199997901917,0.106099292635918,0.104571431875229,0.0964999943971634,0.0609999969601631,0.131999999284744,1,1,0.0596151314675808,0.0537998356796347,0,0,0.70967742,97.68181818,0.29032258,83,NA,NA,NA,0.895355761051178,-0.137143865227699,NA,4.06979891386899,-1.52382072475221,NA,0.11111111,0.61538462,0.32258065,1,0.875,0.9,0.41935484,0.42857143,0.03225806,2,2,1,0,3,2,5,0.4,0.4,0.2,0,0.6,0.4,2.01867979932597,NA,20,75.0863,20,47.28368,61.10009,49.1724,20,65.25976,25.20862,NA,NA,NA,28.726,62.24191,28.67941,1.44709,6.24773,34.36,-442.54,-479.98,112.44,110.52,125.86,124.12,68.72,84.66,NA,NA,NA,113.312258064516,80.5438709677419,94.3554838709677,0.03225806,NA,0.67741935,0.29032258,99.1999969482422,NA,97.5476190476191,82.9666680230035,-6.85675525665283,NA,-9.85158575148809,6.315613216824,8.16511917114258,NA,3.78740401495071,1.1997340520223,-0.267212420701981,NA,1.17801823839545,-0.141378723084927,-26.7212420701981,NA,5.60961065902596,-1.57087470094363,0.05882353,0.64285714,0.32258065,1,0.88888889,0.9,0.4516129,19.75,0.03225806,NA,0.67741935,0.29032258,99.3554000854492,NA,97.7241675967262,83.1172417534722,-5.86952018737793,NA,-9.48769850957961,7.16279602050781,6.7470498085022,NA,2.81733104160854,-0.306415663825141,-0.267212420701981,NA,1.17801823839545,-0.141378723084927,-26.7212420701981,NA,5.60961065902596,-1.57087470094363,0.05555556,0.69230769,0.32258065,1,0.88888889,0.9,0.41935484,5,84.53125,-0.173959159851074,1,0.2,100.421,2,0.4,"2024-08-03",0
"Jordan Hicks",19618,"2024-07-28","COL",30,2024,"SFG","H",27,0,0,9,1,0,0,0,0,0,1,0,2,9,3,2,2,1,0,0,0,0,0,1,4.5,0,13.5,1,0,0,5,3,0,0,0,0,0,0.11111111,0,0.11111111,3.79707476526766,4.5,0.333333333333333,1.5,0.285714285714286,0.625,8.66647977828979,0.333520221710206,4.4344923876226,223.387360837213,219.602451474416,108.952200617518,1.666666666,0,0.625,0.375,0,0.333333333,2,9,10,25,35,-0.0521159768104553,-0.205171972513199,0.153055995702744,-1.05200004577637,-0.111855402588844,1.0291999578476,1.04970002174377,1.21160006523132,1.4132000207901,1,1,-0.0875812619924545,0.0369438941874194,0,0,0.57142857,93.65,0.25714286,79.22222222,0.17142857,84.33333333,NA,-1.10820424556732,0.271725118160248,-0.13735619187355,-5.54102122783661,3.01916797955831,-2.28926986455917,0.29411765,0.88888889,0.6,0.4,0.8125,0.71428571,0.51428571,0.44444444,0.17142857,2,3,3,1,4,3,8,0.25,0.375,0.375,0.125,0.5,0.375,5.6007266646655,NA,20,43.06961,20,41.81208,42.1115,53.69399,42.08546,48.52184,33.46135,60.67688,50.08124,45.91027,42.90338,45.40092,43.05171,0.5663,4.92654,74.16,27.68,16.92,88.62,103.5,106.14,105.02,71.54,72.64,128.6,82.24,93.14,99.2777142857143,89.4708571428571,92.748,0.05714286,0.17142857,0.51428571,0.25714286,94.6499938964844,84.0333353678385,93.3999972873264,79.2333306206597,-7.78031158447266,-3.08292325337728,-9.95106675889757,6.02748277452257,6.53670215606689,-0.904347896575928,2.55555937025282,0.909477763705783,0.0331650711596012,-0.140478610992432,-1.14016944169998,0.274337716400623,1.65825355798006,-2.34131018320719,-6.33427467611101,3.04819684889581,0.35714286,0.76190476,0.6,0.4,0.8125,0.71428571,0.6,18.73076923,0.02857143,0.17142857,0.54285714,0.25714286,94.1402969360352,84.375498453776,93.9057938425164,79.6073337131076,-6.13776016235352,-2.72677008310954,-9.48951480263158,6.66710662841797,7.13431978225708,-2.03963343302409,1.90211085269326,-0.0992949936125014,-0.0350487045943737,-0.140478610992432,-1.07195566594601,0.274337716400623,-3.50487045943737,-2.34131018320719,-5.64187192603161,3.04819684889581,0.30769231,0.77272727,0.6,0.25,0.82352941,0.71428571,0.62857143,8,86.703125,-1.47904765605927,1,0.125,105.234,3,0.375,"2024-07-28",0
"Jordan Hicks",19618,"2024-07-23","@LAD",30,2024,"SFG","A",27,0,1,9.81818352060899,1,1,0,0,0,0,0,0,3.2,19,3,4,4,0,5,0,1,2,0,7,17.1818211610657,12.2727294007612,7.36363764045674,1.4,0,0,3,1,2,0,0,0,0,0.36842105,0.26315789,0.10526316,5.59005594447685,0,0.230769230769231,2.18181856013533,0.5,0.55555556,4.25738905835746,5.56079446225153,4.6697550588294,243.69534498714,108.825747669965,114.637493302295,3,0.333333333,0.5,0.166666666,0,0,1,2.45454588015225,42,50,92,-0.245199963450432,-0.501879990100861,0.256680011749268,-2.3989999294281,-0.25386244058609,0.977523803710938,0.810500025749207,0.870000004768372,0.560000002384186,1,1,-0.1600062251091,-0.090831618961385,0,0,0.56521739,94.15384615,0.32608696,81.8,0.10869565,86,NA,-0.0551041401922703,-1.51656401157379,0.299125850200653,-0.105969500369751,-5.05521337191264,2.99125850200653,0.20689655,0.61764706,0.35869565,0.41666667,0.9047619,0.72727273,0.36956522,0.63157895,0.09782609,4,1,1,2,2,2,6,0.66666667,0.16666667,0.16666667,0.33333333,0.33333333,0.33333333,5.0445381533144,41,20,33.4309,20,32.22984,41.93114,33.29612,27.63861,57.55184,27.65665,29.09407,49.1231,20,20,47.50718,20,2.27904,7.49565,78.88,-73.16,-109.94,96.92,83.16,87.7,112.5,57.7,66.02,127.02,84.98,99.2,103.778021978022,61.2241758241758,64.4415384615385,0.08695652,0.10869565,0.47826087,0.32608696,94.8249969482422,86.0799987792969,93.906815962358,81.7433349609375,-7.3873405456543,-4.2531494140625,-9.73864329944957,5.68631642659505,7.41003131866455,-0.526363229751587,2.03134779496626,2.33818181355794,-0.437214098870754,0.290147934108973,0.365724310278893,-1.54261879250407,-5.46517623588443,2.90147934108973,0.83119161427021,-5.14206264168024,0.14814815,0.65789474,0.35869565,0.25,0.88,0.72727273,0.41304348,19.50684932,0.08695652,0.10869565,0.47826087,0.32608696,94.9229888916016,86.1738525390625,94.0073353160511,81.8247477213542,-6.33944225311279,-3.36175765991211,-9.03956326571378,6.76377207438151,6.67905235290527,-2.0724048614502,1.06421592018821,1.30577023824056,-0.437214098870754,0.290147934108973,0.365724310278893,-1.54261879250407,-5.46517623588443,2.90147934108973,0.83119161427021,-5.14206264168024,0.16,0.5952381,0.35869565,0.25,0.88,0.72727273,0.45652174,6,82.4472808837891,2.12247896194458,1,0.16666667,105.087,2,0.33333333,"2024-07-23",0
