"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Jose Urena",11589,"2024-09-13","@SEA",13,2024,"TEX","A",32,0,0,10.8000041198746,1,0,0,0,0,0,1,0,1.2,10,2,2,2,0,1,0,2,0,0,2,10.8000041198746,5.40000205993731,10.8000041198746,2,0,0,1,3,1,0,0,0,0,0.2,0.1,0.1,4.69304908401489,0,0.285714285714286,1.80000068664577,0.4,0.6,6.16648092269941,4.63352319717521,8.88809709211295,268.047374891805,149.224092508042,219.268784945367,0.333333333,0.2,0.2,0.6,0,0,1,5.40000205993731,15,18,33,-0.0505220107734203,-0.197464004158974,0.146941989660263,-1.34100008010864,-0.152299836277962,0.970759987831116,0.772899985313416,0.95660001039505,1.27439999580383,1,1,-0.155687466263771,0.10364369498484,0,0,0.51515152,96.64705882,0.33333333,88.18181818,0.15151515,88.4,NA,-1.16579079627991,0.173381477594376,-0.0765042752027512,-6.85759291929357,1.57619525085796,-1.53008550405502,0.14285714,0.75,0.36363636,0.33333333,0.77777778,0.66666667,0.36363636,0.6,0.12121212,1,2,2,0,1,4,5,0.2,0.4,0.4,0,0.2,0.8,5.89264971898124,NA,20,54.06863,20,31.6469,55.17974,20.37359,48.49695,63.01439,49.89161,25.88811,44.98312,39.25959,25.12807,56.17164,27.99402,1.67061,6.58301,71.82,1.56,-16.36,90.78,145.96,154.52,95.3,105.96,105.6,93.56,86.62,84.04,90.3666666666667,82.329696969697,78.3745454545454,0.09090909,0.42424242,0.3030303,0.18181818,96.0999959309896,96.6571393694196,87.8700012207031,88.3333333333333,-9.42428461710612,-10.749401637486,-3.46416816711426,-10.0559895833333,7.42006492614746,4.94358008248465,4.9637336730957,5.1263386408488,-1.10592695698142,-0.0804851166903973,0.445400472730398,-0.346074521541595,-36.8642318993807,-0.574893690645695,4.45400472730398,-5.76790869235992,0.16666667,0.6,0.36363636,0.66666667,0.66666667,0.66666667,0.45454545,17.60869565,0.15151515,NA,0.51515152,0.33333333,88.5864990234375,NA,96.8568258846507,88.2008167613636,-9.77921371459961,NA,-9.68047646915211,-2.93312176791104,3.84802780151367,NA,4.24701466279871,3.56045012040572,-0.0788621008396149,NA,-1.18641207367182,0.178188052028418,-1.5772420167923,NA,-6.97889455101069,1.61989138207652,0.16666667,0.6,0.36363636,0.66666667,0.66666667,0.66666667,0.45454545,5,100.075714111328,23.805712890625,1,0.2,108.936,4,0.8,"2024-09-13",0
"Jose Urena",11589,"2024-09-06","LAA",13,2024,"TEX","H",32,0,0,3.17647094462574,1,0,0,0,0,0,0,0,5.2,23,3,3,2,1,2,0,0,0,0,3,4.7647064169386,3.17647094462574,4.7647064169386,1.5,0.09090909,0,11,5,2,0,1,0,0,0.13043478,0.08695652,0.04347826,4.40779146395343,1.58823547231287,0.142857142857143,0.882353040173816,0.117647058823529,0.55555556,5.46059768274172,-2.28412673811598,4.50060499228803,78.8374419746893,131.934266775288,110.118644900472,2.2,0.111111111,0.611111111,0.277777777,0,0.2,1,1.58823547231287,22,53,75,-0.0805080011487007,-0.207992002367973,0.127483993768692,-0.28700003027916,-0.0298026949167252,0.380591303110123,0.366457134485245,0.503600001335144,NA,0,1,0.146081298589706,-0.357615299736879,0,1,0.52,95.8974359,0.30666667,87.73913043,0.17333333,89.07692308,NA,2.10895299911499,0.134945303201675,-1.53178000450134,5.40757179260254,0.586718709572502,-11.7829231115488,0.36842105,0.78378378,0.57333333,0.85714286,0.86206897,0.86046512,0.49333333,0.7826087,0.08,10,5,3,3,11,4,18,0.55555556,0.27777778,0.16666667,0.16666667,0.61111111,0.22222222,4.93210552308685,NA,42.28133,47.46545,43.68931,67.93821,69.97277,62.10958,63.97739,49.06661,62.95936,35.96498,38.15826,46.48512,53.56783,46.62147,58.26689,-0.09625,3.93272,70.6,74.64,51.88,109.06,144.86,136.02,86.64,123.94,115.5,100.18,86.54,78.02,89.2077333333334,105.041066666667,94.0730666666667,0.04,0.48,0.30666667,0.17333333,96.0666707356771,95.7333306206597,87.6826065726902,89.0538423978365,-9.34697850545247,-10.2014151679145,-3.52667634383492,-10.2883981557993,9.56296666463216,5.89741049872504,5.02457892376444,5.4583493746244,0.152108270674944,2.02237339317799,0.130989700555801,-1.54148808121681,5.0702756891648,5.61770386993885,0.569520437199136,-11.8576006247447,0.35294118,0.75609756,0.57333333,0.83333333,0.87096774,0.86046512,0.54666667,16.25,0.17333333,0.01333333,0.50666667,0.30666667,89.3393930288462,96.9119033813477,96.0397692228618,87.9680494225543,-9.48423708402193,-9.33131980895996,-9.34296537700452,-2.47550184830375,4.22444681020883,8.38121032714844,4.98652608771073,3.86089092752208,-1.54148808121681,0.039364367723465,2.13511729612947,0.130989700555801,-11.8576006247447,3.9364367723465,5.61872972665649,0.569520437199136,0.37142857,0.75,0.57333333,0.84615385,0.86666667,0.86046512,0.53333333,18,88.2226223415799,3.47458309597439,1,0.05555556,106.843,8,0.44444444,"2024-09-06",0
"Jose Urena",11589,"2024-09-01","OAK",13,2024,"TEX","H",32,0,0,1.92857169131847,1,0,0,0,0,0,0,0,4.2,21,8,1,1,0,1,0,0,1,0,2,3.85714338263694,1.92857169131847,15.4285735305478,2,0,0,10,4,4,0,0,0,0,0.0952381,0.04761905,0.04761905,4.23451139564982,0,0.4,1.92857169131847,0.444444444444444,0.88888889,2.95219403480997,-1.0236223434915,4.24820141670999,47.8655909211418,70.4937062333744,103.839457383923,2.5,0.222222222,0.555555555,0.222222222,0,0,1,1.92857169131847,21,48,69,0.200084060430527,-0.498663902282715,0.698747992515564,1.4779999256134,0.153478711843491,1.61176669597626,1.18228328227997,1.28320002555847,1.73000001907349,1,1,-0.00316815404221416,0.12730774628595,1,0,0.50724638,95.91428571,0.27536232,86.68421053,0.2173913,88.66666667,NA,0.246343016624451,-1.16594791412354,-0.0117514915764332,0.703837190355573,-6.13656796907124,-0.0783432771762212,0.35135135,0.8125,0.56521739,0.69230769,0.84615385,0.79487179,0.46376812,0.57142857,0.11594203,6,7,5,4,7,7,18,0.33333333,0.38888889,0.27777778,0.22222222,0.38888889,0.38888889,3.81780695800151,NA,56.62633,48.48324,59.68356,NA,NA,NA,62.36676,52.48102,55.22752,63.81056,41.57521,65.24677,65.65226,49.25418,64.15165,-0.84701,2.80658,70.24,110.42,94.58,NA,NA,NA,100.74,121.16,116.4,90.5,114.38,112.64,91.2898550724638,116.958260869565,110.62115942029,NA,0.50724638,0.27536232,0.2173913,NA,95.8571428571429,86.7684197676809,88.6600016276042,NA,-10.3669442313058,-4.70633858128598,-10.6327952067057,NA,5.19800633021763,5.30560623972039,5.09505920410156,NA,0.251031775027514,-1.18224231526256,-0.0178372599184513,NA,0.717233642935753,-6.22232797506608,-0.118915066123009,0.32258065,0.76315789,0.56521739,0.8,0.79310345,0.79487179,0.55072464,17.14893617,0.2173913,NA,0.50724638,0.27536232,89.2886393229167,NA,96.50927734375,87.3974866365132,-9.53860371907552,NA,-9.30565621512277,-3.51855990761205,3.68932062784831,NA,3.99117693219866,4.09098052978516,-0.0178372599184513,NA,0.251031775027514,-1.18224231526256,-0.118915066123009,NA,0.717233642935753,-6.22232797506608,0.3125,0.78378378,0.56521739,0.8,0.79310345,0.79487179,0.53623188,18,84.0901285807292,11.1613972981771,0,0,106.882,4,0.22222222,"2024-09-01",0
"Jose Urena",11589,"2024-08-28","@CHW",13,2024,"TEX","A",32,1,0,0,1,0,0,0,0,0,0,0,4,15,2,0,0,0,1,0,0,0,0,2,4.5,2.25,4.5,2,0,0,5,6,1,2,0,0,0,0.13333333,0.06666667,0.06666667,4.89027574648549,0,0.142857142857143,0.75,0.166666666666667,1,2.9164797782898,-2.9164797782898,5.1844923876226,0,69.6189251981346,127.132101170555,0.833333333,0.083333333,0.416666666,0.5,0.333333333,0,1,2.25,16,35,51,0.317369997501373,-0.218138039112091,0.535508036613464,1.9760000705719,0.203606382012367,1.80107998847961,1.80105328559875,2.8225998878479,3.46040010452271,1,1,0.188517674803734,-0.0123067349613108,1,0,0.29411765,96.73333333,0.45098039,87.2173913,0.25490196,89.15384615,NA,-0.029578760266304,0.796127617359161,0.93759948015213,-0.197191735108693,3.4614244233007,7.21230369347792,0.26086957,0.71428571,0.50980392,0.83333333,0.9,0.88461538,0.54901961,0.73333333,0.05882353,2,3,7,4,6,2,12,0.16666667,0.25,0.58333333,0.33333333,0.5,0.16666667,1.44101635119393,NA,40.5712,43.25348,45.63086,NA,NA,NA,63.31509,56.11504,54.74786,60.04113,43.46551,61.93945,56.85472,50.29951,57.00533,-0.30045,3.62642,73.94,98.14,83.04,NA,NA,NA,97.54,114.66,115.68,93.76,123.32,122.58,90.0705882352941,114.016470588235,109.327843137255,NA,0.29411765,0.45098039,0.25490196,NA,96.7933349609375,87.1565206776495,89.0615422175481,NA,-10.3585225423177,-3.47577833092731,-9.71339064378005,NA,5.03790893554688,4.81580452297045,4.24847676203801,NA,-0.0346724353730679,0.736237403005362,0.990216296166182,NA,-0.231149569153786,3.20103218697983,7.61704843204755,0.16666667,0.6969697,0.50980392,0.66666667,0.91304348,0.88461538,0.64705882,16.02777778,0.25490196,NA,0.29411765,0.45098039,89.1823542668269,NA,96.9286458333333,87.2674242102582,-9.27427673339844,NA,-9.87306620279948,-2.83444810950238,3.25404622004582,NA,4.18802057902018,3.97825191331946,0.990216296166182,NA,-0.0346724353730679,0.736237403005362,7.61704843204755,NA,-0.231149569153786,3.20103218697983,0.05882353,0.73529412,0.50980392,1,0.88,0.88461538,0.66666667,12,79.9566497802734,17.714661916097,1,0.08333333,102.56,2,0.16666667,"2024-08-28",0
"Jose Urena",11589,"2024-08-19","PIT",13,2024,"TEX","H",32,1,0,0,1,0,0,0,0,0,0,0,4,16,2,0,0,0,2,0,0,0,0,3,6.75,4.5,4.5,1.5,0.142857142,0,7,4,0,0,1,0,0,0.1875,0.125,0.0625,4.51185799026489,0,0.142857142857143,1,0.181818181818182,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,75.742397450355,114.543946394147,1.75,0,0.636363636,0.363636363,0,0,0,0,25,37,62,0.362884104251862,-0.196327954530716,0.5592120885849,1.96399998664856,0.203945994377136,1.75979995727539,1.65210008621216,1.27160000801086,2.85559988021851,1,1,0.158903747797012,0.0473038400322866,1,0,0.48387097,96.6,0.32258065,87.9,0.19354839,89.16666667,NA,0.756274938583374,0.0420324429869652,0.609786093235016,2.52091646194458,0.210162214934826,5.08155077695847,0.27027027,0.84,0.5,1,0.85714286,0.90322581,0.40322581,0.4375,0.0483871,2,6,3,3,6,2,11,0.18181818,0.54545455,0.27272727,0.27272727,0.54545455,0.18181818,1.63047089740873,NA,57.03862,50.35601,57.03447,80,68.83366,80,48.48314,46.60056,57.72231,39.14198,41.30571,44.23574,50.57328,47.40486,58.73776,0.0898,4.21179,89.5,110.68,100.78,124.4,146.04,154.72,85.08,104.42,91.48,96.26,109.58,104.62,90.8103225806452,108.638709677419,99.5587096774194,0.03225806,0.4516129,0.32258065,0.19354839,97.8000030517578,96.4428536551339,87.775,88.9166666666667,-8.99358367919922,-10.4627096993583,-3.77473258972168,-10.610502243042,8.10990333557129,5.35063171386719,5.11903610229492,4.80636342366536,-0.0350487045943737,0.794401112943888,0.0369131937623024,0.616520032286644,-1.75243522971869,2.83714683194246,0.184565968811512,5.13766693572203,0.16666667,0.8125,0.5,1,0.88461538,0.90322581,0.51612903,17.7173913,0.17741935,0.03225806,0.4516129,0.33870968,89.1999456232244,98.1876525878906,96.8230590820312,88.2299107142857,-9.74582810835405,-8.15621471405029,-9.44519478934152,-2.92455509730748,3.34314172918146,6.83654022216797,4.12175941467285,3.81840042840867,0.436793401837349,-0.0350487045943737,0.794401112943888,0.216639824211597,3.97084910761226,-1.75243522971869,2.83714683194246,1.03161821053142,0.20689655,0.75757576,0.5,1,0.88,0.90322581,0.53225806,11,82.9717906605114,5.05865582552823,0,0,111.521,3,0.27272727,"2024-08-19",0
"Jose Urena",11589,"2024-08-13","@BOS",13,2024,"TEX","A",32,0,1,11.5714301479108,1,1,0,0,0,0,0,0,4.2,23,7,6,6,1,2,0,1,0,0,3,5.78571507395541,3.85714338263694,13.5000018392293,1.5,0,0,9,6,2,0,0,0,0,0.13043478,0.08695652,0.04347826,5.18638125756611,1.92857169131847,0.35,1.92857169131847,0.375,0.46511628,6.59505167396707,4.97637847394374,5.75334808157932,287.193545526851,159.721456922045,141.283848284399,1.5,0.117647058,0.529411764,0.352941176,0,0.166666666,0,0,35,58,93,-0.173372000455856,-0.480380028486252,0.307007998228073,-3.37899994850159,-0.325529873371124,0.906539142131805,0.837119996547699,0.870000004768372,0.0483999997377396,1,1,-0.155152171850204,-0.0360938454460339,0,0,0.58064516,96.5,0.22580645,87.52380952,0.19354839,88.11111111,NA,-1.52680945396423,-1.07309329509735,-0.0831251442432404,-2.82742491474858,-5.10996807189215,-0.461806356906891,0.38983051,0.73529412,0.51612903,0.69565217,0.88,0.79166667,0.3655914,0.56521739,0.10752688,6,6,5,3,8,6,17,0.35294118,0.35294118,0.29411765,0.17647059,0.47058824,0.35294118,5.64833604119935,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.88,72.14,56.68,95.54,47.22,26.4,85.46,114.58,104.96,101.72,94.22,97.78,88.4232258064516,96.6982795698925,88.0810752688172,0.09677419,0.48387097,0.22580645,0.19354839,97.1999986436632,96.2800021701389,87.3428548177083,88.1111111111111,-9.03338792588976,-10.2792955186632,-2.74314498901367,-10.4856719970703,7.4574703640408,4.7026862250434,4.83445848737444,4.76524056328668,-0.546598568558693,-0.960712302476168,-1.07486579939723,-0.0912215560674667,-6.07331742842992,-2.13491622772482,-5.11840856855824,-0.506786422597037,0.42105263,0.66666667,0.51612903,0.75,0.83333333,0.79166667,0.38709677,17.14285714,0.19354839,0.08602151,0.49462366,0.22580645,87.9330579969618,96.7501373291016,96.1786047894022,87.1470307849702,-9.76049296061198,-8.31333160400391,-9.66768347698709,-1.87745139712379,3.25495168897841,6.33359146118164,3.64957925547724,3.69248671758743,-0.0912215560674667,-0.974553160369396,-0.532757710665464,-1.07486579939723,-0.506786422597037,-12.1819145046175,-1.15816893622927,-5.11840856855824,0.41818182,0.65789474,0.51612903,0.73913043,0.84,0.79166667,0.40860215,17,88.1092888327206,11.6402489157284,3,0.17647059,111.371,6,0.35294118,"2024-08-13",0
"Jose Urena",11589,"2024-08-07","HOU",13,2024,"TEX","H",32,0,1,4.5,1,1,0,0,0,0,0,0,4,19,6,2,2,1,3,0,0,0,0,0,0,6.75,13.5,0,0.125,0,8,4,4,0,1,0,0,0,0.15789474,-0.15789474,7.84651577569,2.25,0.375,2.25,0.333333333333333,0.92105263,8.66647977828979,-4.16647977828979,6.92848818451166,111.686363599936,210.458786999203,170.518477974686,2,0.25,0.5,0.25,0,0.25,0,0,31,34,65,-0.0369839817285538,-0.372760027647018,0.335776060819626,-0.0358999893069267,-0.00372793665155768,1.20315790176392,0.809700012207031,0.870000004768372,0.680400013923645,1,1,-0.1183125898242,0.087573497578425,0,0,0.58461538,96.10810811,0.27692308,87.72222222,0.13846154,89.11111111,NA,-1.11816239356995,-0.0282021164894104,-0.286087870597839,-2.94253261465775,-0.156678424941169,-3.17875411775377,0.17948718,0.80769231,0.43076923,0.85714286,0.95238095,0.92857143,0.4,0.42105263,0.03076923,6,8,2,2,9,5,16,0.375,0.5,0.125,0.125,0.5625,0.3125,10.8734338947117,33,20,43.21508,20,48.12137,52.45988,40.08624,31.81071,61.103,28.97963,68.89874,38.39725,72.85283,40.21633,50.71154,36.46048,0.73323,5.17694,81.02,47.6,37.42,79.14,64.2,42.1,98.8,93.56,95.84,92.98,102.94,102.9,93.2141538461538,87.5353846153846,85.5723076923077,0.10769231,0.47692308,0.27692308,0.13846154,96.3428606305804,96.1483902469758,87.5722249348958,88.8444417317708,-8.67863464355469,-10.5706600066154,-4.12310070461697,-9.60569085015191,7.58037458147321,5.05724014774446,4.64656745062934,4.74161190456814,-0.139029577374458,-0.980623029172421,0.0548088774085045,-0.29318318888545,-1.98613681963512,-3.16330009410458,0.30449376338058,-3.25759098761612,0.03846154,0.69230769,0.43076923,1,0.92592593,0.92857143,0.6,19.73913043,0.125,0.0625,0.515625,0.296875,89.4677505493164,96.2941741943359,96.5144782788826,87.8213661595395,-8.62962627410889,-7.42223262786865,-9.44321511008523,-3.08111431724147,3.3346095085144,6.89512729644775,4.01509602864583,3.52390610544305,-0.343353327363729,-0.148853946477175,-1.18419877067208,0.104979015886784,-4.29191659204662,-3.72134866192937,-3.58848112324874,0.552521136246229,0.1,0.70588235,0.421875,0.66666667,0.95833333,0.92592593,0.53125,16,89.5710525512695,6.09425258636475,1,0.0625,116.974,7,0.4375,"2024-08-07",0
"Jose Urena",11589,"2024-08-02","BOS",13,2024,"TEX","H",32,0,1,15.75,1,1,0,0,0,0,0,0,4,19,8,7,7,1,0,0,0,0,0,2,4.5,0,18,2,0,0,7,4,6,0,0,0,0,0.10526316,0,0.10526316,4.46977341956457,2.25,0.421052631578947,2,0.4375,0.15151515,5.4164797782898,10.3335202217102,3.67848818451166,390.902272599776,130.853647720338,89.6663768027962,1.75,0.352941176,0.411764705,0.235294117,0,0.25,3,6.75,25,44,69,-0.544791996479034,-0.718300044536591,0.173508018255234,-4.95489978790283,-0.514527499675751,1.00119996070862,0.862079977989197,0.870000004768372,0.495200008153915,1,1,-0.29386180639267,-0.250277244605143,0,0,0.42028986,95.93103448,0.28985507,87.6,0.28985507,88.15,NA,-1.00482547283173,0.271058559417725,-1.7285852432251,-3.46491542355768,1.35529279708862,-8.64292621612549,0.23684211,0.74193548,0.46376812,0.77777778,0.95652174,0.90625,0.44927536,0.42105263,0.04347826,8,7,2,1,11,5,17,0.47058824,0.41176471,0.11764706,0.05882353,0.64705882,0.29411765,8.18039062870025,22,35.28596,42.31987,42.99093,NA,NA,NA,48.04211,51.41925,48.19938,66.49593,39.96781,73.21035,48.01869,46.63603,54.27459,0.2485,4.44984,77.46,100.94,86.24,NA,NA,NA,79.34,113.6,105.44,96.94,127.44,117.32,83.8849275362319,114.158260869565,102.955942028986,NA,0.42028986,0.28985507,0.28985507,NA,95.7724104256466,87.4650024414063,88.0400024414062,NA,-10.3313093514278,-3.64410362243652,-9.8911506652832,NA,4.82364838698815,4.84866485595703,4.90072708129883,NA,-1.00023678317666,0.272827472537756,-1.74375088140368,NA,-3.44909235578159,1.36413736268878,-8.71875440701842,0.16129032,0.71052632,0.46376812,0.8,0.92592593,0.90625,0.55072464,16.36734694,0.24637681,NA,0.42028986,0.33333333,88.4749253216912,NA,96.0542076373922,87.6656865658967,-9.3614896886489,NA,-9.49951382341056,-3.32522350808848,3.4174970739028,NA,3.57794031603583,3.39764868694803,-1.7130178399384,NA,-1.00023678317666,0.242094431072474,-10.0765755290494,NA,-3.44909235578159,1.0525844829238,0.16666667,0.69230769,0.46376812,0.8,0.92592593,0.90625,0.56521739,17,93.1661305147059,12.6986137838925,3,0.17647059,112.183,9,0.52941176,"2024-08-02",0
"Jose Urena",11589,"2024-07-27","@TOR",13,2024,"TEX","A",32,0,0,2.07692322928526,1,0,0,0,0,0,0,0,4.1,17,5,1,1,0,0,0,0,0,0,2,4.15384645857051,0,10.3846161464263,2,0.142857142,0,7,6,2,0,1,0,0,0.11764706,0,0.11764706,4.21914432062081,0,0.294117647058824,1.15384623849181,0.333333333333333,0.8,2.24340278749635,-0.166479558211091,4.33695304200086,51.5475562122458,53.132652091208,106.047382118443,1.166666666,0.133333333,0.466666666,0.4,0,0,2,4.15384645857051,17,43,60,0.0752820372581482,-0.201345965266228,0.276628017425537,1.65899991989136,0.175277352333069,0.849070608615875,0.847358345985413,1.48339998722076,0.481000006198883,1,1,0.127311259508133,-0.038647211436948,1,0,0.53333333,96.96875,0.33333333,87.8,0.13333333,88.125,NA,-0.218196392059326,-0.48714804649353,0.628089070320129,-0.681863725185394,-2.43574023246765,7.85111337900162,0.28125,0.78571429,0.51666667,0.55555556,1,0.87096774,0.46666667,0.64705882,0.06666667,6,5,4,0,11,4,15,0.4,0.33333333,0.26666667,0,0.73333333,0.26666667,1.9242639059079,NA,62.20992,48.12985,65.42477,45.18518,46.46744,50.33032,33.80074,46.50188,29.58642,51.10377,40.85806,57.7122,46.07607,44.5516,48.43964,0.36919,4.63088,101.42,129.74,119.2,82.2,79.94,73.2,93.08,90.6,79.36,107.76,95.36,104.28,98.8183050847458,97.1593220338983,93.0006779661017,0.2,0.33333333,0.33333333,0.13333333,97.2583312988281,96.6599975585937,87.725,88.1750030517578,-8.79878870646159,-9.47625579833984,-3.18756828308105,-9.2462682723999,6.28689448038737,3.93790092468262,5.20603332519531,4.90496826171875,0.661529175937176,-0.894995585083961,-0.493631571531296,0.635648351162672,5.5127431328098,-4.47497792541981,-2.46815785765648,7.9456043895334,0.25925926,0.72727273,0.51666667,0.42857143,1,0.87096774,0.55,16.76190476,0.2,0.03333333,0.5,0.26666667,88.3949279785156,97.7989959716797,96.7534505208333,87.3025817871094,-7.75663503011068,-6.46599006652832,-8.43522338867188,-0.85702246427536,3.87400563557943,6.22529029846191,3.58892262776693,4.11604881286621,0.769153699278831,0.00431566312909126,-0.237782072275877,-0.627136919647455,6.40961416065693,0.215783156454563,-0.792606907586257,-3.9196057477966,0.25925926,0.72727273,0.51666667,0.42857143,1,0.87096774,0.55,15,94.7715901692708,15.6741333007812,1,0.06666667,114.239,7,0.46666667,"2024-07-27",0
"Jose Urena",11589,"2024-07-20","BAL",13,2024,"TEX","H",32,0,0,3,1,0,0,0,0,0,0,0,3,15,1,1,1,1,5,1,0,0,0,4,12,15,3,0.8,0,0,1,4,1,0,0,0,0,0.26666667,0.33333333,-0.06666667,7.95728908485569,3,0.1,2,0,1,9.83314644495646,-6.83314644495646,7.51582431991895,74.4575757332906,239.034990842898,185.129973556795,0.25,0.166666666,0.166666666,0.666666666,0,0.25,0,0,31,36,67,-0.000555990729480982,-0.150512024760246,0.149956032633781,0.47299998998642,0.0491173416376114,0.562749981880188,0.545866668224335,0.683600008487701,0.420399993658066,1,1,-0.19306655228138,0.192078563392205,0,0,0.3880597,95.96153846,0.29850746,87.15,0.31343284,88.9047619,0.05970149,-0.916271984577179,0.268362611532211,0.374939382076263,-3.52412301760453,1.34181305766106,1.78542562893459,0.23404255,0.75,0.3880597,0.36363636,0.8,0.61538462,0.29850746,0.6,0.14925373,3,3,0,0,3,3,6,0.5,0.5,0,0,0.5,0.5,10.393744818756,NA,21.63655,49.54532,24.01361,NA,NA,NA,27.57468,48.09541,23.43736,26.92762,41.06229,23.33085,20,48.506,20,2.13078,7.27326,68.22,65.48,38.92,NA,NA,NA,90.96,79.52,63.38,83.76,83.18,71.8,81.210447761194,75.6041791044776,57.5122388059701,NA,0.3880597,0.29850746,0.31343284,NA,95.9076960637019,87.1950012207031,88.7809535435268,NA,-10.5446401742788,-5.09608116149902,-10.8042166573661,NA,3.96215790968675,5.2081226348877,4.82139260428292,NA,-0.875426184386015,0.308777883648872,0.414446726441383,NA,-3.36702378610006,1.54388941824436,1.97355584019706,0.22727273,0.69565217,0.3880597,0.4,0.75,0.61538462,0.34328358,17.26923077,0.31343284,NA,0.3880597,0.29850746,88.9679594494048,NA,96.1252253605769,87.379150390625,-9.72480047316778,NA,-9.56464679424579,-3.87364196777344,3.38017091296968,NA,2.97677465585562,4.10851058959961,0.414446726441383,NA,-0.875426184386015,0.308777883648872,1.97355584019706,NA,-3.36702378610006,1.54388941824436,0.24444444,0.68181818,0.3880597,0.45454545,0.73333333,0.61538462,0.32835821,6,91.4361063639323,18.1125920613607,1,0.16666667,103.964,3,0.5,"2024-07-20",0
