"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","piSL%","pivCH","pivCU","pivFA","pivSI","pivSL","piCH-X","piCU-X","piFA-X","piSI-X","piSL-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwCU","piwFA","piwSI","piwSL","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Kris Bubic",21455,"2024-09-29","@ATL",7,2024,"KCR","A",26,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,2,0,1,0,0,0,0,0.25,0,0.25,0.992229084014893,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,27.1538118692049,27.173712862954,2,0.333333333,0.666666666,0,0,0,0,0,5,12,17,0.0924639999866486,-0.0922279953956604,0.184691995382309,0.506999969482422,0.051524393260479,2.37650012969971,1.84800004959106,1.84800004959106,NA,0,1,0.0249562822282314,0.0139513529244467,1,0,0.41176471,92.14285714,0.29411765,83.8,0.29411765,84.8,NA,0.603391408920288,-0.451668828725815,0.191319733858109,8.61987727028983,-9.0333765745163,3.82639467716217,0.28571429,0.7,0.52941176,1,0.85714286,0.88888889,0.58823529,0.25,0.05882353,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,3.30020570302386,75.0627,53.00688,80,59.89095,62.72136,46.48441,80,25.022,80,36.76423,54.73781,29.77318,NA,NA,NA,61.96606,58.35112,62.8945,-0.618,3.15009,89.04,137.92,126.46,102,102,107.26,117.44,167.84,129.2,72.88,106.02,92.51,NA,NA,NA,86.52,114.983636363636,105.916363636364,0.35294118,NA,0.05882353,0.29411765,0.29411765,92.1166687011719,NA,92.1999969482422,84.1,84.7799987792969,2.40657075246175,NA,7.25080728530884,-3.7068416595459,6.97631912231445,10.9341227213542,NA,6.39560747146606,1.31640501022339,2.59789695739746,0.351268716156483,NA,0.259785860776901,-0.459094412624836,0.193666443228722,5.85447860260805,NA,25.9785860776901,-9.18188825249672,3.87332886457443,0.28571429,0.7,0.52941176,1,0.85714286,0.88888889,0.58823529,24.83333333,0.29411765,0.29411765,0.35294118,0.05882353,NA,84.6978210449219,84.0397216796875,92.0554707845052,92.1374969482422,NA,6.62761764526367,-4.60406188964844,1.78210194905599,6.70495986938477,NA,1.7918701171875,0.174261200428009,10.2039464314779,5.33416986465454,NA,0.193666443228722,-0.459094412624836,0.351268716156483,0.259785860776901,NA,3.87332886457443,-9.18188825249672,5.85447860260805,25.9785860776901,NA,0.28571429,0.7,0.52941176,1,0.85714286,0.88888889,0.58823529,3,81.916742960612,-28.9818064371745,0,0,101.265,1,0.33333333,"2024-09-29",0
"Kris Bubic",21455,"2024-09-26","@WSN",7,2024,"KCR","A",26,1,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.5648885419948,-22.5814263197472,2,0,1,0,0,0,3,27,8,10,18,0.105596005916595,-0.0463719666004181,0.151967972517014,0.49099999666214,0.0509865023195744,1.83689999580383,1.80519998073578,1.80519998073578,0.892400026321411,1,1,0.0433745160698891,0.0141114690995901,1,0,0.66666667,92.08333333,0.27777778,83.6,0.05555556,85,NA,0.962979257106781,-0.085476279258728,-0.502868592739105,8.02482714255651,-1.70952558517456,-50.2868592739105,0,0.375,0.16666667,NA,1,1,0.44444444,0.5,0,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,-0.975781951605941,44.65897,45.39998,51.53428,80,64.94679,80,20,46.19538,20,25.44462,55.76397,24.2541,NA,NA,NA,68.84535,60.22363,80,-1.04538,2.50902,82.36,65.88,48.22,87.66,167.54,170.24,90.82,-121.24,-109.26,84.5,72.85,64.46,NA,NA,NA,86.1930434782608,109.394782608696,106.791304347826,0.61111111,NA,0.05555556,0.27777778,0.05555556,92.0545432350852,NA,91.9000015258789,83.5,85.4000015258789,3.22224218195135,NA,6.47605895996094,-4.66466445922852,7.22559785842896,10.7511437155984,NA,6.4063925743103,-2.12444400787354,2.5135862827301,1.07597370073199,NA,-0.0998305231332779,-0.0881757065653801,-0.510574221611023,9.78157909756357,NA,-9.98305231332779,-1.7635141313076,-51.0574221611023,0,0.27272727,0.16666667,NA,1,1,0.61111111,21.07142857,0.05555556,0.27777778,0.61111111,0.05555556,NA,85.8339004516602,83.9434020996094,92.4943903142756,92.32080078125,NA,6.33852005004883,-5.83242416381836,2.10666760531339,5.84811019897461,NA,1.65562999248505,-3.2285961151123,9.75388613614169,5.14781999588013,NA,-0.510574221611023,-0.0881757065653801,1.07597370073199,-0.0998305231332779,NA,-51.0574221611023,-1.7635141313076,9.78157909756357,-9.98305231332779,NA,0,0.27272727,0.16666667,NA,1,1,0.61111111,2,88.6810302734375,-17.4861755371094,0,0,99.5871,1,0.5,"2024-09-26",0
"Kris Bubic",21455,"2024-09-24","@WSN",7,2024,"KCR","A",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,3,0,0,0,0,0,0,0,0,8.41372908401489,0,0.25,1,0.25,1,3.1664797782898,-3.1664797782898,7.70250499695539,0,76.8725122804045,189.77413509113,0.333333333,0,0.25,0.75,0,0,0,0,6,17,23,0.0869320034980774,-0.0746720060706139,0.161604002118111,0.49099999666214,0.0509864985942841,1.86779999732971,1.50839996337891,1.50839996337891,1.80519998073578,1,1,0.0109340464696288,0.0356084118355212,1,0,0.43478261,92.3,0.39130435,83.55555556,0.17391304,84.5,NA,0.185411795973778,0.449360191822052,-0.681163549423218,1.85411795973778,4.99289102024502,-17.0290887355804,0.53846154,0.6,0.56521739,1,1,1,0.43478261,1,0,1,2,1,2,2,0,4,0.25,0.5,0.25,0.5,0.5,0,0.980707057148,73.7207,74.22672,68.12904,80,63.54269,80,20,41.91938,20,75.5838,74.77227,80,NA,NA,NA,80,74.15473,80,-1.74803,1.45505,97.16,130.98,118.46,116.46,124.5,132.02,111.64,-48.44,-66.58,98.49,148.94,130.38,NA,NA,NA,103.78875,133.653125,123.19625,0.39130435,NA,0.04347826,0.39130435,0.17391304,92.2555541992188,NA,90.3000030517578,83.3555569118924,84.4499969482422,1.90185695224338,NA,8.2835693359375,-5.06707424587674,9.47454643249512,11.065308464898,NA,4.23281908035278,-2.53331036037869,3.48118138313293,0.187121324241161,NA,0,0.455106288194656,-0.687492337077856,2.07912582490179,NA,0,5.05673653549618,-17.1873084269464,0.4,0.69230769,0.56521739,1,1,1,0.56521739,22.10526316,0.17391304,0.39130435,0.39130435,0.04347826,NA,84.886474609375,83.7815416124132,92.708733452691,90.7685012817383,NA,8.92492294311523,-6.04526562160916,0.989745140075684,7.83627986907959,NA,2.18964743614197,-3.7917611863878,9.89851972791884,3.45481991767883,NA,-0.687492337077856,0.455106288194656,0.187121324241161,0,NA,-17.1873084269464,5.05673653549618,2.07912582490179,0,NA,0.4,0.69230769,0.56521739,1,1,1,0.56521739,4,82.5444641113281,31.3256530761719,0,0,98.114,2,0.5,"2024-09-24",0
"Kris Bubic",21455,"2024-09-22","SFG",7,2024,"KCR","H",26,0,0,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,1,0,0,0,0,3,13.5,4.5,0,3,0,0,2,1,0,0,0,0,0,0.42857143,0.14285714,0.28571429,2.54781070901297,0,0,0.5,0,1,1.6664797782898,-1.6664797782898,2.42248398140073,0,39.5834869720048,58.4200448328751,2,0,0.666666666,0.333333333,0,0,0,0,12,19,31,0.0512180030345917,-0.00453400053083897,0.0557520054280758,1.067999958992,0.104552127420902,0.328342854976654,0.424099981784821,0.527199983596802,NA,0,1,0.132656589150429,0.0233328050400841,0,0,0.35483871,92.45454545,0.38709677,83.75,0.25806452,85.375,NA,0.377031922340393,0.374466150999069,0.396189570426941,3.42756293036721,3.12055125832558,4.95236963033676,0.22222222,0.38461538,0.29032258,0.5,0.8,0.66666667,0.41935484,0.71428571,0.09677419,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,0.632335917990493,62.38405,64.67141,71.87632,80,54.67135,80,NA,NA,NA,69.52194,55.74677,73.89518,20,80,20,69.87263,64.07144,75.62778,-1.1092,2.41329,68.88,120,109.58,103,143,139.06,NA,NA,NA,78.14,104.68,89.96,NA,NA,NA,82.7767441860465,117.333023255814,106.170697674419,0.35483871,0.06451613,NA,0.32258065,0.25806452,92.4818226207386,85.6000061035156,NA,83.3799987792969,85.25,2.93934666026722,-1.6803994178772,NA,-5.15781402587891,8.23164939880371,10.4556094082919,0.791391730308533,NA,-1.69175281524658,2.59842610359192,0.380151122808456,-0.138118088245392,NA,0.557835835963488,0.398893270641565,3.45591929825869,-6.90590441226959,NA,5.57835835963488,4.98616588301957,0.1875,0.4,0.29032258,0.66666667,0.66666667,0.66666667,0.48387097,19.54166667,0.25806452,0.38709677,0.35483871,NA,NA,85.0367279052734,83.5284423828125,92.2659246271307,NA,NA,7.81486988067627,-5.73820241292318,2.16595025496049,NA,NA,1.54074347019196,-2.77313264211019,9.6206748268821,NA,NA,0.398893270641565,0.419717747718096,0.380151122808456,NA,NA,4.98616588301957,3.4976478976508,3.45591929825869,NA,NA,0.17647059,0.42857143,0.29032258,0.66666667,0.66666667,0.66666667,0.4516129,3,92.5169067382812,-1.70860926310221,0,0,99.3804,1,0.33333333,"2024-09-22",0
"Kris Bubic",21455,"2024-09-17","DET",7,2024,"KCR","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.5648885419948,-22.5814263197472,1,0,1,0,0,0,0,0,2,9,11,0.11073000729084,0,0.11073000729084,0.533999979496002,0.0522760637104511,1.4293999671936,1.86240005493164,1.86240005493164,2.35720014572144,1,1,0.077563151717186,-9.70751590336216e-05,1,0,0.54545455,93.16666667,0.27272727,84.33333333,0.18181818,85.5,NA,0.162403389811516,0.191423833370209,0.390883177518845,2.70672316352526,6.38079444567362,19.5441588759422,0.57142857,0.5,0.54545455,0.25,1,0.5,0.36363636,1,0.27272727,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.67334769321943,80,56.33468,78.90103,80,64.50191,80,80,67.01022,80,66.55059,58.91449,62.11665,NA,NA,NA,80,63.69056,80,-3.11597,-0.59686,108.22,138.3,134.86,91.02,140.94,136.54,109.64,165.04,156.4,114.66,130.94,131.09,NA,NA,NA,106.268571428571,139.72,136.801428571429,0.36363636,NA,0.18181818,0.27272727,0.18181818,93.25,NA,93,84.3666687011719,85.3999938964844,1.31098484992981,NA,8.08420276641846,-4.8390858968099,7.31024169921875,9.48401832580566,NA,4.5360860824585,-2.24931335449219,1.6634407043457,0.109259761869907,NA,0.054773960262537,0.193398639559746,0.395746439695358,2.73149404674768,NA,2.73869801312685,6.44662131865819,19.7873219847679,0.4,0.66666667,0.54545455,0,0.75,0.5,0.54545455,18.375,0.18181818,0.27272727,0.36363636,0.18181818,NA,85.2500457763672,84.2219696044922,93.1433486938477,92.8402557373047,NA,6.65983486175537,-5.790283203125,0.621816217899323,7.66820478439331,NA,0.487871021032333,-3.64956665039062,8.7589054107666,3.49566507339478,NA,0.395746439695358,0.193398639559746,0.109259761869907,0.054773960262537,NA,19.7873219847679,6.44662131865819,2.73149404674768,2.73869801312685,NA,0.4,0.66666667,0.54545455,0,0.75,0.5,0.54545455,1,90.8753967285156,-19.4043655395508,0,0,90.8754,0,0,"2024-09-17",0
"Kris Bubic",21455,"2024-09-14","@PIT",7,2024,"KCR","A",26,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,2,27.000028163224,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-72.2837445352942,-72.3367211985741,0,0,0,0,0,0,0,0,3,8,11,0.12923800945282,0,0.12923800945282,1.60000002384186,0.159441947937012,2.6686999797821,1.53279995918274,3.06559991836548,0.462799996137619,1,1,0.0490304343402386,-0.000603106265925801,1,0,0.27272727,93,0.45454545,84.2,0.27272727,86.33333333,NA,0.0334886722266674,0.288430631160736,0.210705861449242,1.11628907422225,5.76861262321472,7.02352871497472,0.5,0.6,0.54545455,0.33333333,1,0.66666667,0.45454545,1,0.18181818,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.9366894835949,48.88374,42.87323,45.76027,39.73463,56.67889,38.20142,NA,NA,NA,71.21178,75.47259,74.53185,NA,NA,NA,55.84936,67.15883,57.03513,-0.23799,3.72011,102.18,118,105.18,103.76,58.82,39.58,NA,NA,NA,99.48,119.77,105.43,NA,NA,NA,100.78875,108.01,93.03625,0.27272727,NA,NA,0.45454545,0.27272727,93.1333312988281,NA,NA,84.0400024414062,86.1999918619792,2.4212589263916,NA,NA,-5.89113464355469,7.42385419209798,9.74598948160807,NA,NA,-1.42772083282471,2.78939310709635,0.0337270088493824,NA,NA,0.291888281702995,0.212823826819658,1.12423362831275,NA,NA,5.83776563405991,7.09412756065528,0.5,0.6,0.54545455,0.33333333,1,0.66666667,0.45454545,24.44444444,0.27272727,0.45454545,0.27272727,NA,NA,86.1440022786458,83.975341796875,93.0838623046875,NA,NA,7.24339358011882,-6.58670959472656,1.69923830032349,NA,NA,1.38312005996704,-2.66459102630615,8.60375340779622,NA,NA,0.212823826819658,0.291888281702995,0.0337270088493824,NA,NA,7.09412756065528,5.83776563405991,1.12423362831275,NA,NA,0.5,0.6,0.54545455,0.33333333,1,0.66666667,0.45454545,0,NA,NA,0,NA,NA,0,NA,"2024-09-14",0
"Kris Bubic",21455,"2024-09-11","@NYY",7,2024,"KCR","A",26,0,1,0,1,0,0,0,0,0,0,1,1.1,6,1,2,0,0,1,1,0,0,0,0,0,6.75000160932579,6.75000160932579,0,0.5,0,2,1,1,0,1,1,0,0,0.16666667,-0.16666667,7.78467351869311,0,0.2,1.50000035762795,0.2,0,5.41648031473173,-5.41648031473173,6.55048688976636,0,132.806063578602,161.114724459039,2,0.25,0.5,0.25,0,0,0,0,6,9,15,-0.250335991382599,-0.319039970636368,0.0687040016055107,-0.957000017166138,-0.0993769466876984,4.0524001121521,3.4753999710083,4.35640001296997,NA,0,1,-0.0365156792104244,-0.0252590677184156,0,1,0.4,92.5,0.4,82.66666667,0.2,85,0.26666667,0.523173630237579,-0.431605756282806,0.0930127054452896,8.71956050395966,-7.19342927138011,3.10042351484299,0.25,1,0.4,0.66666667,1,0.83333333,0.2,0.33333333,0.06666667,0,1,4,0,4,1,5,0,0.2,0.8,0,0.8,0.2,7.4136438953539,52.38575,67.67076,50.56541,37.75121,68.80531,37.37945,45.54266,35.04,48.81576,43.00591,53.41841,41.79395,NA,NA,NA,42.06121,62.2436,41.50686,0.61862,5.00502,80.2,116.22,109.2,93.64,58.54,58.66,105.8,116.48,106.8,70.26,124.42,106.45,NA,NA,NA,78.812,112.514,99.729,0.26666667,NA,0.13333333,0.4,0.2,93.1500015258789,NA,91.6999969482422,82.6499989827474,84.9333292643229,4.21110725402832,NA,8.34932708740234,-5.93696721394857,9.74390983581543,11.0643739700317,NA,6.50728225708008,-2.32781251271566,2.38082695007324,0.441960651427507,NA,0.131404474377632,-0.432045325636864,0.0941409803926945,11.0490162856877,NA,6.57022371888161,-7.20075542728106,3.13803267975648,0.2,0.8,0.4,0.5,1,0.83333333,0.33333333,19.5,0.2,0.4,0.26666667,0.13333333,NA,84.951899210612,82.6761983235677,93.1662521362305,91.7098999023438,NA,9.06542332967122,-7.1758066813151,3.40203237533569,7.9442253112793,NA,0.852567354838053,-3.44659010569255,9.85662746429443,5.37746000289917,NA,0.0941409803926945,-0.432045325636864,0.441960651427507,0.131404474377632,NA,3.13803267975648,-7.20075542728106,11.0490162856877,6.57022371888161,NA,0.2,0.8,0.4,0.5,1,0.83333333,0.33333333,5,85.1315383911133,16.682466506958,0,0,95.0422,1,0.2,"2024-09-11",0
"Kris Bubic",21455,"2024-09-10","@NYY",7,2024,"KCR","A",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.5648885419948,-22.5814263197472,1,0,1,0,0,0,0,0,2,10,12,0.0139040006324649,0,0.0139040006324649,0.49099999666214,0.0509864985942841,0.184666663408279,0.32039999961853,0.32039999961853,0.193599998950958,1,1,0.0757900476455688,-0.000497624119593615,0,0,0.33333333,93.75,0.5,83.83333333,0.16666667,87,NA,0.480920821428299,0.144808739423752,0.118980832397938,12.0230205357075,2.41347899039586,5.94904161989689,0.66666667,0.5,0.58333333,0.25,0.66666667,0.42857143,0.5,0.66666667,0.33333333,0,1,0,0,1,0,1,0,1,0,0,1,0,-1.67334769321943,72.83835,63.95926,78.22396,80,63.5672,80,NA,NA,NA,31.78343,60.55533,31.12864,NA,NA,NA,59.94751,67.59008,59.33354,-0.49259,3.33821,127.62,72.86,80.2,114.22,110.76,110.42,NA,NA,NA,82.27,104.61,89.25,NA,NA,NA,94.4088888888889,102.448888888889,92.9488888888889,0.33333333,NA,NA,0.5,0.16666667,93.5250015258789,NA,NA,83.8333333333333,86.8999938964844,1.75616753101349,NA,NA,-6.75883547465007,7.76996040344238,10.2809524536133,NA,NA,-3.54696750640869,1.64044523239136,0.486394707113504,NA,NA,0.146182753145695,0.120601363480091,12.1598676778376,NA,NA,2.43637921909491,6.03006817400455,0.5,0.625,0.58333333,0,0.6,0.42857143,0.66666667,20.875,0.16666667,0.5,0.33333333,NA,NA,86.8578491210938,83.7842508951823,93.4864044189453,NA,NA,7.30605983734131,-7.61831665039062,1.07344996929169,NA,NA,0.393661975860596,-4.91713333129883,9.26978969573975,NA,NA,0.120601363480091,0.146182753145695,0.486394707113504,NA,NA,6.03006817400455,2.43637921909491,12.1598676778376,NA,NA,0.6,0.57142857,0.58333333,0.33333333,0.5,0.42857143,0.58333333,1,76.6956253051758,-30.629545211792,0,0,76.6956,0,0,"2024-09-10",0
"Kris Bubic",21455,"2024-09-08","MIN",7,2024,"KCR","H",26,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,1,1,1,0,0,0,0.33333333,0,0.33333333,2.61817353088578,0,0,0,0,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,27.1538118692049,64.7888072114456,0,0.5,0,0.5,1,0,0,0,2,7,9,0.0787640288472176,0,0.0787640288472176,0.533999979496002,0.0522760637104511,1.01180005073547,1.48720002174377,1.48720002174377,1.56200003623962,1,1,0.0782645717263222,-0.000419123122159443,1,0,0.44444444,94,0.33333333,83.33333333,0.22222222,86,NA,0.531160831451416,0.239128991961479,0.0434947088360786,13.2790207862854,7.97096639871597,2.17473544180393,0.33333333,0.33333333,0.33333333,1,1,1,0.33333333,1,0,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,2.19727153510169,64.1106,56.56689,62.55654,72.22203,56.47034,74.98669,NA,NA,NA,63.8618,59.62873,67.46289,NA,NA,NA,71.82508,60.19536,75.27934,-1.2305,2.23134,86.38,122.6,125.44,94.58,108.06,100.88,NA,NA,NA,103.46,122.39,123.3,NA,NA,NA,97.6533333333333,117.648333333333,116.183333333333,0.44444444,NA,NA,0.33333333,0.22222222,93.8249969482422,NA,NA,83.2000020345052,86,2.55009126663208,NA,NA,-6.78031158447266,8.67473697662354,10.2013034820557,NA,NA,-2.83918762207031,1.46282625198364,0.537429332733154,NA,NA,0.22420321777463,0.0439708419144154,13.4357333183289,NA,NA,7.47344059248765,2.19854209572077,0.33333333,0.33333333,0.33333333,1,1,1,0.66666667,17.5,0.22222222,0.33333333,0.44444444,NA,NA,85.7556457519531,82.9310302734375,93.5917205810547,NA,NA,8.25178527832031,-7.72185643513997,1.77738702297211,NA,NA,0.101328149437904,-4.13570022583008,9.32084274291992,NA,NA,0.0439708419144154,0.22420321777463,0.537429332733154,NA,NA,2.19854209572077,7.47344059248765,13.4357333183289,NA,NA,0.25,0.4,0.33333333,1,1,1,0.55555556,2,69.989013671875,37.969596862793,0,0,78.4297,0,0,"2024-09-08",0
"Kris Bubic",21455,"2024-09-04","CLE",7,2024,"KCR","H",26,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,3,27,0,9,3,0,0,0,0,1,0,0,0,0,0.75,0,0.75,-0.459145915985107,0,0.25,1,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-72.2835889531944,-72.3365655024484,0,1,0,0,0,0,0,0,6,13,19,0.0460959896445274,-0.0270400103181601,0.0731360018253326,0.533999979496002,0.0522760674357414,0.828750014305115,0.923399984836578,0.923399984836578,0.79339998960495,1,1,0.0340986177325249,0.0215224849508672,0,0,0.57894737,92.63636364,0.26315789,85,0.15789474,84.33333333,NA,-0.17308221757412,0.403826862573624,0.0594149753451347,-1.57347470521927,8.07653725147247,1.98049917817116,0.46153846,0.5,0.47368421,0.5,0.66666667,0.55555556,0.31578947,NA,0.21052632,0,1,0,0,1,0,1,0,1,0,0,1,0,0.412542533587109,43.57929,55.2585,29.79438,55.66156,65.93586,45.6355,NA,NA,NA,45.08534,79.85892,42.52441,NA,NA,NA,50.03569,70.41942,39.46541,0.12319,4.26188,88.2,102.84,97.64,101.7,77.22,83.12,NA,NA,NA,109.88,129.07,122.52,NA,NA,NA,103.420833333333,102.026666666667,101.351666666667,0.57894737,NA,NA,0.26315789,0.15789474,92.718184037642,NA,NA,84.7,84.3333333333333,3.38122246482156,NA,NA,-5.40458602905273,8.71102905273438,10.9064587679776,NA,NA,-1.86931781768799,2.40789127349854,-0.177152216434479,NA,NA,0.44242650270462,0.0598179250955582,-1.6104746948589,NA,NA,8.84853005409241,1.99393083651861,0.5,0.42857143,0.47368421,0.5,0.66666667,0.55555556,0.36842105,22.4,0.15789474,0.26315789,0.57894737,NA,NA,84.0267995198568,84.4342224121094,92.4362737482244,NA,NA,8.40206019083659,-6.52637176513672,2.6403545032848,NA,NA,1.06258161862691,-3.43392906188965,9.94966194846413,NA,NA,0.0598179250955582,0.44242650270462,-0.177152216434479,NA,NA,1.99393083651861,8.84853005409241,-1.6104746948589,NA,NA,0.45454545,0.5,0.47368421,0.4,0.75,0.55555556,0.42105263,1,74.0470352172852,23.2360038757324,0,0,74.047,0,0,"2024-09-04",0
