"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","CB%","CBv","CH%","CHv","wFB","wCB","wCH","wFB/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piCU%","piFA%","piSI%","pivCH","pivCU","pivFA","pivSI","piCH-X","piCU-X","piFA-X","piSI-X","piCH-Z","piCU-Z","piFA-Z","piSI-Z","piwCH","piwCU","piwFA","piwSI","piwCH/C","piwCU/C","piwFA/C","piwSI/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Kyle Hendricks",12049,"2024-09-28","CIN",17,2024,"CHC","H",34,0,0,0,1,1,1,0,0,0,0,0,7.1,26,2,0,0,0,2,0,0,0,0,2,2.45454556094714,2.45454556094714,2.45454556094714,1,0.1,0,10,10,2,1,1,0,0,0.07692308,0.07692308,0,6.05304269550928,0,0.0833333333333333,0.545454569099364,0.0909090909090909,1,3.43920706283948,-3.43920706283948,5.50103679706539,0,86.8088350486026,134.726018018687,1,0.09090909,0.454545454,0.454545454,0.1,0,0,0,28,53,81,0.476327955722809,-0.125999987125397,0.602327942848206,3.50589990615845,0.375766336917877,1.0935230255127,1.22095000743866,0.870000004768372,1.36199998855591,1,1,0.423059970140457,0.0125302685739803,0,0,0.4691358,86.73684211,0.09876543,73.625,0.43209877,80.08571429,1.74171364307404,0.461975812911987,1.51323187351227,4.58345695545799,5.77469766139984,4.32351963860648,0.24390244,0.725,0.48148148,0.7,0.93103448,0.87179487,0.49382716,0.73076923,0.0617284,12,4,6,2,13,7,22,0.54545455,0.18181818,0.27272727,0.09090909,0.59090909,0.31818182,2.31890122176701,78,44.06246,35.30086,41.79456,59.31948,37.81032,64.69112,44.58212,39.67608,51.95813,65.55513,37.57936,65.77571,50.94997,34.10362,53.29011,0.06639,4.17668,85.98,88.42,76.24,72.6,133.26,120.16,78.62,96.6,64.68,94.24,113.88,124.02,86.9908641975309,103.086172839506,97.1323456790124,0.09876543,0.37037037,0.09876543,0.43209877,86.2375030517578,86.8100016276042,73.5999984741211,80.0742885044643,-3.77338361740112,-8.2619618733724,7.35840845108032,-5.16154436383929,8.73598957061768,4.51243184407552,-4.80708312988281,5.40236293247768,0.167215950787067,1.59063888341188,0.467232257127762,1.56664269790053,2.09019938483834,5.30212961137295,5.84040321409702,4.47612199400153,0.17142857,0.7173913,0.48148148,0.66666667,0.90909091,0.87179487,0.56790123,16.10909091,0.43209877,0.09876543,0.09876543,0.37037037,80.657470703125,74.1896896362305,86.8200759887695,87.4016357421875,-4.57622244698661,8.11308765411377,-3.18895244598389,-7.70358276367188,3.93218078613281,-6.35206604003906,7.69305515289307,3.14013799031576,1.56664269790053,0.467232257127762,0.167215950787067,1.59063888341188,4.47612199400153,5.84040321409702,2.09019938483834,5.30212961137295,0.22222222,0.68888889,0.48148148,0.625,0.93548387,0.87179487,0.55555556,22,89.375898881392,13.9694921320135,1,0.04545455,103.046,6,0.27272727,"2024-09-28",0
"Kyle Hendricks",12049,"2024-09-21","WSN",17,2024,"CHC","H",34,0,1,6.75000040233138,1,1,0,0,0,0,0,0,5.1,24,9,4,4,0,1,0,0,0,0,2,3.37500020116569,1.68750010058284,15.1875009052456,2,0,1,9,9,2,1,0,1,1,0.08333333,0.04166667,0.04166667,5.56227074845706,0,0.391304347826087,1.87500011175872,0.428571428571429,0.6,2.97897976711392,3.77102063521745,5.53049410469543,168.564460881188,75.4371109496209,135.437875172749,1,0.1,0.45,0.45,0.111111111,0,0,0,30,61,91,-0.04666393622756,-0.431524008512497,0.384860068559647,-0.330100059509277,-0.0353804975748062,1.24019193649292,0.900266647338867,0.870000004768372,1.39320003986359,1,1,-0.0200459025800228,-0.0175804799616334,0,0,0.42857143,86.28205128,0.10989011,72.6,0.46153846,80,-1.48413753509521,0.54875248670578,-0.0798676908016205,-3.8054808592185,5.4875248670578,-0.190161168575287,0.33898305,0.71875,0.47252747,0.75,0.95652174,0.86046512,0.35164835,0.70833333,0.06593407,9,7,5,2,16,3,21,0.42857143,0.33333333,0.23809524,0.0952381,0.76190476,0.14285714,1.9640254419536,42,58.22448,32.57963,65.54374,80,39.24779,80,31.52922,39.88709,46.6333,43.87837,40.58435,49.39818,52.12837,33.80504,65.34235,-0.00682,4.06686,84.64,112.76,97.4,83.58,132.52,121.58,81.34,121.86,77.78,87.92,90.34,78.74,85.1338461538462,109.132967032967,91.9439560439561,0.12087912,0.30769231,0.10989011,0.46153846,86.4909113103693,86.2035696847098,72.6700012207031,79.971429734003,-3.64485862038352,-7.62227412632534,7.17820281982422,-6.73893810453869,7.96667965975675,4.17540986197335,-5.35006408691406,5.08582923525856,-0.132680092006922,-1.37984158098698,0.555361546576023,-0.0739664025604725,-1.20618265460838,-4.92800564638206,5.55361546576023,-0.176110482286839,0.2826087,0.66666667,0.47252747,0.69230769,0.93333333,0.86046512,0.49450549,17.62121212,0.46153846,0.10989011,0.12087912,0.30769231,80.1902901785714,72.879248046875,86.7150213068182,86.4318150111607,-6.28367396763393,7.95960540771484,-3.12403280084783,-7.16414315359933,3.72637576148623,-6.90423583984375,7.06374983354048,3.02862930297852,-0.0739664025604725,0.555361546576023,-0.132680092006922,-1.37984158098698,-0.176110482286839,5.55361546576023,-1.20618265460838,-4.92800564638206,0.33333333,0.62790698,0.47252747,0.6875,0.96296296,0.86046512,0.47252747,21,87.827734375,14.9584228515625,1,0.04761905,108.769,7,0.33333333,"2024-09-21",0
"Kyle Hendricks",12049,"2024-09-15","@COL",17,2024,"CHC","A",34,1,0,1.5,1,1,1,0,0,0,0,0,6,23,2,1,1,1,3,0,0,0,0,7,10.5,4.5,3,2.33333333,0,0,6,6,1,0,0,0,0,0.30434783,0.13043478,0.17391304,3.92377066429841,1.5,0.1,0.833333333333333,0.0833333333333333,1,4.49981311162313,-2.99981311162313,3.84515485117833,37.4587668519918,113.01527581493,94.7104326072158,1,0.076923076,0.461538461,0.461538461,0,0.166666666,3,4.5,31,54,85,0.321987956762314,-0.245015993714333,0.567003965377808,2.77400016784668,0.241427332162857,1.19181668758392,1.14673328399658,0.870000004768372,1.64279997348785,1,1,0.276555985212326,-0.00639031282603414,0,0,0.47058824,87.125,0.12941176,73.63636364,0.4,80.55882353,1.78707993030548,0.285691440105438,-0.503093361854553,4.4676998257637,2.59719491004944,-1.47968635839574,0.29166667,0.67567568,0.45882353,0.64285714,0.68,0.66666667,0.43529412,0.56521739,0.15294118,4,6,3,1,8,4,13,0.30769231,0.46153846,0.23076923,0.07692308,0.61538462,0.30769231,3.60739981246189,64,43.33253,28.08403,45.92933,54.43131,35.59368,55.57129,47.518,41.38454,67.39221,65.33715,46.16255,69.78205,47.30657,32.04712,58.18962,0.29274,4.5162,85.28,91.54,82.54,83.56,99.14,89.32,91.18,121.26,90.8,89.9,122.1,120.4,87.4435714285714,106.56380952381,95.367619047619,0.22352941,0.24705882,0.12941176,0.4,87.0631553248355,87.0857166108631,73.4636341441761,80.5411735983456,-2.64070229781301,-6.03227197556269,6.61645369096236,-4.66541335161994,6.04499495656867,3.76334926060268,-4.55201270363548,4.08983477424173,1.10178496688604,0.700495295226574,0.288357362151146,-0.502704203128815,5.79886824676865,3.3356918820313,2.62143056501042,-1.47854177390828,0.26829268,0.63636364,0.45882353,0.63636364,0.67857143,0.66666667,0.51764706,16.81967213,0.4,0.12941176,0.22352941,0.24705882,80.7780905330882,73.69287109375,87.3261590254934,87.3282935732887,-4.4726593915154,7.19441916725852,-2.28138230976306,-5.84677342006138,3.68676062191234,-4.98610895330256,5.9169817472759,3.51681300571987,-0.502704203128815,0.288357362151146,1.10178496688604,0.700495295226574,-1.47854177390828,2.62143056501042,5.79886824676865,3.3356918820313,0.3,0.6,0.45882353,0.66666667,0.66666667,0.66666667,0.52941176,13,87.5249399038462,13.1158001239483,2,0.15384615,104.108,5,0.38461538,"2024-09-15",0
"Kyle Hendricks",12049,"2024-09-09","@LAD",17,2024,"CHC","A",34,0,0,4.15384645857051,1,1,0,0,0,0,0,0,4.1,21,4,2,2,0,4,0,0,0,0,2,4.15384645857051,8.30769291714103,8.30769291714103,0.5,0.142857142,0,7,4,4,1,1,0,0,0.0952381,0.19047619,-0.0952381,7.26284472674386,0,0.235294117647059,1.8461539815869,0.266666666666667,0.75,5.01263375987669,-0.858787301306177,6.40833392954637,103.73197735371,125.686525387398,156.651509741423,1.75,0.266666666,0.466666666,0.266666666,0.25,0,4,8.30769291714103,36,54,90,-0.0222799833863974,-0.293540000915527,0.271260023117065,-0.146000042557716,-0.0154497334733605,0.92427271604538,0.810800015926361,0.821999967098236,3.57200002670288,1,1,0.0443945191800594,-0.0684999406640184,0,0,0.34444444,88,0.12222222,74.90909091,0.53333333,81.625,-0.139045834541321,-1.09081196784973,1.25815796852112,-0.448534950133293,-9.91647243499756,2.621162434419,0.33928571,0.70588235,0.47777778,0.73684211,0.95833333,0.86046512,0.37777778,0.76190476,0.06666667,7,5,3,3,8,4,15,0.46666667,0.33333333,0.2,0.2,0.53333333,0.26666667,5.93804711478313,46,56.63777,33.45224,60.31784,64.24847,41.71846,74.63664,24.55103,33.58859,34.34002,26.12353,36.0635,31.61443,42.84436,33.07051,50.94289,0.56996,4.93203,85.46,121.6,107.6,79.04,134.6,94.04,77.62,76.16,42.76,87.68,64.48,58.8,84.5457777777778,104.552444444444,87.708,0.08888889,0.25555556,0.12222222,0.53333333,88.2375030517578,87.9043499490489,74.9090909090909,81.6000010172526,-3.77245688438416,-8.30880339249321,6.84031815962358,-5.82100995381673,7.68231391906738,4.32907204006029,-5.28715203025124,4.9940865834554,-0.349021486938,0.235930301249027,-1.1077052205801,1.24976655095816,-4.362768586725,1.02578391847403,-10.0700474598191,2.60368031449616,0.32653061,0.65853659,0.47777778,0.75,0.92592593,0.86046512,0.45555556,17.17391304,0.53333333,0.12222222,0.08888889,0.25555556,81.4896545410156,74.7873979048295,88.142951965332,87.8222921620245,-5.11852677663167,7.98660070245916,-2.92397618293762,-7.73552139945652,3.88143889109294,-6.58281707763672,7.01960611343384,3.35544884723166,1.24976655095816,-1.1077052205801,-0.349021486938,0.235930301249027,2.60368031449616,-10.0700474598191,-4.362768586725,1.02578391847403,0.32653061,0.65853659,0.47777778,0.75,0.92592593,0.86046512,0.45555556,15,85.7457275390625,11.9484232584635,0,0,99.8495,6,0.4,"2024-09-09",0
"Kyle Hendricks",12049,"2024-09-03","PIT",17,2024,"CHC","H",34,0,1,3.6,1,1,0,0,0,0,0,0,5,20,5,2,2,0,1,0,0,0,0,5,9,1.8,9,5,0.166666666,0,6,3,5,1,1,0,0,0.25,0.05,0.2,3.31099158401489,0,0.263157894736842,1.2,0.357142857142857,0.66666667,1.7664797782898,1.8335202217102,2.67368482202292,89.9010404447804,45.4775334300193,66.4010116819611,2,0.357142857,0.428571428,0.214285714,0.333333333,0,0,0,32,57,89,-0.0179439876228571,-0.296083986759186,0.278139978647232,0.344900012016296,0.0369667671620846,1.05547273159027,0.822799980640411,0.870000004768372,0.626400053501129,1,1,0.0996274575591087,-0.116628358753232,0,0,0.57303371,87.70588235,0.15730337,74.57142857,0.26966292,81.45833333,0.625761210918427,0.662262499332428,-0.549272775650024,1.22698276650672,4.73044642380306,-2.28863656520844,0.31578947,0.5625,0.40449438,0.66666667,0.88888889,0.77777778,0.35955056,0.65,0.08988764,7,4,3,3,7,4,14,0.5,0.28571429,0.21428571,0.21428571,0.5,0.28571429,3.41179874107502,57,49.28829,32.50234,50.38919,65.77157,42.38496,68.70257,24.72209,44.62207,20,43.70282,34.12902,53.43865,41.02008,32.54667,46.62666,0.6833,5.10204,90.4,92.9,77.26,76.6,115.08,96.06,86.16,115.76,77.9,99.74,97.38,92.82,90.6822471910112,102.88,85.9485393258427,0.21348315,0.35955056,0.15730337,0.26966292,87.6210552014803,87.640625,74.4571446010045,81.3708343505859,-2.94335495798211,-8.10150051116943,8.05296325683594,-4.64049466451009,8.1332469739412,4.29808282852173,-5.21782629830497,5.59258524576823,0.664748042821884,-0.0473567359149456,0.668406303972006,-0.563133422285318,3.49867390958886,-0.147989799734205,4.77433074265718,-2.34638925952216,0.28888889,0.52272727,0.40449438,0.53846154,0.91304348,0.77777778,0.49438202,17.32352941,0.26966292,0.15730337,0.21348315,0.35955056,81.7801564534505,74.8751743861607,88.0452752364309,88.0677108764648,-4.22217432657878,8.53291157313756,-2.43118567215769,-7.76531362533569,4.20717589060466,-6.69417408534459,7.3252780311986,3.12404131889343,-0.563133422285318,0.668406303972006,0.664748042821884,-0.0473567359149456,-2.34638925952216,4.77433074265718,3.49867390958886,-0.147989799734205,0.26666667,0.54545455,0.40449438,0.5,0.91666667,0.77777778,0.49438202,14,84.2294049944196,4.63477161952427,0,0,104.937,5,0.35714286,"2024-09-03",0
"Kyle Hendricks",12049,"2024-08-28","@PIT",17,2024,"CHC","A",34,0,0,32.4000123596239,1,1,0,0,0,0,0,0,1.2,16,8,6,6,1,3,0,0,0,0,2,10.8000041198746,16.2000061798119,43.2000164794985,0.66666667,0,0,2,5,4,1,0,0,0,0.125,0.1875,-0.0625,7.34346345901489,5.40000205993731,0.615384615384615,6.60000251770116,0.7,0.52083333,13.9664838981644,18.4335284614594,10.702507871722,809.109672653869,346.926582945729,260.423330300036,0.4,0.363636363,0.181818181,0.454545454,0.2,0.2,3,16.2000061798119,32,38,70,-0.539219975471497,-0.687817990779877,0.148598000407219,-5.74599981307983,-0.5725958943367,1.13731253147125,0.945000052452087,0.920000016689301,1.4728000164032,1,1,-0.495393127202988,0.0212754501789336,0,0,0.34285714,87.875,0.22857143,74.625,0.42857143,81.33333333,-4.01640224456787,-0.879640221595764,-0.324145525693893,-16.7350093523661,-5.49775138497353,-1.08048508564631,0.30612245,0.71428571,0.42857143,0.66666667,0.66666667,0.66666667,0.3,0.5625,0.14285714,3,2,6,3,3,5,11,0.27272727,0.18181818,0.54545455,0.27272727,0.27272727,0.45454545,11.1970691183651,6,64.59566,33.2447,70.48655,38.65075,42.67329,49.69286,20,45.3678,20,49.81568,37.18239,49.96718,49.4824,34.20622,57.4868,0.15757,4.31345,79.88,137.24,125.76,86.5,93.44,67.96,57.46,95.58,73.02,83.1,108.94,104.16,81.032,116.762285714286,103.363428571429,0.05714286,0.28571429,0.22857143,0.42857143,88.1750030517578,87.7549987792969,74.46875,81.2899983723958,-3.511634349823,-7.77589645385742,7.76246929168701,-7.1767344156901,8.71130466461182,4.41355934143066,-6.03757762908936,5.01546834309896,-0.786498267203569,-3.30466001853347,-0.914493467658758,-0.332759086042643,-19.6624566800892,-16.5233000926673,-5.71558417286724,-1.10919695347548,0.21621622,0.66666667,0.42857143,0.75,0.63636364,0.66666667,0.47142857,18.11111111,0.42857143,0.22857143,0.05714286,0.28571429,81.1806070963542,74.3611068725586,88.0833740234375,87.6577575683594,-6.55579783121745,8.8782958984375,-2.82068252563477,-7.23955764770508,3.6405756632487,-7.75911331176758,7.71057987213135,3.29084968566895,-0.332759086042643,-0.914493467658758,-0.786498267203569,-3.30466001853347,-1.10919695347548,-5.71558417286724,-19.6624566800892,-16.5233000926673,0.17647059,0.66666667,0.42857143,0.66666667,0.66666667,0.66666667,0.51428571,11,88.1516612659801,21.6205388849432,4,0.36363636,112.698,4,0.36363636,"2024-08-28",0
"Kyle Hendricks",12049,"2024-08-23","@MIA",17,2024,"CHC","A",34,0,0,5.78571507395541,1,1,0,0,0,0,0,0,4.2,22,7,3,3,0,2,0,0,0,0,0,0,3.85714338263694,13.5000018392293,0,0,0,8,5,6,1,0,1,0,0,0.09090909,-0.09090909,7.04827452713107,0,0.35,1.92857169131847,0.35,0.66666667,4.45219423916877,1.33352083478663,6.0722034665438,144.4838346849,111.838664422071,148.528673880397,1.6,0.315789473,0.421052631,0.263157894,0.2,0,3,5.78571507395541,30,47,77,-0.00655996892601252,-0.466079980134964,0.459520012140274,-0.00799992680549622,-0.000796018168330193,1.2058333158493,1.07560002803802,0.870000004768372,3.03200006484985,1,1,-0.0636146888136864,0.058174493357325,0,0,0.51948052,87.55,0.15584416,74.58333333,0.32467532,80.56,-0.151584833860397,-0.407559782266617,-0.842408418655396,-0.378962084650993,-3.39633151888847,-3.36963367462158,0.25,0.62068966,0.38961039,0.91666667,0.94444444,0.93333333,0.37662338,0.63636364,0.02597403,11,5,4,3,10,7,20,0.55,0.25,0.2,0.15,0.5,0.35,6.48377337765985,41,51.74258,38.23187,53.40462,72.12908,45.33862,80,20,46.61306,20,48.96802,42.25177,61.06151,48.8544,38.64463,59.6777,0.19658,4.37196,83.16,101.98,91.26,81.86,131.82,100.4,73.64,25.4,21.5,86.86,101.14,91.06,84.3644155844156,103.243116883117,89.8703896103896,0.03896104,0.48051948,0.15584416,0.32467532,87.5999959309896,87.5243216849662,74.6499989827474,80.5039990234375,-3.50251261393229,-8.41079794394003,8.33632024129232,-6.8110546875,9.78567504882812,4.50975490260769,-6.68310546875,5.52077880859375,-0.0590580143034458,-0.0564923770725727,-0.415296904742718,-0.858170438557863,-1.96860047678153,-0.152682100196142,-3.46080753952265,-3.43268175423145,0.18421053,0.58974359,0.38961039,0.85714286,0.95652174,0.93333333,0.50649351,18.2037037,0.32467532,0.15584416,0.03896104,0.48051948,80.54865234375,74.6969146728516,87.6728312174479,87.567455394848,-6.11076232910156,9.42361323038737,-2.68322658538818,-7.71998225031672,3.76121520996094,-8.63823827107747,8.54947344462077,3.05990064466322,-0.858170438557863,-0.415296904742718,-0.0590580143034458,-0.0564923770725727,-3.43268175423145,-3.46080753952265,-1.96860047678153,-0.152682100196142,0.18918919,0.575,0.38961039,0.85714286,0.95652174,0.93333333,0.51948052,20,84.3955784847862,14.1440413625617,2,0.1,107.673,7,0.35,"2024-08-23",0
"Kyle Hendricks",12049,"2024-08-16","TOR",17,2024,"CHC","H",34,0,0,1.8,1,1,0,0,0,0,0,0,5,21,5,2,1,1,0,0,0,0,0,2,3.6,0,9,2,0.153846153,0,13,3,3,1,2,0,0,0.0952381,0,0.0952381,3.03063611742558,1.8,0.238095238095238,1,0.222222222222222,0.83333333,4.96647977828979,-3.1664797782898,3.27368482202291,44.9505202223902,124.546109880646,80.9004458394007,4.333333333,0.157894736,0.684210526,0.157894736,0.333333333,0.333333333,4,7.2,27,55,82,0.012132016941905,-0.380339950323105,0.392471969127655,0.344899952411652,0.0369667708873749,1.07123816013336,1.01287996768951,0.870000004768372,1.20759999752045,1,1,0.0611645542085171,-0.0498393257080736,0,0,0.59756098,87.32653061,0.07317073,74,0.32926829,80.88888889,-0.465734630823135,0.0241654850542545,-0.077530100941658,-0.950478838414562,0.402758084237576,-0.287148522006141,0.27906977,0.71794872,0.48780488,0.75,0.96428571,0.9,0.47560976,0.66666667,0.04878049,8,9,2,5,7,7,19,0.42105263,0.47368421,0.10526316,0.26315789,0.36842105,0.36842105,4.54771955870336,50,53.20152,33.32523,56.09094,66.96183,41.01295,71.82308,50.76423,47.86275,80,58.98779,43.49942,70.82534,57.75,36.99606,74.71392,-0.35607,3.54299,82,114,103.6,90.48,129.78,93.22,67.4,125.7,115.14,90.8,104.72,100.58,85.5960975609756,111.656097560976,102.456341463415,0.09756098,0.5,0.07317073,0.32926829,87.3499984741211,87.2317073170732,74.0833333333333,80.8333333333333,-3.3222804069519,-7.81495480421113,7.89345423380534,-6.11164742928964,7.89654016494751,3.93885319407393,-6.08234278361003,5.89608029966001,0.142857048660517,-0.601034361869097,0.0233739577233791,0.995415069162846,1.78571310825646,-1.46593746797341,0.389565962056319,3.68672247838091,0.24324324,0.68888889,0.48780488,0.77777778,0.93548387,0.9,0.54878049,18.16393443,0.32926829,0.07317073,0.09756098,0.5,80.8933195891204,74.1509653727214,87.4157638549805,87.297333508003,-5.68468390570747,8.78627967834473,-2.85615491867065,-7.41184885908918,4.74352688259549,-7.60697809855143,7.07913112640381,3.08328358719989,0.995415069162846,0.0233739577233791,0.142857048660517,-0.601034361869097,3.68672247838091,0.389565962056319,1.78571310825646,-1.46593746797341,0.24324324,0.68888889,0.48780488,0.77777778,0.93548387,0.9,0.54878049,19,83.4544677734375,0.0868804078353079,1,0.05263158,102.891,7,0.36842105,"2024-08-16",0
"Kyle Hendricks",12049,"2024-08-05","MIN",17,2024,"CHC","H",34,0,1,3,1,1,1,0,0,0,0,0,6,23,5,2,2,1,1,0,0,0,0,5,7.5,1.5,7.5,5,0,0,7,8,2,2,0,0,0,0.2173913,0.04347826,0.17391304,3.89800318052767,1.5,0.227272727272727,1,0.25,0.86956522,4.1664797782898,-1.1664797782898,4.01582431991895,74.9175337039837,104.77896576799,98.8347838150322,0.875,0.117647058,0.411764705,0.470588235,0.25,0.125,0,0,29,64,93,0.0255320202559233,-0.294227987527847,0.319759994745255,0.813899993896484,0.0872347205877304,0.812366664409637,0.869533360004425,0.870000004768372,0.560800015926361,1,1,0.0919231921434402,-0.0604940095163098,0,0,0.43010753,87.425,0.12903226,74.16666667,0.44086022,81.17073171,0.832395553588867,-0.32798820734024,-0.702506363391876,2.08098888397217,-2.73323506116867,-1.71343015461433,0.375,0.56756757,0.4516129,0.71428571,0.9047619,0.80952381,0.39784946,0.7826087,0.08602151,12,4,1,3,7,7,17,0.70588235,0.23529412,0.05882353,0.17647059,0.41176471,0.41176471,3.09549281104264,57,51.70654,33.15742,66.2477,63.51197,39.65182,70.8782,53.29388,38.68797,70.72781,54.98159,38.97288,61.62759,52.56911,33.45531,71.14412,-0.0342,4.02579,86.64,114.08,96.26,93.48,126.14,93.56,70.08,117.6,91.98,85.4,116.92,96.74,85.2534782608696,116.830652173913,95.6284782608696,0.10752688,0.32258065,0.12903226,0.44086022,87.7200012207031,87.186669921875,74.2250010172526,81.0682938738567,-4.4887767791748,-7.93402252197266,7.68466949462891,-7.79092556092797,8.51896743774414,4.39515991210938,-5.49266179402669,5.29063192227992,-0.217132769525051,1.05451614409685,-0.330410625785589,-0.708271022886038,-2.17132769525051,3.51505381365617,-2.75342188154658,-1.72749029972204,0.34693878,0.56818182,0.4516129,0.70588235,0.88,0.80952381,0.47311828,19.35294118,0.44086022,0.12903226,0.10752688,0.32258065,81.5139993807165,74.6752421061198,88.1639587402344,87.6376220703125,-7.41252917778201,8.43248494466146,-4.01922187805176,-7.44778849283854,3.95361402558117,-7.02035013834635,7.48139495849609,3.39489135742188,-0.708271022886038,-0.330410625785589,-0.217132769525051,1.05451614409685,-1.72749029972204,-2.75342188154658,-2.17132769525051,3.51505381365617,0.35416667,0.55555556,0.4516129,0.70588235,0.88,0.80952381,0.48387097,17,85.3539033777573,21.8034380744485,1,0.05882353,105.888,5,0.29411765,"2024-08-05",0
"Kyle Hendricks",12049,"2024-07-31","@CIN",17,2024,"CHC","A",34,1,0,5.4,1,1,0,0,0,0,0,0,5,19,4,3,3,1,2,0,0,0,0,4,7.2,3.6,7.2,2,0,0,7,4,2,0,0,0,0,0.21052632,0.10526316,0.10526316,4.40245484423799,1.8,0.235294117647059,1.2,0.25,0.65217391,5.3664797782898,0.0335202217102051,3.97608650326729,134.851560667171,134.429681936975,97.8744907215302,1.75,0.153846153,0.538461538,0.307692307,0,0.25,9,16.2,29,44,73,0.0585699789226055,-0.216830000281334,0.27539998292923,0.365999937057495,0.0346099212765694,0.669449985027313,0.552999973297119,0.870000004768372,0.354999989271164,1,1,0.112325929105282,-0.0248362282574793,0,0,0.61643836,88.02222222,0.08219178,75.33333333,0.30136986,81.22727273,0.485904663801193,0.00599458441138268,-0.556280076503754,1.07978814178043,0.0999097401897113,-2.52854580228979,0.26086957,0.77777778,0.45205479,0.75,0.80952381,0.78787879,0.36986301,0.73684211,0.09589041,3,6,4,3,7,3,13,0.23076923,0.46153846,0.30769231,0.23076923,0.53846154,0.23076923,5.31329116626147,47,49.99822,34.02849,59.93857,48.43137,43.96541,44.01201,20,36.1687,20,38.46535,31.93078,42.24524,34.27218,30.11253,41.18512,1.10252,5.73087,79.62,104.96,87.08,80.36,108.42,88.08,73.18,89.54,64.8,84.64,83.1,65.56,80.7345205479452,92.9158904109589,73.761095890411,0.17808219,0.43835616,0.08219178,0.30136986,88.453848031851,87.78125,75.2166646321615,81.2090897993608,-4.12687477698693,-7.71656608581543,8.21136156717936,-5.89885711669922,8.96625694861779,4.56940650939941,-5.83484840393066,6.12521154230291,-0.282397467643023,0.768709141761065,0.00529647246003151,-0.547638546675444,-2.17228821263863,2.40221606800333,0.0882745410005251,-2.48926612125202,0.22222222,0.67567568,0.45205479,0.625,0.84,0.78787879,0.50684932,17.09433962,0.30136986,0.08219178,0.17808219,0.43835616,81.2428144975142,75.2598826090495,88.4900184044471,87.8248519897461,-5.57510202581232,8.84725824991862,-3.84608459472656,-7.52246141433716,4.84162313287908,-7.52371470133464,8.0108401958759,3.48818874359131,-0.547638546675444,0.00529647246003151,-0.282397467643023,0.768709141761065,-2.48926612125202,0.0882745410005251,-2.17228821263863,2.40221606800333,0.22222222,0.67567568,0.45205479,0.625,0.84,0.78787879,0.50684932,13,82.5070612980769,4.46028254582332,1,0.07692308,107.397,3,0.23076923,"2024-07-31",0
