"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Michel Otanez",22533,"2024-09-26","TEX",10,2024,"OAK","H",26,0,0,0,1,0,0,0,0,0,1,0,0.2,3,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,0,2,0,0,0,0,0,0,0.33333333,-0.33333333,14.4338401827424,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,12.202514422274,0,195.647666618839,301.723432731227,0,0,0,1,0,0,0,0,5,6,11,0.0588880032300949,-0.0306439995765686,0.0895320028066635,0.24099999666214,0.0264254380017519,1.55306673049927,2.13480019569397,2.13480019569397,2.02480006217957,1,1,0.018036151304841,0.0198810882275286,0,0,0.63636364,99.42857143,0.36363636,86.75,NA,-0.090029165148735,0.275749564170837,-1.28613093069621,6.89373910427094,0.25,1,0.45454545,0.5,0.66666667,0.6,0.27272727,0.66666667,0.18181818,0,1,1,1,1,0,2,0,0.5,0.5,0.5,0.5,0,5.60837313779773,20,71.22928,20,NA,NA,NA,33.95009,51.72943,33.8482,20,65.36464,20,2.23146,7.42428,120.98,-3.05999999999999,19.68,NA,NA,NA,104.42,65.6,82.92,114.958181818182,21.9072727272727,42.6763636363636,0.63636364,NA,0.36363636,99.4857177734375,NA,86.6500015258789,-6.97371074131557,NA,0.0548035316169262,9.98446001325335,NA,1.66626501083374,-0.0953217372298241,NA,0.278855383396149,-1.3617391032832,NA,6.97138458490372,0.2,0.66666667,0.45454545,0,0.75,0.6,0.54545455,18.25,0.63636364,NA,0.36363636,99.9061104910714,NA,87.0479278564453,-5.64902550833566,NA,1.54991722106934,8.61820547921317,NA,0.143917262554169,-0.0953217372298241,NA,0.278855383396149,-1.3617391032832,NA,6.97138458490372,0.16666667,0.8,0.45454545,0,0.75,0.6,0.45454545,2,76.6928863525391,50.9866027832031,0,0,77.5699,0,0,"2024-09-26",0
"Michel Otanez",22533,"2024-09-22","NYY",10,2024,"OAK","H",26,0,0,27.000028163224,1,0,0,0,0,0,0,0,0.1,3,1,1,1,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0.5,6.00000625849423,0.5,0.5,12.1664891660311,14.8335389971929,16.7025191161447,697.004703275652,311.609250951066,413.672612664399,1,0,0.5,0.5,0,0,0,0,6,5,11,-0.139239996671677,-0.154872000217438,0.015632014721632,-1.06400001049042,-0.116666667163372,1.07679998874664,0.334800004959106,0.669600009918213,0.801200032234192,1,1,-0.121532656252384,-0.00777640590106832,0,1,0.81818182,98.88888889,0.18181818,87,NA,-0.763465285301208,-0.096498891711235,-8.48294761445787,-4.82494458556175,0.25,0.66666667,0.36363636,1,1,1,0.27272727,0.33333333,0,0,2,0,1,0,1,2,0,1,0,0.5,0,0.5,6.04024784966459,54.23962,72.40445,34.82306,51.79485,65.77632,34.02816,20,45.91848,20,40.31365,64.96148,20,0.72719,5.16788,123.64,59.88,85.82,118.34,74.64,97.48,100.96,12.18,28.38,118.552727272727,53.8909090909091,77.4963636363636,0.63636364,0.18181818,0.18181818,98.8428606305804,98.25,86.6999969482422,-7.35700334821429,-9.31811141967773,-0.73314243555069,9.85653904506138,7.30622577667236,1.47046113014221,0.130361650139093,-0.904728248715401,-0.0984223820269108,1.86230928770133,-45.23641243577,-4.92111910134554,0,0.66666667,0.36363636,NA,1,1,0.54545455,21.75,0.63636364,0.18181818,0.18181818,99.1156267438616,98.5245971679688,86.9568023681641,-6.26250130789621,-8.46761512756348,0.79985648393631,8.52954864501953,5.94368982315063,-0.883929967880249,0.130361650139093,-0.904728248715401,-0.0984223820269108,1.86230928770133,-45.23641243577,-4.92111910134554,0,0.8,0.36363636,NA,1,1,0.45454545,2,73.2761306762695,23.8207530975342,0,0,105.598,1,0.5,"2024-09-22",0
"Michel Otanez",22533,"2024-09-20","NYY",10,2024,"OAK","H",26,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,2,0,0,0,0,0,0,0.25,0.25,0,5.04972908401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,4.1664797782898,0,105.455296369917,101.806421637006,2,0,1,0,0,0,0,0,8,10,18,0.0719919875264168,-0.0182639807462692,0.090255968272686,0.453000009059906,0.0496710538864136,1.05159997940063,1.3400000333786,1.3400000333786,1.53159999847412,1,1,0.0473368056118488,0.0211226741681422,1,0,0.55555556,96.8,0.44444444,83.75,NA,0.676385700702667,-0.299828797578812,6.76385700702667,-3.74785996973515,0.11111111,0.77777778,0.44444444,1,0.85714286,0.875,0.5,0.5,0.05555556,1,0,1,0,2,0,2,0.5,0,0.5,0,1,0,3.01250402740607,41.49852,54.79996,33.17027,80,80,80,20,52.68599,20,37.25574,58.95642,20,0.91716,5.45283,106.98,79.5,90.36,154.56,202.1,227.14,119.5,15.54,32.12,117.831111111111,64.6955555555556,79.6733333333333,0.44444444,0.11111111,0.44444444,96.8499984741211,96.4499969482422,83.7624969482422,-5.18582010269165,-10.1713075637817,1.49430072307587,9.65364551544189,6.93358039855957,3.80010867118835,0.41929953917861,0.265560895204544,-0.308156795799732,5.24124423973262,13.2780447602272,-3.85195994749665,0.1,0.875,0.44444444,1,0.85714286,0.875,0.44444444,19.21428571,0.44444444,0.11111111,0.44444444,97.0693359375,96.6686477661133,83.9799499511719,-4.10387992858887,-9.35118961334229,2.61799192428589,8.1934289932251,5.50284957885742,2.23819065093994,0.41929953917861,0.265560895204544,-0.308156795799732,5.24124423973262,13.2780447602272,-3.85195994749665,0.1,0.875,0.44444444,1,0.85714286,0.875,0.44444444,2,80.3967132568359,-15.1467351913452,0,0,86.3323,0,0,"2024-09-20",0
"Michel Otanez",22533,"2024-09-18","@CHC",10,2024,"OAK","A",26,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-23.3907740466029,-22.5814263197472,1,0,1,0,0,0,0,0,4,10,14,0.0830560028553009,0,0.0830560028553009,0.468999981880188,0.0502679497003555,1.11293339729309,1.64840006828308,1.64840006828308,1.74039995670319,1,1,0.0749779567122459,-0.00034994837202347,1,0,0.57142857,97.25,0.42857143,85.16666667,NA,0.567032873630524,0.177677512168884,7.08791092038155,2.9612918694814,0.57142857,0.57142857,0.57142857,0.25,0.75,0.5,0.5,0.66666667,0.28571429,1,0,0,0,0,1,1,1,0,0,0,0,1,-1.54132653314999,70.88961,54.21467,75.94062,20,61.70127,20,56.26975,52.11166,58.59289,57.53591,54.59071,57.37158,-0.34277,3.56294,131.74,118.34,142.1,111.18,-0.0600000000000023,23.84,130.54,112.48,122.18,128.288571428571,98.9142857142857,116.668571428571,0.42857143,0.14285714,0.42857143,97.4500020345052,96.5,85.0833333333333,-5.87242444356283,-9.0631160736084,1.129802942276,8.28323936462402,6.13366985321045,1.36215957005819,0.571639824658632,0.00184798240661621,0.179690979421139,9.5273304109772,0.0923991203308105,2.99484965701898,0.57142857,0.57142857,0.57142857,0.25,0.75,0.5,0.5,19.36363636,0.42857143,0.14285714,0.42857143,97.600087483724,96.6178436279297,85.2339172363281,-5.32907009124756,-8.5039005279541,1.69513734181722,7.37002182006836,4.86661005020142,0.0626025001207988,0.571639824658632,0.00184798240661621,0.179690979421139,9.5273304109772,0.0923991203308105,2.99484965701898,0.42857143,0.71428571,0.57142857,0,0.8,0.5,0.5,1,95.2143020629883,6.72010135650635,0,0,95.2143,1,1,"2024-09-18",0
"Michel Otanez",22533,"2024-09-17","@CHC",10,2024,"OAK","A",26,0,0,0,1,0,0,0,0,0,1,0,0.2,4,1,0,0,0,1,0,0,0,0,0,0,13.500014081612,13.500014081612,0,0,0,2,1,0,0,0,0,0,0,0.25,-0.25,9.17835408401489,0,0.333333333333333,3.00000312924711,0.333333333333333,1,7.66648447216047,-7.66648447216047,9.93449944721724,0,195.647666618839,245.300732355027,2,0,0.666666666,0.333333333,0,0,0,0,6,6,12,0.00298000127077103,-0.0910360068082809,0.0940160006284714,0.0540000200271606,0.00578778050839901,1.61479997634888,1.64840006828308,1.64840006828308,3.17400002479553,1,1,-0.0261952728033066,0.0280407033918733,0,0,0.58333333,97.57142857,0.41666667,85.4,NA,-0.379414349794388,0.179955989122391,-5.42020499706268,3.59911978244781,0.14285714,0.6,0.33333333,1,1,1,0.41666667,0.5,0,1,1,1,0,3,0,3,0.33333333,0.33333333,0.33333333,0,1,0,4.51593559776527,80,80,80,41.61775,69.07789,29.42355,60.62302,49.7566,59.96006,62.14061,62.67565,52.58804,-0.62884,3.13383,115.58,-23.16,23.44,122.5,91.4,107.74,113.8,103.84,115.58,117.721666666667,77.49,96.9566666666667,0.16666667,0.41666667,0.41666667,97.8000030517578,97.6400024414063,85.5,-6.09155654907227,-9.3627197265625,0.233610200881958,9.85977745056152,6.96252975463867,1.63777599334717,-0.0418605804443359,-0.34729390591383,0.181591000407934,-2.0930290222168,-6.9458781182766,3.63182000815868,0,0.57142857,0.33333333,NA,1,1,0.58333333,22,0.16666667,0.41666667,0.41666667,98.041748046875,97.8927001953125,85.74423828125,-5.49817514419556,-9.09778594970703,0.952389621734619,9.04926013946533,5.73146591186523,-0.148225820064545,-0.0418605804443359,-0.34729390591383,0.181591000407934,-2.0930290222168,-6.9458781182766,3.63182000815868,0.16666667,0.5,0.33333333,1,1,1,0.5,3,90.978281656901,-5.11480967203776,0,0,104.246,1,0.33333333,"2024-09-17",0
"Michel Otanez",22533,"2024-09-13","@CHW",10,2024,"OAK","A",26,0,0,0,1,0,0,0,0,0,1,0,1.2,5,0,0,0,0,0,0,0,0,0,3,16.2000061798119,0,0,3,0,0,0,2,0,0,0,0,0,0.6,0,0.6,0.485689084014893,0,0,0,0,1,-0.433521595001745,0.433521595001745,1.38088918460728,0,-13.083123801925,32.5076977896574,0,0,0,1,0,0,0,0,8,15,23,0.219421982765198,0,0.219421982765198,1.40299999713898,0.144564658403397,1.79420006275177,2.08486676216125,3.18300008773804,1.70340001583099,1,1,0.124339953064919,-0.00204479361170258,1,0,0.47826087,97.54545455,0.52173913,85.41666667,NA,0.862842738628387,0.435741484165192,7.8440248966217,3.63117903470993,0.35714286,0.77777778,0.52173913,0.4,0.57142857,0.5,0.39130435,0.6,0.26086957,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,-1.42973636700894,20,58.93463,20,80,65.99979,65.53185,55.73685,55.99015,54.07852,49.59638,60.99528,34.49616,0.15049,4.30283,142.72,-18.32,21.04,135.48,113.9,157.04,125.36,95.98,112,132.40347826087,64.3095652173913,92.1495652173913,0.30434783,0.17391304,0.52173913,97.6000017438616,97.4000015258789,85.4666646321615,-5.78348159790039,-9.80110740661621,0.671135981877645,9.59356253487723,7.69762659072876,3.19504483540853,0.441311411559582,0.432423766702414,0.481664013117552,6.30444873656545,10.8105941675603,4.0138667759796,0.38461538,0.7,0.52173913,0.4,0.57142857,0.5,0.43478261,19.22222222,0.30434783,0.17391304,0.52173913,97.6096540178571,97.4181518554688,85.4503784179688,-4.90531866891043,-9.35104751586914,1.70115184783936,8.96918596540179,6.85887718200684,1.76895300547282,0.441311411559582,0.432423766702414,0.481664013117552,6.30444873656545,10.8105941675603,4.0138667759796,0.33333333,0.72727273,0.52173913,0.25,0.625,0.5,0.47826087,2,91.4271240234375,33.1312675476074,0,0,96.0417,1,0.5,"2024-09-13",0
"Michel Otanez",22533,"2024-09-10","@HOU",10,2024,"OAK","A",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,2,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,2.19049659073353,0,-23.3907740466029,52.648762377236,0,0,0,1,0,0,0,0,1,10,11,0.103801995515823,-0.0916199907660484,0.195421978831291,0.476999998092651,0.050556443631649,2.14289999008179,1.79739999771118,1.79739999771118,2.23480010032654,1,1,0.0137641318142414,0.0346758308514272,1,0,0.54545455,96.5,0.45454545,86.4,NA,-0.420622646808624,0.433630108833313,-7.0103774468104,8.67260217666626,0.6,0.83333333,0.72727273,0.33333333,1,0.75,0.54545455,1,0.18181818,0,2,0,0,0,2,2,0,1,0,0,0,1,-1.08859900277085,80,62.17627,80,33.66791,44.03527,38.46094,74.34692,61.92741,65.97175,80,60.76574,80,-2.17925,0.80822,116.26,132.96,155.86,96.58,81.1,84.78,131.4,127.52,135.38,119.563636363636,121.058181818182,133.627272727273,0.36363636,0.18181818,0.45454545,96.8249969482422,96.0500030517578,86.1599975585937,-6.39462995529175,-9.32980155944824,0.697196435928345,10.5864324569702,9.0555419921875,2.83433952331543,0.407719898968935,-0.78977632150054,0.438581526279449,10.1929974742234,-39.488816075027,8.77163052558899,0.5,0.85714286,0.72727273,0,1,0.75,0.63636364,22.42857143,0.36363636,0.18181818,0.45454545,97.0623245239258,96.2825012207031,86.3992370605469,-5.31413507461548,-8.46834564208984,1.66170597076416,9.30308246612549,7.22330474853516,0.98618106842041,0.407719898968935,-0.78977632150054,0.438581526279449,10.1929974742234,-39.488816075027,8.77163052558899,0.66666667,0.75,0.72727273,0,1,0.75,0.72727273,2,99.2015151977539,23.3104782104492,1,0.5,103.103,2,1,"2024-09-10",0
"Michel Otanez",22533,"2024-09-07","DET",10,2024,"OAK","H",26,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,1,13.500014081612,13.500014081612,0,1,0,0,0,1,0,0,0,0,0,0.33333333,0.33333333,0,7.35528463540534,0,0,1.50000156462356,0,1,4.66648134291335,-4.66648134291335,6.93449631797012,0,118.339943730689,170.667945732913,0,0,0,1,0,0,0,0,5,5,10,-0.0337599888443947,-0.0778000056743622,0.0440400168299675,0.136000037193298,0.0149122849106789,1.86670005321503,1.74580001831055,3.49160003662109,0.832799971103668,1,1,-0.0117524303495884,-0.00633295449102898,0,0,0.8,96.875,0.2,85.5,NA,-0.0275504738092422,0.0228863731026649,-0.344380922615528,1.14431865513325,0.28571429,0.66666667,0.4,0.5,0,0.25,0.3,0.33333333,0.3,0,0,1,0,1,0,1,0,0,1,0,1,0,3.42855380555745,59.43331,67.20822,41.04206,67.38627,80,80,20,50.16762,20,50.02688,63.68534,38.21317,0.12374,4.2627,116.86,72.44,91.8,136.64,-20.82,31.2,95.9,58.12,66.72,114.646,60.25,80.724,0.7,0.1,0.2,96.971426827567,97,85.0999984741211,-6.99041911533901,-10.1844062805176,0.628311276435852,10.2370986938477,6.8610668182373,2.94061136245728,0.0741038545966148,-0.0998305231332779,0.0229212380945683,1.05862649423735,-9.98305231332779,1.14606190472841,0.28571429,0.66666667,0.4,0.5,0,0.25,0.3,20.57142857,0.7,0.1,0.2,97.011474609375,97.0507965087891,85.1069030761719,-5.77234704153878,-8.82557010650635,2.32670497894287,9.10549109322684,5.24498987197876,1.05499708652496,0.0741038545966148,-0.0998305231332779,0.0229212380945683,1.05862649423735,-9.98305231332779,1.14606190472841,0.28571429,0.66666667,0.4,0.5,0,0.25,0.3,1,75.4697723388672,32.7659797668457,0,0,75.4698,0,0,"2024-09-07",0
"Michel Otanez",22533,"2024-09-06","DET",10,2024,"OAK","H",26,0,0,0,1,0,0,0,0,0,0,1,0.1,2,0,0,0,0,1,0,0,3,0,1,27.000028163224,27.000028163224,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,10.1952290840149,0,0,3.00000312924711,0,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,156.993805174764,151.56163866777,0,0,0,0,0,0,0,0,5,9,14,-0.152204036712646,-0.213532015681267,0.06132797524333,-0.697000026702881,-0.0764254331588745,1.89320003986359,1.16019999980927,2.32039999961853,1.82480001449585,1,1,-0.078819677233696,-0.00157543871169216,0,1,0.64285714,97.55555556,0.35714286,86.8,NA,-0.0616933144629002,-0.0194277837872505,-0.685481271810002,-0.38855567574501,0.45454545,0.33333333,0.42857143,0.8,0,0.66666667,0.21428571,1,0.14285714,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5.70177017366792,78.07736,64.64695,72.12483,20,20,72.21028,20,59.78998,20,35.99751,60.31411,31.69799,0.99533,5.57009,152.88,121.94,176.02,126.54,72.68,111.08,134.46,4.45999999999999,21.64,144.42,76.4642857142857,116.245714285714,0.57142857,0.07142857,0.35714286,97.3125,98.1999969482422,86.6200012207031,-6.20637273788452,-10.1932640075684,-1.03255758285522,10.1479597091675,7.87839937210083,2.62382545471191,0.201716471463442,-0.267212420701981,0.0013635940849781,2.52145589329302,-26.7212420701981,0.0272718816995621,0.4,0.5,0.42857143,0.75,0.5,0.66666667,0.28571429,24,0.57142857,0.07142857,0.35714286,97.2419891357422,98.1212997436523,86.5518188476562,-5.02569627761841,-8.90167045593262,0.743012428283691,8.9777889251709,6.19222021102905,0.363378190994263,0.201716471463442,-0.267212420701981,0.0013635940849781,2.52145589329302,-26.7212420701981,0.0272718816995621,0.4,0.5,0.42857143,0.75,0.5,0.66666667,0.28571429,0,NA,NA,0,NA,NA,0,NA,"2024-09-06",0
"Michel Otanez",22533,"2024-09-05","SEA",10,2024,"OAK","H",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,2,18,9,9,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0.333333333333333,2,1,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,53.9168682033091,52.0512824543046,1,0,1,0,0,0,0,0,9,9,18,0.024100000038743,-0.0154680013656616,0.0395680032670498,0.453000009059906,0.0496710538864136,0.450879991054535,0.431199997663498,0.431199997663498,0.256399989128113,1,1,0.02433992177248,0.0291111084725682,0,0,0.61111111,98.81818182,0.38888889,86.85714286,NA,-0.483085989952087,0.203424394130707,-4.39169081774625,2.90606277329581,0.30769231,0.6,0.38888889,0.25,0.33333333,0.28571429,0.27777778,0.5,0.27777778,0,0,1,0,0,1,1,0,0,1,0,0,1,1.47333134598827,63.73321,69.926,54.21556,NA,NA,NA,20,57.36699,20,47.13341,66.78775,35.94315,0.3035,4.53234,120.22,81.36,106.6,NA,NA,NA,121.04,67.14,84.94,120.538888888889,75.83,98.1766666666667,0.61111111,NA,0.38888889,98.7090953480114,NA,86.7999965122768,-6.27939328280362,NA,-0.0168403003896986,9.44977569580078,NA,2.72092655726842,-0.494505330920219,NA,0.204690542072058,-4.49550300836563,NA,2.9241506010294,0.33333333,0.5,0.38888889,0.25,0.33333333,0.28571429,0.33333333,19,0.61111111,NA,0.38888889,98.6230912642045,NA,86.7020263671875,-4.96175731312145,NA,1.79288223811558,8.11302809281783,NA,0.694584778376988,-0.494505330920219,NA,0.204690542072058,-4.49550300836563,NA,2.9241506010294,0.33333333,0.5,0.38888889,0.25,0.33333333,0.28571429,0.33333333,1,94.1671142578125,6.42816686630249,0,0,94.1671,0,0,"2024-09-05",0
