"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","SF%","SFv","XX%","wFB","wSL","wSF","wFB/C","wSL/C","wSF/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FS","pb_s_FS","pb_c_FS","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FS","sp_l_FS","sp_p_FS","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFS%","pfxSI%","pfxSL%","pfxvFA","pfxvFS","pfxvSI","pfxvSL","pfxFA-X","pfxFS-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFS-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFS","pfxwSI","pfxwSL","pfxwFA/C","pfxwFS/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Nick Sandlin",20517,"2024-09-27","HOU",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,1.2,7,4,0,0,0,0,0,0,0,0,1,5.40000205993731,0,21.6000082397492,1,0,0,4,0,2,0,0,0,0,0.14285714,0,0.14285714,1.50566787114055,0,0.571428571428571,2.40000091552769,0.666666666666667,1,1.96647932052595,-1.96647932052595,1.96647932052595,0,47.6828048420827,47.0757571479825,4,0.333333333,0.666666666,0,0,0,0,0,11,16,27,0.00754400109872222,-0.006032002158463,0.0135760037228465,0.740000009536743,0.0780590772628784,0.0752571374177933,0.0745999962091446,0.092799998819828,0.0564000010490417,1,1,0.0335539095103741,0.0666890887961037,0,0,0.51851852,92.42857143,0.33333333,79.22222222,0.14814815,85.25,NA,-1.27635931968689,1.01346409320831,-0.329758077859879,-9.11685228347778,11.260712146759,-8.24395194649696,0.38888889,0.55555556,0.44444444,1,1,1,0.33333333,0.57142857,0,1,4,1,1,3,2,6,0.16666667,0.66666667,0.16666667,0.16666667,0.5,0.33333333,4.3549992977977,NA,57.02096,59.54345,57.41674,34.13931,55.92803,20,64.36721,49.01686,64.08292,61.59921,50.50096,73.15131,57.66975,55.2143,55.11998,-0.35108,3.55047,93.68,78.12,76.84,95.94,60.34,65.08,92.14,115.02,120.66,85.5,116.3,116.32,92.2896296296296,93.4422222222222,95.5533333333333,0.33333333,0.14814815,0.18518519,0.33333333,92.2888861762153,85.1750030517578,92.8200012207031,79.2222222222222,-7.60445997450087,-6.77807426452637,-9.97911758422851,6.53204260932075,6.46591016981337,-0.473649829626083,3.10338249206543,1.78403600056966,-0.323650110512972,-0.335390098392963,-0.972698282450438,1.02956968173385,-3.59611233903302,-8.38475245982409,-19.4539656490088,11.4396631303761,0.28571429,0.61538462,0.44444444,1,1,1,0.48148148,17.6,0.14814815,0.37037037,0.14814815,0.33333333,85.1534729003906,92.2077026367188,93.1274032592773,79.1926472981771,-5.95598268508911,-7.12772064208984,-9.56954765319824,7.60198974609375,-1.41695654392242,5.89542198181152,1.96862900257111,1.06944285498725,-0.335390098392963,-0.358698815107346,-0.937649577856064,1.02956968173385,-8.38475245982409,-3.58698815107346,-23.4412394464016,11.4396631303761,0.35294118,0.6,0.44444444,1,1,1,0.37037037,6,92.1510721842448,3.13280487060547,0,0,112.155,2,0.33333333,"2024-09-27",0
"Nick Sandlin",20517,"2024-09-21","@STL",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,0,0,1,7,2,4,0,1,0,0,1,0,0,0,0,0,18,0,0.5,0,2,3,1,0,1,0,0,0,0,0,6.4634229583913,9,0.333333333333333,2,0.2,-0.625,19.1664797782898,-19.1664797782898,10.7025049969554,0,481.094761788749,264.406843865182,0.666666666,0.166666666,0.333333333,0.5,0,0.333333333,4,36,10,15,25,-0.189643949270248,-0.269084006547928,0.0794400572776794,-3.51999998092651,-0.371308028697968,0.800571441650391,0.728399991989136,0.728399991989136,0.51199996471405,1,1,-0.216790601611137,-0.0200951270120251,0,1,0.44,93.54545455,0.28,80.85714286,0.28,86.14285714,NA,-0.648085296154022,-1.36922991275787,-0.854592442512512,-5.89168451049111,-19.5604273251125,-12.2084634644645,0.3125,0.66666667,0.44,0.4,0.83333333,0.63636364,0.36,0.85714286,0.16,4,0,2,0,4,2,6,0.66666667,0,0.33333333,0,0.66666667,0.33333333,15.4316205960243,NA,45.37016,59.97627,46.84573,20,47.27977,20,47.41372,51.46192,40.81044,22.69685,42.90351,27.24791,28.44314,51.89604,20,1.46466,6.27408,88.42,88.44,84.16,114.08,-22.8,-19.14,88.1,99.2,97.96,73.02,92.74,84.82,89.1941666666667,69.2091666666667,66.2816666666667,0.24,0.28,0.2,0.28,93.0333353678385,86.0142822265625,93.6799987792969,80.7428588867188,-7.67289543151855,-7.52297101702009,-9.96231689453125,4.76764351981027,6.53176561991374,0.0456404260226658,2.3028205871582,2.84833935328892,0.234685175120831,-0.868444886058569,0.16441622748971,-1.37096482142806,3.91141958534718,-12.4063555151224,3.2883245497942,-19.5852117346866,0.28571429,0.63636364,0.44,0.5,0.71428571,0.63636364,0.44,17.77777778,0.28,0.24,0.2,0.28,86.3160749162946,93.3375854492188,94.0237182617188,81.0264020647321,-7.1590815952846,-7.22619183858236,-9.75740585327148,5.26291275024414,-0.672952107020787,6.37233352661133,1.69434471130371,2.36490413120815,-0.868444886058569,0.234685175120831,0.16441622748971,-1.37096482142806,-12.4063555151224,3.91141958534718,3.2883245497942,-19.5852117346866,0.28571429,0.63636364,0.44,0.5,0.71428571,0.63636364,0.44,6,97.5259399414062,16.5919926961263,1,0.16666667,104.335,5,0.83333333,"2024-09-21",0
"Nick Sandlin",20517,"2024-09-19","MIN",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,2,27.000028163224,13.500014081612,0,2,0,0,0,0,0,0,0,0,0,0.66666667,0.33333333,0.33333333,4.54806241285889,0,0,1.50000156462356,0,1,1.66647821366624,-1.66647821366624,1.66647821366624,0,40.1232662752368,39.6124587345978,0,0,0,0,0,0,0,0,9,10,19,0.0724479928612709,-0.0174320172518492,0.0898800119757652,0.656000018119812,0.0691983103752136,1.70159995555878,0.658200025558472,1.31640005111694,0.952000021934509,1,1,0.0343853868544102,0.00819100874585899,1,0,0.15789474,92.66666667,0.26315789,80.2,0.57894737,85.90909091,NA,0.006791602820158,0.174732804298401,0.0371746458113194,0.226386760671934,3.49465608596802,0.337951325557449,0.35714286,1,0.52631579,0.6,0.4,0.5,0.26315789,0.66666667,0.26315789,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.57414330537275,NA,NA,NA,NA,20.46544,35.88462,23.92099,20,58.39629,20,47.61066,41.14594,61.88055,28.78279,49.49379,37.04047,1.44356,6.24243,NA,NA,NA,97.96,54.4,40.42,122.04,83.38,68.86,71.78,99.88,95.2,89.14,88.3568421052631,79.618947368421,NA,0.57894737,0.15789474,0.26315789,NA,85.9363625266335,92.9333292643229,80.1200012207031,NA,-7.81704989346591,-9.09478759765625,6.10828704833984,NA,-1.12863367254084,1.68812115987142,1.89563083648682,NA,0.0336247459053993,0.0064518041908741,0.17636726796627,NA,0.305679508230903,0.215060139695803,3.52734535932541,0.35714286,1,0.52631579,0.4,0.6,0.5,0.26315789,20.9375,0.57894737,NA,0.15789474,0.26315789,85.7138727361506,NA,92.7412312825521,79.9193603515625,-7.06847728382457,NA,-8.70821380615234,7.48838577270508,-2.09855877269398,NA,1.10073232650757,1.13771486282349,0.0336247459053993,NA,0.0064518041908741,0.17636726796627,0.305679508230903,NA,0.215060139695803,3.52734535932541,0.30769231,1,0.52631579,0.5,0.5,0.5,0.31578947,0,NA,NA,0,NA,NA,0,NA,"2024-09-19",0
"Nick Sandlin",20517,"2024-09-17","MIN",5,2024,"CLE","H",27,0,0,18,1,0,0,0,0,0,0,0,1,5,2,2,2,1,0,0,0,0,0,1,9,0,18,1,0,0,2,2,0,1,0,0,0,0.2,0,0.2,3.29696908401489,9,0.4,2,0.333333333333333,0,14.1664797782898,3.83352022171021,4.19049659073353,452.154609055327,355.102917192306,102.403901559937,1,0,0.5,0.5,0.5,0.5,0,0,2,12,14,-0.166720002889633,-0.207760006189346,0.0410400107502937,-1.51999998092651,-0.160337552428246,0.590240001678467,0.87119996547699,0.87119996547699,0.122800000011921,1,1,-0.182382315397263,-0.100079060340626,0,1,0.5,93.71428571,0.35714286,82,0.14285714,85,NA,-0.968278765678406,-0.197640299797058,0.0197809934616089,-13.8325537954058,-3.95280599594116,0.989049673080444,0.57142857,0.85714286,0.71428571,0.25,1,0.7,0.5,0.6,0.21428571,2,2,0,1,1,2,4,0.5,0.5,0,0.25,0.25,0.5,8.84626074582902,NA,70.68143,53.2286,79.26025,80,61.30209,80,53.11276,53.95399,47.24241,30.04987,38.27961,24.5727,67.63493,53.14649,67.09146,-0.97018,2.62182,88.56,74.02,52.6,107.84,154.82,170.5,105.04,108.14,113.7,78.64,90.56,73.84,95.7828571428571,100.111428571429,94.2985714285714,0.35714286,0.14285714,0.14285714,0.35714286,93.3799987792969,84.5999984741211,93.8999938964844,81.7799987792969,-8.17316284179688,-7.26032066345215,-9.46714019775391,4.75107002258301,6.01925086975098,0.683865129947662,1.87003660202026,2.43959159851074,-1.2136777639389,0.0197252556681633,0.249788388609886,-0.201990313827991,-24.2735552787781,0.986262783408165,12.4894194304943,-4.03980627655983,0.5,0.875,0.71428571,0.33333333,0.85714286,0.7,0.57142857,16.875,0.14285714,0.35714286,0.14285714,0.35714286,84.4608993530273,93.2457580566406,93.8305511474609,81.6489196777344,-6.893630027771,-7.48341827392578,-9.10534000396729,5.77523193359375,-0.243915021419525,5.42339401245117,1.18301999568939,1.83111400604248,0.0197252556681633,-1.2136777639389,0.249788388609886,-0.201990313827991,0.986262783408165,-24.2735552787781,12.4894194304943,-4.03980627655983,0.6,0.77777778,0.71428571,0.33333333,0.85714286,0.7,0.64285714,4,86.1514129638672,25.0199584960938,1,0.25,104.147,1,0.25,"2024-09-17",0
"Nick Sandlin",20517,"2024-09-14","TBR",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,9,9,0,1,0,0,0,1,1,0,0,0,0,0.25,0.25,0,6.49179158401489,0,0,1,0,1,4.1664797782898,-4.1664797782898,5.67848818451166,0,103.11922799942,139.421515985497,0,0.5,0,0.5,0,0,0,0,8,7,15,0.00566799147054553,-0.000863986031617969,0.00653197756037116,0.479999989271164,0.0506329126656055,0.0679999962449074,0.149199992418289,0.149199992418289,NA,0,1,0.0268726907670498,0.0564801295791721,0,0,0.6,93.22222222,0.13333333,80,0.26666667,85.5,NA,0.361028760671616,-0.0712025240063667,0.203822404146194,4.01143067412906,-3.56012620031834,5.09556010365486,0.25,0.66666667,0.33333333,0.33333333,1,0.6,0.2,0.5,0.13333333,1,0,1,0,1,1,2,0.5,0,0.5,0,0.5,0.5,7.52507911543289,NA,20,67.038,20,NA,NA,NA,44.71456,51.78068,57.84199,22.43855,42.46576,20,20,58.66615,20,2.67322,8.08692,79,5.48,3.14,NA,NA,NA,95.06,94.96,95.56,76.68,74.7,53.76,80.5226666666667,35.8693333333333,28.9613333333333,0.6,0.26666667,NA,0.13333333,93.1888902452257,85.1999969482422,NA,80.3500061035156,-7.04970169067383,-7.08929824829102,NA,5.2638955116272,7.4836179945204,-0.475371956825256,NA,1.77442538738251,0.36237108707428,0.205158732831478,NA,-0.0725650899112225,4.02634541193644,5.12896832078695,NA,-3.62825449556112,0.25,0.66666667,0.33333333,0.33333333,1,0.6,0.2,14.27272727,0.26666667,0.6,NA,0.13333333,85.3064498901367,93.3316921657986,NA,80.4571990966797,-6.45817995071411,-6.44237433539497,NA,6.12253475189209,-1.48263001441956,6.97003004286024,NA,0.965590476989746,0.205158732831478,0.36237108707428,NA,-0.0725650899112225,5.12896832078695,4.02634541193644,NA,-3.62825449556112,0.25,0.66666667,0.33333333,0.33333333,1,0.6,0.2,2,98.1271667480469,34.9452896118164,0,0,100.531,2,1,"2024-09-14",0
"Nick Sandlin",20517,"2024-09-11","@CHW",5,2024,"CLE","A",27,1,0,0,1,0,0,0,0,0,0,0,1.1,6,1,0,0,0,1,0,0,0,0,2,13.5000032186516,6.75000160932579,6.75000160932579,2,0,0,1,2,0,1,0,0,0,0.33333333,0.16666667,0.16666667,3.90439574337839,0,0.2,1.50000035762795,0.333333333333333,1,2.41647959947582,-2.41647959947582,4.68449274954509,0,59.0220778848443,114.693325378632,0.5,0,0.333333333,0.666666666,0.5,0,0,0,15,14,29,0.114132009446621,-0.0907320156693459,0.204864025115967,0.73800003528595,0.0760432779788971,1.78633332252502,1.67866671085358,1.89479994773865,2.98539996147156,1,1,0.0372807085514069,0.0266110679762194,1,0,0.44827586,92.07692308,0.27586207,78.75,0.27586207,85.875,NA,-0.397737085819244,0.636712968349457,0.0216265171766281,-3.05951604476342,7.95891210436821,0.270331464707851,0.15789474,0.8,0.37931034,0.33333333,0.875,0.72727273,0.34482759,1,0.10344828,2,0,1,1,2,0,3,0.66666667,0,0.33333333,0.33333333,0.66666667,0,0.600828250797504,NA,22.45338,48.66619,20,80,52.78004,80,69.94891,55.60744,74.54725,28.07216,56.3642,26.30789,41.57126,55.43432,36.87753,0.64906,5.05068,112.78,74.12,70.96,94.68,133.82,141.08,103.36,98.82,104.52,80,56.16,57.16,99.2662068965517,82.1551724137931,83.6648275862069,0.34482759,0.27586207,0.10344828,0.27586207,91.85,85.8625030517578,92.8333333333333,78.6875,-8.36928863525391,-8.69274806976318,-10.6070734659831,5.34884262084961,7.14249649047852,-0.189021348953247,3.60806115468343,2.99799513816833,-0.385924581438303,0.000921890139579773,-0.0203808024525642,0.687001287937164,-3.85924581438303,0.0115236267447472,-0.679360081752141,8.58751609921455,0.11764706,0.75,0.37931034,0,0.88888889,0.72727273,0.4137931,17.56521739,0.27586207,0.34482759,0.10344828,0.27586207,85.9246215820312,91.9112121582031,92.9150695800781,78.7505035400391,-7.79837131500244,-7.42359237670898,-10.0296198527018,6.68023014068604,-1.34908926486969,6.61005783081055,2.65918000539144,2.08041787147522,0.000921890139579773,-0.385924581438303,-0.0203808024525642,0.687001287937164,0.0115236267447472,-3.85924581438303,-0.679360081752141,8.58751609921455,0.11111111,0.81818182,0.37931034,0,0.88888889,0.72727273,0.37931034,3,87.611572265625,24.7153116861979,0,0,93.4737,0,0,"2024-09-11",0
"Nick Sandlin",20517,"2024-09-09","@CHW",5,2024,"CLE","A",27,0,0,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,2,2,2,1,0,0,0,0,0,1,27.000028163224,0,54.0000563264481,1,0,0,0,1,1,0,0,0,0,0.33333333,0,0.33333333,2.61817353088578,27.000028163224,0.666666666666667,6.00000625849423,1,0,36.1665142000081,17.83354212644,1.70250346990911,1356.46524206949,909.467900787811,40.5086795538261,0,0.5,0,0.5,0,1,0,0,6,11,17,-0.0760979950428009,-0.119246006011963,0.0431480035185814,-1.76399993896484,-0.181761980056763,1.15380001068115,0.594600021839142,0.594600021839142,1.14399993419647,1,1,-0.10036639124155,0.0344121579789974,0,1,0.47058824,91.625,0.47058824,79.125,0.05882353,87,NA,-1.03858828544617,-0.63675856590271,0.0673001259565353,-12.9823535680771,-7.95948207378387,6.73001259565353,0.3,0.71428571,0.47058824,1,0.8,0.875,0.41176471,0.33333333,0.05882353,1,1,0,1,0,1,2,0.5,0.5,0,0.5,0,0.5,32.1272058406427,NA,77.66584,47.95598,80,NA,NA,NA,36.97238,56.56658,20,80,64.91967,80,64.41888,54.65884,61.99512,-0.77038,2.92152,114.64,133.78,141.82,NA,NA,NA,120.98,93.72,102.9,88.1,141.3,156.42,116.062352941176,115.370588235294,124.363529411765,0.47058824,0.05882353,NA,0.47058824,91.6374969482422,87.3000030517578,NA,79.0999984741211,-8.21895599365234,-8.97505187988281,NA,5.84056186676025,7.02385473251343,-1.54605722427368,NA,2.51491856575012,-1.03479746356606,0.0682137757539749,NA,-0.647074967622757,-12.9349682945758,6.82137757539749,NA,-8.08843709528446,0.33333333,0.625,0.47058824,1,0.8,0.875,0.47058824,20.5,0.05882353,0.47058824,NA,0.47058824,87.3890991210938,91.7764282226562,NA,79.2379150390625,-8.04916954040527,-7.24598121643066,NA,7.4525785446167,-2.76250004768372,6.45461750030518,NA,1.64582073688507,0.0682137757539749,-1.03479746356606,NA,-0.647074967622757,6.82137757539749,-12.9349682945758,NA,-8.08843709528446,0.33333333,0.625,0.47058824,1,0.8,0.875,0.47058824,2,90.7396697998047,25.4927368164062,1,0.5,103.165,1,0.5,"2024-09-09",0
"Nick Sandlin",20517,"2024-09-08","@LAD",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,27.000028163224,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-73.2695121394468,-72.3367211985741,0,0,0,0,0,0,0,0,4,7,11,0.0467599742114544,0,0.0467599742114544,0.879999995231628,0.0931216925382614,0.983000040054321,0.513999998569489,1.02799999713898,0.379999995231628,1,1,0.0476984046399593,-0.000129765467909659,0,0,0.36363636,92.5,0.27272727,79,0.36363636,86,NA,-0.028304073959589,0.501514256000519,0.0594149753451347,-0.707601848989725,16.717141866684,1.48537438362837,0.375,0.66666667,0.45454545,0.33333333,1,0.6,0.27272727,0.5,0.18181818,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.77986386138678,NA,20,47.23172,20,70.20048,55.01782,80,80,58.55178,80,80,43.72118,80,76.26189,51.9434,80,-1.50614,1.81788,103.2,67.2,56.76,92,5.28,19.7,132.64,168.76,186.34,92.18,167.82,168.02,106.203636363636,125.858181818182,129.189090909091,0.27272727,0.36363636,0.09090909,0.27272727,92.4666748046875,85.8000030517578,93,79.0666707356771,-7.23260879516602,-6.90542936325073,-9.49806690216064,5.70233154296875,5.97134081522624,-0.95874547958374,1.77134823799133,2.49703868230184,-0.0973699614405632,0.0598179250955582,0.0682137757539749,0.507777363061905,-3.24566538135211,1.49544812738895,6.82137757539749,16.9259121020635,0.5,0.4,0.45454545,0.33333333,1,0.6,0.45454545,22.11111111,0.36363636,0.27272727,0.09090909,0.27272727,85.7402954101562,92.392333984375,92.8760986328125,78.9522654215495,-6.01352977752686,-6.31741650899251,-8.72012996673584,7.04418690999349,-1.61013376712799,5.75155639648438,1.51152002811432,1.91427675882975,0.0598179250955582,-0.0973699614405632,0.0682137757539749,0.507777363061905,1.49544812738895,-3.24566538135211,6.82137757539749,16.9259121020635,0.5,0.4,0.45454545,0.33333333,1,0.6,0.45454545,0,NA,NA,0,NA,NA,0,NA,"2024-09-08",0
"Nick Sandlin",20517,"2024-09-03","@KCR",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7.34739574882223,0,0,0,0,1,3.1664797782898,-3.1664797782898,6.19049659073353,0,77.9208590801313,152.159040742638,0.5,0,0.333333333,0.666666666,0,0,3,27,3,11,14,0.0588399991393089,0,0.0588399991393089,0.533999979496002,0.0522760637104511,0.755933344364166,1.11960005760193,1.11960005760193,0.184799998998642,1,1,0.077885203063488,-4.76535255711785e-05,0,0,0.42857143,93.5,0.28571429,80.25,0.28571429,87,NA,0.0485989488661289,0.389851063489914,0.27328172326088,0.809982481102149,9.74627658724785,6.83204308152199,0.44444444,0.8,0.57142857,0.75,1,0.875,0.35714286,1,0.07142857,1,1,1,0,3,0,3,0.33333333,0.33333333,0.33333333,0,1,0,0.974632169407701,NA,80,60.55928,80,20,46.17981,20,50.37873,64.39595,46.56572,80,53.67423,80,69.66075,61.22425,69.17791,-1.09604,2.43303,97.68,135.5,130.2,105.82,23.46,11.84,118.06,106.42,102.48,105.82,144.46,151.54,106.991428571429,113.745714285714,111.468571428571,0.28571429,0.28571429,0.14285714,0.28571429,93.1999969482422,86.9250030517578,93.8500061035156,80.1999969482422,-8.29260635375977,-7.0962700843811,-10.7949638366699,7.19333505630493,6.45935916900635,-1.53136968612671,2.78311491012573,2.8052966594696,0.0730913765728474,0.277060940861702,-0.0242429338395596,0.436570793390274,1.82728441432118,6.92652352154255,-1.21214669197798,10.9142698347569,0.5,0.66666667,0.57142857,0.75,1,0.875,0.42857143,16.45454545,0.28571429,0.21428571,0.21428571,0.28571429,86.7452011108398,93.1061401367188,93.3460693359375,80.0499496459961,-6.53939771652222,-7.21367327372233,-9.7137196858724,8.17069721221924,-2.58170986175537,6.38462320963542,2.9605983098348,1.98810994625092,0.277060940861702,0.0337270088493824,0.0151214338839054,0.436570793390274,6.92652352154255,1.12423362831275,0.50404779613018,10.9142698347569,0.55555556,0.6,0.57142857,0.8,1,0.875,0.35714286,3,82.7213236490885,13.4721018473307,0,0,87.043,0,0,"2024-09-03",0
"Nick Sandlin",20517,"2024-08-31","PIT",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,0.2,5,1,0,0,0,2,0,0,0,0,2,27.000028163224,27.000028163224,13.500014081612,1,0,0,1,0,0,0,0,0,0,0.4,0.4,0,8.26752908401489,0,0.333333333333333,4.50000469387067,1,1,6.16648290753691,-6.16648290753691,6.16648290753691,0,153.51604468992,151.56163866777,1,0,1,0,0,0,0,0,13,14,27,-0.0209880024194717,-0.118500001728535,0.097511999309063,-0.262999981641769,-0.0277426168322563,1.61295998096466,0.954800009727478,0.954800009727478,2.98679995536804,1,1,-0.0376011729240417,0.0245890692964493,0,0,0.2962963,93.125,0.37037037,80.4,0.33333333,86.77777778,NA,-0.435225695371628,-0.121333546936512,-0.00262074172496796,-5.44032119214535,-1.21333546936512,-0.029119352499644,0.2,0.85714286,0.37037037,0.5,0.5,0.5,0.25925926,0.8,0.18518519,1,0,0,0,0,1,1,1,0,0,0,0,1,4.57733710638117,NA,20,57.30738,20,NA,NA,NA,80,56.40019,77.36913,31.42642,44.7584,43.13464,32.98071,56.71462,31.76355,1.18276,5.85123,107.3,27.7,39.34,NA,NA,NA,110.6,127.6,132.52,86.96,47.3,36.98,101.742222222222,71.2333333333333,73.0644444444444,0.2962963,0.33333333,NA,0.37037037,93.1875,86.8333333333333,NA,80.4299987792969,-8.38202095031738,-8.39934455023872,NA,5.78931884765625,6.87542676925659,0.305683056513468,NA,2.21837520599365,-0.445909716188908,-0.00630402192473412,NA,-0.124547608196735,-5.57387145236135,-0.0700446880526013,NA,-1.24547608196735,0.13333333,0.66666667,0.37037037,0.5,0.5,0.5,0.44444444,21.09090909,0.33333333,0.2962963,NA,0.37037037,86.9455091688368,93.3036117553711,NA,80.5228088378906,-7.82406700981988,-7.5526385307312,NA,6.7529296875,-0.816483974456787,6.47832107543945,NA,1.40023546218872,-0.00630402192473412,-0.445909716188908,NA,-0.124547608196735,-0.0700446880526013,-5.57387145236135,NA,-1.24547608196735,0.125,0.72727273,0.37037037,0.5,0.5,0.5,0.40740741,1,107.878883361816,-0.447236657142639,0,0,107.879,1,1,"2024-08-31",0
