"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","XX%","wFB","wSL","wCT","wFB/C","wSL/C","wCT/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSL%","pivFA","pivFC","pivSL","piFA-X","piFC-X","piSL-X","piFA-Z","piFC-Z","piSL-Z","piwFA","piwFC","piwSL","piwFA/C","piwFC/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Ryan Fernandez",24862,"2024-09-26","@COL",28,2024,"STL","A",26,0,1,36,1,0,0,0,0,0,0,1,1,7,3,4,4,0,1,0,0,0,0,2,18,9,27,2,0,0,0,1,3,0,0,0,0,0.28571429,0.14285714,0.14285714,4.05958622174904,0,0.5,4,0.75,0,2.1664797782898,33.8335202217102,3.67848818451166,888.890424398624,55.0604644971452,90.682812007927,0,0.75,0,0.25,0,0,2,18,18,19,37,-0.386643975973129,-0.528696000576019,0.142052009701729,-2.32599997520447,-0.202436909079552,1.66222858428955,1.80506670475006,2.8775999546051,2.78359985351562,1,1,-0.171033501625061,-0.0615722781259735,0,1,0.40540541,96.4,0.59459459,87.5,NA,NA,NA,-1.35893666744232,-0.405285328626633,NA,-9.05957778294881,-1.84220603921197,NA,0.2,0.83333333,0.40540541,0.2,0.9,0.66666667,0.32432432,0.42857143,0.13513514,0,4,0,0,3,1,4,0,1,0,0,0.75,0.25,8.70955556903702,20,45.27982,20,NA,NA,NA,28.61788,66.02515,31.9908,NA,NA,NA,20,60.93578,20,2.85579,8.36078,85.28,34.14,33,NA,NA,NA,117.08,78.64,100.62,NA,NA,NA,104.188108108108,60.5994594594595,73.2064864864865,0.40540541,NA,NA,0.59459459,96.3266682942708,NA,NA,87.4090909090909,-4.04727198282878,NA,NA,0.690086017955433,8.34797058105469,NA,NA,-0.00428113409064033,-1.37311736866832,NA,NA,-0.421232789754868,-9.15411579112212,NA,NA,-1.91469449888576,0.20833333,0.76923077,0.40540541,0.2,0.9,0.66666667,0.35135135,18.46666667,0.40540541,NA,0.59459459,96.5207763671875,NA,87.585615678267,-3.88685607910156,NA,1.2780893499201,8.23498942057292,NA,-0.526339010758833,-1.37311736866832,NA,-0.421232789754868,-9.15411579112212,NA,-1.91469449888576,0.20833333,0.76923077,0.40540541,0.2,0.9,0.66666667,0.35135135,4,90.8017883300781,15.9972476959229,0,0,101.63,2,0.5,"2024-09-26",0
"Ryan Fernandez",24862,"2024-09-24","@COL",28,2024,"STL","A",26,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,2,0,0,0,0,0,0.5,0,0.5,1.65247908401489,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,2.19049659073353,0,-18.6637770346618,54.7244184399108,0,0,0,1,0,0,0,0,7,9,16,0.0263480003923178,-0.00542399985715747,0.0317719988524914,0.629000008106232,0.0547432526946068,0.296200007200241,0.579200029373169,0.579200029373169,NA,0,1,0.0233826600015163,0.0655707490188475,0,0,0.5,96.75,0.4375,88,0.0625,92,NA,-0.374588757753372,0.11468294262886,0.284230947494507,-4.68235947191715,1.63832775184086,28.4230947494507,0.36363636,0.6,0.4375,0,1,0.42857143,0.3125,0.5,0.25,0,2,0,0,1,1,2,0,1,0,0,0.5,0.5,-1.10556823113125,56.28059,52.41599,68.04536,NA,NA,NA,20,57.0158,20,57.38724,65.96358,65.44039,30.68615,56.1783,28.44325,1.32531,6.06506,103.74,141.22,144.12,NA,NA,NA,119.28,29.76,47.46,113.56,115.7,145.8,111.1525,90.86125,101.93625,0.5,0.0625,NA,0.4375,96.9000015258789,92.0999984741211,NA,88.0857107979911,-4.29198932647705,1.99619567394257,NA,0.699594020843506,8.58578300476074,4.04420042037964,NA,0.776196616036551,-0.375958118587732,0.330024719238281,NA,0.102458532899618,-4.69947648234665,33.0024719238281,NA,1.4636933271374,0.4,0.5,0.4375,0,1,0.42857143,0.375,16.41666667,0.5,0.0625,0.4375,96.9149780273438,92.0621032714844,88.0997140066964,-4.22002601623535,2.40749001502991,1.25147383553641,8.33139228820801,3.77469992637634,-0.256322945867266,-0.375958118587732,0.330024719238281,0.102458532899618,-4.69947648234665,33.0024719238281,1.4636933271374,0.4,0.5,0.4375,0,1,0.42857143,0.375,2,94.9526596069336,22.4148597717285,0,0,96.0488,1,0.5,"2024-09-24",0
"Ryan Fernandez",24862,"2024-09-19","PIT",28,2024,"STL","H",26,0,0,0,1,0,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,2,0,1,0,0,0,0,0,0,0,2.31606242325356,0,0.666666666666667,6.00000625849423,0.666666666666667,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.6352116744142,78.3097583844777,2,0.333333333,0.666666666,0,0,0,0,0,1,8,9,-0.25925999879837,-0.315972000360489,0.0567120090126991,-0.779999971389771,-0.0822784826159477,2.36389994621277,0.892799973487854,1.78559994697571,0.631200015544891,1,1,-0.0713508203625679,-0.0383238717553171,0,1,0.33333333,96,0.66666667,86,NA,NA,NA,0.15039849281311,-0.866219103336334,NA,5.01328309377035,-14.4369850556056,NA,0.66666667,0.66666667,0.66666667,0.5,1,0.83333333,0.66666667,1,0.11111111,1,1,1,0,2,1,3,0.33333333,0.33333333,0.33333333,0,0.66666667,0.33333333,6.16130689801201,80,55.32918,80,NA,NA,NA,48.12465,50.05125,46.98704,NA,NA,NA,70.6556,55.4354,71.46978,-1.15784,2.34033,96.72,114.64,120.5,NA,NA,NA,112.56,91.46,96.2,NA,NA,NA,107.28,99.1866666666667,104.3,0.33333333,NA,NA,0.66666667,96.2000020345052,NA,NA,85.8333333333333,-4.34575176239014,NA,NA,0.92086140314738,9.66739145914713,NA,NA,-0.719944397608439,0.152108270674944,NA,NA,-0.879788305610418,5.0702756891648,NA,NA,-14.6631384268403,0.66666667,0.66666667,0.66666667,0.5,1,0.83333333,0.66666667,18,0.33333333,NA,0.66666667,96.5147298177083,NA,86.0918477376302,-3.92648347218831,NA,1.46439345677694,8.83713340759277,NA,-1.85878340403239,0.152108270674944,NA,-0.879788305610418,5.0702756891648,NA,-14.6631384268403,0.5,0.71428571,0.66666667,0,1,0.83333333,0.77777778,3,97.9017740885417,-4.73185475667318,0,0,104.646,2,0.66666667,"2024-09-19",0
"Ryan Fernandez",24862,"2024-09-17","PIT",28,2024,"STL","H",26,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.6637770346618,18.1856412207288,0,0.5,0,0.5,0,0,0,0,1,8,9,0.0940160006284714,-0.0246559996157885,0.118672005832195,0.479999989271164,0.0506329126656055,1.34389996528625,1.73000001907349,1.73000001907349,2.14920020103455,1,1,0.0465229526162148,0.0234346357883996,1,0,0.66666667,96.83333333,0.33333333,86.33333333,NA,NA,NA,0.120079308748245,0.198416188359261,NA,2.00132181247075,6.61387294530869,NA,0.5,0.85714286,0.77777778,0,0.5,0.42857143,0.77777778,0.75,0.44444444,0,0,2,0,1,1,2,0,0,1,0,0.5,0.5,1.49195451953776,80,60.57979,80,NA,NA,NA,20,53.10095,20,NA,NA,NA,67.21485,57.55205,69.67009,-0.94408,2.66097,101.48,118.86,122.22,NA,NA,NA,113.92,50.84,57.2,NA,NA,NA,105.626666666667,96.1866666666667,100.546666666667,0.66666667,NA,NA,0.33333333,96.7166646321615,NA,NA,85.9666646321615,-4.58745161692301,NA,NA,0.893842379252116,10.423318862915,NA,NA,-0.658922433853149,0.119549844413996,NA,NA,0.200443852692842,1.99249740689993,NA,NA,6.68146175642808,0.5,0.85714286,0.77777778,0,0.5,0.42857143,0.77777778,18.2,0.66666667,NA,0.33333333,97.1257832845052,NA,86.3592936197917,-4.13431326548258,NA,1.59910329182943,9.35699144999186,NA,-1.96842002868652,0.119549844413996,NA,0.200443852692842,1.99249740689993,NA,6.68146175642808,0.5,0.85714286,0.77777778,0,0.5,0.42857143,0.77777778,2,102.242828369141,21.3016700744629,1,0.5,104.326,2,1,"2024-09-17",0
"Ryan Fernandez",24862,"2024-09-16","PIT",28,2024,"STL","H",26,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-18.6637770346618,18.1856412207288,0,0,0,1,0,0,0,0,5,8,13,0.0135000059381127,0,0.0135000059381127,0.479999989271164,0.0506329126656055,0.173733323812485,0.325599998235703,0.325599998235703,NA,0,1,0.0809873715043068,-0.0032820375944826,0,0,0.38461538,97.4,0.61538462,88.625,NA,NA,NA,0.381213396787643,0.401235014200211,NA,7.62426793575287,5.01543767750263,NA,0.45454545,0.5,0.46153846,0.4,1,0.5,0.15384615,0.66666667,0.23076923,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.6777256107686,71.54905,50.10316,69.68214,NA,NA,NA,50.84972,63.58306,47.24582,NA,NA,NA,62.71338,62.26113,58.3156,-0.66442,3.08046,92.22,113.34,119.24,NA,NA,NA,137.3,90.04,108.34,NA,NA,NA,119.961538461538,99.0015384615385,112.532307692308,0.38461538,NA,NA,0.61538462,97.0400024414062,NA,NA,88.625,-4.83552856445313,NA,NA,0.613178014755249,9.32792282104492,NA,NA,-0.134249150753021,0.386033561080694,NA,NA,0.405170045793056,7.72067122161388,NA,NA,5.06462557241321,0.44444444,0.5,0.46153846,0.25,1,0.5,0.30769231,15.9,0.38461538,NA,0.61538462,97.5247009277344,NA,89.0972137451172,-4.41854591369629,NA,1.39339065551758,8.50436553955078,NA,-1.41938900947571,0.386033561080694,NA,0.405170045793056,7.72067122161388,NA,5.06462557241321,0.44444444,0.5,0.46153846,0.25,1,0.5,0.30769231,1,77.501106262207,52.5796775817871,0,0,77.5011,0,0,"2024-09-16",0
"Ryan Fernandez",24862,"2024-09-14","@TOR",28,2024,"STL","A",26,0,0,0,1,0,0,0,0,0,0,0,0.2,4,2,0,0,0,0,0,0,0,0,0,0,0,27.000028163224,0,0,0,3,0,1,0,0,0,0,0,0,0,1.54372908401489,0,0.5,3.00000312924711,0.5,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.6352116744142,78.3097583844777,3,0.25,0.75,0,0,0,0,0,5,11,16,-0.116899967193604,-0.124529972672462,0.00763000827282667,-1.46399998664856,-0.154675126075745,1.04945003986359,1.10380005836487,2.20760011672974,0.102399997413158,1,1,-0.103702731430531,-0.00768891443457309,0,1,0.4375,95,0.4375,88.57142857,0.125,92.5,NA,-0.330441862344742,0.266854017972946,-0.440147489309311,-4.72059803349631,3.81220025675637,-22.0073744654655,0.45454545,0.8,0.5625,0.8,1,0.88888889,0.3125,0.75,0.0625,3,0,1,1,2,1,4,0.75,0,0.25,0.25,0.5,0.25,4.72045313105222,38.22087,52.11823,38.71004,NA,NA,NA,62.49291,42.40406,68.26308,46.93085,49.98825,43.07245,50.31522,48.2668,54.1175,0.10583,4.23584,90.42,80.24,70.22,NA,NA,NA,101.6,110.32,115.12,92.96,89.88,84.98,95.62875,94.605,91.70875,0.4375,0.125,NA,0.4375,95.0142822265625,92.25,NA,88.5857107979911,-4.85756356375558,0.923650622367859,NA,0.977224894932338,10.4733254568917,7.6273250579834,NA,1.87898703983852,-0.336092799901962,-0.446966946125031,NA,0.270119402557611,-4.80132571288518,-22.3483473062515,NA,3.85884860796588,0.5,0.66666667,0.5625,0.8,1,0.88888889,0.375,17.66666667,0.375,0.1875,0.4375,95.2739054361979,92.7684733072917,88.6103864397321,-5.15809981028239,0.287593007087708,1.36794458116804,9.78307723999023,7.04520670572917,0.881680284227644,0.174481421709061,-0.957541167736053,0.270119402557611,2.90802369515101,-31.9180389245351,3.85884860796588,0.44444444,0.71428571,0.5625,1,0.8,0.88888889,0.4375,4,86.6618728637695,-18.3819770812988,0,0,105.39,2,0.5,"2024-09-14",0
"Ryan Fernandez",24862,"2024-09-13","@TOR",28,2024,"STL","A",26,0,1,6.75000160932579,1,0,0,0,0,0,0,0,1.1,7,2,1,1,0,1,1,0,0,0,1,6.75000160932579,6.75000160932579,13.5000032186516,1,0,1,2,2,0,0,0,1,1,0.14285714,0.14285714,0,5.67334132736093,0,0.333333333333333,2.25000053644193,0.4,0.66666667,3.91647995710377,2.83352165222202,6.18449310717304,166.66699431125,98.0662764516742,151.242234298507,1,0,0.5,0.5,0,0,0,0,7,17,24,0.114008031785488,-0.297359943389893,0.411367982625961,-0.370000123977661,-0.0390914119780064,3.52025699615479,2.61419987678528,2.61419987678528,NA,0,1,0.0635513290762901,-0.031165048213836,1,0,0.33333333,96.375,0.54166667,88.92307692,0.125,90,0.16666667,-0.0652616173028946,0.382070511579514,-0.170368760824203,-0.815770216286182,2.93900393522703,-5.67895869414012,0.53333333,0.77777778,0.625,0.5,1,0.73333333,0.375,0.57142857,0.16666667,3,1,1,1,2,2,5,0.6,0.2,0.2,0.2,0.4,0.4,1.9783546586077,36.92388,56.96548,20,NA,NA,NA,50.63735,55.1104,50.34521,NA,NA,NA,46.11202,60.04684,38.44532,0.36696,4.62753,125.6,83.06,92.64,NA,NA,NA,114.82,89.12,98.2,NA,NA,NA,118.413333333333,87.1,96.3466666666667,0.33333333,NA,NA,0.66666667,96.2624969482422,NA,NA,89.1374969482422,-5.27926969528198,NA,NA,1.28312134742737,10.9423131942749,NA,NA,2.42713308334351,-0.0669607296586037,NA,NA,0.194141961634159,-0.837009120732546,NA,NA,1.21338726021349,0.36363636,0.84615385,0.625,0.5,0.81818182,0.73333333,0.54166667,18.77777778,0.33333333,NA,0.66666667,96.2196960449219,NA,89.0549163818359,-5.01815366744995,NA,1.81734764575958,10.2134170532227,NA,1.18052792549133,-0.0669607296586037,NA,0.194141961634159,-0.837009120732546,NA,1.21338726021349,0.36363636,0.84615385,0.625,0.5,0.81818182,0.73333333,0.54166667,5,86.0343399047852,16.4035873413086,1,0.2,105.51,2,0.4,"2024-09-13",0
"Ryan Fernandez",24862,"2024-09-10","CIN",28,2024,"STL","H",26,0,0,0,1,0,0,0,0,0,0,0,0.1,3,1,0,0,0,1,0,0,0,0,0,0,27.000028163224,27.000028163224,0,0,0,1,1,0,0,0,0,0,0,0.33333333,-0.33333333,11.7253957421829,0,0.5,6.00000625849423,0.5,1,12.1664891660311,-12.1664891660311,16.7025191161447,0,300.808166971205,405.417943604044,1,0,0.5,0.5,0,0,0,0,8,9,17,-0.0162239968776703,-0.0310039948672056,0.0147799979895353,-0.400000005960464,-0.0421940945088863,0.527199983596802,0.408399999141693,0.408399999141693,0.857599973678589,1,1,-0.0438795946538448,0.0131056997705736,0,0,0.47058824,95.625,0.52941176,87.77777778,NA,NA,NA,-0.295628070831299,-0.232427731156349,NA,-3.69535088539124,-2.58253034618166,NA,0.33333333,0.4,0.35294118,1,0.5,0.83333333,0.29411765,0.66666667,0.05882353,0,0,2,0,2,0,2,0,0,1,0,1,0,6.1344040493795,39.97608,51.65505,44.33781,NA,NA,NA,43.79373,52.57549,54.35226,NA,NA,NA,40.78121,53.55552,50.92387,0.69814,5.1243,107.68,87.68,92.04,NA,NA,NA,102.72,76.8,86.88,NA,NA,NA,105.054117647059,81.92,89.3082352941176,0.47058824,NA,NA,0.52941176,95.5999984741211,NA,NA,87.7111138237847,-4.5386266708374,NA,NA,1.23718282911513,10.2806520462036,NA,NA,1.36300457848443,-0.301016759127378,NA,NA,-0.239423960447311,-3.76270948909223,NA,NA,-2.66026622719235,0.33333333,0.4,0.35294118,1,0.5,0.83333333,0.29411765,17.07142857,0.35294118,0.11764706,0.52941176,96.4698486328125,93.8121948242188,87.9020792643229,-4.71931838989258,-2.40421009063721,1.92372110154894,9.86672846476237,7.71727991104126,0.183657222323947,-0.241725120693445,-0.0592916384339333,-0.239423960447311,-4.02875201155742,-2.96458192169666,-2.66026622719235,0.33333333,0.4,0.35294118,1,0.5,0.83333333,0.29411765,2,87.361213684082,17.5308418273926,0,0,91.8657,0,0,"2024-09-10",0
"Ryan Fernandez",24862,"2024-09-06","SEA",28,2024,"STL","H",26,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,2,27.000028163224,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-67.8134251901132,-66.6847344309602,0,0,0,0,0,0,0,0,2,7,9,0.0236600022763014,-0.00874799676239491,0.0324079990386963,0.501999974250793,0.0529535859823227,0.567200005054474,0.267399996519089,0.534799993038177,0.331999987363815,1,1,0.0391899719834328,0.00252371289925526,0,0,0.44444444,95.75,0.55555556,86.6,NA,NA,NA,0.0946290343999863,0.437996119260788,NA,2.36572585999966,8.75992238521576,NA,0.6,1,0.77777778,0.33333333,1,0.71428571,0.44444444,1,0.22222222,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.74716099587202,76.29806,54.36484,71.72033,NA,NA,NA,78.55615,60.60874,74.50722,NA,NA,NA,80,60.69222,80,-2.05986,0.9873,96.04,107.24,97.8,NA,NA,NA,121.56,152.04,147.92,NA,NA,NA,110.217777777778,132.128888888889,125.644444444444,0.44444444,NA,NA,0.55555556,95.7249984741211,NA,NA,86.4599975585938,-5.78665542602539,NA,NA,1.63004550933838,10.1533794403076,NA,NA,0.693317794799805,0.095424372702837,NA,NA,0.431658107787371,2.38560931757092,NA,NA,8.63316215574741,0.6,1,0.77777778,0.33333333,1,0.71428571,0.44444444,21.57142857,0.44444444,NA,0.55555556,95.7721481323242,NA,86.4740783691406,-5.61809253692627,NA,2.05246143341064,9.32909774780273,NA,-0.560620212554932,0.095424372702837,NA,0.431658107787371,2.38560931757092,NA,8.63316215574741,0.6,1,0.77777778,0.33333333,1,0.71428571,0.44444444,0,NA,NA,0,NA,NA,0,NA,"2024-09-06",0
"Ryan Fernandez",24862,"2024-09-04","@MIL",28,2024,"STL","A",26,0,0,0,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,1,0,0,0,3,27,9,0,3,0,0,0,0,0,0,0,0,0,0.75,0.25,0.5,2.52560408401489,0,0,1,0,1,0.166479778289795,-0.166479778289795,0.166479778289795,0,5.91097014260723,5.81258759727958,0,0,0,0,0,0,0,0,7,10,17,0.443491965532303,-0.0278659947216511,0.471357971429825,1.12300002574921,0.115356959402561,5.23315000534058,4.35080003738403,4.35080003738403,NA,0,1,0.0857316106557846,-0.000984954229023116,1,0,0.17647059,95.66666667,0.76470588,87.92307692,0.05882353,93,0.23529412,-0.0728156045079231,0.832837641239166,0.0389156937599182,-2.42718681693077,6.40644339414743,3.89156937599182,0.38461538,0.5,0.41176471,0.2,0.5,0.28571429,0.23529412,0.5,0.29411765,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0.128971667137955,57.88403,69.21403,30.60395,NA,NA,NA,31.4655,53.22445,42.1204,80,46.91235,80,42.1094,62.39331,46.22155,0.61562,5.00052,119.74,83.62,103.62,NA,NA,NA,108.44,72.42,80.9,90.08,165.62,163.06,109.354117647059,79.8788235294118,89.7423529411765,0.17647059,0.05882353,NA,0.76470588,95.6333312988281,92.6999969482422,NA,88.046151968149,-4.08561992645264,1.90242266654968,NA,1.391235938439,12.1015981038411,6.29081916809082,NA,1.76971039405236,-0.0746744982898235,0.039364367723465,NA,0.842968828976154,-2.48914994299412,3.9364367723465,NA,6.48437560750888,0.41666667,0.4,0.41176471,0.2,0.5,0.28571429,0.29411765,18.35714286,0.17647059,0.05882353,0.76470588,95.8403015136719,92.8769989013672,88.1993126502404,-3.72593339284261,2.7440299987793,2.11693000793457,11.2307332356771,4.98302984237671,0.33829219524677,-0.0746744982898235,0.039364367723465,0.842968828976154,-2.48914994299412,3.9364367723465,6.48437560750888,0.41666667,0.4,0.41176471,0.2,0.5,0.28571429,0.29411765,0,NA,NA,0,NA,NA,0,NA,"2024-09-04",0
