"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","XX%","wFB","wSL","wFB/C","wSL/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxvFA","pfxvSI","pfxvSL","pfxFA-X","pfxSI-X","pfxSL-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxwFA","pfxwSI","pfxwSL","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piSI%","piSL%","pivFA","pivSI","pivSL","piFA-X","piSI-X","piSL-X","piFA-Z","piSI-Z","piSL-Z","piwFA","piwSI","piwSL","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Ryan Thompson",16647,"2024-09-28","SDP",15,2024,"ARI","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,1,0,0,0,0,1,0,0.33333333,0,0.33333333,1.13839575453556,0,0,0,0,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,30.967621390532,29.9783111930123,1,0,1,0,0,0,0,0,3,8,11,0.0886000022292137,0,0.0886000022292137,0.510999977588654,0.0516161620616913,1.1599999666214,1.54199993610382,1.54199993610382,1.85399997234344,1,1,0.0765075981616974,-0.000128283697345327,1,0,0.81818182,92,0.18181818,79,NA,0.633188962936401,0.0572940893471241,7.03543292151557,2.8647044673562,0.66666667,0.2,0.45454545,0.5,1,0.6,0.45454545,0.66666667,0.18181818,1,1,0,1,1,0,2,0.5,0.5,0,0.5,0.5,0,-0.220154424699479,58.32008,43.60246,36.33548,80,61.57924,80,80,71.98609,80,80,57.35357,80,-2.93793,-0.3298,127.3,128.16,113.42,119.68,134.08,149.22,136.66,112.48,137.98,124.152727272727,129.076363636364,140.667272727273,0.18181818,0.63636364,0.18181818,93.1000061035156,91.5714285714286,78.5999984741211,-8.10443305969238,-9.15566580636161,7.36534357070923,2.7900013923645,-4.33434540884835,4.29871273040771,0.158049866557121,0.482679136097431,0.057969942688942,7.90249332785606,6.8954162299633,2.8984971344471,0.5,0.42857143,0.45454545,0,1,0.6,0.63636364,16.875,0.18181818,0.63636364,0.18181818,92.7322998046875,91.2181396484375,78.1840515136719,-7.06849956512451,-8.3117801121303,8.81313991546631,2.26385998725891,-5.3564943586077,3.22279500961304,0.158049866557121,0.482679136097431,0.057969942688942,7.90249332785606,6.8954162299633,2.8984971344471,0.5,0.42857143,0.45454545,0,1,0.6,0.63636364,2,101.76976776123,-14.6513271331787,0,0,101.77,1,0.5,"2024-09-28",0
"Ryan Thompson",16647,"2024-09-27","SDP",15,2024,"ARI","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,80.8940481410376,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,1,5,6,0.0354800000786781,0,0.0354800000786781,0.510999977588654,0.0516161620616913,0.464000016450882,0.612000048160553,0.612000048160553,0.502000033855438,1,1,0.076463870704174,1.64399572460949e-06,0,0,1,91.16666667,NA,NA,NA,0.673993706703186,NA,11.2332284450531,NA,0.5,1,0.66666667,1,1,1,0.33333333,0.66666667,0,0,2,1,2,0,1,3,0,0.66666667,0.33333333,0.66666667,0,0.33333333,1.18882241138593,NA,NA,NA,64.93993,63.21872,67.15092,NA,NA,NA,73.08707,57.7477,80,-1.3089,2.11374,NA,NA,NA,110.68,91.26,106.68,NA,NA,NA,110.68,91.26,106.68,NA,1,NA,NA,91.1666666666667,NA,NA,-9.01720937093099,NA,NA,-3.05568345387777,NA,NA,0.68224385753274,NA,NA,11.370730958879,NA,0.5,0.75,0.66666667,1,1,1,0.66666667,16,NA,1,NA,NA,90.8866373697917,NA,NA,-8.28780810038249,NA,NA,-3.98692671457926,NA,NA,0.68224385753274,NA,NA,11.370730958879,NA,0.5,0.75,0.66666667,1,1,1,0.66666667,3,76.2458750406901,-23.7210744222005,1,0.33333333,107.063,1,0.33333333,"2024-09-27",0
"Ryan Thompson",16647,"2024-09-22","@MIL",15,2024,"ARI","A",32,0,0,18,1,0,0,0,0,0,0,0,1,5,3,2,2,0,0,0,0,0,0,0,0,0,27,0,0,0,3,2,0,0,0,0,0,0,0,0,5.37832908401489,0,0.6,3,0.6,0.33333333,3.1664797782898,14.8335202217102,6.19049659073353,430.494668171272,80.8940481410376,151.387312822842,1.5,0,0.6,0.4,0,0,1,9,8,10,18,-0.065360002219677,-0.288294017314911,0.222934007644653,-1.50099992752075,-0.154185935854912,1.65037143230438,0.688399970531464,0.688399970531464,1.04779994487762,1,1,-0.107938766479492,0.0683355590194503,0,1,0.61111111,90.27272727,0.38888889,77.85714286,NA,-1.3161073923111,0.487297385931015,-11.9646126573736,6.96139122758593,0,0.75,0.33333333,NA,1,1,0.44444444,0.4,0,2,2,1,0,2,3,5,0.4,0.4,0.2,0,0.4,0.6,1.14921201494276,20,62.77962,20,30.89022,59.06298,20.23246,35.02742,48.23796,20,26.53679,55.69124,20,1.58309,6.45173,94.46,62.86,57.68,129.68,71.9,105.96,96.42,86.78,95.16,108.918888888889,75.6777777777778,91.0311111111111,0.22222222,0.38888889,0.38888889,90.2750015258789,90.1571393694196,77.8857160295759,-5.62873792648315,-8.1671861921038,6.02164895193917,2.17367148399353,-4.72591781616211,3.54588999067034,-0.122066427022219,-1.24289388209581,0.494272373616695,-3.05166067555547,-17.7556268870831,7.06103390880993,0,0.66666667,0.33333333,NA,1,1,0.5,18.84615385,0.22222222,0.38888889,0.38888889,89.8639221191406,89.7546037946429,77.479989188058,-4.94573259353638,-7.44685581752232,7.06400844029018,1.9561607837677,-5.60415158952986,2.92629296439035,-0.122066427022219,-1.24289388209581,0.494272373616695,-3.05166067555547,-17.7556268870831,7.06103390880993,0,0.66666667,0.33333333,NA,1,1,0.5,5,104.580102539062,3.77559013366699,2,0.4,110.999,5,1,"2024-09-22",0
"Ryan Thompson",16647,"2024-09-20","@MIL",15,2024,"ARI","A",32,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,80.8940481410376,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,4,6,10,0.0509460009634495,0,0.0509460009634495,0.499000012874603,0.051258347928524,0.66839998960495,1.04779994487762,1.04779994487762,0.907800018787384,1,1,0.076530747115612,-0.000309918636005796,0,0,0.9,91,0.1,78,NA,0.721390843391418,-0.04739710688591,8.01545381546021,-4.739710688591,0.28571429,0.66666667,0.4,1,1,1,0.3,0.66666667,0,1,1,1,1,1,1,3,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,0.33333333,1.18882241138593,20,47.8056,20,61.6776,63.10484,35.95357,78.00376,49.48066,80,53.1844,54.10009,25.37757,-0.07242,3.96846,101.4,14.98,2.72,122.5,102.02,133.26,110.3,106.72,127.54,117.06,85.082,106.58,0.2,0.7,0.1,91.3000030517578,90.7714320591518,78,-6.87190246582031,-8.60541479928153,6.09434795379639,2.15381693840027,-4.89208548409598,2.99605321884155,0.155483696609735,0.61729383841157,-0.0483221560716629,7.77418483048677,8.81848340587957,-4.83221560716629,0.33333333,0.5,0.4,1,1,1,0.4,17.42857143,0.2,0.7,0.1,90.9824523925781,90.4548601422991,77.6377029418945,-6.29112529754639,-7.9423942565918,7.42150020599365,1.91372001171112,-5.83098874773298,2.33963990211487,0.155483696609735,0.61729383841157,-0.0483221560716629,7.77418483048677,8.81848340587957,-4.83221560716629,0.33333333,0.5,0.4,1,1,1,0.4,3,83.1271362304688,-14.9974568684896,1,0.33333333,106.584,1,0.33333333,"2024-09-20",0
"Ryan Thompson",16647,"2024-09-18","@COL",15,2024,"ARI","A",32,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,80.8940481410376,78.3097583844777,2,0,1,0,0,0,0,0,3,4,7,0.0235240012407303,0,0.0235240012407303,0.340000003576279,0.0295909494161606,0.436000019311905,0.284600019454956,0.569200038909912,0.775600016117096,1,1,0.0540273077785969,-7.31788823278914e-05,0,0,1,90,NA,NA,NA,0.42417049407959,NA,6.05957848685128,NA,0.2,1,0.42857143,0,1,0.66666667,0.28571429,0.5,0.14285714,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,1.39254496826667,NA,NA,NA,20,60.56351,20,NA,NA,NA,20,55.06609,20,2.22723,7.41794,NA,NA,NA,130.22,38.78,77.68,NA,NA,NA,130.22,38.78,77.68,NA,1,NA,NA,89.9857177734375,NA,NA,-7.78719220842634,NA,NA,-4.06267438616071,NA,NA,0.429479386657476,NA,NA,6.13541980939252,NA,0.2,1,0.42857143,0,1,0.66666667,0.28571429,22.8,NA,1,NA,NA,90.186288016183,NA,NA,-7.3391968863351,NA,NA,-4.06844438825335,NA,NA,0.429479386657476,NA,NA,6.13541980939252,NA,0.2,1,0.42857143,0,1,0.66666667,0.28571429,2,81.7014770507812,-20.6294059753418,0,0,86.7736,0,0,"2024-09-18",0
"Ryan Thompson",16647,"2024-09-16","@COL",15,2024,"ARI","A",32,0,1,0,1,0,0,0,0,0,0,0,0.2,4,1,1,0,0,1,1,0,0,0,0,0,13.500014081612,13.500014081612,0,0,0,1,1,1,0,0,0,0,0,0.25,-0.25,9.77622908401489,0,0.333333333333333,3.00000312924711,0.333333333333333,0.5,7.66648447216047,-7.66648447216047,9.93449944721724,0,193.22862550377,241.863850994261,1,0.333333333,0.333333333,0.333333333,0,0,0,0,1,5,6,-0.306431978940964,-0.337339997291565,0.0309080071747303,-0.86599999666214,-0.0753698870539665,2.40095996856689,1.95946657657623,1.1327999830246,NA,0,1,-0.0905474424362183,-0.0370814988842276,0,1,0.66666667,90.5,0.33333333,77.5,0.5,-0.0130443684756756,0.0931044071912766,-0.32610921189189,4.65522035956383,0.5,1,0.83333333,1,1,1,0.66666667,0.75,0,1,2,0,1,2,0,3,0.33333333,0.66666667,0,0.33333333,0.66666667,0,10.4240959399142,37.87337,41.34313,28.00657,46.00484,51.36655,37.29476,80,45.81566,76.01554,59.83725,46.13789,51.01285,-0.48574,3.34848,117.2,-9.26000000000001,-39,102.28,100.96,106.84,107.24,128.76,138.04,106.42,91.8566666666667,92.9333333333333,0.16666667,0.5,0.33333333,93.1999969482422,90.0666707356771,77.6500015258789,-6.52967405319214,-8.07568359375,5.3832950592041,2.19112634658813,-2.27336088816325,2.32138633728027,-0.565348207950592,0.550592977553606,0.094138327986002,-56.5348207950592,18.3530992517869,4.7069163993001,0.5,1,0.83333333,1,1,1,0.66666667,18,0.16666667,0.5,0.33333333,93.4272003173828,90.3136393229167,77.8479461669922,-6.02900981903076,-7.65018653869629,6.05643463134766,2.27637004852295,-2.32708994547526,2.62999486923218,-0.565348207950592,0.550592977553606,0.094138327986002,-56.5348207950592,18.3530992517869,4.7069163993001,0.5,1,0.83333333,1,1,1,0.66666667,3,80.1338348388672,20.0430768330892,0,0,100.718,1,0.33333333,"2024-09-16",0
"Ryan Thompson",16647,"2024-09-15","MIL",15,2024,"ARI","H",32,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,1,0,0,0,0,1,9,9,18,1,0,0,1,0,1,0,0,1,0,0.2,0.2,0,5.60764908401489,0,0.5,3,0.666666666666667,0.66666667,4.1664797782898,4.8335202217102,4.1664797782898,215.247334085636,105.85726151629,102.47548198021,1,0.5,0.5,0,0,0,2,18,10,9,19,-0.0569599904119968,-0.139599993824959,0.0826399996876717,-0.489000022411346,-0.0493939407169819,0.779428601264954,0.612000048160553,0.612000048160553,0.913999974727631,1,1,-0.0735624060034752,0.000483242216625324,0,0,0.57894737,91.45454545,0.42105263,78.875,NA,-0.26325798034668,0.0724991261959076,-2.393254366788,0.906239077448845,0.15384615,0.66666667,0.31578947,0.5,0.5,0.5,0.31578947,0.6,0.15789474,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,8.49825290758536,20,76.90175,20,39.92718,58.62297,35.04834,38.85487,64.48832,33.10246,36.11437,63.7469,25.86267,0.98807,5.5592,170,-52.84,8.62,109.88,93.5,98.56,113.06,71.64,87.9,114.383157894737,76.5936842105263,89.3378947368421,0.05263158,0.52631579,0.42105263,93,91.1299987792969,78.7750015258789,-7.67200374603271,-9.00835113525391,5.79656314849854,5.74612712860107,-4.09916152954102,4.45239162445068,-0.0380783230066299,-0.229372374713421,0.0709666460752487,-3.80783230066299,-2.29372374713421,0.887083075940609,0.09090909,0.625,0.31578947,1,0.4,0.5,0.42105263,17.5,0.05263158,0.52631579,0.42105263,92.9038009643555,90.990673828125,78.6262893676758,-6.39701986312866,-8.17787628173828,7.16064977645874,5.76219987869263,-5.23871688842773,3.67406368255615,-0.0380783230066299,-0.229372374713421,0.0709666460752487,-3.80783230066299,-2.29372374713421,0.887083075940609,0.09090909,0.625,0.31578947,1,0.4,0.5,0.42105263,3,95.0380554199219,-9.14297103881836,0,0,96.7876,1,0.33333333,"2024-09-15",0
"Ryan Thompson",16647,"2024-09-13","MIL",15,2024,"ARI","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-18.9588053599737,-18.3531359984531,1,0,1,0,0,0,0,0,6,9,15,0.0559000223875046,0,0.0559000223875046,0.510999977588654,0.0516161620616913,0.731333374977112,0.978000044822693,0.978000044822693,0.990000009536743,1,1,0.0765453800559044,-0.000109619976919814,0,0,0.4,91,0.6,78.55555556,NA,0.261603206396103,0.483107149600983,4.36005343993505,5.3678572177887,0.45454545,0.5,0.46666667,0.4,0.5,0.42857143,0.26666667,0.33333333,0.26666667,0,1,0,0,0,1,1,0,1,0,0,0,1,-1.61607952611381,NA,NA,NA,48.07631,51.90721,33.92148,20,79.99719,20,28.62443,74.82959,20,1.4534,6.25719,NA,NA,NA,105.44,102.48,109.42,124.76,56.44,74.64,117.032,74.856,88.552,NA,0.4,0.6,NA,90.9833374023438,78.6888902452257,NA,-10.0965150197347,6.93180762396918,NA,-3.64290682474772,4.96398756239149,NA,0.264909822493792,0.488268963992596,NA,4.41516370822986,5.42521071102884,0.4,0.6,0.46666667,0.25,0.66666667,0.42857143,0.33333333,17.5,NA,0.4,0.6,NA,90.9247639973958,78.5867241753472,NA,-8.99966684977213,8.54912651909722,NA,-4.74684492746989,4.08780331081814,NA,0.264909822493792,0.488268963992596,NA,4.41516370822986,5.42521071102884,0.4,0.6,0.46666667,0.25,0.66666667,0.42857143,0.33333333,1,101.414192199707,-3.5830705165863,0,0,101.414,1,1,"2024-09-13",0
"Ryan Thompson",16647,"2024-09-10","TEX",15,2024,"ARI","H",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,80.8940481410376,114.84853560366,2,0,0.666666666,0.333333333,0,0,0,0,4,6,10,0.0294000152498484,0,0.0294000152498484,0.510999977588654,0.0516161620616913,0.379333317279816,0.601999998092651,0.601999998092651,0.502000033855438,1,1,0.0784408897161484,-0.000936452561313889,0,0,1,91.8,NA,NA,NA,0.673993706703186,NA,6.73993706703186,NA,0.33333333,0.75,0.5,1,1,1,0.4,0.66666667,0,0,3,0,1,2,0,3,0,1,0,0.33333333,0.66666667,0,1.18882241138593,80,54.6146,80,50.58093,47.81417,25.04419,NA,NA,NA,68.47243,42.76819,33.99254,-1.02221,2.54378,131.6,169.4,174.26,98.84,125.4,121.46,NA,NA,NA,102.116,129.8,126.74,0.1,0.9,NA,93.1999969482422,91.5555555555556,NA,-7.72872352600098,-8.47631412082248,NA,3.6579692363739,-3.56256018744575,NA,0,0.682243876159191,NA,0,7.5804875128799,NA,0.42857143,0.66666667,0.5,1,1,1,0.3,19.14285714,0.1,0.9,NA,93.2157974243164,91.6026068793403,NA,-6.98759984970093,-7.76648118760851,NA,3.33294010162354,-4.42080222235786,NA,0,0.682243876159191,NA,0,7.5804875128799,NA,0.42857143,0.66666667,0.5,1,1,1,0.3,3,67.2320251464844,-6.67513211568197,0,0,84.9477,0,0,"2024-09-10",0
"Ryan Thompson",16647,"2024-09-08","@HOU",15,2024,"ARI","A",32,0,0,0,1,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,3,27,0,27,3,1,0,1,0,2,0,1,0,0,0.5,0,0.5,0.472145751588559,0,0.5,3,1,1,-2.8335202217102,2.8335202217102,-2.8335202217102,0,-68.8852321104793,-66.6845831899186,1,0.666666666,0.333333333,0,0,0,1,9,6,15,21,0.00648599956184626,-0.0299839992076159,0.0364699997007847,0.476999998092651,0.0505564361810684,0.361900001764297,0.147399991750717,0.147399991750717,0.0257999990135431,1,1,-0.0651774033904076,0.0830994800144097,0,0,0.85714286,91.16666667,0.14285714,79,NA,-0.0794500708580017,-0.513470888137817,-0.441389282544454,-17.1156962712606,0.53846154,0.75,0.61904762,0.42857143,0.66666667,0.53846154,0.38095238,0.5,0.28571429,2,1,0,1,2,0,3,0.66666667,0.33333333,0,0.33333333,0.66666667,0,2.80755427347558,NA,NA,NA,57.84384,65.06159,41.50916,41.40717,53.03471,25.41298,61.19034,59.9837,40.38067,-0.5698,3.22239,NA,NA,NA,123.24,107.84,126.2,124.68,92.86,107.24,123.445714285714,105.7,123.491428571429,NA,0.85714286,0.14285714,NA,91.1777750651042,79.0999959309896,NA,-10.0021438598633,5.40710767110189,NA,-4.20052676730686,4.51276365915934,NA,-0.0845909118652344,-0.52138003334403,NA,-0.469949510362413,-17.379334444801,0.58333333,0.66666667,0.61904762,0.42857143,0.66666667,0.53846154,0.42857143,18.33333333,NA,0.85714286,0.14285714,NA,91.4649386935764,79.3477325439453,NA,-8.69344584147135,6.59049352010091,NA,-5.23463651869032,3.62855339050293,NA,-0.0845909118652344,-0.52138003334403,NA,-0.469949510362413,-17.379334444801,0.54545455,0.7,0.61904762,0.33333333,0.71428571,0.53846154,0.47619048,3,79.6793924967448,-2.56236330668131,0,0,82.3097,0,0,"2024-09-08",0
