"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CH%","CHv","XX%","wFB","wSL","wCH","wFB/C","wSL/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","pivCH","pivFA","pivSI","pivSL","piCH-X","piFA-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwSI","piwSL","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Sixto Sanchez",19680,"2024-05-31","TEX",20,2024,"MIA","H",25,0,0,4.5,1,1,0,0,0,0,0,0,4,15,4,2,2,1,1,0,0,0,0,0,0,2.25,9,0,0,0,7,6,1,0,0,0,0,0,0.06666667,-0.06666667,6.93572018867951,2.25,0.285714285714286,1.25,0.230769230769231,0.83333333,7.1664797782898,-2.6664797782898,6.1844923876226,106.559326929317,174.91518599192,151.24221691005,1.166666666,0.071428571,0.5,0.428571428,0,0.166666666,4,9,24,29,53,0.00372006092220545,-0.2498599588871,0.253580033779144,-0.261799991130829,-0.0260497555136681,0.776933372020721,0.875200033187866,0.870000004768372,2.16400003433228,1,1,-0.107240281999111,0.112028415777597,0,0,0.37735849,89.65,0.32075472,79.82352941,0.30188679,82.1875,NA,0.374881148338318,-1.53044974803925,1.20009994506836,1.87440574169159,-9.00264557670145,7.50062465667725,0.12903226,0.59090909,0.32075472,1,1,1,0.41509434,0.53333333,0,6,4,4,1,8,5,14,0.42857143,0.28571429,0.28571429,0.07142857,0.57142857,0.35714286,6.40433361752328,42,42.51057,46.17275,43.32692,20,20,20,NA,NA,NA,37.82029,34.32251,26.93588,27.43802,36.5188,26.02606,1.5271,6.36774,68.5,63.36,48.34,71.36,101.9,87.52,NA,NA,NA,92.56,84.36,78.32,77.1347169811321,82.4577358490566,70.5233962264151,0.32075472,0.32075472,NA,0.35849057,90,79.8764720243566,NA,82.8894749691612,-5.27302326875574,3.08729463465074,NA,-10.4095876593339,7.46397040872013,2.40779024011949,NA,3.41631437602796,0.740081608295441,-1.52909557148814,NA,0.85286158323288,4.3534212252673,-8.99467983228319,NA,4.48874517490989,0.16666667,0.52173913,0.32075472,1,1,1,0.43396226,14.13157895,0.30188679,0.33962264,0.03773585,0.32075472,82.3596038818359,90.1722751193576,87.429443359375,80.1657643037684,-9.85900497436523,-4.44977781507704,-9.87985992431641,3.86234373204848,1.31117856502533,6.18646325005425,2.52545046806335,0.638308637282428,1.21577050536871,0.401181995868683,-0.0240093097090721,-1.52909557148814,7.59856565855443,2.22878886593713,-1.20046548545361,-8.99467983228319,0.16129032,0.54545455,0.32075472,1,1,1,0.41509434,14,90.656485421317,16.1144376482282,2,0.14285714,110.136,5,0.35714286,"2024-05-31",0
"Sixto Sanchez",19680,"2024-05-25","@ARI",20,2024,"MIA","A",25,0,1,5.4,1,1,0,0,0,0,0,0,5,21,5,3,3,0,2,0,0,0,0,2,3.6,3.6,9,1,0,0,8,4,4,0,0,1,0,0.0952381,0.0952381,0,5.58278123957464,0,0.263157894736842,1.4,0.294117647058824,0.57142857,3.5664797782898,1.83352022171021,4.77608650326729,127.87119231518,87.9471535943951,117.207069598116,2,0.25,0.5,0.25,0,0,2,3.6,29,47,76,-0.109899960458279,-0.379659950733185,0.269760012626648,-0.44499996304512,-0.0449494943022728,0.906909108161926,0.698800027370453,0.920000016689301,0.837999999523163,1,1,-0.0592392571270466,-0.0619415309687063,0,0,0.32894737,93,0.43421053,84.18181818,0.23684211,85.72222222,NA,-0.34918811917305,0.190106421709061,0.348859578371048,-1.3967524766922,0.576080065785032,1.93810876872804,0.25581395,0.78787879,0.48684211,0.81818182,0.76923077,0.78378378,0.43421053,0.71428571,0.10526316,8,2,7,1,6,10,17,0.47058824,0.11764706,0.41176471,0.05882353,0.35294118,0.58823529,4.86565819710132,49,42.81704,58.00576,57.90515,20,20,38.02877,45.06047,20,56.98483,56.61864,48.91751,42.85468,38.42951,39.5791,44.90871,0.84424,5.34345,80.58,107.76,88.62,72.28,65.86,33.62,79.16,123.28,103.06,107.26,109.24,103.64,89.5297297297297,98.6705405405405,81.7662162162162,0.25,0.43421053,0.06578947,0.25,93.6789486533717,84.1242453835227,90.8400024414063,86.0052618729441,-4.27914468865646,2.21534659645774,-9.51428833007813,-9.86065834446957,7.45681361148232,2.17321523030599,4.14595794677734,2.54770821019223,-0.701763726770878,0.198938135057688,0.0970728844404221,0.600463397800922,-3.69349329879409,0.602842833508145,1.94145768880844,3.16033367263643,0.18918919,0.76923077,0.48684211,0.71428571,0.8,0.78378378,0.51315789,17.14814815,0.23684211,0.25,0.07894737,0.43421053,85.7171698676215,93.5877043071546,90.5728963216146,84.0012576941288,-9.4707531399197,-3.68592914782072,-8.92944653828939,2.80956545743075,1.10809877183702,6.37806902433697,2.74187850952148,0.855152708111387,0.350674994289875,-0.701763726770878,0.346861287951469,0.198938135057688,1.94819441272153,-3.69349329879409,5.78102146585782,0.602842833508145,0.18918919,0.76923077,0.48684211,0.71428571,0.8,0.78378378,0.51315789,17,92.0075759887695,6.32326078414917,1,0.05882353,104.974,9,0.52941176,"2024-05-25",0
"Sixto Sanchez",19680,"2024-05-19","NYM",20,2024,"MIA","H",25,0,1,9,1,1,0,0,0,0,0,0,4,20,6,4,4,0,2,0,1,1,0,2,4.5,4.5,13.5,1,0,0,5,7,3,1,0,0,0,0.1,0.1,0,6.20053908401489,0,0.352941176470588,2,0.4,0.55555556,4.4164797782898,4.5835202217102,7.06249448917806,213.118653858634,108.481272354922,172.459773012712,0.714285714,0.2,0.333333333,0.466666666,0.142857142,0,2,4.5,31,54,85,-0.196799993515015,-0.465680003166199,0.268880009651184,-1.91180002689362,-0.190228849649429,1.04438102245331,0.673500001430511,0.870000004768372,0.706000030040741,1,1,-0.00869748555123806,-0.179739482647131,0,0,0.37647059,93.5,0.25882353,83.45454545,0.36470588,85.41935484,NA,-1.17406976222992,-1.32996332645416,1.0299859046936,-3.6689680069685,-6.04528784751892,3.32253517643098,0.3125,0.59459459,0.43529412,0.86666667,0.90909091,0.89189189,0.43529412,0.45,0.04705882,8,4,3,4,5,6,15,0.53333333,0.26666667,0.2,0.26666667,0.33333333,0.4,4.47781971886334,38,69.6052,62.27609,65.16936,45.18821,34.43728,50.44173,33.89143,60.74141,39.4206,59.91323,47.75536,62.77579,58.23535,50.53785,62.38864,-0.38622,3.49776,78.66,121.08,104.88,80.52,110.18,96.36,88.36,101.2,96.92,104.18,98,97.86,86.3343529411765,110.580235294118,99.8818823529412,0.32941176,0.25882353,0.04705882,0.36470588,93.7071446010045,83.468184037642,91.5500030517578,85.3709677419355,-4.86391448974609,3.1015642339533,-9.50991249084473,-10.5074640089466,8.9217403956822,0.976379481228915,4.35865688323975,2.97499182916457,-0.450491476804018,-1.36670653894544,-0.745808113366365,1.03804875537753,-1.60889813144292,-6.21230244975198,-18.6452028341591,3.34854437218558,0.2,0.6,0.43529412,0.85714286,0.9,0.89189189,0.58823529,18.578125,0.36470588,0.32941176,0.04705882,0.25882353,85.6621723790323,93.9997820172991,91.8308029174805,83.7310125177557,-9.88465635238155,-4.10585021972656,-8.72981548309326,3.78035805442116,1.47574160175939,7.55180304391043,3.13177490234375,-0.486951134421609,1.03804875537753,-0.450491476804018,-0.745808113366365,-1.36670653894544,3.34854437218558,-1.60889813144292,-18.6452028341591,-6.21230244975198,0.19444444,0.6122449,0.43529412,0.85714286,0.9,0.89189189,0.57647059,15,90.7260498046875,17.3585896809896,2,0.13333333,107.189,8,0.53333333,"2024-05-19",0
"Sixto Sanchez",19680,"2024-05-13","@DET",20,2024,"MIA","A",25,0,0,0,1,1,0,0,0,0,0,0,4.2,21,5,3,0,0,2,0,0,0,0,2,3.85714338263694,3.85714338263694,9.64285845659235,1,0.083333333,0,12,3,2,0,1,0,0,0.0952381,0.0952381,0,4.53044563976581,0,0.263157894736842,1.50000020435881,0.294117647058824,0.57142857,3.59505126524946,-3.59505126524946,4.56705680167447,0,88.637377484271,112.155715606126,4,0.117647058,0.705882352,0.176470588,0,0,3,5.78571507395541,25,56,81,-0.1631800532341,-0.39354795217514,0.23036789894104,-1.08000004291534,-0.113924048841,0.9518181681633,0.7567999958992,0.870000004768372,2.44160008430481,1,1,0.00237254123203456,-0.173812905255538,0,0,0.41975309,94.11764706,0.28395062,84,0.2962963,85.33333333,NA,-0.259846568107605,1.09981083869934,-1.35449051856995,-0.764254612081191,4.78178625521453,-5.64371049404144,0.26190476,0.64102564,0.44444444,0.81818182,0.96,0.91666667,0.48148148,0.71428571,0.03703704,9,5,3,1,9,7,17,0.52941176,0.29411765,0.17647059,0.05882353,0.52941176,0.41176471,3.21036803572293,47,48.52855,48.02983,54.70291,57.99295,40.9842,71.27773,58.70353,58.02833,60.1411,58.59831,54.96003,58.86355,54.7267,47.68844,66.04558,-0.16824,3.82473,79.1,99.02,80.86,79.04,108.8,96.54,87.24,126.68,123.52,103.68,90.02,88.46,86.762962962963,102.114814814815,91.9313580246914,0.34567901,0.28395062,0.07407407,0.2962963,94.3999982561384,83.9782608695652,92.4166666666667,85.1499989827474,-4.59202085222517,3.37856956150221,-10.0199731190999,-8.84696515401204,7.86741038731166,1.41202412480893,3.1582768758138,3.03124332427979,-0.322577346116304,1.11168472096324,0.0500390268862247,-0.300430148839951,-1.15206195041537,4.83341183027496,0.833983781437079,-1.25179228683313,0.21875,0.59183673,0.44444444,0.71428571,0.96551724,0.91666667,0.60493827,15.37288136,0.2962963,0.33333333,0.08641975,0.28395062,85.464111328125,94.7761863425926,92.8455113002232,84.2837020210598,-8.60921223958333,-4.10445997450087,-9.38910675048828,3.73899476424507,1.89350461959839,7.00666130913628,2.46148436410087,0.424851873646612,-0.300430148839951,0.163753967732191,-0.436292286962271,1.11168472096324,-1.25179228683313,0.606496176785893,-6.23274695660387,4.83341183027496,0.21875,0.59183673,0.44444444,0.71428571,0.96551724,0.91666667,0.60493827,17,91.5854635799632,5.12139982335708,0,0,108.57,9,0.52941176,"2024-05-13",0
"Sixto Sanchez",19680,"2024-05-05","@OAK",20,2024,"MIA","A",25,0,0,4.5,1,1,0,0,0,0,0,0,4,19,3,2,2,0,3,0,0,0,0,2,4.5,6.75,6.75,0.66666667,0.2,0,5,4,5,0,1,0,0,0.10526316,0.15789474,-0.05263158,6.72980110629154,0,0.1875,1.5,0.214285714285714,0.66666667,4.4164797782898,0.0835202217102049,5.92848818451166,106.559326929317,108.481272354922,145.055690098326,1.25,0.357142857,0.357142857,0.285714285,0,0,5,11.25,27,38,65,0.0178120080381632,-0.209239989519119,0.227052003145218,-0.18800000846386,-0.0206140354275703,0.804652631282806,0.560500025749207,0.684800028800964,0.969599962234497,1,1,0.0182332769036293,0.00390299326523429,0,0,0.4,92.15384615,0.23076923,82.73333333,0.36923077,84.08333333,NA,0.0958708822727203,0.17730151116848,-0.461506694555283,0.368734162587386,1.18201007445653,-1.92294456064701,0.14285714,0.63333333,0.36923077,0.6,0.89473684,0.83333333,0.46153846,0.36842105,0.06153846,3,6,5,3,11,0,14,0.21428571,0.42857143,0.35714286,0.21428571,0.78571429,0,7.24259847978806,48,48.2723,54.96318,42.5036,46.98283,41.27574,52.53525,NA,NA,NA,47.71441,44.18382,54.20421,43.1682,52.03506,43.24615,0.54985,4.90187,79.12,91.76,79.76,80.84,78.92,76.82,97.8,190.44,193.82,99,76.78,75.08,85.4129230769231,90.2273846153846,84.7492307692308,0.32307692,0.23076923,0.06153846,0.38461538,92.4571416945684,82.7399983723958,90.9499969482422,84.20400390625,-6.16087777273996,2.35694122314453,-10.2581653594971,-10.9039111328125,9.17821611676897,1.31300799051921,3.59654664993286,3.10152923583984,-0.129971079528332,0.217350497841835,0.241188671439886,0.623101357370615,-0.618909902515865,1.44900331894557,6.02971678599715,2.49240542948246,0.03571429,0.62162162,0.36923077,1,0.82608696,0.83333333,0.56923077,15.95555556,0.38461538,0.32307692,0.06153846,0.23076923,84.649267578125,92.7903703962054,90.499397277832,83.0629638671875,-9.63781616210938,-4.80641246977307,-9.98422241210938,3.70501124064128,1.65690734863281,7.90947105771019,2.98996996879578,-0.193666521708171,0.702118251472712,-0.129971079528332,0.16217177733779,0.217350497841835,2.80847300589085,-0.618909902515865,4.05429443344474,1.44900331894557,0.03571429,0.62162162,0.36923077,1,0.82608696,0.83333333,0.56923077,14,85.9146379743304,9.40530722481864,0,0,105.421,3,0.21428571,"2024-05-05",0
"Sixto Sanchez",19680,"2024-04-30","COL",20,2024,"MIA","H",25,0,0,11.25,1,1,0,0,0,0,0,0,4,19,7,5,5,1,0,0,0,0,0,3,6.75,0,15.75,3,0,0,6,4,5,0,0,1,0,0.15789474,0,0.15789474,3.96880388869192,2.25,0.368421052631579,1.75,0.4,0.35714286,4.9164797782898,6.3335202217102,3.17848818451166,266.398317323292,120.560165743467,78.5999502100606,1.5,0.333333333,0.4,0.266666666,0,0.25,0,0,16,53,69,-0.310539990663528,-0.406299978494644,0.0957599952816963,-2.91180014610291,-0.289731353521347,0.529578924179077,0.423500001430511,0.870000004768372,0.211999997496605,1,1,-0.148630678653717,-0.437759709039505,0,0,0.27941176,95.52631579,0.41176471,87.17857143,0.30882353,88.38095238,0.01449275,-1.79400837421417,-1.11644744873047,0.935418963432312,-9.44214933796933,-3.98731231689453,4.45437601634434,0.51612903,0.75675676,0.64705882,0.6875,0.92857143,0.84090909,0.54411765,0.63157895,0.10144928,5,6,5,2,10,4,16,0.3125,0.375,0.3125,0.125,0.625,0.25,7.37883835609617,32,80,79.14393,76.08585,52.52556,47.58539,53.19011,80,80,75.0926,NA,NA,NA,72.83791,62.31752,72.2586,-1.29342,2.13696,104.12,122.5,130.84,101.92,107.2,99,113.62,146.48,154.02,123.04,106.36,115.98,112.308955223881,114.575820895522,120.181791044776,0.19117647,0.41176471,0.08823529,0.30882353,96.1615365835337,87.2142857142857,94.1166687011719,88.4000011625744,-5.664185157189,2.14756734030587,-11.089724222819,-11.1216118222191,9.38410128079928,2.13050665174212,4.52390702565511,2.53500202723912,0.0143022499978542,-1.13318092748523,-1.83059874176979,0.946616396307945,0.110017307675802,-4.04707474101867,-30.5099790294965,4.50769712527593,0.45454545,0.73913043,0.64705882,0.6,0.91176471,0.84090909,0.67647059,16.36734694,0.30882353,0.19117647,0.08823529,0.41176471,88.5966506231399,96.3734506460337,94.322021484375,87.412118094308,-10.3146049862816,-4.64822475726788,-10.196320215861,3.15609250749861,0.9234862554641,7.7482663668119,2.96822834014893,0.669333185468401,0.998334005475044,0.0143022499978542,-1.83059874176979,-1.13318092748523,4.75397145464307,0.110017307675802,-30.5099790294965,-4.04707474101867,0.40909091,0.76086957,0.64705882,0.55555556,0.91428571,0.84090909,0.67647059,16,94.3785237630208,8.76088053385417,1,0.0625,107.643,10,0.625,"2024-04-30",0
"Sixto Sanchez",19680,"2024-04-24","@ATL",20,2024,"MIA","A",25,0,0,10.1250024139887,1,1,0,0,0,0,0,0,2.2,13,5,3,3,0,1,0,1,0,1,3,10.1250024139887,3.3750008046629,16.8750040233145,3,0.25,0,4,0,4,0,1,0,0,0.23076923,0.07692308,0.15384615,3.35159890482684,0,0.454545454545455,2.25000053644193,0.625,0.57142857,3.1664797782898,6.95852263569889,3.1664797782898,239.758542753854,78.284038883559,78.3097583844777,4,0.5,0.5,0,0,0,1,3.3750008046629,21,38,59,-0.0932719558477402,-0.331483960151672,0.238211989402771,-0.804000020027161,-0.0817073136568069,1.1270250082016,0.814933300018311,0.870000004768372,1.09880006313324,1,1,-0.122406616806984,0.0396471792000272,0,0,0.45762712,96.22222222,0.37288136,85.77272727,0.16949153,89.1,NA,0.530310034751892,-1.13531816005707,-0.669755101203918,1.96411123982182,-5.16053709116849,-6.69755101203919,0.34375,0.77777778,0.54237288,0.81818182,0.95238095,0.90625,0.45762712,0.53846154,0.05084746,5,2,1,0,8,0,8,0.625,0.25,0.125,0,1,0,7.26544517944259,38,55.35817,60.85516,49.04312,49.70439,41.18838,70.20187,61.69356,48.09912,47.90859,NA,NA,NA,50.3089,44.07038,56.24176,0.10622,4.23642,94.44,102.66,87.5,90.06,112.68,92.42,97.98,129.08,127.22,121.1,92.66,99.62,103.047796610169,104.906440677966,97.22,0.37288136,0.37288136,0.08474576,0.16949153,96.3090931285511,85.781815962358,95.3200012207031,89.15,-4.80693262273615,2.62902537259189,-9.63022384643555,-9.48662109375,8.54213992032138,1.51045712557706,4.59833602905273,2.50075340270996,-0.238031342625618,-1.15760031715035,0.777129281312227,-1.00457464158535,-1.08196064829826,-5.2618196234107,15.5425856262445,-10.0457464158535,0.18181818,0.75675676,0.54237288,1,0.89285714,0.90625,0.62711864,18.2173913,0.16949153,0.37288136,0.08474576,0.37288136,89.227001953125,96.394209428267,95.3957397460938,85.8561123934659,-8.96839218139649,-4.24938028508967,-9.19260025024414,3.56209321455522,1.27222061157227,7.30182925137607,3.33324394226074,0.379713491960005,-1.00457464158535,-0.238031342625618,0.777129281312227,-1.15760031715035,-10.0457464158535,-1.08196064829826,15.5425856262445,-5.2618196234107,0.17391304,0.77777778,0.54237288,1,0.89285714,0.90625,0.61016949,8,87.6195983886719,4.75520133972168,0,0,108.882,3,0.375,"2024-04-24",0
"Sixto Sanchez",19680,"2024-04-20","@CHC",20,2024,"MIA","A",25,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,1,1,0,0,0,0,0,0,6.03472908401489,0,0.333333333333333,1,0.333333333333333,1,3.1664797782898,-3.1664797782898,4.67848818451166,0,78.284038883559,114.84853560366,1,0.333333333,0.333333333,0.333333333,1,0,0,0,3,8,11,0.0125999990850687,-0.00589600577950478,0.0184960048645735,0.468999981880188,0.0502679497003555,0.222800001502037,0.213200002908707,0.213200002908707,NA,0,1,0.0342273935675621,0.0223255642426895,0,0,0.27272727,92.66666667,0.27272727,82.66666667,0.45454545,83,NA,0.0510426200926304,0.711437046527863,-0.19184884428978,1.70142066975435,23.7145682175954,-3.83697688579559,0.5,0.71428571,0.63636364,0.5,1,0.85714286,0.63636364,0.33333333,0.09090909,0,2,1,1,1,1,3,0,0.66666667,0.33333333,0.33333333,0.33333333,0.33333333,4.28588464118939,NA,80,64.44319,75.76613,20,31.23831,20,NA,NA,NA,NA,NA,NA,60.41404,49.01556,51.46966,-0.52157,3.29474,84.64,111.16,100.48,97.4,46.9,42.36,NA,NA,NA,107.98,90.08,84.1,94.4854545454546,87.8854545454546,80.1618181818182,0.27272727,0.27272727,NA,0.45454545,92.7000020345052,82.5,NA,82.8799987792969,-5.2592519124349,3.16455682118734,NA,-10.6634704589844,10.2332763671875,2.23964277903239,NA,2.56927623748779,0.0514561831951141,0.724298350512981,NA,-0.19548849388957,1.7152061065038,24.1432783504327,NA,-3.9097698777914,0.33333333,0.75,0.63636364,0,1,0.85714286,0.72727273,16.5,0.45454545,0.27272727,NA,0.27272727,83.622119140625,93.4088643391927,NA,83.2123006184896,-9.86201782226562,-4.58183002471924,NA,4.16800340016683,1.20323219299316,9.09940656026204,NA,0.705671628316244,-0.19548849388957,0.0514561831951141,NA,0.724298350512981,-3.9097698777914,1.7152061065038,NA,24.1432783504327,0.33333333,0.75,0.63636364,0,1,0.85714286,0.72727273,3,88.1913248697917,30.883659362793,0,0,107.638,1,0.33333333,"2024-04-20",2
"Sixto Sanchez",19680,"2024-04-17","SFG",20,2024,"MIA","H",25,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,0,1,0,0,0,0,0,0.5,0.25,0.25,3.75272908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,3.67848818451166,0,54.1262521064686,90.682812007927,0,0,0,1,0,0,0,0,11,10,21,0.0188800022006035,-0.0225000008940697,0.0413800030946732,0.522000014781952,0.0519402995705605,0.41279998421669,0.310000002384186,0.310000002384186,NA,0,1,0.0385126918554306,0.00722374933273779,0,0,0.33333333,94.42857143,0.38095238,80.625,0.28571429,83.5,NA,0.220519244670868,-0.117830410599709,0.343198120594025,3.15027492386954,-1.47288013249636,5.71996867656708,0.07692308,0.375,0.19047619,1,1,1,0.38095238,0.25,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1.37945331509858,NA,63.11276,66.41764,50.42928,22.80102,40.0061,20,NA,NA,NA,NA,NA,NA,37.24013,44.99749,28.37585,0.91813,5.45429,65.58,158.12,143.66,84.02,38.32,37.8,NA,NA,NA,91.52,80,85.82,81.6085714285714,88.4266666666667,86.3390476190476,0.33333333,0.38095238,NA,0.28571429,94.4857177734375,80.6750030517578,NA,83.3999989827474,-4.10098784310477,3.23028612136841,NA,-9.78841908772787,8.29926899501256,-0.0672669187188148,NA,3.77093346913656,0.219806604087353,-0.121813595294952,NA,0.348502054810524,3.14009434410504,-1.5226699411869,NA,5.8083675801754,0,0.4,0.19047619,NA,1,1,0.47619048,16.125,0.28571429,0.33333333,NA,0.38095238,83.8946533203125,94.9781319754464,NA,81.1571273803711,-8.90464846293131,-3.25139290945871,NA,4.15276765823364,2.37852160135905,7.05358723231724,NA,-1.39615261554718,0.348502054810524,0.219806604087353,NA,-0.121813595294952,5.8083675801754,3.14009434410504,NA,-1.5226699411869,0,0.36363636,0.19047619,NA,1,1,0.52380952,1,92.1299133300781,27.4503860473633,0,0,92.1299,0,0,"2024-04-17",0
"Sixto Sanchez",19680,"2024-04-14","ATL",20,2024,"MIA","H",25,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,1,0,0,1,9,9,0,1,0,0,1,0,0,0,0,0,0,0.25,0.25,0,5.94041658401489,0,0,1,0,1,7.1664797782898,-7.1664797782898,7.1664797782898,0,174.91518599192,174.972652767409,1,0,1,0,0,0,3,27,7,9,16,0.0569000169634819,-0.0938599854707718,0.150759994983673,0.522000014781952,0.0519402995705605,1.61249995231628,0.986000001430511,0.986000001430511,1.35600006580353,1,1,0.0012231933651492,0.0340636399037434,0,0,0.375,95.33333333,0.25,82.25,0.375,86.83333333,NA,0.0250072553753853,0.581697285175323,-0.213010847568512,0.416787589589755,14.5424321293831,-3.55018079280853,0.3,0.66666667,0.4375,1,0.75,0.85714286,0.375,NA,0.0625,1,0,0,0,1,0,1,1,0,0,0,1,0,8.83009075218646,NA,34.14981,79.6625,20,32.14002,28.70143,48.47583,NA,NA,NA,NA,NA,NA,20,50.21731,20,2.66138,8.06916,90.52,46.56,56.36,89.5,123.24,118.58,NA,NA,NA,124.52,17.86,12.12,98.6375,68.14,68.6325,0.375,0.25,NA,0.375,95.4000040690104,82.1750030517578,NA,86.6666666666667,-5.87673314412435,2.34797120094299,NA,-12.1819330851237,8.9981632232666,0.00926148891448975,NA,3.23628425598145,0.0247692205011845,0.588893041014671,NA,-0.218925915658474,0.412820341686408,14.7223260253668,NA,-3.64876526097457,0.25,0.625,0.4375,1,0.8,0.85714286,0.5,18,0.375,0.375,NA,0.25,87.1312052408854,95.8960673014323,NA,82.6267242431641,-11.3214937845866,-5.20640341440837,NA,3.13240003585815,1.74827496210734,7.73571141560872,NA,-1.38222825527191,-0.218925915658474,0.0247692205011845,NA,0.588893041014671,-3.64876526097457,0.412820341686408,NA,14.7223260253668,0.33333333,0.57142857,0.4375,1,0.75,0.85714286,0.4375,1,78.1368408203125,-6.87304496765137,0,0,78.1368,0,0,"2024-04-14",0
