"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piFC%","piSI%","piSL%","pivCH","pivFA","pivFC","pivSI","pivSL","piCH-X","piFA-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFA","piwFC","piwSI","piwSL","piwCH/C","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Spencer Bivens",30226,"2024-09-28","STL",30,2024,"SFG","H",30,0,0,0,1,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,0,1,1,0,0,0,0,0.5,0,0.5,0.799854084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-19.0813844885779,18.1856412207288,0,0.5,0,0.5,0,0,0,0,6,12,18,0.156219989061356,-0.114870011806488,0.271090000867844,0.474000006914139,0.0503987222909927,3.51104998588562,2.82859992980957,2.82859992980957,NA,0,1,0.0332198366522789,0.0112739728033991,1,0,0.61111111,95.18181818,0.05555556,82,0.27777778,91.6,0.05555556,89,NA,-0.0239276513457298,-0.0207000374794006,0.445941150188446,-0.0879258811473846,-0.217524103142998,-2.07000374794006,8.91882300376892,-8.79258811473846,0.30769231,0.8,0.44444444,1,1,1,0.27777778,0.5,0,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,1.48417538159398,NA,80,23.30308,80,NA,NA,NA,60.023,53.57492,55.07025,20,62.17793,20,80,37.89822,80,74.84799,47.03166,80,-1.4183,1.94964,87.42,225.88,199.58,NA,NA,NA,104.84,133.86,152.68,157.76,47.08,56.42,100.52,158.26,147.56,105.612222222222,140.928888888889,148.515555555556,NA,0.27777778,0.61111111,0.05555556,0.05555556,NA,91.5799987792969,95.0999977805398,82.0999984741211,89.3000030517578,NA,0.289600110054016,-8.3469897183505,7.73938083648682,-6.59208106994629,NA,4.80879974365234,2.32773156599565,0.88581109046936,2.87497234344482,NA,0.433287631720304,-0.0251642763614655,-0.0210469514131546,-0.0897959321737289,NA,8.66575263440609,-0.228766148740595,-2.10469514131546,-8.97959321737289,0.11111111,0.77777778,0.44444444,1,1,1,0.5,19.28571429,0.05555556,NA,0.27777778,0.61111111,0.05555556,89.463996887207,NA,91.6857604980469,95.2350408380682,82.1682968139648,-6.4103798866272,NA,0.715030813217163,-8.32653877951882,8.78417015075684,1.19034004211426,NA,3.77840805053711,1.24715926430442,-0.643370985984802,-0.0897959321737289,NA,0.433287631720304,-0.0251642763614655,-0.0210469514131546,-8.97959321737289,NA,8.66575263440609,-0.228766148740595,-2.10469514131546,0.2,0.75,0.44444444,1,1,1,0.44444444,2,89.4651184082031,37.5399360656738,0,0,92.028,0,0,"2024-09-28",0
"Spencer Bivens",30226,"2024-09-25","@ARI",30,2024,"SFG","A",30,0,0,27,1,0,0,0,0,0,0,0,1,6,2,3,3,1,1,0,0,0,0,1,9,9,18,1,0,0,1,2,1,0,0,0,0,0.16666667,0.16666667,0,5.98386797026267,9,0.4,3,0.333333333333333,0,17.1664797782898,9.83352022171021,7.19049659073353,670.162082511638,433.161673125516,175.553036418574,0.5,0.25,0.25,0.5,0,0.5,0,0,7,20,27,-0.0246600043028593,-0.0319999940693378,0.00733998976647854,-2.48900008201599,-0.251414149999619,0.140333324670792,0.114000000059605,0.114000000059605,NA,0,1,-0.109183087944984,-0.0665414191220952,0,0,0.33333333,95.66666667,0.03703704,80,0.33333333,92,0.2962963,89,NA,0.0145956538617611,-0.0344077162444592,-0.211935475468636,-1.22831678390503,0.162173931797345,-3.44077162444592,-2.35483861631817,-15.3539597988129,0.33333333,0.73333333,0.55555556,1,0.90909091,0.93333333,0.55555556,0.66666667,0.03703704,1,3,0,0,1,3,4,0.25,0.75,0,0,0.25,0.75,17.1186130316004,NA,44.2003,42.48892,58.75392,20,23.06922,20,21.13382,54.77677,21.70156,20,51.6653,20,65.13987,38.76187,52.63492,35.21047,46.38583,34.48516,1.04423,5.64344,71.32,130.64,125.62,95.96,89.32,48.3,100.38,41.92,48.58,93.48,6.14000000000001,16.6,99.76,130.38,138.86,91.1437037037037,98.1244444444444,100.305185185185,0.03703704,0.33333333,0.2962963,0.03703704,0.2962963,96,91.9888916015625,95.6624984741211,80.3000030517578,89.0625,-4.24502944946289,0.192677723036872,-9.36415100097656,8.08145618438721,-6.07182312011719,6.67419815063477,5.15117475721571,2.96568369865417,1.9366307258606,1.9898864030838,-0.0210469514131546,-0.216683384031057,0.0320206470787525,-0.0350487045943737,-1.22739139944315,-2.10469514131546,-2.40759315590064,0.400258088484406,-3.50487045943737,-15.3423924930394,0.3,0.70588235,0.55555556,1,0.91666667,0.93333333,0.62962963,19.42857143,0.2962963,0.03703704,0.33333333,0.2962963,0.03703704,88.7504119873047,95.7190017700195,91.6603122287326,95.3389511108398,79.9927978515625,-5.92281246185303,-4.23217010498047,0.72757625579834,-9.08438396453857,8.05381965637207,0.526952087879181,6.06993007659912,3.92864905463325,1.56689262390137,0.365906000137329,-1.22739139944315,-0.0210469514131546,-0.216683384031057,0.0320206470787525,-0.0350487045943737,-15.3423924930394,-2.10469514131546,-2.40759315590064,0.400258088484406,-3.50487045943737,0.3,0.70588235,0.55555556,1,0.91666667,0.93333333,0.62962963,4,101.750762939453,16.0876312255859,1,0.25,108.016,4,1,"2024-09-25",0
"Spencer Bivens",30226,"2024-09-23","@ARI",30,2024,"SFG","A",30,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,2,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-19.0813844885779,-18.3531359984531,2,0,1,0,0,0,1,9,8,13,21,0.0557999983429909,-0.0145000042393804,0.070300005376339,0.511000037193298,0.0516161620616913,0.760499954223633,1.06199991703033,1.06199991703033,0.705999970436096,1,1,0.0432493910193443,0.0301233922833912,0,0,0.52380952,96,0.14285714,82.33333333,0.14285714,91.66666667,0.19047619,89.75,NA,-0.710044205188751,0.11107836663723,0.448391675949097,0.420013964176178,-6.45494731989774,3.702612221241,14.9463891983032,10.5003491044044,0.27272727,0.6,0.42857143,0.66666667,0.66666667,0.66666667,0.47619048,0.5,0.14285714,0,2,0,1,1,0,2,0,1,0,0.5,0.5,0,-0.908047367940228,NA,80,64.31705,80,NA,NA,NA,24.17682,54.25011,34.85418,80,59.28037,80,80,67.56183,80,55.24271,59.69098,69.72849,-0.2003,3.77664,91.98,143.58,172.02,NA,NA,NA,114.42,71.32,76.18,131.22,101.08,121.8,86.98,146.94,172.16,108.625714285714,100.138095238095,114.66380952381,NA,0.14285714,0.52380952,0.14285714,0.19047619,NA,91.4666646321615,95.845458984375,82.5,89.7249984741211,NA,0.607375661532084,-9.43260886452415,7.28227361043294,-7.46696281433105,NA,5.34063911437988,2.94491750543768,2.58597071965535,-0.0962261110544205,NA,0.455394864082336,-0.722727388143539,0.112001650035381,0.425943229347467,NA,15.1798288027445,-6.57024898312309,3.73338833451271,10.6485807336867,0.36363636,0.5,0.42857143,0.75,0.8,0.77777778,0.47619048,17.23529412,0.19047619,NA,0.14285714,0.52380952,0.14285714,89.5958480834961,NA,91.3297017415365,95.7005948153409,82.3373006184896,-7.32705783843994,NA,0.981228669484456,-9.20753201571378,7.67403666178385,-1.84983503818512,NA,4.00920995076497,1.47066064314409,0.819018363952637,0.425943229347467,NA,0.455394864082336,-0.722727388143539,0.112001650035381,10.6485807336867,NA,15.1798288027445,-6.57024898312309,3.73338833451271,0.3,0.54545455,0.42857143,0.66666667,0.66666667,0.66666667,0.52380952,2,68.3585891723633,-21.9614276885986,0,0,96.8735,1,0.5,"2024-09-23",0
"Spencer Bivens",30226,"2024-09-21","@KCR",30,2024,"SFG","A",30,0,0,0,1,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,2,9,0,9,2,0,0,3,2,1,1,0,0,0,0.25,0,0.25,2.52382283401489,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,2.67848818451166,0,31.1678441352104,66.5170884121943,1.5,0.166666666,0.5,0.333333333,0.5,0,0,0,9,19,28,0.00529200024902821,-0.00223399978131056,0.00752600003033876,1.067999958992,0.104552134871483,0.0382249988615513,0.0543000027537346,0.0624000020325184,0.0162000004202127,1,1,0.100227154791355,0.0382162829232023,0,0,0.42857143,96.25,0.28571429,82.75,0.21428571,93,0.07142857,91,NA,0.277260571718216,-0.21681572496891,0.315516084432602,0.158785134553909,2.31050476431847,-2.71019656211138,5.25860140721003,7.93925672769547,0.23076923,0.66666667,0.46428571,0.66666667,1,0.92307692,0.53571429,0.75,0.03571429,2,1,3,2,1,3,6,0.33333333,0.16666667,0.5,0.33333333,0.16666667,0.5,0.886202211547946,NA,80,46.1729,80,NA,NA,NA,46.52409,49.08281,51.81268,70.81524,62.51138,73.13663,51.14653,47.04905,57.37481,62.43186,54.49171,69.47349,-0.64693,3.1067,96.9,159.94,142.86,NA,NA,NA,103.82,109,115.14,134.22,117.8,137,84.84,115.5,110.36,107.944285714286,116.545714285714,122.341428571429,NA,0.21428571,0.42857143,0.28571429,0.07142857,NA,93.0333353678385,96.1749979654948,82.6125030517578,91,NA,-0.363316178321838,-9.30349858601888,7.9513897895813,-8.14871597290039,NA,4.6781743367513,3.26305452982585,1.75601351261139,2.146568775177,NA,0.301339145749807,0.279554519802332,-0.221751239150763,0.160528633743525,NA,5.02231909583012,2.32962099835277,-2.77189048938453,8.02643168717623,0.1,0.66666667,0.46428571,0,1,0.92307692,0.64285714,16.6,NA,NA,0.21428571,0.5,0.28571429,NA,NA,92.7203979492188,95.1613159179688,82.2997589111328,NA,NA,0.200908998648326,-8.96303340366909,8.74477577209473,NA,NA,3.83991845448812,1.95940453665597,0.48470938205719,NA,NA,0.301339145749807,0.440083153545856,-0.221751239150763,NA,NA,5.02231909583012,3.14345109675612,-2.77189048938453,0.1,0.66666667,0.46428571,0,1,0.92307692,0.64285714,6,94.4725341796875,13.3529637654622,1,0.16666667,103.73,4,0.66666667,"2024-09-21",0
"Spencer Bivens",30226,"2024-09-19","@BAL",30,2024,"SFG","A",30,0,0,0,1,0,0,0,0,0,0,0,2,10,3,0,0,0,1,1,0,0,0,2,9,4.5,13.5,2,0,0,5,1,1,0,0,0,0,0.2,0.1,0.1,3.22160908401489,0,0.333333333333333,2,0.428571428571429,1,2.6664797782898,-2.6664797782898,3.42248398140073,0,68.8547656030515,84.4962851962024,5,0.142857142,0.714285714,0.142857142,0,0,1,4.5,12,23,35,0.067980021238327,-0.0683000087738037,0.136280030012131,0.934000015258789,0.100430108606815,0.9327272772789,0.60699999332428,0.71399998664856,2.22399997711182,1,1,0.0366950668394566,0.0361879965106892,1,0,0.45714286,96.0625,NA,NA,0.45714286,92.3125,0.08571429,89.33333333,0.05714286,0.278440564870834,NA,-0.347086906433105,0.104187428951263,1.74025353044271,NA,-2.16929316520691,3.47291429837545,0.125,0.78947368,0.48571429,1,0.93333333,0.94117647,0.54285714,0.5,0.02857143,5,1,1,0,6,1,7,0.71428571,0.14285714,0.14285714,0,0.85714286,0.14285714,2.59061208314141,NA,20,42.57126,20,NA,NA,NA,75.39551,62.95508,69.03944,NA,NA,NA,77.61531,46.09387,67.76405,74.34434,53.82868,69.73636,-1.38701,1.99658,94.9,1.12,1.03999999999999,NA,NA,NA,95.88,129.3,137.7,NA,NA,NA,90.44,135.64,148.84,93.4828571428571,118.682857142857,128.346285714286,NA,0.45714286,0.45714286,NA,0.08571429,NA,92.1875,96.0124969482422,NA,89.0666707356771,NA,0.11361463367939,-10.238733291626,NA,-7.00043551127116,NA,5.84495306015015,2.64204096794128,NA,0.803623040517171,NA,-0.354971561580896,0.280542530119419,NA,0.104580651968718,NA,-2.2185722598806,1.75339081324637,NA,3.48602173229059,0,0.68,0.48571429,NA,0.94117647,0.94117647,0.71428571,20,0.08571429,NA,0.45714286,0.45714286,NA,89.0962320963542,NA,92.2277374267578,96.052375793457,NA,-6.61284001668294,NA,0.803531229496002,-9.81287670135498,NA,-0.547608613967896,NA,4.78637075424194,1.49461507797241,NA,0.104580651968718,NA,-0.354971561580896,0.280542530119419,NA,3.48602173229059,NA,-2.2185722598806,1.75339081324637,NA,0.09090909,0.66666667,0.48571429,1,0.9375,0.94117647,0.68571429,7,90.6507568359375,0.560827255249023,0,0,102.218,2,0.28571429,"2024-09-19",0
"Spencer Bivens",30226,"2024-09-15","SDP",30,2024,"SFG","H",30,0,0,0,1,0,0,0,0,0,0,0,0.2,4,1,1,0,0,0,0,0,0,0,0,0,0,13.500014081612,0,1,0,1,1,1,0,1,1,0,0,0,0,6.03472908401489,0,0.25,1.50000156462356,0.25,0,3.1664797782898,-3.1664797782898,5.43449475334657,0,81.4170727589986,133.117981382682,1,0.333333333,0.333333333,0.333333333,0,0,0,0,4,9,13,-0.158951997756958,-0.158951997756958,0,-0.873999953269958,-0.0929292887449265,2.13369989395142,1.3400000333786,1.3400000333786,1.58619999885559,1,1,-0.0872206166386604,0.0127246679780484,0,1,0.53846154,96.14285714,0.23076923,82.33333333,0.15384615,92,0.07692308,90,NA,-0.830053389072418,0.0514308586716652,0.0884336829185486,-0.0238054171204567,-11.8579055581774,1.71436195572217,4.42168414592743,-2.38054171204567,0.16666667,0.85714286,0.53846154,1,0.83333333,0.85714286,0.53846154,0.75,0.07692308,0,1,3,1,2,1,4,0,0.25,0.75,0.25,0.5,0.25,5.73706493990619,NA,20,51.9599,20,NA,NA,NA,73.92782,52.04888,62.0691,37.925,62.04782,20,63.98079,47.11382,73.70561,65.51988,54.68162,53.64424,-0.83878,2.81892,93.66,63.32,55.06,NA,NA,NA,94.8,142.78,137.18,138.64,80.92,112.88,87.92,143.88,142.44,104.518333333333,120.876666666667,125.138333333333,NA,0.15384615,0.53846154,0.23076923,0.07692308,NA,92.1000061035156,96.1285749162946,82.3333333333333,89.5999984741211,NA,-0.367616921663284,-8.65060097830636,9.12008285522461,-8.86557674407959,NA,6.42394876480103,3.1337228502546,2.63361152013143,0.506107926368713,NA,0.0895345062017441,-0.84311157092452,0.0589280985295773,-0.0242429338395596,NA,4.4767253100872,-12.0444510132074,1.96426995098591,-2.42429338395596,0,0.77777778,0.53846154,NA,0.85714286,0.85714286,0.69230769,16.33333333,0.07692308,NA,0.15384615,0.53846154,0.23076923,89.7022018432617,NA,92.1860504150391,96.2624250139509,82.3982645670573,-9.1600399017334,NA,0.0279084891080856,-8.48956734793527,9.44270324707031,-0.843073010444641,NA,5.548415184021,2.07937976292201,1.47588666280111,-0.0242429338395596,NA,0.0895345062017441,-0.84311157092452,0.0589280985295773,-2.42429338395596,NA,4.4767253100872,-12.0444510132074,1.96426995098591,0.2,0.75,0.53846154,1,0.83333333,0.85714286,0.61538462,4,84.8786061604818,13.4123471577962,0,0,95.2186,1,0.25,"2024-09-15",0
"Spencer Bivens",30226,"2024-09-12","MIL",30,2024,"SFG","H",30,0,0,9,1,0,0,0,0,0,0,0,2,8,2,2,2,1,0,0,0,0,0,1,4.5,0,9,1,0,0,5,2,0,0,0,0,0,0.125,0,0.125,2.92590095901489,4.5,0.25,1,0.166666666666667,0,8.66647977828979,0.333520221710206,3.67848818451166,223.387360837213,219.602451474416,90.682812007927,2.5,0,0.714285714,0.285714285,0,0.5,0,0,11,20,31,-0.159347996115685,-0.195503994822502,0.0361559987068176,-1.05200004577637,-0.111855387687683,0.404400020837784,0.492000013589859,0.863200008869171,NA,0,1,-0.0360845699906349,-0.357951008409109,0,1,0.38709677,92.83333333,0.19354839,79.83333333,0.25806452,89.25,0.16129032,87.6,NA,-1.18126952648163,0.248989045619965,0.173068791627884,0.238011538982391,-9.84391272068024,4.14981742699941,2.16335989534855,4.76023077964783,0.30769231,0.55555556,0.4516129,0.75,0.9,0.85714286,0.58064516,0.375,0.06451613,2,2,3,1,4,2,7,0.28571429,0.28571429,0.42857143,0.14285714,0.57142857,0.28571429,6.30615444197456,NA,59.98637,45.26194,68.82653,20,45.17841,20,52.66539,51.66326,60.44003,66.5535,52.82383,55.36242,64.64337,37.49377,72.97978,61.2742,49.16295,69.58568,-0.57501,3.21458,87.7,127.64,113.2,84.9,61.1,58.26,109.06,110.8,115.02,118.06,121.08,141.98,82.28,107.2,102.9,99.96,112.905625,114.986875,0.03225806,0.25806452,0.35483871,0.19354839,0.16129032,92.5,89.0999984741211,92.8454534357244,79.7666676839193,87.8599975585937,-10.0717792510986,-0.108957700431347,-10.1381128484553,7.15946769714355,-8.27335586547852,6.18349838256836,5.80916786193848,3.75552541559393,2.46668338775635,0.818654251098633,-0.0350487045943737,0.173481371253729,-1.1447514295578,0.252196200191975,0.240830600261688,-3.50487045943737,2.16851714067161,-10.4068311777982,4.20327000319958,4.81661200523376,0.23076923,0.61111111,0.4516129,0.66666667,0.90909091,0.85714286,0.58064516,17.43478261,0.16129032,NA,0.25806452,0.38709677,0.19354839,88.0426635742188,NA,89.2858352661133,93.0082600911458,79.9268188476562,-8.16149368286133,NA,0.433739244937897,-9.83914502461751,7.756409962972,-0.730670022964478,NA,4.59172487258911,2.68895689646403,0.898807684580485,0.240830600261688,NA,0.173481371253729,-1.17980013415217,0.252196200191975,4.81661200523376,NA,2.16851714067161,-9.83166778460145,4.20327000319958,0.21428571,0.64705882,0.4516129,0.66666667,0.90909091,0.85714286,0.5483871,7,84.3237130301339,1.76210866655622,1,0.14285714,102.831,2,0.28571429,"2024-09-12",0
"Spencer Bivens",30226,"2024-09-08","@SDP",30,2024,"SFG","A",30,0,0,2.07692322928526,1,1,0,0,0,0,0,0,4.1,18,4,1,1,1,1,0,0,0,0,3,6.23076968785577,2.07692322928526,8.30769291714103,3,0.2,0,5,6,3,1,1,0,0,0.16666667,0.05555556,0.11111111,4.67161488832415,2.07692322928526,0.235294117647059,1.15384623849181,0.230769230769231,1,5.47417225527341,-3.39724902598816,4.56772228969923,51.5509332057261,139.396956193672,112.171797605788,0.833333333,0.214285714,0.357142857,0.428571428,0.166666666,0.166666666,6,12.4615393757115,21,42,63,0.136683985590935,-0.121718011796474,0.258401989936829,0.800999999046326,0.0873977094888687,0.645566701889038,0.687279999256134,0.870000004768372,0.61760002374649,1,1,0.0493759028613567,0.162351228031507,0,0,0.50793651,94.40625,0.17460317,80.36363636,0.20634921,90.23076923,0.11111111,87.42857143,NA,-1.12044334411621,0.304574400186539,0.458110004663467,0.4169040620327,-3.50138545036316,2.76885818351399,3.5239231127959,5.95577231475285,0.38235294,0.62068966,0.49206349,0.69230769,0.88888889,0.80645161,0.46031746,0.61111111,0.0952381,3,4,7,1,11,2,14,0.21428571,0.28571429,0.5,0.07142857,0.78571429,0.14285714,5.56942946148672,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.28,153.34,186.16,102.24,163.26,154.92,142.46,81.3,119.54,123.36,86.28,116.58,106.18,120.52,151.3,129.703492063492,102.169841269841,134.66380952381,0.04761905,0.20634921,0.46031746,0.17460317,0.11111111,95.0666707356771,90.1923076923077,94.3137964709052,80.3545476740057,87.4428536551339,-5.46644655863444,0.628036499023438,-9.61225101865571,8.4305849942294,-8.53457587105887,7.04043896993001,5.3008053119366,3.11168775887325,1.81061241843484,2.16668156215123,-0.218445405364037,0.526323761790991,-0.926304150372744,0.306010250002146,0.464125730097294,-7.28151351213455,4.04864432146916,-3.19415224266463,2.78191136365587,6.63036757281848,0.4137931,0.55882353,0.49206349,0.66666667,0.89473684,0.80645161,0.53968254,17.75555556,0.11111111,0.04761905,0.20634921,0.46031746,0.17460317,87.2965000697545,94.8949381510417,90.0001314603365,94.1542884563578,80.1788829456676,-8.08204432896205,-4.93051338195801,1.32026496300331,-9.22375698747306,9.30345084450462,0.702371869768415,6.18428993225098,4.29805990365835,2.02769246594659,0.497559287331321,0.464125730097294,-0.218445405364037,0.526323761790991,-0.926304150372744,0.306010250002146,6.63036757281848,-7.28151351213455,4.04864432146916,-3.19415224266463,2.78191136365587,0.35714286,0.6,0.49206349,0.6,0.9047619,0.80645161,0.55555556,14,87.4932948521205,17.0856203351702,1,0.07142857,101.986,4,0.28571429,"2024-09-08",0
"Spencer Bivens",30226,"2024-09-04","ARI",30,2024,"SFG","H",30,0,0,4.5,1,0,0,0,0,0,0,0,4,14,2,2,2,1,1,0,0,0,0,3,6.75,2.25,4.5,3,0,0,5,4,1,1,0,0,0,0.21428571,0.07142857,0.14285714,3.72714234826341,2.25,0.153846153846154,0.75,0.111111111111111,0.625,5.6664797782898,-1.1664797782898,3.92848818451166,111.693680418606,144.228608538734,96.7242429068602,1.25,0.1,0.5,0.4,0.25,0.25,2,4.5,19,35,54,-0.0348979830741882,-0.140670001506805,0.105772018432617,-0.103999987244606,-0.0110579505562782,0.391385704278946,0.515850007534027,0.671599984169006,0.457800000905991,1,1,-0.121669493615627,0.0325042975120007,0,0,0.51851852,93.85714286,0.18518519,80.2,0.07407407,89,0.22222222,87.91666667,NA,1.25219547748566,0.785519599914551,0.430716335773468,-1.46010506153107,4.47212670530592,7.85519599914551,10.7679083943367,-12.1675421794256,0.24137931,0.72,0.46296296,0.85714286,0.94444444,0.92,0.46296296,0.57142857,0.03703704,6,2,2,2,6,2,10,0.6,0.2,0.2,0.2,0.6,0.2,4.82350373050356,NA,35.70053,37.78308,38.90013,22.42034,33.15714,20,69.76399,42.83839,71.58132,56.7786,47.48679,53.81468,69.00225,51.96515,75.89198,57.08336,41.92999,62.21276,-0.31465,3.60512,71.16,87.6,64.74,74.5,68,64.94,80.16,136.78,124.76,97.0654545454545,120.129090909091,119.036363636364,82.8,52.38,47.28,81.2503448275862,114.337931034483,103.123448275862,0.07407407,0.07407407,0.44444444,0.18518519,0.22222222,92.3499984741211,88.875,93.9749959309896,80.1400024414063,87.8916625976562,-9.33132266998291,0.771212041378021,-9.62456639607747,5.23128852844238,-7.38698895772298,6.53850746154785,7.30593824386597,3.27061525980631,2.63539943695068,2.2461109161377,-0.0160420648753643,0.434547826647758,1.32387936860323,0.795655891299248,-1.46176916733384,-0.401051621884108,10.863695666194,5.51616403584679,7.95655891299248,-12.181409727782,0.09090909,0.71875,0.46296296,0.5,0.95652174,0.92,0.59259259,17.55,0.22222222,NA,0.07407407,0.51851852,0.18518519,87.8714294433594,NA,88.8728790283203,93.7380109514509,80.12255859375,-7.28447151184082,NA,1.28608751296997,-9.4540045601981,5.68932800292969,0.682691653569539,NA,6.06624984741211,2.42879595075335,1.01068572998047,-1.46176916733384,NA,0.434547826647758,1.30783730372787,0.795655891299248,-12.181409727782,NA,10.863695666194,4.6708475133138,7.95655891299248,0.09090909,0.71875,0.46296296,0.5,0.95652174,0.92,0.59259259,10,86.1736206054688,9.66636505126953,1,0.1,105.017,3,0.3,"2024-09-04",0
"Spencer Bivens",30226,"2024-08-31","MIA",30,2024,"SFG","H",30,0,0,5.40000205993731,1,0,0,0,0,0,0,0,1.2,5,0,1,1,0,1,0,0,0,0,0,0,5.40000205993731,0,0,0,0,4,0,0,0,0,0,0,0,0.2,-0.2,4.51536908401489,0,0,0.600000228881923,0,0,4.96648046493556,0.433521595001745,4.96648046493556,134.032467631656,126.641395772118,121.808077450089,4,0,1,0,0,0,1,5.40000205993731,8,10,18,-0.0312340166419744,-0.106804005801678,0.0755699872970581,0.349000006914139,0.037107914686203,1.16569995880127,1.07959997653961,1.34319996833801,0.457800000905991,1,1,-0.00623049307614565,-0.0205637230565318,0,0,0.72222222,93.38461538,0.16666667,80.66666667,NA,NA,0.11111111,86.5,NA,0.892883956432343,-0.0322868339717388,NA,0.246492952108383,6.86833812640263,-1.07622779905796,NA,12.3246476054192,0.1,0.75,0.38888889,1,1,1,0.44444444,0.2,0,2,1,1,1,2,1,4,0.5,0.25,0.25,0.25,0.5,0.25,3.96856158318899,NA,73.87941,37.75939,80,29.98546,38.20953,29.38194,20,56.3065,20,21.65447,56.96694,32.22316,NA,NA,NA,20,49.93655,20,2.33199,7.57508,78.04,135.7,123.2,87.4,18.94,17,102.74,60.78,76.22,106.24,67.26,78.64,NA,NA,NA,99.7266666666667,67.86,78.5533333333333,0.05555556,NA,0.66666667,0.16666667,0.11111111,93.3000030517578,NA,93.4166666666667,80.6333312988281,86.0999984741211,-5.39920282363892,NA,-9.40337562561035,6.59259541829427,-6.7552433013916,10.0469007492065,NA,3.34238211313883,3.50433095296224,3.16423606872559,-0.0350487045943737,NA,0.939396269619465,-0.0332007221877575,0.249788388609886,-3.50487045943737,NA,7.82830224682887,-1.10669073959192,12.4894194304943,0,0.7,0.38888889,NA,1,1,0.55555556,19.23076923,0.11111111,0.05555556,NA,0.66666667,0.16666667,86.25634765625,93.4731979370117,NA,93.584726969401,80.8194681803385,-6.48275470733643,-4.40708017349243,NA,-9.04916191101074,7.19574356079102,1.55945944786072,8.91378021240234,NA,1.95952876408895,1.76296552022298,0.249788388609886,-0.0350487045943737,NA,0.939396269619465,-0.0332007221877575,12.4894194304943,-3.50487045943737,NA,7.82830224682887,-1.10669073959192,0,0.63636364,0.38888889,NA,1,1,0.61111111,4,77.5573806762695,-28.7303199768066,0,0,105.057,1,0.25,"2024-08-31",0
