"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CT%","CTv","CH%","CHv","XX%","wFB","wSL","wCT","wCH","wFB/C","wSL/C","wCT/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_o_FC","pb_s_FC","pb_c_FC","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_s_FC","sp_l_FC","sp_p_FC","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxFC%","pfxSI%","pfxSL%","pfxCH%","pfxvFA","pfxvFC","pfxvSI","pfxvSL","pfxvCH","pfxFA-X","pfxFC-X","pfxSI-X","pfxSL-X","pfxCH-X","pfxFA-Z","pfxFC-Z","pfxSI-Z","pfxSL-Z","pfxCH-Z","pfxwFA","pfxwFC","pfxwSI","pfxwSL","pfxwCH","pfxwFA/C","pfxwFC/C","pfxwSI/C","pfxwSL/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFC%","piSI%","piSL%","pivCH","pivFC","pivSI","pivSL","piCH-X","piFC-X","piSI-X","piSL-X","piCH-Z","piFC-Z","piSI-Z","piSL-Z","piwCH","piwFC","piwSI","piwSL","piwCH/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"T.J. McFarland",3237,"2024-09-28","@SEA",10,2024,"OAK","A",35,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,2,18,9,0,2,0,0,1,0,0,0,0,0,0,0.5,0.25,0.25,3.84572908401489,0,0,1,0,1,2.1664797782898,-2.1664797782898,2.1664797782898,0,53.9168682033091,52.0512824543046,1,0,1,0,0,0,3,27,6,11,17,0.0250520072877407,-0.0194540433585644,0.0445060506463051,0.430000007152557,0.048835888504982,0.515359997749329,0.4617999792099,0.4617999792099,1.62839996814728,1,1,0.0213482789695263,0.0272624152969038,0,0,0.47058824,88.25,0.35294118,79.33333333,NA,NA,0.17647059,82.33333333,NA,0.30671426653862,0.496814846992493,NA,-0.372744828462601,3.83392833173275,8.28024744987488,NA,-12.42482761542,0.25,0.55555556,0.41176471,0,0.8,0.57142857,0.52941176,1,0.17647059,1,0,0,0,1,0,1,1,0,0,0,1,0,1.47333134598827,20,52.36935,20,NA,NA,NA,74.25114,60.60628,65.95035,76.78658,44.36112,75.17223,NA,NA,NA,65.05789,54.93674,57.4919,-0.81008,2.86197,46.44,94.68,59.72,NA,NA,NA,104.06,120.04,111.32,92.36,119.96,109.56,NA,NA,NA,88.86875,115.255,100.985,NA,NA,0.47058824,0.35294118,0.17647059,NA,NA,88.25,79.1333312988281,82.2333323160807,NA,NA,10.5647220611572,-9.43980534871419,10.5948499043783,NA,NA,-1.56751370429993,-1.44525973002116,-1.50082286198934,NA,NA,0.310164071619511,0.502270732074976,-0.381251286715269,NA,NA,3.87705089524388,8.37117886791627,-12.7083762238423,0.25,0.55555556,0.41176471,0.5,0.6,0.57142857,0.52941176,20,0.17647059,NA,0.47058824,0.35294118,82.3931325276693,NA,88.4259796142578,79.2802327473958,10.2724335988363,NA,10.08376121521,-10.0489533742269,-3.51001993815104,NA,-3.1465961933136,-3.11566670735677,-0.381251286715269,NA,0.310164071619511,0.502270732074976,-12.7083762238423,NA,3.87705089524388,8.37117886791627,0.25,0.55555556,0.41176471,0.5,0.6,0.57142857,0.52941176,1,94.5758209228516,-23.7734794616699,0,0,94.5758,0,0,"2024-09-28",0
"T.J. McFarland",3237,"2024-09-26","TEX",10,2024,"OAK","H",35,0,0,0,1,0,0,0,0,0,1,0,0.2,2,0,0,0,0,0,0,0,0,0,1,13.500014081612,0,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0.5,-0.528020915985107,0,0,0,0,1,0.166476649042681,-0.166476649042681,0.166476649042681,0,2.37835939846227,2.29606542354053,1,0,1,0,0,0,0,0,1,6,7,0.0466280207037926,0,0.0466280207037926,0.136000037193298,0.0149122849106789,2.03959989547729,1.36619997024536,2.73239994049072,1.73000001907349,1,1,0.0309811271727085,-0.00811977048839619,0,0,0.57142857,88.75,0.14285714,78,NA,NA,0.28571429,81.5,NA,0.367513120174408,0.193908214569092,NA,0.0334886722266674,9.1878280043602,19.3908214569092,NA,1.67443361133337,0.5,1,0.71428571,0.5,0.66666667,0.6,0.42857143,1,0.28571429,1,0,0,0,1,0,1,1,0,0,0,1,0,-0.898796238625999,26.53857,37.29234,20,NA,NA,NA,63.00688,38.75163,67.09528,80,45.61986,80,NA,NA,NA,64.24358,38.2965,49.28765,-0.75949,2.93786,67.42,104.28,76,NA,NA,NA,87.4,99.64,83.2,124.54,160.78,112.38,NA,NA,NA,86.9971428571429,109.7,85.3114285714286,NA,NA,0.57142857,0.14285714,0.28571429,NA,NA,88.4250030517578,78.1999969482422,81.5,NA,NA,9.81333446502686,-11.1348562240601,7.7967472076416,NA,NA,-0.00255150347948074,0.959472119808197,-1.73411524295807,NA,NA,0.372241586446762,0.196128189563751,0.0337270088493824,NA,NA,9.30603966116905,19.6128189563751,1.68635044246912,0.66666667,0.75,0.71428571,0.5,0.66666667,0.6,0.57142857,25.8,0.28571429,NA,0.57142857,0.14285714,81.9027557373047,NA,88.8509979248047,78.5959014892578,8.0230598449707,NA,9.65690803527832,-10.8641004562378,-3.80869007110596,NA,-1.61674046516418,-0.499172002077103,0.0337270088493824,NA,0.372241586446762,0.196128189563751,1.68635044246912,NA,9.30603966116905,19.6128189563751,0.66666667,0.75,0.71428571,0.5,0.66666667,0.6,0.57142857,1,69.6009521484375,-14.3748683929443,0,0,69.601,0,0,"2024-09-26",0
"T.J. McFarland",3237,"2024-09-24","TEX",10,2024,"OAK","H",35,0,0,0,1,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,79.6860822866131,76.9288520456552,1,0,1,0,0,0,0,0,0,1,1,0.0958319827914238,0,0.0958319827914238,0.732999980449677,0.0803728029131889,3.90919995307922,1.95459997653961,3.90919995307922,1.3400000333786,1,1,0.0245144739747047,5.83174612767134e-10,1,0,NA,NA,1,78,NA,NA,NA,NA,NA,NA,0.32859742641449,NA,NA,NA,32.859742641449,NA,NA,NA,1,1,NA,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1.32813173702862,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,47.31236,NA,NA,NA,20,20,46.56916,3.89463,9.91904,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.04,152.2,153.4,NA,NA,NA,87.04,152.2,153.4,NA,NA,NA,1,NA,NA,NA,NA,77.6999969482422,NA,NA,NA,NA,-10.7676038742065,NA,NA,NA,NA,-2.7548496723175,NA,NA,NA,NA,0.332877218723297,NA,NA,NA,NA,33.2877218723297,NA,NA,1,1,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,78.0336990356445,NA,NA,NA,-10.7599000930786,NA,NA,NA,-4.34532022476196,NA,NA,NA,0.332877218723297,NA,NA,NA,33.2877218723297,NA,1,1,NA,1,1,1,1,88.2522277832031,-18.9414291381836,0,0,88.2522,0,0,"2024-09-24",0
"T.J. McFarland",3237,"2024-09-22","NYY",10,2024,"OAK","H",35,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.72206241920756,0,0,0,0,1,7.66648447216047,-7.66648447216047,7.66648447216047,0,195.647666618839,188.878031978827,1,0.5,0.5,0,0,0,0,0,2,6,8,0.0211120061576366,-0.0116880051791668,0.0328000113368034,0.272000014781952,0.0298245623707771,0.520666658878326,0.554533362388611,0.801200032234192,0.574400007724762,1,1,0.0169754885137081,0.0235725392841891,0,0,0.625,87.8,0.125,79,NA,NA,0.25,82,NA,0.289916634559631,-0.382368952035904,NA,0.252523243427277,5.79833269119263,-38.2368952035904,NA,12.6261621713638,0.57142857,1,0.625,0.75,1,0.8,0.125,0.66666667,0.125,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,17.1691530904876,45.66335,28.29171,57.90399,NA,NA,NA,59.82523,57.53822,54.27138,20,43.27536,20,NA,NA,NA,42.92147,46.31469,38.99959,0.56517,4.92485,62.36,107,60.14,NA,NA,NA,94.68,123.92,125.4,73.1,-20.82,-43.34,NA,NA,NA,83.9025,101.5975,87.9925,NA,NA,0.625,0.125,0.25,NA,NA,87.8200012207031,78.5999984741211,81.8000030517578,NA,NA,9.17402648925781,-9.40541076660156,7.63044309616089,NA,NA,-1.05670986175537,-2.89075565338135,-1.58483505249023,NA,NA,0.293468419462442,-0.390563726425171,0.255611632019281,NA,NA,5.86936838924885,-39.0563726425171,12.7805816009641,0.4,1,0.625,0.5,1,0.8,0.375,18,0.25,NA,0.625,0.125,82.1016006469727,NA,88.1469360351562,78.9264984130859,7.76802492141724,NA,9.07752838134766,-8.82349967956543,-3.43232488632202,NA,-2.65725002288818,-4.65539979934692,0.255611632019281,NA,0.293468419462442,-0.390563726425171,12.7805816009641,NA,5.86936838924885,-39.0563726425171,0.4,1,0.625,0.5,1,0.8,0.375,2,100.040130615234,2.97513294219971,0,0,101.047,2,1,"2024-09-22",0
"T.J. McFarland",3237,"2024-09-20","NYY",10,2024,"OAK","H",35,0,1,54.0000563264481,1,0,0,0,0,0,0,0,0.1,4,3,3,2,0,0,0,0,0,0,0,0,0,81.0000844896721,0,0,0,0,0,3,0,0,1,0,0,0,0,6.03472908401489,0,0.75,9.00000938774135,0.75,0,3.1664797782898,50.8335765481583,3.1664797782898,1394.0094065513,79.6860822866131,76.9288520456552,0,1,0,0,0,0,0,0,6,8,14,-0.426072418689728,-0.429780602455139,0.0037082068156451,-2.57800006866455,-0.282675445079803,1.29543995857239,2.6988000869751,2.6988000869751,0.164800003170967,1,1,-0.430688947439194,0.101787236580072,0,1,0.57142857,88,0.35714286,78.4,NA,NA,0.07142857,82,NA,-1.5640926361084,0.0691362470388412,NA,-0.04739710688591,-19.551157951355,1.38272494077682,NA,-4.739710688591,0.16666667,0.5,0.35714286,1,1,1,0.57142857,0.5,0,2,0,2,0,2,2,4,0.5,0,0.5,0,0.5,0.5,33.9397265661804,20,38.34215,20,NA,NA,NA,77.32117,69.1418,80,50.76009,47.18359,41.2671,NA,NA,NA,66.13961,59.23057,65.21173,-0.87728,2.76117,71.32,61.86,38.38,NA,NA,NA,96.36,142.86,147.78,89.7,106.88,101.8,NA,NA,NA,91.6618181818182,122.412727272727,121.114545454545,NA,NA,0.57142857,0.35714286,0.07142857,NA,NA,87.875,78.4599975585938,81.6999969482422,NA,NA,10.6870803833008,-10.642594909668,10.4053831100464,NA,NA,-0.625356674194336,-1.4625431060791,-0.678258657455444,NA,NA,-1.58225355297327,0.0696072354912758,-0.0483221560716629,NA,NA,-19.7781694121659,1.39214470982552,-4.83221560716629,0.16666667,0.5,0.35714286,1,1,1,0.57142857,21.1,0.07142857,NA,0.57142857,0.35714286,81.9561996459961,NA,88.1383514404297,78.7073974609375,10.9231996536255,NA,10.7538270950317,-10.7855224609375,-2.38927006721497,NA,-2.24222278594971,-3.24211387634277,-0.0483221560716629,NA,-1.58225355297327,0.0696072354912758,-4.83221560716629,NA,-19.7781694121659,1.39214470982552,0.16666667,0.5,0.35714286,1,1,1,0.57142857,4,101.775533040365,13.260072072347,1,0.25,110.043,2,0.5,"2024-09-20",0
"T.J. McFarland",3237,"2024-09-17","@CHC",10,2024,"OAK","A",35,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-74.9293634896886,-72.3367211985741,0,0,0,0,0,0,0,0,2,4,6,0.0800759941339493,0,0.0800759941339493,0.41499999165535,0.0444801710546017,3.17400002479553,1.58700001239777,3.17400002479553,1.74039995670319,1,1,0.0252287313342094,7.99019184150040e-11,1,0,0.83333333,88.8,0.16666667,79,NA,NA,NA,NA,NA,0.0350132957100868,0.2312992811203,NA,NA,0.700265914201736,23.12992811203,NA,NA,0,1,0.66666667,NA,0.5,0.5,0.66666667,1,0.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.70499516569614,NA,NA,NA,NA,NA,NA,26.26567,57.44713,25.42197,80,50.46311,80,NA,NA,NA,43.83316,53.13535,32.43552,0.50853,4.83989,NA,NA,NA,NA,NA,NA,106.78,80.62,84.38,140.64,142,150.96,NA,NA,NA,112.423333333333,90.85,95.4766666666667,NA,NA,0.83333333,0.16666667,NA,NA,NA,88.3400024414063,79.3000030517578,NA,NA,NA,10.242520904541,-10.0189170837402,NA,NA,NA,-0.195707285404205,-1.12342178821564,NA,NA,NA,0.0350130535662174,0.23420649766922,NA,NA,NA,0.700261071324348,23.420649766922,NA,0,1,0.66666667,NA,0.5,0.5,0.66666667,22.6,NA,NA,0.83333333,0.16666667,NA,NA,88.5579833984375,79.5551986694336,NA,NA,9.46762008666992,-10.7474002838135,NA,NA,-1.56331796646118,-2.4647901058197,NA,NA,0.0350130535662174,0.23420649766922,NA,NA,0.700261071324348,23.420649766922,0,1,0.66666667,NA,0.5,0.5,0.66666667,0,NA,NA,0,NA,NA,0,NA,"2024-09-17",0
"T.J. McFarland",3237,"2024-09-15","@CHW",10,2024,"OAK","A",35,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,1,9,9,9,1,0,0,0,2,1,0,0,0,0,0.2,0.2,0,6.80632908401489,0,0.25,2,0.333333333333333,1,4.1664797782898,-4.1664797782898,7.19049659073353,0,105.455296369917,177.036610333989,0,0.333333333,0,0.666666666,0,0,1,9,6,12,18,0.0138499978929758,-0.0139919593930244,0.0278419572860003,0.497000008821487,0.0512107163667679,0.317479997873306,0.228200003504753,0.228200003504753,NA,0,1,0.0121953366324306,0.0314294522857765,0,0,0.61111111,88.54545455,0.27777778,79,NA,NA,0.11111111,81.5,NA,0.283435583114624,-0.287453055381775,NA,-0.00790246203541756,2.57668711922385,-5.7490611076355,NA,-0.395123101770878,0.30769231,0.8,0.44444444,0.25,0.75,0.5,0.27777778,0.6,0.22222222,1,2,0,0,2,1,3,0.33333333,0.66666667,0,0,0.66666667,0.33333333,5.44327224786155,23.94105,35.21512,20.26943,NA,NA,NA,20,49.01018,20,63.52907,41.00247,61.46084,NA,NA,NA,26.49424,44.17611,20,1.58574,6.4557,64.36,68.34,39.04,NA,NA,NA,91.48,46.3,43.58,86.12,95.88,76.24,NA,NA,NA,86.9777777777778,62.5211111111111,52.1477777777778,NA,NA,0.61111111,0.27777778,0.11111111,NA,NA,88.4545454545455,78.8799987792969,81.0999984741211,NA,NA,8.76140802556818,-9.93328094482422,8.13943862915039,NA,NA,-1.27414512634277,-1.86140899658203,-1.37547028064728,NA,NA,0.32521303370595,-0.292858447879553,-0.00859971717000008,NA,NA,2.95648212459954,-5.85716895759106,-0.429985858500004,0.36363636,0.57142857,0.44444444,0.25,0.75,0.5,0.38888889,15.69230769,0.11111111,NA,0.61111111,0.27777778,80.9623031616211,NA,88.3482832475142,78.7523986816406,8.44556045532227,NA,8.69056909734553,-10.3932418823242,-2.89118504524231,NA,-2.67430270801891,-3.42941207885742,-0.00859971717000008,NA,0.32521303370595,-0.292858447879553,-0.429985858500004,NA,2.95648212459954,-5.85716895759106,0.36363636,0.57142857,0.44444444,0.25,0.75,0.5,0.38888889,3,93.3490091959635,21.6744333902995,0,0,98.3272,1,0.33333333,"2024-09-15",0
"T.J. McFarland",3237,"2024-09-12","@HOU",10,2024,"OAK","A",35,0,1,54.0000563264481,1,0,0,0,0,0,0,0,0.1,3,2,2,2,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0,0,1,1,1,0,0,0,0,0,0,0,6.03472908401489,0,0.666666666666667,6.00000625849423,0.666666666666667,0,3.1664797782898,50.8335765481583,7.70250972840334,1394.0094065513,79.6860822866131,189.774252798055,1,0.333333333,0.333333333,0.333333333,0,0,0,0,2,7,9,-0.0641400068998337,-0.109073981642723,0.0449339784681797,-0.402999997138977,-0.0427132993936539,1.84406661987305,1.79739999771118,1.79739999771118,3.62520003318787,1,1,-0.0353129431605339,0.000531115753317268,0,1,0.66666667,89.33333333,0.33333333,78.66666667,NA,NA,NA,NA,NA,-0.38764613866806,-0.290436416864395,NA,NA,-6.46076897780101,-9.68121389547984,NA,NA,0.25,0.8,0.55555556,1,1,1,0.55555556,1,0,0,0,3,0,2,1,3,0,0,1,0,0.66666667,0.33333333,5.67861608413384,NA,NA,NA,80,34.70902,80,80,71.22737,80,80,50.49364,80,NA,NA,NA,80,58.98729,80,-3.21987,-0.75271,NA,NA,NA,84.78,149.18,137.46,123.58,135.16,147.96,107.12,122,132.32,NA,NA,NA,114.762,132.614,142.218,0.11111111,NA,0.55555556,0.33333333,NA,89.0999984741211,NA,89.1799987792969,78.7000020345052,NA,9.28717041015625,NA,10.9370170593262,-9.06105804443359,NA,1.11739528179169,NA,-1.44210758209229,-0.385895450909932,NA,0.057969942688942,NA,-0.451737102121115,-0.295888096094131,NA,5.7969942688942,NA,-9.03474204242229,-9.86293653647105,NA,0,0.71428571,0.55555556,NA,1,1,0.77777778,20.66666667,NA,NA,0.66666667,0.33333333,NA,NA,89.3763020833333,78.889404296875,NA,NA,10.2522417704264,-9.52207692464193,NA,NA,-2.40442864100138,-1.84014304478963,NA,NA,-0.393767159432173,-0.295888096094131,NA,NA,-6.56278599053621,-9.86293653647105,0,0.71428571,0.55555556,NA,1,1,0.77777778,3,90.7717488606771,18.1499888102214,0,0,96.0848,1,0.33333333,"2024-09-12",0
"T.J. McFarland",3237,"2024-09-11","@HOU",10,2024,"OAK","A",35,0,0,0,1,0,0,0,0,0,1,0,0.1,1,0,0,0,0,0,0,0,0,0,1,27.000028163224,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352648020443,2.83352648020443,-2.83352648020443,0,-74.9293634896886,-72.3367211985741,0,0,0,0,0,0,0,0,0,3,3,0.015302000567317,0,0.015302000567317,0.0989999994635582,0.0104928454384208,0.594799995422363,0.297399997711182,0.594799995422363,1.66380000114441,1,1,0.0257262960076332,-3.03055795736196e-10,0,0,0.66666667,88,0.33333333,78,NA,NA,NA,NA,NA,0.0931044071912766,0.173208177089691,NA,NA,4.65522035956383,17.3208177089691,NA,NA,1,0,0.33333333,0,NA,0,0.66666667,1,0.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.70499516569614,NA,NA,NA,NA,NA,NA,80,80,80,80,44.65511,80,NA,NA,NA,80,73.66181,80,-3.90185,-1.77568,NA,NA,NA,NA,NA,NA,101.92,137.78,141.76,132,165.2,168.26,NA,NA,NA,111.946666666667,146.92,150.593333333333,NA,NA,0.66666667,0.33333333,NA,NA,NA,88.0500030517578,77.6999969482422,NA,NA,NA,12.0171308517456,-9.95185852050781,NA,NA,NA,-1.10539400577545,-1.31191456317902,NA,NA,NA,0.094138327986002,0.175081223249435,NA,NA,NA,4.7069163993001,17.5081223249435,NA,1,0,0.33333333,0,NA,0,0.66666667,14.5,NA,NA,0.66666667,0.33333333,NA,NA,88.1694030761719,77.7542037963867,NA,NA,11.5805492401123,-10.6618003845215,NA,NA,-2.47822999954224,-3.06080007553101,NA,NA,0.094138327986002,0.175081223249435,NA,NA,4.7069163993001,17.5081223249435,1,0,0.33333333,0,NA,0,0.66666667,0,NA,NA,0,NA,NA,0,NA,"2024-09-11",0
"T.J. McFarland",3237,"2024-09-10","@HOU",10,2024,"OAK","A",35,0,0,0,1,0,0,0,0,0,0,0,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8.41372908401489,0,0,0,0,1,3.1664797782898,-3.1664797782898,5.43449475334657,0,79.6860822866131,133.351552421855,0,0.5,0,0.5,0,0,0,0,2,2,4,0.0879880040884018,0,0.0879880040884018,0.501999974250793,0.0532061457633972,1.74080002307892,1.00499999523163,2.00999999046326,1.79739999771118,1,1,0.0511760599911213,-0.000631481106764913,1,0,0.25,89,0.75,78.33333333,NA,NA,NA,NA,NA,0.249823242425919,0.249823227524757,NA,NA,24.9823242425919,8.32744091749191,NA,NA,0.5,0.5,0.5,1,1,1,0.5,0.5,0,0,1,1,0,0,2,2,0,0.5,0.5,0,0,1,8.76058282821969,NA,NA,NA,NA,NA,NA,80,78.29487,80,70.27089,59.56493,67.21398,NA,NA,NA,80,70.65806,80,-2.16915,0.82337,NA,NA,NA,NA,NA,NA,115.32,162.02,167.64,99.48,115.56,108.44,NA,NA,NA,103.44,127.175,123.24,NA,NA,0.25,0.75,NA,NA,NA,89.4000015258789,78.3666687011719,NA,NA,NA,10.0051250457764,-10.4789168039958,NA,NA,NA,-3.23874735832214,0.677894910176595,NA,NA,NA,0.294975996017456,0.252764489501715,NA,NA,NA,29.4975996017456,8.42548298339049,NA,0,1,0.5,NA,1,1,0.5,16.5,NA,NA,0.25,0.75,NA,NA,89.7255020141602,78.6102345784505,NA,NA,9.66516017913818,-11.0139630635579,NA,NA,-4.59934997558594,-0.925467650095622,NA,NA,0.294975996017456,0.252764489501715,NA,NA,29.4975996017456,8.42548298339049,0,0.66666667,0.5,NA,1,1,0.75,2,97.5920715332031,27.4479789733887,0,0,97.7784,2,1,"2024-09-10",0
