"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","CH%","CHv","XX%","wFB","wSL","wCB","wCH","wFB/C","wSL/C","wCB/C","wCH/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","GSv2","pb_o_CH","pb_s_CH","pb_c_CH","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CH","sp_l_CH","sp_p_CH","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxCH%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxvCH","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxCH-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxCH-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwCH","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxwCH/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piCH%","piFA%","piSI%","piSL%","piXX%","pivCH","pivFA","pivSI","pivSL","pivXX","piCH-X","piFA-X","piSI-X","piSL-X","piXX-X","piCH-Z","piFA-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwFA","piwSI","piwSL","piwXX","piwCH/C","piwFA/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Tanner Banks",16990,"2024-09-29","@WSN",26,2024,"PHI","A",32,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,0,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-17.9405169074213,18.1856412207288,0,0,0,1,0,0,0,0,2,8,10,0.053347997367382,0,0.053347997367382,0.49099999666214,0.0509864985942841,0.704933345317841,1.05560004711151,1.05560004711151,1.0324000120163,1,1,0.0756480693817139,3.00039024042076e-05,0,0,0.6,94.66666667,0.3,88,0.1,83,NA,NA,NA,0.526738107204437,0.290118008852005,-0.0344077162444592,NA,8.77896845340729,9.67060029506683,-3.44077162444592,NA,0.57142857,0.66666667,0.6,0.25,1,0.5,0.3,0.66666667,0.3,0,0,1,0,0,1,1,0,0,1,0,0,1,-1.71377784299991,NA,NA,NA,NA,20,58.05741,20,71.14613,63.69031,70.41412,NA,NA,NA,68.31727,39.47483,71.35376,66.28455,54.75328,65.33097,-0.88629,2.74766,NA,NA,NA,102.98,48.2,54.22,117.12,121.72,127.42,NA,NA,NA,110.84,78.76,84.28,113.822,101.48,107.158,0.6,NA,0.3,0.1,NA,94.5166625976562,NA,88.0333353678385,82.9000015258789,NA,2.01151593526204,NA,-1.76592779159546,-8.27442264556885,NA,9.85546620686849,NA,2.35167090098063,-0.701108813285828,NA,0.532789800316095,NA,0.293462499976158,-0.0350487045943737,NA,8.87983000526826,NA,9.7820833325386,-3.50487045943737,NA,0.57142857,0.66666667,0.6,0.25,1,0.5,0.3,14.28571429,NA,0.6,NA,0.4,NA,NA,94.9128621419271,NA,87.125,NA,NA,1.19116814931234,NA,-4.40893507003784,NA,NA,8.92314847310384,NA,0.4556924700737,NA,NA,0.532789800316095,NA,0.258413795381784,NA,NA,8.87983000526826,NA,6.46034488454461,NA,0.57142857,0.66666667,0.6,0.25,1,0.5,0.3,1,95.9404983520508,33.336009979248,0,0,95.9405,1,1,"2024-09-29",0
"Tanner Banks",16990,"2024-09-27","@WSN",26,2024,"PHI","A",32,0,0,0,1,0,0,0,0,0,0,0,1,7,2,1,0,0,1,0,0,0,0,0,0,9,18,0,0.333333333,0,3,0,3,0,1,0,0,0,0.14285714,-0.14285714,6.17570866393187,0,0.333333333333333,3,0.333333333333333,0.66666667,6.1664797782898,-6.1664797782898,6.1664797782898,0,147.416455846498,150.806929171676,3,0.5,0.5,0,0,0,0,0,14,17,31,-0.000384004117222503,-0.00066800118656829,0.000283997069345787,-0.50900000333786,-0.052855659276247,0.00285714282654226,0,0,NA,0,1,-0.0383954085409641,-0.0960060339263795,0,0,0.51612903,93.3125,0.22580645,88.85714286,0.22580645,82.85714286,0.03225806,87,NA,-1.02197813987732,-0.0411567091941833,0.124051377177238,-0.0238054171204567,-6.38736337423325,-0.587952988488334,1.77216253110341,-2.38054171204567,0.11764706,0.85714286,0.4516129,0.5,1,0.92857143,0.4516129,0.85714286,0.03225806,4,2,0,1,4,1,6,0.66666667,0.33333333,0,0.16666667,0.66666667,0.16666667,12.6042062730432,NA,20,48.11333,20,38.06173,60.5071,34.08671,43.15292,55.65486,50.36086,43.70576,63.6396,35.90733,57.16619,44.03827,64.50387,41.25929,53.75912,42.42549,0.66844,5.07975,95.8,52.48,48.2,132.84,85.22,86.66,87.74,96.94,80.88,103.64,105.38,121.62,92.84,129.5,145.9,102.412903225806,101.845161290323,103.698064516129,0.32258065,0.19354839,0.22580645,0.22580645,0.03225806,93.85,92.7666625976562,88.7428588867188,82.9428536551339,87,1.74119644165039,8.08511797587077,-1.75205557686942,-6.93697466169085,8.27285861968994,9.31508483886719,5.60760943094889,3.9570437840053,1.40858554840088,3.81362891197205,-1.02963326126337,-0.0127640292048454,-0.0429375022649765,0.124981123954058,-0.0242429338395596,-10.2963326126337,-0.212733820080757,-0.613392889499664,1.78544462791511,-2.42429338395596,0.13333333,0.75,0.4516129,0.5,1,0.92857143,0.51612903,16.08695652,0.03225806,0.32258065,0.19354839,0.4516129,NA,87.5962982177734,94.4559387207031,93.3917643229167,86.4347970145089,NA,7.48249006271362,0.761065530776978,7.32251803080241,-5.60533578055246,NA,2.20570993423462,8.17328872680664,4.49195162455241,1.4790678024292,NA,-0.0242429338395596,-1.02963326126337,-0.0127640292048454,0.0820436216890812,NA,-2.42429338395596,-10.2963326126337,-0.212733820080757,0.586025869207723,NA,0.13333333,0.75,0.4516129,0.5,1,0.92857143,0.51612903,6,90.8239034016927,-0.468554417292277,0,0,105.155,2,0.33333333,"2024-09-27",0
"Tanner Banks",16990,"2024-09-24","CHC",26,2024,"PHI","H",32,0,1,20.2500048279774,1,1,0,0,0,0,0,0,1.1,8,3,3,3,0,0,0,1,0,0,1,6.75000160932579,0,20.2500048279774,1,0,1,2,2,1,0,0,1,1,0.125,0,0.125,4.60488533401489,0,0.428571428571429,2.25000053644193,0.5,0.25,3.91647995710377,16.3335248708736,6.18449310717304,489.482611707141,94.266004542472,151.242234298507,1,0.2,0.4,0.4,0,0,1,6.75000160932579,5,15,20,-0.061337985098362,-0.155185997486115,0.0938480049371719,-0.571900010108948,-0.0585663095116615,1.01219999790192,0.919900059700012,0.870000004768372,2.89600014686584,1,1,-0.0517933554947376,-0.00880532581874099,0,0,0.55,93.36363636,0.3,88.5,0.15,81.33333333,NA,NA,NA,-0.056892491877079,-0.898219048976898,-0.0963265001773834,NA,-0.517204471609809,-14.9703174829483,-3.21088333924611,NA,0.33333333,0.81818182,0.6,0.66666667,0.77777778,0.75,0.55,0.875,0.15,2,3,1,1,3,2,6,0.33333333,0.5,0.16666667,0.16666667,0.5,0.33333333,4.09198716005557,34,NA,NA,NA,80,54.98631,80,72.99696,59.89078,78.68312,20,80,20,38.74777,31.54877,45.37581,49.28631,49.77803,49.56363,0.16975,4.33172,NA,NA,NA,121.74,125.64,136.7,89.54,120.16,116.3,75.28,-200.24,-206.24,95.6,115.2,119.78,95.475,103.474,104.277,0.5,0.05,0.3,0.15,NA,93.5400024414062,91.9000015258789,88.5166625976562,81.2999979654948,NA,3.26546211242676,9.1813793182373,-1.1978014310201,-6.6607551574707,NA,9.87570190429688,6.43902778625488,4.23899428049723,2.18087323506673,NA,0.304011706262827,-0.366320788860321,-0.908171571791172,-0.0991836339235306,NA,3.04011706262827,-36.6320788860321,-15.1361928631862,-3.30612113078435,NA,0.28571429,0.76923077,0.6,0.5,0.8,0.75,0.65,19.25,NA,0.5,0.05,0.45,NA,NA,93.5253173828125,91.9304962158203,86.075188530816,NA,NA,2.29816951751709,8.82619953155518,-4.4663700527615,NA,NA,8.54651794433594,5.16354990005493,2.0306708017985,NA,NA,0.304011706262827,-0.366320788860321,-1.0073552057147,NA,NA,3.04011706262827,-36.6320788860321,-11.1928356190522,NA,0.28571429,0.76923077,0.6,0.5,0.8,0.75,0.65,6,84.6202026367187,23.3695602416992,1,0.16666667,115.503,1,0.16666667,"2024-09-24",0
"Tanner Banks",16990,"2024-09-21","@NYM",26,2024,"PHI","A",32,0,0,9,1,0,0,0,0,0,0,0,1,6,1,1,1,0,2,0,0,0,0,1,9,18,9,0.5,0,0,2,1,0,0,0,0,0,0.16666667,0.33333333,-0.16666667,9.04497908516723,0,0.25,3,0.333333333333333,0.66666667,7.1664797782898,1.8335202217102,8.67848818451166,217.547775557952,171.038880525629,211.511429986591,2,0,0.666666666,0.333333333,0,0,0,0,9,10,19,-0.0256379768252373,-0.0488039553165436,0.0231659784913063,-0.541000008583069,-0.0588363260030746,0.315466672182083,0.207800000905991,0.207800000905991,NA,0,1,-0.0739263966679573,-0.00734360452709565,0,0,0.42105263,93,0.42105263,87.875,0.10526316,81.5,0.05263158,87,NA,-0.100237026810646,-0.72525554895401,0.367513120174408,0.289681732654572,-1.25296283513308,-9.06569436192513,18.3756560087204,28.9681732654572,0.25,0.57142857,0.36842105,1,0.75,0.85714286,0.36842105,0.83333333,0.05263158,0,3,0,0,3,0,3,0,1,0,0,1,0,5.03963551061381,NA,67.73084,32.78268,80,80,53.27354,80,20,51.57527,20,80,55.7276,80,70.18302,41.13217,80,46.23663,46.24225,52.45504,0.35922,4.61592,81.78,150.36,132.34,96.02,157.5,163.36,104.8,8.58000000000001,0.239999999999995,82.1,176.78,165.4,95.02,117.02,123.16,97.3515789473684,86.2294736842105,84.8115789473684,0.36842105,0.05263158,0.42105263,0.10526316,0.05263158,93.0857107979911,92.4000015258789,87.7125015258789,81.1500015258789,87.3000030517578,2.51534870692662,10.0034952163696,-1.60368347167969,-4.37841463088989,7.44355535507202,10.1746161324637,5.49058818817139,2.33231258392334,1.88866460323334,4.55776834487915,-0.145834930241108,0.039364367723465,-0.739510372281075,0.372241586446762,0.293512850999832,-2.08335614630154,3.9364367723465,-9.24387965351343,18.6120793223381,29.3512850999832,0.18181818,0.625,0.36842105,1,0.8,0.85714286,0.42105263,17,0.05263158,0.36842105,0.05263158,0.52631579,NA,87.057502746582,92.8534458705357,92.2082977294922,86.1388061523437,NA,6.69324016571045,1.59387683868408,9.40089988708496,-3.21972389221191,NA,2.99008989334106,9.11671447753906,4.15927982330322,1.09869079589844,NA,0.293512850999832,-0.145834930241108,0.039364367723465,-0.367268785834312,NA,29.3512850999832,-2.08335614630154,3.9364367723465,-3.67268785834312,NA,0.2,0.55555556,0.36842105,1,0.8,0.85714286,0.47368421,3,87.770253499349,9.31110000610352,0,0,94.7508,0,0,"2024-09-21",0
"Tanner Banks",16990,"2024-09-19","@NYM",26,2024,"PHI","A",32,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,9,0,9,1,0,0,3,0,0,0,0,0,0,0.25,0,0.25,-0.797583415985107,0,0.25,1,0.333333333333333,1,1.1664797782898,-1.1664797782898,1.1664797782898,0,29.3043324508413,29.9783111930123,3,0,1,0,0,0,0,0,2,9,11,0.00235600234009326,-0.000551972363609821,0.00290797464549541,0.458999991416931,0.0499184317886829,0.0344499982893467,0.0425999984145164,0.0425999984145164,NA,0,1,0.0462658926844597,0.0221231481597549,0,0,0.27272727,93,0.54545455,87,0.09090909,78,0.09090909,84,NA,-0.447155267000198,0.577475607395172,0.0389156937599182,0.0572940893471241,-14.9051755666733,9.6245934565862,3.89156937599182,5.72940893471241,0.5,0.85714286,0.72727273,1,0.5,0.625,0.63636364,0.75,0.27272727,2,0,1,0,3,0,3,0.66666667,0,0.33333333,0,1,0,0.159133205383496,NA,80,41.89216,80,80,44.37902,80,20,46.76132,35.26792,76.74196,41.05167,77.41931,75.68173,44.7235,80,75.60517,46.37682,80,-1.46534,1.87908,90.8,183.34,179.1,84.12,155.94,153.3,97.08,56.52,32.18,79.88,118.64,109.6,104.1,144.36,141.46,97.5963636363636,130.647272727273,123.192727272727,0.18181818,0.09090909,0.54545455,0.09090909,0.09090909,93.6000061035156,92.1999969482422,86.8499959309896,78.1999969482422,83.9000015258789,4.49719095230103,8.52964878082275,-2.7814203898112,-5.34310150146484,6.53305244445801,9.8337230682373,5.88590002059937,2.84286053975423,0.764129936695099,4.97240734100342,0.0166956372559071,-0.47120988368988,0.5846689902246,0.039364367723465,0.057969942688942,0.834781862795353,-47.120988368988,9.74448317041,3.9364367723465,5.7969942688942,0.5,0.85714286,0.72727273,1,0.5,0.625,0.63636364,14.85714286,0.09090909,0.18181818,0.09090909,0.63636364,NA,83.644401550293,93.3193969726562,91.9494018554688,85.3383265904018,NA,6.05935001373291,3.92084002494812,7.88858985900879,-4.12240845816476,NA,3.38416004180908,8.41266536712646,4.21465015411377,1.31199496132987,NA,0.057969942688942,0.0166956372559071,-0.47120988368988,0.624033357948065,NA,5.7969942688942,0.834781862795353,-47.120988368988,8.91476225640093,NA,0.6,0.83333333,0.72727273,1,0.4,0.625,0.54545455,3,87.5600280761719,-14.9116058349609,0,0,101.301,2,0.66666667,"2024-09-19",0
"Tanner Banks",16990,"2024-09-16","@MIL",26,2024,"PHI","A",32,0,0,9,1,0,0,0,0,0,0,0,1,5,1,1,1,0,1,0,0,0,0,0,0,9,9,0,0,0,2,2,0,1,0,0,0,0,0.2,-0.2,8.77520908401489,0,0.25,2,0.25,0.5,6.1664797782898,2.8335202217102,9.19049659073353,217.547775557952,147.416455846498,223.88448361004,1,0,0.5,0.5,0.5,0,0,0,12,18,30,-0.0220759715884924,-0.0379300452768803,0.0158540736883879,-0.500999987125397,-0.0514637902379036,0.302114278078079,0.209399998188019,0.209399998188019,0.0498000010848045,1,1,-0.0611843466758728,-0.0118872463945713,0,0,0.36666667,93.63636364,0.43333333,88.07692308,0.13333333,81.5,0.06666667,86.5,NA,-0.072295069694519,-0.228280425071716,0.0513598173856735,-0.0238054171204567,-0.657227906313809,-1.75600326978243,1.28399543464184,-1.19027085602283,0.21428571,0.75,0.5,0.33333333,0.91666667,0.8,0.53333333,0.4,0.1,3,0,1,1,1,2,4,0.75,0,0.25,0.25,0.25,0.5,2.74839098739983,NA,46.02442,42.25749,46.48192,72.54794,54.15916,69.32491,41.66268,46.78623,40.94182,80,41.39551,80,31.64949,40.75974,35.59254,41.03602,44.52862,43.8045,0.68231,5.10056,99.34,128.12,117.44,107.26,108.8,112.9,100.66,90.56,77.76,77.94,216.82,225.36,105.5,70.68,82.84,102.792,91.09,92.212,0.33333333,0.03333333,0.43333333,0.13333333,0.06666667,93.95,90.4000015258789,88.0076904296875,81.4499969482422,86.5,1.27188205718994,6.23446178436279,-1.95102046086238,-5.79457092285156,6.19639682769775,8.79634170532227,5.32080554962158,2.44391250610352,2.00480604171753,4.68768310546875,-0.140304241329432,0.0652216598391533,-0.235042467713356,0.0586372874677181,-0.0242429338395596,-1.40304241329432,6.52216598391533,-1.80801898241043,1.46593218669295,-1.21214669197798,0.26666667,0.73333333,0.5,0.5,0.90909091,0.8,0.5,19.68,0.06666667,0.33333333,0.03333333,0.56666667,NA,86.3368530273438,93.779541015625,90.2238006591797,86.297700769761,NA,5.64427995681763,0.546287822723389,5.37928009033203,-3.70346226411707,NA,3.30472993850708,7.72590637207031,4.11653995513916,1.14018395367791,NA,-0.0242429338395596,-0.140304241329432,0.0652216598391533,-0.176405180245638,NA,-1.21214669197798,-1.40304241329432,6.52216598391533,-1.03767753085669,NA,0.21428571,0.75,0.5,0.33333333,0.91666667,0.8,0.53333333,4,90.4134292602539,20.615592956543,0,0,98.5792,1,0.25,"2024-09-16",0
"Tanner Banks",16990,"2024-09-10","TBR",26,2024,"PHI","H",32,0,0,0,1,0,0,0,0,0,0,0,1,6,1,0,0,0,2,0,0,0,0,0,0,18,9,0,0,0,1,2,1,0,0,0,0,0,0.33333333,-0.33333333,11.9925068519314,0,0.25,3,0.25,1,9.16647977828979,-9.16647977828979,12.1904965907335,0,218.283729883891,296.381654397238,0.5,0.25,0.25,0.5,0,0,0,0,10,12,22,0.00612399913370609,-0.0151260606944561,0.0212500598281622,0.500999987125397,0.0513056889176369,0.165299996733665,0.160400003194809,0.160400003194809,NA,0,1,-0.0942489430308342,0.131296730415689,0,0,0.54545455,93.41666667,0.40909091,88.44444444,NA,NA,0.04545455,87,NA,-0.333181142807007,-0.291264325380325,NA,0.282110065221786,-2.77650952339172,-3.23627028200361,NA,28.2110065221786,0.08333333,0.7,0.36363636,0,1,0.875,0.45454545,0.66666667,0.04545455,1,3,0,0,2,2,4,0.25,0.75,0,0,0.5,0.5,10.4476274034441,NA,64.46366,33.74746,69.26646,NA,NA,NA,20,56.36011,20,80,80,80,59.563,36.96897,73.29517,34.46339,47.91736,36.88259,1.09064,5.71305,61,139.08,131.88,NA,NA,NA,78.98,33.16,25.46,79.42,172.28,158.32,91.24,120.96,128.28,83.1981818181818,80.2163636363637,78.3990909090909,0.5,0.04545455,0.40909091,NA,0.04545455,93.5636319247159,91.8000030517578,88.2444458007812,NA,86.8000030517578,2.25021258267489,9.1941089630127,-1.5272429784139,NA,7.21810531616211,9.60967115922408,5.98822069168091,3.00702306959364,NA,4.39153242111206,-0.558080155402422,0.213400110602379,-0.255980655550957,NA,0.328176736831665,-5.07345595820384,21.3400110602379,-2.84422950612174,NA,32.8176736831665,0,0.57142857,0.36363636,NA,0.875,0.875,0.63636364,13.5625,0.04545455,0.5,0.04545455,0.40909091,NA,86.4064025878906,93.174149946733,91.3675003051758,87.8359917534722,NA,6.47018003463745,1.52270871942694,8.75247955322266,-2.62704446580675,NA,2.93911004066467,8.54826354980469,4.75015020370483,1.69000413682726,NA,0.328176736831665,-0.558080155402422,0.213400110602379,-0.255980655550957,NA,32.8176736831665,-5.07345595820384,21.3400110602379,-2.84422950612174,NA,0,0.57142857,0.36363636,NA,0.875,0.875,0.63636364,4,93.1901550292969,20.1310424804688,1,0.25,115.216,1,0.25,"2024-09-10",0
"Tanner Banks",16990,"2024-09-08","@MIA",26,2024,"PHI","A",32,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-17.9405169074213,-18.3531359984531,1,0,1,0,0,0,0,0,5,10,15,0,0,0,0.522000014781952,0.0519402995705605,0,0,0,0,1,1,0,NA,0,0,0.33333333,92.2,0.46666667,86.28571429,0.06666667,76,0.13333333,87,NA,0.326566398143768,0.293051213026047,-0.0344077162444592,0.159500494599342,6.53132796287537,4.1864459003721,-3.44077162444592,7.97502472996712,0.375,0.85714286,0.6,0.33333333,0.66666667,0.55555556,0.46666667,NA,0.26666667,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.59899042301956,NA,44.28072,62.24346,27.97491,20,51.87764,20,75.07266,48.10054,80,20,65.11124,20,57.91218,40.55922,58.52102,20,50.97284,20,2.01819,7.10438,103.38,114.82,108.14,85.82,18.24,16.58,118.18,104.68,82.56,89.82,-181.64,-182.7,93.2,103.04,119.44,98.6106666666667,61.328,63.4146666666667,0.2,0.13333333,0.46666667,0.06666667,0.13333333,93.5,90.1499938964844,86.2714320591518,76.1999969482422,87.3000030517578,1.78360462188721,7.69093751907349,-2.4271114894322,-8.14701843261719,8.45755004882812,9.84998321533203,5.15010738372803,2.39361817496163,-0.212937921285629,5.33356666564941,0.413933128118515,-0.0833708606660366,0.296585753560066,-0.0350487045943737,0.161079484969378,13.7977709372838,-4.16854303330183,4.23693933657237,-3.50487045943737,8.05397424846888,0.42857143,0.75,0.6,0.33333333,0.66666667,0.55555556,0.53333333,16.09090909,0.06666667,0.2,0.2,0.53333333,NA,85.3414001464844,93.5902709960938,89.964599609375,85.0933609008789,NA,8.05924987792969,1.13574965794881,7.8245595296224,-3.75358366966248,NA,3.13983988761902,8.21897379557292,3.68361663818359,0.443350523710251,NA,0.196128189563751,0.413933128118515,-0.11841956526041,0.261537048965693,NA,19.6128189563751,13.7977709372838,-3.94731884201368,3.26921311207116,NA,0.375,0.85714286,0.6,0.33333333,0.66666667,0.55555556,0.46666667,1,91.7182769775391,-14.134711265564,0,0,91.7183,0,0,"2024-09-08",0
"Tanner Banks",16990,"2024-09-07","@MIA",26,2024,"PHI","A",32,0,0,9,1,0,0,0,0,0,0,0,1,5,2,1,1,0,0,0,0,0,0,2,18,0,18,2,0,0,2,0,1,0,0,0,0,0.4,0,0.4,0.409289084014893,0,0.4,2,0.666666666666667,0.5,-0.833520221710205,9.83352022171021,-0.833520221710205,217.547775557952,-17.9405169074213,-18.3531359984531,2,0.333333333,0.666666666,0,0,0,0,0,8,16,24,-0.0478399731218815,-0.0909799784421921,0.0431400053203106,-0.477999985218048,-0.0475621856749058,0.6117143034935,0.519999980926514,0.519999980926514,0.221999987959862,1,1,-0.0435433462262154,-0.0346630531479164,0,0,0.375,94,0.45833333,87.72727273,0.125,81.66666667,0.04166667,88,NA,0.445285826921463,0.0220587737858295,-0.599766492843628,-0.0620911717414856,4.94762029912737,0.200534307143905,-19.9922164281209,-6.20911717414856,0.28571429,0.8,0.5,0.75,0.875,0.83333333,0.41666667,0.8,0.08333333,0,2,1,0,2,1,3,0,0.66666667,0.33333333,0,0.66666667,0.33333333,1.62460025073387,NA,20,48.45793,20,20,55.64039,20,48.24459,49.38738,44.74831,NA,NA,NA,54.27831,39.06831,54.46859,40.40616,45.39391,33.15141,0.72144,5.15925,93.6,-6.44,-3.11999999999999,118.42,20.2,36.46,93.74,122.82,106.8,NA,NA,NA,98.46,108.78,121.38,98.9825,98.1716666666667,100.11,0.375,NA,0.45833333,0.125,0.04166667,93.7222222222222,NA,87.7363614169034,81.7333374023438,88.3000030517578,1.47864458296034,NA,-2.53654792092063,-6.89337094624837,8.64004707336426,9.29022047254774,NA,3.44468099420721,2.78984260559082,3.86640167236328,0.450937278568745,NA,0.0215226151049137,-0.609683759510517,-0.0633736774325371,5.01041420631938,NA,0.195660137317397,-20.3227919836839,-6.33736774325371,0.27272727,0.69230769,0.5,0.66666667,0.88888889,0.83333333,0.54166667,17.73684211,0.04166667,0.375,NA,0.58333333,NA,88.6036987304688,94.0017903645833,NA,86.7178780691964,NA,7.89632987976074,1.00994936625163,NA,-4.15804290771484,NA,1.93622994422913,7.80487908257378,NA,1.75053664616176,NA,-0.0633736774325371,0.450937278568745,NA,-0.588161144405603,NA,-6.33736774325371,5.01041420631938,NA,-4.2011510314686,NA,0.27272727,0.69230769,0.5,0.66666667,0.88888889,0.83333333,0.54166667,3,85.3936564127604,-5.02115758260091,0,0,94.1839,0,0,"2024-09-07",0
"Tanner Banks",16990,"2024-09-03","@TOR",26,2024,"PHI","A",32,0,0,0,1,0,0,0,0,0,0,0,1.1,6,2,0,0,0,0,0,0,0,0,3,20.2500048279774,0,13.5000032186516,3,0,0,2,0,1,0,0,0,0,0.5,0,0.5,0.108729085015059,0,0.333333333333333,1.50000035762795,0.666666666666667,1,-1.33352129459407,1.33352129459407,-1.33352129459407,0,-29.7517545911051,-30.4360237233343,2,0.333333333,0.666666666,0,0,0,2,13.5000032186516,4,16,20,0.0252519939094782,-0.0242740139365196,0.0495260059833527,0.958999991416931,0.101320654153824,0.36996665596962,0.298933327198029,0.487199991941452,0.430999994277954,1,1,0.0180354956537485,0.0502192875869114,0,0,0.6,93.5,0.15,88.33333333,0.2,80.5,0.05,87,NA,0.725300133228302,0.0434236712753773,-0.13954921066761,-0.429545164108276,6.04416777690252,1.44745570917924,-3.48873026669025,-42.9545164108276,0.6,0.6,0.6,0.5,0.83333333,0.66666667,0.5,0.66666667,0.2,1,1,1,1,2,0,3,0.33333333,0.33333333,0.33333333,0.33333333,0.66666667,0,0.719972508414709,NA,80,32.08113,80,80,51.04484,80,60.96391,53.87427,60.67615,80,62.42418,80,42.32284,35.14022,49.68536,74.86056,46.6786,77.61738,-1.41908,1.94847,92.08,159.76,163.54,119.64,153.74,166.68,107.16,113.66,96.98,99.52,118.68,102.64,96.4,94.78,101.44,106.142,121.902,115.766,0.45,0.15,0.15,0.2,0.05,93.8111097547743,92.4666646321615,88.2000020345052,80.4250030517578,86.5,1.15004263983832,7.13630930582682,-2.09485816955566,-7.96527910232544,6.35702133178711,8.3451410929362,4.83295345306396,2.17454401652018,0.208443403244019,2.91811227798462,0.47499817982316,0.258464150130749,0.0436800308525562,-0.142865058034658,-0.436161160469055,5.27775755359067,8.61547167102496,1.45600102841854,-3.57162645086646,-43.6161160469055,0.55555556,0.63636364,0.6,0.4,0.85714286,0.66666667,0.55,13.92857143,0.05,0.45,0.15,0.35,NA,86.5608978271484,93.9214884440104,92.5638326009115,83.8342459542411,NA,6.10903978347778,0.687336656782362,6.76403999328613,-6.12314878191267,NA,1.43113005161285,7.44641706678602,3.59294319152832,-0.205455388341631,NA,-0.436161160469055,0.47499817982316,0.258464150130749,-0.0991850271821022,NA,-43.6161160469055,5.27775755359067,8.61547167102496,-1.41692895974432,NA,0.55555556,0.63636364,0.6,0.4,0.85714286,0.66666667,0.55,3,78.2554168701172,-0.483910878499349,0,0,100.778,1,0.33333333,"2024-09-03",0
