"PlayerName","playerid","Date","Opp","teamid","season","Team","HomeAway","Age","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","K/9","BB/9","H/9","K/BB","IFH%","BUH%","GB","FB","LD","IFFB","IFH","BU","BUH","K%","BB%","K-BB%","SIERA","HR/9","AVG","WHIP","BABIP","LOB%","FIP","E-F","xFIP","ERA-","FIP-","xFIP-","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","RS","RS/9","Balls","Strikes","Pitches","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","Games","WPA/LI","Clutch","SD","MD","FB%1","FBv","SL%","SLv","CB%","CBv","XX%","wFB","wSL","wCB","wFB/C","wSL/C","wCB/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","tERA","pb_o_CU","pb_s_CU","pb_c_CU","pb_o_FF","pb_s_FF","pb_c_FF","pb_o_SI","pb_s_SI","pb_c_SI","pb_o_SL","pb_s_SL","pb_c_SL","pb_overall","pb_stuff","pb_command","pb_xRV100","pb_ERA","sp_s_CU","sp_l_CU","sp_p_CU","sp_s_FF","sp_l_FF","sp_p_FF","sp_s_SI","sp_l_SI","sp_p_SI","sp_s_SL","sp_l_SL","sp_p_SL","sp_stuff","sp_location","sp_pitching","pfxFA%","pfxSI%","pfxSL%","pfxCU%","pfxvFA","pfxvSI","pfxvSL","pfxvCU","pfxFA-X","pfxSI-X","pfxSL-X","pfxCU-X","pfxFA-Z","pfxSI-Z","pfxSL-Z","pfxCU-Z","pfxwFA","pfxwSI","pfxwSL","pfxwCU","pfxwFA/C","pfxwSI/C","pfxwSL/C","pfxwCU/C","pfxO-Swing%","pfxZ-Swing%","pfxSwing%","pfxO-Contact%","pfxZ-Contact%","pfxContact%","pfxZone%","pfxPace","piFA%","piFC%","piSI%","piSL%","pivFA","pivFC","pivSI","pivSL","piFA-X","piFC-X","piSI-X","piSL-X","piFA-Z","piFC-Z","piSI-Z","piSL-Z","piwFA","piwFC","piwSI","piwSL","piwFA/C","piwFC/C","piwSI/C","piwSL/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","gamedate","dh"
"Tim Herrin",25139,"2024-09-28","HOU",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,0,1,0,0,0,0,0.5,0,0.5,0.324604084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.8726165970231,-22.5814263197472,1,0.5,0.5,0,0,0,0,0,4,11,15,0.0529920160770416,-0.0372039787471294,0.0901959985494614,0.479999989271164,0.0506329089403152,1.16129994392395,0.952000021934509,0.952000021934509,0.954800009727478,1,1,0.035498458892107,0.0101331768918278,0,0,0.33333333,96,0.46666667,87.57142857,0.2,82,NA,-0.137476354837418,0.527330756187439,-0.00390239432454109,-2.74952709674835,7.53329651696341,-0.130079810818036,0.375,0.57142857,0.46666667,0,1,0.57142857,0.46666667,0.75,0.2,1,1,0,0,2,0,2,0.5,0.5,0,0,1,0,1.6735902384741,43.95148,70.68711,38.22895,67.53097,60.84629,67.03704,NA,NA,NA,59.14926,64.25757,59.13264,60.86884,68.19286,58.70076,-0.54983,3.25235,138.2,84.82,101.24,85.72,119.7,108.7,NA,NA,NA,106.9,110.4,119.34,106.1,108.384,112.173333333333,0.33333333,NA,0.46666667,0.2,96.1,NA,87.5857107979911,81.5666656494141,4.92020874023437,NA,-0.576172624315534,-6.25792503356934,7.55991516113281,NA,1.89764881134033,-0.0331163009007772,-0.140180625021458,NA,0.533281777054071,-0.00435131415724754,-2.80361250042915,NA,7.61831110077245,-0.145043805241585,0.42857143,0.5,0.46666667,0,1,0.57142857,0.53333333,17,0.33333333,0.46666667,NA,0.2,96.2129821777344,87.6930106026786,NA,81.6767374674479,4.46214599609375,-1.28634602682931,NA,-7.27566337585449,6.78762817382812,0.837956973484584,NA,-1.505934715271,-0.140180625021458,0.533281777054071,NA,-0.00435131415724754,-2.80361250042915,7.61831110077245,NA,-0.145043805241585,0.33333333,0.55555556,0.46666667,0,0.8,0.57142857,0.6,2,100.915451049805,2.03001546859741,0,0,102.835,2,1,"2024-09-28",0
"Tim Herrin",25139,"2024-09-25","CIN",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0,18,0,0,1,3,0,0,0,0,1,1,0,0,0,1.54372908401489,0,0.5,2,0.5,0.5,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.9208590801313,76.9288520456552,3,0,1,0,0,0,0,0,5,8,13,-0.0300159882754087,-0.195079997181892,0.165064007043839,-0.519999980926514,-0.0548523217439651,1.88447999954224,1.32200002670288,1.32200002670288,2.14920020103455,1,1,-0.0328705944120884,0.016942599271413,0,0,0.15384615,96,0.69230769,87,0.15384615,81.5,NA,-0.561057329177856,0.774292290210724,-0.144294992089272,-28.0528664588928,8.60324766900804,-7.21474960446358,0.44444444,0.75,0.53846154,0.5,1,0.71428571,0.30769231,0.5,0.15384615,2,2,0,0,4,0,4,0.5,0.5,0,0,1,0,1.36489168843914,20,55.69773,20,69.59331,51.58918,77.23487,NA,NA,NA,80,64.30278,80,76.45623,66.99207,73.93204,-1.51822,1.79976,78.64,-8.78,-14.98,89.24,45.36,25.24,NA,NA,NA,85.88,161.24,168.22,85.2830769230769,117.255384615385,118.038461538462,0.15384615,NA,0.69230769,0.15384615,95.9000015258789,NA,86.9222208658854,81.1499938964844,3.77459144592285,NA,0.249254571066962,-5.14238595962524,6.20846939086914,NA,1.62152205573188,-0.981583893299103,-0.569596581161022,NA,0.788059659302235,-0.147431693971157,-28.4798290580511,NA,8.7562184366915,-7.37158469855785,0.5,0.57142857,0.53846154,0.33333333,1,0.71428571,0.53846154,18.11111111,0.15384615,0.69230769,NA,0.15384615,95.803955078125,86.8315700954861,NA,81.0403442382812,3.51587009429932,-0.39288952615526,NA,-6.33465957641602,5.59553527832031,0.331257555219862,NA,-3.01279497146606,-0.569596581161022,0.788059659302235,NA,-0.147431693971157,-28.4798290580511,8.7562184366915,NA,-7.37158469855785,0.375,0.8,0.53846154,0.33333333,1,0.71428571,0.38461538,4,90.1128234863281,-5.33449045817057,0,0,95.348,1,0.25,"2024-09-25",0
"Tim Herrin",25139,"2024-09-22","@STL",5,2024,"CLE","A",27,0,1,9,1,0,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,0,0,1,9,0,0,1,0,0,1,1,0,0,0,0,0,0.25,0,0.25,2.72685408401489,0,0,0,0,0,4.1664797782898,4.8335202217102,5.67848818451166,226.077304527663,103.11922799942,139.421515985497,1,0,0.5,0.5,0,0,0,0,2,6,8,0.0802520215511322,-0.0401560105383396,0.120408035814762,0.480000019073486,0.0506329126656055,1.48049998283386,1.42639994621277,1.26639997959137,1.4728000164032,1,1,0.0412047691643238,0.0130012575034508,1,0,0.625,92.6,0.25,86.5,0.125,80,NA,0.118455208837986,0.0931044071912766,0.161890506744385,2.36910417675972,4.65522035956383,16.1890506744385,0,0.66666667,0.5,NA,0.75,0.75,0.75,0.75,0.125,1,1,0,0,1,1,2,0.5,0.5,0,0,0.5,0.5,2.87411097866625,22.56974,67.08601,20,80,36.08307,80,20,71.10063,20,63.17792,30.66698,79.98102,22.40264,53.50167,20,1.83993,6.83699,143.48,-8.72,-5.28,70.1,115.06,102.22,110.06,-32.36,-21.68,94.94,123.92,124.6,105.4625,28.0925,32.4275,0.125,0.5,0.25,0.125,93.0999984741211,92.4249954223633,86.3000030517578,80.1999969482422,5.76899719238281,8.92600059509277,0.306291282176971,-7.08179950714111,6.73439645767212,0.681496560573578,1.46417284011841,1.23851001262665,0.294975996017456,-0.136459659785032,0.094138327986002,0.163724601268768,29.4975996017456,-3.41149149462581,4.7069163993001,16.3724601268768,0,0.66666667,0.5,NA,0.75,0.75,0.75,16.75,0.125,0.25,0.5,0.125,93.5842971801758,86.7488555908203,92.8927459716797,80.660400390625,5.1036901473999,-0.744475483894348,8.18885517120361,-8.24695014953613,6.16129016876221,0.715042471885681,0.0184815153479576,0.427616000175476,0.294975996017456,0.094138327986002,-0.136459659785032,0.163724601268768,29.4975996017456,4.7069163993001,-3.41149149462581,16.3724601268768,0,0.66666667,0.5,NA,0.75,0.75,0.75,2,84.1310272216797,4.05041837692261,0,0,96.408,1,0.5,"2024-09-22",0
"Tim Herrin",25139,"2024-09-21","@STL",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,1,0,1,0,0,0,0.66666667,0,0.66666667,-0.078604246671107,0,0,0,0,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.8726165970231,15.0336680287444,0,0,0,1,1,0,0,0,3,12,15,0.103511989116669,-0.0344679728150368,0.137979969382286,1.08299994468689,0.114240497350693,1.18320000171661,0.524999976158142,1.04999995231628,0.728399991989136,1,1,0.0829667150974274,0.00451806259568549,1,0,0.53333333,95,0.2,87.33333333,0.26666667,81.25,NA,0.128117710351944,0.214809954166412,0.406013190746307,1.6014713793993,7.16033180554708,10.1503297686577,0.625,0.71428571,0.66666667,0.6,1,0.8,0.46666667,0.66666667,0.13333333,0,0,1,1,0,0,1,0,0,1,1,0,0,-2.59958641748756,80,56.15565,80,80,57.60645,80,80,72.7371,80,54.09247,80,52.69494,80,65.72092,80,-2.567,0.22659,116.6,150.5,139.74,98.9,99.5,84.52,124.46,158.58,173.58,143.92,139.62,181.6,119.44,136.878666666667,142.410666666667,0.26666667,0.26666667,0.2,0.26666667,96.4250030517578,93.5749969482422,87.3666585286458,80.9250030517578,4.28610992431641,8.90345859527588,0.978901863098145,-5.5488715171814,5.79059743881226,-0.12631019949913,3.12322489420573,-0.516674757003784,0.056060004979372,0.0730913765728474,0.217751428484917,0.432944152504206,1.4015001244843,1.82728441432118,7.25838094949722,10.8236038126051,0.75,0.63636364,0.66666667,0.33333333,1,0.8,0.73333333,18,0.26666667,0.2,0.26666667,0.26666667,96.7243957519531,87.6422729492188,93.8601531982422,81.2095031738281,3.44384002685547,-0.0988069772720337,8.22210025787354,-6.79320478439331,5.04778480529785,2.17644008000692,-0.802341282367706,-1.74734950065613,0.056060004979372,0.217751428484917,0.0730913765728474,0.432944152504206,1.4015001244843,7.25838094949722,1.82728441432118,10.8236038126051,0.75,0.63636364,0.66666667,0.33333333,1,0.8,0.73333333,1,83.0782928466797,66.5928115844727,0,0,83.0783,0,0,"2024-09-21",0
"Tim Herrin",25139,"2024-09-19","MIN",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,0,4,27.0000064373032,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,-0.337270915985107,0,0,0,0,1,-2.83352165222202,2.83352165222202,-2.83352165222202,0,-73.2693904821648,-72.3366010901056,0,0,0,0,0,0,1,6.75000160932579,3,14,17,0.0914800092577934,0,0.0914800092577934,0.707000017166138,0.0745780616998672,0.913999974727631,1.2441999912262,0.952000021934509,1.13559997081757,1,1,0.100140005350113,-5.24651014884997e-05,1,0,0.47058824,96.375,0.05882353,89,0.47058824,82.5,NA,0.532625138759613,0.0389156937599182,0.493709474802017,6.65781423449516,3.89156937599182,6.17136843502522,0.375,0.77777778,0.58823529,0,0.71428571,0.5,0.52941176,1,0.29411765,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-2.77986386138678,35.91722,56.72819,24.87226,68.1882,56.27696,63.13491,NA,NA,NA,80,63.34943,80,55.48539,52.87521,46.67825,-0.21538,3.75402,132.5,84.42,80.08,84.38,122.4,96.76,NA,NA,NA,85.32,170.12,169.84,107.08,107.334117647059,93.2094117647059,0.47058824,NA,0.05882353,0.47058824,96.3000030517578,NA,88.5,82.6999969482422,4.73655033111572,NA,-1.5169540643692,-5.36782503128052,7.02464246749878,NA,2.27861738204956,-1.29299092292786,0.538439132273197,NA,0.039364367723465,0.499074749648571,6.73048915341496,NA,3.9364367723465,6.23843437060714,0.5,0.63636364,0.58823529,0,0.71428571,0.5,0.64705882,18.76923077,0.47058824,0.05882353,NA,0.47058824,96.0942611694336,88.2602005004883,NA,82.4766845703125,4.45025873184204,-1.94881999492645,NA,-6.14180374145508,6.36367607116699,1.54157996177673,NA,-2.48658347129822,0.538439132273197,0.039364367723465,NA,0.499074749648571,6.73048915341496,3.9364367723465,NA,6.23843437060714,0.5,0.63636364,0.58823529,0,0.71428571,0.5,0.64705882,0,NA,NA,0,NA,NA,0,NA,"2024-09-19",0
"Tim Herrin",25139,"2024-09-17","MIN",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.18327091598511,0,0,0,0,1,3.1664797782898,-3.1664797782898,3.1664797782898,0,77.9208590801313,76.9288520456552,1,0,1,0,0,0,0,0,0,4,4,0.0550840049982071,0,0.0550840049982071,0.501999974250793,0.0529535822570324,1.26119995117188,0.630599975585938,1.26119995117188,0.87119996547699,1,1,0.0436758697032928,2.06965576621254e-10,0,0,0.5,96,NA,NA,0.5,82.5,NA,0.730571746826172,NA,0.054188709706068,36.5285873413086,NA,2.7094354853034,0.66666667,1,0.75,0.5,1,0.66666667,0.25,1,0.25,0,1,0,0,1,0,1,0,1,0,0,1,0,1.36489168843914,64.49936,55.86635,74.20358,80,60.62806,80,NA,NA,NA,NA,NA,NA,80,53.55963,80,-2.25724,0.69123,120.94,156.02,143.52,86.5,137.64,112.94,NA,NA,NA,NA,NA,NA,103.72,146.83,128.23,0.5,NA,NA,0.5,96.0500030517578,NA,NA,82.5500030517578,5.26073312759399,NA,NA,-4.98528814315796,8.21214294433594,NA,NA,-0.987802445888519,0.743937462568283,NA,NA,0.054773960262537,37.1968731284142,NA,NA,2.73869801312685,0.66666667,1,0.75,0.5,1,0.66666667,0.25,18.33333333,0.5,NA,NA,0.5,95.9264526367188,NA,NA,82.4362945556641,4.94990539550781,NA,NA,-6.11330986022949,7.26879024505615,NA,NA,-2.37129497528076,0.743937462568283,NA,NA,0.054773960262537,37.1968731284142,NA,NA,2.73869801312685,1,0.5,0.75,0.5,1,0.66666667,0.5,1,100.809852600098,-30.419620513916,0,0,100.81,1,1,"2024-09-17",0
"Tim Herrin",25139,"2024-09-15","TBR",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,2,18,0,0,2,0,0,1,0,0,0,0,0,0,0.66666667,0,0.66666667,-0.412826469756885,0,0,0,0,1,-0.833520221710205,0.833520221710205,-0.833520221710205,0,-22.8726165970231,-22.5814263197472,1,0,1,0,0,0,0,0,4,10,14,0.0681679919362068,0,0.0681679919362068,0.479999989271164,0.0506329126656055,0.907466650009155,1.32200002670288,1.32200002670288,1.42120003700256,1,1,0.0752813518047333,-0.000162346675983832,1,0,0.28571429,97.25,0.35714286,89.2,0.35714286,81.8,NA,0.266312569379807,0.425006121397018,0.053391695022583,6.65781423449516,8.50012242794037,1.06783390045166,0.33333333,0.625,0.5,0.5,0.6,0.57142857,0.57142857,0.66666667,0.21428571,1,0,0,0,1,0,1,1,0,0,0,1,0,-1.58398727747727,58.51518,54.93076,62.82282,80,56.70691,80,NA,NA,NA,78.23777,71.55656,80,80,62.47189,80,-1.98033,1.1066,134.84,111.62,107.94,112.22,141.12,133.48,NA,NA,NA,114.9,147.78,157.9,121.255714285714,132.962857142857,133.08,0.28571429,NA,0.35714286,0.35714286,97.3249969482422,NA,88.9599975585938,81.9,5.73236799240112,NA,0.956791305541992,-5.09010734558106,7.46200227737427,NA,1.90725040435791,-1.18272552490234,0.269219566136599,NA,0.430340621620417,0.0536186285316944,6.73048915341496,NA,8.60681243240833,1.07237257063389,0.4,0.55555556,0.5,0.5,0.6,0.57142857,0.64285714,16.09090909,0.28571429,0.35714286,NA,0.35714286,97.3997497558594,89.0528991699219,NA,81.9759582519531,5.22877979278564,0.312974214553833,NA,-5.93720779418945,6.82612037658691,1.05518941879272,NA,-2.55249042510986,0.269219566136599,0.430340621620417,NA,0.0536186285316944,6.73048915341496,8.60681243240833,NA,1.07237257063389,0.4,0.55555556,0.5,0.5,0.6,0.57142857,0.64285714,1,104.142387390137,-12.0632638931274,0,0,104.142,1,1,"2024-09-15",0
"Tim Herrin",25139,"2024-09-14","TBR",5,2024,"CLE","H",27,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,2,18,0,9,2,0,0,1,1,0,0,0,0,0,0.5,0,0.5,0.562229084014893,0,0.25,1,0.5,1,-0.833520221710205,0.833520221710205,0.678488184511662,0,-22.8726165970231,15.0336680287444,1,0,0.5,0.5,0,0,0,0,6,14,20,0.0268800295889378,-0.0161520466208458,0.0430320762097836,0.480000019073486,0.0506329126656055,0.504299998283386,0.568399965763092,0.568399965763092,0.468400001525879,1,1,0.0298383831977844,0.0234632818437308,0,0,0.3,96,0.2,87.75,0.5,81.3,NA,0.180781781673431,0.419482916593552,-0.293086886405945,3.01302969455719,10.4870729148388,-2.93086886405945,0.2,0.6,0.4,0.5,0.83333333,0.75,0.5,1,0.1,0,2,0,0,2,0,2,0,1,0,0,1,0,-1.02273965197201,57.22005,51.77446,67.04224,72.09546,60.80649,71.03056,80,69.84859,80,80,80,80,72.10638,59.90854,78.02382,-1.24798,2.20512,140.28,116.32,108.08,87.54,92.56,76.12,109.78,156.78,168.24,97.62,132.04,146.06,117.038,115.547,110.694,0.25,0.05,0.2,0.5,96.3599975585937,92.6999969482422,87.875,81.1900024414062,4.49087371826172,7.35541772842407,0.136194676160812,-5.79823837280273,7.55365600585938,0.503488302230835,2.10103750228882,-1.55983457565308,0.127865336835384,0.054773960262537,0.425640463829041,-0.299642663449049,2.55730673670769,5.4773960262537,10.641011595726,-2.99642663449049,0.22222222,0.54545455,0.4,0.5,0.83333333,0.75,0.55,16.5,0.25,0.2,0.05,0.5,96.4927612304687,88.0145721435547,92.8506011962891,81.3039794921875,3.92539215087891,-0.493276506662369,6.96726989746094,-6.48945770263672,6.63986968994141,1.03159153461456,-0.493456989526749,-2.90312194824219,0.127865336835384,0.425640463829041,0.054773960262537,-0.299642663449049,2.55730673670769,10.641011595726,5.4773960262537,-2.99642663449049,0.25,0.5,0.4,0.5,0.83333333,0.75,0.6,2,94.3917465209961,20.5477981567383,0,0,98.0198,1,0.5,"2024-09-14",0
"Tim Herrin",25139,"2024-09-10","@CHW",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,0,0,0.2,3,0,0,0,0,1,0,0,0,0,0,0,13.500014081612,0,0,0,0,0,2,0,0,0,0,0,0,0.33333333,-0.33333333,14.4338401827424,0,0,1.50000156462356,0,1,7.66648447216047,-7.66648447216047,12.202514422274,0,191.313637494815,301.723432731227,0,0,0,1,0,0,0,0,5,5,10,0.0357759967446327,-0.0161100029945374,0.0518859997391701,0.518999993801117,0.0534775853157043,0.838133335113525,0.44200000166893,0.88400000333786,0.594600021839142,1,1,0.0169176813215017,0.0257676471886533,0,0,0.3,93,0.3,86.66666667,0.4,81,NA,-0.0972262993454933,0.164845705032349,0.118100956082344,-3.24087664484978,5.49485683441162,2.9525239020586,0,0.6,0.3,NA,1,1,0.5,0.33333333,0,0,1,1,0,2,0,2,0,0.5,0.5,0,1,0,5.7636013567233,49.1611,56.12924,43.50948,37.11981,48.13544,32.42768,45.05718,80,80,52.00558,48.62821,61.38859,46.42093,58.12634,55.87682,0.34777,4.59875,80.48,65.2,60.04,110.46,-85.02,-64.06,126.74,92.62,124.74,102.14,129.26,130.96,99.228,74.88,81.846,0.1,0.2,0.3,0.4,94.0999984741211,92.6999969482422,86.7000020345052,81.0500030517578,5.01288938522339,11.4151029586792,1.17439460754395,-4.3449068069458,8.04527282714844,0.621786713600159,2.33794498443604,-0.656562387943268,-0.123742401599884,0.0229212380945683,0.166469566524029,0.117885250598192,-12.3742401599884,1.14606190472841,5.54898555080096,2.94713126495481,0,0.5,0.3,NA,1,1,0.6,18.28571429,0.1,0.3,0.2,0.4,94.188102722168,86.7342631022135,92.7543487548828,81.0817260742188,4.88866996765137,0.380831003189087,10.8176002502441,-5.26460266113281,7.14597988128662,0.735955317815145,-0.839871048927307,-2.40347290039062,-0.123742401599884,0.166469566524029,0.0229212380945683,0.117885250598192,-12.3742401599884,5.54898555080096,1.14606190472841,2.94713126495481,0,0.5,0.3,NA,1,1,0.6,2,86.7392883300781,40.2415542602539,0,0,91.6793,0,0,"2024-09-10",0
"Tim Herrin",25139,"2024-09-08","@LAD",5,2024,"CLE","A",27,0,0,0,1,0,0,0,0,0,0,0,0.1,3,2,0,0,0,0,0,0,0,0,0,0,0,54.0000563264481,0,0.5,0,2,1,0,0,1,0,0,0,0,0,4.72206241920756,0,0.666666666666667,6.00000625849423,0.666666666666667,1,3.1664797782898,-3.1664797782898,7.70250972840334,0,77.9208590801313,189.774252798055,2,0,0.666666666,0.333333333,0,0,0,0,3,6,9,-0.0193799734115601,-0.0315599665045738,0.0121799949556589,-0.40200001001358,-0.0425396822392941,0.495333343744278,0.479999989271164,0.479999989271164,1.02799999713898,1,1,-0.0400725863873959,0.000947472650725603,0,0,0.22222222,95.5,0.55555556,88.4,0.22222222,82,NA,-0.497441589832306,-0.214129626750946,0.0334886722266674,-24.8720794916153,-4.28259253501892,1.67443361133337,0.4,0.5,0.44444444,0.5,1,0.75,0.44444444,0.33333333,0.11111111,2,1,0,1,2,0,3,0.66666667,0.33333333,0,0.33333333,0.66666667,0,1.16521467191866,63.22761,50.95037,61.02453,80,54.44191,80,NA,NA,NA,24.5472,48.57045,20,54.04602,52.28695,50.19732,-0.12595,3.88817,95.86,107.12,105.32,94.7,155.9,127.94,NA,NA,NA,94.62,94.62,103.46,94.9133333333333,111.015555555556,109.313333333333,0.22222222,NA,0.55555556,0.22222222,95.5,NA,88.4200012207031,81.9000015258789,3.42149066925049,NA,0.444123888015747,-5.71764087677002,6.35200929641724,NA,1.76931571960449,-0.969222366809845,-0.504936903715134,NA,-0.218445397913456,0.0337270088493824,-25.2468451857567,NA,-4.36890795826912,1.68635044246912,0.25,0.6,0.44444444,0,1,0.75,0.55555556,14.66666667,0.22222222,0.55555556,NA,0.22222222,95.4401550292969,88.3286987304687,NA,81.8431549072266,3.22042989730835,-0.0764590203762054,NA,-6.0767650604248,5.38546514511108,0.619265031814575,NA,-2.09008407592773,-0.504936903715134,-0.218445397913456,NA,0.0337270088493824,-25.2468451857567,-4.36890795826912,NA,1.68635044246912,0.25,0.6,0.44444444,0,1,0.75,0.55555556,3,86.282470703125,4.0142879486084,0,0,96.808,2,0.66666667,"2024-09-08",0
