Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,oFG,oFGA,oFG%,o3P,o3PA,o3P%,o2P,o2PA,o2P%,oFT,oFTA,oFT%,oORB,oDRB,oTRB,oAST,oSTL,oBLK,oTOV,oPF,oPTS
1,Atlanta Hawks,36,242.1,44.1,93.8,0.47,14,38.4,0.365,30,55.3,0.543,20.5,25.1,0.817,13.1,31.9,45,26,8,4.6,13.7,19.2,122.7,46,91.7,0.502,13.9,35.9,0.387,32.2,55.9,0.576,18.1,22.9,0.788,11.5,32.8,44.2,29.1,7.8,5.4,14.5,20.5,124
2,Boston Celtics,37,243.4,43.5,90.4,0.481,16.2,42.9,0.377,27.4,47.6,0.575,18.1,22.6,0.804,11.2,36.4,47.6,25.9,6.6,6.4,13.2,17.6,121.3,41.4,92,0.45,13.8,38.1,0.363,27.6,53.8,0.512,14.3,19.4,0.737,11.1,32.1,43.2,24.6,6.8,4,12.4,19,111
3,Brooklyn Nets,37,241.4,42.2,92,0.459,13.7,37.3,0.368,28.5,54.7,0.522,16.7,22.1,0.757,13.1,33.8,46.8,26.3,6.5,5.5,12.7,19,114.9,42.4,90.4,0.469,14.2,36.8,0.386,28.2,53.6,0.526,17.5,21.6,0.808,10.6,33.6,44.3,26.2,6.7,4.9,11.8,18.9,116.6
4,Charlotte Hornets,35,241.4,41.3,89.3,0.462,11.6,32.1,0.361,29.7,57.2,0.519,15.1,19.1,0.789,10.6,30.4,41,24.9,6.5,4.9,13.8,19.3,109.2,43.9,88.1,0.498,13.5,34.1,0.394,30.5,54,0.564,18.8,23.4,0.804,10.7,34.5,45.3,27.8,7.2,5.5,13.9,18.4,120.1
5,Chicago Bulls,39,243.8,40.7,89.6,0.454,11.7,32.8,0.357,29,56.8,0.511,16.7,21.2,0.788,11.6,31.9,43.5,23.7,8,4.9,12.3,19.4,109.7,40.3,86.1,0.468,13.9,38.4,0.363,26.3,47.7,0.552,17.2,22.2,0.774,10.6,34.1,44.7,27.2,6.6,5.1,14.9,19,111.7
6,Cleveland Cavaliers,36,241.4,42.3,88.9,0.476,12.8,36.1,0.354,29.6,52.8,0.56,15.8,20.7,0.765,11.2,33.6,44.8,26.7,7.8,4.5,14.1,19.3,113.3,40.3,87.6,0.46,12.1,33.7,0.359,28.2,53.9,0.523,18.8,23.6,0.794,10.4,31.8,42.3,24.5,7.9,5.4,14,19.3,111.5
7,Dallas Mavericks,38,240,42.9,91,0.472,15.1,41.1,0.368,27.8,49.9,0.557,17.5,23.3,0.751,10.3,31.9,42.2,25.3,7,4.6,12.2,18.4,118.6,43.6,91.2,0.478,13.3,36.5,0.365,30.3,54.7,0.554,16.3,21.4,0.764,11.9,34.9,46.8,27.3,7.2,4,14.7,21.3,116.9
8,Denver Nuggets,39,240,44.2,89.4,0.494,11.9,31.7,0.375,32.3,57.7,0.559,15.8,20.9,0.755,10.8,32.9,43.8,29.6,7.2,5.4,12.3,19,115.9,40.7,87.5,0.465,11.4,31.4,0.363,29.3,56.1,0.522,18.2,23,0.788,10.8,31.7,42.5,25.4,6.9,5.1,12.7,18.9,111
9,Detroit Pistons,38,241.3,41.7,89.1,0.468,10.5,30.6,0.344,31.2,58.5,0.533,17.4,22.3,0.783,11.4,31.8,43.2,26.1,6.2,4.9,16.1,22.7,111.3,44.5,89.6,0.496,11.8,30.7,0.384,32.7,58.9,0.555,22.3,27.3,0.817,9.9,32.9,42.9,26.7,8.8,6.1,12.3,18.9,123
10,Golden State Warriors,37,242,41.8,90.4,0.462,14.7,40.1,0.367,27.1,50.3,0.538,18.5,23.3,0.795,12.9,33.4,46.3,28,6.6,3.6,14.9,20.7,116.8,42.7,90.2,0.474,12.7,35.8,0.354,30.1,54.4,0.553,19.5,24.5,0.795,10.9,32.1,43,25.8,7.9,4.6,12.5,19.7,117.6
