Tm,RA/G,W,L,W-L%,ERA,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%
Arizona Diamondbacks,4.57,74,88,0.457,4.25,0.247,0.315,0.414,0.729,0.283,3.20%,20.10%,8.30%
Atlanta Braves,3.76,101,61,0.623,3.46,0.226,0.297,0.354,0.651,0.286,2.50%,25.80%,8.30%
Baltimore Orioles,4.25,83,79,0.512,3.97,0.256,0.317,0.407,0.724,0.297,2.80%,20.00%,7.30%
Boston Red Sox,4.86,78,84,0.481,4.53,0.256,0.326,0.419,0.745,0.304,3.00%,21.80%,8.50%
Chicago Cubs,4.51,74,88,0.457,4,0.244,0.318,0.414,0.731,0.287,3.40%,22.40%,8.80%
Chicago White Sox,4.43,81,81,0.5,3.92,0.242,0.312,0.387,0.699,0.296,2.70%,23.60%,8.70%
Cincinnati Reds,5.03,62,100,0.383,4.86,0.251,0.336,0.429,0.766,0.299,3.40%,22.70%,9.80%
Cleveland Guardians,3.91,92,70,0.568,3.46,0.23,0.292,0.373,0.665,0.275,2.90%,23.20%,7.30%
Colorado Rockies,5.39,68,94,0.42,5.06,0.272,0.34,0.446,0.786,0.313,3.00%,19.00%,8.60%
Detroit Tigers,4.4,66,96,0.407,4.04,0.247,0.316,0.393,0.709,0.285,2.80%,19.80%,8.50%
Houston Astros,3.2,106,56,0.654,2.9,0.212,0.281,0.332,0.613,0.269,2.30%,26.00%,7.80%
Kansas City Royals,5,65,97,0.401,4.7,0.271,0.346,0.425,0.77,0.314,2.80%,19.10%,9.40%
Los Angeles Angels,4.12,73,89,0.451,3.77,0.23,0.306,0.379,0.684,0.277,2.80%,22.90%,8.90%
Los Angeles Dodgers,3.17,111,51,0.685,2.8,0.209,0.273,0.344,0.617,0.256,2.60%,25.00%,6.90%
Miami Marlins,4.17,69,93,0.426,3.86,0.242,0.314,0.406,0.72,0.296,2.90%,23.70%,8.40%
Milwaukee Brewers,4.25,86,76,0.531,3.83,0.229,0.302,0.388,0.691,0.281,3.10%,25.30%,8.60%
Minnesota Twins,4.22,78,84,0.481,3.98,0.242,0.307,0.4,0.707,0.286,3.10%,22.10%,7.80%
New York Mets,3.74,101,61,0.623,3.57,0.236,0.299,0.377,0.675,0.299,2.80%,26.30%,7.20%
New York Yankees,3.5,99,63,0.611,3.3,0.219,0.285,0.355,0.64,0.269,2.60%,24.60%,7.50%
Oakland Athletics,4.75,60,102,0.37,4.52,0.254,0.323,0.428,0.75,0.29,3.20%,19.70%,8.20%
Philadelphia Phillies,4.23,87,75,0.537,3.97,0.245,0.31,0.391,0.701,0.303,2.50%,23.70%,7.70%
Pittsburgh Pirates,5.04,62,100,0.383,4.66,0.259,0.337,0.411,0.748,0.305,2.60%,20.00%,9.40%
San Diego Padres,4.07,89,73,0.549,3.81,0.232,0.301,0.377,0.679,0.283,2.90%,24.00%,7.70%
Seattle Mariners,3.85,90,72,0.556,3.59,0.235,0.298,0.389,0.688,0.281,3.10%,23.20%,7.50%
San Francisco Giants,4.3,81,81,0.5,3.85,0.253,0.313,0.39,0.702,0.312,2.20%,22.60%,7.30%
St. Louis Cardinals,3.93,93,69,0.574,3.79,0.247,0.314,0.382,0.696,0.288,2.40%,19.60%,8.10%
Tampa Bay Rays,3.79,86,76,0.531,3.41,0.232,0.289,0.379,0.669,0.279,2.90%,23.30%,6.50%
Texas Rangers,4.59,68,94,0.42,4.22,0.247,0.325,0.397,0.722,0.293,2.70%,21.30%,9.40%
Toronto Blue Jays,4.19,92,70,0.568,3.87,0.247,0.308,0.399,0.707,0.297,3.00%,23.00%,7.00%
Washington Nationals,5.28,55,107,0.34,5,0.266,0.339,0.452,0.791,0.298,3.90%,19.60%,9.00%
League Average,4.28,81,81,0.5,3.96,0.243,0.312,0.395,0.706,0.29,2.90%,22.40%,8.20%
,4.28,2430,2430,0.5,3.96,0.243,0.312,0.395,0.706,0.29,2.90%,22.40%,8.20%
