Tm,RA/G,W-L%,ERA,BA,OBP,SLG,OPS,BAbip
Arizona Diamondbacks,5.51,0.321,5.11,0.267,0.339,0.468,0.807,0.303
Atlanta Braves,4.07,0.547,3.88,0.234,0.308,0.392,0.7,0.283
Baltimore Orioles,5.9,0.321,5.84,0.273,0.344,0.473,0.817,0.306
Boston Red Sox,4.62,0.568,4.26,0.258,0.332,0.417,0.749,0.324
Chicago Cubs,5.18,0.438,4.87,0.255,0.338,0.442,0.78,0.297
Chicago White Sox,3.93,0.574,3.73,0.229,0.298,0.381,0.679,0.289
Cincinnati Reds,4.69,0.512,4.4,0.244,0.327,0.417,0.744,0.3
Cleveland Indians,4.49,0.494,4.34,0.24,0.313,0.417,0.73,0.283
Colorado Rockies,4.94,0.46,4.82,0.26,0.332,0.435,0.767,0.304
Detroit Tigers,4.67,0.475,4.32,0.252,0.329,0.419,0.748,0.29
Houston Astros,4.06,0.586,3.78,0.228,0.306,0.382,0.688,0.276
Kansas City Royals,4.86,0.457,4.64,0.254,0.332,0.415,0.747,0.302
Los Angeles Angels,4.96,0.475,4.69,0.251,0.33,0.41,0.74,0.306
Los Angeles Dodgers,3.46,0.654,3.01,0.207,0.28,0.344,0.624,0.263
Miami Marlins,4.33,0.414,3.96,0.241,0.317,0.401,0.718,0.292
Milwaukee Brewers,3.85,0.586,3.5,0.218,0.298,0.358,0.655,0.278
Minnesota Twins,5.15,0.451,4.83,0.255,0.32,0.449,0.769,0.292
New York Mets,4.12,0.475,3.9,0.236,0.307,0.4,0.707,0.289
New York Yankees,4.13,0.568,3.74,0.231,0.299,0.389,0.688,0.286
Oakland Athletics,4.24,0.531,4.02,0.247,0.309,0.403,0.711,0.292
Philadelphia Phillies,4.6,0.506,4.39,0.244,0.316,0.414,0.73,0.298
Pittsburgh Pirates,5.14,0.377,5.08,0.26,0.341,0.446,0.787,0.304
San Diego Padres,4.37,0.488,4.1,0.237,0.312,0.41,0.722,0.29
Seattle Mariners,4.62,0.556,4.3,0.247,0.314,0.417,0.73,0.289
San Francisco Giants,3.67,0.66,3.24,0.23,0.291,0.368,0.658,0.282
St. Louis Cardinals,4.15,0.556,3.98,0.234,0.32,0.374,0.695,0.274
Tampa Bay Rays,4.02,0.617,3.67,0.232,0.294,0.386,0.68,0.282
Texas Rangers,5.03,0.37,4.79,0.256,0.325,0.436,0.761,0.29
Toronto Blue Jays,4.09,0.562,3.91,0.236,0.305,0.407,0.712,0.284
Washington Nationals,5.06,0.401,4.8,0.254,0.329,0.447,0.776,0.293
League Average,4.53,0.5,4.26,0.244,0.317,0.411,0.728,0.292
,4.53,0.5,4.26,0.244,0.317,0.411,0.728,0.292
